place,name,points,level
1,Stucki Christian,59.75,
4 a,Siegenthaler Matthias,57.25,
4 d,Bieri Christoph,57.25,
6 a,Luginbühl Hanspeter,56.75,
7 a,Stalder Remo,56.5,
8 a,Röthlisberger Simon,56.25,
8 d,Roth Dominik,56.25,
9 b,Lauper Hansruedi,56.0,
10 b,von Büren Stephan,55.75,
10 e,Iseli Marco (1997),55.75,
11 a,Schütz Urs,55.5,
11 d,Roth Philipp,55.5,
11 g,Roschi Ruedi,55.5,
12 a,Zenger Niklaus,55.25,
12 d,Mathys Simon,55.25,
12 g,Wälchli Roger,55.25,
13 a,Wüthrich Niklaus,55.0,
13 d,Gobeli Patrick (1998),55.0,
13 g,Michel Jonas,55.0,
14 c,Kämpf Marcel,54.75,
14 f,Fankhauser Reto,54.75,
15 b,Wittwer Josias,54.5,
15 e,Zbinden Reto,54.5,
15 h,Meuter Adrian,54.5,
15 k,Fankhauser Thomas,54.5,
16 b,Tschanz Richard,54.25,
16 e,Gäggeler Adrian,54.25,
16 h,Mosimann Fabian,54.25,
17 a,Borcard Johann,54.0,
17 d,Kestenholz Christian,54.0,
17 g,Wittwer Jan (1997),54.0,
18 c,Aebi Roger,53.75,
18 f,Hofstetter Christian,53.75,
19 a,Wälti Christoph,53.5,
20,Graber Bruno,53.25,
21 c,Camenzind Ivan,53.0,
22 c,Rolli Martin,52.75,
22 f,Gerber Fritz,52.75,
24,Gnägi Christian,35.75,
25 c,Scheidegger Adrian,35.25,
25 f,Heeb Thierry,35.25,
26,Kappeler Niklaus,35.0,
27 c,Nägeli Daniel,34.75,
28 b,Neukomm Thierry,34.5,
28 e,Fink Beat,34.5,
30 a,von Känel Daniel,34.0,
31,Freitag Jan,18.25,
2,Sempach Thomas,58.0,
4 b,Zaugg Thomas,57.25,
5 a,Schuler Christian,57.0,
6 b,Bloch Dominic,56.75,
7 b,Anderegg Simon,56.5,
8 b,Moser Michael,56.25,
8 e,Imhof Andi,56.25,
9 c,Gerber Christian,56.0,
10 c,Joss David,55.75,
10 f,Binggeli Dominik,55.75,
11 b,Zwyssig Raphael,55.5,
11 e,Rhyner Michael,55.5,
11 h,Schenkel Remo,55.5,
12 b,Wüthrich Philip,55.25,
12 e,Blaser Roman,55.25,
12 h,Leuenberger Michael,55.25,
13 b,Schlüchter Colin (1997),55.0,
13 e,Dumelin David,55.0,
14 a,Waber Lorenz,54.75,
14 d,Schenk Patrick,54.75,
14 g,Studer Stefan,54.75,
15 c,Stämpﬂi Lorenz,54.5,
15 f,Schmid Reto,54.5,
15 i,Klossner Adrian,54.5,
15 l,Steﬀen Gustav,54.5,
16 c,Meyer Reto,54.25,
16 f,Zürcher Kurt,54.25,
16 i,Bremgartner Marcel,54.25,
17 b,Zimmermann Matthias,54.0,
17 e,Fankhauser Hans-Jakob,54.0,
18 a,Zaugg Christian,53.75,
18 d,Weyermann Michael,53.75,
18 g,Dummermuth Ueli,53.75,
19 b,Ramseier Thomas,53.5,
21 a,Zangger Dominik (1997),53.0,
22 a,Vonlanthen Cyril,52.75,
22 d,Krebs Ueli,52.75,
22 g,Berger Lorenz (1997),52.75,
25 a,Stucki Daniel,35.25,
25 d,Salzmann Simon,35.25,
25 g,Charrière Vital,35.25,
27 a,Steﬀen Konrad,34.75,
27 d,Gnägi Damian (1998),34.75,
28 c,Lanz Christian,34.5,
28 f,Blaser Jan,34.5,
30 b,Ledermann Patrik,34.0,
32,Wittwer René,17.25,
3,Lengacher Jonas ,57.5,
4 c,Gnägi Florian ,57.25,
5 b,Käser Remo ,57.0,
6 c,Kämpf Bernhard ,56.75,
7 c,Wyss Kilian ,56.5,
8 c,Aeschbacher Matthias ,56.25,
9 a,Wickli Beat ,56.0,
10 a,Glarner Matthias ,55.75,
10 d,Schenkel Adrian ,55.75,
10 g,Dind Samuel ,55.75,
11 c,Zehnder Jürg ,55.5,
11 f,Weyermann Florian ,55.5,
11 i,Kropf Thomas ,55.5,
12 c,Reust Markus ,55.25,
12 f,Berger René ,55.25,
12 i,Kappeler Ruedi,55.25,
13 c,Renfer Lukas ,55.0,
13 f,Leuenberger Michael ,55.0,
14 b,Urfer Simon ,54.75,
14 e,Graber Alfred ,54.75,
15 a,Riesen Julian,54.5,
15 d,Brunner Marcel ,54.5,
15 g,Ramseier Fritz ,54.5,
15 j,Reichen Stefan,54.5,
16 a,Zürcher Remo ,54.25,
16 d,Kämpf Lorenz ,54.25,
16 g,Pulfer Thomas ,54.25,
16 j,Gehrig Philipp ,54.25,
17 c,Scheuner Michael ,54.0,
17 f,Burger Fredy ,54.0,
18 b,Kobel Lorenz,53.75,
18 e,Walther Marcel,53.75,
18 h,Kämpf Alexander ,53.75,
19 c,Niederhäuser Martin,53.5,
21 b,Grossen John,53.0,
22 b,Schmid Lars,52.75,
22 e,Leuenberger Marc,52.75,
23,Heiniger Michael ,52.5,
25 b,Siegrist Silas ,35.25,
25 e,Mösching Andy ,35.25,
25 h,Aellen Florian,35.25,
27 b,Schüpbach Janick (1997),34.75,
28 a,Steﬀen Valentin,34.5,
28 d,Gehrig Kilian,34.5,
29,Habegger Jürg ,34.25,
30 c,Burger Lionel (1997),34.0,
