                                                                                                            Thurgauer Ü20 Schwingfest
Schlussrangliste                                                                                                  Weinfelden, 13.06.2021



Rang Punkte Resultat              Name Vorname                             Wohnort                     Schwingklub                   Status
  1   58.25 S +++++-              Krähenbühl Tobias, T ***                 Wetzikon TG              TG Unterthurgau
  2    57.75 ++++o+               Notz Beni, T ***                         Güttingen                TG Bodensee u. Rhein
  3a  57.50 S +++o+-              Ackermann Remo, S *                      Hinwil                   ZH Zürcher Oberland
  3b   57.50 o+++++               Arztmann Beda, T **                      Ossingen                 ZH Winterthur
  4a   56.50 +o+++o               Wey Nicola, S *                          Stäfa                    ZH Zürichsee Rechtes Ufer
  4b   56.50 ++oo++               Tsirkin Stepan                           Benglen                  ZH Zürcher Oberland
  4c   56.50 +o++o+               Funk Nicola, S *                         Hinwil                   ZH Zürcher Oberland
  5a   56.25 o-++++               Krähenbühl Lukas, T *                    Matzingen                TG Unterthurgau
  5b   56.25 --+o++               Vollenweider Jeremy, T **                Beringen                 SH Schaﬀhausen
  5c   56.25 o++o-+               Schnurrenberger Roman, S **              Sternenberg              ZH Zürcher Oberland
  6    56.00 o++--+               Lehmann Philipp, S *                     Humlikon                 ZH Winterthur
  7a   55.75 +o+o-+               Winzeler Simon, T                        Barzheim                 SH Schaﬀhausen
  7b   55.75 oo++-+               Schäppi Urs, S *                         Wiezikon b. Sirnach      TG Hinterthurgau
  7c   55.75 +-+o+o               Lanter Christian, S *                    Winterthur               ZH Winterthur
  8a   55.50 +-o++o               Dumelin David, T **                      Hüttlingen               TG Unterthurgau
  8b   55.50 ++o+oo               Burkhalter Thomas (2003), T              Homburg                  TG Ottenberg
  9    55.25 +o+oo+               Schild Cornel (2004), S                  Ottoberg                 TG Ottenberg
 10 a  55.00 +oo+o+               Wolfer Lukas, T *                        Matzingen                TG Ottenberg
 10 b  55.00 +ooo++               Koller Silvan, S                         Busswil TG               TG Hinterthurgau
 10 c  55.00 ++o+oo               Koller Fabian, S *                       Busswil TG               TG Hinterthurgau
 10 d  55.00 oo+o++               Bürgler Patrick, T                       Schaﬀhausen              SH Schaﬀhausen
 10 e  55.00 -+o--+               Burkhalter Stefan, T ***                 Homburg                  TG Ottenberg
 11    54.75 +-o+oo               Koller Andreas, S                        Busswil TG               TG Hinterthurgau
 12 a  54.50 o+o+-o               Keller Manuel, T *                       Braunau                  TG Ottenberg
 12 b  54.50 oo++-o               Blaser Christian, S **                   Zürich                   ZH Zürich
 13    54.25 o+o+oo               Bosshard Dario, T                        Turbenthal               ZH Zürcher Oberland
 14 a  54.00 +o+o-o               Keller Lukas, T                          Braunau                  TG Ottenberg
 14 b  54.00 o+oo+o               Schwager Mike, S                         Thundorf                 TG Hinterthurgau
 15 a  53.75 ooo++o               Vogel Simon, T                           Amriswil                 TG Oberthurgau
 15 b  53.75 +o+ooo               Steiner Michael, T **                    Amlikon-Bissegg          TG Ottenberg
 16    53.50 o+ooo-               Oettli Silvio, T *                       Bussnang                 TG Ottenberg
 17 a  53.25 o-o+o-               Notz Armin, T *                          Altnau                   TG Bodensee u. Rhein
 17 b  53.25 +ooo--               Bleiker Daniel, S                        Ebnat-Kappel             SG Wattwil
 18    53.00 oo+oo-               Buchmann Michael, T                      Hombrechtikon            ZH Zürichsee Rechtes Ufer
 19    52.50 o+oooo               Vollenweider Loïc (2004), T              Marthalen                SH Schaﬀhausen
 20    52.00 oooo--               Rüegger Remo, T                          Hörhausen                TG Ottenberg
 21    51.75 ooooo-               Magani Flurin, S                         Märwil                   TG Ottenberg

* Kantonal- bzw. Gauverbandskranzschwinger ** Teilverbandskranzschwinger *** Eidg. Kranzschwinger




Ottenberg                                             ©2021 Eidgenössischer Schwingerverband                         16.10.2021 07:07 Seite 1/1

