 Schlussrangliste                                                                                                                  Fr. 2.-
 109. Innerschweizerisches Schwing- und Älplerfest
 Seedorf (UR), 05. Juli 2015

   c                 Gwerder Guido, S **, Illgau                                               SZ   --++0+
   d                 Gwerder Christian, S **, Oberarth                                         SZ   -0++-+
   e                 Betschart Rainer, S **, Walchwil                                          ZG   -++-0+
   f                 Scheuber Lutz, S **, Büren NW                                             ONW -+0++0
11 a           55.75 Wenger Kilian, S ***, Horboden                                            BKSV +-+-+-
   b                 Waser Dominik, S *, Rotkreuz                                              ZG   --+++0
   c                 Odermatt Sepp, S **, Büren NW                                             ONW -++-+0
   d                 Fankhauser Marco, S **, Hasle LU                                          LU   -+++0-
   e                 Scheidegger Philipp, S **, Roggliswil                                     LU   0++0+0
   f                 Gander Adrian, S *, Ennetbürgen                                           ONW +0+00+
12 a           55.50 Vonlaufen Lukas, S *, Beckenried                                          ONW ---+++
   b                 Britschgi Melk, S **, Alpnach Dorf                                        ONW --++-+
   c                 Rohrer Ivan, T *, Sachseln                                                ONW -+-++0
   d                 Kempf Elias, S **, Seedorf UR                                             UR   --0+++
   e                 Effinger Markus, S *, Alpthal                                             SZ   -0-+++
   f                 Zimmermann Daniel, S *, Weggis                                            SZ   0+-+0+
   g                 Vonlaufen Alexander, S **, Beckenried                                     ONW -++0+0
   h                 Fink Bruno, S *, Sörenberg                                                LU   +0+00+
   i                 Fässler Cornel, S *, Reichenburg                                          SZ   ++0+00
   j                 Gwerder Dario, S, Ried-Muotathal                                          SZ   ++0---
13 a           55.25 Schuler Philipp, S **, Rothenthurm                                        SZ   -+-++0
   b                 Zimmermann Martin, T *, Cham                                              ZG   -+0+0+
   c                 Zemp Thomas, S *, Unterägeri                                              ZG   +0-++0
   d                 Theiler Beat, S *, Unterägeri                                             ZG   ++-+00
   e                 Muff André, S *, Rain                                                     LU   -+0++0
   f                 Lussi Marco, S *, Emmetten                                                ONW +0+-0+
   g                 Koch Roger, S *, Entlebuch                                                LU   0-++0+
   h                 Zurfluh Markus, S **, Altdorf                                             UR   0+++00
   i                 Waser Reto, S *, Küssnacht am Rigi                                        SZ   ++00+0
   j                 Lang Sven, T *, Emmenbrücke                                               LU   +0+0+0
   k                 Indergand Armin, S *, Erstfeld                                            UR   +0+0+0
   l                 Bernet Christoph, T *, Willisau                                           LU   0++00+
   m                 Kennel Beat, S *, Steinerberg                                             SZ   --+--+
   n                 Bieri Marcel, T **, Edlibach                                              ZG   --++--
   o                 Brun Jonas, S **, Entlebuch                                               LU   --++-0
   p                 Moos Christoph, S, Zugerberg                                              ZG   +00--+
14 a           55.00 Zimmermann Simon, S *, Beckenried                                         ONW +0+0+0
   b                 Töngi Thomas, S *, Wolfenschiessen                                        ONW 0+0+0+
   c                 Spichtig Markus, S *, Sachseln                                            ONW +0+0+0
   d                 Rychen Roger, S **, Mollis                                                NOSV 0++0+0
   e                 Käslin Ruedi, S, Buochs                                                   ONW +0+00+
   f                 Gassmann Michael, S *, Sachseln                                           ONW +0+0+0
   g                 Felder Martin, S, Ebnet                                                   LU   ++00+0
   h                 Amgarten Roman, S *, Lungern                                              ONW +00++0
   i                 Suter David, S **, Schwyz                                                 SZ   ---+-+
   j                 Hösli Fritz, T *, Edlibach                                                ZG   --+--+
   k                 Elsener Marcel, S, Finstersee                                             ZG   +0---+
   l                 Bachmann Roger, T *, Werthenstein                                         LU   --++0-
   m                 Villiger Cyrill, S *, Lauerz                                              SZ   -0+0+-
   n                 Dober Adrian, S *, Rain                                                   LU   +-+0-0
   o                 Arnold Marcel, S, Schwyz                                                  SZ   +--00+


* Kantonal- bzw. Gauverbandskranz ** Teilverbands- oder Bergkranz *** Eidgenössischer Kranz        3.15.0.0 ¦ 15.2763   c   Druckpartner Schumacher PrintSolutions

 Schlussrangliste                                                             109. Innerschweizerisches Schwing- und Älplerfest

15 a           54.75 Schärli Pius, S *, Wolhusen                                               LU   --++0-
   b                 Schärli Lukas, S **, Entlebuch                                            LU   -+-+-0
   c                 Föhn Pirmin, S *, Freienbach                                              SZ   -++-0-
   d                 Graber Michael, T *, Schötz                                               LU   --0+0+
   e                 Bürgler André, S *, Illgau                                                SZ   --+0+0
   f                 Heinzer Ronny, S, Rickenbach b. Schwyz                                    SZ   -+000+
16 a           54.50 Wyrsch Marco, S *, Attinghausen                                           UR   -+0-+-
   b                 Betschart Daniel, S, Muotathal                                            SZ   +-0--+
   c                 Zurfluh Michael, S, Attinghausen                                          UR   0-+-+0
   d                 Müller Alain, S ***, Willisau                                             LU   -0+0-+
   e                 Märchy Sepp, S, Lauerz                                                    SZ   +-00-+
   f                 Kälin Remo, S *, Egg SZ                                                   SZ   +-+00-
   g                 Ettlin Stefan, T *, Kerns                                                 ONW 0+0+--
   h                 Durrer Robin, T, St. Niklausen OW                                         ONW -0+0+-
   i                 Betschart Marcel, S, Oberarth                                             ZG   -0+0-+
   j                 Niederberger Markus, S *, Alpnach Dorf                                    ONW 0+0-+0
   k                 Langenstein Philip, S *, Engelberg                                        ONW -0+00+
   l                 Gut Koni, S, Sins                                                         ONW ++0-00
   m                 Blaser Theo, S *, Muotathal                                               SZ   +0-+00
17 a           54.25 Widmer Adrian, S *, Ruswil                                                LU   -+-0-+
   b                 Stadelmann Pius, S *, Entlebuch                                           LU   --++0-
   c                 Rohrer Beat, S *, Sachseln                                                ONW -0-++-
   d                 Fleischmann Fabian, S, Giswil                                             ONW -+0+--
   e                 Portmann Josef, S *, Wiggen                                               LU   +00+--
   f                 Lagler Christian, S, Hirzel                                               SZ   --0+0+
   g                 Kempf Damian, T, Altdorf UR                                               UR   0+-0-+
   h                 Effinger Peter, S, Alpthal                                                SZ   -+0-+0
   i                 Thierstein Marco, S, Abtwil AG                                            LU   -+0+00
   j                 Notz Beni, T ***, Güttingen                                               NOSV 00++0-
