                                                                                                             Bözingenberg-Schwinget
                       Schlussrangliste                                                                       Biel/Bözingen, 04.08.2018


Rang Punkte    Resultat              Name Vorname                                 Wohnort                 Schwingklub              Status
  1    60.00 S ++++++                Stucki Christian, S ***                      Lyss               SL   Unteres Seeland
  2    57.50 +--+++                  Roth Philipp, S ***                          Biberist           SL   Aarberg
  3a   57.25 -+-+++                  Zwyssig Raphael, S ***                       Gais               AP   Gais
  3b   57.25 o+++-+                  Rolli Martin, S **                           Riggisberg         ML   Schwarzenburg
  4    57.00 o+++o+                  Thomet Adrian, S **                          Rüeggisberg        ML   Schwarzenburg
  5a   56.50 S +-++-o                Gnägi Florian, T ***                         Aarberg            SL   Biel
  5b   56.50 +o+-++                  Kuster Marcel, S ***                         Appenzell          AP   Gais
  5c   56.50 o++o++                  Meuter Adrian, T **                          Vinelz             SL   Biel
  5d   56.50 ++o+o+                  Schenk Adrian, *                             Les Prés-d'Orvin   ET   Siehen
  6    56.25 -++o+-                  Zosso Remo, S **                             Kerzers            SL   Biel
  7a   56.00 o++o++                  Gnägi Damian, T                              Bühl b. Aarberg    SL   Biel
  7b   56.00 -++-+o                  Gnägi Christian, T *                         Bellmund           SL   Biel
  8    55.75 +-o++o                  Schär Alex (2000), S                         Tramelan           JB   Tavannes
  9a   55.25 +-o++o                  Galli Cedric (2001), S                       Schleinikon        ZH   Zürcher Unterland
  9b   55.25 -+o+o+                  Kuster Thomas, S *                           Altstätten SG      AP   Gais
  9c   55.25 o++o+-                  Vestner Bruno, T *                           Gais               AP   Gais
  9d   55.25 +o+o+o                  Grossenbacher Roger, T                       Brügg BE           SL   Biel
  9e   55.25 +o++oo                  Hafner Alexander, T                          Nidau              SL   Biel
 10 a  55.00 +o+o+o                  Schwab Marc, S                               Aarberg            SL   Aarberg
 10 b  55.00 --++o-                  Schwab David (2000)                          Aarberg            SL   Aarberg
 11    54.75 -+o-o+                  Dubler Mike, T                               Aarberg            SL   Biel
 12 a  54.50 +o-+o-                  Mettler Fabio (2002), S                      Lengnau BE         SL   Unteres Seeland
 12 b  54.50 ++ooo-                  Dreier Björn (2000), S                       Gohl               ET   Zäziwil
 12 c  54.50 +o+o-o                  Ledermann Patrik, S                          Detligen           SL   Aarberg
 12 d  54.50 oo++o-                  Schneiter Jérémy, S                          Gorgier            NE   Vignoble
 12 e  54.50 +o-+oo                  Vonlanthen Cyril, T *                        Bellmund           SL   Biel
 13 a  54.25 oo+-+-                  Giger Lorenz (2000), S                       Teufen AR          AP   Gais
 13 b  54.25 o-+-o+                  Langenegger Beat, S                          Gais               AP   Gais
 13 c  54.25 o-o-++                  Maridor Loic, S                              Fontaines NE       NE   Vignoble
 13 d  54.25 -+o-+o                  Wyss Sandro, S                               Seedorf BE         SL   Lyss
 13 e  54.25 o+-oo+                  Fässler Michael, S                           Teufen AR          AP   Gais
 14 a  54.00 +oo--+                  Zryd Luca (2002), S                          Tavannes           JB   Tavannes
 14 b  54.00 -+ooo+                  Torche Bastian, T                            Les Pontins        NE   Vignoble
 14 c  54.00 o-o+--                  Kiener Raphael (2000), S                     Schöﬄisdorf        ZH   Zürcher Unterland
 15    53.75 o+ooo+                  Léchot Sven (2002), S                        Malleray           JB   Tavannes
 16    53.50 oooo++                  Jenni Jan (2002), S                          Balsthal           SO   Mümliswil-Ramiswil
 17    53.25 -+o-oo                  Büchler Livio (2001), S                      Bühler             AP   Gais
 18 a  52.75 ooo+-o                  Amez-Droz Arnaud (2002), S                   Villiers           NE   Vignoble
 18 b  52.75 -ooo+o                  Sieber Marc (2000), T                        Rüdlingen          ZH   Zürcher Unterland
 19 a  52.25 +ooooo                  Bönzli Reto (2001)                           Vinelz             SL   Aarberg
 19 b  52.25 ooo+oo                  Häni Roger (2002)                            Grossaﬀoltern      SL   Lyss
 19 c  52.25 oo+ooo                  Nussbaumer Mathieu (2002), T                 Les Vieux-Prés     NE   Vignoble
 20    51.00 oooooo                  Strähl Elia (2002), S                        Mümliswil          SO   Mümliswil-Ramiswil

* Kantonal- bzw. Gauverbandskranzschwinger ** Teilverbandskranzschwinger *** Eidg. Kranzschwinger




Biel                                                  ©2021 Eidgenössischer Schwingerverband                       19.08.2021 19:49 Seite 1/1

