13 d 55.25 -+o+o+ Gosswiler Livio (2000), S *        Mastrils                GR     Unterlandquart
13 e 55.25 -+oo++ Heierli Pascal, S *                Ebnat-Kappel            SG     Wattwil
13 f 55.25 -oo+++ Inauen Aurel, S                    Appenzell               AP     Appenzell
13 g 55.25 o+o-++ Oertle Daniel, T *                 Hundwil                 AP     Herisau
13 h 55.25 +-+oo+ Pianta Christian, S                Mollis                  GL     Niederurnen u. Umgebung
13 i 55.25 o+++-o Roschi Ruedi, S **                 Oey                     BO     Niedersimmental
13 j 55.25 +-++oo Schlegel Werner (2002), S *        Hemberg                 SG     Wattwil
13 k 55.25 +o++oo Kamer Hanspeter, S *               Benken SG               SG     Rapperswil u. Umgebung
13 l 55.25 o+++oo Koch Thomas, S *                   Gonten                  AP     Appenzell
13 m 55.25 +o++oo Riget Tobias, S **                 Schänis                 SG     Rapperswil u. Umgebung
13 n 55.25 +o+o+o Schläpfer Matthias, S *            Heiden                  AP     Wolfhalden
13 o 55.25 +o+o+o Schlegel Reto, S *                 Flums                   SG     Mels
14 a 55.00 -o+o++ Arztmann Beda, T *                 Ossingen                ZH     Winterthur
14 b 55.00 o++-o+ Kolb Pirmin (2001), T              Aﬀeltrangen             TG     Hinterthurgau
14 c 55.00 -o+++o Wittenwiler Roman, S *             Schwellbrunn            AP     Herisau
14 d 55.00 +oo++o Ammann Rico, T *                   Häuslenen               TG     Unterthurgau
14 e 55.00 o+++oo Krähenbühl Lukas, T *              Rümlingen               TG     Unterthurgau
15 a 54.75 ++ooo+ Hauser Simon, S                    Wädenswil               ZH     Zürichsee Linkes Ufer
15 b 54.75 +o+o+o Keller Werner, S                   Urnäsch                 AP     Herisau
16 a 54.50 o-+o+- Bickel Roman, T *                  Hochfelden              ZH     Zürcher Unterland
16 b 54.50 -oo++- Rüegg Roman, T *                   Walde SG                SG     Rapperswil u. Umgebung
16 c 54.50 -o-+o+ Wetter Silvan (2000), T            Bichwil                 SG     Uzwil
16 d 54.50 o+oo+- Ackermann Remo, S *                Hinwil                  ZH     Zürcher Oberland
16 e 54.50 +oo+o- Bernold Christian, S **            Berschis                SG     Mels
16 f 54.50 o-o++o Elmer Adrian, T *                  Eschenbach SG           SG     Rapperswil u. Umgebung
16 g 54.50 oo+-+o Rüegg Fabian, S *                  Mörschwil               SG     St. Gallen u. Umgebung
16 h 54.50 o+o+oo Oertig Simon, T *                  Gossau SG               SG     St. Gallen u. Umgebung
17 a 54.25 +o--o+ Baumann Rico, T *                  Ellikon am Rhein        SG     Flawil
17 b 54.25 o+--+o Büchler Remo, T **                 Schänis                 SG     Rapperswil u. Umgebung
17 c 54.25 o++-o- Jörger Marc, S *                   Domat/Ems               GR     Domat/Ems
17 d 54.25 --o+o+ Koller Fabian, S *                 Busswil TG              TG     Hinterthurgau
17 e 54.25 -+o-+o Odermatt Michi, S                  Hausen am Albis         ZH     Am Albis
17 f 54.25 -++-oo Schläpfer Markus, S **             Niederbüren             AP     Wolfhalden
17 g 54.25 -+ooo+ Buchmann Michael, T                Hombrechtikon           ZH     Zürichsee Rechtes Ufer
17 h 54.25 -+oo+o Funk Nicola, S *                   Hinwil                  ZH     Zürcher Oberland
17 i 54.25 -++ooo Notz Armin, T *                    Altnau                  TG     Bodensee u. Rhein
17 j 54.25 o+o+o- Vestner Roman, T *                 Speicherschwendi        SG     St. Gallen u. Umgebung
17 k 54.25 oo++oo Frick Andreas, S *                 Urnäsch                 AP     Herisau
17 l 54.25 o+ooo+ Jöhl Christian, S *                Mollis                  GL     Niederurnen u. Umgebung
17 m 54.25 ++oooo Lehmann Philipp, S                 Humlikon                ZH     Winterthur
17 n 54.25 o+o+oo Odermatt Christoph, S *            Hinwil                  ZH     Zürcher Oberland
18 a 54.00 +ooo+- Hobi Ignaz, S                      Berschis                SG     Mels
18 b 54.00 -o++oo Kunz Daniel, T *                   Bubikon                 ZH     Zürichsee Rechtes Ufer
18 c 54.00 +o+o-o Landolt Reto, T *                  Näfels                  GL     Glarus-Mittelland
18 d 54.00 o+-+oo Nägeli Roman, S *                  Schönenberg ZH          ZH     Am Albis
18 e 54.00 +o+oo- Rohner Lukas (2000), S             Scharans                GR     Heinzenberg
Nordostschweizer Schwingerverband          ©2022 Eidgenössischer Schwingerverband                  20.06.2022 10:51 Seite 2/4

                                              123. Nordostschweizer Schwingfest (125 Jahre
                  Schlussrangliste                                                    NOSV)
                                                                      Herisau AR, 24.06.2018

Rang Punkte Resultat Name Vorname                                Wohnort                             Schwingklub                    Status
18 f 54.00 o++o-o Straub Robin, T *                              Romanshorn                     TG   Oberthurgau
18 g 54.00 oo+o+o Ackermann Roman, S                             Schönengrund                   AP   Herisau
18 h 54.00 o+o+oo Burkhard Tobias, S                             Maur                           ZH   Zürich
19 a 53.75 +oo+o- Rotach Lars (2000), S                          Ulisbach                       SG   Wattwil
19 b 53.75 +o+ooo Hugelshofer Lars (2001), T                     Schönholzerswilen              TG   Ottenberg
19 c 53.75 +oo+oo Kobler Janosch (2000), S                       Oberriet SG                    SG   Mittel-Rheintal
19 d 53.75 oo+o+o Schwyn Patrick, T                              Merishausen                    SH   Schaﬀhausen
19 e 53.75 -o+--o Wey Nicola, S *                                Stäfa                          ZH   Zürichsee Rechtes Ufer
20 a 53.50 +o+ooo Schuler Martin, S                              Wädenswil                      ZH   Zürichsee Linkes Ufer
20 b 53.50 -+oo-- Vollmeier Sandro, S                            Tübach                         SG   St. Gallen u. Umgebung
                                                                                                     Glatt- und Limmattal,
21 a 53.25 --+o-o Kammermann Thomas, S *                         Ebikon                         ZH
                                                                                                     Rothenburg
21 b   53.25    -o+-o-     Neﬀ Florian, S                        Appenzell                      TG   Oberthurgau
21 c   53.25    oo+---     Vestner Bruno, T *                    Gais                           AP   Gais
21 d   53.25    -o+o-o     Roth Peter, S                         Ebnat-Kappel                   SG   Wattwil
21 e   53.25    oo-+-o     Schwyn Adrian, T *                    Merishausen                    SH   Schaﬀhausen
21 f   53.25    -oo+o-     Tritten Robin, S                      Buch b. Frauenfeld             TG   Unterthurgau
22 a   53.00    -+oo--     Wettstein Daniel, S                   Zürich                         ZH   Glatt- und Limmattal
22 b   53.00    -+-ooo     Lanter Christian, S                   Winterthur                     ZH   Winterthur
22 c   53.00    o--+oo     Ochsner Reto (2000), T                Gächlingen                     SH   Schaﬀhausen
22 d   53.00    +oo-o-     Thoma Christoph, S                    Gonten                         AP   Appenzell
22 e   53.00    +-ooo-     Ueltschi Patric, S *                  Krinau                         SG   Wattwil
23 a   52.75    o+o--o     Wildhaber Jannik, S                   Walenstadt                     SG   Mels
23 b   52.75    +oo-oo     Bürgler Patrick, T                    Schaﬀhausen                    SH   Schaﬀhausen
23 c   52.75    -+oooo     Schnyder Christian, S                 Rüeterswil                     GL   Niederurnen u. Umgebung
24 a   52.50    -o+ooo     Flütsch Marco, S                      Ascharina                      GR   Prättigau
24 b   52.50    o+oooo     Horner Sämi, S                        Ennenda                        GL   Glarus-Mittelland
25     46.25    o+++o      Morger Adrian, S *                    Hinwil                         ZH   Zürcher Oberland               Unfall
26     36.00    +o-o       Castelli Fabio, S                     Andeer                         GR   Heinzenberg                    Unfall
27     35.50    -oo+       Dörig Erich, T *                      Haslen AI                      AP   Appenzell                      Unfall
28 a   35.25    oo+o       Baumgartner Ramon (2002), S           Niederglatt SG                 SG   Flawil
28 b   35.25    +ooo       Hari Michi, T                         Hettlingen                     ZH   Winterthur
28 c   35.25    o+oo       Ziegler Andreas (2002), T             Kaltbrunn                      SG   Rapperswil u. Umgebung
28 d   35.25    o+oo       Zumbach Michael, S                    Pfäﬃkon ZH                     SG   Rapperswil u. Umgebung
29 a   35.00    -o--       Rüegg Patrick, T                      Rikon im Tösstal               ZH   Winterthur
29 b   35.00    o-o-       Tremp Remo, S                         Schänis                        SG   Rapperswil u. Umgebung
29 c   35.00    oo-o       Riedi Thomas, T                       Netstal                        GL   Glarus-Mittelland
30 a   34.75    o---       Peng Mike, T ***                      Malix                          GR   Chur
30 b   34.75    oo-o       Schegg Daniel (2000), S               Oberriet SG                    SG   Mittel-Rheintal
31     34.50    -ooo       Steiner Joel (2000), T                Maseltrangen                   SG   Rapperswil u. Umgebung
32 a   34.25    ooo-       Pﬁster Florian, S *                   Fischingen                     SG   Wil
32 b   34.25    -ooo       Rütsche Stefan, S *                   Kirchberg SG                   SG   Wil
32 c   34.25    oooo       Arnold Christian, T                   Eschenbach SG                  SG   Rapperswil u. Umgebung
33 a   34.00    oooo       Furrer Matthias, S                    Islisberg                      ZH   Am Albis
33 b   34.00    oooo       Schiesser Patrik, S                   Linthal                        GL   Glarus-Mittelland
33 c   34.00    oooo       Wolfer Lukas, T *                     Neuwilen                       TG   Ottenberg
34     27.25    -+o        Marty Jaime (2000), T                 Grasswil                       AP   Appenzell                      Unfall
35     27.00    +oo        Fausch Kjetil, S *                    Sargans                        SG   Wartau                         Unfall
36     26.75    +oo        Mettler Valentin, S *                 Neu St.Johann                  SG   Wattwil                        Unfall
37     26.00    --o        Büsser André, S *                     Amden                          SG   Rapperswil u. Umgebung         Unfall
38     25.75    o-o        Hochholdinger Roman, T **             Felsberg                       GR   Chur                           Unfall
39     25.50    ooo        Schäppi Urs, S *                      Wiezikon b. Sirnach            TG   Hinterthurgau                  Unfall
40      8.50    o          Bühler Ernst, T **                    Zihlschlacht                   TG   Oberthurgau                    Unfall

* Kantonal- bzw. Gauverbandskranzschwinger ** Teilverbandskranzschwinger *** Eidg. Kranzschwinger




Nordostschweizer Schwingerverband                     ©2022 Eidgenössischer Schwingerverband                        20.06.2022 10:51 Seite 3/4

                                     123. Nordostschweizer Schwingfest (125 Jahre
                  Schlussrangliste                                           NOSV)
                                                             Herisau AR, 24.06.2018

Kranzverteilung
AP GL GR SG TG ZH BKSV(Gast) ISV(Gast) Total
 5 1 2 5 5 3       2          2         25




Nordostschweizer Schwingerverband          ©2022 Eidgenössischer Schwingerverband     20.06.2022 10:51 Seite 4/4

