                                                                                                                  Bözingenberg-Schwinget
                       Schlussrangliste                                                                            Biel/Bözingen, 05.08.2017


Rang Punkte    Resultat             Name Vorname                             Wohnort                     Schwingklub                    Status
  1    58.50 S ++++-+               Roth Philipp, S ***                      Biberist               SL   Aarberg
  2    57.75 o+-+++                 Dändliker Shane, S *                     Feldbach               ZH   Zürichsee Rechtes Ufer
  3    57.25 o++-++                 Dind Samuel, S **                        Villiers               NE   Lausanne / Vignoble
  4    56.75 S +++o+o               Roth Dominik, S **                       Meikirch               SL   Aarberg
  5a   56.50 -+++-+                 Zimmermann Matthias, T *                 Jens                   SL   Biel
  5b   56.50 -o++++                 Wey Nicola, S *                          Stäfa                  ZH   Zürichsee Rechtes Ufer
  6    56.25 ++-o+-                 Roth Robin (2000), *                     Biberist               SL   Aarberg
  7    56.00 -++-+o                 Burger Fredy, S *                        Kallnach               SL   Biel
  8a   55.75 ++o-o+                 Hurschler Michael, S                     Alikon                 SL   Biel / Cham-Ennetsee
  8b   55.75 -+o+o+                 Gnägi Christian, T *                     Bellmund               SL   Biel
  8c   55.75 ++oo-+                 Burger Matthieu (2001), S                Les Prés-d'Orvin       SL   Biel
  9a   55.50 -++oo+                 Dubler Mike (1999), T                    Aarberg                SL   Biel
  9b   55.50 -+o+o+                 Bickel Stefan, S *                       Hochfelden             ZH   Zürcher Unterland
 10 a  55.25 +o+-+o                 Vonlanthen Cyril, T *                    Bellmund               SL   Biel
 10 b  55.25 -o+++o                 Bickel Roman, T *                        Hochfelden             ZH   Zürcher Unterland
 10 c  55.25 +oo+o+                 Candrian Gian-Luca, S                    Oberglatt ZH           ZH   Zürcher Unterland
 11 a  55.00 +o+oo+                 Lanter Christian, S                      Winterthur             ZH   Winterthur
 11 b  55.00 ++o---                 Schär Alex (2000), S                     Tramelan               JB   Tavannes
 12 a  54.50 o-o-++                 Wyss Sandro, S                           Seedorf BE             SL   Lyss
 12 b  54.50 -++-oo                 Funk Nicola (1999), S                    Hinwil                 ZH   Zürcher Oberland
 12 c  54.50 +o-+oo                 Schwab David (2000)                      Aarberg                SL   Aarberg
 12 d  54.50 -o+oo+                 Kiener Raphael (2000), S                 Schöﬄisdorf            ZH   Zürcher Unterland
 13 a  54.25 -oo-++                 Maridor Loic, S                          Fontaines NE           NE   Vignoble
 13 b  54.25 -oo++o                 Grossenbacher Roger, T                   Brügg BE               SL   Biel
 13 c  54.25 o+oo+o                 Gnägi Lionel, T                          Bellmund               SL   Biel
 14 a  54.00 o-+o+o                 Zingg Marc (2001), S                     Moosseedorf            ML   Worblental
 14 b  54.00 -oo++o                 Schwab Marc, S                           Aarberg                SL   Aarberg
 14 c  54.00 -o+o+o                 Dreier Björn (2000), S                   Gohl                   ET   Zäziwil
 15 a  53.75 oo++oo                 Sieber Marc (2000), T                    Rüdlingen              ZH   Zürcher Unterland
 15 b  53.75 o+o+oo                 Schneiter Jérémy, S                      Gorgier                NE   Vignoble
 16    53.50 -o-oo+                 Kaiser Fabian (2000)                     Leuzigen               SL   Unteres Seeland
 17    53.00 +o-ooo                 Wüthrich André (2001), S                 Cortébert              JB   Tavannes
 18    52.50 ooooo+                 Bönzli Reto (2001)                       Vinelz                 SL   Aarberg
 19    52.25 o+oooo                 Kiener Tobias, S                         Schöﬄisdorf            ZH   Zürcher Unterland
 20    51.50 ooo-oo                 Kocher Patris (2000)                     Arch                   SL   Aarberg
 21    18.50 +o                     Gerber Marco, S                          Biglen                 ET   Oberdiessbach / Zäziwil        Unfall
 22    17.00 oo                     Wegmüller Florian, S                     Aarberg                SL   Lyss                           Unfall

* Kantonal- bzw. Gauverbandskranzschwinger ** Teilverbandskranzschwinger *** Eidg. Kranzschwinger




Biel                                                  ©2021 Eidgenössischer Schwingerverband                            11.06.2021 08:48 Seite 1/1

