                                                Zürcher
         Schlussrangliste         Kantonalschwingfest
                             Hausen am Albis, 06.05.2018
12 p 55.50   oo++o+   Thoma Christoph, S                 Gonten                       AP Appenzell
12 q 55.50   -+---+   Nock Benjamin (2001), S            Turbenthal                   ZH Zürcher Oberland
12 r 55.50   -+--+o   Hari Michi, T                      Hettlingen                   ZH Winterthur
13 a 55.25   o+-o++   Elmer Daniel, S *                  Rüeterswil                   SG Rapperswil u. Umgebung
13 b 55.25   ++-o+o   Oertig Simon, T                    Gossau SG                    SG St. Gallen u. Umgebung
13 c 55.25   +o+o+o   Bucher Roland, S                   Wald ZH                      ZH Zürcher Oberland
13 d 55.25   o+++oo   Büsser André, S *                  Amden                        SG Rapperswil u. Umgebung
13 e 55.25   ++oo+o   Galli Cedric (2001), S             Schleinikon                  ZH Zürcher Unterland
13 f 55.25   ++oo+o   Kiener Raphael (2000), S           Schöﬄisdorf                  ZH Zürcher Unterland
13 g 55.25   +o+o+o   Schuler Martin, S                  Wädenswil                    ZH Zürichsee Linkes Ufer
13 h 55.25   o+o++o   Wickli Beat, S **                  Ennetbühl                    SG Wattwil
14 a 55.00   o+-++o   Neﬀ Florian, S                     Appenzell                    TG Oberthurgau
14 b 55.00   +o+oo+   Amstutz Janic (2002), T            Obfelden                     ZH Am Albis
14 c 55.00   o+o+o+   Baumann Rico, T *                  Andelﬁngen                   SG Flawil
14 d 55.00   o+o++o   Giger Florian (2001), S            Teufen AR                    AP Herisau
14 e 55.00   oo+++o   Hersche Daniel, S *                Appenzell                    AP Appenzell
14 f 55.00   o+o+o+   Manser Adrian, S                   Appenzell                    AP Appenzell
14 g 55.00   +o++oo   Notz Armin, T *                    Altnau                       TG Bodensee u. Rhein
14 h 55.00   o++o+o   Reber Marcel, S *                  Says                         GR Unterlandquart
14 i 55.00   oo++o+   Signer Ramon (2002), S             Appenzell                    AP Appenzell
14 j 55.00   ++o+oo   Vollmeier Sandro, S                Tübach                       SG St. Gallen u. Umgebung
14 k 55.00   -o-+-+   Oertle Daniel, T *                 Hundwil                      AP Herisau
15 a 54.75   o+o+o+   Hugener Adrian (2000), S           Embrach                      ZH Winterthur
15 b 54.75   o++oo+   Keller Andreas, T *                Pfäﬃkon ZH                   ZH Winterthur
15 c 54.75   -o+--+   Baumgartner Ramon (2002), S        Niederglatt SG               SG Flawil
15 d 54.75   --++-o   Oettli Silvio (2000), T            Bussnang                     TG Ottenberg
15 e 54.75   +o--+o   Lozza Roman, S                     Walenstadt                   SG Mels
15 f 54.75   +o-+oo   Jörger Corsin, S                   Domat/Ems                    GR Domat/Ems
16 a 54.50   o--++-   Krähenbühl Lukas, T *              Matzingen                    TG Unterthurgau
16 b 54.50   +-+o--   Wetter Silvan (2000), T            Bichwil                      SG Uzwil
16 c 54.50   -+oo+-   Wildhaber Jannik, S                Walenstadt                   SG Mels
16 d 54.50   o++oo-   Ueltschi Patric, S *               Krinau                       SG Wattwil
17 a 54.25   +---+o   Gosswiler Livio (2000), S          Mastrils                     GR Unterlandquart
17 b 54.25   -o+-+-   Kolb Pirmin (2001), T              Aﬀeltrangen                  TG Hinterthurgau
17 c 54.25   -+oo+-   Bollhalder Manuel (2001), S        Flawil                       SG Flawil
17 d 54.25   -++oo-   Inauen Aurel, S                    Appenzell                    AP Appenzell
17 e 54.25   o-o++o   Blaser Niklas, T *                 Hörhausen                    TG Ottenberg
17 f 54.25   -+o+oo   Weibel Lucien, T                   Winterthur                   ZH Winterthur
17 g 54.25   +oo+oo   Grimm Michael, S                   Hirzel                       ZH Zürichsee Linkes Ufer
18 a 54.00   o++o--   Rohner Lukas (2000), S             Scharans                     GR Heinzenberg
18 b 54.00   o+o+-o   Brülisauer Dominik (2001), S       Haslen AI                    AP Appenzell
Zürich                                       ©2018 Eidgenössischer Schwingerverband                       14.10.2018 11:01 Seite 2/4

                                                  Zürcher
         Schlussrangliste           Kantonalschwingfest
                               Hausen am Albis, 06.05.2018

Rang Punkte Resultat Name Vorname                       Wohnort                         Schwingklub                 Status
18 c 54.00 o++oo- Götti Samuel, S                       Rothenhausen                 TG Ottenberg
18 d 54.00 ++oo-o Hauser Simon, S                       Wädenswil                    ZH Zürichsee Linkes Ufer
18 e 54.00 +o+o-o Jörger Marc, S *                      Domat/Ems                    GR Domat/Ems
18 f 54.00 o++oo- Landolt Cla, S                        Dürnten                      ZH Zürcher Oberland
18 g 54.00 o+o+o- Scherrer Pascal, S                    Bazenheid                    SG Wil
18 h 54.00 +-o+oo Stähli Jan, S                         Zwillikon                    ZH Am Albis
18 i 54.00 o-+oo+ Straub Paul, T                        Zihlschlacht                 TG Oberthurgau
18 j 54.00 +o+ooo Bärtsch Andreas (2002), S             Furna                        GR Prättigau
18 k 54.00 o+o+oo Käppeli Remo (2001), T                Uetikon am See               ZH Zürichsee Rechtes Ufer
18 l 54.00 +o+ooo Schönenberger Christian, S            Mettmenstetten               ZH Am Albis
18 m 54.00 +o+ooo Zehnder Mario, S                      Wädenswil                    ZH Zürichsee Linkes Ufer
19 a 53.75 +oo+o- Lusti Remo (2001), S                  Zürich                       ZH Zürichsee Linkes Ufer
19 b 53.75 +o+ooo Frauenfelder Florian (2001), S        Hofstetten ZH                ZH Winterthur
19 c 53.75 oo++oo Steiner Joel (2000), T                Maseltrangen                 SG Rapperswil u. Umgebung
20 a 53.50 o+o+oo Birk Till (2002), S                   Stadel b. Niederglatt        ZH Zürcher Unterland
20 b 53.50 +o+ooo Sieber Marc (2000), T                 Rüdlingen                    ZH Zürcher Unterland
20 c 53.50 ---+o- Gartmann Mauro, S *                   Flerden                      GR Heinzenberg
21 a 53.25 o-+o-- Jordi Gregor Ruedi, S                 Bäretswil                    ZH Zürich
21 b 53.25 -oo+o- Zumbach Michael, S                    Wald ZH                      SG Rapperswil u. Umgebung
