Schlussrangliste 12. Schwägalp-Schwinget, 21. August 2011


   c             Knöpfel Hansueli *                                    Hundwil (NOS)                          OO++O+
   d             Knechtle Martin **                                    Ganterschwil (NOS)                     O+O++O
   e             Gasser Stefan **                                      Alpnach (ISV)                          +O+O+O
11 a       55.00 Sutter Christoph **                                   Hubersdorf (NWS)                       ++O+OO
   b             Gloggner Philipp **                                   Ruswil (ISV)                           +O++OO
   c             Schläpfer Markus **                                   Niederbüren (NOS)                      +--O+O
12 a       54.75 Signer Emil **                                        St. Peterzell (NOS)                    +--O+-
   b             Rhyner Michael **                                     Nassen (NOS)                           -+O+--
   c             Föhn Franz **                                         Rothenturm (ISV)                       ++---O
   d             Clopath Beat ***                                      Bonaduz (NOS)                          -O++-O




Eidg. Kranzschwinger *** Teilverbandskranzer ** Kantonalkranzer *
Schlussgangteilnehmer                                              © Ranglistenprogramm Bruno Heller, Schwingklub Zürcher Oberland

Schlussrangliste 12. Schwägalp-Schwinget, 21. August 2011


 13 a             54.50 Zwyssig Raphael **                             Gais (NOS)                             -+O--+
    b                   Krähenbühl Roland **                           Matzingen (NOS)                        ---++O
    c                   Gwerder Andreas **                             Schönenberg (NOS)                      --+O-+
    d                   Kohler Fredi **                                Pfäfers (NOS)                          -O++O-
    e                   Eugster Ruedi **                               Quarten (NOS)                          --++OO
    f                   Bösch Roman **                                 Alt St. Johann (NOS)                   +O+O--
 14 a             54.25 Vogel Urs **                                   Ruswil (ISV)                           --O++O
    b                   Mock Thomas **                                 Appenzell (NOS)                        OO-++-
    c                   Meier Niklaus **                               Würenlingen (NWS)                      O-+O+-
    d                   Fässler Andreas **                             Appenzell (NOS)                        +O+--O
    e                   Süess Gerry *                                  Zuzwil (NOS)                           ++-OOO
    f                   Hirt Pascal *                                  Tschirtschen (NOS)                     +O+OO-
    g                   Greder Sebastian **                            Niederrohrdorf (NWS)                   O-+O+O
    h                   Arnold Stefan *                                Attinghausen (ISV)                     O+-OO+
 15 a             54.00 Kid Simon **                                   Weesen (NOS)                           +O--O+
    b                   Zurfluh Markus *                               Attinghausen (ISV)                     -+OO+O
    c                   Roth Ueli **                                   Ebnat - Kappel (NOS)                   +OO+O-
    d                   Beglinger Fridolin **                          Mollis (NOS)                           +O-+OO
    e                   Schneider Mario **                             Friltschen (NOS)                       +OOOO+
    f                   Nigg Lukas *                                   Attikon (NOS)                          +OO+OO
 16               53.75 Messerli Stefan **                             Heldswil (NOS)                         O+O+OO
 17 a             53.50 Schmid David *                                 Wittnau (NWS)                          O+O+OO
    b                   Krähenbühl Tobias **                           Matzingen (NOS)                        ---+O-
    c                   Henzer Michael **                              Basel (NWS)                            --+O--
    d                   Vögeli Sven *                                  Gächlingen (NOS)                       OO+O--
 18               53.25 Fankhauser Erich **                            Hasle (ISV)                            O+-OO-
 19 a             53.00 Abderhalden Urs **                             Nesslau (NOS)                          -+--OO
    b                   Kuster Thomas *                                Gais (NOS)                             -+-OOO
    c                   Korrodi Paul *                                 Schönenberg (NOS)                      OOO+O-
    d                   Horner Peter *                                 Ennenda (NOS)                          +OOOO-
 20               52.75 Arnold Alois *                                 Allenwinden (ISV)                      --O+OO
 21               36.25 Forrer Arnold ***                              Stein (NOS)                            -+-O
 22               36.00 Stadelmann Ruedi ***                           Daiwil (ISV)                           -+-O
 23 a             35.25 Studinger Stefan **                            Dänikon (NWS)                          OO+O
    b                   Sprecher Sandro **                             Bonaduz (NOS)                          +OOO
    c                   Roth Martin *                                  Herisau (NOS)                          +OOO
    d                   Pedrazzi Marco *                               Trüllikon (NOS)                        OO+O
    e                   Laimbacher Ivo ***                             Brunnen (ISV)                          OOO+
    f                   Hersche Martin *                               Appenzell (NOS)                        OOO+
    g                   Forster Adrian **                              Küssnacht (ISV)                        O+OO




Eidg. Kranzschwinger *** Teilverbandskranzer ** Kantonalkranzer *
Schlussgangteilnehmer                                              © Ranglistenprogramm Bruno Heller, Schwingklub Zürcher Oberland

Schlussrangliste 12. Schwägalp-Schwinget, 21. August 2011


 24 a             34.75 Vestner Roman *                                Speicherschwendi (NOS)                 ---O
    b                   Riget Ivan *                                   Goldingen (NOS)                        ---O
    c                   Bühler Peter **                                Weesen (NOS)                           ---O
    d                   Battaglia Stefan *                             Feldis (NOS)                           -O-O
 25 a             34.50 Nötzli Bruno **                                Pfäffikon (ISV)                        --OO
    b                   Luchsinger Ruedi *                             Schwanden (NOS)                        --OO
    c                   Huber Pascal *                                 Altstätten (NOS)                       --OO
 26 a             34.25 Schönenberger Marco *                          Wattwil (NOS)                          -OOO
    b                   Näf Willi *                                    Hemberg (NOS)                          O-OO
    c                   Halbheer Jürg *                                Steg (NOS)                             -OOO
 27               34.00 Gehring Urs *                                  Rafz (NOS)                             OOOO




Eidg. Kranzschwinger *** Teilverbandskranzer ** Kantonalkranzer *
Schlussgangteilnehmer                                              © Ranglistenprogramm Bruno Heller, Schwingklub Zürcher Oberland

