                                                                                              Bözingenberg-Schwinget
Schlussrangliste                                                                                 ob Biel / BE, 02.05.2015



Rang Punkte    Resultat   Name Vorname                                Wohnort                 Schwingklub           Status
  1a    58.50 +++-++      Gnägi Florian, T ***                        Aarberg            SL   Biel
  2a    58.00 o+++++      Fankhauser Marco, S **                      Hasle LU           LU   Entlebuch
  3a   57.75 S +-+++-     Meuter Adrian, T **                         Vinelz             SL   Biel
  4    57.50 S +++-+-     Kuster Marcel, S **                         Appenzell          AP   Gais
  5a    57.00 o++-++      Roth Philipp, S *                           Biberist           SL   Aarberg
  5b    57.00 +o+o++      Heeb Thierry, T                             Aarberg            SL   Aarberg
  5c    57.00 o++o++      Vestner Bruno, T *                          Haslen AI          AP   Gais
  6a    56.75 +o++o+      Fink Bruno, S                               Sörenberg          LU   Entlebuch
  7a    56.00 -o+o++      Freitag Jan, T                              Erlach             SL   Biel
  7b    56.00 +-o+o+      Schaller Nicola (1997), S                   Hasle LU           LU   Entlebuch
  7c    56.00 -+o++o      Scherer Niklaus, S                          Escholzmatt        LU   Entlebuch
  7d    56.00 o++-o+      Schmid Dominik, S *                         Hundwil            AP   Herisau
  8a    55.75 +o+--+      Burger Fredy, S *                           Kallnach           SL   Biel
  8b    55.75 -+++oo      Brönnimann Ronny, T *                       Worben             SL   Biel
  8c    55.75 o++o-+      Gnägi Christian, T                          Bellmund           SL   Biel
  8d    55.75 -+o++o      Kuster Thomas, S *                          Gais               AP   Gais
  8e    55.75 +o+-+o      Vonlanthen Cyril, T                         Nidau              SL   Biel
  9a    55.50 +oo++o      Brönnimann Matthias, T                      Worben             SL   Biel
 10 a   55.25 -+o++o      Messer Marco, S                             Arboldswil         SL   Biel
 10 b   55.25 oo++o+      Gundolf Samuel, S                           Gais               AP   Gais
 10 c   55.25 +oo++o      Ledermann Patrik, S                         Seedorf BE         SL   Aarberg
 11 a   54.75 o++-o-      Fankhauser Reto, S **                       Hasle LU           LU   Entlebuch
 12 a   54.50 o-+o+-      Dubler Mike (1999), T                       Lüscherz           SL   Biel
 12 b   54.50 --oo++      Gross Marco (1998), S                       Studen BE          SL   Aarberg
 12 c   54.50 -+oo-+      Leiser Marc (1999)                          Wiler b. Seedorf   SL   Aarberg
 12 d   54.50 ++o-o-      Zimmermann Matthias, T *                    Jens               SL   Biel
 12 e   54.50 -+oo+o      Gnägi Lionel (1997), T                      Bellmund           SL   Biel
 12 f   54.50 +oo-o+      Grossenbacher Roger (1998), T               Brügg BE           SL   Biel
 12 g   54.50 +oo+o-      Läderach Nicola (1997), T                   Lyss               SL   Aarberg
 12 h   54.50 -o+oo+      Wegmüller Florian (1997), S                 Lobsigen           SL   Lyss
 13 a   54.25 +o+ooo      Gnägi Damian (1998), T                      Bühl b. Aarberg    SL   Biel
 13 b   54.25 oooo++      Salnajs Leo (1998), S                       Lustmühle          AP   Gais
 14 a   54.00 o-++oo      Hafner Alexander, T                         Nidau              SL   Biel
 14 b   54.00 -+o+oo      Wyss Thomas                                 Schüpfen           SL   Lyss
 15 a   53.25 +oo--o      Mösli Reto, S                               Gais               AP   Gais
 16 a   52.75 ooo+-o      Allenbach Björn (1997)                      Safnern            SL   Unteres Seeland
 17 a   52.50 o-+ooo      Fässler Michael (1999), S                   Teufen AR          AP   Gais
 17 b   52.50 o-ooo+      Münger Marcel (1999), S                     Rüschegg Heubach   ML   Schwarzenburg
 17 c   52.50 o+o-oo      Wyss Sandro, S                              Seedorf BE         SL   Lyss
 18     51.75 o-o--o      Charotton Steve, S                          Renan BE           JB   Péry
 19 a   51.00 oooooo      Raudszus Nico (1999), T                     Epsach             SL   Biel
 20     44.50 -+o-o       Schwab Marc (1997), S                       Aarberg            SL   Aarberg               Unfall
 21     43.75 -oo-o       Langenegger Beat (1997), S                  Gais               AP   Gais                  Unfall




                                        ©2016 Eidgenössischer Schwingerverband                      13.06.2016 20:21 Seite 1/1

