                        Schlussrangliste                                                                                               Fr. 2.-
                        120. Nordostschweizer Schwingfest
                        Wald ZH, 28. Juni 2015

   c                 Nigg Lukas, T **, Attikon                                                ZH          0++0--
   d                 Krähenbühl Lukas, T *, Matzingen                                         TG          0--+0+
   e                 Baumann Rico, T *, Flawil                                                SG          +0+0--
   f                 Wittenwiler Roman, S, Schwellbrunn                                       AP          ++00-0
   g                 Truniger Manuel, S, Lütisburg                                            SG          +00+-0
   h                 Odermatt Martin, S *, Bauma                                              ZH          0+0+0-
   i                 Notz Armin, T *, Altnau                                                  TG          0+-0+0
   j                 Fäh Tobias, T, Landschlacht                                              TG          +00-0+
   k                 Wicki Cédric, S, Balgach                                                 SG          0++000
   l                 Jöhl Christian, S *, Näfels                                              GL          0++000


* Kantonal- bzw. Gauverbandskranz ** Teilverbands- oder Bergkranz *** Eidgenössischer Kranz       3.15.0.0 ¦ 15.2643   c   Druckpartner Schumacher PrintSolutions

 Schlussrangliste                                                             120. Nordostschweizer Schwingfest

17 a           54.00 Vestner Roman, T *, Speicher                                             SG           0++0-0
   b                 Jud Pirmin, S *, Goldingen                                               SG           +0-+00
   c                 Elmer Adrian, T, St.Gallenkappel                                         SG           +00+-0
   d                 Sprecher Sandro, S *, Bonaduz                                            GR           00++00
   e                 Koch Reto, S, Gonten                                                     AP           +00+00
   f                 Hofstetter Manuel, S *, Teufen AR                                        AP           0+0+00
   g                 Burkhard Patrick, S *, Forch                                             ZH           0+0+00
18 a           53.75 Akeret Benno, T *, Nussbaumen TG                                         TG           ++0-00
   b                 Wild Stefan, T, Ganterschwil                                             SG           0+0+00
   c                 Rütsche Stefan, S *, Kirchberg SG                                        SG           0+0+00
   d                 Güntensperger Marcel, T *, Kriessern                                     SG           0+0+00
19 a           53.50 Schwyn Adrian, T, Merishausen                                            SH           0+0+00
   b                 Odermatt Christoph, S *, Bauma                                           ZH           +0+000
20 a           53.25 Leuppi Karim, S, Winterthur                                              ZH           -+-00-
   b                 Ammann Rico, T *, Häuslenen                                              TG           +0---0
   c                 Raymann David, S, Ricken SG                                              SG           +0-00-
21 a           53.00 Scherrer Willi, T, Niederglatt SG                                        SG           +-0-0-
   b                 Oertig Simon, T, Gossau SG                                               SG           +-0-00
   c                 Fuster Sepp, S, Appenzell                                                AP           +0000-
22             52.75 Litscher Manuel, T *, Sevelen                                            SG           -+0000
23 a           35.50 Straub Robin, T *, Hefenhofen                                            TG           +00-
   b                 Schmid Dominik, T, Sargans                                               GR           0+-0
   c                 Pianta Christian, S, Mollis                                              GL           +-00
   d                 Oetiker Ronny, S, Chur                                                   GR           0+-0
   e                 Nägeli Roman, S *, Schönenberg ZH                                        ZH           0+0-
   f                 Mösli Reto, S, Gais                                                      AP           +00-
   g                 Hari Michi, T, Winterthur                                                ZH           -+00
   h                 Bucher Roland, S, Wald ZH                                                ZH           0-+0
   i                 Braun Mathias, S, Wald ZH                                                ZH           +00-
   j                 Bleiker Daniel, S, Ebnat-Kappel                                          SG           00+-
   k                 Bickel Roman, T, Hochfelden                                              ZH           +-00
   l                 Biäsch Christian, S, Davos Sertig                                        GR           0-0+
   m                 Wolfer Lukas, T, Weinfelden                                              TG           +000
   n                 Schlumpf Dominik, S *, Mönchaltorf                                       ZH           00+0
   o                 Riedi Thomas, T, Netstal                                                 GL           0+00
   p                 Raschle Adrian, S, St. Peterzell                                         AP           0+00
   q                 Pfister Florian, S, Bronschhofen                                         SG           +000
   r                 Pfiffner Ivo, S, Mels                                                    SG           +000
   s                 Lieberherr Michael, S, Wattwil                                           SG           0+00
   t                 Jecklin Alexsandro, S, Haldenstein                                       GR           00+0
   u                 Horner Sämi, S, Ennenda                                                  GL           00+0
