                              Schlussrangliste                                                                                            Fr. 2.-

                              Schwing- und Älplerfest Schwarzsee
                              Schwarzsee, 22. Juni 2014
   h                 Cardinaux Victor, Lausanne                                                     VD   0+00+-
   i                 Haenni Stéphane **, Haute-Broye                                                VD   +0-+00
16 a           54.25 Gauch Bastien, Fribourg & Environs                                             FR   --0+0+
   b                 Hadorn Christian *, Schangnau-Siehen                                           BKSV +0+0--
   c                 Urfer Simon *, Münsingen                                                       BKSV -+0-+0
   d                 Emonet Frédéric *, Fribourg & Environs                                         FR   00+00+
17 a           54.00 Mösching Andy, Saanenland                                                      BKSV +-+00-
   b                 Odermatt Christian *, Sense/La Singine                                         FR   -0+0+0
   c                 Stegmüller Klemens *, Dorenck-Thierstein                                       NWSV -+00+0
   d                 von Arx Christian *, Dorneck-Thierstein                                        NWSV +000-+
   e                 Waldner Patrick **, Waldenburg                                                 NWSV 0-+00+
   f                 Brodard Simon **, La Gruyère                                                   FR   00+00+
   g                 Dind Samuel *, Vignoble                                                        NE   00++00
   h                 Kilchoer Didier, Haute-Sarine                                                  FR   +0+000
   i                 Schenkel Remo *, Münsingen                                                     BKSV +0+000
   j                 Studer Stefan *, Kirchberg                                                     BKSV 0++000
   k                 Gottofrey Marc *, Lausanne                                                     VD   -0-+--
18 a           53.75 Fankhauser Hans-Jakob *, Trub                                                  BKSV 0+00+0
   b                 Vonlanthen Alexandre, Fribourg & Environs                                      FR   000+0+
   c                 Matthey Michael **, Mont-sur-Rolle                                             VD   0-0+-0Z
19 a           53.50 Emonet Fabien, Fribourg & Environs                                             FR   0+0+00
   b                 Meuter Adrian **, Biel                                                         BKSV -0+0--
20 a           53.25 Arnold Kornel *, Estavayer-le-Lac                                              FR   ---+0-
   b                 Zürcher Kurt *, Schangnau-Siehen                                               BKSV +--0-0
21 a           52.75 Bader Andreas *, Mümliswil-Ramiswil                                            NWSV -+-000
   b                 Leuenberger Thomas *, Münsingen                                                BKSV -+0000
   c                 Oppliger Adrian, Kerzers/Chiètres                                              FR   -+0000
22 a           52.50 Chèvre Bernard, Haute-Broye                                                    VD   00+000
   b                 Lerch Jimmy *, Nyon                                                            VD   00+000
23 a           52.25 Mosimann Vincent *, La Veveyse                                                 FR   00+000
   b                 Riedo Fredy, Sense/La Singine                                                  FR   0+0000
24             45.25 Zürcher Remo *, Herzogenbuchsee                                                BKSV +-+00     Unfall
25             37.50 Roth Dominik *, Aarberg                                                        BKSV +0+-      Unfall
26             34.75 Mauron Olivier *, Sense/La Singine                                             FR   00--
27 a           34.50 Overney Olivier, Sense/La Singine                                              FR   --00
   b                 Schafer Claudio *, Sense/La Singine                                            FR   -0-0
   c                 Zenger Michael *, Interlaken                                                   BKSV --00
   d                 Zosso Remo **, Kerzers/Chiètres                                                FR   -0-0
   e                 Mollet Ivan *, Aigle                                                           VD   000-
   f                 Remy Guillaume **, La Gruyère                                                  FR   000-
   g                 Schär Simon *, Estavayer-le-Lac                                                FR   000-
28 a           34.25 Casarico Fabio, Fribourg & Environs                                            FR   -000
   b                 Hayoz Quentin, Haute-Sarine                                                    FR   0000
29             34.00 Schafer Damien, La Gruyère                                                     FR   0000
30             17.00 Felder Joris, Cottens                                                          FR   00        Unfall




* Kantonal- bzw. Gauverbandskranzschwinger ** Teilverbandskranzschwinger *** Eidg. Kranzschwinger         14.243    © Ranglistenservice Bruno Heller

