 Schlussrangliste                                                                                                   Fr. 2.-
 Brünigschwinget 2015
 Brünig, 26. Juli 2015

   b                 Mösching Andy, S *, Feutersoey                                           BO   0-0+
   c                 Imfeld Peter, S ***, Lungern                                             ONW 00-+
   d                 Gehrig Philipp, T *, Heimisbach                                          ET   +00-
   e                 Blaser Roman, S *, Signau                                                ET   +-00
   f                      von Känel Daniel, S *, Reichenbach im Kandertal                     BO   00+0
   g                 Strebel Joel, S *, Aristau                                               NWSV 00+0
   h                 Schuler Philipp, S **, Rothenthurm                                       SZ   00+0
   i                 Schenk Patrick, S **, Wasen im Emmental                                  ET   0+00
   j                 Reichmuth Armin, S *, Mettmenstetten                                     ZG   0+00
   k                 Klausner Yanick, S **, Benzenschwil                                      NWSV 00+0
22 a           35.25 Zürcher Kurt, S *, Eggiwil                                               ET   +000
   b                 Urfer Simon, S *, Gerzensee                                              ML   +000
   c                 Muff Armin, S **, Oberkirch LU                                           LU   000+
   d                 Kocher Remo, S **, Hofstetten SO                                         NWSV 00+0
   e                 Blatter Lorenz, S *, Solothurn                                           NWSV +000

* Kantonal- bzw. Gauverbandskranz ** Teilverbands- oder Bergkranz *** Eidgenössischer Kranz          3.15.0.0 ¦ 15.3063   c   © Ranglistenservice Bruno Heller

 Schlussrangliste                                                             Brünigschwinget 2015

23 a           35.00 Stüdeli Thomas, T **, Bellach                                            NWSV ----
   b                 Kämpf Alexander, S **, Thun                                              BO   ----
   c                 Marti Fabian, T **, Schwarzenberg LU                                     LU   ---0
24 a           34.75 Zürcher Remo, S *, Rüedisbach                                            OA   -0--
   b                 Kämpf Marcel, S *, Gunten                                                BO   0---
   c                 Imhof Andi, T ***, Attinghausen                                          UR   0---
   d                 Föhn Pirmin, S *, Freienbach                                             SZ   --0-
   e                 Elsener Adrian, T **, Menzingen                                          ZG   -0--
   f                 Bachmann Roger, T *, Werthenstein                                        LU   0---
   g                 Zenger Michael, S *, Interlaken                                          BO   -00-
   h                      Leuenberger Michael, S **, Röthenbach im Emmental                   ET   --00
25 a           34.50 Kramer Franz, S *, Schlatt                                               NWSV -00-
   b                 Diener Pirmin, S *, Steinen                                              SZ   0-0-
   c                 Brönnimann Ronny, T *, Worben                                            SL   -00-
   d                 Waldner Patrick, S **, Büren SO                                          NWSV 0-00
   e                 Gander Adrian, S *, Ennetbürgen                                          ONW 0-00
26 a           34.25 Hess Dominik, S *, Engelberg                                             ONW 000-
   b                 Graber Bruno, S **, Krauchthal                                           ML   -000
   c                 Burger Fredy, S *, Kallnach                                              SL   00-0
   d                 Briker Michael, S *, Sisikon                                             UR   00-0
   e                 Binggeli Dominik, S *, Riggisberg                                        ML   00-0




* Kantonal- bzw. Gauverbandskranz ** Teilverbands- oder Bergkranz *** Eidgenössischer Kranz          3.15.0.0 ¦ 15.3063   c   © Ranglistenservice Bruno Heller

