4655-2019-06-16_Solothurner_Kantonal_Schwingfest-ST

1a;Strebel Joel;**;;;;;;;;;58.5
+;5;28.5;Schmutz Adrian;*;16;54.25;6;28.25;1;-0.25;9.75
o;2;38.25;Bieri Christoph;***;5;57.0;1;38.5;-1;0.25;8.5
+;7;46.75;Büttler Adrian;;12;55.25;7;46.75;0;0.0;9.75

7b;Hauri Urs;**;;;;;;;;;56.5
o;;;Bieri Christoph;***;;;;;;;8.5
+;4;8.5;Läuchli Janik;*;11;55.5;3;8.75;-1;0.25;10.0
+;5;18.5;Steger Robert;;17;54.0;5;18.5;0;0.0;10.0
+;5;28.5;Hasler Jimmy;*;11;55.5;5;28.5;0;0.0;9.75
o;2;38.25;Strebel Joel;**;1;58.5;1;38.5;-1;0.25;8.5
+;7;46.75;Gerber Manuel;*;13;55.0;8;46.5;1;-0.25;9.75

8a;Gnägi Florian;***;;;;;;;;;56.25
o;;;Alpiger Nick;***;;;;;;;8.5
-;4;8.5;Döbeli Lukas;**;4;57.25;1;10.0;-3;1.5;9.0
+;7;17.5;Gerber Manuel;*;13;55.0;5;18.5;-2;1.0;10.0
+;9;27.5;Schmid Samuel;**;13;55.0;6;28.25;-3;0.75;10.0
-;5;37.5;Studinger Stephan;**;6;56.75;2;38.25;-3;0.75;8.75
+;9;46.25;Gerber Andrj;*;14;54.75;9;46.25;0;0.0;10.0

8b;Mangold Michael;**;;;;;;;;;56.25
+;;;Schmutz Simon;*;;;;;;;10.0
+;1;10.0;Kropf Marcel;**;10;55.75;4;8.5;3;-1.5;10.0
-;1;20.0;Stüdeli Thomas;**;3;57.5;4;18.75;3;-1.25;9.0
-;3;29.0;Räbmatter Patrick;***;5;57.0;5;28.5;2;-0.5;8.75
+;4;37.75;Stegmüller Klemens;*;11;55.5;3;38.0;-1;0.25;10.0
o;3;47.75;Alpiger Nick;***;2;58.25;2;48.25;-1;0.5;8.5

8c;Odermatt Adrian (2001);*;;;;;;;;;56.25
-;;;Hügli Kaj;**;;;;;;;8.75
-;3;8.75;Schwenkfelder Lukas;*;36;17.25;4;8.5;1;-0.25;8.75
+;7;17.5;Loosli Adrian;;17;54.0;5;18.5;-2;1.0;10.0
