4655-2019-06-16_Solothurner_Kantonal_Schwingfest-ST

1a;Strebel Joel;**;;;;;;;;;58.5
+;9;17.0;Nussbaumer Dominik;;17;54.0;6;18.25;-3;1.25;9.75
+;12;26.75;Bader Thomas (2002);;20;53.25;10;27.25;-2;0.5;10.0
o;8;36.75;Kropf Marcel;**;10;55.75;6;37.25;-2;0.5;8.5
+;13;45.25;Stark Urban;;13;55.0;9;46.25;-4;1.0;9.75

14a;Waldner Patrick;**;;;;;;;;;54.75
-;;;Stüdeli Thomas;**;;;;;;;8.75
-;3;8.75;Anderegg David;*;25;44.75;3;8.75;0;0.0;8.75
+;7;17.5;Schmutz Simon;*;8;56.25;4;18.75;-3;1.25;10.0
-;9;27.5;Bieli Andreas;;15;54.5;5;28.5;-4;1.0;8.75
-;10;36.25;Jusufi Azret;;14;54.75;6;37.25;-4;1.0;8.75
+;14;45.0;Furrer Mathias;;17;54.0;12;45.5;-2;0.5;9.75

14b;Gerber Andrj;*;;;;;;;;;54.75
-;;;Arnold Kornel;*;;;;;;;8.75
+;3;8.75;Steger Robert;;17;54.0;1;10.0;-2;1.25;9.75
-;5;18.5;Döbeli Lukas;**;4;57.25;4;18.75;-1;0.25;8.75
-;10;27.25;Stark Urban;;13;55.0;10;27.25;0;0.0;9.0
+;10;36.25;Vogt Marco (2003);;19;53.5;10;36.25;0;0.0;10.0
o;9;46.25;Gnägi Florian;***;8;56.25;9;46.25;0;0.0;8.5

14c;Jusufi Azret;;;;;;;;;;54.75
-;;;Gnägi Damian;;;;;;;;8.75
+;3;8.75;Nyffenegger Florian (2001);;17;54.0;3;8.75;0;0.0;9.75
-;5;18.5;Voggensperger Lars (2001);*;11;55.5;5;18.5;0;0.0;8.75
+;10;27.25;Schick Janis (2003);;17;54.0;11;27.0;1;-0.25;10.0
-;6;37.25;Waldner Patrick;**;14;54.75;10;36.25;4;-1.0;8.75
-;10;46.0;Schmutz Adrian;*;16;54.25;12;45.5;2;-0.5;8.75

14d;Rüegger Aaron;*;;;;;;;;;54.75
-;;;Studer Remo;*;;;;;;;8.75
o;3;8.75;Voggensperger Lars (2001);*;11;55.5;3;8.75;0;0.0;8.5
+;8;17.25;Körkel Yannik;;21;53.0;5;18.5;-3;1.25;10.0
+;10;27.25;Allemann Robin (2002);;18;53.75;11;27.0;1;-0.25;10.0
-;6;37.25;Odermatt Adrian (2001);*;8;56.25;5;37.5;-1;0.25;8.75
-;10;46.0;Lisser Daniel;*;11;55.5;7;46.75;-3;0.75;8.75

14e;Bader Andreas;**;;;;;;;;;54.75
-;;;Küng Marco;*;;;;;;;8.75
+;3;8.75;Reimann Marco;;11;55.5;1;10.0;-2;1.25;10.0
-;4;18.75;Streich Sascha (2001);;13;55.0;7;17.5;3;-1.25;9.0
-;8;27.75;Leuthard Reto;**;11;55.5;6;28.25;-2;0.5;8.75
+;9;36.5;Järmann Florian (2002);;13;55.0;9;36.5;0;0.0;9.75
o;9;46.25;Studinger Stephan;**;6;56.75;6;47.0;-3;0.75;8.5

15a;Arnold Kornel;*;;;;;;;;;54.5
-;;;Gerber Andrj;*;;;;;;;8.75
o;3;8.75;Hasler Jimmy;*;11;55.5;3;8.75;0;0.0;8.5
+;8;17.25;Märki Fabian (2001);;31;34.25;8;17.25;0;0.0;9.75
-;11;27.0;Gnägi Damian;;13;55.0;9;27.5;-2;0.5;8.75
o;12;35.75;Büttler Gian;;11;55.5;7;37.0;-5;1.25;8.75
+;16;44.5;Regenass Reto;;17;54.0;12;45.5;-4;1.0;10.0

15b;Graber Colin;;;;;;;;;;54.5
+;;;Dobler Florian;;;;;;;;10.0
o;1;10.0;Gerber Manuel;*;13;55.0;3;8.75;2;-1.25;8.5
o;5;18.5;Anderegg David;*;25;44.75;7;17.5;2;-1.0;8.5
-;11;27.0;Brugger Jonas;;23;52.5;12;26.75;1;-0.25;8.75
+;12;35.75;Meyer Markus;;16;54.25;12;35.75;0;0.0;10.0
-;11;45.75;Küng Marco;*;16;54.25;12;45.5;1;-0.25;8.75

15c;Schär Jonas;;;;;;;;;;54.5
-;;;Streich Sascha (2001);;;;;;;;8.75
o;3;8.75;Nussbaumer Dominik;;17;54.0;4;8.5;1;-0.25;8.5
+;8;17.25;Brunner Patrick (2002);;31;34.25;8;17.25;0;0.0;9.75
o;11;27.0;Voggensperger Lars (2001);*;11;55.5;10;27.25;-1;0.25;8.5
-;13;35.5;Brügger Joël;;21;53.0;13;35.5;0;0.0;9.0
+;16;44.5;Vogt Fredy (2001);;21;53.0;16;44.5;0;0.0;10.0

15d;Bieli Andreas;;;;;;;;;;54.5
+;;;Nussbaumer Dominik;;;;;;;;10.0
o;1;10.0;Stadler Kevin (2002);*;15;54.5;4;8.5;3;-1.5;8.5
+;5;18.5;Furrer Mathias;;17;54.0;6;18.25;1;-0.25;10.0
-;5;28.5;Waldner Patrick;**;14;54.75;9;27.5;4;-1.0;8.75
-;6;37.25;Anderegg David;*;25;44.75;11;36.0;5;-1.25;8.75
o;10;46.0;Leuthard Reto;**;11;55.5;11;45.75;1;-0.25;8.5

15e;Stadler Kevin (2002);*;;;;;;;;;54.5
o;;;Ris Jörn;*;;;;;;;8.5
+;4;8.5;Bieli Andreas;;15;54.5;1;10.0;-3;1.5;9.75
-;6;18.25;Bruder Adrian;;8;56.25;4;18.75;-2;0.5;8.75
-;11;27.0;Schmutz Simon;*;8;56.25;9;27.5;-2;0.5;8.75
-;12;35.75;Stoll Thomas;;15;54.5;6;37.25;-6;1.5;8.75
+;16;44.5;Schick Janis (2003);;17;54.0;12;45.5;-4;1.0;10.0

15f;Stoll Thomas;;;;;;;;;;54.5
+;;;Jehle Lorenz (2003);;;;;;;;10.0
-;1;10.0;Burren Patrick;*;11;55.5;4;8.5;3;-1.5;8.75
+;4;18.75;Lazic Marco;;20;53.25;4;18.75;0;0.0;10.0
o;4;28.75;Döbeli Lukas;**;4;57.25;8;27.75;4;-1.0;8.5
-;6;37.25;Stadler Kevin (2002);*;15;54.5;12;35.75;6;-1.5;8.75
o;10;46.0;Hasler Jimmy;*;11;55.5;12;45.5;2;-0.5;8.5

15g;Graf Gian (2003);;;;;;;;;;54.5
-;;;Märki Fabian (2001);;;;;;;;8.75
o;3;8.75;Vogt Fredy (2001);;21;53.0;4;8.5;1;-0.25;8.5
+;8;17.25;Vogt Patrick;;21;53.0;8;17.25;0;0.0;10.0
o;10;27.25;Kocher Remo;**;12;55.25;12;26.75;2;-0.5;8.5
-;12;35.75;Bader Thomas (2002);;20;53.25;12;35.75;0;0.0;8.75
+;16;44.5;Brügger Joël;;21;53.0;16;44.5;0;0.0;10.0

16a;Studer Remo;*;;;;;;;;;54.25
-;;;Rüegger Aaron;*;;;;;;;8.75
o;3;8.75;Bearda Samuel;**;11;55.5;4;8.5;1;-0.25;8.5
o;8;17.25;Reimann Marco;;11;55.5;5;18.5;-3;1.25;8.5
+;14;25.75;Büchi Christian;;17;54.0;11;27.0;-3;1.25;10.0
+;12;35.75;Hasler Luis (2002);;26;44.5;11;36.0;-1;0.25;10.0
o;11;45.75;Burren Patrick;*;11;55.5;11;45.75;0;0.0;8.5

16b;Meyer Markus;;;;;;;;;;54.25
-;;;Nyffenegger Florian (2001);;;;;;;;8.75
+;3;8.75;Caviezel Nicolas (2003);;30;34.5;4;8.5;1;-0.25;10.0
o;4;18.75;Krebs Clemens;*;12;55.25;6;18.25;2;-0.5;8.5
o;10;27.25;Moser Matthias;*;12;55.25;11;27.0;1;-0.25;8.5
o;12;35.75;Graber Colin;;15;54.5;12;35.75;0;0.0;8.5
+;17;44.25;Eggenschwiler Fabian;;23;52.5;18;44.0;1;-0.25;10.0

16c;Küng Marco;*;;;;;;;;;54.25
-;;;Bader Andreas;**;;;;;;;8.75
+;3;8.75;Christ Dario (2003);;17;54.0;2;9.75;-1;1.0;10.0
o;4;18.75;Henzer Andreas;**;9;56.0;5;18.5;1;-0.25;8.5
+;10;27.25;Bachmann Sämi (2001);;18;53.75;10;27.25;0;0.0;9.75
o;7;37.0;von Arx Christian;*;11;55.5;8;36.75;1;-0.25;8.5
-;12;45.5;Graber Colin;;15;54.5;11;45.75;-1;0.25;8.75

16d;Ris Jörn;*;;;;;;;;;54.25
+;;;Stadler Kevin (2002);*;;;;;;;9.75
o;2;9.75;Studinger Stephan;**;6;56.75;1;10.0;-1;0.25;8.75
-;5;18.5;Gnägi Damian;;13;55.0;4;18.75;-1;0.25;8.75
o;10;27.25;Steinmann Yves;*;11;55.5;11;27.0;1;-0.25;8.5
+;12;35.75;Reinhard Pirmin (2001);;13;55.0;8;36.75;-4;1.0;9.75
o;12;45.5;Kehr Damian (2001);;10;55.75;11;45.75;-1;0.25;8.75

16e;Schmutz Adrian;*;;;;;;;;;54.25
o;;;Döbeli Andreas;*;;;;;;;8.5
+;4;8.5;Reinhard Pirmin (2001);;13;55.0;2;9.75;-2;1.25;9.75
+;6;18.25;Järmann Florian (2002);;13;55.0;6;18.25;0;0.0;10.0
o;6;28.25;Hermann Oliver;*;7;56.5;5;28.5;-1;0.25;8.5
-;8;36.75;Leuthard Reto;**;11;55.5;7;37.0;-1;0.25;8.75
-;12;45.5;Jusufi Azret;;14;54.75;10;46.0;-2;0.5;8.75

17a;Furrer Mathias;;;;;;;;;;54.0
+;;;Schick Janis (2003);;;;;;;;9.75
o;2;9.75;Krebs Clemens;*;12;55.25;4;8.5;2;-1.25;8.5
o;6;18.25;Bieli Andreas;;15;54.5;5;18.5;-1;0.25;8.5
-;12;26.75;Von Wyl Simon;;20;53.25;12;26.75;0;0.0;9.0
+;12;35.75;Brugger Jonas;;23;52.5;13;35.5;1;-0.25;9.75
o;12;45.5;Waldner Patrick;**;14;54.75;14;45.0;2;-0.5;8.5

17b;Regenass Reto;;;;;;;;;;54.0
o;;;Christ Dario (2003);;;;;;;;8.5
o;4;8.5;Burren Dominik (2003);;17;54.0;4;8.5;0;0.0;8.5
-;9;17.0;Bucher Yanik (2003);;19;53.5;8;17.25;-1;0.25;8.75
+;14;25.75;Jehle Lorenz (2003);;31;34.25;14;25.75;0;0.0;9.75
+;13;35.5;Vogt Patrick;;21;53.0;12;35.75;-1;0.25;10.0
o;12;45.5;Arnold Kornel;*;15;54.5;16;44.5;4;-1.0;8.5

17c;Schick Janis (2003);;;;;;;;;;54.0
o;;;Furrer Mathias;;;;;;;;8.5
+;4;8.5;Niggli Andreas;;32;34.0;4;8.5;0;0.0;10.0
o;5;18.5;Kropf Marcel;**;10;55.75;8;17.25;3;-1.25;8.5
o;11;27.0;Jusufi Azret;;14;54.75;10;27.25;-1;0.25;8.5
+;13;35.5;Allemann Robin (2002);;18;53.75;13;35.5;0;0.0;10.0
o;12;45.5;Stadler Kevin (2002);*;15;54.5;16;44.5;4;-1.0;8.5

17d;Loosli Adrian;;;;;;;;;;54.0
+;;;Geissberger Marc (2002);;;;;;;;10.0
o;1;10.0;Brügger Joël;;21;53.0;3;8.75;2;-1.25;8.5
o;5;18.5;Odermatt Adrian (2001);*;8;56.25;7;17.5;2;-1.0;8.5
+;11;27.0;Büttler Gian;;11;55.5;6;28.25;-5;1.25;10.0
o;7;37.0;Schmutz Simon;*;8;56.25;10;36.25;3;-0.75;8.5
o;12;45.5;Steinmann Yves;*;11;55.5;12;45.5;0;0.0;8.5

17e;Büchi Christian;;;;;;;;;;54.0
-;;;Bader Thomas (2002);;;;;;;;8.75
o;3;8.75;Büttler Adrian;;12;55.25;2;9.75;-1;1.0;8.5
+;8;17.25;Niggli Andreas;;32;34.0;9;17.0;1;-0.25;9.75
o;11;27.0;Studer Remo;*;16;54.25;14;25.75;3;-1.25;8.5
+;13;35.5;Huber Joshua;;21;53.0;11;36.0;-2;0.5;10.0
o;12;45.5;Moser Matthias;*;12;55.25;13;45.25;1;-0.25;8.5

17f;Nyffenegger Florian (2001);;;;;;;;;;54.0
-;;;Meyer Markus;;;;;;;;8.75
o;3;8.75;Jusufi Azret;;14;54.75;3;8.75;0;0.0;8.5
+;8;17.25;Geissberger Marc (2002);;31;34.25;9;17.0;1;-0.25;9.75
o;11;27.0;Läuchli Janik;*;11;55.5;10;27.25;-1;0.25;8.5
-;13;35.5;Späti Jan (2002);;18;53.75;11;36.0;-2;0.5;8.75
+;17;44.25;Müller Jan;;27;44.0;18;44.0;1;-0.25;9.75

17g;Christ Dario (2003);;;;;;;;;;54.0
+;;;Regenass Reto;;;;;;;;9.75
o;2;9.75;Küng Marco;*;16;54.25;3;8.75;1;-1.0;8.75
o;5;18.5;Burkhardt Roy;;13;55.0;5;18.5;0;0.0;8.5
+;11;27.0;Müller Jan;;27;44.0;11;27.0;0;0.0;9.75
-;8;36.75;Krebs Clemens;*;12;55.25;9;36.5;1;-0.25;8.75
o;12;45.5;Reimann Marco;;11;55.5;12;45.5;0;0.0;8.5

17h;Vogel Remo (2001);*;;;;;;;;;54.0
o;;;Lisser Beat;*;;;;;;;8.5
o;4;8.5;Büttler Gian;;11;55.5;2;9.75;-2;1.25;8.5
+;9;17.0;Hermann Lukas 1;;29;35.25;6;18.25;-3;1.25;10.0
o;11;27.0;Odermatt Adrian (2001);*;8;56.25;9;27.5;-2;0.5;8.5
o;13;35.5;Büttler Adrian;;12;55.25;7;37.0;-6;1.5;8.5
+;18;44.0;Huber Joshua;;21;53.0;16;44.5;-2;0.5;10.0

17i;Burren Dominik (2003);;;;;;;;;;54.0
o;;;Büttler Adrian;;;;;;;;8.5
+;4;8.5;Regenass Reto;;17;54.0;4;8.5;0;0.0;10.0
o;5;18.5;von Arx Christian;*;11;55.5;6;18.25;1;-0.25;8.5
-;11;27.0;Streich Sascha (2001);;13;55.0;9;27.5;-2;0.5;8.75
+;12;35.75;Von Wyl Simon;;20;53.25;12;35.75;0;0.0;9.75
o;12;45.5;Krebs Clemens;*;12;55.25;13;45.25;1;-0.25;8.5

17j;Nussbaumer Dominik;;;;;;;;;;54.0
o;;;Bieli Andreas;;;;;;;;8.5
+;4;8.5;Schär Jonas;;15;54.5;3;8.75;-1;0.25;9.75
o;6;18.25;Mangold Martin;*;13;55.0;9;17.0;3;-1.25;8.5
+;12;26.75;Märki Fabian (2001);;31;34.25;14;25.75;2;-1.0;9.75
-;9;36.5;Bachmann Sämi (2001);;18;53.75;11;36.0;2;-0.5;9.0
o;12;45.5;Bearda Samuel;**;11;55.5;12;45.5;0;0.0;8.5

17k;Steger Robert;;;;;;;;;;54.0
+;;;Vogt Patrick;;;;;;;;10.0
o;1;10.0;Gerber Andrj;*;14;54.75;3;8.75;2;-1.25;8.5
o;5;18.5;Hauri Urs;**;7;56.5;5;18.5;0;0.0;8.5
+;11;27.0;Brügger Joël;;21;53.0;11;27.0;0;0.0;9.75
-;8;36.75;Körkel Yannik;;21;53.0;12;35.75;4;-1.0;8.75
o;12;45.5;Reinhard Pirmin (2001);;13;55.0;13;45.25;1;-0.25;8.5

18a;Späti Jan (2002);;;;;;;;;;53.75
-;;;Gisin Yanic;;;;;;;;8.75
o;3;8.75;Schwob Marco;;13;55.0;2;9.75;-1;1.0;8.5
-;8;17.25;Jehle Lorenz (2003);;31;34.25;9;17.0;1;-0.25;8.75
+;13;26.0;Suter Jonas (2003);;31;34.25;14;25.75;1;-0.25;10.0
-;11;36.0;Nyffenegger Florian (2001);;17;54.0;13;35.5;2;-0.5;8.75
-;15;44.75;Von Wyl Simon;;20;53.25;17;44.25;2;-0.5;9.0

18b;Bachmann Sämi (2001);;;;;;;;;;53.75
o;;;Reinhard Pirmin (2001);;;;;;;;8.5
+;4;8.5;Geissberger Marc (2002);;31;34.25;4;8.5;0;0.0;10.0
-;5;18.5;Widmer David;**;11;55.5;7;17.5;2;-1.0;8.75
o;10;27.25;Küng Marco;*;16;54.25;10;27.25;0;0.0;8.75
-;11;36.0;Nussbaumer Dominik;;17;54.0;9;36.5;-2;0.5;9.0
o;14;45.0;Läuchli Janik;*;11;55.5;12;45.5;-2;0.5;8.75

18c;Allemann Robin (2002);;;;;;;;;;53.75
+;;;Lazic Serge;;;;;;;;10.0
o;1;10.0;Järmann Florian (2002);;13;55.0;4;8.5;3;-1.5;8.5
o;5;18.5;Reinhard Pirmin (2001);;13;55.0;6;18.25;1;-0.25;8.5
o;11;27.0;Rüegger Aaron;*;14;54.75;10;27.25;-1;0.25;8.5
o;13;35.5;Schick Janis (2003);;17;54.0;13;35.5;0;0.0;8.5
+;18;44.0;Brugger Jonas;;23;52.5;18;44.0;0;0.0;9.75

19a;Vogt Marco (2003);;;;;;;;;;53.5
-;;;Lazic Marco;;;;;;;;8.75
+;3;8.75;Lazic Serge;;31;34.25;4;8.5;1;-0.25;10.0
o;4;18.75;Hasler Jimmy;*;11;55.5;5;18.5;1;-0.25;8.5
-;10;27.25;Müller Simon;;19;53.5;10;27.25;0;0.0;9.0
o;10;36.25;Gerber Andrj;*;14;54.75;10;36.25;0;0.0;8.5
-;15;44.75;Huber Fabian;;24;45.5;12;45.5;-3;0.75;8.75

19b;Bucher Yanik (2003);;;;;;;;;;53.5
-;;;Brügger Joël;;;;;;;;8.75
o;3;8.75;Dobler Florian;;13;55.0;4;8.5;1;-0.25;8.5
-;8;17.25;Regenass Reto;;17;54.0;9;17.0;1;-0.25;8.75
+;13;26.0;Brunner Patrick (2002);;31;34.25;14;25.75;1;-0.25;10.0
-;11;36.0;Vogt Fredy (2001);;21;53.0;12;35.75;1;-0.25;8.75
o;15;44.75;Schwob Marco;;13;55.0;14;45.0;-1;0.25;8.75

19c;Müller Simon;;;;;;;;;;53.5
o;;;Schwob Marco;;;;;;;;8.5
+;4;8.5;Brunner Patrick (2002);;31;34.25;3;8.75;-1;0.25;9.75
-;6;18.25;Probst Gabriel;**;13;55.0;4;18.75;-2;0.5;9.0
-;10;27.25;Vogt Marco (2003);;19;53.5;10;27.25;0;0.0;9.0
o;10;36.25;Lisser Daniel;*;11;55.5;7;37.0;-3;0.75;8.5
-;15;44.75;Bader Thomas (2002);;20;53.25;16;44.5;1;-0.25;8.75

20a;Bader Thomas (2002);;;;;;;;;;53.25
-;;;Büchi Christian;;;;;;;;8.75
+;3;8.75;Herrmann Adrian;;22;52.75;1;10.0;-2;1.25;10.0
o;4;18.75;Brand Christian;**;13;55.0;7;17.5;3;-1.25;8.5
o;10;27.25;Mangold Martin;*;13;55.0;12;26.75;2;-0.5;8.5
-;12;35.75;Graf Gian (2003);;15;54.5;12;35.75;0;0.0;8.75
-;16;44.5;Müller Simon;;19;53.5;15;44.75;-1;0.25;8.75

20b;Von Wyl Simon;;;;;;;;;;53.25
+;;;Herrmann Daniel (2003);;;;;;;;9.75
o;2;9.75;Gisin Yanic;;28;35.5;3;8.75;1;-1.0;8.5
o;6;18.25;Brun Samuel;**;6;56.75;5;18.5;-1;0.25;8.5
-;12;26.75;Furrer Mathias;;17;54.0;12;26.75;0;0.0;9.0
o;12;35.75;Burren Dominik (2003);;17;54.0;12;35.75;0;0.0;8.5
-;17;44.25;Späti Jan (2002);;18;53.75;15;44.75;-2;0.5;9.0

20c;Lazic Marco;;;;;;;;;;53.25
-;;;Vogt Marco (2003);;;;;;;;8.75
+;3;8.75;Herrmann Daniel (2003);;32;34.0;4;8.5;1;-0.25;10.0
o;4;18.75;Stoll Thomas;;15;54.5;4;18.75;0;0.0;8.75
o;9;27.5;Stegmüller Klemens;*;11;55.5;7;28.0;-2;0.5;8.5
o;11;36.0;Stark Urban;;13;55.0;10;36.25;-1;0.25;8.5
-;16;44.5;Vogt Patrick;;21;53.0;17;44.25;1;-0.25;8.75

21a;Huber Joshua;;;;;;;;;;53.0
-;;;Müller Jan;;;;;;;;8.75
o;3;8.75;Bruder Adrian;;8;56.25;3;8.75;0;0.0;8.5
-;8;17.25;Suter Jonas (2003);;31;34.25;9;17.0;1;-0.25;8.75
+;13;26.0;Herrmann Daniel (2003);;32;34.0;15;25.5;2;-0.5;10.0
o;11;36.0;Büchi Christian;;17;54.0;13;35.5;2;-0.5;8.5
o;16;44.5;Vogel Remo (2001);*;17;54.0;18;44.0;2;-0.5;8.5

21b;Körkel Yannik;;;;;;;;;;53.0
+;;;Hermann Lukas 1;;;;;;;;10.0
o;1;10.0;Henzer Andreas;**;9;56.0;4;8.5;3;-1.5;8.5
o;5;18.5;Rüegger Aaron;*;14;54.75;8;17.25;3;-1.25;8.5
-;11;27.0;Herrmann Adrian;;22;52.75;11;27.0;0;0.0;8.75
-;12;35.75;Steger Robert;;17;54.0;8;36.75;-4;1.0;8.75
o;16;44.5;Streich Sascha (2001);;13;55.0;14;45.0;-2;0.5;8.5

21c;Vogt Fredy (2001);;;;;;;;;;53.0
o;;;Reimann Marco;;;;;;;;8.5
+;4;8.5;Graf Gian (2003);;15;54.5;3;8.75;-1;0.25;10.0
o;5;18.5;Leuthard Reto;**;11;55.5;5;18.5;0;0.0;8.75
o;10;27.25;Widmer David;**;11;55.5;10;27.25;0;0.0;8.5
-;12;35.75;Bucher Yanik (2003);;19;53.5;11;36.0;-1;0.25;8.75
o;16;44.5;Schär Jonas;;15;54.5;16;44.5;0;0.0;8.5

21d;Vogt Patrick;;;;;;;;;;53.0
o;;;Steger Robert;;;;;;;;8.75
o;3;8.75;Bieri Florian (2001);;33;26.75;2;9.75;-1;1.0;8.5
o;8;17.25;Graf Gian (2003);;15;54.5;8;17.25;0;0.0;8.75
+;13;26.0;Lazic Serge;;31;34.25;14;25.75;1;-0.25;9.75
o;12;35.75;Regenass Reto;;17;54.0;13;35.5;1;-0.25;8.5
-;17;44.25;Lazic Marco;;20;53.25;16;44.5;-1;0.25;8.75

21e;Brügger Joël;;;;;;;;;;53.0
-;;;Bucher Yanik (2003);;;;;;;;8.75
+;3;8.75;Loosli Adrian;;17;54.0;1;10.0;-2;1.25;9.75
o;5;18.5;Widmer David;**;11;55.5;7;17.5;2;-1.0;8.5
o;11;27.0;Steger Robert;;17;54.0;11;27.0;0;0.0;8.5
-;13;35.5;Schär Jonas;;15;54.5;13;35.5;0;0.0;9.0
o;16;44.5;Graf Gian (2003);;15;54.5;16;44.5;0;0.0;8.5

22a;Herrmann Adrian;;;;;;;;;;52.75
+;;;Suter Jonas (2003);;;;;;;;10.0
o;1;10.0;Bader Thomas (2002);;20;53.25;3;8.75;2;-1.25;8.5
o;5;18.5;Lisser Beat;*;13;55.0;6;18.25;1;-0.25;8.5
-;11;27.0;Körkel Yannik;;21;53.0;11;27.0;0;0.0;8.75
o;12;35.75;Huber Fabian;;24;45.5;13;35.5;1;-0.25;8.5
o;17;44.25;Järmann Florian (2002);;13;55.0;14;45.0;-3;0.75;8.5

23a;Brugger Jonas;;;;;;;;;;52.5
+;;;Niggli Andreas;;;;;;;;9.75
o;2;9.75;Schillig Willi;**;24;45.5;4;8.5;2;-1.25;8.5
o;6;18.25;Kocher Remo;**;12;55.25;9;17.0;3;-1.25;8.5
-;12;26.75;Graber Colin;;15;54.5;11;27.0;-1;0.25;8.75
o;13;35.5;Furrer Mathias;;17;54.0;12;35.75;-1;0.25;8.5
o;18;44.0;Allemann Robin (2002);;18;53.75;18;44.0;0;0.0;8.5

23b;Eggenschwiler Fabian;;;;;;;;;;52.5
o;;;Kehr Damian (2001);;;;;;;;8.5
o;4;8.5;Müller Jan;;27;44.0;3;8.75;-1;0.25;8.5
+;9;17.0;Herrmann Daniel (2003);;32;34.0;9;17.0;0;0.0;10.0
o;11;27.0;Burren Patrick;*;11;55.5;10;27.25;-1;0.25;8.5
o;13;35.5;Bruder Adrian;;8;56.25;10;36.25;-3;0.75;8.5
o;18;44.0;Meyer Markus;;16;54.25;17;44.25;-1;0.25;8.5

24a;Schillig Willi;**;;;;;;;;;45.5
o;;;Studinger Stephan;**;;;;;;;8.5
+;4;8.5;Brugger Jonas;;23;52.5;2;9.75;-2;1.25;10.0
o;5;18.5;Bieri Christoph;***;5;57.0;2;19.75;-3;1.25;8.5
o;11;27.0;Widmer David;**;11;55.5;10;27.25;-1;0.25;8.5
+;13;35.5;Gnägi Damian;;13;55.0;10;36.25;-3;0.75;10.0

24b;Huber Fabian;;;;;;;;;;45.5
+;;;Brunner Patrick (2002);;;;;;;;10.0
o;1;10.0;Brun Samuel;**;6;56.75;4;8.5;3;-1.5;8.5
o;5;18.5;Steinmann Yves;*;11;55.5;9;17.0;4;-1.5;8.5
o;11;27.0;Kehr Damian (2001);;10;55.75;10;27.25;-1;0.25;8.5
+;13;35.5;Herrmann Adrian;;22;52.75;12;35.75;-1;0.25;10.0

25a;Anderegg David;*;;;;;;;;;44.75
-;;;Brand Christian;**;;;;;;;8.75
-;3;8.75;Waldner Patrick;**;14;54.75;3;8.75;0;0.0;8.75
+;7;17.5;Graber Colin;;15;54.5;5;18.5;-2;1.0;9.75
-;10;27.25;Bruder Adrian;;8;56.25;9;27.5;-1;0.25;8.75
-;11;36.0;Bieli Andreas;;15;54.5;6;37.25;-5;1.25;8.75

26a;Hasler Luis (2002);;;;;;;;;;44.5
-;;;Bruder Adrian;;;;;;;;8.75
o;3;8.75;Streich Sascha (2001);;13;55.0;3;8.75;0;0.0;8.5
+;8;17.25;Niggli Andreas;;32;34.0;9;17.0;1;-0.25;10.0
o;10;27.25;Studer Remo;*;16;54.25;14;25.75;4;-1.5;8.75
o;11;36.0;Dobler Florian;;13;55.0;9;36.5;-2;0.5;8.5

27a;Müller Jan;;;;;;;;;;44.0
-;;;Huber Joshua;;;;;;;;8.75
+;3;8.75;Eggenschwiler Fabian;;23;52.5;4;8.5;1;-0.25;9.75
o;5;18.5;Scherrer Johann;**;5;57.0;5;18.5;0;0.0;8.5
o;11;27.0;Christ Dario (2003);;17;54.0;11;27.0;0;0.0;8.5
o;13;35.5;Nyffenegger Florian (2001);;17;54.0;13;35.5;0;0.0;8.5

28a;Gisin Yanic;;;;;;;;;;35.5
-;;;Späti Jan (2002);;;;;;;;8.75
+;3;8.75;Von Wyl Simon;;20;53.25;2;9.75;-1;1.0;9.75
o;5;18.5;Kohler Adrian;*;13;55.0;6;18.25;1;-0.25;8.5
o;11;27.0;Läuchli Janik;*;11;55.5;10;27.25;-1;0.25;8.5

29a;Hermann Lukas 1;;;;;;;;;;35.25
o;;;Körkel Yannik;;;;;;;;8.5
+;4;8.5;Suter Jonas (2003);;31;34.25;4;8.5;0;0.0;9.75
o;6;18.25;Vogel Remo (2001);*;17;54.0;9;17.0;3;-1.25;8.5
o;12;26.75;Järmann Florian (2002);;13;55.0;12;26.75;0;0.0;8.5

30a;Caviezel Nicolas (2003);;;;;;;;;;34.5
o;;;Burkhardt Roy;;;;;;;;8.5
o;4;8.5;Meyer Markus;;16;54.25;3;8.75;-1;0.25;8.5
-;9;17.0;Lazic Serge;;31;34.25;9;17.0;0;0.0;8.75
-;14;25.75;Geissberger Marc (2002);;31;34.25;15;25.5;1;-0.25;8.75

31a;Lazic Serge;;;;;;;;;;34.25
o;;;Allemann Robin (2002);;;;;;;;8.5
o;4;8.5;Vogt Marco (2003);;19;53.5;3;8.75;-1;0.25;8.5
-;9;17.0;Caviezel Nicolas (2003);;30;34.5;9;17.0;0;0.0;8.75
o;14;25.75;Allemann Robin (2002);;18;53.75;11;27.0;-3;1.25;8.5

31b;Jehle Lorenz (2003);;;;;;;;;;34.25
o;;;Stoll Thomas;;;;;;;;8.5
o;4;8.5;Stark Urban;;13;55.0;3;8.75;-1;0.25;8.5
-;9;17.0;Späti Jan (2002);;18;53.75;8;17.25;-1;0.25;8.75
o;14;25.75;Regenass Reto;;17;54.0;14;25.75;0;0.0;8.5

31c;Geissberger Marc (2002);;;;;;;;;;34.25
o;;;Loosli Adrian;;;;;;;;8.5
o;4;8.5;Bachmann Sämi (2001);;18;53.75;4;8.5;0;0.0;8.5
