2253-2015-07-18_64_Weissenstein-Schwinget-ST

1a;Stucki Christian;***;;;;;;;;;59.75
-;1;10.0;Rolli Martin;**;14;54.25;1;10.0;0;0.0;9.0
o;4;19.0;Blatter Lorenz;*;7;56.0;6;18.5;2;-0.5;8.5
+;8;27.5;Steinmann Kevin;**;18;35.5;10;27.0;2;-0.5;10.0
o;6;37.5;Siegenthaler Matthias;***;6;56.25;5;37.75;-1;0.25;8.5
+;12;46.0;Studinger Stephan;**;12;54.75;11;46.25;-1;0.25;10.0

8a;Käser Remo;**;;;;;;;;;55.75
+;;;Bächli Michael (1998);*;;;;;;;9.75
+;2;9.75;Hasler Jimmy;*;18;35.5;2;9.75;0;0.0;10.0
-;2;19.75;Kämpf Alexander;**;6;56.25;1;20.0;-1;0.25;8.75
+;4;28.5;Odermatt Christian;**;9;55.5;5;28.25;1;-0.25;10.0
-;3;38.5;Bieri Christoph;***;6;56.25;6;37.5;3;-1.0;8.75
o;7;47.25;Alpiger Nick;**;6;56.25;10;46.5;3;-0.75;8.5

8b;Zenger Niklaus;***;;;;;;;;;55.75
o;;;Stalder Remo;***;;;;;;;8.5
o;5;8.5;Uebersax Remo;**;15;53.75;2;9.75;-3;1.25;8.5
+;11;17.0;Hügli Kaj (1997);*;19;35.25;7;18.25;-4;1.25;10.0
+;10;27.0;Brand Christian;**;14;54.25;9;27.25;-1;0.25;10.0
o;8;37.0;Gapany Benjamin;**;4;57.0;7;37.25;-1;0.25;8.75
+;13;45.75;Klausner Yanick;**;15;53.75;15;45.25;2;-0.5;10.0

8c;Bächli Michael (1998);*;;;;;;;;;55.75
o;;;Käser Remo;**;;;;;;;8.5
+;5;8.5;Kohler Adrian;;20;34.75;4;8.75;-1;0.25;10.0
+;6;18.5;Cardinaux Victor;*;13;54.5;5;18.75;-1;0.25;10.0
-;4;28.5;Siegenthaler Matthias;***;6;56.25;3;28.75;-1;0.25;8.75
+;7;37.25;Moser Steven;**;6;56.25;6;37.5;-1;0.25;9.75
-;8;47.0;Gerber Christian;**;7;56.0;7;47.25;-1;0.25;8.75

8d;Hauri Urs;**;;;;;;;;;55.75
-;;;Gottofrey Marc;**;;;;;;;8.75
+;4;8.75;Dind Samuel;**;5;56.75;5;8.5;1;-0.25;10.0
o;5;18.75;Siegenthaler Matthias;***;6;56.25;5;18.75;0;0.0;8.5
+;9;27.25;Döbeli Andreas (1998);*;14;54.25;9;27.25;0;0.0;10.0
+;7;37.25;Schenkel Adrian;**;8;55.75;7;37.25;0;0.0;10.0
o;7;47.25;Sempach Thomas;***;2;58.25;3;48.25;-4;1.0;8.5

8e;Schenkel Adrian;**;;;;;;;;;55.75
+;;;Stüdeli Thomas;**;;;;;;;10.0
+;1;10.0;Stalder Remo;***;8;55.75;1;10.0;0;0.0;9.75
o;2;19.75;Vieira Tiago;**;14;54.25;5;18.75;3;-1.0;8.75
-;4;28.5;Piemontesi Pascal;**;9;55.5;5;28.25;1;-0.25;8.75
o;7;37.25;Hauri Urs;**;8;55.75;7;37.25;0;0.0;8.5
+;13;45.75;Brand Christian;**;14;54.25;13;45.75;0;0.0;10.0

8f;Schmid David;**;;;;;;;;;55.75
-;;;Roschi Ruedi;**;;;;;;;8.75
-;4;8.75;Zürcher Remo;*;13;54.5;1;10.0;-3;1.25;8.75
+;9;17.5;Roch Vincent;*;11;55.0;7;18.25;-2;0.75;10.0
+;8;27.5;Kocher Remo;**;18;35.5;10;27.0;2;-0.5;9.75
-;7;37.25;Luginbühl Hanspeter;**;4;57.0;4;38.25;-3;1.0;8.75
+;12;46.0;Rolli Martin;**;14;54.25;13;45.75;1;-0.25;9.75

8g;Stalder Remo;***;;;;;;;;;55.75
+;;;Zenger Niklaus;***;;;;;;;10.0
o;1;10.0;Schenkel Adrian;**;8;55.75;1;10.0;0;0.0;8.5
+;6;18.5;Roschi Ruedi;**;7;56.0;4;19.0;-2;0.5;9.75
o;5;28.25;Gerber Christian;**;7;56.0;3;28.75;-2;0.5;8.5
+;9;36.75;Schmid Reto;**;12;54.75;5;37.75;-4;1.0;10.0
-;9;46.75;Bloch Dominic;**;4;57.0;4;48.0;-5;1.25;9.0

9a;Odermatt Christian;**;;;;;;;;;55.5
+;;;Overney Olivier;*;;;;;;;9.75
o;2;9.75;Siegenthaler Matthias;***;6;56.25;4;8.75;2;-1.0;8.5
+;7;18.25;Wälti Christoph;**;16;53.0;6;18.5;-1;0.25;10.0
o;5;28.25;Käser Remo;**;8;55.75;4;28.5;-1;0.25;8.75
+;8;37.0;Roschi Ruedi;**;7;56.0;6;37.5;-2;0.5;9.75
-;9;46.75;Kämpf Alexander;**;6;56.25;6;47.5;-3;0.75;8.75

9b;Piemontesi Pascal;**;;;;;;;;;55.5
-;;;Studinger Stephan;**;;;;;;;8.75
+;4;8.75;Nyffeler Christoph;;18;35.5;1;10.0;-3;1.25;9.75
+;6;18.5;Strebel Joel (1997);*;15;53.75;7;18.25;1;-0.25;9.75
-;5;28.25;Schenkel Adrian;**;8;55.75;4;28.5;-1;0.25;8.75
+;8;37.0;Zürcher Remo;*;13;54.5;7;37.25;-1;0.25;10.0
o;8;47.0;Gisler Bruno;***;5;56.75;9;46.75;1;-0.25;8.5

9c;Leuthard Reto;*;;;;;;;;;55.5
-;;;Kohler Adrian;;;;;;;;8.75
o;4;8.75;Studer Stefan;**;7;56.0;5;8.5;1;-0.25;8.75
+;9;17.5;Sigg David;*;22;34.0;11;17.0;2;-0.5;9.75
o;9;27.25;Bader Andreas;*;10;55.25;10;27.0;1;-0.25;8.5
+;13;35.75;Casarico Fabio;**;17;52.75;13;35.75;0;0.0;10.0
+;13;45.75;Schmid Reto;**;12;54.75;11;46.25;-2;0.5;9.75

9d;Schütz Urs;**;;;;;;;;;55.5
-;;;Brand Christian;**;;;;;;;8.75
+;4;8.75;Steinmann Kevin;**;18;35.5;5;8.5;1;-0.25;9.75
+;6;18.5;Hasler Jimmy;*;18;35.5;7;18.25;1;-0.25;9.75
o;5;28.25;Gisler Bruno;***;5;56.75;7;27.75;2;-0.5;8.75
+;8;37.0;Overney Olivier;*;10;55.25;9;36.75;1;-0.25;9.75
o;9;46.75;Henzer Andreas;**;3;57.25;7;47.25;-2;0.5;8.75

9e;Renfer Lukas;*;;;;;;;;;55.5
+;;;Huber Jan (1997);*;;;;;;;9.75
+;2;9.75;Scherrer Johann;**;21;34.5;4;8.75;2;-1.0;9.75
o;3;19.5;Alpiger Nick;**;6;56.25;6;18.5;3;-1.0;8.5
-;6;28.0;Studinger Stephan;**;12;54.75;9;27.25;3;-0.75;9.0
o;8;37.0;Blatter Lorenz;*;7;56.0;8;37.0;0;0.0;8.5
+;14;45.5;Moser Matthias;*;15;53.75;15;45.25;1;-0.25;10.0

10a;Roth Dominik;*;;;;;;;;;55.25
+;;;Hermann Oliver;;;;;;;;9.75
-;2;9.75;Räbmatter Patrick;**;23;25.75;5;8.5;3;-1.25;9.0
o;5;18.75;Klausner Yanick;**;15;53.75;6;18.5;1;-0.25;8.5
+;9;27.25;Studinger Mathias;**;18;35.5;10;27.0;1;-0.25;9.75
o;8;37.0;Alpiger Nick;**;6;56.25;9;36.75;1;-0.25;8.5
+;14;45.5;Gerber Manuel;;15;53.75;15;45.25;1;-0.25;9.75

10b;Stoll Simon;;;;;;;;;;55.25
o;;;Hügli Kaj (1997);*;;;;;;;8.5
o;5;8.5;Huber Jan (1997);*;18;35.5;5;8.5;0;0.0;8.5
+;11;17.0;Lehmann Nicola;*;18;35.5;11;17.0;0;0.0;10.0
+;10;27.0;Krebs Clemens;;19;35.25;11;26.75;1;-0.25;9.75
o;9;36.75;Studer Stefan;**;7;56.0;8;37.0;-1;0.25;8.5
+;15;45.25;Steffen Gustav;*;16;53.0;18;44.5;3;-0.75;10.0

10c;Bader Andreas;*;;;;;;;;;55.25
+;;;Studer Stefan;**;;;;;;;9.75
-;2;9.75;Gäggeler Adrian;*;6;56.25;1;10.0;-1;0.25;8.75
o;6;18.5;Studinger Stephan;**;12;54.75;10;17.25;4;-1.25;8.5
+;10;27.0;Leuthard Reto;*;9;55.5;9;27.25;-1;0.25;9.75
-;9;36.75;Giroud Jonathan;**;15;53.75;10;36.5;1;-0.25;8.75
+;14;45.5;Hermann Oliver;;15;53.75;15;45.25;1;-0.25;9.75

10d;Overney Olivier;*;;;;;;;;;55.25
o;;;Odermatt Christian;**;;;;;;;8.5
+;5;8.5;Probst Gabriel;**;24;17.0;5;8.5;0;0.0;10.0
+;6;18.5;Moser Matthias;*;15;53.75;6;18.5;0;0.0;9.75
o;5;28.25;Kämpf Alexander;**;6;56.25;3;28.75;-2;0.5;8.5
o;9;36.75;Schütz Urs;**;9;55.5;8;37.0;-1;0.25;8.5
+;15;45.25;Strebel Joel (1997);*;15;53.75;15;45.25;0;0.0;10.0

10e;Glauser Thomas;**;;;;;;;;;55.25
+;;;Lang Martin;**;;;;;;;9.75
o;2;9.75;Vieira Tiago;**;14;54.25;4;8.75;2;-1.0;8.5
+;7;18.25;Hermann Oliver;;15;53.75;7;18.25;0;0.0;9.75
o;6;28.0;Henzer Andreas;**;3;57.25;9;27.25;3;-0.75;8.75
+;9;36.75;Kramer Franz;*;15;53.75;10;36.5;1;-0.25;10.0
o;9;46.75;Luginbühl Hanspeter;**;4;57.0;8;47.0;-1;0.25;8.5

11a;Weyermann Florian;*;;;;;;;;;55.0
o;;;Hasler Jimmy;*;;;;;;;8.5
+;5;8.5;Hasler Simon;;22;34.0;5;8.5;0;0.0;9.75
o;7;18.25;Erb Roger;**;5;56.75;11;17.0;4;-1.25;8.5
+;11;26.75;Steinmann Yves;*;19;35.25;11;26.75;0;0.0;9.75
+;10;36.5;Klausner Yanick;**;15;53.75;9;36.75;-1;0.25;10.0
o;10;46.5;Gapany Benjamin;**;4;57.0;7;47.25;-3;0.75;8.5

11b;Roch Vincent;*;;;;;;;;;55.0
+;;;Schumacher Michael;*;;;;;;;9.75
o;2;9.75;Kocher Remo;**;18;35.5;5;8.5;3;-1.25;8.5
o;7;18.25;Schmid David;**;8;55.75;9;17.5;2;-0.75;8.5
+;11;26.75;Lang Martin;**;22;34.0;15;25.5;4;-1.25;9.75
+;10;36.5;Moser Matthias;*;15;53.75;9;36.75;-1;0.25;10.0
o;10;46.5;Bieri Christoph;***;6;56.25;11;46.25;1;-0.25;8.5

11c;Kropf Rolf;**;;;;;;;;;55.0
o;;;Steinmann Yves;*;;;;;;;8.5
+;5;8.5;Sigg David;*;22;34.0;5;8.5;0;0.0;10.0
+;6;18.5;Krebs Clemens;;19;35.25;7;18.25;1;-0.25;9.75
o;5;28.25;Luginbühl Hanspeter;**;4;57.0;4;28.5;-1;0.25;8.5
+;9;36.75;Uebersax Remo;**;15;53.75;9;36.75;0;0.0;9.75
o;10;46.5;Gehrig Damian;**;5;56.75;8;47.0;-2;0.5;8.5

12a;von Arx Christian;*;;;;;;;;;54.75
-;;;Guisolan Marc;**;;;;;;;8.75
-;4;8.75;Wälti Christoph;**;16;53.0;2;9.75;-2;1.0;8.75
-;9;17.5;Casarico Fabio;**;17;52.75;10;17.25;1;-0.25;8.75
+;12;26.25;Schumacher Michael;*;19;35.25;11;26.75;-1;0.5;10.0
o;11;36.25;Gäggeler Adrian;*;6;56.25;11;36.25;0;0.0;8.5
+;17;44.75;Gottofrey Marc;**;16;53.0;18;44.5;1;-0.25;10.0

12b;Schmid Reto;**;;;;;;;;;54.75
-;;;Vieira Tiago;**;;;;;;;8.75
+;4;8.75;Lang Martin;**;22;34.0;5;8.5;1;-0.25;10.0
+;5;18.75;Studinger Mathias;**;18;35.5;6;18.5;1;-0.25;10.0
-;3;28.75;Gapany Benjamin;**;4;57.0;5;28.25;2;-0.5;9.0
o;5;37.75;Stalder Remo;***;8;55.75;9;36.75;4;-1.0;8.5
o;11;46.25;Leuthard Reto;*;9;55.5;13;45.75;2;-0.5;8.5

12c;Studinger Stephan;**;;;;;;;;;54.75
-;;;Piemontesi Pascal;**;;;;;;;8.75
o;4;8.75;Kämpf Alexander;**;6;56.25;1;10.0;-3;1.25;8.5
+;10;17.25;Bader Andreas;*;10;55.25;6;18.5;-4;1.25;10.0
-;9;27.25;Renfer Lukas;*;9;55.5;6;28.0;-3;0.75;9.0
+;11;36.25;Wälti Christoph;**;16;53.0;13;35.75;2;-0.5;10.0
o;11;46.25;Matthey Mickaël;**;7;56.0;12;46.0;1;-0.25;8.5

13a;Cardinaux Victor;*;;;;;;;;;54.5
o;;;Moser Matthias;*;;;;;;;8.75
+;4;8.75;Lisser Beat;;22;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Bächli Michael (1998);*;8;55.75;6;18.5;1;-0.25;8.5
o;9;27.25;Kramer Franz;*;15;53.75;11;26.75;2;-0.5;8.75
+;12;36.0;Strebel Joel (1997);*;15;53.75;9;36.75;-3;0.75;10.0
o;12;46.0;Gäggeler Adrian;*;6;56.25;11;46.25;-1;0.25;8.5

13b;Stüdeli Thomas;**;;;;;;;;;54.5
o;;;Schenkel Adrian;**;;;;;;;8.5
+;5;8.5;Hügli Kaj (1997);*;19;35.25;2;9.75;-3;1.25;10.0
o;6;18.5;Röthlisberger Simon;*;7;56.0;4;19.0;-2;0.5;8.5
-;10;27.0;Steffen Gustav;*;16;53.0;10;27.0;0;0.0;8.75
-;13;35.75;Gottofrey Marc;**;16;53.0;13;35.75;0;0.0;8.75
+;18;44.5;Casarico Fabio;**;17;52.75;19;44.25;1;-0.25;10.0

13c;Zürcher Remo;*;;;;;;;;;54.5
+;;;Strebel Joel (1997);*;;;;;;;10.0
-;1;10.0;Schmid David;**;8;55.75;4;8.75;3;-1.25;8.75
o;5;18.75;Gisler Bruno;***;5;56.75;8;17.75;3;-1.0;8.5
+;9;27.25;Hügli Kaj (1997);*;19;35.25;11;26.75;2;-0.5;10.0
o;7;37.25;Piemontesi Pascal;**;9;55.5;8;37.0;1;-0.25;8.5
-;13;45.75;Döbeli Andreas (1998);*;14;54.25;14;45.5;1;-0.25;8.75

14a;Brand Christian;**;;;;;;;;;54.25
-;;;Schütz Urs;**;;;;;;;8.75
o;4;8.75;Studinger Mathias;**;18;35.5;5;8.5;1;-0.25;8.5
+;10;17.25;Heiniger Vincent;*;22;34.0;11;17.0;1;-0.25;10.0
o;9;27.25;Zenger Niklaus;***;8;55.75;10;27.0;1;-0.25;8.5
+;13;35.75;Giroud Jonathan;**;15;53.75;10;36.5;-3;0.75;10.0
o;13;45.75;Schenkel Adrian;**;8;55.75;13;45.75;0;0.0;8.5

14b;Döbeli Andreas (1998);*;;;;;;;;;54.25
+;;;Lisser Beat;;;;;;;;10.0
o;1;10.0;Roschi Ruedi;**;7;56.0;3;9.0;2;-1.0;8.5
-;6;18.5;Moser Steven;**;6;56.25;5;18.75;-1;0.25;8.75
o;9;27.25;Hauri Urs;**;8;55.75;9;27.25;0;0.0;8.5
+;13;35.75;Steffen Gustav;*;16;53.0;13;35.75;0;0.0;9.75
-;14;45.5;Zürcher Remo;*;13;54.5;13;45.75;-1;0.25;8.75

14c;Vieira Tiago;**;;;;;;;;;54.25
-;;;Schmid Reto;**;;;;;;;8.75
+;4;8.75;Glauser Thomas;**;10;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Schenkel Adrian;**;8;55.75;2;19.75;-3;1.0;10.0
o;3;28.75;Stucki Christian;***;1;59.75;1;30.0;-2;1.25;8.5
o;7;37.25;Bloch Dominic;**;4;57.0;4;38.25;-3;1.0;8.5
o;13;45.75;Roschi Ruedi;**;7;56.0;12;46.0;-1;0.25;8.5

14d;Rolli Martin;**;;;;;;;;;54.25
+;;;Steinmann Kevin;**;;;;;;;10.0
-;1;10.0;Matthey Mickaël;**;7;56.0;1;10.0;0;0.0;9.0
o;4;19.0;Sempach Thomas;***;2;58.25;5;18.75;1;-0.25;8.5
+;8;27.5;Waldner Patrick;**;18;35.5;10;27.0;2;-0.5;9.75
