3072-2019-07-14_Fete_Romande2-ST

1a;Aeschbacher Matthias;**;;;;;;;;;58.25
o;9;36.75;Loup Grégoire;;10;55.75;8;37.0;-1;0.25;8.5
+;13;45.25;Parvex Bryan;;18;53.75;13;45.25;0;0.0;9.75

13g;Schöpfer Dio;**;;;;;;;;;55.0
-;;;Colò Kilian;**;;;;;;;9.0
+;3;9.0;Imhasly Jorin (2001);;19;53.5;2;9.75;-1;0.75;9.75
o;5;18.75;Gottofrey Marc;**;9;56.0;5;18.75;0;0.0;8.5
-;8;27.25;Wieland Timon;;15;54.5;6;28.0;-2;0.75;9.0
+;11;36.25;Bapst Ludovic (2002);;17;54.0;9;36.75;-2;0.5;9.75
-;10;46.0;Monney Branighan;;15;54.5;12;45.5;2;-0.5;9.0

13h;Pellet Adrian;;;;;;;;;;55.0
o;;;Röthlisberger Sven;;;;;;;;8.5
+;5;8.5;Vionnet Julien;;21;53.0;5;8.5;0;0.0;9.75
-;7;18.25;Dorsaz Théo;;10;55.75;6;18.5;-1;0.25;8.75
+;9;27.0;Pasquier Loïc (2001);;15;54.5;9;27.0;0;0.0;9.75
o;9;36.75;Dufey Gil;*;11;55.5;13;35.75;4;-1.0;8.5
+;13;45.25;Fercher Alain;;19;53.5;14;45.0;1;-0.25;9.75

13i;Kramer Dorian;*;;;;;;;;;55.0
+;;;Lerch Jimmy;*;;;;;;;10.0
-;1;10.0;Dind Clément;;15;54.5;2;9.75;1;-0.25;9.0
o;4;19.0;Matthey Mickaël;**;2;58.0;6;18.5;2;-0.5;8.5
+;7;27.5;Turin Antoine (2001);;9;56.0;6;28.0;-1;0.5;10.0
-;6;37.5;Kropf Rolf;**;10;55.75;8;37.0;2;-0.5;9.0
o;8;46.5;Duplan Steve;**;7;56.5;7;46.75;-1;0.25;8.5

14a;Pürro Tobias;;;;;;;;;;54.75
o;;;Schönenberger Leo (2002);;;;;;;;8.5
o;5;8.5;Fercher Alain;;19;53.5;5;8.5;0;0.0;8.5
+;10;17.0;Lachavanne Noé;;13;55.0;10;17.0;0;0.0;9.75
+;10;26.75;Max Grégory;;24;52.25;10;26.75;0;0.0;9.75
o;10;36.5;Dorsaz Théo;;10;55.75;12;36.0;2;-0.5;8.5
+;14;45.0;Staudenmann Roger;;23;52.5;18;44.0;4;-1.0;9.75

14b;Gottofrey Luc;*;;;;;;;;;54.75
-;;;Ledermann Michael;*;;;;;;;8.75
+;4;8.75;Von Niederhäusern Marcel;;16;54.25;1;10.0;-3;1.25;9.75
+;6;18.5;Egger Benoît (2002);;15;54.5;6;18.5;0;0.0;10.0
o;4;28.5;Kramer Lario;**;5;57.0;4;28.5;0;0.0;8.5
-;8;37.0;Cotting Florian;*;10;55.75;8;37.0;0;0.0;9.0
-;10;46.0;Nager Yannick;;12;55.25;8;46.5;-2;0.5;8.75

14c;Menoud Liam (2001);;;;;;;;;;54.75
o;;;Schläfli Hugo (2002);;;;;;;;8.5
+;5;8.5;Python Benjamin (2002);;25;51.25;5;8.5;0;0.0;9.75
o;7;18.25;Chofflon Anthony;;17;54.0;6;18.5;-1;0.25;8.5
o;10;26.75;Rappo Yann;;13;55.0;9;27.0;-1;0.25;8.5
+;15;35.25;Fallegger Riccardo (2003);;23;52.5;15;35.25;0;0.0;9.75
+;14;45.0;Gutknecht Alain;;18;53.75;13;45.25;-1;0.25;9.75

14d;Cottier Marco;;;;;;;;;;54.75
+;;;Hirschi Damien (2003);;;;;;;;9.75
o;2;9.75;Dufey Gil;*;11;55.5;5;8.5;3;-1.25;8.5
o;7;18.25;Wieland Timon;;15;54.5;7;18.25;0;0.0;8.5
+;10;26.75;Elmiger Elias (2001);;21;53.0;11;26.0;1;-0.75;9.75
+;10;36.5;Imhasly Jorin (2001);;19;53.5;10;36.5;0;0.0;9.75
o;9;46.25;Lerch Jimmy;*;10;55.75;11;45.75;2;-0.5;8.5

14e;Vaucher Rémy;;;;;;;;;;54.75
-;;;Germanier Joel;;;;;;;;9.0
+;3;9.0;Max Grégory;;24;52.25;2;9.75;-1;0.75;10.0
o;4;19.0;Mollet Ivan;*;6;56.75;5;18.75;1;-0.25;8.5
o;7;27.5;Dubey Gaël;*;13;55.0;9;27.0;2;-0.5;8.5
-;12;36.0;Pasquier Loïc (2001);;15;54.5;14;35.5;2;-0.5;9.0
+;14;45.0;Ganière William;;17;54.0;12;45.5;-2;0.5;9.75

14f;Grossenbacher Simon (2002);*;;;;;;;;;54.75
+;;;Borcard Clovis;*;;;;;;;10.0
o;1;10.0;Gapany Benjamin;**;4;57.5;5;8.5;4;-1.5;8.5
-;6;18.5;Schläfli Hugo (2002);;17;54.0;6;18.5;0;0.0;8.75
o;8;27.25;Dind Samuel;**;12;55.25;9;27.0;1;-0.25;8.75
+;12;36.0;Gutknecht Alain;;18;53.75;9;36.75;-3;0.75;10.0
-;10;46.0;Baeriswyl Christoph (2002);;12;55.25;8;46.5;-2;0.5;8.75

15a;Pasquier Loïc (2001);;;;;;;;;;54.5
o;;;Nager Yannick;;;;;;;;8.5
+;5;8.5;Hirschi Damien (2003);;16;54.25;5;8.5;0;0.0;10.0
o;6;18.5;Balimann Sandro (2001);*;12;55.25;6;18.5;0;0.0;8.5
o;9;27.0;Pellet Adrian;;13;55.0;9;27.0;0;0.0;8.5
+;14;35.5;Holweger Marek;;23;52.5;14;35.5;0;0.0;10.0
-;12;45.5;Vaucher Rémy;;14;54.75;14;45.0;2;-0.5;9.0

15b;Monney Branighan;;;;;;;;;;54.5
+;;;Ganière William;;;;;;;;9.75
o;2;9.75;Dind Samuel;**;12;55.25;5;8.5;3;-1.25;8.5
+;7;18.25;Lauber Grégoire;;19;53.5;7;18.25;0;0.0;10.0
o;5;28.25;Matthey Mickaël;**;2;58.0;5;28.25;0;0.0;8.5
-;9;36.75;Parvex Bryan;;18;53.75;10;36.5;1;-0.25;8.75
-;12;45.5;Schöpfer Dio;**;13;55.0;10;46.0;-2;0.5;9.0

15c;Egger Benoît (2002);;;;;;;;;;54.5
+;;;Staudenmann Roger;;;;;;;;10.0
o;1;10.0;Crettaz Olivier;*;12;55.25;5;8.5;4;-1.5;8.5
o;6;18.5;Gottofrey Luc;*;14;54.75;6;18.5;0;0.0;8.5
-;9;27.0;Von Niederhäusern Marcel;;16;54.25;9;27.0;0;0.0;9.0
+;12;36.0;Grisel Samuel;;23;52.5;14;35.5;2;-0.5;10.0
o;10;46.0;Dufey Gil;*;11;55.5;11;45.75;1;-0.25;8.5

15d;Buchs Carlo;*;;;;;;;;;54.5
o;;;Mollet Ivan;*;;;;;;;8.5
+;5;8.5;Turin Yann (2003);;19;53.5;2;9.75;-3;1.25;10.0
o;6;18.5;Kramer Lario;**;5;57.0;6;18.5;0;0.0;8.5
-;9;27.0;Lerch Jimmy;*;10;55.75;9;27.0;0;0.0;9.0
-;12;36.0;Hirschi Damien (2003);;16;54.25;8;37.0;-4;1.0;8.75
+;15;44.75;Zbinden Samuel;;18;53.75;13;45.25;-2;0.5;9.75

15e;Wieland Timon;;;;;;;;;;54.5
+;;;Fallegger Riccardo (2003);;;;;;;;9.75
o;2;9.75;Hayoz Quentin;*;12;55.25;2;9.75;0;0.0;8.5
+;7;18.25;Cottier Marco;;14;54.75;7;18.25;0;0.0;9.75
-;6;28.0;Schöpfer Dio;**;13;55.0;8;27.25;2;-0.75;9.0
o;8;37.0;Riedo Fredy;*;9;56.0;6;37.5;-2;0.5;8.5
-;12;45.5;Portmann Fabio;;15;54.5;12;45.5;0;0.0;9.0

15f;Portmann Fabio;;;;;;;;;;54.5
+;;;Vionnet Julien;;;;;;;;9.75
o;2;9.75;Fankhauser Hans (2001);*;18;53.75;5;8.5;3;-1.25;8.5
+;7;18.25;Gueissaz Léonard (2003);;12;55.25;7;18.25;0;0.0;10.0
-;5;28.25;Loup Alexandre;*;20;53.25;8;27.25;3;-1.0;8.75
o;8;37.0;Minder Florian;**;7;56.5;8;37.0;0;0.0;8.5
-;12;45.5;Wieland Timon;;15;54.5;12;45.5;0;0.0;9.0

15g;Dind Clément;;;;;;;;;;54.5
+;;;Sturny Nicolas;;;;;;;;9.75
-;2;9.75;Kramer Dorian;*;13;55.0;1;10.0;-1;0.25;9.0
o;5;18.75;Nager Yannick;;12;55.25;7;18.25;2;-0.5;8.75
+;7;27.5;Beaud Eric;;19;53.5;6;28.0;-1;0.5;10.0
o;6;37.5;Borcard Johann;**;8;56.25;9;36.75;3;-0.75;8.5
o;10;46.0;Cotting Florian;*;10;55.75;11;45.75;1;-0.25;8.5

15h;Germanier Joel;;;;;;;;;;54.5
-;;;Vaucher Rémy;;;;;;;;9.0
+;3;9.0;Beaud Eric;;19;53.5;2;9.75;-1;0.75;10.0
o;4;19.0;Ducry Antoine;**;26;46.75;6;18.5;2;-0.5;8.5
o;7;27.5;Emonet Fabien;**;12;55.25;9;27.0;2;-0.5;8.5
o;12;36.0;Von Niederhäusern Marcel;;16;54.25;13;35.75;1;-0.25;8.5
+;16;44.5;Kolly Elmar (2002);;18;53.75;13;45.25;-3;0.75;10.0

16a;Fankhauser Yanik (2002);;;;;;;;;;54.25
o;;;Turin Antoine (2001);;;;;;;;8.5
+;5;8.5;Ganière William;;17;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Parvex Yannick;*;12;55.25;10;17.0;4;-1.5;8.5
+;9;27.0;Vionnet Julien;;21;53.0;9;27.0;0;0.0;10.0
o;8;37.0;Rapin Florent;*;9;56.0;8;37.0;0;0.0;8.75
o;11;45.75;Rossy Yannick;*;11;55.5;12;45.5;1;-0.25;8.5

16b;Von Niederhäusern Marcel;;;;;;;;;;54.25
+;;;Grisel Samuel;;;;;;;;10.0
o;1;10.0;Gottofrey Luc;*;14;54.75;4;8.75;3;-1.25;8.5
o;6;18.5;Parvex Bryan;;18;53.75;7;18.25;1;-0.25;8.5
-;9;27.0;Egger Benoît (2002);;15;54.5;9;27.0;0;0.0;8.75
+;13;35.75;Germanier Joel;;15;54.5;12;36.0;-1;0.25;10.0
o;11;45.75;Emonet Fabien;**;12;55.25;12;45.5;1;-0.25;8.5

16c;Hirschi Damien (2003);;;;;;;;;;54.25
o;;;Cottier Marco;;;;;;;;8.5
o;5;8.5;Pasquier Loïc (2001);;15;54.5;5;8.5;0;0.0;8.5
+;10;17.0;Fallegger Riccardo (2003);;23;52.5;10;17.0;0;0.0;10.0
+;9;27.0;Merz Sascha (2002);;17;54.0;9;27.0;0;0.0;10.0
-;8;37.0;Buchs Carlo;*;15;54.5;12;36.0;4;-1.0;8.75
o;11;45.75;Pürro David (2001);;11;55.5;11;45.75;0;0.0;8.5

16d;Borcard Clovis;*;;;;;;;;;54.25
o;;;Grossenbacher Simon (2002);*;;;;;;;8.5
+;5;8.5;Lauber Grégoire;;19;53.5;2;9.75;-3;1.25;10.0
o;6;18.5;Piemontesi Pascal;**;27;28.5;6;18.5;0;0.0;8.5
-;9;27.0;Dufey Gil;*;11;55.5;9;27.0;0;0.0;8.75
+;13;35.75;Fercher Alain;;19;53.5;10;36.5;-3;0.75;10.0
o;11;45.75;Turin Antoine (2001);;9;56.0;9;46.25;-2;0.5;8.5

16e;Zbinden Jvan (2001);;;;;;;;;;54.25
+;;;Ritler Nicolas;;;;;;;;10.0
o;1;10.0;Rossy Yannick;*;11;55.5;5;8.5;4;-1.5;8.5
+;6;18.5;Aeschbacher Ivo (2001);;12;55.25;6;18.5;0;0.0;10.0
o;4;28.5;Collaud Romain (2002);*;9;56.0;4;28.5;0;0.0;8.5
o;8;37.0;Brodard Augustin;**;8;56.25;7;37.25;-1;0.25;8.5
-;12;45.5;Chofflon Anthony;;17;54.0;13;45.25;1;-0.25;8.75

17a;Bapst Ludovic (2002);;;;;;;;;;54.0
o;;;Gueissaz Léonard (2003);;;;;;;;8.5
+;5;8.5;Ritler Nicolas;;22;52.75;5;8.5;0;0.0;10.0
+;6;18.5;Röthlisberger Sven;;13;55.0;6;18.5;0;0.0;9.75
o;5;28.25;Balimann Sandro (2001);*;12;55.25;4;28.5;-1;0.25;8.5
o;9;36.75;Schöpfer Dio;**;13;55.0;11;36.25;2;-0.5;8.5
-;13;45.25;Germanier Joel;;15;54.5;16;44.5;3;-0.75;8.75

17b;Chofflon Anthony;;;;;;;;;;54.0
+;;;Fercher Alain;;;;;;;;10.0
o;1;10.0;Matthey Mickaël;**;2;58.0;5;8.5;4;-1.5;8.5
+;6;18.5;Menoud Liam (2001);;14;54.75;7;18.25;1;-0.25;9.75
o;5;28.25;Haenni Stéphane;**;12;55.25;5;28.25;0;0.0;8.5
o;9;36.75;Baeriswyl Christoph (2002);;12;55.25;9;36.75;0;0.0;8.5
-;13;45.25;Zbinden Jvan (2001);;16;54.25;12;45.5;-1;0.25;8.75

17c;Ganière William;;;;;;;;;;54.0
o;;;Monney Branighan;;;;;;;;8.5
o;5;8.5;Fankhauser Yanik (2002);;16;54.25;5;8.5;0;0.0;8.5
+;10;17.0;Cotting Alexandre;;28;25.5;10;17.0;0;0.0;9.75
+;10;26.75;Aeschbacher Ivo (2001);;12;55.25;9;27.0;-1;0.25;10.0
-;9;36.75;Loup Alexandre;*;20;53.25;12;36.0;3;-0.75;8.75
o;12;45.5;Vaucher Rémy;;14;54.75;14;45.0;2;-0.5;8.5

17d;Borcard Guillaume;;;;;;;;;;54.0
o;;;Parvex Bryan;;;;;;;;8.5
+;5;8.5;Goy Sébastien;;19;53.5;5;8.5;0;0.0;9.75
o;7;18.25;Kolly Elmar (2002);;18;53.75;6;18.5;-1;0.25;8.5
o;10;26.75;Fercher Alain;;19;53.5;10;26.75;0;0.0;8.5
+;15;35.25;Elmiger Elias (2001);;21;53.0;16;34.5;1;-0.75;10.0
-;13;45.25;Vionnet Julien;;21;53.0;17;44.25;4;-1.0;8.75

17e;Golliard Steve;;;;;;;;;;54.0
+;;;Goy Sébastien;;;;;;;;10.0
o;1;10.0;Riedo Fredy;*;9;56.0;3;9.0;2;-1.0;8.5
o;6;18.5;Clément Aurélien (2003);;12;55.25;7;18.25;1;-0.25;8.5
+;9;27.0;Grisel Samuel;;23;52.5;9;27.0;0;0.0;10.0
o;8;37.0;Lerch Jimmy;*;10;55.75;12;36.0;4;-1.0;8.5
o;12;45.5;Dorsaz Théo;;10;55.75;11;45.75;-1;0.25;8.5

17f;Schläfli Hugo (2002);;;;;;;;;;54.0
+;;;Menoud Liam (2001);;;;;;;;10.0
o;1;10.0;Brodard Augustin;**;8;56.25;4;8.75;3;-1.25;8.5
-;6;18.5;Grossenbacher Simon (2002);*;14;54.75;6;18.5;0;0.0;8.75
+;8;27.25;Parvex Bryan;;18;53.75;6;28.0;-2;0.75;9.75
o;8;37.0;Dind Samuel;**;12;55.25;9;36.75;1;-0.25;8.5
o;12;45.5;Clément Aurélien (2003);;12;55.25;13;45.25;1;-0.25;8.5

17g;Merz Sascha (2002);;;;;;;;;;54.0
+;;;Staudenmann Roger;;;;;;;;9.75
-;2;9.75;Elmiger Elias (2001);;21;53.0;4;8.75;2;-1.0;8.75
o;6;18.5;Minder Florian;**;7;56.5;6;18.5;0;0.0;8.5
o;9;27.0;Hirschi Damien (2003);;16;54.25;9;27.0;0;0.0;8.5
o;14;35.5;Turin Yann (2003);;19;53.5;15;35.25;1;-0.25;8.5
+;18;44.0;Grisel Samuel;;23;52.5;18;44.0;0;0.0;10.0

17h;Richard Quentin (2003);;;;;;;;;;54.0
o;;;Gutknecht Alain;;;;;;;;8.5
-;5;8.5;Chassot Samuel (2001);;25;51.25;5;8.5;0;0.0;8.75
+;9;17.25;Python Benjamin (2002);;25;51.25;10;17.0;1;-0.25;10.0
o;8;27.25;Fankhauser Hans (2001);*;18;53.75;10;26.75;2;-0.5;8.5
o;13;35.75;Grossenbacher Marc;;11;55.5;8;37.0;-5;1.25;8.5
+;17;44.25;Holweger Marek;;23;52.5;18;44.0;1;-0.25;9.75

18a;Juon Martin;;;;;;;;;;53.75
o;;;Pürro David (2001);;;;;;;;8.5
o;5;8.5;Zbinden Samuel;;18;53.75;5;8.5;0;0.0;8.5
o;10;17.0;Vionnet Julien;;21;53.0;10;17.0;0;0.0;8.5
o;13;25.5;Goy Sébastien;;19;53.5;13;25.5;0;0.0;8.5
+;18;34.0;Python Benjamin (2002);;25;51.25;18;34.0;0;0.0;9.75
+;19;43.75;Max Grégory;;24;52.25;19;43.75;0;0.0;10.0

18b;Fankhauser Hans (2001);*;;;;;;;;;53.75
o;;;Ducry Antoine;**;;;;;;;8.5
+;5;8.5;Portmann Fabio;;15;54.5;2;9.75;-3;1.25;9.75
o;7;18.25;Crettaz Olivier;*;12;55.25;7;18.25;0;0.0;8.5
+;10;26.75;Richard Quentin (2003);;17;54.0;8;27.25;-2;0.5;10.0
o;9;36.75;Colò Kilian;**;13;55.0;10;36.5;1;-0.25;8.5
o;13;45.25;Sturny Nicolas;;9;56.0;10;46.0;-3;0.75;8.5

18c;Gutknecht Alain;;;;;;;;;;53.75
+;;;Richard Quentin (2003);;;;;;;;10.0
o;1;10.0;Loup Alexandre;*;20;53.25;4;8.75;3;-1.25;8.5
o;6;18.5;Schönenberger Leo (2002);;13;55.0;7;18.25;1;-0.25;8.5
+;9;27.0;Elmiger Elias (2001);;21;53.0;11;26.0;2;-1.0;9.75
o;9;36.75;Grossenbacher Simon (2002);*;14;54.75;12;36.0;3;-0.75;8.5
o;13;45.25;Menoud Liam (2001);;14;54.75;14;45.0;1;-0.25;8.5

18d;Zbinden Samuel;;;;;;;;;;53.75
o;;;Lauber Grégoire;;;;;;;;8.5
+;5;8.5;Juon Martin;;18;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Rossy Yannick;*;11;55.5;6;18.5;0;0.0;8.5
+;9;27.0;Ritler Nicolas;;22;52.75;9;27.0;0;0.0;9.75
o;9;36.75;Nager Yannick;;12;55.25;10;36.5;1;-0.25;8.5
o;13;45.25;Buchs Carlo;*;15;54.5;15;44.75;2;-0.5;8.5

18e;Parvex Bryan;;;;;;;;;;53.75
+;;;Borcard Guillaume;;;;;;;;9.75
o;2;9.75;Collaud Romain (2002);*;9;56.0;1;10.0;-1;0.25;8.5
+;7;18.25;Von Niederhäusern Marcel;;16;54.25;6;18.5;-1;0.25;9.75
o;6;28.0;Schläfli Hugo (2002);;17;54.0;8;27.25;2;-0.75;8.5
-;10;36.5;Monney Branighan;;15;54.5;9;36.75;-1;0.25;8.75
o;13;45.25;Röthlisberger Sven;;13;55.0;13;45.25;0;0.0;8.5

18f;Kolly Elmar (2002);;;;;;;;;;53.75
+;;;Holweger Marek;;;;;;;;10.0
o;1;10.0;Cotting Florian;*;10;55.75;5;8.5;4;-1.5;8.5
+;6;18.5;Borcard Guillaume;;17;54.0;7;18.25;1;-0.25;9.75
o;5;28.25;Crettaz Olivier;*;12;55.25;5;28.25;0;0.0;8.5
o;9;36.75;Turin Antoine (2001);;9;56.0;10;36.5;1;-0.25;8.5
o;13;45.25;Germanier Joel;;15;54.5;16;44.5;3;-0.75;8.5

19a;Imhasly Jorin (2001);;;;;;;;;;53.5
+;;;Clément Aurélien (2003);;;;;;;;9.75
o;2;9.75;Schöpfer Dio;**;13;55.0;3;9.0;1;-0.75;8.5
+;7;18.25;Buchs Stefan (2002);;23;52.5;9;17.25;2;-1.0;9.75
o;6;28.0;Ducry Antoine;**;26;46.75;5;28.25;-1;0.25;8.5
o;10;36.5;Cottier Marco;;14;54.75;10;36.5;0;0.0;8.5
o;14;45.0;Wieland Micha;;12;55.25;13;45.25;-1;0.25;8.5

19b;Lauber Grégoire;;;;;;;;;;53.5
+;;;Zbinden Samuel;;;;;;;;9.75
o;2;9.75;Borcard Clovis;*;16;54.25;5;8.5;3;-1.25;8.5
o;7;18.25;Monney Branighan;;15;54.5;7;18.25;0;0.0;8.5
o;10;26.75;Loup Grégoire;;10;55.75;9;27.0;-1;0.25;8.5
+;15;35.25;Goy Sébastien;;19;53.5;15;35.25;0;0.0;9.75
o;14;45.0;Rappo Yann;;13;55.0;13;45.25;-1;0.25;8.5

19c;Beaud Eric;;;;;;;;;;53.5
+;;;Lachavanne Noé;;;;;;;;9.75
o;2;9.75;Germanier Joel;;15;54.5;3;9.0;1;-0.75;8.5
+;7;18.25;Max Grégory;;24;52.25;7;18.25;0;0.0;9.75
o;6;28.0;Dind Clément;;15;54.5;7;27.5;1;-0.5;8.5
o;10;36.5;Parvex Yannick;*;12;55.25;14;35.5;4;-1.0;8.5
o;14;45.0;Gueissaz Léonard (2003);;12;55.25;13;45.25;-1;0.25;8.5

19d;Goy Sébastien;;;;;;;;;;53.5
o;;;Golliard Steve;;;;;;;;8.5
o;5;8.5;Borcard Guillaume;;17;54.0;5;8.5;0;0.0;8.5
o;10;17.0;Holweger Marek;;23;52.5;10;17.0;0;0.0;8.5
+;13;25.5;Juon Martin;;18;53.75;13;25.5;0;0.0;9.75
o;15;35.25;Lauber Grégoire;;19;53.5;15;35.25;0;0.0;8.5
+;19;43.75;Buchs Stefan (2002);;23;52.5;18;44.0;-1;0.25;9.75

19e;Fercher Alain;;;;;;;;;;53.5
o;;;Chofflon Anthony;;;;;;;;8.5
+;5;8.5;Pürro Tobias;;14;54.75;5;8.5;0;0.0;9.75
o;7;18.25;Wieland Micha;;12;55.25;6;18.5;-1;0.25;8.5
+;10;26.75;Borcard Guillaume;;17;54.0;10;26.75;0;0.0;9.75
o;10;36.5;Borcard Clovis;*;16;54.25;13;35.75;3;-0.75;8.5
o;14;45.0;Pellet Adrian;;13;55.0;13;45.25;-1;0.25;8.5

19f;Turin Yann (2003);;;;;;;;;;53.5
+;;;Chassot Samuel (2001);;;;;;;;9.75
o;2;9.75;Buchs Carlo;*;15;54.5;5;8.5;3;-1.25;8.5
o;7;18.25;Pürro David (2001);;11;55.5;7;18.25;0;0.0;8.5
o;10;26.75;Gueissaz Léonard (2003);;12;55.25;10;26.75;0;0.0;8.5
+;15;35.25;Merz Sascha (2002);;17;54.0;14;35.5;-1;0.25;9.75
o;14;45.0;Aeschbacher Ivo (2001);;12;55.25;13;45.25;-1;0.25;8.5

20a;Loup Alexandre;*;;;;;;;;;53.25
-;;;Riedo Fredy;*;;;;;;;8.75
+;4;8.75;Gutknecht Alain;;18;53.75;1;10.0;-3;1.25;9.75
-;6;18.5;Dufey Gil;*;11;55.5;7;18.25;1;-0.25;8.75
-;8;27.25;Portmann Fabio;;15;54.5;5;28.25;-3;1.0;8.75
-;12;36.0;Ganière William;;17;54.0;9;36.75;-3;0.75;8.75
o;15;44.75;Parvex Yannick;*;12;55.25;12;45.5;-3;0.75;8.5

21a;Elmiger Elias (2001);;;;;;;;;;53.0
-;;;Buchs Stefan (2002);;;;;;;;8.75
-;4;8.75;Merz Sascha (2002);;17;54.0;2;9.75;-2;1.0;8.75
o;8;17.5;Gutknecht Alain;;18;53.75;6;18.5;-2;1.0;8.5
o;11;26.0;Cottier Marco;;14;54.75;10;26.75;-1;0.75;8.5
o;16;34.5;Borcard Guillaume;;17;54.0;15;35.25;-1;0.75;8.5
+;20;43.0;Chassot Samuel (2001);;25;51.25;21;42.75;1;-0.25;10.0

21b;Vionnet Julien;;;;;;;;;;53.0
o;;;Portmann Fabio;;;;;;;;8.5
o;5;8.5;Pellet Adrian;;13;55.0;5;8.5;0;0.0;8.5
+;10;17.0;Juon Martin;;18;53.75;10;17.0;0;0.0;10.0
o;9;27.0;Fankhauser Yanik (2002);;16;54.25;9;27.0;0;0.0;8.5
-;14;35.5;Ritler Nicolas;;22;52.75;14;35.5;0;0.0;8.75
-;17;44.25;Borcard Guillaume;;17;54.0;13;45.25;-4;1.0;8.75

22a;Ritler Nicolas;;;;;;;;;;52.75
o;;;Zbinden Jvan (2001);;;;;;;;8.5
o;5;8.5;Bapst Ludovic (2002);;17;54.0;5;8.5;0;0.0;8.5
+;10;17.0;Chassot Samuel (2001);;25;51.25;9;17.25;-1;0.25;10.0
o;9;27.0;Zbinden Samuel;;18;53.75;9;27.0;0;0.0;8.5
-;14;35.5;Vionnet Julien;;21;53.0;14;35.5;0;0.0;8.75
o;17;44.25;Lachavanne Noé;;13;55.0;13;45.25;-4;1.0;8.5

23a;Fallegger Riccardo (2003);;;;;;;;;;52.5
o;;;Wieland Timon;;;;;;;;8.5
o;5;8.5;Aeschbacher Ivo (2001);;12;55.25;5;8.5;0;0.0;8.5
o;10;17.0;Hirschi Damien (2003);;16;54.25;10;17.0;0;0.0;8.5
+;13;25.5;Chassot Samuel (2001);;25;51.25;12;25.75;-1;0.25;9.75
o;15;35.25;Menoud Liam (2001);;14;54.75;15;35.25;0;0.0;8.5
-;19;43.75;Python Benjamin (2002);;25;51.25;22;42.5;3;-1.25;8.75

23b;Holweger Marek;;;;;;;;;;52.5
o;;;Kolly Elmar (2002);;;;;;;;8.5
o;5;8.5;Clément Aurélien (2003);;12;55.25;5;8.5;0;0.0;8.5
+;10;17.0;Goy Sébastien;;19;53.5;10;17.0;0;0.0;10.0
o;9;27.0;Röthlisberger Sven;;13;55.0;9;27.0;0;0.0;8.5
o;14;35.5;Pasquier Loïc (2001);;15;54.5;14;35.5;0;0.0;8.5
o;18;44.0;Richard Quentin (2003);;17;54.0;17;44.25;-1;0.25;8.5

23c;Buchs Stefan (2002);;;;;;;;;;52.5
-;;;Elmiger Elias (2001);;;;;;;;8.75
o;4;8.75;Dubey Gaël;*;13;55.0;5;8.5;1;-0.25;8.5
o;9;17.25;Imhasly Jorin (2001);;19;53.5;7;18.25;-2;1.0;8.5
o;12;25.75;Staudenmann Roger;;23;52.5;13;25.5;1;-0.25;8.5
+;17;34.25;Max Grégory;;24;52.25;15;35.25;-2;1.0;9.75
o;18;44.0;Goy Sébastien;;19;53.5;19;43.75;1;-0.25;8.5

23d;Grisel Samuel;;;;;;;;;;52.5
o;;;Von Niederhäusern Marcel;;;;;;;;8.5
o;5;8.5;Loup Grégoire;;10;55.75;5;8.5;0;0.0;8.5
+;10;17.0;Staudenmann Roger;;23;52.5;10;17.0;0;0.0;10.0
o;9;27.0;Golliard Steve;;17;54.0;9;27.0;0;0.0;8.5
o;14;35.5;Egger Benoît (2002);;15;54.5;12;36.0;-2;0.5;8.5
o;18;44.0;Merz Sascha (2002);;17;54.0;18;44.0;0;0.0;8.5

23e;Staudenmann Roger;;;;;;;;;;52.5
o;;;Egger Benoît (2002);;;;;;;;8.5
o;5;8.5;Merz Sascha (2002);;17;54.0;2;9.75;-3;1.25;8.5
o;10;17.0;Grisel Samuel;;23;52.5;10;17.0;0;0.0;8.5
+;13;25.5;Buchs Stefan (2002);;23;52.5;12;25.75;-1;0.25;10.0
o;14;35.5;Aeschbacher Ivo (2001);;12;55.25;14;35.5;0;0.0;8.5
o;18;44.0;Pürro Tobias;;14;54.75;14;45.0;-4;1.0;8.5

24a;Max Grégory;;;;;;;;;;52.25
+;;;Python Benjamin (2002);;;;;;;;9.75
o;2;9.75;Vaucher Rémy;;14;54.75;3;9.0;1;-0.75;8.5
o;7;18.25;Beaud Eric;;19;53.5;7;18.25;0;0.0;8.5
o;10;26.75;Pürro Tobias;;14;54.75;10;26.75;0;0.0;8.5
o;15;35.25;Buchs Stefan (2002);;23;52.5;17;34.25;2;-1.0;8.5
o;19;43.75;Juon Martin;;18;53.75;19;43.75;0;0.0;8.5

25a;Python Benjamin (2002);;;;;;;;;;51.25
o;;;Max Grégory;;;;;;;;8.5
o;5;8.5;Menoud Liam (2001);;14;54.75;5;8.5;0;0.0;8.5
o;10;17.0;Richard Quentin (2003);;17;54.0;9;17.25;-1;0.25;8.5
o;13;25.5;Lachavanne Noé;;13;55.0;13;25.5;0;0.0;8.5
o;18;34.0;Juon Martin;;18;53.75;18;34.0;0;0.0;8.5
