3715-2018-07-01_112_Innerschweizerisches_Schwingfest-ST

1a;Stucki Christian;***;;;;;;;;;114.0
+;;;Heinzer Stefan;*;;;;;;;10.0
+;4;10.0;Rhyner Michael;**;13;55.75;7;8.75;3;-1.25;9.75
o;5;19.75;von Ah Benji;***;11;56.25;5;19.75;0;0.0;8.5
+;9;28.25;Nietlispach Pascal;**;10;56.5;9;28.25;0;0.0;10.0
-;8;38.25;Gwerder Michael (2000);*;8;57.0;8;38.25;0;0.0;9.0
+;11;47.25;Arnold Severin;*;16;55.0;14;46.5;3;-0.75;10.0

7c;Egli Damian;**;;;;;;;;;57.25
o;;;Schuler Alex;***;;;;;;;8.5
+;8;8.5;Reichmuth Armin;*;18;54.5;8;8.5;0;0.0;10.0
+;9;18.5;Betschart Marcel;*;21;53.75;9;18.5;0;0.0;10.0
-;8;28.5;Odermatt Remo;*;19;54.25;10;28.0;2;-0.5;9.0
+;11;37.5;Langenstein Philip;**;17;54.75;11;37.5;0;0.0;10.0
+;10;47.5;Gander Adrian;*;16;55.0;14;46.5;4;-1.0;9.75

7d;Müllestein Mike;***;;;;;;;;;57.25
-;;;Moser Steven;**;;;;;;;8.75
+;7;8.75;Niederberger Markus;*;20;54.0;4;10.0;-3;1.25;10.0
+;8;18.75;Thalmann Thomas;*;28;44.25;8;18.75;0;0.0;9.75
+;8;28.5;Elsener Peter;**;21;53.75;9;28.25;1;-0.25;10.0
o;7;38.5;Schurtenberger Sven;***;6;57.75;6;38.75;-1;0.25;8.75
+;11;47.25;Ambühl Joel;*;8;57.0;6;48.5;-5;1.25;10.0

8a;Doppmann Urs;*;;;;;;;;;57.0
+;;;Baumann Roger;*;;;;;;;10.0
+;4;10.0;Steinauer Adrian;**;39;26.25;6;9.0;2;-1.0;9.75
o;5;19.75;Imhof Andi;***;9;56.75;10;18.25;5;-1.5;8.75
+;8;28.5;Bucher Roland;*;16;55.0;9;28.25;1;-0.25;9.75
+;8;38.25;Ettlin Stefan;*;15;55.25;8;38.25;0;0.0;9.75
-;8;48.0;Moser Steven;**;12;56.0;12;47.0;4;-1.0;9.0

8b;Gwerder Guido;**;;;;;;;;;57.0
o;;;Fankhauser Marco;**;;;;;;;8.5
+;8;8.5;Hösli Fritz;*;36;34.5;7;8.75;-1;0.25;10.0
+;9;18.5;Stöckli Damian;*;14;55.5;9;18.5;0;0.0;10.0
+;8;28.5;Portmann Josef;*;15;55.25;9;28.25;1;-0.25;9.75
-;8;38.25;Gisler Bruno;***;17;54.75;13;37.0;5;-1.25;9.0
+;11;47.25;Kurmann Toni;*;14;55.5;12;47.0;1;-0.25;9.75

8c;Hurschler Thomas;**;;;;;;;;;57.0
+;;;Kälin Roland;**;;;;;;;10.0
+;4;10.0;Gerber Peter;*;24;53.0;4;10.0;0;0.0;9.75
o;5;19.75;Gnägi Florian;***;10;56.5;8;18.75;3;-1.0;8.5
+;9;28.25;Achermann Christoph;*;25;52.75;13;27.25;4;-1.0;10.0
-;8;38.25;Hirsiger Alexander;*;13;55.75;9;38.0;1;-0.25;8.75
+;12;47.0;Bucher Roland;*;16;55.0;14;46.5;2;-0.5;10.0

8d;Binggeli Stefan;*;;;;;;;;;57.0
-;;;Kenel Franz-Toni;*;;;;;;;8.75
-;7;8.75;Betschart Patrick;*;15;55.25;8;8.5;1;-0.25;8.75
+;13;17.5;Gasser Peter;*;37;34.25;15;17.0;2;-0.5;10.0
+;12;27.5;Rohrer Marco;**;15;55.25;9;28.25;-3;0.75;9.75
+;12;37.25;Bernhard Lukas;*;14;55.5;12;37.25;0;0.0;10.0
+;11;47.25;Ettlin Stefan;*;15;55.25;13;46.75;2;-0.5;9.75

8e;Scheuber Lutz;**;;;;;;;;;57.0
o;;;Hasler Florian;**;;;;;;;8.5
+;8;8.5;Moos Christoph;*;19;54.25;7;8.75;-1;0.25;10.0
+;9;18.5;Fassbind René;*;14;55.5;9;18.5;0;0.0;9.75
+;9;28.25;Schneider Domenic;***;14;55.5;14;27.0;5;-1.25;10.0
-;8;38.25;Gloggner Reto;**;10;56.5;9;38.0;1;-0.25;8.75
+;12;47.0;Scherrer Fabian (2002);;16;55.0;14;46.5;2;-0.5;10.0

8f;Ambühl Joel;*;;;;;;;;;57.0
+;;;Waser Reto;*;;;;;;;10.0
+;4;10.0;Gwerder Carlo;**;19;54.25;7;8.75;3;-1.25;9.75
o;5;19.75;Nötzli Reto;***;7;57.25;5;19.75;0;0.0;8.75
+;8;28.5;Ulrich Marco;*;19;54.25;9;28.25;1;-0.25;10.0
+;7;38.5;Schelbert Ralf;**;10;56.5;8;38.25;1;-0.25;10.0
o;6;48.5;Müllestein Mike;***;7;57.25;11;47.25;5;-1.25;8.5

8g;Gloggner Philipp;***;;;;;;;;;57.0
-;;;Rhyner Michael;**;;;;;;;8.75
+;7;8.75;Villiger Cyrill;*;15;55.25;4;10.0;-3;1.25;10.0
+;8;18.75;Wyrsch Marco;**;12;56.0;8;18.75;0;0.0;9.75
o;8;28.5;Linggi Bruno;**;11;56.25;9;28.25;1;-0.25;8.75
+;12;37.25;Gander Adrian;*;16;55.0;10;37.75;-2;0.5;9.75
+;12;47.0;Heinzer Stefan;**;3;90.0;3;81.5;-9;34.5;10.0

8h;Gwerder Michael (2000);*;;;;;;;;;57.0
+;;;Bättig Martin;*;;;;;;;10.0
+;4;10.0;Stucki Christian;*;1;114.0;1;20.0;-3;10.0;9.75
o;5;19.75;Erb Roger;**;13;55.75;9;18.5;4;-1.25;8.5
+;9;28.25;Felder Martin;*;15;55.25;9;28.25;0;0.0;10.0
-;8;38.25;Fellmann Roman;*;7;57.25;8;38.25;0;0.0;9.0
+;11;47.25;Heiniger Marco;*;12;56.0;10;47.5;-1;0.25;9.75

8i;Fankhauser Marco;**;;;;;;;;;57.0
+;;;Gwerder Guido;**;;;;;;;9.75
+;5;9.75;Zimmermann Daniel;*;20;54.0;5;9.75;0;0.0;10.0
+;5;19.75;Wetzstein Adrian;*;14;55.5;8;18.75;3;-1.0;10.0
-;4;29.75;Gnägi Florian;***;10;56.5;7;28.75;3;-1.0;9.0
o;6;38.75;Ulrich Andreas;***;5;58.25;8;38.25;2;-0.5;8.5
+;11;47.25;Langenstein Philip;**;17;54.75;15;46.25;4;-1.0;9.75

8j;Herger Matthias;**;;;;;;;;;57.0
+;;;Müller Michael;**;;;;;;;10.0
+;4;10.0;Inderbitzin Daniel;*;14;55.5;4;10.0;0;0.0;10.0
o;4;20.0;Stucki Christian;***;1;114.0;1;38.5;-3;18.5;8.5
+;8;28.5;Arnold Marcel;*;20;54.0;8;28.5;0;0.0;9.75
-;8;38.25;Rohrer Ivan;**;10;56.5;9;38.0;1;-0.25;8.75
+;12;47.0;Villiger Cyrill;*;15;55.25;13;46.75;1;-0.25;10.0

9a;Reichmuth Marco;**;;;;;;;;;56.75
+;;;Murer Andy;**;;;;;;;10.0
+;4;10.0;Schöpfer Ronny;*;17;54.75;4;10.0;0;0.0;9.75
o;5;19.75;Fankhauser Erich;***;10;56.5;5;19.75;0;0.0;8.75
+;8;28.5;Würsch Lars;*;16;55.0;9;28.25;1;-0.25;10.0
o;7;38.5;Schuler Alex;***;2;110.75;2;73.5;-5;35.0;8.5
+;12;47.0;Felder Martin;*;15;55.25;14;46.5;2;-0.5;9.75

9b;Arnold Stefan;**;;;;;;;;;56.75
+;;;Dousse Michel;**;;;;;;;10.0
+;4;10.0;Fink Bruno;*;19;54.25;4;10.0;0;0.0;9.75
+;5;19.75;Gisler Bruno;***;17;54.75;9;18.5;4;-1.25;9.75
+;5;29.5;Bucher Christian;*;16;55.0;7;28.75;2;-0.75;10.0
o;4;39.5;Schuler Christian;***;4;58.5;7;38.5;3;-1.0;8.5
-;8;48.0;Bieri Marcel;**;9;56.75;8;48.0;0;0.0;8.75

9c;Bieri Marcel;**;;;;;;;;;56.75
+;;;Borcard Johann;**;;;;;;;10.0
+;4;10.0;Felder Martin;*;15;55.25;4;10.0;0;0.0;9.75
+;5;19.75;Schneider Mario;**;10;56.5;9;18.5;4;-1.25;9.75
+;5;29.5;Fankhauser Erich;***;10;56.5;5;29.5;0;0.0;10.0
o;4;39.5;Stucki Christian;***;1;114.0;1;76.75;-3;37.25;8.5
-;8;48.0;Arnold Stefan;**;9;56.75;8;48.0;0;0.0;8.75

9d;Suppiger Werner;**;;;;;;;;;56.75
+;;;Heinzer Stefan;**;;;;;;;9.75
