3715-2018-07-01_112_Innerschweizerisches_Schwingfest-ST

1a;Stucki Christian;***;;;;;;;;;114.0
+;7;8.75;Schnider Markus;*;38;34.0;8;8.5;1;-0.25;10.0
+;8;18.75;Widmer Adrian;*;17;54.75;8;18.75;0;0.0;9.75
o;8;28.5;Ulrich Andreas;***;5;58.25;8;28.5;0;0.0;8.75
o;12;37.25;Binggeli Stefan;*;8;57.0;12;37.25;0;0.0;8.5
+;17;45.75;Fink Bruno;*;19;54.25;17;45.75;0;0.0;9.75

14b;Inderbitzin Daniel;*;;;;;;;;;55.5
+;;;Arnold Raphael;*;;;;;;;10.0
o;4;10.0;Herger Matthias;**;8;57.0;4;10.0;0;0.0;8.5
+;9;18.5;Durrer Markus;;24;53.0;9;18.5;0;0.0;9.75
o;9;28.25;Gander Adrian;*;16;55.0;11;27.75;2;-0.5;8.75
+;13;37.0;Elsener Peter;**;21;53.75;14;36.75;1;-0.25;10.0
o;12;47.0;Gloggner Reto;**;10;56.5;13;46.75;1;-0.25;8.5

14c;Thierstein Marco;*;;;;;;;;;55.5
+;;;Gasser Peter;*;;;;;;;10.0
o;4;10.0;Arnold Fabian;*;23;53.25;7;8.75;3;-1.25;8.5
o;9;18.5;Bucher Roland;*;16;55.0;9;18.5;0;0.0;8.5
+;14;27.0;Heinzer Ronny;*;15;55.25;14;27.0;0;0.0;10.0
o;13;37.0;Schneider Mario;**;10;56.5;13;37.0;0;0.0;8.5
+;18;45.5;Gisler Jonas (2001);;29;44.0;24;44.0;6;-1.5;10.0

14d;Höﬂiger Andreas;**;;;;;;;;;55.5
+;;;Odermatt Christian;**;;;;;;;10.0
+;4;10.0;Arnold Severin;*;16;55.0;5;9.75;1;-0.25;10.0
-;4;20.0;Räbmatter Patrick;***;17;54.75;9;18.5;5;-1.5;8.75
-;7;28.75;Heiniger Marco;*;12;56.0;7;28.75;0;0.0;8.75
-;11;37.5;Muff André;*;16;55.0;11;37.5;0;0.0;9.0
-;14;46.5;Hirsiger Alexander;*;13;55.75;13;46.75;-1;0.25;9.0

14e;Murer Andy;**;;;;;;;;;55.5
o;;;Reichmuth Marco;**;;;;;;;8.5
+;8;8.5;Zgraggen Fabian;*;19;54.25;8;8.5;0;0.0;10.0
o;9;18.5;Fankhauser Reto;**;9;56.75;9;18.5;0;0.0;8.5
+;14;27.0;Lang Sven;*;13;55.75;13;27.25;-1;0.25;10.0
o;13;37.0;Nietlispach Pascal;**;10;56.5;14;36.75;1;-0.25;8.5
+;18;45.5;Arnold Marcel;*;20;54.0;18;45.5;0;0.0;10.0

14f;Kurmann Toni;*;;;;;;;;;55.5
+;;;Gwerder Andreas;*;;;;;;;10.0
o;4;10.0;Betschart Remo;**;10;56.5;7;8.75;3;-1.25;8.5
+;9;18.5;Rohrer Marco;**;15;55.25;5;19.75;-4;1.25;10.0
o;8;28.5;Schuler Christian;***;4;58.5;8;28.5;0;0.0;8.5
+;13;37.0;Hess Michael;*;19;54.25;14;36.75;1;-0.25;10.0
o;12;47.0;Gwerder Guido;**;8;57.0;11;47.25;-1;0.25;8.5

14g;Fassbind René;*;;;;;;;;;55.5
o;;;Briker Michael;*;;;;;;;8.5
+;8;8.5;Zanini David (2000);;36;34.5;7;8.75;-1;0.25;10.0
o;9;18.5;Scheuber Lutz;**;8;57.0;9;18.5;0;0.0;8.5
o;14;27.0;Wyrsch Silvio;*;15;55.25;14;27.0;0;0.0;8.5
+;19;35.5;Gander Michael;;29;44.0;19;35.5;0;0.0;10.0
+;18;45.5;Amgarten Martin;*;20;54.0;18;45.5;0;0.0;10.0

14h;Stöckli Damian;*;;;;;;;;;55.5
+;;;Hürlimann Mathias (2000);*;;;;;;;10.0
o;4;10.0;Rohrer Marco;**;15;55.25;4;10.0;0;0.0;8.5
o;9;18.5;Gwerder Guido;**;8;57.0;9;18.5;0;0.0;8.5
+;14;27.0;Durrer Fabian;*;21;53.75;14;27.0;0;0.0;9.75
+;14;36.75;Rohrer Beat;*;19;54.25;13;37.0;-1;0.25;10.0
o;13;46.75;Arnold Raphael;*;10;56.5;13;46.75;0;0.0;8.75

14i;Odermatt Christian;**;;;;;;;;;55.5
o;;;Höﬂiger Andreas;**;;;;;;;8.5
o;8;8.5;Ottiger Lukas;*;17;54.75;5;9.75;-3;1.25;8.5
+;15;17.0;Hösli Fritz;*;36;34.5;14;17.25;-1;0.25;9.75
+;15;26.75;Müller Roger;*;33;35.5;14;27.0;-1;0.25;9.75
-;15;36.5;Bernet Christoph;*;21;53.75;16;36.25;1;-0.25;9.0
+;18;45.5;Kessler Joel;*;20;54.0;18;45.5;0;0.0;10.0

14j;Schneider Domenic;***;;;;;;;;;55.5
o;;;von Ah Benji;***;;;;;;;8.5
-;8;8.5;Streiff Dominik;*;16;55.0;4;10.0;-4;1.5;8.75
+;14;17.25;Betschart Remo;**;10;56.5;9;18.5;-5;1.25;9.75
o;14;27.0;Scheuber Lutz;**;8;57.0;9;28.25;-5;1.25;8.5
+;19;35.5;Fessler Linus;**;20;54.0;18;35.75;-1;0.25;10.0
+;18;45.5;Gwerder Carlo;**;19;54.25;17;45.75;-1;0.25;10.0

14k;Wetzstein Adrian;*;;;;;;;;;55.5
-;;;Rohrer Ueli;*;;;;;;;8.75
+;7;8.75;Gisler Jonas (2001);;29;44.0;8;8.5;1;-0.25;10.0
o;8;18.75;Fankhauser Marco;**;8;57.0;5;19.75;-3;1.0;8.5
+;13;27.25;Herger Fabian;*;21;53.75;12;27.5;-1;0.25;9.75
+;13;37.0;Zurﬂuh Michael;*;19;54.25;13;37.0;0;0.0;10.0
o;12;47.0;Imhof Andi;***;9;56.75;13;46.75;1;-0.25;8.5

14l;Muff Armin;**;;;;;;;;;55.5
o;;;Rohrer Ivan;**;;;;;;;8.5
-;8;8.5;Odermatt Andreas;*;18;54.5;7;8.75;-1;0.25;8.75
+;14;17.25;Zimmermann Daniel;*;20;54.0;10;18.25;-4;1.0;10.0
+;13;27.25;Reichmuth Roland;*;19;54.25;13;27.25;0;0.0;9.75
+;13;37.0;Arnold Marcel;*;20;54.0;13;37.0;0;0.0;10.0
o;12;47.0;Nötzli Reto;***;7;57.25;11;47.25;-1;0.25;8.5

15a;Schürpf Bruno;*;;;;;;;;;55.25
-;;;Felder Seppi;*;;;;;;;8.75
+;7;8.75;Wyrsch Silvio;*;15;55.25;8;8.5;1;-0.25;9.75
o;9;18.5;Rhyner Michael;**;13;55.75;14;17.25;5;-1.25;8.5
+;14;27.0;Suter Beat;;23;53.25;13;27.25;-1;0.25;9.75
o;14;36.75;Felder Martin;*;15;55.25;14;36.75;0;0.0;8.5
+;19;45.25;Heiniger Luca;;21;53.75;19;45.25;0;0.0;10.0

15b;Heinzer Ronny;*;;;;;;;;;55.25
+;;;Muff André;*;;;;;;;9.75
o;5;9.75;Moser Steven;**;12;56.0;7;8.75;2;-1.0;8.5
-;10;18.25;Elsener Marcel;*;23;53.25;9;18.5;-1;0.25;8.75
o;14;27.0;Thierstein Marco;*;14;55.5;14;27.0;0;0.0;8.5
+;19;35.5;Lussi Marco;**;21;53.75;19;35.5;0;0.0;10.0
+;18;45.5;Fässler Dominic;**;19;54.25;18;45.5;0;0.0;9.75

15c;Ettlin Stefan;*;;;;;;;;;55.25
+;;;Portmann Josef;*;;;;;;;9.75
+;5;9.75;Elsener Peter;**;21;53.75;4;10.0;-1;0.25;10.0
o;5;19.75;Schuler Christian;***;4;58.5;8;18.75;3;-1.0;8.75
+;8;28.5;Villiger Cyrill;*;15;55.25;9;28.25;1;-0.25;9.75
o;8;38.25;Doppmann Urs;*;8;57.0;8;38.25;0;0.0;8.5
o;13;46.75;Binggeli Stefan;*;8;57.0;11;47.25;-2;0.5;8.5

15d;Wyrsch Silvio;*;;;;;;;;;55.25
o;;;Würsch Lars;*;;;;;;;8.5
o;8;8.5;Schürpf Bruno;*;15;55.25;7;8.75;-1;0.25;8.5
+;15;17.0;Mignola Lorenzo;;38;34.0;15;17.0;0;0.0;10.0
+;14;27.0;Fassbind René;*;14;55.5;14;27.0;0;0.0;9.75
o;14;36.75;Rhyner Michael;**;13;55.75;18;35.75;4;-1.0;8.5
+;19;45.25;Zurﬂuh Michael;*;19;54.25;18;45.5;-1;0.25;10.0

15e;Villiger Cyrill;*;;;;;;;;;55.25
+;;;Ming Christian;*;;;;;;;10.0
o;4;10.0;Gloggner Philipp;***;8;57.0;7;8.75;3;-1.25;8.5
+;9;18.5;Müller Roger;*;33;35.5;9;18.5;0;0.0;9.75
o;9;28.25;Ettlin Stefan;*;15;55.25;8;28.5;-1;0.25;8.5
+;14;36.75;Ottiger Lukas;*;17;54.75;15;36.5;1;-0.25;10.0
o;13;46.75;Herger Matthias;**;8;57.0;12;47.0;-1;0.25;8.5

15f;Betschart Patrick;*;;;;;;;;;55.25
o;;;Gerber Peter;*;;;;;;;8.5
-;8;8.5;Binggeli Stefan;*;8;57.0;7;8.75;-1;0.25;8.75
-;14;17.25;Zimmermann Simon;**;18;54.5;14;17.25;0;0.0;8.75
+;18;26.0;Gisler Jonas (2001);;29;44.0;20;25.5;2;-0.5;9.75
+;18;35.75;Achermann Christoph;*;25;52.75;18;35.75;0;0.0;9.75
+;18;45.5;Briker Michael;*;20;54.0;18;45.5;0;0.0;9.75

15g;Felder Martin;*;;;;;;;;;55.25
+;;;Blaser Theo;*;;;;;;;10.0
o;4;10.0;Bieri Marcel;**;9;56.75;4;10.0;0;0.0;8.5
+;9;18.5;Arnold Andreas;*;16;55.0;10;18.25;1;-0.25;9.75
o;9;28.25;Gwerder Michael (2000);*;8;57.0;9;28.25;0;0.0;8.5
+;14;36.75;Schürpf Bruno;*;15;55.25;14;36.75;0;0.0;9.75
o;14;46.5;Reichmuth Marco;**;9;56.75;12;47.0;-2;0.5;8.75

15h;Schuler Philipp;**;;;;;;;;;55.25
+;;;Hofmann Florian;**;;;;;;;9.75
-;5;9.75;Bernet Christoph;*;21;53.75;4;10.0;-1;0.25;8.75
o;9;18.5;Muff André;*;16;55.0;9;18.5;0;0.0;8.5
+;14;27.0;Gander Michael;;29;44.0;14;27.0;0;0.0;9.75
o;14;36.75;Rohrer Marco;**;15;55.25;14;36.75;0;0.0;8.5
+;19;45.25;Niederberger Markus;*;20;54.0;18;45.5;-1;0.25;10.0

15i;Rohrer Marco;**;;;;;;;;;55.25
+;;;Bieri Christian;**;;;;;;;10.0
+;4;10.0;Stöckli Damian;*;14;55.5;4;10.0;0;0.0;9.75
o;5;19.75;Kurmann Toni;*;14;55.5;9;18.5;4;-1.25;8.5
o;9;28.25;Binggeli Stefan;*;8;57.0;12;27.5;3;-0.75;8.5
+;14;36.75;Schuler Philipp;**;15;55.25;14;36.75;0;0.0;9.75
o;14;46.5;Fankhauser Reto;**;9;56.75;12;47.0;-2;0.5;8.75

15j;Portmann Josef;*;;;;;;;;;55.25
o;;;Ettlin Stefan;*;;;;;;;8.5
+;8;8.5;Bucher Thomas;;36;34.5;7;8.75;-1;0.25;9.75
+;10;18.25;Fessler Linus;**;20;54.0;14;17.25;4;-1.0;10.0
o;9;28.25;Gwerder Guido;**;8;57.0;8;28.5;-1;0.25;8.5
o;14;36.75;Heinzer Stefan;**;3;90.0;3;71.5;-11;34.75;8.5
+;19;45.25;Hess Dominik;*;21;53.75;19;45.25;0;0.0;10.0

16a;Bucher Christian;*;;;;;;;;;55.0
+;;;Burch Jonas;*;;;;;;;10.0
o;4;10.0;Zimmermann Martin;**;10;56.5;6;9.0;2;-1.0;8.75
+;8;18.75;Graber Michael;*;19;54.25;9;18.5;1;-0.25;10.0
o;7;28.75;Arnold Stefan;**;9;56.75;5;29.5;-2;0.75;8.5
-;12;37.25;Wyrsch Marco;**;12;56.0;12;37.25;0;0.0;8.75
-;16;46.0;Sempach Matthias;***;18;54.5;18;45.5;2;-0.5;9.0

16b;Muff André;*;;;;;;;;;55.0
o;;;Heinzer Ronny;*;;;;;;;8.75
+;7;8.75;Durrer Fabian;*;21;53.75;7;8.75;0;0.0;9.75
+;9;18.5;Schuler Philipp;**;15;55.25;9;18.5;0;0.0;10.0
-;8;28.5;Zurﬂuh Michael;*;19;54.25;9;28.25;1;-0.25;9.0
-;11;37.5;Höﬂiger Andreas;**;14;55.5;11;37.5;0;0.0;8.75
o;15;46.25;Betschart Remo;**;10;56.5;13;46.75;-2;0.5;8.75

16c;Gander Adrian;*;;;;;;;;;55.0
-;;;Moos Christoph;*;;;;;;;8.75
+;7;8.75;Fässler Dominic;**;19;54.25;8;8.5;1;-0.25;10.0
-;8;18.75;Bernet Christoph;*;21;53.75;8;18.75;0;0.0;9.0
+;11;27.75;Inderbitzin Daniel;*;14;55.5;9;28.25;-2;0.5;10.0
o;10;37.75;Gloggner Philipp;***;8;57.0;12;37.25;2;-0.5;8.75
o;14;46.5;Egli Damian;**;7;57.25;10;47.5;-4;1.0;8.5

16d;Elmiger Andreas;;;;;;;;;;55.0
+;;;Pedrazzini Diego;;;;;;;;9.75
+;5;9.75;Fessler Linus;**;20;54.0;7;8.75;2;-1.0;9.75
o;6;19.5;Hess Michael;*;19;54.25;9;18.5;3;-1.0;8.5
-;10;28.0;Kempf Elias;**;20;54.0;12;27.5;2;-0.5;8.75
+;14;36.75;Amgarten Martin;*;20;54.0;13;37.0;-1;0.25;9.75
o;14;46.5;Rohrer Ivan;**;10;56.5;13;46.75;-1;0.25;8.5

16e;Arnold Andreas;*;;;;;;;;;55.0
+;;;Betschart Marcel;*;;;;;;;9.75
o;5;9.75;Nötzli Reto;***;7;57.25;4;10.0;-1;0.25;8.5
o;10;18.25;Felder Martin;*;15;55.25;9;18.5;-1;0.25;8.5
+;15;26.75;Della Torre Simon;;35;34.75;17;26.25;2;-0.5;9.75
-;15;36.5;Huber Alex;*;19;54.25;14;36.75;-1;0.25;8.75
+;19;45.25;Lemmenmeier Lukas;*;18;54.5;16;46.0;-3;0.75;9.75

16f;Streiff Dominik;*;;;;;;;;;55.0
+;;;Graber Michael;*;;;;;;;10.0
-;4;10.0;Schneider Domenic;***;14;55.5;8;8.5;4;-1.5;8.75
+;8;18.75;Gut Koni;;19;54.25;6;19.5;-2;0.75;10.0
o;7;28.75;Hirsiger Alexander;*;13;55.75;9;28.25;2;-0.5;8.5
-;12;37.25;Moos Christoph;*;19;54.25;13;37.0;1;-0.25;8.75
-;16;46.0;Widmer Adrian;*;17;54.75;17;45.75;1;-0.25;9.0

16g;Ettlin Martin;;;;;;;;;;55.0
+;;;Steiner Severin (2001);;;;;;;;9.75
-;5;9.75;Schmidiger Marco;*;35;34.75;8;8.5;3;-1.25;8.75
o;9;18.5;Elsener Peter;**;21;53.75;9;18.5;0;0.0;8.5
o;14;27.0;Zürcher Ueli (2000);;31;37.25;13;27.25;-1;0.25;8.5
+;19;35.5;Borcard Johann;**;26;52.5;19;35.5;0;0.0;9.75
+;19;45.25;Gwerder Beni;;20;54.0;19;45.25;0;0.0;9.75

16h;Scherrer Fabian (2002);;;;;;;;;;55.0
+;;;Forster Christian;;;;;;;;10.0
o;4;10.0;Betschart Marcel;*;21;53.75;8;8.5;4;-1.5;8.5
o;9;18.5;Odermatt Remo;*;19;54.25;10;18.25;1;-0.25;8.5
+;14;27.0;Wallimann Remo;;27;45.25;14;27.0;0;0.0;9.75
+;14;36.75;Gwerder Beni;;20;54.0;15;36.5;1;-0.25;9.75
o;14;46.5;Scheuber Lutz;**;8;57.0;12;47.0;-2;0.5;8.5

16i;Hasler Florian;**;;;;;;;;;55.0
+;;;Scheuber Lutz;**;;;;;;;9.75
o;5;9.75;Räbmatter Patrick;***;17;54.75;8;8.5;3;-1.25;8.5
+;10;18.25;Niederberger Markus;*;20;54.0;9;18.5;-1;0.25;10.0
+;9;28.25;Scherer Niklaus;*;17;54.75;12;27.5;3;-0.75;9.75
o;9;38.0;Fankhauser Erich;***;10;56.5;9;38.0;0;0.0;8.5
o;14;46.5;Suppiger Werner;**;9;56.75;13;46.75;-1;0.25;8.5

16j;Bucher Roland;*;;;;;;;;;55.0
+;;;Gassmann Michael;*;;;;;;;10.0
o;4;10.0;Imhof Andi;***;9;56.75;8;8.5;4;-1.5;8.5
+;9;18.5;Thierstein Marco;*;14;55.5;9;18.5;0;0.0;9.75
o;9;28.25;Doppmann Urs;*;8;57.0;8;28.5;-1;0.25;8.5
+;14;36.75;Niederberger Markus;*;20;54.0;13;37.0;-1;0.25;9.75
o;14;46.5;Hurschler Thomas;**;8;57.0;12;47.0;-2;0.5;8.5

16k;Würsch Lars;*;;;;;;;;;55.0
+;;;Wyrsch Silvio;*;;;;;;;10.0
o;4;10.0;Schurtenberger Sven;***;6;57.75;7;8.75;3;-1.25;8.5
+;9;18.5;Zürcher Ueli (2000);;31;37.25;8;18.75;-1;0.25;9.75
o;9;28.25;Reichmuth Marco;**;9;56.75;8;28.5;-1;0.25;8.5
o;14;36.75;Fankhauser Reto;**;9;56.75;13;37.0;-1;0.25;8.5
+;19;45.25;Bernet Christoph;*;21;53.75;19;45.25;0;0.0;9.75

16l;Arnold Severin;*;;;;;;;;;55.0
+;;;Schmidiger Marco;*;;;;;;;9.75
o;5;9.75;Höﬂiger Andreas;**;14;55.5;4;10.0;-1;0.25;8.5
+;10;18.25;Reichmuth Lukas (2000);*;20;54.0;9;18.5;-1;0.25;10.0
+;9;28.25;Ottiger Lukas;*;17;54.75;10;28.0;1;-0.25;9.75
o;9;38.0;Linggi Bruno;**;11;56.25;9;38.0;0;0.0;8.5
o;14;46.5;Fellmann Roman;*;7;57.25;11;47.25;-3;0.75;8.5

16m;Bättig Martin;*;;;;;;;;;55.0
o;;;Gwerder Michael (2000);*;;;;;;;8.75
-;7;8.75;Kennel Stefan;**;36;34.5;8;8.5;1;-0.25;8.75
-;13;17.5;Odermatt Andreas;*;18;54.5;13;17.5;0;0.0;8.75
+;17;26.25;Betschart Daniel;;36;34.5;18;26.0;1;-0.25;10.0
+;16;36.25;Kennel Beat;*;22;53.5;17;36.0;1;-0.25;10.0
o;15;46.25;Gnägi Florian;***;10;56.5;14;46.5;-1;0.25;8.75

17a;Widmer Adrian;*;;;;;;;;;54.75
-;;;Arnold Fabian;*;;;;;;;8.75
+;7;8.75;Betschart Silvan;*;22;53.5;8;8.5;1;-0.25;10.0
o;8;18.75;Bernhard Lukas;*;14;55.5;8;18.75;0;0.0;8.5
-;13;27.25;Ming Christian;*;24;53.0;13;27.25;0;0.0;8.75
+;17;36.0;Durrer Markus;;24;53.0;18;35.75;1;-0.25;9.75
-;17;45.75;Streiff Dominik;*;16;55.0;16;46.0;-1;0.25;9.0

17b;Ottiger Lukas;*;;;;;;;;;54.75
+;;;Schilter Daniel;*;;;;;;;9.75
+;5;9.75;Odermatt Christian;**;14;55.5;8;8.5;3;-1.25;9.75
o;6;19.5;Ulrich Andreas;***;5;58.25;9;18.5;3;-1.0;8.5
o;10;28.0;Arnold Severin;*;16;55.0;9;28.25;-1;0.25;8.5
o;15;36.5;Villiger Cyrill;*;15;55.25;14;36.75;-1;0.25;8.5
+;20;45.0;Suter Beat;;23;53.25;21;44.75;1;-0.25;9.75

17c;Vogel Remo;**;;;;;;;;;54.75
-;;;Betschart Remo;**;;;;;;;8.75
+;7;8.75;Wallimann Remo;;27;45.25;4;10.0;-3;1.25;10.0
-;8;18.75;Kälin Remo;*;22;53.5;9;18.5;1;-0.25;8.75
-;12;27.5;Rhyner Michael;**;13;55.75;14;27.0;2;-0.5;8.75
+;16;36.25;Betschart Marcel;*;21;53.75;14;36.75;-2;0.5;10.0
o;15;46.25;Nietlispach Pascal;**;10;56.5;14;46.5;-1;0.25;8.5

17d;Räbmatter Patrick;***;;;;;;;;;54.75
o;;;Schuler Christian;***;;;;;;;8.5
+;8;8.5;Hasler Florian;**;16;55.0;5;9.75;-3;1.25;10.0
-;9;18.5;Höﬂiger Andreas;**;14;55.5;4;20.0;-5;1.5;8.75
-;13;27.25;Waser Dominik;**;13;55.75;9;28.25;-4;1.0;8.75
+;17;36.0;Odermatt Andreas;*;18;54.5;16;36.25;-1;0.25;10.0
-;16;46.0;Rohrer Ueli;*;17;54.75;16;46.0;0;0.0;8.75

17e;Scherer Niklaus;*;;;;;;;;;54.75
-;;;Odermatt Andreas;*;;;;;;;8.75
-;7;8.75;Durrer Nando;*;23;53.25;7;8.75;0;0.0;9.0
+;12;17.75;Zanini David (2000);;36;34.5;14;17.25;2;-0.5;9.75
o;12;27.5;Hasler Florian;**;16;55.0;9;28.25;-3;0.75;8.5
-;17;36.0;Elsener Adrian;**;19;54.25;18;35.75;1;-0.25;8.75
+;21;44.75;Gassmann Michael;*;23;53.25;21;44.75;0;0.0;10.0

17f;Schöpfer Ronny;*;;;;;;;;;54.75
+;;;Kessler Joel;*;;;;;;;10.0
o;4;10.0;Reichmuth Marco;**;9;56.75;4;10.0;0;0.0;8.5
-;9;18.5;Kempf Elias;**;20;54.0;9;18.5;0;0.0;9.0
+;12;27.5;Kälin Remo;*;22;53.5;13;27.25;1;-0.25;9.75
-;12;37.25;Zimmermann Martin;**;10;56.5;11;37.5;-1;0.25;9.0
o;15;46.25;Schelbert Ralf;**;10;56.5;13;46.75;-2;0.5;8.5

17g;Gisler Bruno;***;;;;;;;;;54.75
o;;;Nötzli Reto;***;;;;;;;8.5
+;8;8.5;Hirsiger Alexander;*;13;55.75;5;9.75;-3;1.25;10.0
o;9;18.5;Arnold Stefan;**;9;56.75;5;19.75;-4;1.25;8.75
+;13;27.25;Fankhauser Reto;**;9;56.75;9;28.25;-4;1.0;9.75
-;13;37.0;Gwerder Guido;**;8;57.0;8;38.25;-5;1.25;9.0
o;16;46.0;Zimmermann Martin;**;10;56.5;14;46.5;-2;0.5;8.75

17h;Rohrer Ueli;*;;;;;;;;;54.75
-;;;Wetzstein Adrian;*;;;;;;;8.75
-;7;8.75;Lang Sven;*;13;55.75;8;8.5;1;-0.25;8.75
-;13;17.5;Kennel Beat;*;22;53.5;14;17.25;1;-0.25;8.75
+;17;26.25;Eﬃnger Markus;*;34;35.25;15;26.75;-2;0.5;10.0
+;16;36.25;Elsener Marcel;*;23;53.25;17;36.0;1;-0.25;9.75
-;16;46.0;Räbmatter Patrick;***;17;54.75;16;46.0;0;0.0;8.75

17i;Langenstein Philip;**;;;;;;;;;54.75
+;;;Fässler Dominic;**;;;;;;;10.0
-;4;10.0;Zurﬂuh Roman;**;32;36.5;6;9.0;2;-1.0;9.0
o;7;19.0;Schurtenberger Sven;***;6;57.75;8;18.75;1;-0.25;8.5
+;12;27.5;Gwerder Beni;;20;54.0;10;28.0;-2;0.5;10.0
o;11;37.5;Egli Damian;**;7;57.25;11;37.5;0;0.0;8.75
o;15;46.25;Fankhauser Marco;**;8;57.0;11;47.25;-4;1.0;8.5

18a;Lemmenmeier Lukas;*;;;;;;;;;54.5
-;;;Käslin Benno;*;;;;;;;8.75
+;7;8.75;Beffa Mario;;37;34.25;8;8.5;1;-0.25;10.0
o;8;18.75;Ulrich Marco;*;19;54.25;9;18.5;1;-0.25;8.5
o;13;27.25;Arnold Raphael;*;10;56.5;9;28.25;-4;1.0;8.75
+;17;36.0;Ming Christian;*;24;53.0;17;36.0;0;0.0;10.0
o;16;46.0;Arnold Andreas;*;16;55.0;19;45.25;3;-0.75;8.5

18b;Sempach Matthias;***;;;;;;;;;54.5
o;;;Wicki Joel;**;;;;;;;8.5
+;8;8.5;Schelbert Ralf;**;10;56.5;5;9.75;-3;1.25;9.75
-;10;18.25;Schuler Alex;***;2;110.75;2;36.5;-8;18.25;8.75
+;14;27.0;Briker Michael;*;20;54.0;9;28.25;-5;1.25;9.75
-;14;36.75;Suppiger Werner;**;9;56.75;9;38.0;-5;1.25;8.75
-;18;45.5;Bucher Christian;*;16;55.0;16;46.0;-2;0.5;9.0

18c;Odermatt Andreas;*;;;;;;;;;54.5
-;;;Scherer Niklaus;*;;;;;;;8.75
-;7;8.75;Muff Armin;**;14;55.5;8;8.5;1;-0.25;8.75
-;13;17.5;Bättig Martin;*;16;55.0;13;17.5;0;0.0;8.75
+;17;26.25;Bucher Thomas;;36;34.5;18;26.0;1;-0.25;10.0
o;16;36.25;Räbmatter Patrick;***;17;54.75;17;36.0;1;-0.25;8.5
+;21;44.75;Heiniger Luca;;21;53.75;19;45.25;-2;0.5;9.75

18d;Reichmuth Armin;*;;;;;;;;;54.5
o;;;Heiniger Marco;*;;;;;;;8.5
o;8;8.5;Egli Damian;**;7;57.25;8;8.5;0;0.0;8.75
+;14;17.25;Schnider Markus;*;38;34.0;15;17.0;1;-0.25;10.0
+;13;27.25;Käslin Ruedi;*;26;52.5;14;27.0;1;-0.25;10.0
-;12;37.25;Müller Michael;**;12;56.0;12;37.25;0;0.0;8.75
o;16;46.0;Wyrsch Marco;**;12;56.0;16;46.0;0;0.0;8.5

18e;Zimmermann Simon;**;;;;;;;;;54.5
o;;;Nietlispach Pascal;**;;;;;;;8.5
-;8;8.5;Bürgler Lukas;*;41;25.75;8;8.5;0;0.0;8.75
-;14;17.25;Betschart Patrick;*;15;55.25;14;17.25;0;0.0;8.75
+;18;26.0;Blaser Theo;*;36;34.5;18;26.0;0;0.0;10.0
o;17;36.0;Bieri Christian;**;13;55.75;18;35.75;1;-0.25;8.5
+;22;44.5;Gwerder Andreas;*;24;53.0;22;44.5;0;0.0;10.0

18f;Kenel Franz-Toni;*;;;;;;;;;54.5
-;;;Binggeli Stefan;*;;;;;;;8.75
-;7;8.75;Lussi Marco;**;21;53.75;8;8.5;1;-0.25;8.75
-;13;17.5;Schmidiger Marco;*;35;34.75;14;17.25;1;-0.25;8.75
+;17;26.25;Gasser Peter;*;37;34.25;19;25.75;2;-0.5;9.75
-;17;36.0;Gerber Peter;*;24;53.0;18;35.75;1;-0.25;8.75
+;21;44.75;Schmid Simon (2000);*;23;53.25;21;44.75;0;0.0;9.75

19a;Ulrich Marco;*;;;;;;;;;54.25
-;;;Durrer Robin;*;;;;;;;8.75
+;7;8.75;Bachmann Roger;*;22;53.5;8;8.5;1;-0.25;9.75
+;9;18.5;Lemmenmeier Lukas;*;18;54.5;8;18.75;-1;0.25;9.75
o;9;28.25;Ambühl Joel;*;8;57.0;8;28.5;-1;0.25;8.5
-;14;36.75;Herger Fabian;*;21;53.75;16;36.25;2;-0.5;8.75
o;18;45.5;Bieri Christian;**;13;55.75;17;45.75;-1;0.25;8.75

19b;Gwerder Carlo;**;;;;;;;;;54.25
-;;;Fessler Linus;**;;;;;;;8.75
o;7;8.75;Ambühl Joel;*;8;57.0;4;10.0;-3;1.25;8.5
+;14;17.25;Hurschler Adrian;;37;34.25;14;17.25;0;0.0;10.0
+;13;27.25;Zurﬂuh Roman;**;32;36.5;11;27.75;-2;0.5;9.75
-;13;37.0;Stucki Christian;*;1;114.0;1;76.75;-12;39.75;8.75
o;17;45.75;Schneider Domenic;***;14;55.5;18;45.5;1;-0.25;8.5

19c;Moos Christoph;*;;;;;;;;;54.25
-;;;Gander Adrian;*;;;;;;;8.75
o;7;8.75;Scheuber Lutz;**;8;57.0;8;8.5;1;-0.25;8.5
+;14;17.25;Lussi Marco;**;21;53.75;14;17.25;0;0.0;9.75
+;14;27.0;Graber Michael;*;19;54.25;14;27.0;0;0.0;10.0
-;13;37.0;Streiff Dominik;*;16;55.0;12;37.25;-1;0.25;8.75
o;17;45.75;Burch Jonas;*;13;55.75;17;45.75;0;0.0;8.5

19d;Vonlaufen Lukas;*;;;;;;;;;54.25
+;;;Eﬃnger Markus;*;;;;;;;9.75
o;5;9.75;Schneider Mario;**;10;56.5;8;8.5;3;-1.25;8.5
+;10;18.25;Forster Christian;;34;35.25;10;18.25;0;0.0;10.0
