5506-2022-05-29_102_Luzerner_Kantonales_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;113.5
+;10;37.5;Lustenberger Tim (2005);;16;55.25;7;38.25;-3;0.75;10.0
+;9;47.5;Bühlmann Daniel;*;16;55.25;12;46.75;3;-0.75;10.0

7c;Lustenberger Marc;*;;;;;;;;;57.5
+;;;Bieri Christian;**;;;;;;;10.0
-;4;10.0;Marti Simon;*;13;56.0;4;10.0;0;0.0;9.0
+;7;19.0;Bullakaj Benhard;;22;53.75;5;19.75;-2;0.75;10.0
-;6;29.0;Steinauer Adrian;**;7;57.5;7;28.75;1;-0.25;8.75
+;9;37.75;Huser Christian;;17;55.0;8;38.0;-1;0.25;10.0
+;8;47.75;Zemp Christian (2004);*;11;56.5;8;47.75;0;0.0;9.75

7d;Müllestein Mike;***;;;;;;;;;57.5
-;;;Wicki Joel;***;;;;;;;8.75
+;7;8.75;Lemmenmeier Lukas;*;6;57.75;4;10.0;-3;1.25;10.0
-;8;18.75;Ambühl Joel;**;5;58.25;5;19.75;-3;1.0;8.75
+;12;27.5;Gander Michael;;16;55.25;9;28.25;-3;0.75;10.0
+;10;37.5;Zürcher Ueli;*;16;55.25;7;38.25;-3;0.75;10.0
+;9;47.5;Wyss Sven;*;13;56.0;9;47.5;0;0.0;10.0

8a;Kurmann Toni;*;;;;;;;;;57.25
-;;;Zurﬂuh Michael;*;;;;;;;8.75
+;7;8.75;Ziegler Elias;;15;55.5;4;10.0;-3;1.25;10.0
+;8;18.75;Rohrer Ueli;**;9;57.0;8;18.75;0;0.0;9.75
+;8;28.5;Simmen Robin (2004);;21;54.0;8;28.5;0;0.0;10.0
-;6;38.5;Reichmuth Marco;**;9;57.0;7;38.25;1;-0.25;9.0
+;9;47.5;Rutsch Remo (2004);*;15;55.5;12;46.75;3;-0.75;9.75

8b;Fellmann Roman;**;;;;;;;;;57.25
+;;;Inderbitzin Daniel;*;;;;;;;9.75
-;5;9.75;Schaller Noah;*;14;55.75;4;10.0;-1;0.25;9.0
-;8;18.75;Schuler Alex;***;1;113.5;2;37.0;-6;18.25;8.75
