5506-2022-05-29_102_Luzerner_Kantonales_Schwingfest-ST

1a;Schuler Alex;***;;;;;;;;;113.5
-;8;28.5;Gut Koni;;11;56.5;8;28.5;0;0.0;9.0
-;10;37.5;Appert Silvan;*;17;55.0;12;37.0;2;-0.5;9.0
+;13;46.5;Jung Valentin;;18;54.75;14;46.25;1;-0.25;10.0

12a;Hirsiger Alexander;*;;;;;;;;;56.25
-;;;Thalmann Thomas;*;;;;;;;8.75
+;7;8.75;Wittwer Roy;;15;55.5;4;10.0;-3;1.25;9.75
+;9;18.5;Gemsch Stefan;;29;36.75;9;18.5;0;0.0;9.75
+;9;28.25;Bucher Thomas;*;3;81.75;3;55.0;-6;26.75;10.0
-;7;38.25;Betschart Marcel;*;14;55.75;8;38.0;1;-0.25;9.0
-;10;47.25;Omlin Toni;*;11;56.5;8;47.75;-2;0.5;9.0

12b;Ming Christian;*;;;;;;;;;56.25
-;;;Troxler Jonas;*;;;;;;;8.75
+;7;8.75;Duss Yvan;;14;55.75;4;10.0;-3;1.25;9.75
+;9;18.5;Fuchs Jonas (2006);;31;35.5;9;18.5;0;0.0;9.75
o;9;28.25;Zürcher Ueli;*;16;55.25;9;28.25;0;0.0;8.5
+;13;36.75;Egli Kilian (2004);;19;54.5;11;37.25;-2;0.5;9.75
+;13;46.5;Achermann Christoph;*;17;55.0;14;46.25;1;-0.25;9.75

12c;Burger Etienne (2004);*;;;;;;;;;56.25
-;;;Riebli Urs;*;;;;;;;8.75
+;7;8.75;Schwyzer Sebastian (2004);;20;54.25;5;9.75;-2;1.0;10.0
-;8;18.75;Thalmann Adrian;;2;110.0;1;38.5;-7;19.75;8.75
-;12;27.5;Schnider Markus;*;19;54.5;13;27.25;1;-0.25;8.75
+;15;36.25;Egli Matthias;;17;55.0;13;36.75;-2;0.5;10.0
+;14;46.25;Elmiger Matthias;;17;55.0;14;46.25;0;0.0;10.0

12d;Schwyzer Samuel;*;;;;;;;;;56.25
o;;;Omlin Toni;*;;;;;;;8.5
+;8;8.5;Roner Remo;;31;35.5;5;9.75;-3;1.25;10.0
+;9;18.5;Staub Ivan;;20;54.25;9;18.5;0;0.0;10.0
-;8;28.5;Kennel Stefan;**;11;56.5;9;28.25;1;-0.25;9.0
+;10;37.5;Huber Alex;*;13;56.0;10;37.5;0;0.0;9.75
-;10;47.25;Burch Jonas;**;13;56.0;11;47.0;1;-0.25;9.0

13a;Burch Jonas;**;;;;;;;;;56.0
o;;;Ambühl Joel;**;;;;;;;8.5
+;8;8.5;Bieri Crispin (2005);;19;54.5;5;9.75;-3;1.25;10.0
+;9;18.5;Thalmann Thomas;*;15;55.5;9;18.5;0;0.0;9.75
+;9;28.25;Giger Samuel (2005);;17;55.0;9;28.25;0;0.0;10.0
o;7;38.25;Scherer Niklaus;**;10;56.75;7;38.25;0;0.0;8.75
-;11;47.0;Schwyzer Samuel;*;12;56.25;10;47.25;-1;0.25;9.0

13b;Huber Alex;*;;;;;;;;;56.0
-;;;Wandeler Roman;*;;;;;;;8.75
+;7;8.75;Wigger Simon;;31;35.5;4;10.0;-3;1.25;10.0
-;8;18.75;Heiniger Marco;**;9;57.0;8;18.75;0;0.0;8.75
+;12;27.5;Achermann David (2006);;19;54.5;8;28.5;-4;1.0;10.0
o;10;37.5;Schwyzer Samuel;*;12;56.25;10;37.5;0;0.0;8.5
+;15;46.0;Waser Kevin (2006);;19;54.5;15;46.0;0;0.0;10.0

13c;Marti Simon;*;;;;;;;;;56.0
+;;;Schuler Alex;*;;;;;;;10.0
-;4;10.0;Lustenberger Marc;*;7;57.5;4;10.0;0;0.0;9.0
-;7;19.0;Achermann David (2006);;19;54.5;6;19.5;-1;0.5;9.0
o;10;28.0;Walker Jan (2004);;15;55.5;9;28.25;-1;0.25;8.5
+;14;36.5;Föhn Christian;;21;54.0;13;36.75;-1;0.25;9.75
+;14;46.25;Lüscher Elias (2006);;18;54.75;14;46.25;0;0.0;9.75

13d;Ottiger Lukas;*;;;;;;;;;56.0
-;;;Wicki David;*;;;;;;;8.75
+;7;8.75;Aregger Fabian;;21;54.0;4;10.0;-3;1.25;10.0
+;8;18.75;Schnellmann Alexander (2004);;15;55.5;9;18.5;1;-0.25;9.75
-;8;28.5;Fankhauser Reto;**;8;57.25;8;28.5;0;0.0;8.75
o;11;37.25;Heinzer Lukas (2004);*;14;55.75;10;37.5;-1;0.25;8.75
+;15;46.0;Marbach Sven (2005);;22;53.75;18;45.25;3;-0.75;10.0

13e;Murer Andy;**;;;;;;;;;56.0
-;;;Lustenberger Josef;*;;;;;;;8.75
+;7;8.75;Achermann Ueli;;23;53.5;4;10.0;-3;1.25;10.0
o;8;18.75;Suppiger Werner;**;8;57.25;8;18.75;0;0.0;8.5
-;13;27.25;Schwyzer Sebastian (2004);;20;54.25;10;28.0;-3;0.75;8.75
+;16;36.0;Thalmann Adrian;;2;110.0;2;74.25;-14;38.25;10.0
+;15;46.0;Mettler Fabio;;18;54.75;14;46.25;-1;0.25;10.0

13f;Wyss Sven;*;;;;;;;;;56.0
-;;;Bachmann Roger;*;;;;;;;8.75
-;7;8.75;Wicki Patrick;;17;55.0;4;10.0;-3;1.25;9.0
+;11;17.75;Ming Hannes;;17;55.0;9;18.5;-2;0.75;10.0
+;11;27.75;Schilter Daniel;*;18;54.75;10;28.0;-1;0.25;10.0
+;9;37.75;Amrhyn Jonas;;16;55.25;8;38.0;-1;0.25;9.75
o;9;47.5;Müllestein Mike;***;7;57.5;9;47.5;0;0.0;8.5

13g;Mehr Lars;*;;;;;;;;;56.0
o;;;Wyrsch Silvio;*;;;;;;;8.5
+;8;8.5;Doppmann Ueli;;16;55.25;5;9.75;-3;1.25;9.75
-;10;18.25;Schöpfer Marco;*;14;55.75;7;19.0;-3;0.75;9.0
+;13;27.25;Achermann Christian;;21;54.0;10;28.0;-3;0.75;10.0
o;11;37.25;Vogel Remo;**;9;57.0;10;37.5;-1;0.25;8.75
+;15;46.0;Theiler Nils (2004);;19;54.5;15;46.0;0;0.0;10.0

14a;Elmiger Andreas;*;;;;;;;;;55.75
+;;;Zürcher Ueli;*;;;;;;;9.75
o;5;9.75;Bürli Roger;**;10;56.75;4;10.0;-1;0.25;8.5
+;10;18.25;von Ah Markus;;16;55.25;9;18.5;-1;0.25;10.0
-;9;28.25;Rogenmoser Ryan;;14;55.75;9;28.25;0;0.0;9.0
o;11;37.25;Bernhard Lukas;**;9;57.0;10;37.5;-1;0.25;8.5
+;16;45.75;Forster Christian;;20;54.25;16;45.75;0;0.0;10.0

14b;Bieri Elias;;;;;;;;;;55.75
+;;;Kathriner Andreas;;;;;;;;10.0
o;4;10.0;Thalmann Thomas;*;15;55.5;7;8.75;3;-1.25;8.5
+;9;18.5;Muff Pierre (2004);;21;54.0;9;18.5;0;0.0;10.0
o;8;28.5;Schärli Reto;*;10;56.75;9;28.25;1;-0.25;8.5
+;12;37.0;Ochsner Tim (2006);;22;53.75;13;36.75;1;-0.25;10.0
o;11;47.0;Vogel Marcel;*;10;56.75;12;46.75;1;-0.25;8.75

14c;Gerber Peter;*;;;;;;;;;55.75
o;;;Durrer Jonas;*;;;;;;;8.5
+;8;8.5;Staffelbach Noah;;17;55.0;5;9.75;-3;1.25;10.0
+;9;18.5;Bucher Sandro;;21;54.0;9;18.5;0;0.0;10.0
o;8;28.5;Zurﬂuh Roman;**;8;57.25;7;28.75;-1;0.25;8.75
o;11;37.25;Rohrer Ueli;**;9;57.0;10;37.5;-1;0.25;8.5
+;16;45.75;Baumann Lukas;;21;54.0;17;45.5;1;-0.25;10.0

14d;Schaller Noah;*;;;;;;;;;55.75
+;;;Müller Luca (2004);*;;;;;;;10.0
-;4;10.0;Fellmann Roman;**;8;57.25;5;9.75;1;-0.25;8.75
+;8;18.75;Baumann Lukas;;21;54.0;6;19.5;-2;0.75;10.0
o;7;28.75;Suppiger Werner;**;8;57.25;7;28.75;0;0.0;8.5
+;11;37.25;Büchler Livio;;20;54.25;12;37.0;1;-0.25;10.0
o;10;47.25;Lustenberger Josef;*;9;57.0;10;47.25;0;0.0;8.5

14e;Bachmann Roger;*;;;;;;;;;55.75
-;;;Wyss Sven;*;;;;;;;8.75
+;7;8.75;Muff Pierre (2004);;21;54.0;4;10.0;-3;1.25;10.0
o;8;18.75;Reichmuth Marco;**;9;57.0;9;18.5;1;-0.25;8.5
o;13;27.25;von Wyl Kevin (2004);;14;55.75;9;28.25;-4;1.0;8.75
+;16;36.0;Nüesch Sandro (2005);;17;55.0;13;36.75;-3;0.75;10.0
+;15;46.0;Achermann Ivan (2005);;18;54.75;14;46.25;-1;0.25;9.75

14f;Betschart Marcel;*;;;;;;;;;55.75
+;;;Scherrer Fabian;*;;;;;;;9.75
o;5;9.75;Wicki Joel;***;5;58.25;7;8.75;2;-1.0;8.5
+;10;18.25;Wicki Kevin;;15;55.5;8;18.75;-2;0.5;10.0
+;9;28.25;Duss Yvan;;14;55.75;8;28.5;-1;0.25;9.75
-;8;38.0;Hirsiger Alexander;*;12;56.25;7;38.25;-1;0.25;9.0
-;11;47.0;Wyrsch Silvio;*;15;55.5;12;46.75;1;-0.25;8.75

14g;Heinzer Lukas (2004);*;;;;;;;;;55.75
o;;;Binggeli Stefan;**;;;;;;;8.75
+;7;8.75;Rölli Ueli (2006);;31;35.5;4;10.0;-3;1.25;10.0
-;8;18.75;Vogel Remo;**;9;57.0;9;18.5;1;-0.25;9.0
+;11;27.75;Meyer Joel (2004);;25;53.0;12;27.5;1;-0.25;9.75
+;10;37.5;Ottiger Lukas;*;13;56.0;11;37.25;1;-0.25;9.75
o;10;47.25;Wüest David;;10;56.75;11;47.0;1;-0.25;8.5

14h;Schöpfer Marco;*;;;;;;;;;55.75
+;;;Achermann Christoph;*;;;;;;;10.0
-;4;10.0;Mehr Lars;*;13;56.0;8;8.5;4;-1.5;9.0
+;7;19.0;Schmid Julian;;17;55.0;5;19.75;-2;0.75;10.0
-;6;29.0;Wyrsch Marco;**;15;55.5;8;28.5;2;-0.5;8.75
-;9;37.75;Zimmermann Raffael;;16;55.25;9;37.75;0;0.0;9.0
-;12;46.75;von Wyl Kevin (2004);;14;55.75;12;46.75;0;0.0;9.0

14i;Hurschler Stefan (2006);;;;;;;;;;55.75
o;;;Ziegler Elias;;;;;;;;8.75
+;7;8.75;Kottmann Jonas;;35;34.25;8;8.5;1;-0.25;10.0
o;8;18.75;Schnider Markus;*;19;54.5;12;17.5;4;-1.25;8.5
+;13;27.25;Muff Pascal (2006);;33;34.75;16;26.25;3;-1.0;10.0
o;11;37.25;Bühlmann Daniel;*;16;55.25;13;36.75;2;-0.5;8.5
+;16;45.75;Schumacher Ramon;;20;54.25;16;45.75;0;0.0;10.0

14j;Wandeler Roman;*;;;;;;;;;55.75
-;;;Huber Alex;*;;;;;;;8.75
+;7;8.75;Rogenmoser Ryan;;14;55.75;5;9.75;-2;1.0;9.75
-;9;18.5;Bernhard Lukas;**;9;57.0;9;18.5;0;0.0;9.0
+;12;27.5;Mettler Fabio;;18;54.75;10;28.0;-2;0.5;10.0
o;10;37.5;Durrer Jonas;*;9;57.0;10;37.5;0;0.0;8.5
+;15;46.0;Steiner Severin;;18;54.75;15;46.0;0;0.0;9.75

14k;Waser Christoph;*;;;;;;;;;55.75
o;;;Zurﬂuh Roman;**;;;;;;;8.5
+;8;8.5;Rust Silvio;;21;54.0;5;9.75;-3;1.25;10.0
o;9;18.5;Egli Damian;**;9;57.0;8;18.75;-1;0.25;8.5
+;14;27.0;Elmiger Matthias;;17;55.0;11;27.75;-3;0.75;10.0
+;12;37.0;Thierstein Marco;*;15;55.5;12;37.0;0;0.0;10.0
o;11;47.0;Müller Michael;**;6;57.75;8;47.75;-3;0.75;8.75

14l;Wicki David;*;;;;;;;;;55.75
-;;;Ottiger Lukas;*;;;;;;;8.75
+;7;8.75;Muff Gianluca (2006);;20;54.25;4;10.0;-3;1.25;10.0
o;8;18.75;Bissig Lukas;*;9;57.0;9;18.5;1;-0.25;8.5
+;13;27.25;Staffelbach Noah;;17;55.0;10;28.0;-3;0.75;10.0
o;11;37.25;Omlin Toni;*;11;56.5;9;37.75;-2;0.5;8.5
+;16;45.75;Auf der Maur Michael;;20;54.25;16;45.75;0;0.0;10.0

14m;Felder Martin;*;;;;;;;;;55.75
+;;;Schilter Daniel;*;;;;;;;10.0
-;4;10.0;Steinauer Adrian;**;7;57.5;4;10.0;0;0.0;8.75
+;8;18.75;Huser Tobias;;16;55.25;4;20.0;-4;1.25;10.0
o;7;28.75;Bühler Kilian;*;10;56.75;7;28.75;0;0.0;8.5
+;11;37.25;Müller Severin;;21;54.0;12;37.0;1;-0.25;9.75
o;11;47.0;Müller Luca (2004);*;9;57.0;11;47.0;0;0.0;8.75

14n;Rogenmoser Ryan;;;;;;;;;;55.75
+;;;Achermann Daniel;;;;;;;;9.75
o;5;9.75;Wandeler Roman;*;14;55.75;7;8.75;2;-1.0;8.5
+;10;18.25;Wigger Simon;;31;35.5;9;18.5;-1;0.25;10.0
-;9;28.25;Elmiger Andreas;*;14;55.75;9;28.25;0;0.0;9.0
o;11;37.25;Müller Michael;**;6;57.75;9;37.75;-2;0.5;8.5
+;16;45.75;Grüter Marcel;;20;54.25;16;45.75;0;0.0;10.0

14o;Duss Yvan;;;;;;;;;;55.75
+;;;Sturzenegger Luca (2004);;;;;;;;10.0
o;4;10.0;Ming Christian;*;12;56.25;7;8.75;3;-1.25;8.5
+;9;18.5;Gisler Fabio (2006);;32;35.25;10;18.25;1;-0.25;10.0
o;8;28.5;Betschart Marcel;*;14;55.75;9;28.25;1;-0.25;8.75
+;11;37.25;Simmen Robin (2004);;21;54.0;12;37.0;1;-0.25;10.0
o;10;47.25;Rohrer Ueli;**;9;57.0;10;47.25;0;0.0;8.5

14p;von Wyl Kevin (2004);;;;;;;;;;55.75
+;;;Bucher Thomas;;;;;;;;9.75
+;5;9.75;Kurmann Jvo;;31;35.5;4;10.0;-1;0.25;10.0
o;5;19.75;Müller Michael;**;6;57.75;8;18.75;3;-1.0;8.5
+;9;28.25;Bachmann Roger;*;14;55.75;13;27.25;4;-1.0;10.0
o;7;38.25;Bürli Roger;**;10;56.75;7;38.25;0;0.0;8.5
-;12;46.75;Schöpfer Marco;*;14;55.75;12;46.75;0;0.0;9.0

14q;Riebli Urs;*;;;;;;;;;55.75
-;;;Burger Etienne (2004);*;;;;;;;8.75
+;7;8.75;Zimmermann Raffael;;16;55.25;5;9.75;-2;1.0;10.0
o;8;18.75;Waser Dominik;**;10;56.75;9;18.5;1;-0.25;8.5
+;13;27.25;Forster Christian;;20;54.25;13;27.25;0;0.0;10.0
o;11;37.25;Müller Luca (2004);*;9;57.0;12;37.0;1;-0.25;8.75
+;15;46.0;Schmidiger Lukas (2004);;19;54.5;15;46.0;0;0.0;9.75

15a;Ulrich Marco;**;;;;;;;;;55.5
-;;;Lang Sven;**;;;;;;;8.75
+;7;8.75;Theiler Nils (2004);;19;54.5;4;10.0;-3;1.25;10.0
o;8;18.75;Troxler Jonas;*;9;57.0;8;18.75;0;0.0;8.5
+;13;27.25;Doppmann Ueli;;16;55.25;9;28.25;-4;1.0;9.75
o;12;37.0;Zurﬂuh Michael;*;10;56.75;11;37.25;-1;0.25;8.75
+;16;45.75;Aregger Fabian;;21;54.0;17;45.5;1;-0.25;9.75

15b;Wyss Christian;*;;;;;;;;;55.5
o;;;Schmidiger Marco;*;;;;;;;8.75
-;7;8.75;Huser Christian;;17;55.0;4;10.0;-3;1.25;9.0
-;11;17.75;Elmiger Matthias;;17;55.0;8;18.75;-3;1.0;9.0
+;15;26.75;Zimmermann Daniel;*;32;35.25;15;26.75;0;0.0;10.0
-;13;36.75;Bissig Julian;;21;54.0;13;36.75;0;0.0;9.0
+;16;45.75;Köpﬂi Mario (2005);;21;54.0;17;45.5;1;-0.25;9.75

15c;Schnellmann Alexander (2004);;;;;;;;;;55.5
o;;;Thalmann Adrian;;;;;;;;8.5
+;8;8.5;Renggli Silvan (2006);;31;35.5;8;8.5;0;0.0;10.0
o;9;18.5;Ottiger Lukas;*;13;56.0;8;18.75;-1;0.25;8.5
+;14;27.0;Füglister Stefan;;31;35.5;14;27.0;0;0.0;10.0
o;12;37.0;Doppmann Urs;**;9;57.0;11;37.25;-1;0.25;8.5
+;17;45.5;Gasser Severin (2006);;22;53.75;18;45.25;1;-0.25;10.0

15d;Thierstein Marco;*;;;;;;;;;55.5
-;;;Gisler Jonas;*;;;;;;;9.0
+;6;9.0;Föhn Christian;;21;54.0;4;10.0;-2;1.0;9.75
o;8;18.75;Wyrsch Marco;**;15;55.5;8;18.75;0;0.0;8.5
+;13;27.25;Wolf Stefan (2006);;24;53.25;12;27.5;-1;0.25;9.75
o;12;37.0;Waser Christoph;*;14;55.75;12;37.0;0;0.0;8.5
+;17;45.5;Bissig Joris;;21;54.0;17;45.5;0;0.0;10.0

15e;Kennel Beat;**;;;;;;;;;55.5
o;;;Bürli Roger;**;;;;;;;8.5
+;8;8.5;Grüter Philip (2004);;32;35.25;5;9.75;-3;1.25;10.0
o;9;18.5;Lustenberger Josef;*;9;57.0;8;18.75;-1;0.25;8.5
+;14;27.0;Lüscher Elias (2006);;18;54.75;10;28.0;-4;1.0;10.0
o;12;37.0;Arnold Raphael;**;9;57.0;12;37.0;0;0.0;8.75
+;16;45.75;Theiler Andre;;22;53.75;18;45.25;2;-0.5;9.75

15f;Chiodo Gian Paolo (2005);;;;;;;;;;55.5
+;;;Ming Hannes;;;;;;;;10.0
-;4;10.0;Schnider Markus;*;19;54.5;7;8.75;3;-1.25;8.75
+;8;18.75;Zumstein Patrick;;20;54.25;8;18.75;0;0.0;10.0
o;7;28.75;Bürli Roger;**;10;56.75;9;28.25;2;-0.5;8.5
+;11;37.25;Schmid Julian;;17;55.0;13;36.75;2;-0.5;9.75
o;11;47.0;Bissig Lukas;*;9;57.0;11;47.0;0;0.0;8.5

15g;Wyrsch Silvio;*;;;;;;;;;55.5
+;;;Mehr Lars;*;;;;;;;10.0
-;4;10.0;Arnold Raphael;**;9;57.0;5;9.75;1;-0.25;8.75
+;8;18.75;Bühler Ramon;;17;55.0;6;19.5;-2;0.75;9.75
o;8;28.5;Bissig Lukas;*;9;57.0;8;28.5;0;0.0;8.5
+;12;37.0;Gwerder Beni;;20;54.25;12;37.0;0;0.0;9.75
-;12;46.75;Betschart Marcel;*;14;55.75;11;47.0;-1;0.25;8.75

15h;Wicki Kevin;;;;;;;;;;55.5
-;;;Staub Ivan;;;;;;;;8.75
+;7;8.75;Stübi Noël (2004);;26;52.75;8;8.5;1;-0.25;10.0
o;8;18.75;Betschart Marcel;*;14;55.75;10;18.25;2;-0.5;8.5
-;13;27.25;Fässler Dominic;**;35;34.25;18;25.75;5;-1.5;8.75
+;16;36.0;Rohrer Sven (2004);;21;54.0;17;35.75;1;-0.25;9.75
+;16;45.75;Muff Pierre (2004);;21;54.0;17;45.5;1;-0.25;9.75

15i;Widmer Simon;;;;;;;;;;55.5
+;;;Stalder Wanja (2006);;;;;;;;10.0
o;4;10.0;Rohrer Ueli;**;9;57.0;7;8.75;3;-1.25;8.5
-;9;18.5;Egli Severin (2004);;23;53.5;9;18.5;0;0.0;8.75
+;13;27.25;Zumstein Patrick;;20;54.25;13;27.25;0;0.0;9.75
+;12;37.0;Schwegler Flavio (2004);;21;54.0;12;37.0;0;0.0;10.0
o;11;47.0;Jund Matthias;*;9;57.0;11;47.0;0;0.0;8.5

15j;Rutsch Remo (2004);*;;;;;;;;;55.5
o;;;Bühlmann Daniel;*;;;;;;;8.5
o;8;8.5;Amrhyn Jonas;;16;55.25;4;10.0;-4;1.5;8.75
+;13;17.25;Thalmann Adrian;;2;110.0;1;38.5;-12;21.25;9.75
+;14;27.0;Bienz Romeo;*;31;35.5;14;27.0;0;0.0;9.75
+;13;36.75;Muff Gianluca (2006);;20;54.25;12;37.0;-1;0.25;10.0
o;12;46.75;Kurmann Toni;*;8;57.25;9;47.5;-3;0.75;8.75

15k;Thalmann Thomas;*;;;;;;;;;55.5
-;;;Hirsiger Alexander;*;;;;;;;8.75
+;7;8.75;Bieri Elias;;14;55.75;4;10.0;-3;1.25;9.75
o;9;18.5;Burch Jonas;**;13;56.0;9;18.5;0;0.0;8.5
+;14;27.0;Reichlin Reto;;21;54.0;13;27.25;-1;0.25;10.0
+;12;37.0;Suter Lukas;;16;55.25;13;36.75;1;-0.25;10.0
o;11;47.0;Schuler Alex;***;1;113.5;1;94.0;-10;47.0;8.5

15l;Wittwer Roy;;;;;;;;;;55.5
+;;;Häﬂiger Patrick;;;;;;;;10.0
o;4;10.0;Hirsiger Alexander;*;12;56.25;7;8.75;3;-1.25;8.5
+;9;18.5;Rölli Ueli (2006);;31;35.5;9;18.5;0;0.0;9.75
-;9;28.25;Hüsler Matthias;;16;55.25;9;28.25;0;0.0;8.75
o;12;37.0;Fellmann Roman;**;8;57.25;10;37.5;-2;0.5;8.5
+;17;45.5;Schwegler Flavio (2004);;21;54.0;17;45.5;0;0.0;10.0

15m;Walker Jan (2004);;;;;;;;;;55.5
+;;;Thalmann Adrian;;;;;;;;9.75
-;5;9.75;Fässler Dominic;**;35;34.25;8;8.5;3;-1.25;8.75
+;9;18.5;Küng Simon (2006);;19;54.5;9;18.5;0;0.0;9.75
+;9;28.25;Marti Simon;*;13;56.0;10;28.0;1;-0.25;10.0
o;7;38.25;Kaufmann Reto;*;9;57.0;7;38.25;0;0.0;8.5
-;12;46.75;Amrhyn Jonas;;16;55.25;13;46.5;1;-0.25;8.75

15n;Röthlin Pascal;*;;;;;;;;;55.5
o;;;Bühler Kilian;*;;;;;;;8.75
+;7;8.75;Schmid Joel;;18;54.75;4;10.0;-3;1.25;9.75
+;9;18.5;Riedweg Matteo (2005);;32;35.25;10;18.25;1;-0.25;10.0
o;8;28.5;Lang Sven;**;7;57.5;7;28.75;-1;0.25;8.5
o;12;37.0;Kennel Stefan;**;11;56.5;12;37.0;0;0.0;8.5
+;17;45.5;Achermann Daniel;;21;54.0;17;45.5;0;0.0;10.0

15o;Ziegler Elias;;;;;;;;;;55.5
+;;;Hurschler Stefan (2006);;;;;;;;10.0
o;4;10.0;Kurmann Toni;*;8;57.25;7;8.75;3;-1.25;8.5
+;9;18.5;Müller Severin;;21;54.0;9;18.5;0;0.0;10.0
o;8;28.5;Kaufmann Reto;*;9;57.0;9;28.25;1;-0.25;8.5
-;12;37.0;Baumann Lukas;;21;54.0;13;36.75;1;-0.25;8.75
+;16;45.75;Wolf Stefan (2006);;24;53.25;20;44.75;4;-1.0;9.75

15p;Wyrsch Marco;**;;;;;;;;;55.5
-;;;Heiniger Marco;**;;;;;;;8.75
+;7;8.75;Waser David;;31;35.5;5;9.75;-2;1.0;10.0
+;8;18.75;Thierstein Marco;*;15;55.5;8;18.75;0;0.0;9.75
-;8;28.5;Schöpfer Marco;*;14;55.75;6;29.0;-2;0.5;8.75
+;11;37.25;Egli Adrian;;20;54.25;11;37.25;0;0.0;9.75
o;11;47.0;Doppmann Urs;**;9;57.0;10;47.25;-1;0.25;8.5

16a;Bühlmann Daniel;*;;;;;;;;;55.25
+;;;Rutsch Remo (2004);*;;;;;;;9.75
o;5;9.75;Ambühl Joel;**;5;58.25;4;10.0;-1;0.25;8.5
+;10;18.25;Betschart Daniel;;16;55.25;8;18.75;-2;0.5;10.0
o;9;28.25;Wüest David;;10;56.75;7;28.75;-2;0.5;8.5
+;13;36.75;Hurschler Stefan (2006);;14;55.75;11;37.25;-2;0.5;10.0
o;12;46.75;Steinauer Adrian;**;7;57.5;9;47.5;-3;0.75;8.5

16b;Kathriner Andreas;;;;;;;;;;55.25
o;;;Bieri Elias;;;;;;;;8.5
+;8;8.5;Arnold Linus (2004);;26;52.75;7;8.75;-1;0.25;10.0
-;9;18.5;Schmidiger Marco;*;16;55.25;10;18.25;1;-0.25;8.75
o;13;27.25;Egli Adrian;;20;54.25;13;27.25;0;0.0;8.5
+;17;35.75;Meyer Joel (2004);;25;53.0;16;36.0;-1;0.25;9.75
+;17;45.5;Müller Severin;;21;54.0;17;45.5;0;0.0;9.75

16c;Suter Lukas;;;;;;;;;;55.25
o;;;Scherrer Patrick;;;;;;;;8.5
o;8;8.5;Zgraggen Peter;;31;35.5;8;8.5;0;0.0;8.5
+;14;17.0;Muff Pascal (2006);;33;34.75;11;17.75;-3;0.75;9.75
+;15;26.75;Furrer Alain;;32;35.25;15;26.75;0;0.0;10.0
o;13;36.75;Thalmann Thomas;*;15;55.5;12;37.0;-1;0.25;8.5
+;18;45.25;Koch Cyrill (2004);;24;53.25;20;44.75;2;-0.5;10.0

16d;Hurschler Adrian;;;;;;;;;;55.25
-;;;Elmiger Matthias;;;;;;;;8.75
+;7;8.75;Christen Samuel (2006);;20;54.25;8;8.5;1;-0.25;10.0
o;8;18.75;Binggeli Stefan;**;18;54.75;9;18.5;1;-0.25;8.5
+;13;27.25;Kurmann Jvo;;31;35.5;14;27.0;1;-0.25;9.75
+;12;37.0;Küng Simon (2006);;19;54.5;12;37.0;0;0.0;9.75
o;12;46.75;Zurﬂuh Roman;**;8;57.25;10;47.25;-2;0.5;8.5

16e;Betschart Daniel;;;;;;;;;;55.25
-;;;Fellmann Simon;;;;;;;;8.75
+;7;8.75;Schnider Josef (2005);;34;34.5;8;8.5;1;-0.25;10.0
o;8;18.75;Bühlmann Daniel;*;16;55.25;10;18.25;2;-0.5;8.5
+;13;27.25;Schumacher Ramon;;20;54.25;13;27.25;0;0.0;9.75
o;12;37.0;Egli Damian;**;9;57.0;11;37.25;-1;0.25;8.5
+;17;45.5;Simmen Robin (2004);;21;54.0;17;45.5;0;0.0;9.75

16f;Gander Michael;;;;;;;;;;55.25
+;;;Zimmermann Gian (2004);;;;;;;;9.75
o;5;9.75;Appert Silvan;*;17;55.0;8;8.5;3;-1.25;8.5
+;10;18.25;Bucher Thomas;;3;81.75;3;36.5;-7;18.25;10.0
o;9;28.25;Müllestein Mike;***;7;57.5;12;27.5;3;-0.75;8.5
+;13;36.75;Achermann Christian;;21;54.0;14;36.5;1;-0.25;10.0
o;12;46.75;Kuster Thomas;**;10;56.75;11;47.0;-1;0.25;8.5

16g;Hüsler Matthias;;;;;;;;;;55.25
+;;;Herger Elias (2006);;;;;;;;10.0
+;4;10.0;Gisler Jonas;*;31;35.5;6;9.0;2;-1.0;9.75
o;5;19.75;Bühler Kilian;*;10;56.75;8;18.75;3;-1.0;8.5
-;9;28.25;Wittwer Roy;;15;55.5;9;28.25;0;0.0;8.75
+;12;37.0;Marbach Sven (2005);;22;53.75;13;36.75;1;-0.25;9.75
o;12;46.75;Durrer Jonas;*;9;57.0;10;47.25;-2;0.5;8.5

16h;von Ah Markus;;;;;;;;;;55.25
+;;;Küng Jonas (2004);;;;;;;;9.75
-;5;9.75;Achermann Ivan (2005);;18;54.75;4;10.0;-1;0.25;8.75
o;9;18.5;Elmiger Andreas;*;14;55.75;10;18.25;1;-0.25;8.5
+;14;27.0;Widmer Dominik;;32;35.25;15;26.75;1;-0.25;9.75
-;13;36.75;Bieri Crispin (2005);;19;54.5;13;36.75;0;0.0;8.75
+;17;45.5;Füglister Florian;;21;54.0;17;45.5;0;0.0;9.75

16i;Lustenberger Tim (2005);;;;;;;;;;55.25
+;;;Crotta Robin;;;;;;;;9.75
o;5;9.75;Bucher Thomas;*;3;81.75;3;17.0;-2;7.25;8.5
+;10;18.25;Friedli Jonas;;32;35.25;10;18.25;0;0.0;10.0
+;9;28.25;Zemp Simon;;19;54.5;13;27.25;4;-1.0;10.0
o;7;38.25;Steinauer Adrian;**;7;57.5;10;37.5;3;-0.75;8.5
