3361-2016-05-22_Fete_Cantonale_Neuchateloise2-ST

1a;Dind Samuel;**;;;;;;;;;58.0
o;1;10.0;Borcard Johann;**;12;55.25;4;8.5;3;-1.5;8.5
+;4;18.5;Loup Grégoire (2000);;16;54.25;4;18.5;0;0.0;9.75
o;4;28.25;Zimmermann Mario;*;11;55.5;8;27.25;4;-1.0;8.5
-;7;36.75;Taillard Virgile (1998);;11;55.5;7;36.75;0;0.0;9.0
+;11;45.75;Burgy Matt (1999);;18;53.75;13;45.25;2;-0.5;9.75

11d;Droxler Jonathan;*;;;;;;;;;55.5
o;;;Nydegger Michael;***;;;;;;;8.5
+;4;8.5;Emonet Fabien;;12;55.25;1;10.0;-3;1.5;10.0
o;4;18.5;Overney Olivier;*;15;54.5;4;18.5;0;0.0;8.5
+;9;27.0;Pürro Tobias;;19;53.5;5;28.0;-4;1.0;10.0
-;6;37.0;Mosimann Vincent;*;16;54.25;6;37.0;0;0.0;8.75
+;11;45.75;Bersier Jean-Jacques;;16;54.25;11;45.75;0;0.0;9.75

11e;Gassmann Simon;;;;;;;;;;55.5
+;;;Aladenise Jonathan;;;;;;;;10.0
-;1;10.0;Wenger Marcel (1999);;7;56.5;2;9.75;1;-0.25;8.75
o;3;18.75;Pouye Diey;*;13;55.0;5;18.25;2;-0.5;8.75
o;7;27.5;Mauron Olivier;*;12;55.25;9;27.0;2;-0.5;8.5
+;10;36.0;Dufey Gil;;16;54.25;10;36.0;0;0.0;9.75
+;11;45.75;Kyburz Silas;;16;54.25;11;45.75;0;0.0;9.75

11f;Brodard Augustin;**;;;;;;;;;55.5
+;;;Giroud Jonathan;**;;;;;;;10.0
+;1;10.0;Kramer Lario (1998);*;10;55.75;1;10.0;0;0.0;9.75
-;2;19.75;Haenni Stéphane;**;9;56.0;3;18.75;1;-1.0;8.75
+;3;28.5;Schwander Severin;;10;55.75;3;28.5;0;0.0;9.75
o;2;38.25;Moser Steven;**;4;57.25;1;38.5;-1;0.25;8.5
-;7;46.75;Zosso Remo;**;9;56.0;5;47.25;-2;0.5;8.75

11g;Taillard Virgile (1998);;;;;;;;;;55.5
+;;;Cottier Marco (2000);;;;;;;;9.75
+;2;9.75;Parvex Bryan;;12;55.25;4;8.5;2;-1.25;10.0
o;2;19.75;Giroud Jonathan;**;12;55.25;4;18.5;2;-1.25;8.5
o;4;28.25;Mosimann Vincent;*;16;54.25;9;27.0;5;-1.25;8.5
-;7;36.75;Schöpfer Dio;;11;55.5;7;36.75;0;0.0;9.0
+;11;45.75;Pharisa Loic;;18;53.75;13;45.25;2;-0.5;9.75

12a;Emonet Fabien;;;;;;;;;;55.25
+;;;Bersier Jean-Jacques;;;;;;;;10.0
o;1;10.0;Droxler Jonathan;*;11;55.5;4;8.5;3;-1.5;8.5
o;4;18.5;Zosso Remo;**;9;56.0;3;18.75;-1;0.25;8.5
+;9;27.0;Spring Dominic;;22;52.5;9;27.0;0;0.0;10.0
o;6;37.0;Haenni Stéphane;**;9;56.0;4;37.5;-2;0.5;8.5
+;12;45.5;Loup Alexandre;;18;53.75;13;45.25;1;-0.25;9.75

12b;Barras David;*;;;;;;;;;55.25
+;;;Mosimann Vincent;*;;;;;;;10.0
-;1;10.0;Derron Cédric;*;10;55.75;2;9.75;1;-0.25;8.75
-;3;18.75;Zimmermann Mario;*;11;55.5;4;18.5;1;-0.25;9.0
o;6;27.75;Chèvre Bernard;;12;55.25;3;28.5;-3;0.75;8.5
+;9;36.25;Golliard Steve;;18;53.75;7;36.75;-2;0.5;10.0
-;9;46.25;Liaudat Rudy;**;13;55.0;10;46.0;1;-0.25;9.0

12c;Pellet Michael;**;;;;;;;;;55.25
o;;;Piemontesi Pascal;**;;;;;;;8.5
+;4;8.5;Derron Julien;;13;55.0;2;9.75;-2;1.25;10.0
o;4;18.5;Glauser Thomas;**;5;57.0;4;18.5;0;0.0;8.5
+;9;27.0;Kilchoer Alain;;12;55.25;4;28.25;-5;1.25;9.75
o;7;36.75;Cardinaux Victor;*;3;57.5;4;37.5;-3;0.75;8.5
+;13;45.25;Barras François (1998);;13;55.0;8;46.5;-5;1.25;10.0

12d;Lerch Jimmy;*;;;;;;;;;55.25
-;;;Schafer Claudio;*;;;;;;;8.75
+;3;8.75;Pharisa Loic;;18;53.75;2;9.75;-1;1.0;9.75
o;4;18.5;Kramer Lario (1998);*;10;55.75;4;18.5;0;0.0;8.5
o;9;27.0;Derron Julien;;13;55.0;5;28.0;-4;1.0;8.5
+;12;35.5;Maridor Loic;;17;54.0;7;36.75;-5;1.25;10.0
+;12;45.5;Kramer Dorian (1999);;17;54.0;12;45.5;0;0.0;9.75

12e;Mauron Olivier;*;;;;;;;;;55.25
-;;;Zimmermann Mario;*;;;;;;;8.75
+;3;8.75;Loup Grégoire (2000);;16;54.25;1;10.0;-2;1.25;9.75
o;4;18.5;Dind Samuel;**;1;58.0;4;18.5;0;0.0;8.5
+;9;27.0;Gassmann Simon;;11;55.5;7;27.5;-2;0.5;9.75
+;7;36.75;Giroud Jonathan;**;12;55.25;7;36.75;0;0.0;10.0
o;7;46.75;Roschi Ruedi;**;5;57.0;5;47.25;-2;0.5;8.5

12f;Kilchoer Alain;;;;;;;;;;55.25
+;;;Heiniger Mickaël;;;;;;;;9.75
o;2;9.75;Brodard Simon;**;11;55.5;3;8.75;1;-1.0;8.5
+;5;18.25;Wieland Micha;;13;55.0;5;18.25;0;0.0;10.0
o;4;28.25;Pellet Michael;**;12;55.25;9;27.0;5;-1.25;8.5
o;7;36.75;Barras François (1998);;13;55.0;7;36.75;0;0.0;8.5
+;13;45.25;Pürro Tobias;;19;53.5;14;45.0;1;-0.25;10.0

12g;Borcard Johann;**;;;;;;;;;55.25
o;;;Roch Vincent;*;;;;;;;8.5
+;4;8.5;Schöpfer Dio;;11;55.5;1;10.0;-3;1.5;9.75
+;5;18.25;Burgy Frank;;13;55.0;4;18.5;-1;0.25;10.0
-;4;28.25;Duplan Steve;**;9;56.0;2;28.75;-2;0.5;8.75
+;6;37.0;Zimmermann Mario;*;11;55.5;6;37.0;0;0.0;9.75
o;7;46.75;Wampfler Beat;***;7;56.5;7;46.75;0;0.0;8.5

12h;Chèvre Bernard;;;;;;;;;;55.25
+;;;Portmann Fabio (1998);;;;;;;;10.0
o;1;10.0;Hayoz Quentin;;9;56.0;1;10.0;0;0.0;8.5
+;4;18.5;Morger Adrian;;17;54.0;8;17.0;4;-1.5;10.0
+;3;28.5;Barras David;*;12;55.25;6;27.75;3;-0.75;9.75
o;2;38.25;Zosso Remo;**;9;56.0;5;37.25;3;-1.0;8.5
o;7;46.75;Ducry Antoine;;6;56.75;6;47.0;-1;0.25;8.5

12i;Riedo Fredy;;;;;;;;;;55.25
+;;;Buchs Carlo;;;;;;;;10.0
+;1;10.0;Remy Guillaume;**;14;54.75;3;8.75;2;-1.25;10.0
o;1;20.0;Derron Cédric;*;10;55.75;3;18.75;2;-1.25;8.5
o;3;28.5;Gapany Benjamin;**;7;56.5;4;28.25;1;-0.25;8.5
+;6;37.0;Pharisa Loic;;18;53.75;7;36.75;1;-0.25;9.75
o;7;46.75;Wenger Marcel (1999);;7;56.5;7;46.75;0;0.0;8.5

12j;Berset Cyril;*;;;;;;;;;55.25
o;;;Kramer Lario (1998);*;;;;;;;8.5
o;4;8.5;Giroud Jonathan;**;12;55.25;4;8.5;0;0.0;8.5
+;8;17.0;Heiniger Mickaël;;17;54.0;4;18.5;-4;1.5;10.0
+;9;27.0;Blanchard Benjamin;;19;53.5;5;28.0;-4;1.0;10.0
+;6;37.0;Jacquier Pascal;;12;55.25;7;36.75;1;-0.25;9.75
o;7;46.75;Piemontesi Pascal;**;5;57.0;6;47.0;-1;0.25;8.5

12k;Jacquier Pascal;;;;;;;;;;55.25
o;;;Hayoz Quentin;;;;;;;;8.5
+;4;8.5;Mollet Adrian;;16;54.25;4;8.5;0;0.0;9.75
-;5;18.25;Schafer Claudio;*;13;55.0;6;17.5;1;-0.75;8.75
+;9;27.0;Dubey Gaël;;17;54.0;8;27.25;-1;0.25;9.75
o;7;36.75;Berset Cyril;*;12;55.25;6;37.0;-1;0.25;8.5
+;13;45.25;Curty Alexandre;;18;53.75;13;45.25;0;0.0;10.0

12l;Giroud Jonathan;**;;;;;;;;;55.25
o;;;Brodard Augustin;**;;;;;;;8.5
+;4;8.5;Berset Cyril;*;12;55.25;4;8.5;0;0.0;10.0
+;4;18.5;Taillard Virgile (1998);;11;55.5;2;19.75;-2;1.25;9.75
o;4;28.25;Glauser Thomas;**;5;57.0;3;28.5;-1;0.25;8.5
o;7;36.75;Mauron Olivier;*;12;55.25;7;36.75;0;0.0;8.5
+;13;45.25;Rüegg Patrick (1999);;16;54.25;11;45.75;-2;0.5;10.0

12m;Kropf Rolf;**;;;;;;;;;55.25
o;;;Gapany Benjamin;**;;;;;;;8.5
+;4;8.5;Torche Bastian;;15;54.5;1;10.0;-3;1.5;10.0
o;4;18.5;Guisolan Marc;**;4;57.25;4;18.5;0;0.0;8.5
+;9;27.0;Barras François (1998);;13;55.0;4;28.25;-5;1.25;9.75
+;7;36.75;Pouye Diey;*;13;55.0;7;36.75;0;0.0;9.75
-;8;46.5;Gottofrey Marc;**;8;56.25;5;47.25;-3;0.75;8.75

12n;Schafer Damien;;;;;;;;;;55.25
+;;;Zingrich Jan (1999);;;;;;;;10.0
o;1;10.0;Zimmermann Mario;*;11;55.5;3;8.75;2;-1.25;8.5
o;4;18.5;Wenger Marcel (1999);;7;56.5;4;18.5;0;0.0;8.5
+;9;27.0;Niederberger Nicola (2000);;14;54.75;10;26.75;1;-0.25;10.0
o;6;37.0;Emonet Frédéric;*;10;55.75;11;35.75;5;-1.25;8.5
+;12;45.5;Vonlanthen Alexandre;;17;54.0;12;45.5;0;0.0;9.75

12o;Parvex Bryan;;;;;;;;;;55.25
o;;;Wieland Micha;;;;;;;;8.5
o;4;8.5;Taillard Virgile (1998);;11;55.5;2;9.75;-2;1.25;8.5
+;8;17.0;Borcard Clovis (1999);;18;53.75;8;17.0;0;0.0;9.75
+;10;26.75;Joliat Léo (1999);;19;53.5;10;26.75;0;0.0;10.0
o;7;36.75;Schafer Claudio;*;13;55.0;14;35.0;7;-1.75;8.5
+;13;45.25;Golliard Steve;;18;53.75;13;45.25;0;0.0;10.0

13a;Liaudat Rudy;**;;;;;;;;;55.0
-;;;Zosso Remo;**;;;;;;;8.75
+;3;8.75;Schneiter Jérémy;;20;53.25;1;10.0;-2;1.25;10.0
o;3;18.75;Duplan Steve;**;9;56.0;3;18.75;0;0.0;8.5
+;8;27.25;Burgy Matt (1999);;18;53.75;4;28.25;-4;1.0;10.0
-;5;37.25;Overney Olivier;*;15;54.5;6;37.0;1;-0.25;8.75
-;10;46.0;Barras David;*;12;55.25;9;46.25;-1;0.25;9.0

13b;Schafer Claudio;*;;;;;;;;;55.0
-;;;Lerch Jimmy;*;;;;;;;8.75
-;3;8.75;Gottofrey Luc;;14;54.75;1;10.0;-2;1.25;8.75
-;6;17.5;Jacquier Pascal;;12;55.25;5;18.25;-1;0.75;8.75
-;11;26.25;Pharisa Loic;;18;53.75;5;28.0;-6;1.75;8.75
+;14;35.0;Parvex Bryan;;12;55.25;7;36.75;-7;1.75;10.0
+;14;45.0;Zingrich Jan (1999);;19;53.5;14;45.0;0;0.0;10.0

13c;Pouye Diey;*;;;;;;;;;55.0
+;;;Overney Olivier;*;;;;;;;9.75
o;2;9.75;Dousse Michel;*;9;56.0;1;10.0;-1;0.25;8.5
+;5;18.25;Gassmann Simon;;11;55.5;3;18.75;-2;0.5;10.0
o;4;28.25;Guisolan Marc;**;4;57.25;3;28.5;-1;0.25;8.5
o;7;36.75;Kropf Rolf;**;12;55.25;7;36.75;0;0.0;8.5
+;13;45.25;Loup Grégoire (2000);;16;54.25;11;45.75;-2;0.5;9.75

13d;Burgy Frank;;;;;;;;;;55.0
-;;;Lützelschwab Luc (1999);;;;;;;;8.75
+;3;8.75;Curty Alexandre;;18;53.75;4;8.5;1;-0.25;9.75
o;4;18.5;Borcard Johann;**;12;55.25;5;18.25;1;-0.25;8.5
+;9;27.0;Zingrich Jan (1999);;19;53.5;10;26.75;1;-0.25;9.75
o;7;36.75;Derron Cédric;*;10;55.75;5;37.25;-2;0.5;8.5
+;13;45.25;Blanchard Benjamin;;19;53.5;14;45.0;1;-0.25;9.75

13e;Derron Julien;;;;;;;;;;55.0
+;;;Wittwer Oliver (2000);;;;;;;;9.75
o;2;9.75;Pellet Michael;**;12;55.25;4;8.5;2;-1.25;8.5
+;5;18.25;Loup Alexandre;;18;53.75;5;18.25;0;0.0;9.75
+;5;28.0;Lerch Jimmy;*;12;55.25;9;27.0;4;-1.0;10.0
o;3;38.0;Cropt Harald;**;14;54.75;9;36.25;6;-1.75;8.5
o;8;46.5;Duplan Steve;**;9;56.0;10;46.0;2;-0.5;8.5

13f;Barras François (1998);;;;;;;;;;55.0
o;;;Ducry Antoine;;;;;;;;8.5
+;4;8.5;Blanchette Nicolas;;18;53.75;4;8.5;0;0.0;9.75
+;5;18.25;Wittwer Oliver (2000);;13;55.0;5;18.25;0;0.0;10.0
o;4;28.25;Kropf Rolf;**;12;55.25;9;27.0;5;-1.25;8.5
+;7;36.75;Kilchoer Alain;;12;55.25;7;36.75;0;0.0;9.75
o;8;46.5;Pellet Michael;**;12;55.25;13;45.25;5;-1.25;8.5

13g;Wittwer Oliver (2000);;;;;;;;;;55.0
o;;;Derron Julien;;;;;;;;8.5
+;4;8.5;Vonlanthen Alexandre;;17;54.0;3;8.75;-1;0.25;9.75
