3686-2019-08-11_20_Schwaegalp-Schwinget-ST

-;2;9.75;Arnold Raphael;**;6;56.0;4;8.75;2;-1.0;8.75
+;5;18.5;Moser Steven;**;13;54.25;5;18.5;0;0.0;10.0
o;3;28.5;Müllestein Mike;***;2;57.25;2;28.75;-1;0.25;8.5
+;8;37.0;Brun Jonas;**;6;56.0;7;37.25;-1;0.25;9.75
+;8;46.75;Doppmann Urs;**;9;55.25;8;46.75;0;0.0;9.75

6a;Hersche Martin;***;;;;;;;;;56.0
o;;;Doppmann Urs;**;;;;;;;8.5
+;5;8.5;Jörger Marc;*;13;54.25;1;10.0;-4;1.5;10.0
-;5;18.5;Brun Jonas;**;6;56.0;5;18.5;0;0.0;8.75
-;7;27.25;Straub Robin;*;18;53.0;7;27.25;0;0.0;9.0
+;11;36.25;Battaglia Ursin;**;14;54.0;9;36.75;-2;0.5;10.0
+;10;46.25;Duplan Steve;**;9;55.25;8;46.75;-2;0.5;9.75

6b;Arnold Raphael;**;;;;;;;;;56.0
-;;;Wickli Beat;**;;;;;;;8.75
-;4;8.75;Dändliker Shane;**;5;56.5;2;9.75;-2;1.0;8.75
+;8;17.5;Steiner Michael;**;21;35.25;6;18.25;-2;0.75;10.0
+;6;27.5;Peng Mike;***;9;55.25;7;27.25;1;-0.25;10.0
+;6;37.5;Schlegel Werner (2002);**;12;54.5;7;37.25;1;-0.25;9.75
-;6;47.25;Kuster Marcel;***;9;55.25;9;46.5;3;-0.75;8.75

6c;Brun Jonas;**;;;;;;;;;56.0
-;;;Ott Damian;**;;;;;;;8.75
+;4;8.75;Koch Thomas;*;13;54.25;1;10.0;-3;1.25;9.75
-;5;18.5;Hersche Martin;***;6;56.0;5;18.5;0;0.0;8.75
+;7;27.25;Giger Urs;*;12;54.5;6;27.5;-1;0.25;10.0
o;7;37.25;Dändliker Shane;**;5;56.5;8;37.0;1;-0.25;8.75
+;11;46.0;Schlegel Werner (2002);**;12;54.5;11;46.0;0;0.0;10.0

6d;Oettli Marco;**;;;;;;;;;56.0
+;;;Gottofrey Luc;*;;;;;;;10.0
o;1;10.0;Mathis Marcel;***;2;57.25;2;9.75;1;-0.25;8.5
+;5;18.5;Battaglia Ursin;**;14;54.0;5;18.5;0;0.0;9.75
-;4;28.25;Borcard Johann;**;5;56.5;4;28.25;0;0.0;9.0
+;7;37.25;Steinauer Adrian;**;13;54.25;7;37.25;0;0.0;9.75
-;7;47.0;Roth Martin;**;8;55.5;9;46.5;2;-0.5;9.0

7a;Ott Damian;**;;;;;;;;;55.75
-;;;Brun Jonas;**;;;;;;;8.75
-;4;8.75;Muff André;*;8;55.5;5;8.5;1;-0.25;8.75
+;8;17.5;Dufey Gil;*;23;34.5;9;17.25;1;-0.25;10.0
o;6;27.5;Steinauer Adrian;**;13;54.25;7;27.25;1;-0.25;8.5
+;12;36.0;Moser Steven;**;13;54.25;13;35.75;1;-0.25;10.0
+;11;46.0;Schnurrenberger Roman;**;11;54.75;11;46.0;0;0.0;9.75

7b;Egli Damian;**;;;;;;;;;55.75
-;;;Zwyssig Raphael;***;;;;;;;8.75
+;4;8.75;Schmid Patrick;*;9;55.25;1;10.0;-3;1.25;10.0
o;4;18.75;Bernold Christian;**;12;54.5;5;18.5;1;-0.25;8.5
+;7;27.25;Wey Nicola;*;17;53.25;7;27.25;0;0.0;9.75
+;8;37.0;Wittenwiler Roman;*;12;54.5;8;37.0;0;0.0;10.0
-;7;47.0;Burkhalter Stefan;***;10;55.0;10;46.25;3;-0.75;8.75

7c;Notz Beni;***;;;;;;;;;55.75
+;;;Gottofrey Marc;**;;;;;;;10.0
-;1;10.0;Vollenweider Jeremy;**;12;54.5;2;9.75;1;-0.25;8.75
o;4;18.75;Schnurrenberger Roman;**;11;54.75;4;18.75;0;0.0;8.5
+;7;27.25;Biäsch Christian;*;16;53.5;6;27.5;-1;0.25;10.0
+;7;37.25;Muff André;*;8;55.5;8;37.0;1;-0.25;10.0
o;6;47.25;Bless Michael;***;4;56.75;7;47.0;1;-0.25;8.5

7d;Zwyssig Raphael;***;;;;;;;;;55.75
-;;;Egli Damian;**;;;;;;;8.75
+;4;8.75;Bernold Michael;*;13;54.25;1;10.0;-3;1.25;10.0
-;4;18.75;Geisser Lars;**;8;55.5;4;18.75;0;0.0;8.75
+;6;27.5;Rotach Lars;*;18;53.0;6;27.5;0;0.0;9.75
+;7;37.25;Doppmann Urs;**;9;55.25;4;38.25;-3;1.0;10.0
o;6;47.25;Müllestein Mike;***;2;57.25;5;47.5;-1;0.25;8.5

8a;Rüegg Fabian;*;;;;;;;;;55.5
o;;;Poltera Andrin;*;;;;;;;8.5
+;5;8.5;Nock Benjamin (2001);*;23;34.5;4;8.75;-1;0.25;10.0
o;5;18.5;Nötzli Reto;***;5;56.5;6;18.25;1;-0.25;8.75
+;7;27.25;Brodard Augustin;**;12;54.5;7;27.25;0;0.0;10.0
o;7;37.25;Roth Martin;**;8;55.5;9;36.75;2;-0.5;8.5
+;12;45.75;Arztmann Beda;**;14;54.0;13;45.5;1;-0.25;9.75

8b;Muff André;*;;;;;;;;;55.5
o;;;Arztmann Beda;**;;;;;;;8.5
-;5;8.5;Ott Damian;**;7;55.75;4;8.75;-1;0.25;8.75
+;9;17.25;Schmid Patrick;*;9;55.25;5;18.5;-4;1.25;9.75
+;8;27.0;Heierli Pascal;*;20;35.5;8;27.0;0;0.0;10.0
o;8;37.0;Notz Beni;***;7;55.75;7;37.25;-1;0.25;8.5
+;13;45.5;Battaglia Ursin;**;14;54.0;13;45.5;0;0.0;10.0

8c;Geisser Lars;**;;;;;;;;;55.5
+;;;Dousse Michel;**;;;;;;;10.0
-;1;10.0;Zwyssig Raphael;***;7;55.75;4;8.75;3;-1.25;8.75
+;4;18.75;Duplan Steve;**;9;55.25;5;18.5;1;-0.25;10.0
o;2;28.75;Giger Samuel;***;1;58.0;1;29.5;-1;0.75;8.5
+;7;37.25;Koch Thomas;*;13;54.25;7;37.25;0;0.0;9.75
o;7;47.0;Reichmuth Marco;**;3;57.0;7;47.0;0;0.0;8.5

8d;Roth Martin;**;;;;;;;;;55.5
o;;;Hofer Sven;*;;;;;;;8.5
+;5;8.5;Parvex Yannick;*;21;35.25;5;8.5;0;0.0;10.0
+;5;18.5;Steinauer Adrian;**;13;54.25;5;18.5;0;0.0;9.75
o;4;28.25;Bösch Daniel;***;1;58.0;4;28.25;0;0.0;8.5
+;9;36.75;Rüegg Fabian;*;8;55.5;7;37.25;-2;0.5;9.75
-;9;46.5;Oettli Marco;**;6;56.0;7;47.0;-2;0.5;9.0

8e;Rohrer Ueli;*;;;;;;;;;55.5
-;;;Giger Urs;*;;;;;;;8.75
+;4;8.75;Landolt Reto;*;24;34.25;5;8.5;1;-0.25;9.75
o;5;18.5;Schläpfer Markus;**;13;54.25;5;18.5;0;0.0;8.5
-;8;27.0;Lehmann Philipp;*;18;53.0;8;27.0;0;0.0;8.75
+;13;35.75;Straub Robin;*;18;53.0;12;36.0;-1;0.25;10.0
+;12;45.75;Koch Thomas;*;13;54.25;12;45.75;0;0.0;9.75

8f;Waser Dominik;**;;;;;;;;;55.5
-;;;Burkhalter Stefan;***;;;;;;;8.75
o;4;8.75;Poltera Andrin;*;15;53.75;2;9.75;-2;1.0;8.5
-;9;17.25;Lehmann Philipp;*;18;53.0;6;18.25;-3;1.0;8.75
+;12;26.0;Lanter Christian;*;24;34.25;13;25.75;1;-0.25;9.75
+;13;35.75;Baumann Rico;*;13;54.25;13;35.75;0;0.0;10.0
+;12;45.75;Kuster Thomas;*;13;54.25;12;45.75;0;0.0;9.75

9a;Kuster Marcel;***;;;;;;;;;55.25
o;;;Reichmuth Marco;**;;;;;;;8.5
+;5;8.5;Räbsamen Marcel;*;19;52.75;2;9.75;-3;1.25;9.75
+;6;18.25;Dousse Michel;**;13;54.25;5;18.5;-1;0.25;9.75
+;5;28.0;Dumelin David;**;9;55.25;5;28.0;0;0.0;10.0
o;5;38.0;Gwerder Michael;**;4;56.75;4;38.25;-1;0.25;8.5
-;9;46.5;Arnold Raphael;**;6;56.0;6;47.25;-3;0.75;8.75

9b;Dumelin David;**;;;;;;;;;55.25
+;;;Bürli Roger;**;;;;;;;9.75
o;2;9.75;Doppmann Urs;**;9;55.25;1;10.0;-1;0.25;8.5
+;6;18.25;Oertig Dominik;**;9;55.25;5;18.5;-1;0.25;9.75
o;5;28.0;Kuster Marcel;***;9;55.25;5;28.0;0;0.0;8.5
+;10;36.5;Reichmuth Armin;*;12;54.5;12;36.0;2;-0.5;10.0
o;9;46.5;Borcard Johann;**;5;56.5;8;46.75;-1;0.25;8.75

9c;Schmid Patrick;*;;;;;;;;;55.25
+;;;Landolt Reto;*;;;;;;;10.0
o;1;10.0;Egli Damian;**;7;55.75;4;8.75;3;-1.25;8.5
o;5;18.5;Muff André;*;8;55.5;9;17.25;4;-1.25;8.5
-;8;27.0;Dufey Gil;*;23;34.5;13;25.75;5;-1.25;8.75
+;13;35.75;Minder Florian;**;19;52.75;13;35.75;0;0.0;9.75
+;13;45.5;Hofer Sven;*;14;54.0;13;45.5;0;0.0;9.75

