3771-2018-08-19_103_Basellandschaftliches_Kantonalschwingfest-ST

1a;Alpiger Nick;***;;;;;;;;;59.5
+;;;Schmid David;***;;;;;;;9.75
+;2;9.75;Kocher Remo;**;11;55.5;1;10.0;-1;0.25;10.0
+;2;19.75;Vieira Tiago;**;10;55.75;2;19.75;0;0.0;9.75
+;2;29.5;Räbmatter Patrick;***;4;57.5;1;30.0;-1;0.5;10.0
+;1;39.5;Kropf Marcel;**;6;56.75;4;38.25;3;-1.25;10.0
+;1;49.5;Räbmatter Patrick;***;4;57.5;2;48.75;1;-0.75;10.0

2a;Voggensperger Lars (2001);;;;;;;;;;58.0
+;;;Blatter Remo (2000);;;;;;;;9.75
+;2;9.75;Küng Marco;*;28;25.5;5;8.5;3;-1.25;9.75
+;3;19.5;Räber Lukas;*;11;55.5;7;18.25;4;-1.25;10.0
o;2;29.5;Widmer Tobias;**;5;57.0;8;28.0;6;-1.5;8.5
+;5;38.0;Mangold Michael;**;14;54.75;7;37.5;2;-0.5;10.0
+;3;48.0;Lisser Daniel;*;11;55.5;7;46.75;4;-1.25;10.0

3a;Döbeli Andreas;*;;;;;;;;;57.75
+;;;Erb Roger;**;;;;;;;9.75
+;2;9.75;Kropf Marcel;**;6;56.75;2;9.75;0;0.0;10.0
+;2;19.75;Streich Sascha (2001);;14;54.75;1;20.0;-1;0.25;9.75
-;2;29.5;Bieri Christoph;***;6;56.75;3;29.25;1;-0.25;8.75
+;4;38.25;Schmutz Simon (2000);;6;56.75;3;38.5;-1;0.25;9.75
+;3;48.0;Schillig Willi;**;11;55.5;6;47.0;3;-1.0;9.75

4a;Räbmatter Patrick;***;;;;;;;;;57.5
+;;;Stoll Simon;**;;;;;;;10.0
+;1;10.0;Odermatt Adrian (2001);*;9;56.0;1;10.0;0;0.0;10.0
+;1;20.0;Waldner Patrick;**;7;56.5;1;20.0;0;0.0;10.0
o;1;30.0;Alpiger Nick;***;1;59.5;2;29.5;1;-0.5;8.75
+;2;38.75;Erb Roger;**;6;56.75;4;38.25;2;-0.5;10.0
o;2;48.75;Alpiger Nick;***;1;59.5;1;49.5;-1;0.75;8.75

5a;Widmer Tobias;**;;;;;;;;;57.0
o;;;Kropf Marcel;**;;;;;;;8.5
+;5;8.5;Stegmüller Klemens;*;10;55.75;4;8.75;-1;0.25;9.75
+;7;18.25;Döbeli Lukas (2000);**;11;55.5;6;18.5;-1;0.25;9.75
+;8;28.0;Voggensperger Lars (2001);;2;58.0;2;29.5;-6;1.5;10.0
+;5;38.0;Schmid Samuel;**;7;56.5;4;38.25;-1;0.25;10.0
-;3;48.0;Stoffel Marc;**;9;56.0;6;47.0;3;-1.0;9.0

5b;Voggensperger Janic;**;;;;;;;;;57.0
+;;;von Büren Stephan;**;;;;;;;9.75
-;2;9.75;Leuthard Reto;**;11;55.5;1;10.0;-1;0.25;8.75
+;6;18.5;Kohler Adrian;;10;55.75;1;20.0;-5;1.5;9.75
+;7;28.25;Schaffner Samuel;**;10;55.75;11;27.25;4;-1.0;10.0
-;4;38.25;Bieri Christoph;***;6;56.75;5;38.0;1;-0.25;8.75
+;6;47.0;Kramer Franz;*;10;55.75;5;47.25;-1;0.25;10.0

6a;Erb Roger;**;;;;;;;;;56.75
o;;;Döbeli Andreas;*;;;;;;;8.5
+;5;8.5;Schaffner Samuel;**;10;55.75;4;8.75;-1;0.25;10.0
+;6;18.5;Jusufi Azret;;11;55.5;3;19.5;-3;1.0;10.0
+;6;28.5;Mangold Michael;**;14;54.75;4;29.0;-2;0.5;9.75
