4045-2018-06-03_97_Urner_Kant_Schwingfest-ST

1a;Heinzer Stefan;**;;;;;;;;;111.75
+;;;Wyrsch Marco;**;;;;;;;10.0
-;;;Hirsiger Alexander;*;;;;;;;9.0
+;1;19.0;Ambühl Joel;*;8;56.5;2;10.0;1;-9.0;9.75
+;1;19.0;Fink Bruno;*;31;17.25;6;8.5;5;-10.5;10.0
o;1;38.75;Gander Adrian;*;4;57.5;2;20.0;1;-18.75;8.5
+;1;38.75;Barmet Sven;;18;54.0;2;20.0;1;-18.75;10.0
+;1;57.25;Ming Christian 2;;12;55.5;3;29.75;2;-27.5;9.75
o;1;57.25;Baumann Roger;*;4;57.5;6;28.75;5;-28.5;8.75
-;1;75.75;Arnold Raphael;*;10;56.0;5;38.25;4;-37.5;8.75
o;1;75.75;Egli Damian;**;8;56.5;6;38.0;5;-37.75;8.5
+;1;93.0;Barmet Sven;;18;54.0;16;45.5;15;-47.5;9.75
-;1;93.0;Ettlin Martin;;10;56.0;10;47.0;9;-46.0;9.0

2a;Wicki Joel;**;;;;;;;;;59.25
+;;;Imhof Andi;***;;;;;;;10.0
+;2;10.0;Streiff Dominik;*;15;54.75;2;10.0;0;0.0;9.75
+;3;19.75;Gassmann Michael;*;6;57.0;3;19.75;0;0.0;10.0
+;3;29.75;Herger Matthias;**;5;57.25;5;29.0;2;-0.75;9.75
+;2;39.5;Hurschler Thomas;**;7;56.75;4;38.5;2;-1.0;9.75
+;2;49.25;Baumann Roger;*;4;57.5;3;48.75;1;-0.5;10.0

3a;Imhof Andi;***;;;;;;;;;58.25
o;;;Wicki Joel;**;;;;;;;8.5
+;6;8.5;Fankhauser Reto;**;6;57.0;2;10.0;-4;1.5;9.75
+;8;18.25;Bättig Martin;*;8;56.5;5;19.0;-3;0.75;10.0
+;8;28.25;Elsener Peter;**;13;55.25;8;28.25;0;0.0;10.0
+;5;38.25;Hasler Florian;**;7;56.75;5;38.25;0;0.0;10.0
+;5;48.25;Egli Damian;**;8;56.5;6;48.0;1;-0.25;10.0

4a;Gander Adrian;*;;;;;;;;;57.5
+;;;Bucher Christian;*;;;;;;;10.0
+;2;10.0;Schuler Alex;***;14;55.0;4;9.0;2;-1.0;10.0
+;2;20.0;Heinzer Stefan;**;1;111.75;1;38.75;-1;18.75;10.0
o;2;30.0;Murer Andy;**;6;57.0;6;28.75;4;-1.25;8.5
+;4;38.5;Portmann Josef;*;6;57.0;4;38.5;0;0.0;10.0
-;4;48.5;Kurmann Toni;*;4;57.5;4;48.5;0;0.0;9.0

4b;Kurmann Toni;*;;;;;;;;;57.5
+;;;Heinzer Ronny;*;;;;;;;9.75
-;3;9.75;Huber Alex;*;12;55.5;3;9.75;0;0.0;8.75
+;7;18.5;Durrer Lukas;;16;54.5;6;18.75;-1;0.25;10.0
+;7;28.5;Arnold Stefan;**;7;56.75;7;28.5;0;0.0;10.0
+;4;38.5;Murer Andy;**;6;57.0;4;38.5;0;0.0;10.0
-;4;48.5;Gander Adrian;*;4;57.5;4;48.5;0;0.0;9.0

4c;Baumann Roger;*;;;;;;;;;57.5
+;;;Fink Bruno;*;;;;;;;10.0
-;2;10.0;Gloggner Philipp;***;11;55.75;5;8.75;3;-1.25;8.75
+;6;18.75;Suter Samuel;;15;54.75;2;20.0;-4;1.25;10.0
+;6;28.75;Heinzer Stefan;*;1;111.75;1;57.25;-5;28.5;10.0
+;3;38.75;Zgraggen Fabian;*;7;56.75;4;38.5;1;-0.25;10.0
o;3;48.75;Wicki Joel;**;2;59.25;2;49.25;-1;0.5;8.75

5a;Reichmuth Roland;;;;;;;;;;57.25
+;;;Müller Mathias;;;;;;;;10.0
+;2;10.0;Suter Bruno (2002);;23;35.5;3;9.75;1;-0.25;10.0
o;2;20.0;Fankhauser Reto;**;6;57.0;6;18.75;4;-1.25;8.5
+;7;28.5;Burch Jonas;*;15;54.75;12;27.25;5;-1.25;9.75
-;5;38.25;Bättig Martin;*;8;56.5;8;37.5;3;-0.75;9.0
+;9;47.25;Beffa Mario;;11;55.75;10;47.0;1;-0.25;10.0

5b;Herger Matthias;**;;;;;;;;;57.25
-;;;Schuler Alex;***;;;;;;;9.0
+;4;9.0;Hess Michael;*;14;55.0;6;8.5;2;-0.5;10.0
+;5;19.0;Meier Daniel (2000);;19;53.75;3;19.75;-2;0.75;10.0
o;5;29.0;Wicki Joel;**;2;59.25;3;29.75;-2;0.75;8.5
+;8;37.5;Kessler Joel;*;13;55.25;7;37.75;-1;0.25;10.0
+;8;47.5;Fellmann Roman;*;9;56.25;7;47.75;-1;0.25;9.75

6a;Bieri Christian;**;;;;;;;;;57.0
-;;;Kälin Roland;**;;;;;;;8.75
-;5;8.75;Widmer Adrian;*;10;56.0;5;8.75;0;0.0;8.75
+;11;17.5;Wyss Sven (2001);;23;35.5;7;18.5;-4;1.0;10.0
+;11;27.5;Scherrer Fabian (2002);;12;55.5;7;28.5;-4;1.0;9.75
+;9;37.25;Schuler Alex;***;14;55.0;12;36.5;3;-0.75;9.75
+;10;47.0;Thalmann Adrian;;12;55.5;10;47.0;0;0.0;10.0

6b;Höﬂiger Andreas;**;;;;;;;;;57.0
-;;;Scheuber Lutz;**;;;;;;;8.75
o;5;8.75;Arnold Raphael;*;10;56.0;5;8.75;0;0.0;8.5
+;12;17.25;von Wyl Simon;;19;53.75;7;18.5;-5;1.25;10.0
+;12;27.25;Arnold Severin;*;11;55.75;12;27.25;0;0.0;10.0
+;9;37.25;Elsener Manuel;;16;54.5;8;37.5;-1;0.25;10.0
+;9;47.25;Scherer Niklaus;*;13;55.25;11;46.75;2;-0.5;9.75

6c;Murer Andy;**;;;;;;;;;57.0
-;;;Portmann Josef;*;;;;;;;8.75
+;5;8.75;Kälin Roland;**;12;55.5;5;8.75;0;0.0;10.0
+;6;18.75;Steiner Severin (2001);;11;55.75;2;20.0;-4;1.25;10.0
+;6;28.75;Gander Adrian;*;4;57.5;2;30.0;-4;1.25;9.75
o;4;38.5;Kurmann Toni;*;4;57.5;4;38.5;0;0.0;8.5
+;10;47.0;Suter Samuel;;15;54.75;13;46.25;3;-0.75;10.0

6d;Zurﬂuh Michael;*;;;;;;;;;57.0
+;;;Müller Roger;*;;;;;;;9.75
