3395-2016-07-31_Bruenigschwinget-ST

1a;Sempach Thomas;***;;;;;;;;;58.5
+;;;Imfeld Peter;***;;;;;;;10.0
+;1;10.0;Nötzli Bruno;***;5;56.75;1;10.0;0;0.0;9.75
+;2;19.75;Gasser Stefan;**;10;55.5;3;19.5;1;-0.25;10.0
+;1;29.75;Scheuber Lutz;**;9;55.75;3;28.75;2;-1.0;10.0
+;1;39.75;Steinauer Adrian;**;6;56.5;5;38.25;4;-1.5;9.75
-;1;49.5;Kämpf Bernhard;***;2;57.5;2;48.5;1;-1.0;9.0

2a;Wicki Joel;**;;;;;;;;;57.5
-;;;Glarner Matthias;***;;;;;;;8.75
-;4;8.75;Sommer Roman;*;11;55.25;1;10.0;-3;1.25;9.0
+;8;17.75;Rolli Martin;**;15;54.25;5;18.75;-3;1.0;10.0
+;7;27.75;Gwerder Guido;**;7;56.25;3;28.75;-4;1.0;9.75
+;8;37.5;Cardinaux Victor;**;15;54.25;10;37.0;2;-0.5;10.0
+;6;47.5;Aeschbacher Matthias;**;6;56.5;4;48.0;-2;0.5;10.0

2b;Kämpf Bernhard;***;;;;;;;;;57.5
+;;;Grab Martin;***;;;;;;;9.75
-;2;9.75;Gloggner Philipp;***;9;55.75;1;10.0;-1;0.25;9.0
+;5;18.75;Odermatt Andreas;*;15;54.25;3;19.5;-2;0.75;9.75
+;4;28.5;Waser Dominik;**;13;54.75;4;28.5;0;0.0;10.0
+;4;38.5;Mathis Marcel;***;8;56.0;8;37.5;4;-1.0;10.0
-;2;48.5;Sempach Thomas;***;1;58.5;1;49.5;-1;1.0;9.0

3a;Wenger Kilian;***;;;;;;;;;57.25
-;;;Laimbacher Philipp;***;;;;;;;8.75
+;4;8.75;Hurschler Thomas;**;14;54.5;2;9.75;-2;1.0;9.75
+;6;18.5;Egli Pirmin;**;19;53.25;5;18.75;-1;0.25;9.75
+;5;28.25;Ulrich Andreas;***;6;56.5;5;28.25;0;0.0;10.0
-;5;38.25;Brun Jonas;**;8;56.0;6;38.0;1;-0.25;9.0
+;7;47.25;Gloggner Reto;**;10;55.5;8;47.0;1;-0.25;10.0

3b;Glarner Matthias;***;;;;;;;;;57.25
-;;;Wicki Joel;**;;;;;;;8.75
+;4;8.75;Kälin Roland;**;12;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Kenel Franz-Toni;*;10;55.5;2;19.75;-3;1.0;10.0
+;3;28.75;Schuler Christian;***;4;57.0;3;28.75;0;0.0;10.0
-;3;38.75;Laimbacher Philipp;***;7;56.25;8;37.5;5;-1.25;8.75
+;6;47.5;Stöckli Stefan;**;9;55.75;7;47.25;1;-0.25;9.75

3c;Zaugg Thomas;***;;;;;;;;;57.25
-;;;Schuler Alex;**;;;;;;;8.75
+;4;8.75;Odermatt Christian;**;12;55.0;2;9.75;-2;1.0;9.75
+;6;18.5;Bucher Roland;*;11;55.25;2;19.75;-4;1.25;10.0
+;4;28.5;Grab Martin;***;10;55.5;5;28.25;1;-0.25;9.75
+;5;38.25;Suppiger René;**;6;56.5;6;38.0;1;-0.25;10.0
-;3;48.25;Müllestein Mike;**;5;56.75;5;47.75;2;-0.5;9.0

4a;Sempach Matthias;***;;;;;;;;;57.0
-;;;Schuler Christian;***;;;;;;;9.0
+;3;9.0;Steinauer Adrian;**;6;56.5;2;9.75;-1;0.75;9.75
-;5;18.75;Müllestein Mike;**;5;56.75;1;20.0;-4;1.25;8.75
+;8;27.5;Küttel Pirmin;**;10;55.5;3;28.75;-5;1.25;9.75
+;9;37.25;Imfeld Peter;***;15;54.25;9;37.25;0;0.0;10.0
+;7;47.25;Kennel Stefan;**;9;55.75;7;47.25;0;0.0;9.75

4b;Schuler Christian;***;;;;;;;;;57.0
-;;;Sempach Matthias;***;;;;;;;9.0
+;3;9.0;Cropt Harald;**;16;54.0;1;10.0;-2;1.0;9.75
+;5;18.75;Michel Jonas;*;19;53.25;5;18.75;0;0.0;10.0
o;3;28.75;Glarner Matthias;***;3;57.25;3;28.75;0;0.0;8.5
+;9;37.25;Reusser Philipp;**;13;54.75;9;37.25;0;0.0;10.0
+;7;47.25;Fankhauser Reto;**;12;55.0;10;46.5;3;-0.75;9.75

4c;Gerber Christian;**;;;;;;;;;57.0
-;;;Nötzli Reto;***;;;;;;;8.75
+;4;8.75;Baumann Roger;*;13;54.75;1;10.0;-3;1.25;10.0
-;5;18.75;Gloggner Philipp;***;9;55.75;5;18.75;0;0.0;8.75
+;8;27.5;Gwerder Christian;**;14;54.5;4;28.5;-4;1.0;9.75
+;9;37.25;Schuler Alex;**;10;55.5;9;37.25;0;0.0;10.0
+;7;47.25;Kälin Roland;**;12;55.0;10;46.5;3;-0.75;9.75

5a;Nötzli Bruno;***;;;;;;;;;56.75
+;;;Studer Stefan;**;;;;;;;10.0
o;1;10.0;Sempach Thomas;***;1;58.5;1;10.0;0;0.0;8.5
+;6;18.5;Gäggeler Adrian;*;15;54.25;6;18.5;0;0.0;10.0
o;4;28.5;Aeschbacher Matthias;**;6;56.5;2;29.0;-2;0.5;8.5
+;10;37.0;von Büren Stephan;*;15;54.25;9;37.25;-1;0.25;10.0
+;8;47.0;Schenk Patrick;**;8;56.0;6;47.5;-2;0.5;9.75

5b;Müllestein Mike;**;;;;;;;;;56.75
+;;;Schenk Patrick;**;;;;;;;10.0
+;1;10.0;Zenger Niklaus;***;17;53.75;2;9.75;1;-0.25;10.0
-;1;20.0;Sempach Matthias;***;4;57.0;5;18.75;4;-1.25;8.75
+;3;28.75;Bloch Dominic;**;14;54.5;4;28.5;1;-0.25;10.0
-;3;38.75;Aeschbacher Matthias;**;6;56.5;2;39.0;-1;0.25;9.0
-;5;47.75;Zaugg Thomas;***;3;57.25;3;48.25;-2;0.5;9.0

6a;Suppiger René;**;;;;;;;;;56.5
o;;;Roschi Ruedi;**;;;;;;;8.5
+;5;8.5;Renfer Lukas;*;29;34.5;4;8.75;-1;0.25;10.0
+;6;18.5;Zenger Niklaus;***;17;53.75;7;18.25;1;-0.25;9.75
+;5;28.25;Sommer Roman;*;11;55.25;9;27.25;4;-1.0;9.75
o;6;38.0;Zaugg Thomas;***;3;57.25;5;38.25;-1;0.25;8.5
+;10;46.5;Bucher Roland;*;11;55.25;9;46.75;-1;0.25;10.0

6b;Kämpf Alexander;**;;;;;;;;;56.5
+;;;Zimmermann Simon;**;;;;;;;10.0
-;1;10.0;Vogel Remo;**;10;55.5;3;9.0;2;-1.0;8.75
-;5;18.75;Mathis Marcel;***;8;56.0;5;18.75;0;0.0;8.75
-;8;27.5;Bernhard Lukas;*;11;55.25;5;28.25;-3;0.75;9.0
+;12;36.5;Reichmuth Armin;*;13;54.75;13;36.25;1;-0.25;10.0
+;10;46.5;Odermatt Christian;**;12;55.0;10;46.5;0;0.0;10.0

6c;Steinauer Adrian;**;;;;;;;;;56.5
+;;;Dind Samuel;**;;;;;;;9.75
o;2;9.75;Sempach Matthias;***;4;57.0;3;9.0;1;-0.75;8.5
+;7;18.25;Berger René;**;29;34.5;10;17.25;3;-1.0;10.0
+;5;28.25;Studer Stefan;**;13;54.75;8;27.5;3;-0.75;10.0
o;5;38.25;Sempach Thomas;***;1;58.5;1;39.75;-4;1.5;8.5
+;9;46.75;Gasser Stefan;**;10;55.5;9;46.75;0;0.0;9.75

6d;Aeschbacher Matthias;**;;;;;;;;;56.5
-;;;Ulrich Andreas;***;;;;;;;9.0
+;3;9.0;Egli Damian;**;21;52.75;1;10.0;-2;1.0;10.0
+;4;19.0;Brun Jonas;**;8;56.0;2;19.75;-2;0.75;10.0
+;2;29.0;Nötzli Bruno;***;5;56.75;4;28.5;2;-0.5;10.0
-;2;39.0;Müllestein Mike;**;5;56.75;3;38.75;1;-0.25;9.0
o;4;48.0;Wicki Joel;**;2;57.5;6;47.5;2;-0.5;8.5

6e;Ulrich Andreas;***;;;;;;;;;56.5
-;;;Aeschbacher Matthias;**;;;;;;;8.75
+;4;8.75;Binggeli Dominik;*;26;35.25;2;9.75;-2;1.0;9.75
+;6;18.5;Heiniger Michael;*;21;52.75;6;18.5;0;0.0;9.75
o;5;28.25;Wenger Kilian;***;3;57.25;5;28.25;0;0.0;8.5
+;11;36.75;Gäggeler Adrian;*;15;54.25;10;37.0;-1;0.25;10.0
+;9;46.75;Britschgi Melk;**;11;55.25;9;46.75;0;0.0;9.75

7a;Laimbacher Philipp;***;;;;;;;;;56.25
-;;;Wenger Kilian;***;;;;;;;8.75
-;4;8.75;Bloch Dominic;**;14;54.5;1;10.0;-3;1.25;9.0
+;8;17.75;Schenkel Adrian;**;15;54.25;5;18.75;-3;1.0;9.75
+;8;27.5;Gloggner Reto;**;10;55.5;4;28.5;-4;1.0;10.0
-;8;37.5;Glarner Matthias;***;3;57.25;3;38.75;-5;1.25;8.75
+;11;46.25;Scheuber Lutz;**;9;55.75;7;47.25;-4;1.0;10.0

7b;Gwerder Guido;**;;;;;;;;;56.25
-;;;Borcard Johann;**;;;;;;;9.0
+;3;9.0;Reusser Philipp;**;13;54.75;4;8.75;1;-0.25;10.0
+;4;19.0;Guisolan Marc;**;25;35.75;6;18.5;2;-0.5;9.75
o;3;28.75;Wicki Joel;**;2;57.5;7;27.75;4;-1.0;8.5
+;9;37.25;Roschi Ruedi;**;9;55.75;10;37.0;1;-0.25;10.0
-;7;47.25;Brun Jonas;**;8;56.0;8;47.0;1;-0.25;9.0

8a;Mathys Simon;**;;;;;;;;;56.0
o;;;Gloggner Philipp;***;;;;;;;8.5
-;5;8.5;Schuler Alex;**;10;55.5;4;8.75;-1;0.25;8.75
+;10;17.25;Graber Michael;*;10;55.5;6;18.5;-4;1.25;10.0
+;9;27.25;Bucher Roland;*;11;55.25;5;28.25;-4;1.0;10.0
+;9;37.25;Nötzli Reto;***;24;44.5;14;36.0;5;-1.25;9.75
-;8;47.0;Gassmann Fabian;**;11;55.25;11;46.25;3;-0.75;9.0

8b;Steffen Gustav;*;;;;;;;;;56.0
o;;;Kälin Roland;**;;;;;;;8.5
-;5;8.5;Kennel Stefan;**;9;55.75;4;8.75;-1;0.25;9.0
o;9;17.5;Imfeld Peter;***;15;54.25;10;17.25;1;-0.25;8.5
+;14;26.0;Klossner Adrian;*;30;34.25;15;25.75;1;-0.25;10.0
+;14;36.0;Rohrer Ivan;**;19;53.25;14;36.0;0;0.0;10.0
+;12;46.0;Waser Dominik;**;13;54.75;12;46.0;0;0.0;10.0

8c;Brun Jonas;**;;;;;;;;;56.0
+;;;Guisolan Marc;**;;;;;;;9.75
+;2;9.75;Bütikofer Lukas;*;30;34.25;4;8.75;2;-1.0;10.0
o;2;19.75;Aeschbacher Matthias;**;6;56.5;4;19.0;2;-0.75;8.5
+;5;28.25;von Büren Stephan;*;15;54.25;3;28.75;-2;0.5;9.75
-;6;38.0;Wenger Kilian;***;3;57.25;5;38.25;-1;0.25;9.0
-;8;47.0;Gwerder Guido;**;7;56.25;7;47.25;-1;0.25;9.0

8d;Schenk Patrick;**;;;;;;;;;56.0
o;;;Müllestein Mike;**;;;;;;;8.75
-;4;8.75;Zimmermann Martin;**;15;54.25;4;8.75;0;0.0;9.0
+;8;17.75;Gassmann Fabian;**;11;55.25;7;18.25;-1;0.5;10.0
+;7;27.75;Nötzli Reto;***;24;44.5;8;27.5;1;-0.25;10.0
+;7;37.75;Kälin Roland;**;12;55.0;6;38.0;-1;0.25;9.75
