2258-2015-07-12_Rigischwingfest-ST

1a;Ulrich Andreas;***;;;;;;;;;59.25
o;5;28.5;Zwyssig Raphael;***;7;56.25;6;28.25;1;-0.25;8.5
+;9;37.0;Gwerder Andreas;**;16;54.0;9;37.0;0;0.0;9.75
o;7;46.75;Rhyner Michael;**;7;56.25;8;46.5;1;-0.25;8.75

10b;Fankhauser Marco;**;;;;;;;;;55.5
+;;;Steiner Michael;**;;;;;;;10.0
o;1;10.0;Rychen Roger;**;4;57.0;1;10.0;0;0.0;8.5
o;5;18.5;Schelbert Ralf;**;10;55.5;5;18.5;0;0.0;8.5
+;11;27.0;Inderbitzin Daniel;*;14;54.5;10;27.25;-1;0.25;9.75
-;10;36.75;Burkhalter Stefan;***;12;55.0;12;36.25;2;-0.5;8.75
+;12;45.5;Waser Reto;*;16;54.0;12;45.5;0;0.0;10.0

10c;Rohrer Marco;**;;;;;;;;;55.5
+;;;Schmid Dominik;**;;;;;;;10.0
o;1;10.0;Schuler Christian;***;3;57.25;4;8.75;3;-1.25;8.5
+;5;18.5;Linggi Bruno;**;15;54.25;6;18.25;1;-0.25;9.75
+;6;28.25;Horner Peter;**;13;54.75;9;27.5;3;-0.75;9.75
-;5;38.0;Forrer Arnold;***;6;56.5;7;37.5;2;-0.5;8.75
-;7;46.75;Brun Jonas;**;10;55.5;7;46.75;0;0.0;8.75

10d;Brun Jonas;**;;;;;;;;;55.5
o;;;Rychen Roger;**;;;;;;;8.5
+;5;8.5;Ackermann Remo;*;17;53.75;4;8.75;-1;0.25;9.75
+;6;18.25;Grab Daniel;**;26;35.25;6;18.25;0;0.0;9.75
o;7;28.0;Orlik Armon;**;8;56.0;9;27.5;2;-0.5;8.75
+;10;36.75;Krähenbühl Tobias;**;11;55.25;9;37.0;-1;0.25;10.0
-;7;46.75;Rohrer Marco;**;10;55.5;7;46.75;0;0.0;8.75

11a;Höfliger Andreas;**;;;;;;;;;55.25
-;;;Horner Peter;**;;;;;;;8.75
+;4;8.75;Schneider Domenic;**;14;54.5;5;8.5;1;-0.25;10.0
-;4;18.75;Schurtenberger Sven;**;6;56.5;4;18.75;0;0.0;9.0
+;8;27.75;Baumann Roger;*;18;53.5;9;27.5;1;-0.25;10.0
o;6;37.75;Bösch Daniel;***;4;57.0;8;37.25;2;-0.5;8.5
-;9;46.25;Hersche Martin;**;9;55.75;7;46.75;-2;0.5;9.0

11b;Krähenbühl Tobias;**;;;;;;;;;55.25
+;;;Gloggner Hansjörg;***;;;;;;;9.75
-;2;9.75;Schuler Alex;**;13;54.75;2;9.75;0;0.0;8.75
+;5;18.5;Waser Reto;*;16;54.0;5;18.5;0;0.0;10.0
o;5;28.5;Schuler Christian;***;3;57.25;4;28.75;-1;0.25;8.5
o;9;37.0;Brun Jonas;**;10;55.5;10;36.75;1;-0.25;8.5
+;12;45.5;Linggi Bruno;**;15;54.25;12;45.5;0;0.0;9.75

12a;Stöckli Stefan;**;;;;;;;;;55.0
o;;;Schelbert Ralf;**;;;;;;;8.5
-;5;8.5;Gwerder Andreas;**;16;54.0;5;8.5;0;0.0;8.75
+;9;17.25;Baumann Rico;*;29;34.25;9;17.25;0;0.0;10.0
-;10;27.25;Waser Reto;*;16;54.0;11;27.0;1;-0.25;9.0
-;12;36.25;Horner Peter;**;13;54.75;12;36.25;0;0.0;8.75
+;14;45.0;Villiger Cyrill;*;16;54.0;12;45.5;-2;0.5;10.0

12b;Burkhalter Stefan;***;;;;;;;;;55.0
o;;;Laimbacher Philipp;***;;;;;;;8.5
-;5;8.5;Steinauer Adrian;**;14;54.5;2;9.75;-3;1.25;8.75
-;9;17.25;Gwerder Guido;**;25;35.5;6;18.25;-3;1.0;9.0
+;13;26.25;Grab Daniel;**;26;35.25;12;26.75;-1;0.5;10.0
-;12;36.25;Fankhauser Marco;**;10;55.5;10;36.75;-2;0.5;8.75
+;14;45.0;Reichmuth Armin;*;15;54.25;11;45.75;-3;0.75;10.0

12c;Kennel Stefan;*;;;;;;;;;55.0
+;;;Ackermann Remo;*;;;;;;;10.0
-;1;10.0;Schurtenberger Sven;**;6;56.5;2;9.75;1;-0.25;8.75
-;4;18.75;Baumann Roger;*;18;53.5;5;18.5;1;-0.25;9.0
-;8;27.75;Eugster Ruedi;**;20;53.0;10;27.25;2;-0.5;8.75
+;11;36.5;Kohler Fredi;**;18;53.5;12;36.25;1;-0.25;10.0
o;8;46.5;Rychen Roger;**;4;57.0;6;47.0;-2;0.5;8.5

13a;Schuler Alex;**;;;;;;;;;54.75
+;;;Fässler Andreas;**;;;;;;;9.75
-;2;9.75;Krähenbühl Tobias;**;11;55.25;2;9.75;0;0.0;8.75
+;5;18.5;Hersche Martin;**;9;55.75;5;18.5;0;0.0;9.75
o;6;28.25;Rychen Roger;**;4;57.0;5;28.5;-1;0.25;8.75
-;9;37.0;Egli Pirmin;**;13;54.75;12;36.25;3;-0.75;9.0
o;10;46.0;Forrer Arnold;***;6;56.5;8;46.5;-2;0.5;8.75

13b;Egli Pirmin;**;;;;;;;;;54.75
+;;;Kempf Elias;**;;;;;;;9.75
o;2;9.75;Notz Beni;***;14;54.5;4;8.75;2;-1.0;8.5
-;6;18.25;Gwerder Christian;**;13;54.75;6;18.25;0;0.0;9.0
-;10;27.25;Kohler Fredi;**;18;53.5;10;27.25;0;0.0;9.0
-;12;36.25;Schuler Alex;**;13;54.75;9;37.0;-3;0.75;8.75
+;14;45.0;Ackermann Remo;*;17;53.75;13;45.25;-1;0.25;9.75

13c;Bieri Marcel;**;;;;;;;;;54.75
o;;;Suppiger René;**;;;;;;;8.5
+;5;8.5;Dörig Erich;*;28;34.5;4;8.75;-1;0.25;9.75
o;6;18.25;Bösch Daniel;***;4;57.0;6;18.25;0;0.0;8.5
+;12;26.75;Bickel Stefan;*;29;34.25;15;25.75;3;-1.0;9.75
o;11;36.5;Zimmermann Martin;**;7;56.25;8;37.25;-3;0.75;8.5
+;14;45.0;Wyrsch Marco;*;21;52.75;17;44.25;3;-0.75;9.75

13d;Horner Peter;**;;;;;;;;;54.75
-;;;Höfliger Andreas;**;;;;;;;8.75
-;4;8.75;Kempf Elias;**;13;54.75;5;8.5;1;-0.25;8.75
+;8;17.5;Thalmann Thomas;*;27;34.75;8;17.5;0;0.0;10.0
o;9;27.5;Rohrer Marco;**;10;55.5;6;28.25;-3;0.75;8.75
-;12;36.25;Stöckli Stefan;**;12;55.0;12;36.25;0;0.0;8.75
+;14;45.0;Fankhauser Reto;**;19;53.25;15;44.75;1;-0.25;9.75

13e;Gwerder Christian;**;;;;;;;;;54.75
+;;;Herger Matthias;**;;;;;;;9.75
o;2;9.75;Gloggner Hansjörg;***;6;56.5;5;8.5;3;-1.25;8.5
-;6;18.25;Egli Pirmin;**;13;54.75;6;18.25;0;0.0;9.0
-;10;27.25;Orlik Curdin;**;13;54.75;10;27.25;0;0.0;8.75
+;13;36.0;Baumann Roger;*;18;53.5;13;36.0;0;0.0;10.0
o;10;46.0;Rohrer Ivan;*;8;56.0;10;46.0;0;0.0;8.75

13f;Kempf Elias;**;;;;;;;;;54.75
o;;;Egli Pirmin;**;;;;;;;8.5
-;5;8.5;Horner Peter;**;13;54.75;4;8.75;-1;0.25;8.75
+;9;17.25;Bickel Stefan;*;29;34.25;9;17.25;0;0.0;10.0
-;10;27.25;Waser Dominik;*;13;54.75;9;27.5;-1;0.25;8.75
-;13;36.0;Orlik Curdin;**;13;54.75;13;36.0;0;0.0;8.75
+;15;44.75;Kohler Fredi;**;18;53.5;15;44.75;0;0.0;10.0

13g;Waser Dominik;*;;;;;;;;;54.75
+;;;Bickel Stefan;*;;;;;;;10.0
-;1;10.0;Zwyssig Raphael;***;7;56.25;2;9.75;1;-0.25;8.75
-;4;18.75;Odermatt Andreas;*;19;53.25;5;18.5;1;-0.25;8.75
-;9;27.5;Kempf Elias;**;13;54.75;10;27.25;1;-0.25;8.75
o;12;36.25;Gloggner Hansjörg;***;6;56.5;10;36.75;-2;0.5;8.5
+;15;44.75;Gwerder Andreas;**;16;54.0;12;45.5;-3;0.75;10.0

13h;Orlik Curdin;**;;;;;;;;;54.75
-;;;Scheuber Lutz;**;;;;;;;8.75
-;4;8.75;Schelbert Ralf;**;10;55.5;2;9.75;-2;1.0;8.75
+;8;17.5;Kälin Remo;*;14;54.5;9;17.25;1;-0.25;9.75
-;10;27.25;Gwerder Christian;**;13;54.75;10;27.25;0;0.0;8.75
-;13;36.0;Kempf Elias;**;13;54.75;13;36.0;0;0.0;8.75
+;15;44.75;Baumann Roger;*;18;53.5;15;44.75;0;0.0;10.0

14a;Zimmermann Simon;*;;;;;;;;;54.5
-;;;Kammermann Thomas;*;;;;;;;8.75
-;4;8.75;Elsener Adrian;**;19;53.25;4;8.75;0;0.0;8.75
+;8;17.5;Bernold Christian;*;28;34.5;9;17.25;1;-0.25;9.75
o;10;27.25;Suter David;**;14;54.5;9;27.5;-1;0.25;8.5
-;14;35.75;Fankhauser Reto;**;19;53.25;13;36.0;-1;0.25;8.75
+;16;44.5;Eugster Ruedi;**;20;53.0;16;44.5;0;0.0;10.0

14b;Steinauer Adrian;**;;;;;;;;;54.5
+;;;Hersche Martin;**;;;;;;;9.75
-;2;9.75;Burkhalter Stefan;***;12;55.0;5;8.5;3;-1.25;8.75
-;5;18.5;Murer Andy;*;24;35.75;5;18.5;0;0.0;8.75
+;10;27.25;Odermatt Andreas;*;19;53.25;10;27.25;0;0.0;10.0
o;8;37.25;Suppiger Werner;**;7;56.25;7;37.5;-1;0.25;8.75
o;10;46.0;Britschgi Melk;**;8;56.0;9;46.25;-1;0.25;8.5

14c;Schneider Domenic;**;;;;;;;;;54.5
o;;;Schurtenberger Sven;**;;;;;;;8.5
o;5;8.5;Höfliger Andreas;**;11;55.25;4;8.75;-1;0.25;8.5
-;10;17.0;Achermann Christoph;*;31;26.0;9;17.25;-1;0.25;8.75
+;15;25.75;Murer Andy;*;24;35.75;10;27.25;-5;1.5;10.0
+;14;35.75;Elsener Adrian;**;19;53.25;13;36.0;-1;0.25;10.0
-;11;45.75;Bieri Christian;*;14;54.5;11;45.75;0;0.0;8.75

14d;Inderbitzin Daniel;*;;;;;;;;;54.5
-;;;Bernet Christoph;*;;;;;;;8.75
+;4;8.75;Käslin Benno;*;20;53.0;4;8.75;0;0.0;10.0
o;4;18.75;Gloggner Hansjörg;***;6;56.5;6;18.25;2;-0.5;8.5
o;10;27.25;Fankhauser Marco;**;10;55.5;11;27.0;1;-0.25;8.5
+;14;35.75;Eugster Ruedi;**;20;53.0;13;36.0;-1;0.25;10.0
-;11;45.75;Notz Beni;***;14;54.5;11;45.75;0;0.0;8.75

14e;Gmür Pirmin;*;;;;;;;;;54.5
+;;;Barmettler Peter;*;;;;;;;9.75
-;2;9.75;Scheuber Lutz;**;9;55.75;4;8.75;2;-1.0;8.75
+;5;18.5;Muff André;*;25;35.5;5;18.5;0;0.0;9.75
-;6;28.25;Laimbacher Adrian;***;5;56.75;3;29.0;-3;0.75;8.75
-;9;37.0;Bieri Christian;*;14;54.5;9;37.0;0;0.0;8.75
-;11;45.75;Kälin Remo;*;14;54.5;11;45.75;0;0.0;8.75

14f;Suter David;**;;;;;;;;;54.5
-;;;Landolt Reto;*;;;;;;;8.75
+;4;8.75;Bernold Edi;**;30;34.0;5;8.5;1;-0.25;9.75
-;5;18.5;Orlik Armon;**;8;56.0;5;18.5;0;0.0;9.0
+;9;27.5;Zimmermann Simon;*;14;54.5;10;27.25;1;-0.25;10.0
o;7;37.5;Schurtenberger Sven;**;6;56.5;6;37.75;-1;0.25;8.5
o;10;46.0;Gloggner Hansjörg;***;6;56.5;8;46.5;-2;0.5;8.5

14g;Föhn Pirmin;*;;;;;;;;;54.5
-;;;Müller Toni;*;;;;;;;8.75
-;4;8.75;Kohler Fredi;**;18;53.5;4;8.75;0;0.0;8.75
+;8;17.5;Dörig Erich;*;28;34.5;9;17.25;1;-0.25;10.0
o;9;27.5;Rohrer Ivan;*;8;56.0;9;27.5;0;0.0;8.5
+;13;36.0;Bernet Christoph;*;21;52.75;14;35.75;1;-0.25;10.0
o;10;46.0;Zwyssig Raphael;***;7;56.25;8;46.5;-2;0.5;8.5

14h;Notz Beni;***;;;;;;;;;54.5
-;;;Zimmermann Martin;**;;;;;;;8.75
+;4;8.75;Egli Pirmin;**;13;54.75;2;9.75;-2;1.0;10.0
+;4;18.75;Müller Toni;*;16;54.0;4;18.75;0;0.0;9.75
o;5;28.5;Laimbacher Philipp;***;2;58.5;1;29.75;-4;1.25;8.5
-;9;37.0;Britschgi Melk;**;8;56.0;8;37.25;-1;0.25;8.75
-;11;45.75;Inderbitzin Daniel;*;14;54.5;11;45.75;0;0.0;8.75

14i;Kälin Remo;*;;;;;;;;;54.5
-;;;Dörig Erich;*;;;;;;;8.75
o;4;8.75;Oertig Dominik;*;15;54.25;5;8.5;1;-0.25;8.5
o;9;17.25;Orlik Curdin;**;13;54.75;8;17.5;-1;0.25;8.75
+;14;26.0;Kammermann Thomas;*;28;34.5;15;25.75;1;-0.25;10.0
+;13;36.0;Käslin Benno;*;20;53.0;13;36.0;0;0.0;9.75
-;11;45.75;Gmür Pirmin;*;14;54.5;11;45.75;0;0.0;8.75

14j;Bieri Christian;*;;;;;;;;;54.5
o;;;Baumann Roger;*;;;;;;;8.5
+;5;8.5;Landolt Reto;*;28;34.5;4;8.75;-1;0.25;10.0
+;5;18.5;Britschgi Melk;**;8;56.0;4;18.75;-1;0.25;10.0
o;5;28.5;Ulrich Andreas;***;1;59.25;2;29.5;-3;1.0;8.5
-;9;37.0;Gmür Pirmin;*;14;54.5;9;37.0;0;0.0;8.75
-;11;45.75;Schneider Domenic;**;14;54.5;11;45.75;0;0.0;8.75

15a;Oertig Dominik;*;;;;;;;;;54.25
o;;;Muff André;*;;;;;;;8.5
+;5;8.5;Kälin Remo;*;14;54.5;4;8.75;-1;0.25;10.0
-;5;18.5;Fankhauser Reto;**;19;53.25;6;18.25;1;-0.25;9.0
o;9;27.5;Schurtenberger Sven;**;6;56.5;8;27.75;-1;0.25;8.5
+;13;36.0;Wyrsch Marco;*;21;52.75;14;35.75;1;-0.25;9.75
o;11;45.75;Suppiger René;**;9;55.75;11;45.75;0;0.0;8.5

15b;Linggi Bruno;**;;;;;;;;;54.25
+;;;Bernold Edi;**;;;;;;;9.75
o;2;9.75;Bösch Daniel;***;4;57.0;5;8.5;3;-1.25;8.5
o;6;18.25;Rohrer Marco;**;10;55.5;5;18.5;-1;0.25;8.5
+;12;26.75;Baumann Rico;*;29;34.25;15;25.75;3;-1.0;9.75
-;11;36.5;Muff Armin;**;22;45.25;12;36.25;1;-0.25;9.0
o;12;45.5;Krähenbühl Tobias;**;11;55.25;12;45.5;0;0.0;8.75

15c;Reichmuth Armin;*;;;;;;;;;54.25
-;;;Gassmann Michael;*;;;;;;;8.75
o;4;8.75;Rohrer Ivan;*;8;56.0;3;9.0;-1;0.25;8.75
+;8;17.5;Kammermann Thomas;*;28;34.5;9;17.25;1;-0.25;9.75
o;10;27.25;Suppiger René;**;9;55.75;10;27.25;0;0.0;8.5
+;14;35.75;Fässler Andreas;**;15;54.25;14;35.75;0;0.0;10.0
o;11;45.75;Burkhalter Stefan;***;12;55.0;14;45.0;3;-0.75;8.5

15d;Fässler Andreas;**;;;;;;;;;54.25
o;;;Schuler Alex;**;;;;;;;8.5
-;5;8.5;Vonlaufen Alexander;**;23;36.0;4;8.75;-1;0.25;8.75
+;9;17.25;Barmettler Peter;*;27;34.75;7;17.75;-2;0.5;9.75
o;11;27.0;Britschgi Melk;**;8;56.0;9;27.5;-2;0.5;8.75
o;14;35.75;Reichmuth Armin;*;15;54.25;14;35.75;0;0.0;8.5
+;17;44.25;Bernet Christoph;*;21;52.75;17;44.25;0;0.0;10.0

16a;Müller Toni;*;;;;;;;;;54.0
-;;;Föhn Pirmin;*;;;;;;;8.75
+;4;8.75;Gassmann Michael;*;33;17.25;4;8.75;0;0.0;10.0
o;4;18.75;Notz Beni;***;14;54.5;4;18.75;0;0.0;8.5
o;10;27.25;Villiger Cyrill;*;16;54.0;10;27.25;0;0.0;8.5
o;14;35.75;Waser Reto;*;16;54.0;14;35.75;0;0.0;8.5
+;17;44.25;Käslin Benno;*;20;53.0;16;44.5;-1;0.25;9.75

16b;Villiger Cyrill;*;;;;;;;;;54.0
-;;;Thalmann Thomas;*;;;;;;;8.75
