4693-2021-08-22_105_Basellandschaftliches_Kantonalschwingfest-ST

1a;Alpiger Nick;***;;;;;;;;;59.75
+;;;Hermann Oliver;**;;;;;;;10.0
+;1;10.0;Walther Adrian;**;10;55.75;1;10.0;0;0.0;10.0
+;1;20.0;Döbeli Andreas;***;2;58.0;2;19.75;1;-0.25;10.0
+;1;30.0;Mangold Michael;**;4;57.25;3;28.75;2;-1.25;10.0
+;1;40.0;Schmid David;***;6;56.75;4;38.25;3;-1.75;9.75
+;1;49.75;Strebel Joel;***;2;58.0;2;49.25;1;-0.5;10.0

2a;Strebel Joel;***;;;;;;;;;58.0
+;;;Hügli Kaj;**;;;;;;;9.75
+;2;9.75;Henzer Andreas;**;11;55.5;2;9.75;0;0.0;9.75
+;3;19.5;Räbmatter Patrick;***;6;56.75;2;19.75;-1;0.25;10.0
+;2;29.5;Kohler Adrian;*;15;54.5;4;28.5;2;-1.0;10.0
+;2;39.5;Walther Adrian;**;10;55.75;3;38.5;1;-1.0;9.75
o;2;49.25;Alpiger Nick;***;1;59.75;1;49.75;-1;0.5;8.75

2b;Döbeli Andreas;***;;;;;;;;;58.0
+;;;Odermatt Adrian;*;;;;;;;9.75
+;2;9.75;Brun Samuel;**;3;57.75;2;9.75;0;0.0;10.0
o;2;19.75;Alpiger Nick;***;1;59.75;1;20.0;-1;0.25;8.5
+;5;28.25;Schmutz Adrian;*;12;55.25;5;28.25;0;0.0;10.0
+;4;38.25;Erb Roger;**;11;55.5;5;38.0;1;-0.25;10.0
+;3;48.25;Bader Fabian;*;8;56.25;5;47.5;2;-0.75;9.75

3a;Brun Samuel;**;;;;;;;;;57.75
+;;;Salzmann Simon;*;;;;;;;9.75
o;2;9.75;Döbeli Andreas;***;2;58.0;2;9.75;0;0.0;8.5
+;7;18.25;Christ Dario (2003);;7;56.5;3;19.5;-4;1.25;10.0
+;5;28.25;Hügli Kaj;**;6;56.75;4;28.5;-1;0.25;9.75
+;5;38.0;Schmid Samuel;**;6;56.75;5;38.0;0;0.0;10.0
+;4;48.0;Reinhard Adrian;*;11;55.5;7;47.0;3;-1.0;9.75

4a;Mangold Michael;**;;;;;;;;;57.25
-;;;Stoll Simon;**;;;;;;;8.75
+;4;8.75;Schmutz Simon;*;10;55.75;5;8.5;1;-0.25;10.0
+;5;18.75;Rickenbacher Cedric;;10;55.75;5;18.75;0;0.0;10.0
o;3;28.75;Alpiger Nick;***;1;59.75;1;30.0;-2;1.25;8.5
+;7;37.25;Büttler Gian;;11;55.5;7;37.25;0;0.0;10.0
+;6;47.25;Probst Gabriel;**;11;55.5;7;47.0;1;-0.25;10.0

4b;Odermatt Adrian;*;;;;;;;;;57.25
o;;;Döbeli Andreas;***;;;;;;;8.5
o;5;8.5;Probst Gabriel;**;11;55.5;2;9.75;-3;1.25;8.75
+;10;17.25;Benecke Nicholas;;18;53.75;6;18.5;-4;1.25;10.0
+;9;27.25;Schärer Nico (2004);;17;54.0;5;28.25;-4;1.0;10.0
+;7;37.25;Walther Reto (2003);;10;55.75;6;37.5;-1;0.25;10.0
+;6;47.25;Räbmatter Patrick;***;6;56.75;3;48.25;-3;1.0;10.0

4c;Vieira Tiago;**;;;;;;;;;57.25
+;;;Kohler Adrian;*;;;;;;;10.0
-;1;10.0;Streich Sascha;;10;55.75;1;10.0;0;0.0;8.75
-;5;18.75;Kropf Marcel;**;10;55.75;6;18.5;1;-0.25;8.75
+;8;27.5;Burkhardt Roy;;12;55.25;5;28.25;-3;0.75;10.0
+;6;37.5;Widmer David;**;11;55.5;8;37.0;2;-0.5;10.0
+;5;47.5;Walther Adrian;**;10;55.75;7;47.0;2;-0.5;9.75

5a;Hermann Oliver;**;;;;;;;;;57.0
o;;;Alpiger Nick;***;;;;;;;8.5
+;5;8.5;Gerber Manuel;*;15;54.5;2;9.75;-3;1.25;10.0
-;6;18.5;Pirkheim Elias;;10;55.75;3;19.5;-3;1.0;9.0
+;8;27.5;Nyffenegger Florian;;18;53.75;6;28.0;-2;0.5;10.0
+;6;37.5;Schafroth Dario (2004);;11;55.5;5;38.0;-1;0.5;9.75
+;6;47.25;Kropf Marcel;**;10;55.75;6;47.25;0;0.0;9.75

5b;Reimann Marco;;;;;;;;;;57.0
+;;;Huser Roman;;;;;;;;10.0
o;1;10.0;Kropf Marcel;**;10;55.75;4;8.75;3;-1.25;8.5
-;6;18.5;Späti Jan;;16;54.25;6;18.5;0;0.0;8.75
+;9;27.25;Ancona Enea (2004);;16;54.25;10;27.0;1;-0.25;10.0
+;7;37.25;Gerber Manuel;*;15;54.5;8;37.0;1;-0.25;10.0
+;6;47.25;Grieder Nonda;;13;55.0;9;46.5;3;-0.75;9.75

6a;Hügli Kaj;**;;;;;;;;;56.75
o;;;Strebel Joel;***;;;;;;;8.5
+;5;8.5;Stoll Simon;**;6;56.75;4;8.75;-1;0.25;10.0
+;6;18.5;Grieder Nonda;;13;55.0;3;19.5;-3;1.0;10.0
o;4;28.5;Brun Samuel;**;3;57.75;5;28.25;1;-0.25;8.75
+;7;37.25;Christ Dario (2003);;7;56.5;5;38.0;-2;0.75;9.75
+;7;47.0;Burkhardt Roy;;12;55.25;8;46.75;1;-0.25;9.75

6b;Schmid David;***;;;;;;;;;56.75
-;;;Kropf Marcel;**;;;;;;;8.75
+;4;8.75;Brand Christian;**;10;55.75;2;9.75;-2;1.0;9.75
+;6;18.5;Bader Fabian;*;8;56.25;4;19.0;-2;0.5;9.75
+;5;28.25;Rüegger Aaron;*;9;56.0;4;28.5;-1;0.25;10.0
o;4;38.25;Alpiger Nick;***;1;59.75;1;40.0;-3;1.75;8.5
+;8;46.75;Schmutz Adrian;*;12;55.25;8;46.75;0;0.0;10.0

6c;Räbmatter Patrick;***;;;;;;;;;56.75
+;;;Schmutz Simon;*;;;;;;;10.0
