3578-2016-04-24_97_Zuger_Kantonal_Schwingfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
-;4;38.25;Schuler Philipp;**;9;56.0;4;38.25;0;0.0;8.75
+;7;47.0;Amgarten Martin;;15;54.5;11;46.0;4;-1.0;10.0

5d;Waser Dominik;**;;;;;;;;;57.0
o;;;Nötzli Reto;***;;;;;;;8.5
+;6;8.5;Eﬃnger Markus;*;24;35.5;6;8.5;0;0.0;10.0
+;7;18.5;Schöpfer Thomas;*;13;55.0;3;19.75;-4;1.25;10.0
+;5;28.5;Amgarten Martin;;15;54.5;5;28.5;0;0.0;9.75
-;4;38.25;Gwerder Dario;;4;57.25;3;38.5;-1;0.25;8.75
+;7;47.0;Heinzer Stefan;*;1;111.0;1;92.75;-6;45.75;10.0

6a;Grab Martin;***;;;;;;;;;56.75
+;;;Föhn Franz;**;;;;;;;10.0
+;2;10.0;Gwerder Guido;**;7;56.5;3;9.75;1;-0.25;9.75
-;3;19.75;Nötzli Reto;***;11;55.5;5;19.0;2;-0.75;8.75
+;5;28.5;Betschart Rainer;**;9;56.0;4;28.75;-1;0.25;9.75
+;4;38.25;Bieri Christian;*;5;57.0;3;38.5;-1;0.25;9.75
o;3;48.0;Schuler Christian;***;2;59.0;2;49.0;-1;1.0;8.75

6b;Gloggner Reto;**;;;;;;;;;56.75
o;;;Linggi Bruno;**;;;;;;;8.5
+;6;8.5;Föhn Pirmin;*;12;55.25;5;8.75;-1;0.25;9.75
+;8;18.25;Schürpf Guido;;16;54.25;6;18.75;-2;0.5;10.0
+;6;28.25;Gwerder Andreas;*;12;55.25;6;28.25;0;0.0;10.0
o;4;38.25;Gwerder Guido;**;7;56.5;5;38.0;1;-0.25;8.75
+;7;47.0;Grab Daniel;**;15;54.5;11;46.0;4;-1.0;9.75

6c;Reichmuth Pirmin;**;;;;;;;;;56.75
-;;;Nötzli Bruno;***;;;;;;;8.75
-;5;8.75;Blaser Theo;*;8;56.25;2;10.0;-3;1.25;8.75
+;11;17.5;Hirsiger Alexander;;21;53.0;7;18.5;-4;1.0;9.75
+;10;27.25;Heinzer Stefan;*;1;111.0;1;55.75;-9;28.5;9.75
+;9;37.0;Ulrich Marco;;11;55.5;9;37.0;0;0.0;10.0
+;7;47.0;Kennel Beat;*;11;55.5;8;46.75;1;-0.25;9.75

6d;Britschgi Melk;**;;;;;;;;;56.75
o;;;Schuler Christian;***;;;;;;;8.5
-;6;8.5;Fässler Cornel;*;12;55.25;4;9.0;-2;0.5;8.75
+;12;17.25;Küttel Samuel;;24;35.5;7;18.5;-5;1.25;10.0
+;10;27.25;Gwerder Beni;;15;54.5;10;27.25;0;0.0;9.75
+;9;37.0;Hösli Fritz;*;13;55.0;10;36.75;1;-0.25;10.0
+;7;47.0;Kessler Joel;;15;54.5;11;46.0;4;-1.0;9.75

6e;Küttel Pirmin;**;;;;;;;;;56.75
o;;;Inderbitzin Daniel;*;;;;;;;8.5
o;6;8.5;Fankhauser Reto;**;8;56.25;6;8.5;0;0.0;8.5
+;13;17.0;Heinzer Josef;;17;54.0;8;18.25;-5;1.25;10.0
+;11;27.0;Hurschler Adrian;;11;55.5;11;27.0;0;0.0;10.0
+;9;37.0;Elsener Adrian;**;11;55.5;8;37.25;-1;0.25;10.0
+;7;47.0;Luginbühl Hanspeter;**;12;55.25;8;46.75;1;-0.25;9.75

7a;Gwerder Guido;**;;;;;;;;;56.5
+;;;Muff Armin;**;;;;;;;9.75
o;3;9.75;Grab Martin;***;6;56.75;2;10.0;-1;0.25;8.5
+;8;18.25;Inderbitzin Urs;;24;35.5;7;18.5;-1;0.25;10.0
+;6;28.25;Baumann Marco;;14;54.75;9;27.5;3;-0.75;9.75
+;5;38.0;Gloggner Reto;**;6;56.75;4;38.25;-1;0.25;10.0
o;3;48.0;Laimbacher Philipp;***;3;57.5;5;47.5;2;-0.5;8.5

7b;Reichmuth Armin;*;;;;;;;;;56.5
+;;;Eﬃnger Markus;*;;;;;;;10.0
o;2;10.0;Imfeld Peter;***;32;27.0;6;8.5;4;-1.5;8.5
+;7;18.5;Schilter Daniel;;24;35.5;7;18.5;0;0.0;9.75
+;6;28.25;Heinzer Stefan;*;1;111.0;1;55.75;-5;27.5;9.75
+;5;38.0;Schöpfer Thomas;*;13;55.0;5;38.0;0;0.0;9.75
-;4;47.75;Gwerder Christian;**;11;55.5;8;46.75;4;-1.0;8.75

7c;Reichmuth Marco;*;;;;;;;;;56.5
-;;;Bürgler André;*;;;;;;;8.75
+;5;8.75;Betschart Silvan;*;18;53.75;6;8.5;1;-0.25;9.75
+;7;18.5;Hegner Ueli (1999);;16;54.25;7;18.5;0;0.0;10.0
-;5;28.5;Kälin Remo;*;12;55.25;4;28.75;-1;0.25;9.0
+;7;37.5;Gwerder Michael (2000);;16;54.25;8;37.25;1;-0.25;10.0
-;5;47.5;Linggi Bruno;**;9;56.0;7;47.0;2;-0.5;9.0

7d;Bürgler Lukas;;;;;;;;;;56.5
+;;;Lustenberger Josef;;;;;;;;9.75
+;3;9.75;Hurschler Michael;;12;55.25;2;10.0;-1;0.25;9.75
o;4;19.5;Muff Armin;**;15;54.5;7;18.5;3;-1.0;8.5
+;7;28.0;Andermatt Adrian;;10;55.75;6;28.25;-1;0.25;9.75
-;6;37.75;Nötzli Reto;***;11;55.5;10;36.75;4;-1.0;9.0
+;8;46.75;Zemp Thomas;*;11;55.5;7;47.0;-1;0.25;9.75

7e;Theiler Beat;*;;;;;;;;;56.5
-;;;Gwerder Christian;**;;;;;;;9.0
+;4;9.0;Schmid Köbi;;15;54.5;2;10.0;-2;1.0;10.0
o;5;19.0;Linggi Bruno;**;9;56.0;3;19.75;-2;0.75;8.5
+;9;27.5;Grab Daniel;**;15;54.5;9;27.5;0;0.0;10.0
+;7;37.5;Betschart Daniel;;14;54.75;7;37.5;0;0.0;10.0
-;5;47.5;Müllestein Mike;**;7;56.5;5;47.5;0;0.0;9.0

7f;Müllestein Mike;**;;;;;;;;;56.5
-;;;Bieri Marcel;**;;;;;;;8.75
+;5;8.75;Egli David;*;9;56.0;2;10.0;-3;1.25;9.75
+;7;18.5;Amgarten Martin;;15;54.5;2;20.0;-5;1.5;10.0
-;5;28.5;Blaser Theo;*;8;56.25;5;28.5;0;0.0;9.0
+;7;37.5;Muff Armin;**;15;54.5;8;37.25;1;-0.25;10.0
-;5;47.5;Theiler Beat;*;7;56.5;5;47.5;0;0.0;9.0

8a;Schuler Alex;**;;;;;;;;;56.25
-;;;Wyrsch Marco;*;;;;;;;8.75
+;5;8.75;Herger Matthias;**;8;56.25;5;8.75;0;0.0;9.75
+;7;18.5;Ulrich Marcel;;17;54.0;6;18.75;-1;0.25;10.0
+;5;28.5;Villiger Cyrill;*;12;55.25;5;28.5;0;0.0;10.0
-;3;38.5;Ulrich Andreas;***;4;57.25;3;38.5;0;0.0;8.75
-;6;47.25;Bircher Vital;*;10;55.75;8;46.75;2;-0.5;9.0

8b;Blaser Theo;*;;;;;;;;;56.25
+;;;Diethelm Albert;*;;;;;;;10.0
-;2;10.0;Reichmuth Pirmin;**;6;56.75;5;8.75;3;-1.25;8.75
+;6;18.75;Elsener Manuel;;17;54.0;3;19.75;-3;1.0;9.75
-;5;28.5;Müllestein Mike;**;7;56.5;5;28.5;0;0.0;9.0
+;7;37.5;Bucher Christian (1998);;10;55.75;7;37.5;0;0.0;10.0
o;5;47.5;Bieri Marcel;**;5;57.0;7;47.0;2;-0.5;8.75

8c;Steinauer Adrian;**;;;;;;;;;56.25
o;;;Lengacher Jonas;**;;;;;;;8.5
+;6;8.5;Briker Michael;*;11;55.5;3;9.75;-3;1.25;10.0
+;7;18.5;Blattmann Philipp (2000);;22;52.75;6;18.75;-1;0.25;10.0
-;5;28.5;Zemp Thomas;*;11;55.5;5;28.5;0;0.0;8.75
+;8;37.25;Kempf Damian;;17;54.0;10;36.75;2;-0.5;10.0
-;6;47.25;Wyrsch Marco;*;10;55.75;7;47.0;1;-0.25;9.0

8d;Fankhauser Reto;**;;;;;;;;;56.25
o;;;Höﬂiger Andreas;**;;;;;;;8.5
+;6;8.5;Küttel Pirmin;**;6;56.75;6;8.5;0;0.0;10.0
+;7;18.5;Lagler Christian;;13;55.0;6;18.75;-1;0.25;9.75
+;6;28.25;Schürpf Bruno;;16;54.25;5;28.5;-1;0.25;10.0
