3578-2016-04-24_97_Zuger_Kantonal_Schwingfest-ST

1a;Heinzer Stefan;*;;;;;;;;;111.0
+;12;45.75;Suter Paul;;16;54.25;12;45.75;0;0.0;9.75

12a;Bucher Roland;*;;;;;;;;;55.25
-;;;Föhn Pirmin;*;;;;;;;8.75
o;5;8.75;Kälin Remo;*;12;55.25;5;8.75;0;0.0;8.5
+;12;17.25;Ulrich Marco;;11;55.5;7;18.5;-5;1.25;9.75
+;11;27.0;Eﬃnger Peter;;24;35.5;11;27.0;0;0.0;9.75
+;10;36.75;Grab Martin jun. (1999);;18;53.75;10;36.75;0;0.0;9.75
-;9;46.5;Omlin Toni;*;11;55.5;8;46.75;-1;0.25;8.75

12b;Villiger Cyrill;*;;;;;;;;;55.25
+;;;Fink Bruno;*;;;;;;;10.0
-;2;10.0;Luginbühl Hanspeter;**;12;55.25;5;8.75;3;-1.25;8.75
+;6;18.75;Reichmuth Roland;;17;54.0;2;20.0;-4;1.25;9.75
o;5;28.5;Schuler Alex;**;8;56.25;5;28.5;0;0.0;8.5
+;9;37.0;Elsener Kilian;;13;55.0;11;36.5;2;-0.5;9.75
o;8;46.75;Nietlispach Pascal;**;4;57.25;6;47.25;-2;0.5;8.5

12c;Inderbitzin Daniel;*;;;;;;;;;55.25
+;;;Küttel Pirmin;**;;;;;;;10.0
-;2;10.0;Zemp Thomas;*;11;55.5;2;10.0;0;0.0;8.75
+;6;18.75;Bucher Christian (1998);;10;55.75;3;19.75;-3;1.0;10.0
-;4;28.75;Muff Armin;**;15;54.5;5;28.5;1;-0.25;8.75
-;7;37.5;Linggi Bruno;**;9;56.0;5;38.0;-2;0.5;8.75
-;10;46.25;Bucher Thomas;;13;55.0;11;46.0;1;-0.25;9.0

12d;Gwerder Andreas;*;;;;;;;;;55.25
o;;;Zimmermann Martin;*;;;;;;;8.5
+;6;8.5;Suter Beat;;13;55.0;2;10.0;-4;1.5;9.75
+;8;18.25;Widmer Thomas;;11;55.5;7;18.5;-1;0.25;10.0
o;6;28.25;Gloggner Reto;**;6;56.75;6;28.25;0;0.0;8.5
o;10;36.75;Bircher Vital;*;10;55.75;10;36.75;0;0.0;8.5
+;14;45.25;Supper Frederik;;18;53.75;14;45.25;0;0.0;10.0

12e;Fässler Cornel;*;;;;;;;;;55.25
-;;;Strebel Sandro;**;;;;;;;9.0
-;4;9.0;Britschgi Melk;**;6;56.75;6;8.5;2;-0.5;9.0
+;9;18.0;Schilliger Sven (2000);;24;35.5;7;18.5;-2;0.5;10.0
-;7;28.0;Schuler Daniel;;16;54.25;6;28.25;-1;0.25;9.0
o;9;37.0;Luginbühl Hanspeter;**;12;55.25;9;37.0;0;0.0;8.5
+;13;45.5;Schürpf Bruno;;16;54.25;13;45.5;0;0.0;9.75

12f;Luginbühl Hanspeter;**;;;;;;;;;55.25
-;;;Laimbacher Philipp;***;;;;;;;8.75
-;5;8.75;Villiger Cyrill;*;12;55.25;2;10.0;-3;1.25;8.75
+;11;17.5;Suter Pirmin;;21;53.0;7;18.5;-4;1.0;9.75
+;10;27.25;Märchy Sepp;;18;53.75;9;27.5;-1;0.25;9.75
+;9;37.0;Fässler Cornel;*;12;55.25;9;37.0;0;0.0;9.75
o;8;46.75;Küttel Pirmin;**;6;56.75;7;47.0;-1;0.25;8.5

12g;Bisig Thomas;**;;;;;;;;;55.25
o;;;Heinzer Stefan;*;;;;;;;8.5
o;6;8.5;Muff Armin;**;15;54.5;6;8.5;0;0.0;8.5
+;13;17.0;Lustenberger Josef;;25;35.25;8;18.25;-5;1.25;10.0
+;11;27.0;Bruhin Fredi;;20;53.25;9;27.5;-2;0.5;9.75
+;10;36.75;Suter Pirmin;;21;53.0;13;36.0;3;-0.75;10.0
o;8;46.75;Ulrich Andreas;***;4;57.25;6;47.25;-2;0.5;8.5

12h;Schindler Thomas;;;;;;;;;;55.25
+;;;Arnold Lukas (1998);;;;;;;;10.0
o;2;10.0;Amgarten Martin;;15;54.5;2;10.0;0;0.0;8.5
o;7;18.5;Briker Michael;*;11;55.5;8;18.25;1;-0.25;8.5
+;11;27.0;Gut Koni;;16;54.25;11;27.0;0;0.0;10.0
+;9;37.0;Föhn Pirmin;*;12;55.25;10;36.75;1;-0.25;9.75
o;8;46.75;Gwerder Dario;;4;57.25;6;47.25;-2;0.5;8.5

12i;Hurschler Michael;;;;;;;;;;55.25
+;;;Schuler Koni;;;;;;;;10.0
o;2;10.0;Bürgler Lukas;;7;56.5;3;9.75;1;-0.25;8.5
o;7;18.5;Höﬂiger Andreas;**;5;57.0;8;18.25;1;-0.25;8.5
-;11;27.0;Hegner Ueli (1999);;16;54.25;11;27.0;0;0.0;8.75
+;14;35.75;Reichmuth Lukas (2000);;22;52.75;14;35.75;0;0.0;9.75
+;13;45.5;Betschart Silvan;*;18;53.75;14;45.25;1;-0.25;9.75

12j;Föhn Pirmin;*;;;;;;;;;55.25
-;;;Bucher Roland;*;;;;;;;8.75
o;5;8.75;Gloggner Reto;**;6;56.75;6;8.5;1;-0.25;8.5
+;12;17.25;Betschart Marcel;;15;54.5;7;18.5;-5;1.25;9.75
+;11;27.0;Schelbert Roman;;27;34.75;14;26.25;3;-0.75;9.75
o;10;36.75;Schindler Thomas;;12;55.25;9;37.0;-1;0.25;8.75
+;13;45.5;Schuler Daniel;;16;54.25;12;45.75;-1;0.25;9.75

12k;Kälin Remo;*;;;;;;;;;55.25
-;;;Elsener Peter;**;;;;;;;8.75
+;5;8.75;Bucher Roland;*;12;55.25;5;8.75;0;0.0;10.0
+;6;18.75;Andermatt Adrian;;10;55.75;3;19.75;-3;1.0;10.0
-;4;28.75;Reichmuth Marco;*;7;56.5;5;28.5;1;-0.25;8.75
-;7;37.5;Suter Beat;;13;55.0;7;37.5;0;0.0;9.0
-;9;46.5;Fankhauser Reto;**;8;56.25;6;47.25;-3;0.75;8.75

13a;Nauer Robin;;;;;;;;;;55.0
+;;;Durrer Fabian (1999);;;;;;;;9.75
+;3;9.75;Schuler Thomas;;20;53.25;5;8.75;2;-1.0;9.75
o;4;19.5;Schuler Philipp;**;9;56.0;7;18.5;3;-1.0;8.5
o;7;28.0;Elsener Adrian;**;11;55.5;9;27.5;2;-0.5;8.5
-;11;36.5;Andermatt Adrian;;10;55.75;9;37.0;-2;0.5;8.75
+;14;45.25;Reichmuth Roland;;17;54.0;13;45.5;-1;0.25;9.75

13b;Bucher Thomas;;;;;;;;;;55.0
+;;;Stutzer Michael (1999);;;;;;;;9.75
-;3;9.75;Arnold Marcel;;19;53.5;3;9.75;0;0.0;9.0
o;6;18.75;Hasler Florian;**;11;55.5;7;18.5;1;-0.25;8.75
+;9;27.5;Fink Bruno;*;16;54.25;10;27.25;1;-0.25;9.75
-;8;37.25;Schuler Daniel;;16;54.25;9;37.0;1;-0.25;8.75
-;11;46.0;Inderbitzin Daniel;*;12;55.25;10;46.25;-1;0.25;9.0

13c;Lagler Christian;;;;;;;;;;55.0
+;;;Müller Dominik;;;;;;;;9.75
-;3;9.75;Elsener Kilian;;13;55.0;5;8.75;2;-1.0;9.0
o;6;18.75;Fankhauser Reto;**;8;56.25;7;18.5;1;-0.25;8.5
-;10;27.25;Herger Matthias;**;8;56.25;10;27.25;0;0.0;9.0
-;12;36.25;Supper Frederik;;18;53.75;11;36.5;-1;0.25;8.75
+;15;45.0;Egli Christian;;19;53.5;15;45.0;0;0.0;10.0

13d;Forster Christian;;;;;;;;;;55.0
o;;;Andermatt Adrian;;;;;;;;8.5
o;6;8.5;Klauser Nico;;25;35.25;6;8.5;0;0.0;8.5
+;13;17.0;Röllin Matthias (2000);;25;35.25;13;17.0;0;0.0;9.75
+;12;26.75;Zimmermann Fabian;;25;35.25;12;26.75;0;0.0;10.0
o;10;36.75;Betschart Rainer;**;9;56.0;8;37.25;-2;0.5;8.5
+;14;45.25;Zimmermann Reto (1998);;18;53.75;14;45.25;0;0.0;9.75

13e;Ambühl Joel (1998);;;;;;;;;;55.0
+;;;Schürpf Guido;;;;;;;;9.75
-;3;9.75;Lüönd Andreas;**;14;54.75;5;8.75;2;-1.0;8.75
o;7;18.5;Heinzer Stefan;*;1;111.0;1;37.0;-6;18.5;8.5
+;11;27.0;Küttel Samuel;;24;35.5;11;27.0;0;0.0;9.75
o;10;36.75;Gwerder Christian;**;11;55.5;10;36.75;0;0.0;8.5
+;14;45.25;Arnold Marcel;;19;53.5;15;45.0;1;-0.25;9.75

13f;Schöpfer Thomas;*;;;;;;;;;55.0
+;;;Diener Pirmin;*;;;;;;;9.75
+;3;9.75;Bircher Vital;*;10;55.75;6;8.5;3;-1.25;10.0
o;3;19.75;Waser Dominik;**;5;57.0;7;18.5;4;-1.25;8.5
+;6;28.25;Reichmuth Roland;;17;54.0;5;28.5;-1;0.25;9.75
o;5;38.0;Reichmuth Armin;*;7;56.5;5;38.0;0;0.0;8.5
o;9;46.5;Schelbert Ralf;**;4;57.25;6;47.25;-3;0.75;8.5

13g;Elsener Kilian;;;;;;;;;;55.0
-;;;Bruhin Fredi;;;;;;;;8.75
-;5;8.75;Lagler Christian;;13;55.0;3;9.75;-2;1.0;9.0
-;10;17.75;Schelbert Roman;;27;34.75;11;17.5;1;-0.25;8.75
+;13;26.5;Cotting Ivo (1999);;25;35.25;12;26.75;-1;0.25;10.0
o;11;36.5;Villiger Cyrill;*;12;55.25;9;37.0;-2;0.5;8.5
+;15;45.0;Zimmermann Armin;;20;53.25;17;44.5;2;-0.5;10.0

13h;Suter Beat;;;;;;;;;;55.0
+;;;Zimmermann Armin;;;;;;;;10.0
o;2;10.0;Gwerder Andreas;*;12;55.25;6;8.5;4;-1.5;8.75
o;6;18.75;Bürgler André;*;16;54.25;10;17.75;4;-1.0;8.75
+;9;27.5;Ulrich Marcel;;17;54.0;10;27.25;1;-0.25;10.0
-;7;37.5;Kälin Remo;*;12;55.25;7;37.5;0;0.0;9.0
o;9;46.5;Heinzer Stefan;*;1;111.0;1;92.75;-8;46.25;8.5

13i;Nötzli Bruno;***;;;;;;;;;55.0
-;;;Reichmuth Pirmin;**;;;;;;;8.75
+;5;8.75;Zimmermann Martin;*;11;55.5;2;10.0;-3;1.25;10.0
o;6;18.75;Schuler Christian;***;2;59.0;4;19.5;-2;0.75;8.5
-;10;27.25;Omlin Toni;*;11;55.5;7;28.0;-3;0.75;8.75
+;13;36.0;Zimmermann Daniel;*;15;54.5;9;37.0;-4;1.0;10.0
-;11;46.0;Muff Armin;**;15;54.5;12;45.75;1;-0.25;9.0

13j;Hösli Fritz;*;;;;;;;;;55.0
o;;;Hasler Florian;**;;;;;;;8.5
-;6;8.5;Imboden Roger;**;15;54.5;6;8.5;0;0.0;8.75
+;12;17.25;Burkhalter Daniel (1999);;25;35.25;8;18.25;-4;1.0;9.75
+;11;27.0;Thierstein Marco;;15;54.5;10;27.25;-1;0.25;9.75
o;10;36.75;Britschgi Melk;**;6;56.75;9;37.0;-1;0.25;8.5
+;14;45.25;Bingisser Roman;;17;54.0;13;45.5;-1;0.25;9.75

14a;Betschart Patrick (1999);;;;;;;;;;54.75
o;;;Elsener Manuel;;;;;;;;8.5
+;6;8.5;Andermatt Elvin;;30;34.0;6;8.5;0;0.0;9.75
o;8;18.25;Herger Matthias;**;8;56.25;12;17.25;4;-1.0;8.5
+;12;26.75;Klauser Nico;;25;35.25;12;26.75;0;0.0;9.75
+;11;36.5;Betschart Silvan;*;18;53.75;10;36.75;-1;0.25;9.75
o;10;46.25;Bieri Christian;*;5;57.0;7;47.0;-3;0.75;8.5

14b;Elsener Peter;**;;;;;;;;;54.75
-;;;Kälin Remo;*;;;;;;;8.75
-;5;8.75;Grab Daniel;**;15;54.5;5;8.75;0;0.0;9.0
+;10;17.75;Grab Martin jun. (1999);;18;53.75;7;18.5;-3;0.75;9.75
-;9;27.5;Gwerder Michael (2000);;16;54.25;6;28.25;-3;0.75;9.0
+;11;36.5;Diener Pirmin;*;16;54.25;10;36.75;-1;0.25;9.75
o;10;46.25;Egli David;*;9;56.0;11;46.0;1;-0.25;8.5

14c;Baumann Marco;;;;;;;;;;54.75
o;;;Ulrich Marco;;;;;;;;8.75
+;5;8.75;Bingisser Roman;;17;54.0;5;8.75;0;0.0;9.75
-;7;18.5;Strebel Sandro;**;25;35.25;11;17.5;4;-1.0;9.0
o;9;27.5;Gwerder Guido;**;7;56.5;6;28.25;-3;0.75;8.5
-;13;36.0;Gwerder Dominik;;18;53.75;11;36.5;-2;0.5;8.75
+;16;44.75;Bruhin Fredi;;20;53.25;16;44.75;0;0.0;10.0

14d;Lüönd Andreas;**;;;;;;;;;54.75
-;;;Gwerder Carlo;**;;;;;;;8.75
-;5;8.75;Ambühl Joel (1998);;13;55.0;3;9.75;-2;1.0;8.75
-;11;17.5;Schärli Lukas;**;26;35.0;11;17.5;0;0.0;8.75
+;14;26.25;Arnold Lukas (1998);;24;35.5;11;27.0;-3;0.75;9.75
-;13;36.0;Schuler Thomas;;20;53.25;13;36.0;0;0.0;8.75
+;16;44.75;Fischer Tobias;;22;52.75;18;44.25;2;-0.5;10.0

14e;Beffa Mario;;;;;;;;;;54.75
-;;;Gut Koni;;;;;;;;8.75
-;5;8.75;Baumann Lukas;;16;54.25;5;8.75;0;0.0;8.75
o;11;17.5;Betschart Daniel;;14;54.75;11;17.5;0;0.0;8.5
+;15;26.0;Schmid Pirmin (2000);;29;34.25;16;25.75;1;-0.25;10.0
-;13;36.0;Imboden Roger;**;15;54.5;14;35.75;1;-0.25;8.75
+;16;44.75;Bär Leo;;20;53.25;16;44.75;0;0.0;10.0

14f;Kenel Franz-Toni;*;;;;;;;;;54.75
-;;;Schärli Lukas;**;;;;;;;8.75
o;5;8.75;Omlin Toni;*;11;55.5;6;8.5;1;-0.25;8.5
+;12;17.25;Hurschler Adrian;;11;55.5;7;18.5;-5;1.25;10.0
-;10;27.25;Schürpf Guido;;16;54.25;9;27.5;-1;0.25;8.75
-;13;36.0;Heinzer Josef;;17;54.0;11;36.5;-2;0.5;8.75
+;16;44.75;Hirsiger Alexander;;21;53.0;17;44.5;1;-0.25;10.0

14g;Betschart Daniel;;;;;;;;;;54.75
-;;;Schmid Köbi;;;;;;;;8.75
-;5;8.75;Küttel Samuel;;24;35.5;3;9.75;-2;1.0;8.75
+;11;17.5;Beffa Mario;;14;54.75;11;17.5;0;0.0;10.0
+;9;27.5;Bättig Martin;*;24;35.5;11;27.0;2;-0.5;10.0
o;7;37.5;Theiler Beat;*;7;56.5;7;37.5;0;0.0;8.5
-;11;46.0;Föhn Franz;**;14;54.75;11;46.0;0;0.0;8.75

14h;Föhn Franz;**;;;;;;;;;54.75
o;;;Grab Martin;***;;;;;;;8.5
+;6;8.5;Fassbind René;*;15;54.5;6;8.5;0;0.0;10.0
-;7;18.5;Schürpf Bruno;;16;54.25;3;19.75;-4;1.25;9.0
+;9;27.5;Gwerder Dominik;;18;53.75;7;28.0;-2;0.5;9.75
-;8;37.25;Kennel Stefan;*;14;54.75;7;37.5;-1;0.25;8.75
-;11;46.0;Betschart Daniel;;14;54.75;11;46.0;0;0.0;8.75

14i;Kennel Stefan;*;;;;;;;;;54.75
+;;;Omlin Toni;*;;;;;;;10.0
-;2;10.0;Nötzli Reto;***;11;55.5;2;10.0;0;0.0;9.0
o;5;19.0;Gwerder Dario;;4;57.25;2;20.0;-3;1.0;8.5
+;9;27.5;Blattmann Philipp (2000);;22;52.75;10;27.25;1;-0.25;10.0
-;7;37.5;Föhn Franz;**;14;54.75;8;37.25;1;-0.25;8.75
o;10;46.25;Bucher Christian (1998);;10;55.75;11;46.0;1;-0.25;8.5

15a;Elsener Marcel;;;;;;;;;;54.5
+;;;Heinzer Josef;;;;;;;;9.75
-;3;9.75;Eﬃnger Peter;;24;35.5;3;9.75;0;0.0;8.75
o;7;18.5;Gwerder Carlo;**;10;55.75;12;17.25;5;-1.25;8.5
-;11;27.0;Tschan Matthias;;21;53.0;11;27.0;0;0.0;8.75
+;14;35.75;Ulrich Marcel;;17;54.0;14;35.75;0;0.0;10.0
o;12;45.75;Briker Michael;*;11;55.5;12;45.75;0;0.0;8.75

15b;Fassbind René;*;;;;;;;;;54.5
o;;;Zemp Thomas;*;;;;;;;8.5
o;6;8.5;Föhn Franz;**;14;54.75;6;8.5;0;0.0;8.5
+;13;17.0;Egli Christian;;19;53.5;8;18.25;-5;1.25;10.0
-;11;27.0;Imfeld Beat;;21;53.0;9;27.5;-2;0.5;9.0
-;13;36.0;Widmer Thomas;;11;55.5;10;36.75;-3;0.75;8.75
+;16;44.75;Schuler Thomas;;20;53.25;16;44.75;0;0.0;9.75

15c;Schmid Köbi;;;;;;;;;;54.5
+;;;Egli Christian;;;;;;;;10.0
-;2;10.0;Betschart Daniel;;14;54.75;5;8.75;3;-1.25;8.75
o;6;18.75;Theiler Beat;*;7;56.5;5;19.0;-1;0.25;8.5
-;10;27.25;Corvi Dominik;;17;54.0;10;27.25;0;0.0;9.0
o;12;36.25;Gwerder Carlo;**;10;55.75;13;36.0;1;-0.25;8.5
+;16;44.75;Imfeld Beat;;21;53.0;17;44.5;1;-0.25;9.75

15d;Grab Daniel;**;;;;;;;;;54.5
-;;;Betschart Rainer;**;;;;;;;8.75
-;5;8.75;Elsener Peter;**;14;54.75;5;8.75;0;0.0;9.0
+;10;17.75;Tschan Matthias;;21;53.0;7;18.5;-3;0.75;9.75
o;9;27.5;Theiler Beat;*;7;56.5;9;27.5;0;0.0;8.5
+;13;36.0;Zimmermann Reto (1998);;18;53.75;10;36.75;-3;0.75;10.0
o;11;46.0;Gloggner Reto;**;6;56.75;7;47.0;-4;1.0;8.5

15e;Zimmermann Daniel;*;;;;;;;;;54.5
o;;;Bieri Christian;*;;;;;;;8.5
-;6;8.5;Moos Christoph;;11;55.5;2;10.0;-4;1.5;8.75
+;12;17.25;Klauser Nico;;25;35.25;8;18.25;-4;1.0;9.75
+;11;27.0;Hürlimann Mathias (2000);;21;53.0;10;27.25;-1;0.25;10.0
o;9;37.0;Nötzli Bruno;***;13;55.0;13;36.0;4;-1.0;8.5
-;13;45.5;Schürpf Guido;;16;54.25;14;45.25;1;-0.25;9.0

15f;Thierstein Marco;;;;;;;;;;54.5
o;;;Suter Paul;;;;;;;;8.5
-;6;8.5;Märchy Sepp;;18;53.75;6;8.5;0;0.0;8.75
+;12;17.25;Keller Janik;;33;26.0;12;17.25;0;0.0;10.0
o;10;27.25;Hösli Fritz;*;13;55.0;11;27.0;1;-0.25;8.5
+;14;35.75;Hegner Ueli (1999);;16;54.25;14;35.75;0;0.0;9.75
-;13;45.5;Bürgler André;*;16;54.25;14;45.25;1;-0.25;9.0

15g;Kessler Joel;;;;;;;;;;54.5
+;;;Meier Andreas;;;;;;;;10.0
+;2;10.0;Betschart Marcel;;15;54.5;2;10.0;0;0.0;10.0
o;2;20.0;Bieri Marcel;**;5;57.0;6;18.75;4;-1.25;8.5
-;5;28.5;Bucher Christian (1998);;10;55.75;5;28.5;0;0.0;9.0
o;7;37.5;Nietlispach Pascal;**;4;57.25;8;37.25;1;-0.25;8.5
o;11;46.0;Britschgi Melk;**;6;56.75;7;47.0;-4;1.0;8.5

15h;Imboden Roger;**;;;;;;;;;54.5
o;;;Schelbert Ralf;**;;;;;;;8.5
-;6;8.5;Hösli Fritz;*;13;55.0;6;8.5;0;0.0;8.75
+;12;17.25;Neyer Sven;;17;54.0;7;18.5;-5;1.25;9.75
-;11;27.0;Schuler Thomas;;20;53.25;10;27.25;-1;0.25;8.75
-;14;35.75;Beffa Mario;;14;54.75;13;36.0;-1;0.25;8.75
+;17;44.5;Reichmuth Lukas (2000);;22;52.75;18;44.25;1;-0.25;10.0

15i;Betschart Marcel;;;;;;;;;;54.5
+;;;Reichmuth Lukas (2000);;;;;;;;10.0
o;2;10.0;Kessler Joel;;15;54.5;2;10.0;0;0.0;8.5
o;7;18.5;Föhn Pirmin;*;12;55.25;12;17.25;5;-1.25;8.75
-;10;27.25;Suter Pirmin;;21;53.0;11;27.0;1;-0.25;9.0
+;12;36.25;Zimmermann Armin;;20;53.25;13;36.0;1;-0.25;9.75
o;11;46.0;Kälin Roland;**;10;55.75;11;46.0;0;0.0;8.5

15j;Amgarten Martin;;;;;;;;;;54.5
+;;;Märchy Sepp;;;;;;;;10.0
+;2;10.0;Schindler Thomas;;12;55.25;2;10.0;0;0.0;10.0
o;2;20.0;Müllestein Mike;**;7;56.5;7;18.5;5;-1.5;8.5
o;5;28.5;Waser Dominik;**;5;57.0;5;28.5;0;0.0;8.5
-;9;37.0;Schürpf Guido;;16;54.25;12;36.25;3;-0.75;9.0
o;11;46.0;Höﬂiger Andreas;**;5;57.0;7;47.0;-4;1.0;8.5

15k;Gwerder Beni;;;;;;;;;;54.5
+;;;Rogenmoser Ryan (1999);;;;;;;;10.0
o;2;10.0;Elsener Manuel;;17;54.0;2;10.0;0;0.0;8.5
o;7;18.5;Elsener Adrian;**;11;55.5;10;17.75;3;-0.75;8.75
o;10;27.25;Britschgi Melk;**;6;56.75;10;27.25;0;0.0;8.5
-;14;35.75;Hirsiger Alexander;;21;53.0;14;35.75;0;0.0;8.75
+;17;44.5;Tschan Matthias;;21;53.0;17;44.5;0;0.0;10.0

15l;Muff Armin;**;;;;;;;;;54.5
o;;;Gwerder Guido;**;;;;;;;8.5
+;6;8.5;Bisig Thomas;**;12;55.25;6;8.5;0;0.0;10.0
+;7;18.5;Bürgler Lukas;;7;56.5;4;19.5;-3;1.0;10.0
-;5;28.5;Inderbitzin Daniel;*;12;55.25;4;28.75;-1;0.25;8.75
o;8;37.25;Müllestein Mike;**;7;56.5;7;37.5;-1;0.25;8.5
-;12;45.75;Nötzli Bruno;***;13;55.0;11;46.0;-1;0.25;8.75

16a;Schuler Daniel;;;;;;;;;;54.25
+;;;Andermatt Elvin;;;;;;;;9.75
+;3;9.75;Schilliger Sven (2000);;24;35.5;2;10.0;-1;0.25;9.75
-;4;19.5;Imfeld Peter;***;32;27.0;8;18.25;4;-1.25;8.75
-;6;28.25;Fässler Cornel;*;12;55.25;7;28.0;1;-0.25;8.75
-;9;37.0;Bucher Thomas;;13;55.0;8;37.25;-1;0.25;8.75
o;12;45.75;Föhn Pirmin;*;12;55.25;13;45.5;1;-0.25;8.5

16b;Baumann Lukas;;;;;;;;;;54.25
-;;;Heinzer Florian;;;;;;;;8.75
-;5;8.75;Beffa Mario;;14;54.75;5;8.75;0;0.0;8.75
+;11;17.5;Bürgi Tobias;;16;54.25;12;17.25;1;-0.25;9.75
-;10;27.25;Schärli Lukas;**;26;35.0;14;26.25;4;-1.0;8.75
o;13;36.0;Omlin Toni;*;11;55.5;10;36.75;-3;0.75;8.5
+;17;44.5;Suter Pirmin;;21;53.0;17;44.5;0;0.0;9.75

16c;Schürpf Bruno;;;;;;;;;;54.25
+;;;Tschan Matthias;;;;;;;;9.75
+;3;9.75;Gabriel Christian (2000);;24;35.5;2;10.0;-1;0.25;10.0
-;3;19.75;Föhn Franz;**;14;54.75;7;18.5;4;-1.25;8.75
o;5;28.5;Fankhauser Reto;**;8;56.25;6;28.25;1;-0.25;8.5
o;9;37.0;Bieri Marcel;**;5;57.0;8;37.25;-1;0.25;8.5
o;13;45.5;Fässler Cornel;*;12;55.25;13;45.5;0;0.0;8.75

16d;Gut Koni;;;;;;;;;;54.25
-;;;Beffa Mario;;;;;;;;8.75
+;5;8.75;Birchler Fabian (2000);;25;35.25;3;9.75;-2;1.0;9.75
o;7;18.5;Kälin Roland;**;10;55.75;7;18.5;0;0.0;8.5
o;11;27.0;Schindler Thomas;;12;55.25;11;27.0;0;0.0;8.75
+;14;35.75;Blattmann Philipp (2000);;22;52.75;14;35.75;0;0.0;10.0
o;12;45.75;Gwerder Carlo;**;10;55.75;12;45.75;0;0.0;8.5

16e;Müller Dominik;;;;;;;;;;54.25
o;;;Lagler Christian;;;;;;;;8.5
o;6;8.5;Heinzer Florian;;23;35.75;5;8.75;-1;0.25;8.5
-;13;17.0;Reichmuth Lukas (2000);;22;52.75;13;17.0;0;0.0;8.75
+;16;25.75;Weber Manuel (1999);;29;34.25;16;25.75;0;0.0;10.0
o;14;35.75;Fink Bruno;*;16;54.25;14;35.75;0;0.0;8.5
+;18;44.25;Gwerder Dominik;;18;53.75;14;45.25;-4;1.0;10.0

16f;Gwerder Michael (2000);;;;;;;;;;54.25
+;;;Klauser Nico;;;;;;;;9.75
+;3;9.75;Supper Frederik;;18;53.75;3;9.75;0;0.0;10.0
o;3;19.75;Nietlispach Pascal;**;4;57.25;6;18.75;3;-1.0;8.5
-;6;28.25;Elsener Peter;**;14;54.75;9;27.5;3;-0.75;9.0
o;8;37.25;Reichmuth Marco;*;7;56.5;7;37.5;-1;0.25;8.5
o;12;45.75;Moos Christoph;;11;55.5;12;45.75;0;0.0;8.5

16g;Durrer Fabian (1999);;;;;;;;;;54.25
o;;;Nauer Robin;;;;;;;;8.5
+;6;8.5;Zimmermann Fabian;;25;35.25;6;8.5;0;0.0;9.75
o;8;18.25;Eﬃnger Markus;*;24;35.5;13;17.0;5;-1.25;8.5
+;12;26.75;Burkhalter Daniel (1999);;25;35.25;12;26.75;0;0.0;10.0
o;10;36.75;Kennel Beat;*;11;55.5;10;36.75;0;0.0;8.5
-;14;45.25;Diener Pirmin;*;16;54.25;14;45.25;0;0.0;9.0

16h;Bürgler André;*;;;;;;;;;54.25
-;;;Reichmuth Marco;*;;;;;;;8.75
-;5;8.75;Elsener Adrian;**;11;55.5;5;8.75;0;0.0;9.0
+;10;17.75;Suter Beat;;13;55.0;6;18.75;-4;1.0;10.0
-;8;27.75;Zimmermann Martin;*;11;55.5;6;28.25;-2;0.5;8.75
-;11;36.5;Bruhin Fredi;;20;53.25;13;36.0;2;-0.5;8.75
-;14;45.25;Thierstein Marco;;15;54.5;13;45.5;-1;0.25;9.0

16i;Diener Pirmin;*;;;;;;;;;54.25
o;;;Schöpfer Thomas;*;;;;;;;8.5
o;6;8.5;Bucher Christian (1998);;10;55.75;3;9.75;-3;1.25;8.5
+;13;17.0;Staub Devin (1998);;25;35.25;8;18.25;-5;1.25;9.75
+;12;26.75;Rogenmoser Ryan (1999);;22;52.75;10;27.25;-2;0.5;10.0
o;10;36.75;Elsener Peter;**;14;54.75;11;36.5;1;-0.25;8.5
-;14;45.25;Durrer Fabian (1999);;16;54.25;14;45.25;0;0.0;9.0

16j;Fink Bruno;*;;;;;;;;;54.25
o;;;Villiger Cyrill;*;;;;;;;8.75
o;5;8.75;Bieri Marcel;**;5;57.0;5;8.75;0;0.0;8.5
+;12;17.25;Eﬃnger Peter;;24;35.5;7;18.5;-5;1.25;10.0
o;10;27.25;Bucher Thomas;;13;55.0;9;27.5;-1;0.25;8.5
+;14;35.75;Müller Dominik;;16;54.25;14;35.75;0;0.0;10.0
o;12;45.75;Nötzli Reto;***;11;55.5;12;45.75;0;0.0;8.5

16k;Hegner Ueli (1999);;;;;;;;;;54.25
o;;;Reichmuth Roland;;;;;;;;8.5
+;6;8.5;Blattmann Jonas (1999);;30;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Reichmuth Marco;*;7;56.5;7;18.5;0;0.0;8.5
-;11;27.0;Hurschler Michael;;12;55.25;11;27.0;0;0.0;8.75
o;14;35.75;Thierstein Marco;;15;54.5;14;35.75;0;0.0;8.5
+;18;44.25;Hürlimann Mathias (2000);;21;53.0;17;44.5;-1;0.25;10.0

16l;Suter Paul;;;;;;;;;;54.25
+;;;Thierstein Marco;;;;;;;;10.0
+;2;10.0;Hurschler Adrian;;11;55.5;2;10.0;0;0.0;10.0
o;2;20.0;Betschart Rainer;**;9;56.0;6;18.75;4;-1.25;8.5
