3975-2017-07-30_124_Bruenigschwinget-ST

1a;Reusser Philipp;***;;;;;;;;;57.25
o;4;8.75;Roschi Ruedi;**;10;55.0;4;8.75;0;0.0;8.5
+;10;17.25;Steffen Gustav;*;9;55.25;5;18.5;-5;1.25;10.0
-;8;27.25;Schenk Patrick;***;12;54.5;8;27.25;0;0.0;9.0
o;10;36.25;Steffen Konrad;*;12;54.5;11;36.0;1;-0.25;8.5
+;15;44.75;Schletti Andreas;*;20;52.5;18;44.0;3;-0.75;9.75

12d;Kid Simon;**;;;;;;;;;54.5
+;;;Höfliger Andreas;**;;;;;;;10.0
+;1;10.0;Schurtenberger Sven;***;3;56.75;5;8.5;4;-1.5;9.75
o;2;19.75;Aeschbacher Matthias;**;2;57.0;3;19.5;1;-0.25;8.5
-;5;28.25;Weyermann Florian;*;8;55.5;5;28.25;0;0.0;8.75
-;7;37.0;Bürli Roger;**;11;54.75;7;37.0;0;0.0;8.75
-;11;45.75;Zimmermann Martin;**;12;54.5;11;45.75;0;0.0;8.75

12e;Ramseier Fritz;**;;;;;;;;;54.5
+;;;Bieri Christian;**;;;;;;;9.75
-;2;9.75;Schuler Alex;***;21;46.25;4;8.75;2;-1.0;8.75
-;5;18.5;Zimmermann Martin;**;12;54.5;5;18.5;0;0.0;8.75
+;8;27.25;Gwerder Michael (2000);*;16;53.5;8;27.25;0;0.0;10.0
o;6;37.25;Gloggner Reto;**;10;55.0;8;36.75;2;-0.5;8.5
-;11;45.75;Bürli Roger;**;11;54.75;11;45.75;0;0.0;8.75

12f;Gehrig Damian;***;;;;;;;;;54.5
o;;;Hersche Martin;***;;;;;;;8.5
-;5;8.5;Ettlin Stefan;*;17;53.25;2;9.75;-3;1.25;9.0
o;9;17.5;Brun Jonas;**;6;56.0;5;18.5;-4;1.0;8.5
+;13;26.0;Kennel Beat;*;14;54.0;9;27.0;-4;1.0;10.0
+;11;36.0;Odermatt Andreas;*;17;53.25;11;36.0;0;0.0;10.0
o;10;46.0;Fankhauser Marco;**;5;56.25;9;46.25;-1;0.25;8.5

12g;Orlik Curdin;**;;;;;;;;;54.5
-;;;Schuler Philipp;**;;;;;;;8.75
+;4;8.75;Vonlaufen Alexander;**;11;54.75;4;8.75;0;0.0;9.75
-;5;18.5;von Ah Benji;***;6;56.0;5;18.5;0;0.0;8.75
-;8;27.25;Omlin Toni;*;11;54.75;8;27.25;0;0.0;8.75
o;11;36.0;Kälin Roland;**;11;54.75;10;36.25;-1;0.25;8.5
+;16;44.5;Binggeli Stefan;*;18;53.0;16;44.5;0;0.0;10.0

12h;Steffen Konrad;*;;;;;;;;;54.5
o;;;Murer Andy;**;;;;;;;8.5
o;5;8.5;Kälin Roland;**;11;54.75;4;8.75;-1;0.25;8.75
+;10;17.25;Bürgi Reto;*;26;34.75;9;17.5;-1;0.25;10.0
-;8;27.25;Hurschler Thomas;**;17;53.25;7;27.5;-1;0.25;8.75
+;11;36.0;Eugster Ruedi;**;12;54.5;10;36.25;-1;0.25;10.0
o;10;46.0;Rychen Roger;***;3;56.75;6;47.0;-4;1.0;8.5

12i;Leuppi Samir;**;;;;;;;;;54.5
o;;;Aeschbacher Matthias;**;;;;;;;8.5
+;5;8.5;Wenger Marcel (1999);*;24;35.25;2;9.75;-3;1.25;10.0
+;5;18.5;Wyrsch Marco;**;14;54.0;5;18.5;0;0.0;9.75
-;5;28.25;Nötzli Reto;***;8;55.5;4;28.5;-1;0.25;9.0
o;6;37.25;Bieri Marcel;**;5;56.25;8;36.75;2;-0.5;8.5
-;11;45.75;Vogel Remo;**;12;54.5;11;45.75;0;0.0;8.75

12j;Schenk Patrick;***;;;;;;;;;54.5
-;;;Fankhauser Erich;***;;;;;;;8.75
+;4;8.75;Gwerder Michael (2000);*;16;53.5;1;10.0;-3;1.25;9.75
o;5;18.5;Steinauer Adrian;**;7;55.75;4;18.75;-1;0.25;8.75
-;8;27.25;Eugster Ruedi;**;12;54.5;8;27.25;0;0.0;9.0
+;10;36.25;Rohrer Ivan;**;10;55.0;9;36.5;-1;0.25;9.75
o;10;46.0;Bieri Marcel;**;5;56.25;8;46.5;-2;0.5;8.5

13a;Rolli Martin;**;;;;;;;;;54.25
o;;;Hasler Florian;**;;;;;;;8.75
o;4;8.75;Arnold Stefan;**;6;56.0;4;8.75;0;0.0;8.5
+;10;17.25;Wickli Beat;**;24;35.25;6;18.25;-4;1.0;10.0
o;8;27.25;Schuler Alex;***;21;46.25;8;27.25;0;0.0;8.5
+;12;35.75;Reichmuth Armin;*;13;54.25;12;35.75;0;0.0;10.0
o;11;45.75;Waser Dominik;**;7;55.75;11;45.75;0;0.0;8.5

13b;Steffen Valentin;*;;;;;;;;;54.25
+;;;Koch Thomas;*;;;;;;;10.0
-;1;10.0;Kuster Marcel;***;19;52.75;5;8.5;4;-1.5;8.75
+;4;18.75;Ettlin Stefan;*;17;53.25;4;18.75;0;0.0;10.0
o;3;28.75;Hersche Martin;***;4;56.5;3;28.75;0;0.0;8.5
o;6;37.25;Brun Jonas;**;6;56.0;6;37.25;0;0.0;8.5
o;11;45.75;Schuler Philipp;**;7;55.75;11;45.75;0;0.0;8.5

13c;Aellen Florian;*;;;;;;;;;54.25
-;;;Lussi Marco;*;;;;;;;8.75
+;4;8.75;Bieri Christian;**;26;34.75;5;8.5;1;-0.25;9.75
-;5;18.5;Vonlaufen Alexander;**;11;54.75;10;17.25;5;-1.25;8.75
o;8;27.25;Schneider Domenic;***;3;56.75;8;27.25;0;0.0;8.5
+;12;35.75;Linggi Bruno;**;18;53.0;12;35.75;0;0.0;9.75
o;12;45.5;Bernhard Lukas;*;9;55.25;13;45.25;1;-0.25;8.75

13d;Reichmuth Armin;*;;;;;;;;;54.25
-;;;Klossner Adrian;*;;;;;;;8.75
o;4;8.75;Ramseier Thomas;*;14;54.0;4;8.75;0;0.0;8.5
o;10;17.25;Scheuner Michael;*;17;53.25;11;17.0;1;-0.25;8.5
+;14;25.75;Kammermann Thomas;*;29;34.0;15;25.5;1;-0.25;10.0
o;12;35.75;Rolli Martin;**;13;54.25;12;35.75;0;0.0;8.5
+;17;44.25;Kuster Marcel;***;19;52.75;17;44.25;0;0.0;10.0

13e;Iseli Marco;**;;;;;;;;;54.25
+;;;Müller Michael;**;;;;;;;10.0
o;1;10.0;Suppiger René;***;14;54.0;5;8.5;4;-1.5;8.5
-;5;18.5;Lussi Marco;*;25;35.0;9;17.5;4;-1.0;8.75
o;8;27.25;Waser Dominik;**;7;55.75;8;27.25;0;0.0;8.5
o;12;35.75;Vogel Remo;**;12;54.5;11;36.0;-1;0.25;8.5
+;17;44.25;Ettlin Stefan;*;17;53.25;15;44.75;-2;0.5;10.0

13f;Murer Andy;**;;;;;;;;;54.25
+;;;Steffen Konrad;*;;;;;;;10.0
o;1;10.0;Kämpf Bernhard;***;1;57.25;2;9.75;1;-0.25;8.5
o;5;18.5;Reusser Philipp;***;1;57.25;4;18.75;-1;0.25;8.5
-;9;27.0;Gobeli Patrick;*;14;54.0;10;26.75;1;-0.25;8.75
-;12;35.75;Schlüchter Colin;*;18;53.0;12;35.75;0;0.0;8.75
+;16;44.5;Leuenberger Michael;*;19;52.75;17;44.25;1;-0.25;9.75

13g;Krähenbühl Tobias;***;;;;;;;;;54.25
-;;;Ulrich Andreas;***;;;;;;;8.75
+;4;8.75;Binggeli Stefan;*;18;53.0;1;10.0;-3;1.25;9.75
o;5;18.5;Staudenmann Fabian (2000);*;6;56.0;4;18.75;-1;0.25;8.75
o;8;27.25;Zimmermann Martin;**;12;54.5;8;27.25;0;0.0;8.75
+;11;36.0;Hurschler Thomas;**;17;53.25;10;36.25;-1;0.25;9.75
o;11;45.75;von Ah Benji;***;6;56.0;10;46.0;-1;0.25;8.5

14a;Suppiger René;***;;;;;;;;;54.0
o;;;Sempach Thomas;***;;;;;;;8.5
+;5;8.5;Iseli Marco;**;13;54.25;1;10.0;-4;1.5;9.75
+;6;18.25;Berger René;**;19;52.75;4;18.75;-2;0.5;10.0
o;5;28.25;Reusser Philipp;***;1;57.25;4;28.5;-1;0.25;8.5
-;8;36.75;Scheuner Michael;*;17;53.25;12;35.75;4;-1.0;8.75
o;12;45.5;Wüthrich Niklaus;**;8;55.5;12;45.5;0;0.0;8.5

14b;Gobeli Patrick;*;;;;;;;;;54.0
o;;;Blaser Theo;*;;;;;;;8.5
o;5;8.5;Inderbitzin Daniel;*;14;54.0;4;8.75;-1;0.25;8.5
+;11;17.0;Ambühl Joel;*;27;34.5;10;17.25;-1;0.25;9.75
-;10;26.75;Murer Andy;**;13;54.25;9;27.0;-1;0.25;8.75
o;13;35.5;Notz Beni;***;9;55.25;12;35.75;-1;0.25;8.5
+;18;44.0;Gwerder Michael (2000);*;16;53.5;14;45.0;-4;1.0;10.0

14c;Inderbitzin Daniel;*;;;;;;;;;54.0
-;;;Ramseier Thomas;*;;;;;;;8.75
+;4;8.75;Gobeli Patrick;*;14;54.0;5;8.5;1;-0.25;10.0
o;4;18.75;Bösch Daniel;***;7;55.75;5;18.5;1;-0.25;8.5
o;8;27.25;von Weissenfluh Kilian;**;9;55.25;8;27.25;0;0.0;8.5
+;12;35.75;Berger René;**;19;52.75;12;35.75;0;0.0;9.75
o;12;45.5;Steffen Gustav;*;9;55.25;12;45.5;0;0.0;8.5

14d;Kennel Beat;*;;;;;;;;;54.0
+;;;Schletti Andreas;*;;;;;;;10.0
o;1;10.0;Zenger Niklaus;***;3;56.75;5;8.5;4;-1.5;8.5
o;5;18.5;Kämpf Alexander;**;17;53.25;10;17.25;5;-1.25;8.5
o;9;27.0;Gehrig Damian;***;12;54.5;13;26.0;4;-1.0;8.5
+;13;35.5;Klossner Adrian;*;22;44.0;13;35.5;0;0.0;9.75
-;13;45.25;Ramseier Thomas;*;14;54.0;13;45.25;0;0.0;8.75

14e;Roth Dominik;**;;;;;;;;;54.0
-;;;Waser Dominik;**;;;;;;;8.75
o;4;8.75;Dober Adrian;**;10;55.0;5;8.5;1;-0.25;8.5
+;10;17.25;Kammermann Thomas;*;29;34.0;11;17.0;1;-0.25;9.75
o;9;27.0;Hasler Florian;**;14;54.0;9;27.0;0;0.0;8.5
+;13;35.5;Bühler Hannes;*;19;52.75;13;35.5;0;0.0;10.0
o;12;45.5;Burkhalter Stefan;***;8;55.5;12;45.5;0;0.0;8.5

14f;Hasler Florian;**;;;;;;;;;54.0
+;;;Rolli Martin;**;;;;;;;10.0
o;1;10.0;Anderegg Simon;***;5;56.25;1;10.0;0;0.0;8.5
o;5;18.5;Sommer Roman;*;10;55.0;5;18.5;0;0.0;8.5
+;9;27.0;Roth Dominik;**;14;54.0;9;27.0;0;0.0;9.75
-;8;36.75;Sempach Thomas;***;16;53.5;11;36.0;3;-0.75;8.75
o;12;45.5;Weyermann Florian;*;8;55.5;12;45.5;0;0.0;8.5

14g;Ramseier Thomas;*;;;;;;;;;54.0
-;;;Inderbitzin Daniel;*;;;;;;;8.75
+;4;8.75;Reichmuth Armin;*;13;54.25;4;8.75;0;0.0;9.75
o;5;18.5;Ulrich Andreas;***;7;55.75;9;17.5;4;-1.0;8.5
+;9;27.0;Koch Thomas;*;15;53.75;9;27.0;0;0.0;9.75
o;8;36.75;von Ah Benji;***;6;56.0;11;36.0;3;-0.75;8.5
-;13;45.25;Kennel Beat;*;14;54.0;13;45.25;0;0.0;8.75

14h;Wyrsch Marco;**;;;;;;;;;54.0
+;;;Waber Lorenz;*;;;;;;;9.75
-;2;9.75;Steiner Michael;**;27;34.5;4;8.75;2;-1.0;8.75
o;5;18.5;Leuppi Samir;**;12;54.5;5;18.5;0;0.0;8.5
+;9;27.0;Klossner Adrian;*;22;44.0;9;27.0;0;0.0;9.75
o;8;36.75;Schneider Domenic;***;3;56.75;7;37.0;-1;0.25;8.5
-;13;45.25;Scheuner Michael;*;17;53.25;16;44.5;3;-0.75;8.75

15a;Blaser Theo;*;;;;;;;;;53.75
+;;;Gobeli Patrick;*;;;;;;;9.75
o;2;9.75;Schneider Domenic;***;3;56.75;4;8.75;2;-1.0;8.5
o;6;18.25;Wittwer Jan;*;11;54.75;8;17.75;2;-0.5;8.5
+;10;26.75;Walther Marcel;*;22;44.0;9;27.0;-1;0.25;10.0
o;8;36.75;Rychen Roger;***;3;56.75;6;37.25;-2;0.5;8.5
o;13;45.25;Sommer Roman;*;10;55.0;13;45.25;0;0.0;8.5

15b;Odermatt Christian;**;;;;;;;;;53.75
o;;;Wickli Beat;**;;;;;;;8.5
-;5;8.5;Gäggeler Adrian;*;27;34.5;4;8.75;-1;0.25;8.75
+;10;17.25;Waber Lorenz;*;28;34.25;10;17.25;0;0.0;9.75
+;9;27.0;Leuenberger Michael;*;19;52.75;9;27.0;0;0.0;9.75
o;8;36.75;Zenger Niklaus;***;3;56.75;8;36.75;0;0.0;8.5
o;13;45.25;Roschi Ruedi;**;10;55.0;14;45.0;1;-0.25;8.5

15c;Luginbühl Hanspeter;**;;;;;;;;;53.75
-;;;Eugster Ruedi;**;;;;;;;8.75
-;4;8.75;Vogel Remo;**;12;54.5;4;8.75;0;0.0;8.75
+;9;17.5;Binggeli Stefan;*;18;53.0;5;18.5;-4;1.0;10.0
-;7;27.5;Kälin Roland;**;11;54.75;7;27.5;0;0.0;8.75
-;10;36.25;Imhof Andi;***;11;54.75;10;36.25;0;0.0;8.75
-;14;45.0;Odermatt Andreas;*;17;53.25;16;44.5;2;-0.5;8.75

15d;Koch Thomas;*;;;;;;;;;53.75
o;;;Steffen Valentin;*;;;;;;;8.75
+;4;8.75;von Weissenfluh Kilian;**;9;55.25;4;8.75;0;0.0;9.75
o;5;18.5;Nötzli Reto;***;8;55.5;5;18.5;0;0.0;8.5
o;9;27.0;Ramseier Thomas;*;14;54.0;9;27.0;0;0.0;8.5
+;13;35.5;Walther Marcel;*;22;44.0;13;35.5;0;0.0;9.75
o;13;45.25;Schütz Urs;**;11;54.75;14;45.0;1;-0.25;8.5
o;15;53.75;Imhof Andi;***;11;54.75;11;54.75;-4;1.0;0.0

16a;Sempach Thomas;***;;;;;;;;;53.5
+;;;Suppiger René;***;;;;;;;10.0
-;1;10.0;Giger Samuel;***;5;56.25;2;9.75;1;-0.25;8.75
-;4;18.75;Hurschler Thomas;**;17;53.25;4;18.75;0;0.0;8.75
o;7;27.5;Gwerder Guido;**;6;56.0;6;28.0;-1;0.5;8.5
-;11;36.0;Hasler Florian;**;14;54.0;8;36.75;-3;0.75;8.75
-;15;44.75;Linggi Bruno;**;18;53.0;17;44.25;2;-0.5;8.75

16b;Gwerder Michael (2000);*;;;;;;;;;53.5
+;;;Camenzind Ivan;*;;;;;;;10.0
o;1;10.0;Schenk Patrick;***;12;54.5;4;8.75;3;-1.25;8.5
o;5;18.5;Gloggner Reto;**;10;55.0;5;18.5;0;0.0;8.75
o;8;27.25;Ramseier Fritz;**;12;54.5;8;27.25;0;0.0;8.75
-;11;36.0;Schenkel Remo;*;18;53.0;13;35.5;2;-0.5;9.0
o;14;45.0;Gobeli Patrick;*;14;54.0;18;44.0;4;-1.0;8.5

17a;Kämpf Alexander;**;;;;;;;;;53.25
-;;;Linggi Bruno;**;;;;;;;8.75
o;4;8.75;Steinauer Adrian;**;7;55.75;4;8.75;0;0.0;8.5
+;10;17.25;Kennel Beat;*;14;54.0;5;18.5;-5;1.25;9.75
-;9;27.0;Dober Adrian;**;10;55.0;10;26.75;1;-0.25;8.75
-;12;35.75;Vonlaufen Alexander;**;11;54.75;11;36.0;-1;0.25;8.75
-;16;44.5;Bühler Hannes;*;19;52.75;18;44.0;2;-0.5;8.75

17b;Odermatt Andreas;*;;;;;;;;;53.25
-;;;Staudenmann Fabian (2000);*;;;;;;;8.75
o;4;8.75;Klossner Adrian;*;22;44.0;4;8.75;0;0.0;8.5
-;10;17.25;Pulfer Thomas;*;27;34.5;10;17.25;0;0.0;8.75
+;13;26.0;Camenzind Ivan;*;26;34.75;12;26.25;-1;0.25;10.0
o;11;36.0;Gehrig Damian;***;12;54.5;11;36.0;0;0.0;8.5
-;16;44.5;Luginbühl Hanspeter;**;15;53.75;14;45.0;-2;0.5;8.75

17c;Ettlin Stefan;*;;;;;;;;;53.25
+;;;Zbinden Adrian;*;;;;;;;9.75
-;2;9.75;Gehrig Damian;***;12;54.5;5;8.5;3;-1.25;9.0
o;4;18.75;Steffen Valentin;*;13;54.25;4;18.75;0;0.0;8.75
-;7;27.5;Roschi Ruedi;**;10;55.0;7;27.5;0;0.0;8.75
o;10;36.25;Wüthrich Niklaus;**;8;55.5;13;35.5;3;-0.75;8.5
o;15;44.75;Iseli Marco;**;13;54.25;17;44.25;2;-0.5;8.5

17d;Hurschler Thomas;**;;;;;;;;;53.25
-;;;Gäggeler Adrian;*;;;;;;;8.75
+;4;8.75;Scheuner Michael;*;17;53.25;5;8.5;1;-0.25;10.0
-;4;18.75;Sempach Thomas;***;16;53.5;4;18.75;0;0.0;8.75
-;7;27.5;Steffen Konrad;*;12;54.5;8;27.25;1;-0.25;8.75
o;10;36.25;Krähenbühl Tobias;***;13;54.25;11;36.0;1;-0.25;8.5
o;15;44.75;Geisser Lars;**;11;54.75;14;45.0;-1;0.25;8.5

17e;Scheuner Michael;*;;;;;;;;;53.25
o;;;Bürli Roger;**;;;;;;;8.5
o;5;8.5;Hurschler Thomas;**;17;53.25;4;8.75;-1;0.25;8.5
+;11;17.0;Reichmuth Armin;*;13;54.25;10;17.25;-1;0.25;10.0
o;9;27.0;Bernhard Lukas;*;9;55.25;9;27.0;0;0.0;8.75
-;12;35.75;Suppiger René;***;14;54.0;8;36.75;-4;1.0;8.75
-;16;44.5;Wyrsch Marco;**;14;54.0;13;45.25;-3;0.75;8.75

18a;Schenkel Remo;*;;;;;;;;;53.0
o;;;Egli Pirmin;**;;;;;;;8.5
+;5;8.5;Bühler Hannes;*;19;52.75;5;8.5;0;0.0;9.75
o;6;18.25;Schurtenberger Sven;***;3;56.75;11;17.0;5;-1.25;8.5
-;10;26.75;Lussi Marco;*;25;35.0;12;26.25;2;-0.5;8.75
-;13;35.5;Gwerder Michael (2000);*;16;53.5;11;36.0;-2;0.5;9.0
o;16;44.5;Vonlaufen Alexander;**;11;54.75;15;44.75;-1;0.25;8.5

18b;Schlüchter Colin;*;;;;;;;;;53.0
+;;;Kammermann Thomas;*;;;;;;;10.0
o;1;10.0;Imhof Andi;***;11;54.75;4;8.75;3;-1.25;8.5
-;5;18.5;Vogel Remo;**;12;54.5;9;17.5;4;-1.0;8.75
o;8;27.25;Schuler Philipp;**;7;55.75;8;27.25;0;0.0;8.5
-;12;35.75;Murer Andy;**;13;54.25;12;35.75;0;0.0;8.75
o;16;44.5;Roth Martin;*;11;54.75;15;44.75;-1;0.25;8.5

18c;Binggeli Stefan;*;;;;;;;;;53.0
+;;;Walther Marcel;*;;;;;;;10.0
o;1;10.0;Krähenbühl Tobias;***;13;54.25;4;8.75;3;-1.25;8.5
o;5;18.5;Luginbühl Hanspeter;**;15;53.75;9;17.5;4;-1.0;8.5
-;9;27.0;Wüthrich Niklaus;**;8;55.5;10;26.75;1;-0.25;8.75
-;12;35.75;Leuenberger Michael;*;19;52.75;13;35.5;1;-0.25;8.75
o;16;44.5;Orlik Curdin;**;12;54.5;16;44.5;0;0.0;8.5

18d;Linggi Bruno;**;;;;;;;;;53.0
-;;;Kämpf Alexander;**;;;;;;;8.75
o;4;8.75;Wüthrich Niklaus;**;8;55.5;5;8.5;1;-0.25;8.5
o;10;17.25;von Weissenfluh Kilian;**;9;55.25;10;17.25;0;0.0;8.75
+;13;26.0;Gäggeler Adrian;*;27;34.5;13;26.0;0;0.0;9.75
o;12;35.75;Aellen Florian;*;13;54.25;12;35.75;0;0.0;8.5
-;17;44.25;Sempach Thomas;***;16;53.5;15;44.75;-2;0.5;8.75

19a;Zbinden Adrian;*;;;;;;;;;52.75
o;;;Ettlin Stefan;*;;;;;;;8.5
+;5;8.5;Amgarten Roman;*;26;34.75;4;8.75;-1;0.25;10.0
-;5;18.5;Rohrer Ivan;**;10;55.0;8;17.75;3;-0.75;8.75
o;8;27.25;Schurtenberger Sven;***;3;56.75;9;27.0;1;-0.25;8.5
o;12;35.75;Omlin Toni;*;11;54.75;11;36.0;-1;0.25;8.5
o;17;44.25;Dober Adrian;**;10;55.0;13;45.25;-4;1.0;8.5

19b;Kuster Marcel;***;;;;;;;;;52.75
o;;;Anderegg Simon;***;;;;;;;8.5
-;5;8.5;Steffen Valentin;*;13;54.25;1;10.0;-4;1.5;8.75
+;10;17.25;Dober Adrian;**;10;55.0;6;18.25;-4;1.0;9.75
-;9;27.0;Schütz Urs;**;11;54.75;7;27.5;-2;0.5;8.75
o;12;35.75;Fankhauser Erich;***;11;54.75;10;36.25;-2;0.5;8.5
o;17;44.25;Reichmuth Armin;*;13;54.25;17;44.25;0;0.0;8.5

19c;Berger René;**;;;;;;;;;52.75
-;;;Vonlaufen Alexander;**;;;;;;;8.75
+;4;8.75;Höfliger Andreas;**;28;34.25;5;8.5;1;-0.25;10.0
o;4;18.75;Suppiger René;***;14;54.0;6;18.25;2;-0.5;8.5
o;8;27.25;Bürli Roger;**;11;54.75;8;27.25;0;0.0;8.5
o;12;35.75;Inderbitzin Daniel;*;14;54.0;12;35.75;0;0.0;8.5
o;17;44.25;Rohrer Ivan;**;10;55.0;14;45.0;-3;0.75;8.5

19d;Leuenberger Michael;*;;;;;;;;;52.75
o;;;Käslin Benno;*;;;;;;;8.5
o;5;8.5;Omlin Toni;*;11;54.75;4;8.75;-1;0.25;8.75
+;10;17.25;Bühler Hannes;*;19;52.75;11;17.0;1;-0.25;9.75
o;9;27.0;Odermatt Christian;**;15;53.75;9;27.0;0;0.0;8.5
-;13;35.5;Binggeli Stefan;*;18;53.0;12;35.75;-1;0.25;8.75
o;17;44.25;Murer Andy;**;13;54.25;16;44.5;-1;0.25;8.5

19e;Bühler Hannes;*;;;;;;;;;52.75
o;;;Sommer Roman;*;;;;;;;8.5
o;5;8.5;Schenkel Remo;*;18;53.0;5;8.5;0;0.0;8.5
o;11;17.0;Leuenberger Michael;*;19;52.75;10;17.25;-1;0.25;8.5
+;15;25.5;Waber Lorenz;*;28;34.25;14;25.75;-1;0.25;10.0
o;13;35.5;Roth Dominik;**;14;54.0;13;35.5;0;0.0;8.5
-;18;44.0;Kämpf Alexander;**;17;53.25;16;44.5;-2;0.5;8.75

20a;Schletti Andreas;*;;;;;;;;;52.5
o;;;Kennel Beat;*;;;;;;;8.5
+;5;8.5;Ambühl Joel;*;27;34.5;4;8.75;-1;0.25;9.75
o;6;18.25;Schuler Alex;***;21;46.25;9;17.5;3;-0.75;8.5
-;10;26.75;Bürgi Reto;*;26;34.75;13;26.0;3;-0.75;8.75
o;13;35.5;Dober Adrian;**;10;55.0;13;35.5;0;0.0;8.5
o;18;44.0;Eugster Ruedi;**;12;54.5;15;44.75;-3;0.75;8.5

21a;Schuler Alex;***;;;;;;;;;46.25
-;;;Reusser Philipp;***;;;;;;;8.75
-;4;8.75;Ramseier Fritz;**;12;54.5;2;9.75;-2;1.0;8.75
+;9;17.5;Schletti Andreas;*;20;52.5;6;18.25;-3;0.75;9.75
+;8;27.25;Rolli Martin;**;13;54.25;8;27.25;0;0.0;10.0
-;6;37.25;von Weissenfluh Kilian;**;9;55.25;6;37.25;0;0.0;9.0

22a;Walther Marcel;*;;;;;;;;;44.0
o;;;Binggeli Stefan;*;;;;;;;8.5
o;5;8.5;Zimmermann Martin;**;12;54.5;4;8.75;-1;0.25;8.5
+;11;17.0;Käslin Benno;*;10;55.0;5;18.5;-6;1.5;10.0
o;9;27.0;Blaser Theo;*;15;53.75;10;26.75;1;-0.25;8.5
o;13;35.5;Koch Thomas;*;15;53.75;13;35.5;0;0.0;8.5

22b;Klossner Adrian;*;;;;;;;;;44.0
-;;;Reichmuth Armin;*;;;;;;;8.75
+;4;8.75;Odermatt Andreas;*;17;53.25;4;8.75;0;0.0;9.75
o;5;18.5;Notz Beni;***;9;55.25;10;17.25;5;-1.25;8.5
o;9;27.0;Wyrsch Marco;**;14;54.0;9;27.0;0;0.0;8.5
o;13;35.5;Kennel Beat;*;14;54.0;13;35.5;0;0.0;8.5

23a;Müller Michael;**;;;;;;;;;35.75
o;;;Iseli Marco;**;;;;;;;8.5
-;5;8.5;Geisser Lars;**;11;54.75;4;8.75;-1;0.25;9.0
+;9;17.5;Gnägi Christian;*;27;34.5;10;17.25;1;-0.25;9.75
o;8;27.25;Burkhalter Stefan;***;8;55.5;9;27.0;1;-0.25;8.5

24a;Wenger Marcel (1999);*;;;;;;;;;35.25
+;;;Bättig Martin;*;;;;;;;9.75
o;2;9.75;Leuppi Samir;**;12;54.5;5;8.5;3;-1.25;8.5
o;6;18.25;Geisser Lars;**;11;54.75;8;17.75;2;-0.5;8.5
o;10;26.75;Vonlaufen Alexander;**;11;54.75;13;26.0;3;-0.75;8.5

24b;Fankhauser Reto;*;;;;;;;;;35.25
-;;;Amgarten Roman;*;;;;;;;8.75
-;4;8.75;Rohrer Ivan;**;10;55.0;4;8.75;0;0.0;8.75
-;9;17.5;Bürli Roger;**;11;54.75;6;18.25;-3;0.75;9.0
-;11;26.5;Ambühl Joel;*;27;34.5;14;25.75;3;-0.75;8.75

24c;Wickli Beat;**;;;;;;;;;35.25
+;;;Odermatt Christian;**;;;;;;;9.75
o;2;9.75;von Ah Benji;***;6;56.0;5;8.5;3;-1.25;8.5
o;6;18.25;Rolli Martin;**;13;54.25;10;17.25;4;-1.0;8.5
o;10;26.75;Käslin Benno;*;10;55.0;9;27.0;-1;0.25;8.5

25a;Lussi Marco;*;;;;;;;;;35.0
-;;;Aellen Florian;*;;;;;;;8.75
-;4;8.75;Waber Lorenz;*;28;34.25;5;8.5;1;-0.25;8.75
-;9;17.5;Iseli Marco;**;13;54.25;5;18.5;-4;1.0;8.75
-;12;26.25;Schenkel Remo;*;18;53.0;10;26.75;-2;0.5;8.75

26a;Camenzind Ivan;*;;;;;;;;;34.75
o;;;Gwerder Michael (2000);*;;;;;;;8.5
-;5;8.5;Bürgi Reto;*;26;34.75;4;8.75;-1;0.25;8.75
-;10;17.25;Bieri Christian;**;26;34.75;11;17.0;1;-0.25;9.0
o;12;26.25;Odermatt Andreas;*;17;53.25;13;26.0;1;-0.25;8.5

26b;Blaser Roman;*;;;;;;;;;34.75
-;;;Omlin Toni;*;;;;;;;8.75
o;4;8.75;Brun Jonas;**;6;56.0;4;8.75;0;0.0;8.5
-;10;17.25;Amgarten Roman;*;26;34.75;10;17.25;0;0.0;8.75
-;13;26.0;Bieri Christian;**;26;34.75;13;26.0;0;0.0;8.75

26c;Bieri Christian;**;;;;;;;;;34.75
o;;;Ramseier Fritz;**;;;;;;;8.5
o;5;8.5;Aellen Florian;*;13;54.25;4;8.75;-1;0.25;8.5
-;11;17.0;Camenzind Ivan;*;26;34.75;10;17.25;-1;0.25;9.0
-;13;26.0;Blaser Roman;*;26;34.75;13;26.0;0;0.0;8.75

26d;Amgarten Roman;*;;;;;;;;;34.75
-;;;Fankhauser Reto;*;;;;;;;8.75
o;4;8.75;Zbinden Adrian;*;19;52.75;5;8.5;1;-0.25;8.5
-;10;17.25;Blaser Roman;*;26;34.75;10;17.25;0;0.0;8.75
-;13;26.0;Gnägi Christian;*;27;34.5;14;25.75;1;-0.25;8.75

26e;Bürgi Reto;*;;;;;;;;;34.75
-;;;Wittwer Jan;*;;;;;;;8.75
-;4;8.75;Camenzind Ivan;*;26;34.75;5;8.5;1;-0.25;8.75
o;9;17.5;Steffen Konrad;*;12;54.5;10;17.25;1;-0.25;8.5
-;13;26.0;Schletti Andreas;*;20;52.5;10;26.75;-3;0.75;8.75

