3975-2017-07-30_124_Bruenigschwinget-ST

1a;Reusser Philipp;***;;;;;;;;;57.25
-;2;9.75;Sempach Thomas;***;16;53.5;1;10.0;-1;0.25;9.0
+;4;18.75;Schuler Philipp;**;7;55.75;4;18.75;0;0.0;10.0
-;3;28.75;Kämpf Bernhard;***;1;57.25;1;29.75;-2;1.0;9.0
-;5;37.75;Anderegg Simon;***;5;56.25;1;38.75;-4;1.0;8.75
+;8;46.5;Käslin Benno;*;10;55.0;8;46.5;0;0.0;9.75

5c;Anderegg Simon;***;;;;;;;;;56.25
+;;;Kuster Marcel;***;;;;;;;10.0
+;1;10.0;Hasler Florian;**;14;54.0;1;10.0;0;0.0;10.0
-;1;20.0;Orlik Armon;***;3;56.75;3;19.5;2;-0.5;8.75
+;3;28.75;Steinauer Adrian;**;7;55.75;3;28.75;0;0.0;10.0
-;1;38.75;Giger Samuel;***;5;56.25;5;37.75;4;-1.0;8.75
-;4;47.5;Brun Jonas;**;6;56.0;5;47.25;1;-0.25;8.75

5d;Fankhauser Marco;**;;;;;;;;;56.25
-;;;von Weissenfluh Kilian;**;;;;;;;9.0
-;3;9.0;Schütz Urs;**;11;54.75;4;8.75;1;-0.25;9.0
+;7;18.0;Habegger Heinz;**;27;34.5;10;17.25;3;-0.75;10.0
+;6;28.0;Notz Beni;***;9;55.25;8;27.25;2;-0.75;9.75
o;5;37.75;Wenger Kilian;***;2;57.0;3;38.25;-2;0.5;8.5
+;9;46.25;Gehrig Damian;***;12;54.5;10;46.0;1;-0.25;10.0

6a;Gwerder Guido;**;;;;;;;;;56.0
+;;;Habegger Heinz;**;;;;;;;9.75
o;2;9.75;Stucki Christian;***;1;57.25;5;8.5;3;-1.25;8.5
+;6;18.25;Gäggeler Adrian;*;27;34.5;9;17.5;3;-0.75;9.75
+;6;28.0;Sempach Thomas;***;16;53.5;7;27.5;1;-0.5;9.75
o;5;37.75;Aeschbacher Matthias;**;2;57.0;3;38.25;-2;0.5;8.5
+;9;46.25;Staudenmann Fabian (2000);*;6;56.0;5;47.25;-4;1.0;9.75

