5235-2021-08-22_Fete_Cantonale_Fribourgeoise-ST

1a;Schuler Christian;***;;;;;;;;;58.75
+;4;28.5;Hess Michael;*;8;56.0;5;28.25;1;-0.25;9.75
+;4;38.25;Derron Cédric;*;5;56.75;3;38.5;-1;0.25;9.75
-;3;48.0;Borcard Johann;**;6;56.5;4;47.75;1;-0.25;8.75

5e;Derron Cédric;*;;;;;;;;;56.75
+;;;Cotting Florian;*;;;;;;;10.0
+;1;10.0;Duplan Steve;***;5;56.75;6;8.5;5;-1.5;10.0
+;1;20.0;Cotting Alexandre;;13;54.75;3;19.5;2;-0.5;10.0
o;1;30.0;Schuler Christian;***;1;58.75;3;28.75;2;-1.25;8.5
o;3;38.5;Gottofrey Marc;**;5;56.75;4;38.25;1;-0.25;8.5
+;7;47.0;Sturny Nicolas;;7;56.25;5;47.5;-2;0.5;9.75

6a;Borcard Johann;**;;;;;;;;;56.5
+;;;Ambresin Cyril;**;;;;;;;9.75
+;2;9.75;Colò Kilian;**;4;57.0;1;10.0;-1;0.25;9.75
o;3;19.5;Schuler Christian;***;1;58.75;4;18.75;1;-0.75;8.5
+;6;28.0;Aeschbacher Ivo;;18;53.5;6;28.0;0;0.0;10.0
+;5;38.0;Loup Grégoire;;10;55.5;3;38.5;-2;0.5;9.75
-;4;47.75;Gottofrey Marc;**;5;56.75;3;48.0;-1;0.25;8.75

6b;Steinauer Adrian;**;;;;;;;;;56.5
o;;;Gapany Benjamin;***;;;;;;;8.5
+;6;8.5;Balimann Fabian;;12;55.0;1;10.0;-5;1.5;10.0
+;5;18.5;Vaucher Rémy;;16;54.0;5;18.5;0;0.0;9.75
+;5;28.25;Haenni Stéphane;**;9;55.75;4;28.5;-1;0.25;9.75
o;5;38.0;Collaud Romain;**;1;58.75;2;38.75;-3;0.75;8.5
+;9;46.5;Mosimann Vincent;*;13;54.75;10;46.25;1;-0.25;10.0

6c;Hayoz Quentin;*;;;;;;;;;56.5
+;;;Hess Michael;*;;;;;;;9.75
o;2;9.75;Kramer Lario;***;3;57.25;5;8.75;3;-1.0;8.5
+;6;18.25;Lauber Grégoire;;11;55.25;5;18.5;-1;0.25;9.75
+;6;28.0;Panchaud Noé (2004);;20;52.75;10;27.0;4;-1.0;10.0
-;5;38.0;Lagler Christian;*;9;55.75;9;37.0;4;-1.0;8.75
+;8;46.75;Hirschi Damien (2003);;13;54.75;10;46.25;2;-0.5;9.75

7a;Sturny Nicolas;;;;;;;;;;56.25
+;;;Steinauer Kevin (2004);;;;;;;;9.75
-;2;9.75;Lagler Christian;*;9;55.75;5;8.75;3;-1.0;9.0
+;4;18.75;Jacot Ismaël;;11;55.25;6;18.25;2;-0.5;9.75
