5235-2021-08-22_Fete_Cantonale_Fribourgeoise-ST

1a;Schuler Christian;***;;;;;;;;;58.75
14a;Chofflon Anthony;;;;;;;;;;54.5
+;;;Lauber Grégoire;;;;;;;;10.0
o;1;10.0;Ambresin Cyril;**;11;55.25;6;8.5;5;-1.5;8.5
-;5;18.5;Wenger Marco;;12;55.0;6;18.25;1;-0.25;8.75
-;9;27.25;Berset Cyril;*;10;55.5;10;27.0;1;-0.25;8.75
+;13;36.0;Tornare Philippe (2004);;20;52.75;14;35.75;1;-0.25;9.75
-;12;45.75;Germanier Joel;;14;54.5;12;45.75;0;0.0;8.75

14b;Germanier Joel;;;;;;;;;;54.5
-;;;Grossenbacher Marc;;;;;;;;8.75
+;5;8.75;Chassot Samuel;;21;52.5;6;8.5;1;-0.25;10.0
o;4;18.75;Cotting Florian;*;17;53.75;10;17.0;6;-1.75;8.5
o;9;27.25;Clément Aurélien (2003);;15;54.25;8;27.5;-1;0.25;8.5
+;14;35.75;Piccand Mathew;;17;53.75;15;35.5;1;-0.25;10.0
-;12;45.75;Chofflon Anthony;;14;54.5;12;45.75;0;0.0;8.75

15a;Fallegger Riccardo (2003);;;;;;;;;;54.25
-;;;Fankhauser Yanik;;;;;;;;8.75
+;5;8.75;Perroud Florian;;22;52.25;6;8.5;1;-0.25;10.0
o;4;18.75;Mosimann Vincent;*;13;54.75;6;18.25;2;-0.5;8.5
o;9;27.25;Pasquier Loïc;;12;55.0;11;26.75;2;-0.5;8.5
+;14;35.75;Beaud Eric;;21;52.5;15;35.5;1;-0.25;10.0
o;12;45.75;Ducry Antoine;**;8;56.0;11;46.0;-1;0.25;8.5

15b;Rogivue Théo (2003);;;;;;;;;;54.25
o;;;Egger Benoît;;;;;;;;8.5
+;6;8.5;Buchs Stefan;;24;51.0;6;8.5;0;0.0;10.0
o;5;18.5;Baeriswyl Christoph;**;7;56.25;4;18.75;-1;0.25;8.5
+;10;27.0;Vaucher Rémy;;16;54.0;10;27.0;0;0.0;9.75
-;10;36.75;Pürro David;;11;55.25;10;36.75;0;0.0;8.75
-;13;45.5;Tornare Paul;;15;54.25;13;45.5;0;0.0;8.75

15c;Vonlanthen Alexandre;;;;;;;;;;54.25
-;;;Neyroud Geoffrey;;;;;;;;8.75
+;5;8.75;Dugué Maël;;18;53.5;4;9.0;-1;0.25;10.0
o;4;18.75;Hess Michael;*;8;56.0;6;18.25;2;-0.5;8.5
o;9;27.25;Kramer Dorian;**;10;55.5;8;27.5;-1;0.25;8.5
+;14;35.75;Buchs Stefan;;24;51.0;19;34.0;5;-1.75;10.0
o;12;45.75;Egger Benoît;;8;56.0;11;46.0;-1;0.25;8.5

15d;Loup Alexandre;*;;;;;;;;;54.25
o;;;Dubey Gaël;*;;;;;;;8.5
o;6;8.5;Schmid Romain (2003);;4;57.0;1;10.0;-5;1.5;8.5
-;10;17.0;Dorsaz Théo;;4;57.0;5;18.5;-5;1.5;8.75
+;15;25.75;Cochrane Benjamin;;16;54.0;10;27.0;-5;1.25;10.0
+;14;35.75;Nösberger Valentin (2005);;20;52.75;14;35.75;0;0.0;10.0
o;12;45.75;Matthey Mickaël;**;9;55.75;12;45.75;0;0.0;8.5

15e;Clément Aurélien (2003);;;;;;;;;;54.25
-;;;Dugué Maël;;;;;;;;9.0
o;4;9.0;Steinauer Kevin (2004);;12;55.0;6;8.5;2;-0.5;8.5
+;8;17.5;Périsset Valentin;;24;51.0;10;17.0;2;-0.5;10.0
+;8;27.5;Germanier Joel;;14;54.5;9;27.25;1;-0.25;9.75
o;8;37.25;Kälin Roland;**;7;56.25;11;36.5;3;-0.75;8.5
o;12;45.75;Haenni Stéphane;**;9;55.75;12;45.75;0;0.0;8.5

15f;Neyroud Geoffrey;;;;;;;;;;54.25
-;;;Vonlanthen Alexandre;;;;;;;;8.75
+;5;8.75;Nösberger Valentin (2005);;20;52.75;4;9.0;-1;0.25;9.75
o;5;18.5;Collaud Romain;**;1;58.75;4;18.75;-1;0.25;8.5
+;10;27.0;Zbinden Samuel;;17;53.75;11;26.75;1;-0.25;10.0
o;9;37.0;Bapst Ludovic;;8;56.0;9;37.0;0;0.0;8.5
-;13;45.5;Dubey Gaël;*;15;54.25;13;45.5;0;0.0;8.75

15g;Tornare Paul;;;;;;;;;;54.25
o;;;Wenger Marco;;;;;;;;8.5
o;6;8.5;Cherpillod Cédric;;13;54.75;6;8.5;0;0.0;8.5
+;10;17.0;Gaudard Jeremy;;16;54.0;10;17.0;0;0.0;9.75
+;11;26.75;Quartenoud Samuel;;18;53.5;11;26.75;0;0.0;10.0
-;10;36.75;Crettaz Olivier;*;11;55.25;10;36.75;0;0.0;8.75
-;13;45.5;Rogivue Théo (2003);;15;54.25;13;45.5;0;0.0;8.75

15h;Dubey Gaël;*;;;;;;;;;54.25
+;;;Loup Alexandre;*;;;;;;;10.0
o;1;10.0;Schuler Christian;***;1;58.75;5;8.75;4;-1.25;8.5
+;5;18.5;Fankhauser Yanik;;12;55.0;4;18.75;-1;0.25;9.75
-;5;28.25;Sturny Nicolas;;7;56.25;4;28.5;-1;0.25;8.75
o;9;37.0;Kramer Dorian;**;10;55.5;8;37.25;-1;0.25;8.5
-;13;45.5;Neyroud Geoffrey;;15;54.25;13;45.5;0;0.0;8.75

15i;Gueissaz Léonard (2003);;;;;;;;;;54.25
+;;;Perroud Florian;;;;;;;;10.0
-;1;10.0;Tornare Philippe (2004);;20;52.75;2;9.75;1;-0.25;8.75
o;4;18.75;Wieland Janis;*;8;56.0;5;18.5;1;-0.25;8.5
o;9;27.25;Bapst Ludovic;;8;56.0;10;27.0;1;-0.25;8.5
o;14;35.75;Monney Branighan;;16;54.0;15;35.5;1;-0.25;8.5
+;17;44.25;Nösberger Valentin (2005);;20;52.75;17;44.25;0;0.0;10.0

16a;Zbinden Lukas (2003);;;;;;;;;;54.0
-;;;Dorsaz Théo;;;;;;;;8.75
+;5;8.75;Jeannin Jess;;13;54.75;5;8.75;0;0.0;10.0
o;4;18.75;Duplan Steve;***;5;56.75;10;17.0;6;-1.75;8.5
+;9;27.25;Lopes Semedo Mauro;;25;35.25;11;26.75;2;-0.5;9.75
o;9;37.0;Mollet Ivan;**;9;55.75;9;37.0;0;0.0;8.5
o;13;45.5;Lauber Grégoire;;11;55.25;13;45.5;0;0.0;8.5

16b;Monney Branighan;;;;;;;;;;54.0
+;;;Piccand Mathew;;;;;;;;9.75
o;2;9.75;Wieland Janis;*;8;56.0;6;8.5;4;-1.25;8.5
o;6;18.25;Mollet Ivan;**;9;55.75;5;18.5;-1;0.25;8.5
-;11;26.75;Menoud Liam;;16;54.0;10;27.0;-1;0.25;8.75
+;15;35.5;Gueissaz Léonard (2003);;15;54.25;14;35.75;-1;0.25;10.0
o;13;45.5;Crettaz Olivier;*;11;55.25;13;45.5;0;0.0;8.5

16c;Cochrane Benjamin;;;;;;;;;;54.0
o;;;Schläfli Hugo;;;;;;;;8.5
+;6;8.5;Panchaud Noé (2004);;20;52.75;6;8.5;0;0.0;10.0
o;5;18.5;Cherpillod Cédric;;13;54.75;6;18.25;1;-0.25;8.5
o;10;27.0;Loup Alexandre;*;15;54.25;15;25.75;5;-1.25;8.5
+;15;35.5;Girard Simon (2004);;17;53.75;15;35.5;0;0.0;10.0
o;13;45.5;Berset Cyril;*;10;55.5;13;45.5;0;0.0;8.5

16d;Vaucher Rémy;;;;;;;;;;54.0
+;;;Heiniger Mickaël;;;;;;;;10.0
o;1;10.0;Gottofrey Marc;**;5;56.75;5;8.75;4;-1.25;8.5
o;5;18.5;Steinauer Adrian;**;6;56.5;5;18.5;0;0.0;8.5
o;10;27.0;Rogivue Théo (2003);;15;54.25;10;27.0;0;0.0;8.5
+;15;35.5;Imhasly Jorin;;16;54.0;15;35.5;0;0.0;10.0
o;13;45.5;Grossenbacher Marc;;11;55.25;13;45.5;0;0.0;8.5

16e;Imhasly Jorin;;;;;;;;;;54.0
o;;;Maire Pascal (2004);;;;;;;;8.5
o;6;8.5;Quartenoud Samuel;;18;53.5;6;8.5;0;0.0;8.5
+;10;17.0;Chassot Samuel;;21;52.5;10;17.0;0;0.0;9.75
-;11;26.75;Fankhauser Yanik;;12;55.0;9;27.25;-2;0.5;8.75
o;15;35.5;Vaucher Rémy;;16;54.0;15;35.5;0;0.0;8.5
+;18;44.0;Perroud Florian;;22;52.25;19;43.75;1;-0.25;10.0

16f;Heiniger Mickaël;;;;;;;;;;54.0
o;;;Vaucher Rémy;;;;;;;;8.5
+;6;8.5;Yerly Cyril (2005);;26;17.0;6;8.5;0;0.0;10.0
o;5;18.5;Ducry Antoine;**;8;56.0;8;17.5;3;-1.0;8.5
-;10;27.0;Egger Benoît;;8;56.0;10;27.0;0;0.0;8.75
o;14;35.75;Tschachtli Sven;**;10;55.5;14;35.75;0;0.0;8.5
+;17;44.25;Panchaud Noé (2004);;20;52.75;17;44.25;0;0.0;9.75

16g;Ganière William;;;;;;;;;;54.0
-;;;Beaud Eric;;;;;;;;8.75
+;5;8.75;Piccand Mathew;;17;53.75;6;8.5;1;-0.25;9.75
o;5;18.5;Tschachtli Sven;**;10;55.5;8;17.5;3;-1.0;8.5
o;10;27.0;Mosimann Vincent;*;13;54.75;6;28.0;-4;1.0;8.5
+;15;35.5;Panchaud Noé (2004);;20;52.75;15;35.5;0;0.0;10.0
o;13;45.5;Pürro David;;11;55.25;13;45.5;0;0.0;8.5

16h;Menoud Liam;;;;;;;;;;54.0
o;;;Pasquier Loïc;;;;;;;;8.5
+;6;8.5;Périsset Valentin;;24;51.0;6;8.5;0;0.0;10.0
o;5;18.5;Kramer Dorian;**;10;55.5;8;17.5;3;-1.0;8.5
-;10;27.0;Monney Branighan;;16;54.0;11;26.75;1;-0.25;8.75
o;14;35.75;Grossenbacher Marc;;11;55.25;14;35.75;0;0.0;8.5
+;17;44.25;Fankhauser Hans;*;20;52.75;17;44.25;0;0.0;9.75

16i;Gaudard Jeremy;;;;;;;;;;54.0
o;;;Cotting Alexandre;;;;;;;;8.5
o;6;8.5;Beaud Eric;;21;52.5;5;8.75;-1;0.25;8.5
o;10;17.0;Tornare Paul;;15;54.25;10;17.0;0;0.0;8.5
+;16;25.5;Perroud Florian;;22;52.25;16;25.5;0;0.0;10.0
+;15;35.5;Hochuli Samuel;;21;52.5;15;35.5;0;0.0;9.75
o;14;45.25;Jacot Ismaël;;11;55.25;14;45.25;0;0.0;8.75

17a;Piccand Mathew;;;;;;;;;;53.75
o;;;Monney Branighan;;;;;;;;8.5
o;6;8.5;Ganière William;;16;54.0;5;8.75;-1;0.25;8.5
-;10;17.0;Jeannin Jess;;13;54.75;9;17.25;-1;0.25;8.75
+;15;25.75;Périsset Valentin;;24;51.0;16;25.5;1;-0.25;9.75
o;15;35.5;Germanier Joel;;14;54.5;14;35.75;-1;0.25;8.5
+;18;44.0;Hochuli Samuel;;21;52.5;18;44.0;0;0.0;9.75

17b;Cotting Florian;*;;;;;;;;;53.75
o;;;Derron Cédric;*;;;;;;;8.5
o;6;8.5;Loup Grégoire;;10;55.5;1;10.0;-5;1.5;8.5
+;10;17.0;Germanier Joel;;14;54.5;4;18.75;-6;1.75;10.0
+;10;27.0;Cherpillod Cédric;;13;54.75;6;28.0;-4;1.0;9.75
o;10;36.75;Dorsaz Théo;;4;57.0;9;37.0;-1;0.25;8.5
o;14;45.25;Steinauer Kevin (2004);;12;55.0;14;45.25;0;0.0;8.5

17c;Rey Arnaud (2003);;;;;;;;;;53.75
o;;;Crettaz Julien;;;;;;;;8.5
o;6;8.5;Dorsaz Théo;;4;57.0;5;8.75;-1;0.25;8.5
+;10;17.0;Hochuli Samuel;;21;52.5;10;17.0;0;0.0;9.75
+;11;26.75;Rouge Dany;;19;53.25;13;26.25;2;-0.5;10.0
o;10;36.75;Ambresin Cyril;**;11;55.25;10;36.75;0;0.0;8.5
o;14;45.25;Wenger Marco;;12;55.0;14;45.25;0;0.0;8.5

17d;Girard Simon (2004);;;;;;;;;;53.75
-;;;Jeannin Jess;;;;;;;;8.75
o;5;8.75;Lauber Grégoire;;11;55.25;6;8.5;1;-0.25;8.5
+;9;17.25;Nösberger Valentin (2005);;20;52.75;8;17.5;-1;0.25;9.75
o;10;27.0;Wenger Marco;;12;55.0;10;27.0;0;0.0;8.5
o;15;35.5;Cochrane Benjamin;;16;54.0;15;35.5;0;0.0;8.5
+;18;44.0;Beaud Eric;;21;52.5;18;44.0;0;0.0;9.75

17e;Zbinden Samuel;;;;;;;;;;53.75
+;;;Hirschi Damien (2003);;;;;;;;9.75
o;2;9.75;Balimann Sandro;*;10;55.5;5;8.75;3;-1.0;8.5
o;6;18.25;Schläfli Hugo;;11;55.25;5;18.5;-1;0.25;8.5
o;11;26.75;Neyroud Geoffrey;;15;54.25;10;27.0;-1;0.25;8.5
+;16;35.25;Buchs Simon (2004);;23;51.5;18;34.25;2;-1.0;10.0
o;14;45.25;Bapst Richard;;12;55.0;9;46.5;-5;1.25;8.5

18a;Aeschbacher Ivo;;;;;;;;;;53.5
+;;;Hochuli Samuel;;;;;;;;9.75
+;2;9.75;Wenger Marco;;12;55.0;2;9.75;0;0.0;9.75
o;3;19.5;Ambresin Cyril;**;11;55.25;6;18.25;3;-1.25;8.5
o;6;28.0;Borcard Johann;**;6;56.5;6;28.0;0;0.0;8.5
o;11;36.5;Cotting Alexandre;;13;54.75;11;36.5;0;0.0;8.5
o;15;45.0;Cherpillod Cédric;;13;54.75;15;45.0;0;0.0;8.5

18b;Dugué Maël;;;;;;;;;;53.5
-;;;Clément Aurélien (2003);;;;;;;;9.0
o;4;9.0;Vonlanthen Alexandre;;15;54.25;5;8.75;1;-0.25;8.5
+;8;17.5;Perroud Florian;;22;52.25;10;17.0;2;-0.5;10.0
o;8;27.5;Emonet Frédéric;**;5;56.75;5;28.25;-3;0.75;8.5
-;13;36.0;Fankhauser Yanik;;12;55.0;13;36.0;0;0.0;9.0
o;15;45.0;Balimann Fabian;;12;55.0;14;45.25;-1;0.25;8.5

18c;Quartenoud Samuel;;;;;;;;;;53.5
o;;;Loup Grégoire;;;;;;;;8.5
+;6;8.5;Imhasly Jorin;;16;54.0;6;8.5;0;0.0;9.75
o;6;18.25;Bapst Richard;;12;55.0;5;18.5;-1;0.25;8.5
o;11;26.75;Tornare Paul;;15;54.25;11;26.75;0;0.0;8.5
+;16;35.25;Chassot Samuel;;21;52.5;19;34.0;3;-1.25;9.75
o;15;45.0;Fankhauser Yanik;;12;55.0;15;45.0;0;0.0;8.5

19a;Rouge Dany;;;;;;;;;;53.25
-;;;Nösberger Valentin (2005);;;;;;;;9.0
o;4;9.0;Grossenbacher Marc;;11;55.25;5;8.75;1;-0.25;8.5
-;8;17.5;Buchs Simon (2004);;23;51.5;10;17.0;2;-0.5;8.75
o;13;26.25;Rey Arnaud (2003);;17;53.75;11;26.75;-2;0.5;8.5
o;17;34.75;Perroud Florian;;22;52.25;19;34.0;2;-0.75;8.5
+;20;43.25;Buchs Stefan;;24;51.0;22;42.5;2;-0.75;10.0

20a;Nösberger Valentin (2005);;;;;;;;;;52.75
-;;;Rouge Dany;;;;;;;;9.0
o;4;9.0;Neyroud Geoffrey;;15;54.25;5;8.75;1;-0.25;8.5
o;8;17.5;Girard Simon (2004);;17;53.75;9;17.25;1;-0.25;8.5
+;14;26.0;Buchs Simon (2004);;23;51.5;15;25.75;1;-0.25;9.75
o;14;35.75;Loup Alexandre;*;15;54.25;14;35.75;0;0.0;8.5
o;17;44.25;Gueissaz Léonard (2003);;15;54.25;17;44.25;0;0.0;8.5

20b;Fankhauser Hans;*;;;;;;;;;52.75
o;;;Mosimann Vincent;*;;;;;;;8.5
o;6;8.5;Cotting Alexandre;;13;54.75;2;9.75;-4;1.25;8.5
-;10;17.0;Hirschi Damien (2003);;13;54.75;5;18.5;-5;1.5;9.0
+;14;26.0;Buchs Stefan;;24;51.0;16;25.5;2;-0.5;9.75
o;14;35.75;Berset Cyril;*;10;55.5;14;35.75;0;0.0;8.5
o;17;44.25;Menoud Liam;;16;54.0;17;44.25;0;0.0;8.5

20c;Tornare Philippe (2004);;;;;;;;;;52.75
+;;;Lopes Semedo Mauro;;;;;;;;9.75
-;2;9.75;Gueissaz Léonard (2003);;15;54.25;1;10.0;-1;0.25;8.75
o;5;18.5;Matthey Mickaël;**;9;55.75;4;18.75;-1;0.25;8.5
o;10;27.0;Lauber Grégoire;;11;55.25;10;27.0;0;0.0;8.75
o;14;35.75;Chofflon Anthony;;14;54.5;13;36.0;-1;0.25;8.5
o;17;44.25;Maire Pascal (2004);;13;54.75;16;44.75;-1;0.5;8.5

20d;Panchaud Noé (2004);;;;;;;;;;52.75
o;;;Schmid Romain (2003);;;;;;;;8.5
o;6;8.5;Cochrane Benjamin;;16;54.0;6;8.5;0;0.0;8.5
+;10;17.0;Buchs Stefan;;24;51.0;10;17.0;0;0.0;10.0
o;10;27.0;Hayoz Quentin;*;6;56.5;6;28.0;-4;1.0;8.5
o;15;35.5;Ganière William;;16;54.0;15;35.5;0;0.0;8.75
o;17;44.25;Heiniger Mickaël;;16;54.0;17;44.25;0;0.0;8.5

21a;Chassot Samuel;;;;;;;;;;52.5
o;;;Jacot Ismaël;;;;;;;;8.5
o;6;8.5;Germanier Joel;;14;54.5;5;8.75;-1;0.25;8.5
o;10;17.0;Imhasly Jorin;;16;54.0;10;17.0;0;0.0;8.5
o;16;25.5;Hochuli Samuel;;21;52.5;16;25.5;0;0.0;8.5
o;19;34.0;Quartenoud Samuel;;18;53.5;16;35.25;-3;1.25;8.5
+;22;42.5;Périsset Valentin;;24;51.0;22;42.5;0;0.0;10.0

21b;Hochuli Samuel;;;;;;;;;;52.5
o;;;Aeschbacher Ivo;;;;;;;;8.5
o;6;8.5;Hirschi Damien (2003);;13;54.75;6;8.5;0;0.0;8.5
o;10;17.0;Rey Arnaud (2003);;17;53.75;10;17.0;0;0.0;8.5
+;16;25.5;Chassot Samuel;;21;52.5;16;25.5;0;0.0;10.0
o;15;35.5;Gaudard Jeremy;;16;54.0;15;35.5;0;0.0;8.5
o;18;44.0;Piccand Mathew;;17;53.75;18;44.0;0;0.0;8.5

21c;Crettaz Julien;;;;;;;;;;52.5
+;;;Rey Arnaud (2003);;;;;;;;9.75
o;2;9.75;Stoll Thomas;;5;56.75;2;9.75;0;0.0;8.5
o;6;18.25;Steinauer Kevin (2004);;12;55.0;6;18.25;0;0.0;8.5
o;11;26.75;Jeannin Jess;;13;54.75;13;26.25;2;-0.5;8.5
o;16;35.25;Egger Benoît;;8;56.0;13;36.0;-3;0.75;8.5
-;19;43.75;Buchs Simon (2004);;23;51.5;21;42.75;2;-1.0;8.75

21d;Beaud Eric;;;;;;;;;;52.5
-;;;Ganière William;;;;;;;;8.75
+;5;8.75;Gaudard Jeremy;;16;54.0;6;8.5;1;-0.25;9.75
o;5;18.5;Crettaz Olivier;*;11;55.25;6;18.25;1;-0.25;8.5
o;10;27.0;Dorsaz Théo;;4;57.0;9;27.25;-1;0.25;8.5
o;15;35.5;Fallegger Riccardo (2003);;15;54.25;14;35.75;-1;0.25;8.5
o;18;44.0;Girard Simon (2004);;17;53.75;18;44.0;0;0.0;8.5

22a;Perroud Florian;;;;;;;;;;52.25
o;;;Gueissaz Léonard (2003);;;;;;;;8.5
o;6;8.5;Fallegger Riccardo (2003);;15;54.25;5;8.75;-1;0.25;8.5
o;10;17.0;Dugué Maël;;18;53.5;8;17.5;-2;0.5;8.5
o;16;25.5;Gaudard Jeremy;;16;54.0;16;25.5;0;0.0;8.5
+;19;34.0;Rouge Dany;;19;53.25;17;34.75;-2;0.75;9.75
o;19;43.75;Imhasly Jorin;;16;54.0;18;44.0;-1;0.25;8.5

23a;Buchs Simon (2004);;;;;;;;;;51.5
o;;;Bapst Ludovic;;;;;;;;8.5
o;6;8.5;Lopes Semedo Mauro;;25;35.25;6;8.5;0;0.0;8.5
-;10;17.0;Rouge Dany;;19;53.25;8;17.5;-2;0.5;8.75
o;15;25.75;Nösberger Valentin (2005);;20;52.75;14;26.0;-1;0.25;8.5
o;18;34.25;Zbinden Samuel;;17;53.75;16;35.25;-2;1.0;8.5
-;21;42.75;Crettaz Julien;;21;52.5;19;43.75;-2;1.0;8.75

24a;Buchs Stefan;;;;;;;;;;51.0
o;;;Pürro David;;;;;;;;8.5
o;6;8.5;Rogivue Théo (2003);;15;54.25;6;8.5;0;0.0;8.5
o;10;17.0;Panchaud Noé (2004);;20;52.75;10;17.0;0;0.0;8.5
o;16;25.5;Fankhauser Hans;*;20;52.75;14;26.0;-2;0.5;8.5
o;19;34.0;Vonlanthen Alexandre;;15;54.25;14;35.75;-5;1.75;8.5
o;22;42.5;Rouge Dany;;19;53.25;20;43.25;-2;0.75;8.5

24b;Périsset Valentin;;;;;;;;;;51.0
o;;;Bapst Richard;;;;;;;;8.5
o;6;8.5;Menoud Liam;;16;54.0;6;8.5;0;0.0;8.5
o;10;17.0;Clément Aurélien (2003);;15;54.25;8;17.5;-2;0.5;8.5
o;16;25.5;Piccand Mathew;;17;53.75;15;25.75;-1;0.25;8.5
o;19;34.0;Jacot Ismaël;;11;55.25;16;35.25;-3;1.25;8.5
o;22;42.5;Chassot Samuel;;21;52.5;22;42.5;0;0.0;8.5

25a;Lopes Semedo Mauro;;;;;;;;;;35.25
o;;;Tornare Philippe (2004);;;;;;;;8.5
+;6;8.5;Buchs Simon (2004);;23;51.5;6;8.5;0;0.0;9.75
o;6;18.25;Balimann Fabian;;12;55.0;5;18.5;-1;0.25;8.5
o;11;26.75;Zbinden Lukas (2003);;16;54.0;9;27.25;-2;0.5;8.5

26a;Yerly Cyril (2005);;;;;;;;;;17.0
o;;;Heiniger Mickaël;;;;;;;;8.5
o;6;8.5;Fankhauser Yanik;;12;55.0;5;8.75;-1;0.25;8.5

