5297-2022-05-08_Basellandschaftliches_Kantonalschwingfest-ST

1a;Döbeli Andreas;***;;;;;;;;;58.5
+;;;Stoll Simon;**;;;;;;;10.0
+;1;10.0;Räber Lukas;*;14;54.5;2;9.75;1;-0.25;9.75
o;2;19.75;Roth Dominik;**;2;57.5;5;18.75;3;-1.0;8.75
+;3;28.5;Bader Fabian;**;9;55.75;3;28.5;0;0.0;10.0
+;2;38.5;Erb Roger;**;11;55.25;3;38.25;1;-0.25;10.0
+;1;48.5;Strebel Joel;***;3;57.25;1;48.5;0;0.0;10.0

2a;Roth Dominik;**;;;;;;;;;57.5
-;;;Voggensperger Lars;*;;;;;;;8.75
+;4;8.75;Leuthard Reto;**;7;56.25;1;10.0;-3;1.25;10.0
+;5;18.75;Döbeli Andreas;***;1;58.5;2;19.75;-3;1.0;9.75
-;3;28.5;Odermatt Adrian;**;2;57.5;1;29.75;-2;1.25;9.0
+;6;37.5;Roth Jan (2004);;4;57.0;2;38.5;-4;1.0;10.0
+;4;47.5;Hermann Oliver;**;7;56.25;3;47.75;-1;0.25;10.0

2b;Odermatt Adrian;**;;;;;;;;;57.5
+;;;Roth Philipp;***;;;;;;;10.0
+;1;10.0;Aerni Lars;;16;54.0;1;10.0;0;0.0;10.0
+;1;20.0;Widmer Tobias;**;2;57.5;1;20.0;0;0.0;9.75
-;1;29.75;Roth Dominik;**;2;57.5;3;28.5;2;-1.25;9.0
-;1;38.75;Hügli Kaj;**;3;57.25;2;38.5;1;-0.25;8.75
+;4;47.5;Rohrbach Jérôme;;9;55.75;5;47.25;1;-0.25;10.0

2c;Widmer Tobias;**;;;;;;;;;57.5
+;;;Schmutz Adrian;*;;;;;;;10.0
+;1;10.0;Lüscher Sinisha (2006);;6;56.5;2;9.75;1;-0.25;10.0
o;1;20.0;Odermatt Adrian;**;2;57.5;1;20.0;0;0.0;8.5
-;3;28.5;Joho Pascal (2004);;8;56.0;3;28.5;0;0.0;9.0
+;6;37.5;Bader Fabian;**;9;55.75;8;37.0;2;-0.5;10.0
+;4;47.5;Probst Gabriel;**;11;55.25;7;46.75;3;-0.75;10.0

3a;Voggensperger Lars;*;;;;;;;;;57.25
-;;;Roth Dominik;**;;;;;;;9.0
+;3;9.0;Widmer David;**;14;54.5;4;8.75;1;-0.25;10.0
+;4;19.0;Mangold Michael;**;22;45.75;5;18.75;1;-0.25;9.75
o;2;28.75;Strebel Joel;***;3;57.25;2;28.75;0;0.0;8.5
+;7;37.25;Dünner Tobias (2005);;11;55.25;3;38.25;-4;1.0;10.0
+;5;47.25;Strebel Dominic (2005);;12;55.0;8;46.5;3;-0.75;10.0

3b;Hügli Kaj;**;;;;;;;;;57.25
+;;;Stüdeli Thomas;**;;;;;;;10.0
+;1;10.0;Strebel Dominic (2005);;12;55.0;1;10.0;0;0.0;10.0
o;1;20.0;Strebel Joel;***;3;57.25;5;18.75;4;-1.25;8.5
+;3;28.5;Odermatt Jonas (2004);;10;55.5;3;28.5;0;0.0;10.0
-;2;38.5;Odermatt Adrian;**;2;57.5;1;38.75;-1;0.25;8.75
+;5;47.25;Streich Sascha;;8;56.0;4;47.5;-1;0.25;10.0

3c;Strebel Joel;***;;;;;;;;;57.25
-;;;Voggensperger Janic;**;;;;;;;8.75
+;4;8.75;Gerber Andrj;*;12;55.0;1;10.0;-3;1.25;10.0
+;5;18.75;Hügli Kaj;**;3;57.25;1;20.0;-4;1.25;10.0
+;2;28.75;Voggensperger Lars;*;3;57.25;2;28.75;0;0.0;10.0
+;1;38.75;Schmid Samuel;**;5;56.75;3;38.25;2;-0.5;9.75
o;1;48.5;Döbeli Andreas;***;1;58.5;1;48.5;0;0.0;8.75

3d;Döbeli Lukas;**;;;;;;;;;57.25
+;;;Bader Fabian;**;;;;;;;9.75
+;2;9.75;Antenen Remo (2004);;11;55.25;1;10.0;-1;0.25;10.0
o;2;19.75;Voggensperger Janic;**;5;56.75;5;18.75;3;-1.0;8.75
+;3;28.5;Graf Gian;;11;55.25;4;28.25;1;-0.25;10.0
-;2;38.5;Kropf Marcel;**;3;57.25;2;38.5;0;0.0;8.75
+;5;47.25;Christ Dario;*;12;55.0;8;46.5;3;-0.75;10.0

3e;Räbmatter Patrick;***;;;;;;;;;57.25
-;;;Erb Roger;**;;;;;;;8.75
+;4;8.75;Gerber Manuel;*;9;55.75;2;9.75;-2;1.0;10.0
+;5;18.75;Kropf Marcel;**;3;57.25;1;20.0;-4;1.25;10.0
-;2;28.75;Roth Philipp;***;4;57.0;4;28.25;2;-0.5;8.75
+;6;37.5;Hürlimann Mathias;*;7;56.25;4;38.0;-2;0.5;9.75
+;5;47.25;Stegmüller Klemens;*;11;55.25;7;46.75;2;-0.5;10.0

3f;Kropf Marcel;**;;;;;;;;;57.25
+;;;Hermann Oliver;**;;;;;;;10.0
+;1;10.0;Kulmer Nick (2004);;20;53.0;2;9.75;1;-0.25;10.0
o;1;20.0;Räbmatter Patrick;***;3;57.25;5;18.75;4;-1.25;8.5
+;3;28.5;Leuthard Reto;**;7;56.25;4;28.25;1;-0.25;10.0
-;2;38.5;Döbeli Lukas;**;3;57.25;2;38.5;0;0.0;8.75
+;5;47.25;Dobler Florian;;10;55.5;6;47.0;1;-0.25;10.0

4a;Roth Philipp;***;;;;;;;;;57.0
o;;;Odermatt Adrian;**;;;;;;;8.5
+;5;8.5;Joho Philip;*;23;36.75;1;10.0;-4;1.5;9.75
+;7;18.25;Arnold Kornel;*;14;54.5;6;18.5;-1;0.25;10.0
-;4;28.25;Räbmatter Patrick;***;3;57.25;2;28.75;-2;0.5;8.75
+;8;37.0;Widmer David;**;14;54.5;7;37.25;-1;0.25;10.0
+;6;47.0;Vieira Tiago;**;6;56.5;2;48.0;-4;1.0;10.0

4b;Roth Jan (2004);;;;;;;;;;57.0
+;;;Büttler Gian;;;;;;;;9.75
+;2;9.75;Scherrer Johann;**;18;53.5;4;8.75;2;-1.0;10.0
+;2;19.75;Schmutz Simon;*;31;27.0;6;18.5;4;-1.25;10.0
-;1;29.75;Gerber Andrj;*;12;55.0;3;28.5;2;-1.25;8.75
o;2;38.5;Roth Dominik;**;2;57.5;6;37.5;4;-1.0;8.75
+;5;47.25;Rüegg Daniel;;10;55.5;6;47.0;1;-0.25;9.75

5a;Schmid Samuel;**;;;;;;;;;56.75
+;;;Schmutz Simon;*;;;;;;;10.0
