5297-2022-05-08_Basellandschaftliches_Kantonalschwingfest-ST

1a;Döbeli Andreas;***;;;;;;;;;58.5
+;1;10.0;Böni Ralf (2004);;11;55.25;1;10.0;0;0.0;9.75
-;2;19.75;Vieira Tiago;**;6;56.5;2;19.75;0;0.0;8.75
+;3;28.5;Voggensperger Til (2004);;14;54.5;3;28.5;0;0.0;9.75
o;3;38.25;Strebel Joel;***;3;57.25;1;38.75;-2;0.5;8.5
+;7;46.75;Ancona Enea (2004);;11;55.25;7;46.75;0;0.0;10.0

5b;Voggensperger Janic;**;;;;;;;;;56.75
-;;;Strebel Joel;***;;;;;;;8.75
+;4;8.75;Graber Colin;;15;54.25;1;10.0;-3;1.25;10.0
+;5;18.75;Döbeli Lukas;**;3;57.25;2;19.75;-3;1.0;9.75
o;3;28.5;Vieira Tiago;**;6;56.5;3;28.5;0;0.0;8.75
+;7;37.25;Mangold Martin;*;15;54.25;7;37.25;0;0.0;9.75
+;6;47.0;Reinhard Pirmin;;12;55.0;8;46.5;2;-0.5;9.75

6a;Lüscher Sinisha (2006);;;;;;;;;;56.5
+;;;Reinhard Pirmin;;;;;;;;9.75
o;2;9.75;Widmer Tobias;**;2;57.5;1;10.0;-1;0.25;8.5
+;7;18.25;Kehr Damian;;15;54.25;6;18.5;-1;0.25;9.75
o;5;28.0;Mangold Michael;**;22;45.75;7;27.25;2;-0.75;8.5
+;10;36.5;Wüthrich Jonas;;18;53.5;10;36.5;0;0.0;10.0
+;8;46.5;Mangold Martin;*;15;54.25;11;45.75;3;-0.75;10.0

6b;Frank Marius (2004);;;;;;;;;;56.5
+;;;Hasler Luis;;;;;;;;9.75
-;2;9.75;Arnold Kornel;*;14;54.5;2;9.75;0;0.0;8.75
+;6;18.5;Aerni Lars;;16;54.0;6;18.5;0;0.0;10.0
+;3;28.5;Stadler Kevin;*;19;53.25;6;27.5;3;-1.0;9.75
o;3;38.25;Hermann Oliver;**;7;56.25;4;38.0;1;-0.25;8.5
+;7;46.75;Dünner Tobias (2005);;11;55.25;7;46.75;0;0.0;9.75

6c;Vieira Tiago;**;;;;;;;;;56.5
+;;;Henzer Andreas;**;;;;;;;9.75
+;2;9.75;Stampfli Simon (2004);;17;53.75;2;9.75;0;0.0;10.0
-;2;19.75;Schmid Samuel;**;5;56.75;2;19.75;0;0.0;8.75
+;3;28.5;Voggensperger Janic;**;5;56.75;3;28.5;0;0.0;9.75
+;3;38.25;Schwegler Dominik;;9;55.75;3;38.25;0;0.0;9.75
o;2;48.0;Roth Philipp;***;4;57.0;6;47.0;4;-1.0;8.5

7a;Hürlimann Mathias;*;;;;;;;;;56.25
o;;;Gerber Andrj;*;;;;;;;8.5
+;5;8.5;Wüthrich Jonas;;18;53.5;2;9.75;-3;1.25;9.75
+;7;18.25;Späti Jan;;8;56.0;5;18.75;-2;0.5;10.0
+;4;28.25;Christ Dario;*;12;55.0;5;28.0;1;-0.25;9.75
o;4;38.0;Räbmatter Patrick;***;3;57.25;6;37.5;2;-0.5;8.5
+;8;46.5;Odermatt Jonas (2004);;10;55.5;6;47.0;-2;0.5;9.75

7b;Hermann Oliver;**;;;;;;;;;56.25
o;;;Kropf Marcel;**;;;;;;;8.5
+;5;8.5;Rüegg Daniel;;10;55.5;1;10.0;-4;1.5;9.75
+;7;18.25;Meier Daniel;;7;56.25;3;19.5;-4;1.25;10.0
+;4;28.25;Henzer Andreas;**;11;55.25;4;28.25;0;0.0;9.75
+;4;38.0;Frank Marius (2004);;6;56.5;3;38.25;-1;0.25;9.75
o;3;47.75;Roth Dominik;**;2;57.5;4;47.5;1;-0.25;8.5

7c;Meier Daniel;;;;;;;;;;56.25
+;;;Gisin Yanic;;;;;;;;9.75
+;2;9.75;Soland Marcel (2006);;26;35.25;2;9.75;0;0.0;9.75
o;3;19.5;Hermann Oliver;**;7;56.25;7;18.25;4;-1.25;8.5
+;5;28.0;Steger Robert;;17;53.75;4;28.25;-1;0.25;9.75
o;5;37.75;Leuthard Reto;**;7;56.25;9;36.75;4;-1.0;8.5
+;9;46.25;Erb Roger;**;11;55.25;7;46.75;-2;0.5;10.0

7d;Leuthard Reto;**;;;;;;;;;56.25
+;;;Stegmüller Klemens;*;;;;;;;10.0
o;1;10.0;Roth Dominik;**;2;57.5;4;8.75;3;-1.25;8.5
+;6;18.5;Abt Robin;;25;35.5;6;18.5;0;0.0;9.75
o;4;28.25;Kropf Marcel;**;3;57.25;3;28.5;-1;0.25;8.5
+;9;36.75;Meier Daniel;;7;56.25;5;37.75;-4;1.0;9.75
+;8;46.5;Henzer Andreas;**;11;55.25;7;46.75;-1;0.25;9.75

8a;Späti Jan;;;;;;;;;;56.0
-;;;Brugger Jonas;;;;;;;;8.75
+;4;8.75;Herrmann Daniel;;27;34.75;4;8.75;0;0.0;10.0
o;5;18.75;Hürlimann Mathias;*;7;56.25;7;18.25;2;-0.5;8.75
+;6;27.5;Furter Jannis (2004);;25;35.5;8;27.0;2;-0.5;9.75
+;7;37.25;Stadler Kevin;*;19;53.25;12;36.0;5;-1.25;9.75
-;6;47.0;Schwegler Dominik;;9;55.75;7;46.75;1;-0.25;9.0

8b;Joho Pascal (2004);;;;;;;;;;56.0
-;;;Bachmann Sämi;;;;;;;;8.75
+;4;8.75;Ledermann Patrik;;13;54.75;4;8.75;0;0.0;10.0
+;5;18.75;Probst Gabriel;**;11;55.25;7;18.25;2;-0.5;9.75
-;3;28.5;Widmer Tobias;**;2;57.5;3;28.5;0;0.0;9.0
-;6;37.5;Brand Christian;**;12;55.0;7;37.25;1;-0.25;8.75
+;9;46.25;Bieli Andreas;;14;54.5;11;45.75;2;-0.5;9.75

8c;Streich Sascha;;;;;;;;;;56.0
-;;;Widmer David;**;;;;;;;8.75
+;4;8.75;Loosli Adrian;;19;53.25;4;8.75;0;0.0;10.0
-;5;18.75;Rüegger Aaron;*;9;55.75;7;18.25;2;-0.5;8.75
+;6;27.5;Schreiber Raphael (2004);;24;35.75;7;27.25;1;-0.25;10.0
+;6;37.5;Kehr Damian;;15;54.25;8;37.0;2;-0.5;10.0
o;4;47.5;Hügli Kaj;**;3;57.25;5;47.25;1;-0.25;8.5

9a;Gerber Manuel;*;;;;;;;;;55.75
+;;;Rüegger Aaron;*;;;;;;;9.75
o;2;9.75;Räbmatter Patrick;***;3;57.25;4;8.75;2;-1.0;8.5
-;7;18.25;Rohrbach Jérôme;;9;55.75;5;18.75;-2;0.5;8.75
+;8;27.0;Reinhard Roman (2005);;15;54.25;7;27.25;-1;0.25;10.0
-;8;37.0;Arnold Kornel;*;14;54.5;8;37.0;0;0.0;8.75
+;11;45.75;Buchmann Moritz (2005);;15;54.25;11;45.75;0;0.0;10.0

9b;Rohrbach Jérôme;;;;;;;;;;55.75
-;;;Stadler Kevin;*;;;;;;;8.75
+;4;8.75;Schärer Nico (2004);;24;35.75;2;9.75;-2;1.0;10.0
-;5;18.75;Gerber Manuel;*;9;55.75;7;18.25;2;-0.5;8.75
+;6;27.5;Burren Dominik;;15;54.25;7;27.25;1;-0.25;10.0
+;6;37.5;Studinger Robin (2006);;14;54.5;8;37.0;2;-0.5;9.75
o;5;47.25;Odermatt Adrian;**;2;57.5;4;47.5;-1;0.25;8.5

9c;Schwegler Dominik;;;;;;;;;;55.75
+;;;Richardson Patrick;;;;;;;;10.0
+;1;10.0;Stegmüller Klemens;*;11;55.25;5;8.5;4;-1.5;9.75
-;2;19.75;Stoll Simon;**;11;55.25;6;18.5;4;-1.25;8.75
+;3;28.5;Rüegg Daniel;;10;55.5;3;28.5;0;0.0;9.75
o;3;38.25;Vieira Tiago;**;6;56.5;3;38.25;0;0.0;8.5
-;7;46.75;Späti Jan;;8;56.0;6;47.0;-1;0.25;9.0

9d;Bader Fabian;**;;;;;;;;;55.75
o;;;Döbeli Lukas;**;;;;;;;8.5
+;5;8.5;Suter Jonas;;16;54.0;1;10.0;-4;1.5;10.0
+;6;18.5;Schwab David;;14;54.5;6;18.5;0;0.0;10.0
o;3;28.5;Döbeli Andreas;***;1;58.5;3;28.5;0;0.0;8.5
o;8;37.0;Widmer Tobias;**;2;57.5;6;37.5;-2;0.5;8.75
+;11;45.75;Burren Dominik;;15;54.25;11;45.75;0;0.0;10.0

9e;Rüegger Aaron;*;;;;;;;;;55.75
o;;;Gerber Manuel;*;;;;;;;8.5
+;5;8.5;Stalder Jonas;;15;54.25;2;9.75;-3;1.25;9.75
-;7;18.25;Streich Sascha;;8;56.0;5;18.75;-2;0.5;8.75
+;8;27.0;Bieli Andreas;;14;54.5;7;27.25;-1;0.25;9.75
+;9;36.75;Antenen Remo (2004);;11;55.25;9;36.75;0;0.0;10.0
-;7;46.75;Brand Christian;**;12;55.0;10;46.0;3;-0.75;9.0

10a;Regenass Beat;;;;;;;;;;55.5
-;;;Schwab David;;;;;;;;8.75
+;4;8.75;Nyffenegger Florian;;26;35.25;5;8.5;1;-0.25;9.75
-;6;18.5;Kulmer Nick (2004);;20;53.0;7;18.25;1;-0.25;8.75
o;7;27.25;Stegmüller Klemens;*;11;55.25;8;27.0;1;-0.25;8.5
+;13;35.75;Anderegg Michael (2006);;20;53.0;12;36.0;-1;0.25;10.0
+;11;45.75;Suter Jonas;;16;54.0;12;45.5;1;-0.25;9.75

10b;Odermatt Jonas (2004);;;;;;;;;;55.5
o;;;Räber Lukas;*;;;;;;;8.5
+;5;8.5;Bieli Andreas;;14;54.5;4;8.75;-1;0.25;10.0
+;6;18.5;Buchmann Moritz (2005);;15;54.25;6;18.5;0;0.0;10.0
o;3;28.5;Hügli Kaj;**;3;57.25;3;28.5;0;0.0;8.5
+;8;37.0;Hermann Lukas;;14;54.5;8;37.0;0;0.0;10.0
o;6;47.0;Hürlimann Mathias;*;7;56.25;8;46.5;2;-0.5;8.5

10c;Stocker Niklas (2005);;;;;;;;;;55.5
+;;;Brunner Lukas (2006);;;;;;;;10.0
o;1;10.0;Schmutz Adrian;*;15;54.25;5;8.5;4;-1.5;8.5
o;6;18.5;Gerber Andrj;*;12;55.0;6;18.5;0;0.0;8.5
o;8;27.0;Gisin Yanic;;11;55.25;8;27.0;0;0.0;8.75
+;13;35.75;Hohler Janis (2005);;21;52.75;13;35.75;0;0.0;10.0
+;11;45.75;Reinhard Roman (2005);;15;54.25;11;45.75;0;0.0;9.75

10d;Müller Simon;;;;;;;;;;55.5
-;;;Widmer Dino;;;;;;;;8.75
+;4;8.75;Béguelin Elias (2006);;27;34.75;5;8.5;1;-0.25;9.75
o;6;18.5;Stüdeli Thomas;**;14;54.5;9;17.25;3;-1.25;8.5
+;8;27.0;Stalder Jonas;;15;54.25;8;27.0;0;0.0;9.75
-;9;36.75;Stoll Simon;**;11;55.25;11;36.25;2;-0.5;8.75
+;12;45.5;Nussbaumer Gabriel;;16;54.0;13;45.25;1;-0.25;10.0

10e;Dobler Florian;;;;;;;;;;55.5
+;;;Burren Dominik;;;;;;;;10.0
o;1;10.0;Mangold Martin;*;15;54.25;4;8.75;3;-1.25;8.5
+;6;18.5;Furter Jannis (2004);;25;35.5;6;18.5;0;0.0;9.75
-;4;28.25;Bearda Samuel;**;19;53.25;7;27.25;3;-1.0;8.75
+;8;37.0;Steger Robert;;17;53.75;9;36.75;1;-0.25;10.0
o;6;47.0;Kropf Marcel;**;3;57.25;5;47.25;-1;0.25;8.5

10f;Rüegg Daniel;;;;;;;;;;55.5
+;;;Birrer Samuel (2006);;;;;;;;10.0
o;1;10.0;Hermann Oliver;**;7;56.25;5;8.5;4;-1.5;8.5
+;6;18.5;Graber Colin;;15;54.25;6;18.5;0;0.0;10.0
o;3;28.5;Schwegler Dominik;;9;55.75;3;28.5;0;0.0;8.5
+;8;37.0;Bearda Samuel;**;19;53.25;12;36.0;4;-1.0;10.0
o;6;47.0;Roth Jan (2004);;4;57.0;5;47.25;-1;0.25;8.5

11a;Erb Roger;**;;;;;;;;;55.25
-;;;Räbmatter Patrick;***;;;;;;;8.75
+;4;8.75;Bearda Samuel;**;19;53.25;1;10.0;-3;1.25;9.75
+;6;18.5;Steger Robert;;17;53.75;3;19.5;-3;1.0;9.75
+;4;28.25;Strebel Dominic (2005);;12;55.0;4;28.25;0;0.0;10.0
o;3;38.25;Döbeli Andreas;***;1;58.5;2;38.5;-1;0.25;8.5
o;7;46.75;Meier Daniel;;7;56.25;9;46.25;2;-0.5;8.5

11b;Henzer Andreas;**;;;;;;;;;55.25
o;;;Vieira Tiago;**;;;;;;;8.5
+;5;8.5;Hermann Lukas;;14;54.5;2;9.75;-3;1.25;10.0
+;6;18.5;Nussbaumer Dominik;;15;54.25;6;18.5;0;0.0;9.75
o;4;28.25;Hermann Oliver;**;7;56.25;4;28.25;0;0.0;8.5
+;9;36.75;Suter Jonas;;16;54.0;8;37.0;-1;0.25;10.0
o;7;46.75;Leuthard Reto;**;7;56.25;8;46.5;1;-0.25;8.5

11c;Antenen Remo (2004);;;;;;;;;;55.25
+;;;Eisenring Damian (2006);;;;;;;;10.0
o;1;10.0;Döbeli Lukas;**;3;57.25;2;9.75;1;-0.25;8.5
o;6;18.5;Studinger Robin (2006);;14;54.5;6;18.5;0;0.0;8.5
+;8;27.0;Furrer Mathias;;25;35.5;8;27.0;0;0.0;9.75
o;9;36.75;Rüegger Aaron;*;9;55.75;9;36.75;0;0.0;8.5
+;13;45.25;Aerni Lars;;16;54.0;12;45.5;-1;0.25;10.0

11d;Dünner Tobias (2005);;;;;;;;;;55.25
-;;;Bieli Andreas;;;;;;;;8.75
+;4;8.75;Büttler Gian;;12;55.0;4;8.75;0;0.0;9.75
+;6;18.5;Schmutz Adrian;*;15;54.25;6;18.5;0;0.0;9.75
+;4;28.25;Joho Philip;*;23;36.75;4;28.25;0;0.0;10.0
o;3;38.25;Voggensperger Lars;*;3;57.25;7;37.25;4;-1.0;8.5
o;7;46.75;Frank Marius (2004);;6;56.5;7;46.75;0;0.0;8.5

11e;Graf Gian;;;;;;;;;;55.25
+;;;Abt Robin;;;;;;;;10.0
o;1;10.0;Schmutz Simon;*;31;27.0;4;8.75;3;-1.25;8.5
+;6;18.5;Allenbach Patrick;;26;35.25;10;17.0;4;-1.5;9.75
o;4;28.25;Döbeli Lukas;**;3;57.25;3;28.5;-1;0.25;8.5
o;9;36.75;Ancona Enea (2004);;11;55.25;9;36.75;0;0.0;8.5
+;13;45.25;Richardson Patrick;;20;53.0;16;44.5;3;-0.75;10.0

11f;Probst Gabriel;**;;;;;;;;;55.25
o;;;Joho Philip;*;;;;;;;8.5
+;5;8.5;Furrer Mathias;;25;35.5;2;9.75;-3;1.25;9.75
o;7;18.25;Joho Pascal (2004);;8;56.0;5;18.75;-2;0.5;8.5
+;9;26.75;Schärer Nico (2004);;24;35.75;7;27.25;-2;0.5;10.0
+;9;36.75;Suter Lukas;;16;54.0;9;36.75;0;0.0;10.0
o;7;46.75;Widmer Tobias;**;2;57.5;4;47.5;-3;0.75;8.5

11g;Gisin Yanic;;;;;;;;;;55.25
o;;;Meier Daniel;;;;;;;;8.5
+;5;8.5;Birrer Samuel (2006);;25;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Räber Lukas;*;14;54.5;7;18.25;1;-0.25;8.5
+;8;27.0;Stocker Niklas (2005);;10;55.5;8;27.0;0;0.0;9.75
o;9;36.75;Hasler Luis;;13;54.75;12;36.0;3;-0.75;8.5
+;13;45.25;Steger Robert;;17;53.75;13;45.25;0;0.0;10.0

11h;Ancona Enea (2004);;;;;;;;;;55.25
+;;;Suter Lukas;;;;;;;;9.75
o;2;9.75;Steger Robert;;17;53.75;2;9.75;0;0.0;8.5
+;7;18.25;Halbeisen Florian (2005);;25;35.5;7;18.25;0;0.0;10.0
o;4;28.25;Widmer David;**;14;54.5;7;27.25;3;-1.0;8.5
+;9;36.75;Graf Gian;;11;55.25;9;36.75;0;0.0;10.0
o;7;46.75;Schmid Samuel;**;5;56.75;7;46.75;0;0.0;8.5

11i;Böni Ralf (2004);;;;;;;;;;55.25
+;;;Regenass Reto;;;;;;;;10.0
o;1;10.0;Schmid Samuel;**;5;56.75;1;10.0;0;0.0;8.5
o;6;18.5;Strebel Dominic (2005);;12;55.0;6;18.5;0;0.0;8.5
+;8;27.0;Burtschi Michael;;25;35.5;8;27.0;0;0.0;9.75
-;9;36.75;Scherrer Johann;**;18;53.5;12;36.0;3;-0.75;8.75
+;12;45.5;Fritz Andreas;;19;53.25;16;44.5;4;-1.0;9.75

11j;Stegmüller Klemens;*;;;;;;;;;55.25
o;;;Leuthard Reto;**;;;;;;;8.5
o;5;8.5;Schwegler Dominik;;9;55.75;1;10.0;-4;1.5;8.5
+;10;17.0;Reinhard Pirmin;;12;55.0;7;18.25;-3;1.25;10.0
+;8;27.0;Regenass Beat;;10;55.5;7;27.25;-1;0.25;9.75
+;9;36.75;Kehr Damian;;15;54.25;8;37.0;-1;0.25;10.0
o;7;46.75;Räbmatter Patrick;***;3;57.25;5;47.25;-2;0.5;8.5

11k;Stoll Simon;**;;;;;;;;;55.25
o;;;Döbeli Andreas;***;;;;;;;8.5
+;5;8.5;Kehr Damian;;15;54.25;1;10.0;-4;1.5;10.0
-;6;18.5;Schwegler Dominik;;9;55.75;2;19.75;-4;1.25;8.75
-;7;27.25;Räber Lukas;*;14;54.5;4;28.25;-3;1.0;9.0
-;11;36.25;Müller Simon;;10;55.5;9;36.75;-2;0.5;9.0
+;13;45.25;Graber Colin;;15;54.25;11;45.75;-2;0.5;10.0

12a;Reinhard Pirmin;;;;;;;;;;55.0
+;;;Béguelin Elias (2006);;;;;;;;9.75
o;2;9.75;Lüscher Sinisha (2006);;6;56.5;2;9.75;0;0.0;8.5
o;7;18.25;Stegmüller Klemens;*;11;55.25;10;17.0;3;-1.25;8.5
+;9;26.75;Burkhardt Roy;;27;34.75;10;26.25;1;-0.5;9.75
+;10;36.5;Stampfli Simon (2004);;17;53.75;10;36.5;0;0.0;10.0
o;8;46.5;Voggensperger Janic;**;5;56.75;6;47.0;-2;0.5;8.5

12b;Büttler Gian;;;;;;;;;;55.0
o;;;Roth Jan (2004);;;;;;;;8.75
o;4;8.75;Dünner Tobias (2005);;11;55.25;4;8.75;0;0.0;8.75
o;8;17.5;Hasler Luis;;13;54.75;9;17.25;1;-0.25;8.75
+;10;26.25;Soland Marcel (2006);;26;35.25;9;26.75;-1;0.5;10.0
+;11;36.25;Jehle Aaron (2005);;19;53.25;12;36.0;1;-0.25;9.75
-;10;46.0;Gerber Andrj;*;12;55.0;10;46.0;0;0.0;9.0

12c;Christ Dario;*;;;;;;;;;55.0
o;;;Arnold Kornel;*;;;;;;;8.5
+;5;8.5;Furter Jannis (2004);;25;35.5;1;10.0;-4;1.5;9.75
+;7;18.25;Schreiber Raphael (2004);;24;35.75;5;18.75;-2;0.5;9.75
o;5;28.0;Hürlimann Mathias;*;7;56.25;4;28.25;-1;0.25;8.5
+;10;36.5;Aerni Lars;;16;54.0;8;37.0;-2;0.5;10.0
o;8;46.5;Döbeli Lukas;**;3;57.25;5;47.25;-3;0.75;8.5

12d;Gerber Andrj;*;;;;;;;;;55.0
+;;;Hürlimann Mathias;*;;;;;;;10.0
o;1;10.0;Strebel Joel;***;3;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Stocker Niklas (2005);;10;55.5;6;18.5;0;0.0;10.0
-;3;28.5;Roth Jan (2004);;4;57.0;1;29.75;-2;1.25;8.75
-;7;37.25;Räber Lukas;*;14;54.5;8;37.0;1;-0.25;8.75
-;10;46.0;Büttler Gian;;12;55.0;10;46.0;0;0.0;9.0

12e;Brand Christian;**;;;;;;;;;55.0
-;;;Mangold Michael;**;;;;;;;8.75
+;4;8.75;Buchmann Moritz (2005);;15;54.25;1;10.0;-3;1.25;9.75
-;6;18.5;Mangold Martin;*;15;54.25;6;18.5;0;0.0;8.75
+;7;27.25;Caviezel Nicolas;;12;55.0;4;28.25;-3;1.0;10.0
-;7;37.25;Joho Pascal (2004);;8;56.0;6;37.5;-1;0.25;8.75
-;10;46.0;Rüegger Aaron;*;9;55.75;7;46.75;-3;0.75;9.0

12f;Caviezel Nicolas;;;;;;;;;;55.0
o;;;Steger Robert;;;;;;;;8.5
+;5;8.5;Rickenbacher Remo (2006);;30;34.0;5;8.5;0;0.0;9.75
+;7;18.25;Herrmann Daniel;;27;34.75;9;17.25;2;-1.0;10.0
o;4;28.25;Brand Christian;**;12;55.0;7;27.25;3;-1.0;8.5
o;9;36.75;Burren Dominik;;15;54.25;13;35.75;4;-1.0;8.5
+;13;45.25;Suter Lukas;;16;54.0;13;45.25;0;0.0;9.75

12g;Strebel Dominic (2005);;;;;;;;;;55.0
+;;;Wiedmer Lukas;;;;;;;;10.0
o;1;10.0;Hügli Kaj;**;3;57.25;1;10.0;0;0.0;8.5
+;6;18.5;Böni Ralf (2004);;11;55.25;6;18.5;0;0.0;9.75
o;4;28.25;Erb Roger;**;11;55.25;4;28.25;0;0.0;8.5
+;9;36.75;Voggensperger Til (2004);;14;54.5;8;37.0;-1;0.25;9.75
o;8;46.5;Voggensperger Lars;*;3;57.25;5;47.25;-3;0.75;8.5

13a;Hasler Luis;;;;;;;;;;54.75
o;;;Frank Marius (2004);;;;;;;;8.5
-;5;8.5;Burkhardt Roy;;27;34.75;4;8.75;-1;0.25;8.75
+;9;17.25;Büttler Gian;;12;55.0;8;17.5;-1;0.25;10.0
