3363-2016-05-29_Fete_Cantonale_Vaudoise2-ST

1a;Roch Vincent;*;;;;;;;;;58.0
o;12;36.25;Portmann Fabio (1998);;13;54.75;11;36.5;-1;0.25;8.5
+;15;44.75;Maridor Loic;;18;53.5;14;45.0;-1;0.25;9.75

15a;Colò Kilian (1999);;;;;;;;;;54.25
-;;;Loup Alexandre;;;;;;;;8.75
+;4;8.75;Pittet Guillaume;;16;54.0;1;10.0;-3;1.25;9.75
-;6;18.5;Minder Florian;;25;45.75;5;18.75;-1;0.25;8.75
o;9;27.25;Berset Julien;*;10;55.5;10;27.0;1;-0.25;8.5
+;14;35.75;Vaucher Rémy (1999);;21;52.75;14;35.75;0;0.0;10.0
o;11;45.75;Glauser Thomas;**;11;55.25;12;45.5;1;-0.25;8.5

15b;Torche Bastian;;;;;;;;;;54.25
+;;;Gauch Thierry;;;;;;;;10.0
o;1;10.0;Remy Guillaume;**;8;56.0;4;8.75;3;-1.25;8.5
+;6;18.5;Quiot Didier;;17;53.75;6;18.5;0;0.0;10.0
o;5;28.5;Haenni Stéphane;**;4;57.0;5;28.5;0;0.0;8.5
-;9;37.0;Schöpfer Dio;;9;55.75;9;37.0;0;0.0;8.75
o;11;45.75;Hayoz Quentin;;8;56.0;10;46.0;-1;0.25;8.5

15c;Bersier Jean-Jacques;;;;;;;;;;54.25
+;;;Taillard Virgile (1998);;;;;;;;9.75
o;2;9.75;Giroud Jonathan;**;12;55.0;5;8.5;3;-1.25;8.5
-;7;18.25;Jacquier Pascal;;28;44.25;6;18.5;-1;0.25;8.75
o;10;27.0;Dufey Gil;;12;55.0;10;27.0;0;0.0;8.5
+;15;35.5;Mariéthoz Grégory (1999);;16;54.0;14;35.75;-1;0.25;9.75
-;13;45.25;Lerch Jimmy;*;12;55.0;10;46.0;-3;0.75;9.0

15d;Schafer Damien;;;;;;;;;;54.25
-;;;Parvex Yannick;;;;;;;;8.75
+;4;8.75;Cottier Marco (2000);;22;52.5;1;10.0;-3;1.25;10.0
o;5;18.75;Hayoz Quentin;;8;56.0;5;18.75;0;0.0;8.5
o;9;27.25;Pellet Michael;**;14;54.5;13;26.0;4;-1.25;8.5
+;14;35.75;Maridor Loic;;18;53.5;11;36.5;-3;0.75;10.0
o;11;45.75;Droxler Jonathan;*;9;55.75;11;45.75;0;0.0;8.5

16a;Mariéthoz Grégory (1999);;;;;;;;;;54.0
+;;;Hochuli Samuel (1998);;;;;;;;10.0
o;1;10.0;Portmann Fabio (1998);;13;54.75;2;9.75;1;-0.25;8.75
o;5;18.75;Borcard Johann;**;3;57.25;9;17.5;4;-1.25;8.5
o;9;27.25;Zingrich Jan (1999);;17;53.75;10;27.0;1;-0.25;8.5
o;14;35.75;Bersier Jean-Jacques;;15;54.25;15;35.5;1;-0.25;8.5
+;17;44.25;Vaucher Rémy (1999);;21;52.75;17;44.25;0;0.0;9.75

16b;Aladenise Jonathan;;;;;;;;;;54.0
o;;;Hayoz Quentin;;;;;;;;8.5
+;5;8.5;Goy Sébastien;;24;51.0;5;8.5;0;0.0;10.0
o;6;18.5;Loup Alexandre;;14;54.5;10;17.25;4;-1.25;8.5
+;10;27.0;Quiot Didier;;17;53.75;10;27.0;0;0.0;10.0
o;9;37.0;Emonet Frédéric;*;16;54.0;15;35.5;6;-1.5;8.5
o;12;45.5;Schafer Claudio;*;11;55.25;12;45.5;0;0.0;8.5

16c;Mollet Adrian;;;;;;;;;;54.0
+;;;Buchs Remo (1999);;;;;;;;10.0
o;1;10.0;Morger Adrian;*;11;55.25;4;8.75;3;-1.25;8.5
o;6;18.5;Zosso Remo;**;9;55.75;9;17.5;3;-1.0;8.5
+;10;27.0;Cottier Marco (2000);;22;52.5;10;27.0;0;0.0;10.0
o;9;37.0;Gassmann Simon;;5;56.75;9;37.0;0;0.0;8.5
o;12;45.5;Loup Grégoire (2000);;11;55.25;12;45.5;0;0.0;8.5

16d;Pürro Fabrice (1999);;;;;;;;;;54.0
o;;;Burgy Frank;;;;;;;;8.5
o;5;8.5;Taillard Virgile (1998);;16;54.0;5;8.5;0;0.0;8.5
+;11;17.0;Goy Sébastien;;24;51.0;11;17.0;0;0.0;10.0
o;10;27.0;Maridor Loic;;18;53.5;11;26.75;1;-0.25;8.5
o;15;35.5;Loup Grégoire (2000);;11;55.25;15;35.5;0;0.0;8.5
+;18;44.0;Roux Dimitri;;21;52.75;17;44.25;-1;0.25;10.0

16e;Emonet Frédéric;*;;;;;;;;;54.0
o;;;Haenni Stéphane;**;;;;;;;8.5
o;5;8.5;Schwander Severin;;4;57.0;1;10.0;-4;1.5;8.5
+;11;17.0;Zingrich Jan (1999);;17;53.75;6;18.5;-5;1.5;10.0
o;10;27.0;Zosso Remo;**;9;55.75;8;27.5;-2;0.5;8.5
+;15;35.5;Aladenise Jonathan;;16;54.0;9;37.0;-6;1.5;10.0
o;12;45.5;Derron Cédric;*;11;55.25;13;45.25;1;-0.25;8.5

16f;Taillard Virgile (1998);;;;;;;;;;54.0
o;;;Bersier Jean-Jacques;;;;;;;;8.5
+;5;8.5;Pürro Fabrice (1999);;16;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Glauser Thomas;**;11;55.25;11;17.0;5;-1.5;8.5
o;10;27.0;Parvex Yannick;;27;45.25;10;27.0;0;0.0;8.5
+;15;35.5;Curty Alexandre;;16;54.0;15;35.5;0;0.0;10.0
o;12;45.5;Barras François (1998);;9;55.75;11;45.75;-1;0.25;8.5

16g;Pittet Guillaume;;;;;;;;;;54.0
+;;;Paradiso Yannick;;;;;;;;10.0
o;1;10.0;Colò Kilian (1999);;15;54.25;4;8.75;3;-1.25;8.5
o;6;18.5;Schneiter Jérémy;;16;54.0;6;18.5;0;0.0;8.5
o;10;27.0;Pürro Tobias;;17;53.75;11;26.75;1;-0.25;8.5
o;15;35.5;Lützelschwab Luc (1999);;13;54.75;16;35.25;1;-0.25;8.5
+;18;44.0;Thiébaud Adrian;;22;52.5;18;44.0;0;0.0;10.0

16h;Schneiter Jérémy;;;;;;;;;;54.0
o;;;Schöpfer Dio;;;;;;;;8.5
+;5;8.5;Gauch Thierry;;21;52.75;5;8.5;0;0.0;10.0
+;6;18.5;Pittet Guillaume;;16;54.0;6;18.5;0;0.0;9.75
o;6;28.25;Lerch Jimmy;*;12;55.0;8;27.5;2;-0.75;8.5
o;10;36.75;Dubey Gaël;;13;54.75;11;36.5;1;-0.25;8.5
-;13;45.25;Chavagnat Benoît (1999);;17;53.75;14;45.0;1;-0.25;8.75

16i;Curty Alexandre;;;;;;;;;;54.0
+;;;Thiébaud Adrian;;;;;;;;10.0
o;1;10.0;Mauron Olivier;*;8;56.0;3;9.0;2;-1.0;8.5
o;6;18.5;Dousse Michel;*;6;56.5;7;18.25;1;-0.25;8.5
o;10;27.0;Barras François (1998);;9;55.75;9;27.25;-1;0.25;8.5
o;15;35.5;Taillard Virgile (1998);;16;54.0;15;35.5;0;0.0;8.5
+;18;44.0;Cottier Marco (2000);;22;52.5;18;44.0;0;0.0;10.0

17a;Golliard Steve;;;;;;;;;;53.75
o;;;Lützelschwab Luc (1999);;;;;;;;8.5
+;5;8.5;Blanchette Nicolas;;22;52.5;5;8.5;0;0.0;9.75
+;7;18.25;Thiébaud Adrian;;22;52.5;11;17.0;4;-1.25;10.0
o;6;28.25;Mauron Olivier;*;8;56.0;8;27.5;2;-0.75;8.5
o;10;36.75;Parvex Yannick;;27;45.25;10;36.75;0;0.0;8.5
o;13;45.25;Morger Adrian;*;11;55.25;13;45.25;0;0.0;8.5

17b;Zingrich Jan (1999);;;;;;;;;;53.75
o;;;Minder Florian;;;;;;;;8.5
+;5;8.5;Roux Dimitri;;21;52.75;5;8.5;0;0.0;10.0
o;6;18.5;Emonet Frédéric;*;16;54.0;11;17.0;5;-1.5;8.5
+;10;27.0;Mariéthoz Grégory (1999);;16;54.0;9;27.25;-1;0.25;9.75
o;10;36.75;Berset Julien;*;10;55.5;9;37.0;-1;0.25;8.5
o;13;45.25;Burgy Matt (1999);;10;55.5;12;45.5;-1;0.25;8.5

17c;Pürro Tobias;;;;;;;;;;53.75
o;;;Chavagnat Benoît (1999);;;;;;;;8.5
+;5;8.5;Paradiso Yannick;;23;52.25;5;8.5;0;0.0;9.75
o;7;18.25;Burgy Matt (1999);;10;55.5;6;18.5;-1;0.25;8.5
+;11;26.75;Pittet Guillaume;;16;54.0;10;27.0;-1;0.25;10.0
o;10;36.75;Ducry Antoine;*;11;55.25;10;36.75;0;0.0;8.5
o;13;45.25;Dufey Gil;;12;55.0;13;45.25;0;0.0;8.5

17d;Chavagnat Benoît (1999);;;;;;;;;;53.75
+;;;Pürro Tobias;;;;;;;;9.75
+;2;9.75;Kramer Dorian (1999);;13;54.75;3;9.0;1;-0.75;9.75
o;3;19.5;Berset Frédéric;**;10;55.5;7;18.25;4;-1.25;8.5
o;7;28.0;Kramer Lario (1998);*;10;55.5;6;28.25;-1;0.25;8.5
o;11;36.5;Burgy Frank;;12;55.0;11;36.5;0;0.0;8.5
-;14;45.0;Schneiter Jérémy;;16;54.0;13;45.25;-1;0.25;8.75

17e;Buchs Remo (1999);;;;;;;;;;53.75
o;;;Mollet Adrian;;;;;;;;8.5
o;5;8.5;Jacquier Pascal;;28;44.25;5;8.5;0;0.0;8.5
o;11;17.0;Heiniger Mickaël;;28;44.25;11;17.0;0;0.0;8.5
+;14;25.5;Paradiso Yannick;;23;52.25;14;25.5;0;0.0;10.0
+;15;35.5;Roux Dimitri;;21;52.75;14;35.75;-1;0.25;9.75
o;13;45.25;Giroud Jonathan;**;12;55.0;13;45.25;0;0.0;8.5

17f;Quiot Didier;;;;;;;;;;53.75
+;;;Goy Sébastien;;;;;;;;10.0
o;1;10.0;Gassmann Simon;;5;56.75;5;8.5;4;-1.5;8.5
o;6;18.5;Torche Bastian;;15;54.25;6;18.5;0;0.0;8.5
o;10;27.0;Aladenise Jonathan;;16;54.0;10;27.0;0;0.0;8.5
+;15;35.5;Cottier Marco (2000);;22;52.5;15;35.5;0;0.0;9.75
o;13;45.25;Crettaz Olivier;;27;45.25;13;45.25;0;0.0;8.5

18a;Maridor Loic;;;;;;;;;;53.5
+;;;Vaucher Rémy (1999);;;;;;;;9.75
o;2;9.75;Zimmermann Mario;*;9;55.75;5;8.5;3;-1.25;8.5
o;7;18.25;Mosimann Vincent;*;7;56.25;7;18.25;0;0.0;8.5
+;11;26.75;Pürro Fabrice (1999);;16;54.0;10;27.0;-1;0.25;9.75
o;11;36.5;Schafer Damien;;15;54.25;14;35.75;3;-0.75;8.5
o;14;45.0;Rüegg Patrick (1999);;14;54.5;15;44.75;1;-0.25;8.5

19a;Rappo Yann (1998);;;;;;;;;;53.25
+;;;Burgy Matt (1999);;;;;;;;10.0
o;1;10.0;Cardinaux Victor;*;6;56.5;3;9.0;2;-1.0;8.5
o;6;18.5;Hayoz Paul (1998);*;12;55.0;7;18.25;1;-0.25;8.5
-;10;27.0;Rüegg Patrick (1999);;14;54.5;9;27.25;-1;0.25;9.0
-;13;36.0;Heiniger Mickaël;;28;44.25;14;35.75;1;-0.25;8.75
o;15;44.75;Kramer Dorian (1999);;13;54.75;14;45.0;-1;0.25;8.5

20a;Bugnon Cédric;;;;;;;;;;53.0
o;;;Crettaz Olivier;;;;;;;;8.5
o;5;8.5;Parvex Yannick;;27;45.25;4;8.75;-1;0.25;8.5
+;11;17.0;Hochuli Samuel (1998);;27;45.25;11;17.0;0;0.0;10.0
-;10;27.0;Heiniger Mickaël;;28;44.25;10;27.0;0;0.0;9.0
o;13;36.0;Jacquier Pascal;;28;44.25;14;35.75;1;-0.25;8.5
o;16;44.5;Emonet Fabien;;26;45.5;12;45.5;-4;1.0;8.5

21a;Vaucher Rémy (1999);;;;;;;;;;52.75
o;;;Maridor Loic;;;;;;;;8.5
o;5;8.5;Dufey Gil;;12;55.0;5;8.5;0;0.0;8.5
+;11;17.0;Paradiso Yannick;;23;52.25;11;17.0;0;0.0;9.75
-;11;26.75;Roux Dimitri;;21;52.75;11;26.75;0;0.0;9.0
o;14;35.75;Colò Kilian (1999);;15;54.25;14;35.75;0;0.0;8.5
o;17;44.25;Mariéthoz Grégory (1999);;16;54.0;17;44.25;0;0.0;8.5

21b;Gauch Thierry;;;;;;;;;;52.75
o;;;Torche Bastian;;;;;;;;8.5
o;5;8.5;Schneiter Jérémy;;16;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Roux Dimitri;;21;52.75;11;17.0;0;0.0;8.5
-;14;25.5;Blanchette Nicolas;;22;52.5;14;25.5;0;0.0;8.75
o;17;34.25;Hochuli Samuel (1998);;27;45.25;10;36.75;-7;2.5;8.5
+;20;42.75;Goy Sébastien;;24;51.0;21;42.5;1;-0.25;10.0

21c;Roux Dimitri;;;;;;;;;;52.75
o;;;Cottier Marco (2000);;;;;;;;8.5
o;5;8.5;Zingrich Jan (1999);;17;53.75;5;8.5;0;0.0;8.5
+;11;17.0;Gauch Thierry;;21;52.75;11;17.0;0;0.0;9.75
-;11;26.75;Vaucher Rémy (1999);;21;52.75;11;26.75;0;0.0;9.0
o;14;35.75;Buchs Remo (1999);;17;53.75;15;35.5;1;-0.25;8.5
o;17;44.25;Pürro Fabrice (1999);;16;54.0;18;44.0;1;-0.25;8.5

22a;Thiébaud Adrian;;;;;;;;;;52.5
o;;;Curty Alexandre;;;;;;;;8.5
o;5;8.5;Burgy Matt (1999);;10;55.5;5;8.5;0;0.0;8.5
o;11;17.0;Golliard Steve;;17;53.75;7;18.25;-4;1.25;8.5
o;14;25.5;Kramer Dorian (1999);;13;54.75;12;26.25;-2;0.75;8.5
+;18;34.0;Blanchette Nicolas;;22;52.5;17;34.25;-1;0.25;10.0
o;18;44.0;Pittet Guillaume;;16;54.0;18;44.0;0;0.0;8.5

22b;Blanchette Nicolas;;;;;;;;;;52.5
o;;;Portmann Fabio (1998);;;;;;;;8.5
o;5;8.5;Golliard Steve;;17;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Loup Grégoire (2000);;11;55.25;11;17.0;0;0.0;8.5
-;14;25.5;Gauch Thierry;;21;52.75;14;25.5;0;0.0;8.75
o;17;34.25;Thiébaud Adrian;;22;52.5;18;34.0;1;-0.25;8.5
+;20;42.75;Paradiso Yannick;;23;52.25;19;43.75;-1;1.0;9.75

22c;Cottier Marco (2000);;;;;;;;;;52.5
+;;;Roux Dimitri;;;;;;;;10.0
o;1;10.0;Schafer Damien;;15;54.25;4;8.75;3;-1.25;8.5
o;6;18.5;Dubey Gaël;;13;54.75;7;18.25;1;-0.25;8.5
o;10;27.0;Mollet Adrian;;16;54.0;10;27.0;0;0.0;8.5
o;15;35.5;Quiot Didier;;17;53.75;15;35.5;0;0.0;8.5
o;18;44.0;Curty Alexandre;;16;54.0;18;44.0;0;0.0;8.5

23a;Paradiso Yannick;;;;;;;;;;52.25
o;;;Pittet Guillaume;;;;;;;;8.5
o;5;8.5;Pürro Tobias;;17;53.75;5;8.5;0;0.0;8.5
o;11;17.0;Vaucher Rémy (1999);;21;52.75;11;17.0;0;0.0;8.5
o;14;25.5;Buchs Remo (1999);;17;53.75;14;25.5;0;0.0;8.5
+;18;34.0;Goy Sébastien;;24;51.0;18;34.0;0;0.0;9.75
o;19;43.75;Blanchette Nicolas;;22;52.5;20;42.75;1;-1.0;8.5

24a;Goy Sébastien;;;;;;;;;;51.0
o;;;Quiot Didier;;;;;;;;8.5
o;5;8.5;Aladenise Jonathan;;16;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Pürro Fabrice (1999);;16;54.0;11;17.0;0;0.0;8.5
o;14;25.5;Hochuli Samuel (1998);;27;45.25;11;26.75;-3;1.25;8.5
o;18;34.0;Paradiso Yannick;;23;52.25;18;34.0;0;0.0;8.5
o;21;42.5;Gauch Thierry;;21;52.75;20;42.75;-1;0.25;8.5

25a;Minder Florian;;;;;;;;;;45.75
+;;;Zingrich Jan (1999);;;;;;;;10.0
-;1;10.0;Zosso Remo;**;9;55.75;4;8.75;3;-1.25;8.75
-;5;18.75;Colò Kilian (1999);;15;54.25;6;18.5;1;-0.25;8.75
+;8;27.5;Emonet Fabien;;26;45.5;10;27.0;2;-0.5;9.75
o;8;37.25;Borcard Johann;**;3;57.25;8;37.25;0;0.0;8.5

26a;Emonet Fabien;;;;;;;;;;45.5
+;;;Dufey Gil;;;;;;;;10.0
o;1;10.0;Cropt Harald;**;4;57.0;5;8.5;4;-1.5;8.5
o;6;18.5;Schafer Claudio;*;11;55.25;7;18.25;1;-0.25;8.5
o;10;27.0;Minder Florian;;25;45.75;8;27.5;-2;0.5;8.5
+;15;35.5;Riedo Fredy;;14;54.5;13;36.0;-2;0.5;10.0

27a;Parvex Yannick;;;;;;;;;;45.25
-;;;Schafer Damien;;;;;;;;8.75
o;4;8.75;Brodard Simon;**;6;56.5;5;8.5;1;-0.25;8.5
+;10;17.25;Taillard Virgile (1998);;16;54.0;6;18.5;-4;1.25;9.75
+;10;27.0;Golliard Steve;;17;53.75;6;28.25;-4;1.25;9.75
o;10;36.75;Chèvre Bernard;;5;56.75;4;38.25;-6;1.5;8.5

27b;Crettaz Olivier;;;;;;;;;;45.25
o;;;Lerch Jimmy;*;;;;;;;8.5
+;5;8.5;Lützelschwab Luc (1999);;13;54.75;2;9.75;-3;1.25;9.75
o;7;18.25;Zimmermann Mario;*;9;55.75;7;18.25;0;0.0;8.5
-;11;26.75;Kramer Dorian (1999);;13;54.75;12;26.25;1;-0.5;8.75
+;15;35.5;Quiot Didier;;17;53.75;15;35.5;0;0.0;9.75

27c;Hochuli Samuel (1998);;;;;;;;;;45.25
o;;;Mariéthoz Grégory (1999);;;;;;;;8.5
o;5;8.5;Rüegg Patrick (1999);;14;54.5;3;9.0;-2;0.5;8.5
+;11;17.0;Goy Sébastien;;24;51.0;11;17.0;0;0.0;9.75
+;11;26.75;Gauch Thierry;;21;52.75;14;25.5;3;-1.25;10.0
o;10;36.75;Lützelschwab Luc (1999);;13;54.75;16;35.25;6;-1.5;8.5

28a;Jacquier Pascal;;;;;;;;;;44.25
o;;;Chèvre Bernard;;;;;;;;8.5
+;5;8.5;Buchs Remo (1999);;17;53.75;5;8.5;0;0.0;10.0
-;6;18.5;Bersier Jean-Jacques;;15;54.25;7;18.25;1;-0.25;8.75
o;9;27.25;Loup Alexandre;;14;54.5;9;27.25;0;0.0;8.5
o;14;35.75;Zosso Remo;**;9;55.75;8;37.25;-6;1.5;8.5

28b;Heiniger Mickaël;;;;;;;;;;44.25
o;;;Buchs Carlo;;;;;;;;8.5
o;5;8.5;Dubey Gaël;;13;54.75;5;8.5;0;0.0;8.5
+;11;17.0;Buchs Remo (1999);;17;53.75;11;17.0;0;0.0;10.0
-;10;27.0;Rappo Yann (1998);;19;53.25;10;27.0;0;0.0;8.75
o;14;35.75;Riedo Fredy;;14;54.5;13;36.0;-1;0.25;8.5

29a;Berset Cyril;*;;;;;;;;;17.0
o;;;Mosimann Vincent;*;;;;;;;8.5
o;5;8.5;Chèvre Bernard;;5;56.75;1;10.0;-4;1.5;8.5

