3969-2018-06-17_Buendner-Glarner_Kantonalschwingfest-ST

1a;Orlik Armon;***;;;;;;;;;60.0
+;;;Burkhalter Stefan;***;;;;;;;10.0
+;1;10.0;Schmid Dominik;**;24;46.75;2;9.75;1;-0.25;10.0
+;1;20.0;Schäppi Urs;*;7;56.5;3;19.5;2;-0.5;10.0
+;1;30.0;Rychen Roger;***;2;58.0;2;29.75;1;-0.25;10.0
+;1;40.0;Bösch Daniel;***;6;56.75;3;38.5;2;-1.5;10.0
+;1;50.0;Rychen Roger;***;2;58.0;3;48.25;2;-1.75;10.0

2a;Rychen Roger;***;;;;;;;;;58.0
+;;;Krähenbühl Tobias;***;;;;;;;9.75
+;2;9.75;Holenstein Christian;*;12;55.25;2;9.75;0;0.0;10.0
+;2;19.75;Schmid Patrick;*;5;57.0;1;20.0;-1;0.25;10.0
o;2;29.75;Orlik Armon;***;1;60.0;1;30.0;-1;0.25;8.5
+;4;38.25;Orlik Curdin;**;4;57.25;2;38.75;-2;0.5;10.0
+;3;48.25;Schnurrenberger Roman;**;5;57.0;2;48.5;-1;0.25;9.75
o;2;58.0;Orlik Armon;***;1;60.0;1;60.0;-1;2.0;0.0

3a;Battaglia Ursin;**;;;;;;;;;57.5
-;;;Oertig Dominik;**;;;;;;;8.75
+;4;8.75;Nock Benjamin (2001);;12;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Nägeli Roman;*;13;55.0;5;18.75;0;0.0;10.0
-;4;28.75;Notz Beni;***;4;57.25;6;28.25;2;-0.5;9.0
+;6;37.75;Wettstein Daniel;;13;55.0;5;38.0;-1;0.25;9.75
+;6;47.5;Frick Andreas;*;10;55.75;8;47.0;2;-0.5;10.0

4a;Poltera Andrin;;;;;;;;;;57.25
+;;;Held Florian;;;;;;;;10.0
-;1;10.0;Vestner Roman;*;14;54.75;4;8.75;3;-1.25;8.75
+;5;18.75;Dändliker Hansheinrich;;17;54.0;6;18.5;1;-0.25;10.0
o;4;28.75;Schlegel Sandro;**;7;56.5;8;27.5;4;-1.25;8.5
+;8;37.25;Schlegel Reto;*;15;54.5;9;37.0;1;-0.25;10.0
+;7;47.25;Arztmann Beda;*;13;55.0;10;46.5;3;-0.75;10.0

4b;Notz Beni;***;;;;;;;;;57.25
+;;;Wickli Beat;**;;;;;;;9.75
o;2;9.75;Riget Tobias;**;6;56.75;1;10.0;-1;0.25;8.5
+;7;18.25;Frick Andreas;*;10;55.75;6;18.5;-1;0.25;10.0
-;6;28.25;Battaglia Ursin;**;3;57.5;4;28.75;-2;0.5;9.0
+;8;37.25;Holenstein Christian;*;12;55.25;4;38.25;-4;1.0;10.0
+;7;47.25;Fausch Kjetil;*;11;55.5;8;47.0;1;-0.25;10.0

4c;Eugster Ruedi;**;;;;;;;;;57.25
+;;;Gwerder Andreas;**;;;;;;;9.75
-;2;9.75;Roth Martin;*;8;56.25;1;10.0;-1;0.25;8.75
+;6;18.5;Buchmann Michael;;16;54.25;2;19.75;-4;1.25;10.0
+;5;28.5;Dumelin David;*;5;57.0;6;28.25;1;-0.25;10.0
-;3;38.5;Burkhalter Stefan;***;5;57.0;4;38.25;1;-0.25;8.75
+;7;47.25;Koller Fabian;*;13;55.0;10;46.5;3;-0.75;10.0

4d;Orlik Curdin;**;;;;;;;;;57.25
-;;;Bösch Daniel;***;;;;;;;8.75
+;4;8.75;Schlegel Werner (2002);*;13;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Ammann Rico;*;14;54.75;5;18.75;0;0.0;10.0
+;4;28.75;Riget Tobias;**;6;56.75;3;29.5;-1;0.75;10.0
o;2;38.75;Rychen Roger;***;2;58.0;4;38.25;2;-0.5;8.5
+;7;47.25;Bärtsch Fabian (2000);;11;55.5;8;47.0;1;-0.25;10.0

5a;Burch Jonas;*;;;;;;;;;57.0
+;;;Morger Adrian;*;;;;;;;9.75
-;2;9.75;Peng Mike;***;30;35.0;4;8.75;2;-1.0;8.75
+;6;18.5;Schwyn Adrian;*;18;53.75;7;18.25;1;-0.25;10.0
+;5;28.5;Bühler Ernst;**;8;56.25;5;28.5;0;0.0;10.0
o;3;38.5;Gmür Pirmin;**;7;56.5;5;38.0;2;-0.5;8.5
+;8;47.0;Burkhard Tobias;;12;55.25;9;46.75;1;-0.25;10.0

5b;Dumelin David;*;;;;;;;;;57.0
o;;;Riget Tobias;**;;;;;;;8.5
+;5;8.5;Bärtsch Andreas (2002);;16;54.25;1;10.0;-4;1.5;10.0
+;6;18.5;Schlegel Reto;*;15;54.5;6;18.5;0;0.0;9.75
o;6;28.25;Eugster Ruedi;**;4;57.25;5;28.5;-1;0.25;8.75
+;9;37.0;Inauen Aurel;;11;55.5;10;36.75;1;-0.25;10.0
+;8;47.0;Bernold Christian;**;12;55.25;9;46.75;1;-0.25;10.0

5c;Schmid Patrick;*;;;;;;;;;57.0
+;;;Fausch Kjetil;*;;;;;;;10.0
+;1;10.0;Oertig Dominik;**;10;55.75;4;8.75;3;-1.25;10.0
o;1;20.0;Rychen Roger;***;2;58.0;2;19.75;1;-0.25;8.75
o;4;28.75;Gmür Pirmin;**;7;56.5;6;28.25;2;-0.5;8.5
+;8;37.25;Horner Sämi;;16;54.25;8;37.25;0;0.0;9.75
+;8;47.0;Nock Benjamin (2001);;12;55.25;9;46.75;1;-0.25;10.0

5d;Hochholdinger Roman;**;;;;;;;;;57.0
-;;;Vestner Roman;*;;;;;;;8.75
+;4;8.75;Dändliker Hansheinrich;;17;54.0;1;10.0;-3;1.25;10.0
+;5;18.75;Oettli Marco;*;11;55.5;5;18.75;0;0.0;9.75
o;5;28.5;Bösch Daniel;***;6;56.75;4;28.75;-1;0.25;8.5
+;9;37.0;Schiesser Patrik;;11;55.5;9;37.0;0;0.0;10.0
+;8;47.0;Oettli Silvio (2000);;12;55.25;9;46.75;1;-0.25;10.0

5e;Reber Marcel;*;;;;;;;;;57.0
+;;;Notz Armin;*;;;;;;;9.75
+;2;9.75;Krähenbühl Tobias;***;11;55.5;4;8.75;2;-1.0;10.0
o;2;19.75;Riget Tobias;**;6;56.75;2;19.75;0;0.0;8.5
+;6;28.25;Thoma Nils;;18;53.75;6;28.25;0;0.0;10.0
+;4;38.25;Oertig Dominik;**;10;55.75;8;37.25;4;-1.0;10.0
-;3;48.25;Gmür Pirmin;**;7;56.5;5;47.75;2;-0.5;8.75

5f;Burkhalter Stefan;***;;;;;;;;;57.0
o;;;Orlik Armon;***;;;;;;;8.5
+;5;8.5;Biäsch Christian;*;27;37.0;1;10.0;-4;1.5;9.75
+;7;18.25;Gasser Peter;*;17;54.0;5;18.75;-2;0.5;10.0
+;6;28.25;Bernold Christian;**;12;55.25;5;28.5;-1;0.25;10.0
-;4;38.25;Eugster Ruedi;**;4;57.25;3;38.5;-1;0.25;8.75
+;8;47.0;Bürgi Reto;*;13;55.0;10;46.5;2;-0.5;10.0

5g;Schnurrenberger Roman;**;;;;;;;;;57.0
+;;;Vestner Bruno;*;;;;;;;10.0
o;1;10.0;Bösch Daniel;***;6;56.75;4;8.75;3;-1.25;8.5
+;6;18.5;Koller Fabian;*;13;55.0;6;18.5;0;0.0;10.0
+;5;28.5;Biäsch Christian;*;27;37.0;5;28.5;0;0.0;10.0
+;3;38.5;Schmid Dominik;**;24;46.75;9;37.0;6;-1.5;10.0
o;2;48.5;Rychen Roger;***;2;58.0;3;48.25;1;-0.25;8.5

5h;Koch Thomas;*;;;;;;;;;57.0
+;;;Koller Fabian;*;;;;;;;10.0
o;1;10.0;Bernold Christian;**;12;55.25;3;9.0;2;-1.0;8.5
+;6;18.5;Rotach Lars (2000);;17;54.0;6;18.5;0;0.0;10.0
o;5;28.5;Krähenbühl Tobias;***;11;55.5;9;27.25;4;-1.25;8.5
+;9;37.0;Gasser Peter;*;17;54.0;9;37.0;0;0.0;10.0
+;8;47.0;Holenstein Christian;*;12;55.25;9;46.75;1;-0.25;10.0

6a;Jörger Marc;*;;;;;;;;;56.75
+;;;Frick Andreas;*;;;;;;;10.0
o;1;10.0;Schäppi Urs;*;7;56.5;2;9.75;1;-0.25;8.5
+;6;18.5;Tschudi Mario (2001);;25;45.75;6;18.5;0;0.0;10.0
+;5;28.5;Buchmann Michael;;16;54.25;6;28.25;1;-0.25;10.0
o;3;38.5;Bühler Ernst;**;8;56.25;8;37.25;5;-1.25;8.5
+;8;47.0;Thoma Christoph;;12;55.25;9;46.75;1;-0.25;9.75

6b;Bösch Daniel;***;;;;;;;;;56.75
-;;;Orlik Curdin;**;;;;;;;8.75
+;4;8.75;Schnurrenberger Roman;**;5;57.0;1;10.0;-3;1.25;10.0
+;5;18.75;Schlegel Sandro;**;7;56.5;4;19.0;-1;0.25;10.0
+;4;28.75;Hochholdinger Roman;**;5;57.0;5;28.5;1;-0.25;9.75
o;3;38.5;Orlik Armon;***;1;60.0;1;40.0;-2;1.5;8.5
+;8;47.0;Oettli Marco;*;11;55.5;8;47.0;0;0.0;9.75

6c;Steiner Michael;**;;;;;;;;;56.75
-;;;Peng Mike;***;;;;;;;8.75
+;4;8.75;Bollhalder Manuel (2001);;12;55.25;1;10.0;-3;1.25;9.75
+;6;18.5;Koch Reto;*;10;55.75;7;18.25;1;-0.25;9.75
