2856-2015-05-31_101_St_Galler_Kantonalschwingfest-ST

1a;Bösch Daniel;***;;;;;;;;;58.0
+;;;Clopath Beat;***;;;;;;;10.0
+;1;10.0;Horner Peter;**;7;56.5;2;9.75;1;-0.25;10.0
+;1;20.0;Hersche Martin;**;4;57.25;4;18.75;3;-1.25;9.75
+;1;29.75;Rychen Roger;**;6;56.75;4;28.5;3;-1.25;9.75
+;1;39.5;Riget Tobias;**;7;56.5;3;38.25;2;-1.25;9.75
-;1;49.25;Rhyner Michael;**;4;57.25;2;48.5;1;-0.75;8.75

2a;Coray Beda;*;;;;;;;;;57.75
+;;;Sprecher Sandro;*;;;;;;;9.75
o;2;9.75;Rychen Roger;**;6;56.75;4;8.75;2;-1.0;8.5
+;6;18.25;Langenegger Beat (1997);;20;53.0;5;18.5;-1;0.25;10.0
+;5;28.25;Wild Stefan;;16;54.25;3;28.75;-2;0.5;9.75
+;4;38.0;Baumann Rico;*;10;55.75;4;38.0;0;0.0;9.75
+;4;47.75;Wickli Beat;*;9;56.0;5;47.5;1;-0.25;10.0

3a;Forrer Arnold;***;;;;;;;;;57.5
+;;;Zwyssig Raphael;***;;;;;;;10.0
-;1;10.0;Schläpfer Markus;**;10;55.75;2;9.75;1;-0.25;9.0
+;3;19.0;Landolt Reto;*;12;55.25;4;18.75;1;-0.25;10.0
-;2;29.0;Orlik Curdin;**;4;57.25;4;28.5;2;-0.5;8.75
+;5;37.75;Kuster Thomas;*;12;55.25;3;38.25;-2;0.5;10.0
+;4;47.75;Battaglia Ursin;**;9;56.0;5;47.5;1;-0.25;9.75

3b;Rüegg Fabian;;;;;;;;;;57.5
-;;;Schmid Dominik (1998);;;;;;;;9.0
+;3;9.0;Jud Andreas (1997);;18;53.75;1;10.0;-2;1.0;10.0
o;3;19.0;Peng Mike;***;8;56.25;9;17.5;6;-1.5;8.5
+;8;27.5;Langenegger Beat (1997);;20;53.0;10;27.0;2;-0.5;10.0
+;6;37.5;Alder Christian (1997);;15;54.5;7;37.25;1;-0.25;10.0
+;5;47.5;Roth Ruedi (1997);;10;55.75;6;47.25;1;-0.25;10.0

3c;Orlik Armon;**;;;;;;;;;57.5
-;;;Büsser Andy;***;;;;;;;8.75
+;4;8.75;Riget Tobias;**;7;56.5;1;10.0;-3;1.25;10.0
-;4;18.75;Wickli Beat;*;9;56.0;3;19.0;-1;0.25;9.0
+;7;27.75;Holenstein Christian;*;10;55.75;4;28.5;-3;0.75;10.0
+;5;37.75;Vogel Beat;*;7;56.5;3;38.25;-2;0.5;10.0
+;4;47.75;Schmid Dominik;*;10;55.75;6;47.25;2;-0.5;9.75

3d;Eugster Ruedi;**;;;;;;;;;57.5
-;;;Signer Emil;**;;;;;;;8.75
+;4;8.75;Koch Thomas (1997);;12;55.25;2;9.75;-2;1.0;10.0
+;4;18.75;Jud Andreas (1997);;18;53.75;5;18.5;1;-0.25;10.0
-;3;28.75;Clopath Beat;***;4;57.25;4;28.5;1;-0.25;8.75
+;6;37.5;Sprecher Sandro;*;9;56.0;6;37.5;0;0.0;10.0
+;5;47.5;Giger Urs;*;9;56.0;6;47.25;1;-0.25;10.0

4a;Knechtle Martin;**;;;;;;;;;57.25
-;;;Vestner Bruno;*;;;;;;;8.75
+;4;8.75;Giger Urs;*;9;56.0;3;9.0;-1;0.25;9.75
+;5;18.5;Koch Thomas (1997);;12;55.25;6;18.25;1;-0.25;10.0
-;4;28.5;Oertle Daniel;;12;55.25;6;28.0;2;-0.5;9.0
+;6;37.5;Gschwend Walter;*;10;55.75;6;37.5;0;0.0;9.75
+;6;47.25;Elmer Adrian;;11;55.5;7;47.0;1;-0.25;10.0

4b;Hersche Martin;**;;;;;;;;;57.25
o;;;Riget Tobias;**;;;;;;;8.75
+;4;8.75;Scherer Christian;*;5;57.0;2;9.75;-2;1.0;10.0
o;4;18.75;Bösch Daniel;***;1;58.0;1;20.0;-3;1.25;8.75
+;8;27.5;Breitenmoser Simon;;11;55.5;5;28.25;-3;0.75;9.75
+;7;37.25;Bernold Michael (1999);;14;54.75;6;37.5;-1;0.25;10.0
+;6;47.25;Bernold Beat;*;14;54.75;10;46.25;4;-1.0;10.0

4c;Clopath Beat;***;;;;;;;;;57.25
o;;;Bösch Daniel;***;;;;;;;8.5
+;5;8.5;Baumann Rico;*;10;55.75;2;9.75;-3;1.25;10.0
+;5;18.5;Elmer Daniel;*;14;54.75;5;18.5;0;0.0;10.0
-;4;28.5;Eugster Ruedi;**;3;57.5;3;28.75;-1;0.25;8.75
+;7;37.25;Güntensperger Marcel;*;6;56.75;2;38.5;-5;1.25;10.0
+;6;47.25;Manser Bruno;*;13;55.0;9;46.5;3;-0.75;10.0

4d;Büsser Andy;***;;;;;;;;;57.25
-;;;Orlik Armon;**;;;;;;;8.75
+;4;8.75;Kuster Thomas;*;12;55.25;1;10.0;-3;1.25;9.75
+;5;18.5;Vestner Bruno;*;10;55.75;5;18.5;0;0.0;9.75
+;5;28.25;Vollenweider Jeremy (1998);*;14;54.75;6;28.0;1;-0.25;10.0
+;3;38.25;Fejzaj Naim;*;12;55.25;3;38.25;0;0.0;10.0
-;3;48.25;Kuster Marcel;**;7;56.5;4;47.75;1;-0.5;9.0

4e;Rhyner Michael;**;;;;;;;;;57.25
-;;;Rychen Roger;**;;;;;;;8.75
+;4;8.75;Schegg Michael;;23;35.25;2;9.75;-2;1.0;10.0
+;4;18.75;Manser Bruno;*;13;55.0;5;18.5;1;-0.25;10.0
