5106-2021-07-17_70_Weissenstein-Schwinget2-ST

1a;Ott Damian;**;;;;;;;;;58.25
+;;;Imobersteg Matthias;**;;;;;;;10.0
-;1;10.0;Müllestein Mike;***;11;55.25;4;8.75;3;-1.25;8.75
+;5;18.75;Burch Jonas;**;9;55.75;7;18.25;2;-0.5;10.0
+;4;28.75;Strebel Joel;***;5;56.75;6;28.25;2;-0.5;9.75
+;4;38.5;Schurtenberger Sven;***;4;57.0;4;38.5;0;0.0;9.75
+;2;48.25;Döbeli Andreas;***;3;57.25;1;48.5;-1;0.25;10.0

2a;Orlik Armon;***;;;;;;;;;57.5
-;;;Bieri Marcel;***;;;;;;;8.75
+;4;8.75;Fankhauser Marco;**;7;56.25;2;9.75;-2;1.0;10.0
+;5;18.75;Hügli Kaj;**;11;55.25;1;20.0;-4;1.25;10.0
+;4;28.75;Räbmatter Patrick;***;6;56.5;5;28.5;1;-0.25;10.0
-;3;38.75;Fankhauser Erich;***;9;55.75;5;38.25;2;-0.5;9.0
+;4;47.75;Nötzli Reto;***;6;56.5;3;48.0;-1;0.25;9.75

3a;Schlegel Werner;**;;;;;;;;;57.25
o;;;Ambühl Joel;**;;;;;;;8.5
-;5;8.5;Rohrer Ueli;**;9;55.75;1;10.0;-4;1.5;9.0
+;9;17.5;Bucher Christian;**;12;55.0;6;18.5;-3;1.0;9.75
+;10;27.25;Egli Damian;**;17;53.75;9;27.5;-1;0.25;10.0
+;9;37.25;Schuler Alex;***;23;44.75;13;36.25;4;-1.0;10.0
+;6;47.25;Fankhauser Marco;**;7;56.25;5;47.5;-1;0.25;10.0

3b;Döbeli Andreas;***;;;;;;;;;57.25
+;;;Fankhauser Erich;***;;;;;;;10.0
+;1;10.0;Arztmann Beda;**;19;53.0;1;10.0;0;0.0;9.75
+;2;19.75;Betschart Patrick;*;14;54.5;2;19.75;0;0.0;10.0
+;1;29.75;Nötzli Reto;***;6;56.5;2;29.5;1;-0.25;9.75
-;1;39.5;Reichmuth Marco;**;6;56.5;2;39.0;1;-0.5;9.0
o;1;48.5;Ott Damian;**;1;58.25;2;48.25;1;-0.25;8.75

4a;Schurtenberger Sven;***;;;;;;;;;57.0
-;;;Leuppi Samir;***;;;;;;;8.75
