5106-2021-07-17_70_Weissenstein-Schwinget2-ST

1a;Ott Damian;**;;;;;;;;;58.25
+;4;8.75;Kuster Thomas;*;12;55.0;2;9.75;-2;1.0;10.0
+;5;18.75;Schlegel Sandro;**;10;55.5;5;18.75;0;0.0;10.0
+;4;28.75;Krähenbühl Tobias;***;16;54.0;6;28.25;2;-0.5;9.75
o;4;38.5;Ott Damian;**;1;58.25;4;38.5;0;0.0;8.5
+;7;47.0;Schmutz Simon;*;11;55.25;8;46.75;1;-0.25;10.0

5a;Erb Roger;**;;;;;;;;;56.75
+;;;Burkhalter Stefan;***;;;;;;;9.75
o;2;9.75;Betschart Patrick;*;14;54.5;2;9.75;0;0.0;8.5
-;7;18.25;Arztmann Beda;**;19;53.0;6;18.5;-1;0.25;8.75
+;11;27.0;Bucher Christian;**;12;55.0;11;27.0;0;0.0;9.75
+;11;36.75;Huber Alex;*;22;45.25;11;36.75;0;0.0;10.0
+;8;46.75;Ambühl Joel;**;8;56.0;5;47.5;-3;0.75;10.0

5b;Schneider Domenic;***;;;;;;;;;56.75
-;;;Müllestein Mike;***;;;;;;;8.75
+;4;8.75;Burch Jonas;**;9;55.75;2;9.75;-2;1.0;9.75
+;6;18.5;Rohrer Ueli;**;9;55.75;5;18.75;-1;0.25;9.75
o;6;28.25;Reichmuth Marco;**;6;56.5;3;29.0;-3;0.75;8.75
+;10;37.0;Kenel Franz-Toni;*;11;55.25;6;38.0;-4;1.0;9.75
+;8;46.75;Imhof Andi;***;9;55.75;6;47.25;-2;0.5;10.0

5c;Dumelin David;**;;;;;;;;;56.75
+;;;Probst Gabriel;**;;;;;;;10.0
o;1;10.0;Kropf Marcel;**;15;54.25;1;10.0;0;0.0;8.5
o;6;18.5;Imhof Andi;***;9;55.75;8;17.75;2;-0.75;8.5
+;11;27.0;Odermatt Christian;**;12;55.0;11;27.0;0;0.0;10.0
+;10;37.0;Hermann Oliver;**;17;53.75;11;36.75;1;-0.25;10.0
+;7;47.0;Bieri Marcel;***;12;55.0;10;46.25;3;-0.75;9.75

5d;Strebel Joel;***;;;;;;;;;56.75
+;;;von Ah Benji;***;;;;;;;9.75
+;2;9.75;Ulrich Marco;**;11;55.25;1;10.0;-1;0.25;9.75
-;3;19.5;Ambühl Joel;**;8;56.0;2;19.75;-1;0.25;8.75
o;6;28.25;Ott Damian;**;1;58.25;4;28.75;-2;0.5;8.5
+;11;36.75;Kuster Thomas;*;12;55.0;11;36.75;0;0.0;10.0
+;8;46.75;Fankhauser Erich;***;9;55.75;6;47.25;-2;0.5;10.0

5e;Schnurrenberger Roman;**;;;;;;;;;56.75
+;;;Waser Dominik;**;;;;;;;10.0
o;1;10.0;Nötzli Reto;***;6;56.5;2;9.75;1;-0.25;8.5
+;6;18.5;Odermatt Christian;**;12;55.0;6;18.5;0;0.0;10.0
o;5;28.5;Imhof Andi;***;9;55.75;9;27.5;4;-1.0;8.5
+;10;37.0;Kropf Marcel;**;15;54.25;9;37.25;-1;0.25;9.75
+;8;46.75;Hügli Kaj;**;11;55.25;8;46.75;0;0.0;10.0

6a;Reichmuth Marco;**;;;;;;;;;56.5
-;;;Gmür Pirmin;**;;;;;;;9.0
+;3;9.0;Koch Reto;*;26;34.75;4;8.75;1;-0.25;10.0
+;4;19.0;Leuppi Samir;***;9;55.75;6;18.5;2;-0.5;10.0
+;3;29.0;Schneider Domenic;***;5;56.75;6;28.25;3;-0.75;10.0
-;2;39.0;Döbeli Andreas;***;3;57.25;1;39.5;-1;0.5;9.0
o;3;48.0;Räbmatter Patrick;***;6;56.5;8;46.75;5;-1.25;8.5

6b;Suppiger Werner;**;;;;;;;;;56.5
-;;;Schlegel Sandro;**;;;;;;;8.75
+;4;8.75;Bollhalder Manuel;*;11;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Kuster Thomas;*;12;55.0;7;18.25;1;-0.25;9.75
-;6;28.25;Kindlimann Fabian;***;12;55.0;9;27.5;3;-0.75;8.75
+;10;37.0;Rotach Lars;*;14;54.5;13;36.25;3;-0.75;9.75
+;8;46.75;Krähenbühl Tobias;***;16;54.0;14;45.25;6;-1.5;9.75

6c;Nötzli Reto;***;;;;;;;;;56.5
+;;;Räbmatter Patrick;***;;;;;;;9.75
+;2;9.75;Schnurrenberger Roman;**;5;56.75;1;10.0;-1;0.25;10.0
+;2;19.75;Kropf Marcel;**;15;54.25;1;20.0;-1;0.25;9.75
o;2;29.5;Döbeli Andreas;***;3;57.25;1;29.75;-1;0.25;8.75
+;5;38.25;Hügli Kaj;**;11;55.25;5;38.25;0;0.0;9.75
o;3;48.0;Orlik Armon;***;2;57.5;4;47.75;1;-0.25;8.5

6d;Räbmatter Patrick;***;;;;;;;;;56.5
o;;;Nötzli Reto;***;;;;;;;8.5
+;5;8.5;Huber Alex;*;22;45.25;2;9.75;-3;1.25;10.0
+;6;18.5;Gmür Pirmin;**;15;54.25;4;19.0;-2;0.5;10.0
o;5;28.5;Orlik Armon;***;2;57.5;4;28.75;-1;0.25;8.5
+;10;37.0;Oettli Marco;**;11;55.25;10;37.0;0;0.0;9.75
+;8;46.75;Reichmuth Marco;**;6;56.5;3;48.0;-5;1.25;9.75

7a;Fankhauser Marco;**;;;;;;;;;56.25
+;;;Vollenweider Jeremy;**;;;;;;;9.75
o;2;9.75;Orlik Armon;***;2;57.5;4;8.75;2;-1.0;8.75
-;6;18.5;Räbsamen Marcel;*;8;56.0;4;19.0;-2;0.5;9.0
+;9;27.5;Brand Christian;**;19;53.0;10;27.25;1;-0.25;10.0
+;8;37.5;Leuthard Reto;**;15;54.25;10;37.0;2;-0.5;10.0
o;5;47.5;Schlegel Werner;**;3;57.25;6;47.25;1;-0.25;8.75

7b;von Ah Benji;***;;;;;;;;;56.25
o;;;Strebel Joel;***;;;;;;;8.5
+;5;8.5;Hugelshofer Lars;*;17;53.75;2;9.75;-3;1.25;9.75
+;7;18.25;Schmutz Simon;*;11;55.25;7;18.25;0;0.0;9.75
+;7;28.0;Hermann Oliver;**;17;53.75;6;28.25;-1;0.25;9.75
o;7;37.75;Leuppi Samir;***;9;55.75;10;37.0;3;-0.75;8.5
+;10;46.25;Schmid Samuel;**;11;55.25;8;46.75;-2;0.5;10.0

8a;Räbsamen Marcel;*;;;;;;;;;56.0
+;;;Mangold Martin;*;;;;;;;10.0
-;1;10.0;Imhof Andi;***;9;55.75;4;8.75;3;-1.25;9.0
-;4;19.0;Fankhauser Marco;**;7;56.25;6;18.5;2;-0.5;9.0
-;7;28.0;Ambühl Joel;**;8;56.0;5;28.5;-2;0.5;9.0
-;10;37.0;Burch Jonas;**;9;55.75;10;37.0;0;0.0;9.0
+;11;46.0;Lussi Marco;**;14;54.5;11;46.0;0;0.0;10.0

8b;Ambühl Joel;**;;;;;;;;;56.0
+;;;Schlegel Werner;**;;;;;;;9.75
+;2;9.75;Oettli Marco;**;11;55.25;1;10.0;-1;0.25;10.0
-;2;19.75;Strebel Joel;***;5;56.75;3;19.5;1;-0.25;8.75
-;5;28.5;Räbsamen Marcel;*;8;56.0;7;28.0;2;-0.5;9.0
+;8;37.5;Krähenbühl Tobias;***;16;54.0;11;36.75;3;-0.75;10.0
o;5;47.5;Erb Roger;**;5;56.75;8;46.75;3;-0.75;8.5

9a;Burch Jonas;**;;;;;;;;;55.75
+;;;Schmid Patrick;*;;;;;;;9.75
o;2;9.75;Schneider Domenic;***;5;56.75;4;8.75;2;-1.0;8.5
o;7;18.25;Ott Damian;**;1;58.25;5;18.75;-2;0.5;8.75
+;11;27.0;Gartmann Mauro;**;24;44.0;11;27.0;0;0.0;10.0
-;10;37.0;Räbsamen Marcel;*;8;56.0;10;37.0;0;0.0;9.0
+;11;46.0;Giger Urs;*;14;54.5;11;46.0;0;0.0;9.75

9b;Fankhauser Erich;***;;;;;;;;;55.75
o;;;Döbeli Andreas;***;;;;;;;8.5
+;5;8.5;Schmid Samuel;**;11;55.25;2;9.75;-3;1.25;9.75
+;7;18.25;Poltera Andrin;*;13;54.75;6;18.5;-1;0.25;10.0
+;6;28.25;Oettli Marco;**;11;55.25;5;28.5;-1;0.25;10.0
-;5;38.25;Orlik Armon;***;2;57.5;3;38.75;-2;0.5;9.0
o;6;47.25;Strebel Joel;***;5;56.75;8;46.75;2;-0.5;8.5

9c;Imhof Andi;***;;;;;;;;;55.75
-;;;Kindlimann Fabian;***;;;;;;;8.75
-;4;8.75;Räbsamen Marcel;*;8;56.0;1;10.0;-3;1.25;9.0
+;8;17.75;Dumelin David;**;5;56.75;6;18.5;-2;0.75;9.75
+;9;27.5;Schnurrenberger Roman;**;5;56.75;5;28.5;-4;1.0;10.0
+;8;37.5;Gmür Pirmin;**;15;54.25;9;37.25;1;-0.25;9.75
o;6;47.25;Schneider Domenic;***;5;56.75;8;46.75;2;-0.5;8.5

9d;Rohrer Ueli;**;;;;;;;;;55.75
+;;;Stoll Simon;**;;;;;;;10.0
-;1;10.0;Schlegel Werner;**;3;57.25;5;8.5;4;-1.5;8.75
o;5;18.75;Schneider Domenic;***;5;56.75;6;18.5;1;-0.25;8.5
-;10;27.25;Arztmann Beda;**;19;53.0;10;27.25;0;0.0;8.75
+;14;36.0;Kolb Pirmin;*;19;53.0;14;36.0;0;0.0;10.0
+;11;46.0;Gmür Pirmin;**;15;54.25;12;45.75;1;-0.25;9.75

9e;Leuppi Samir;***;;;;;;;;;55.75
-;;;Schurtenberger Sven;***;;;;;;;8.75
+;4;8.75;Hurschler Thomas;**;11;55.25;1;10.0;-3;1.25;9.75
o;6;18.5;Reichmuth Marco;**;6;56.5;4;19.0;-2;0.5;8.5
+;11;27.0;Fellmann Roman;**;18;53.25;9;27.5;-2;0.5;10.0
+;10;37.0;von Ah Benji;***;7;56.25;7;37.75;-3;0.75;9.75
-;8;46.75;Müllestein Mike;***;11;55.25;10;46.25;2;-0.5;9.0

10a;Lemmenmeier Lukas;*;;;;;;;;;55.5
-;;;Moser Matthias;*;;;;;;;8.75
+;4;8.75;Stüdeli Thomas;**;19;53.0;4;8.75;0;0.0;10.0
o;5;18.75;Krähenbühl Tobias;***;16;54.0;7;18.25;2;-0.5;8.5
o;10;27.25;Kuster Thomas;*;12;55.0;11;27.0;1;-0.25;8.5
+;15;35.75;Bürgler Patrick;*;17;53.75;16;35.5;1;-0.25;10.0
+;12;45.75;Kolb Pirmin;*;19;53.0;16;44.5;4;-1.25;9.75

10b;Schlegel Sandro;**;;;;;;;;;55.5
-;;;Suppiger Werner;**;;;;;;;8.75
+;4;8.75;Bruder Adrian;*;27;34.5;4;8.75;0;0.0;10.0
o;5;18.75;Schurtenberger Sven;***;4;57.0;5;18.75;0;0.0;8.5
o;10;27.25;Steinauer Adrian;**;15;54.25;10;27.25;0;0.0;8.75
+;14;36.0;Stüdeli Thomas;**;19;53.0;16;35.5;2;-0.5;9.75
+;12;45.75;Kropf Marcel;**;15;54.25;12;45.75;0;0.0;9.75

11a;Ulrich Marco;**;;;;;;;;;55.25
+;;;Scherrer Johann;**;;;;;;;10.0
o;1;10.0;Strebel Joel;***;5;56.75;2;9.75;1;-0.25;8.5
o;6;18.5;Schmid Samuel;**;11;55.25;7;18.25;1;-0.25;8.5
o;11;27.0;Schmutz Simon;*;11;55.25;12;26.75;1;-0.25;8.5
+;16;35.5;Nussbaumer Gabriel;;21;52.5;16;35.5;0;0.0;10.0
+;13;45.5;Henzer Andreas;**;18;53.25;15;44.75;2;-0.75;9.75

11b;Hurschler Thomas;**;;;;;;;;;55.25
+;;;Nägeli Marco;**;;;;;;;10.0
o;1;10.0;Leuppi Samir;***;9;55.75;4;8.75;3;-1.25;8.5
+;6;18.5;Blaser Christian;**;17;53.75;7;18.25;1;-0.25;9.75
o;6;28.25;Gmür Pirmin;**;15;54.25;9;27.5;3;-0.75;8.5
+;11;36.75;Arztmann Beda;**;19;53.0;14;36.0;3;-0.75;9.75
-;9;46.5;Burkhalter Stefan;***;13;54.75;11;46.0;2;-0.5;8.75

11c;Schmutz Simon;*;;;;;;;;;55.25
o;;;Rotach Lars;*;;;;;;;8.5
+;5;8.5;Nägeli Marco;**;19;53.0;5;8.5;0;0.0;9.75
o;7;18.25;von Ah Benji;***;7;56.25;7;18.25;0;0.0;8.5
+;12;26.75;Ulrich Marco;**;11;55.25;11;27.0;-1;0.25;10.0
+;11;36.75;Betschart Patrick;*;14;54.5;9;37.25;-2;0.5;10.0
o;8;46.75;Schurtenberger Sven;***;4;57.0;7;47.0;-1;0.25;8.5

11d;Scherer Niklaus;**;;;;;;;;;55.25
o;;;Hermann Oliver;**;;;;;;;8.5
+;5;8.5;Scherrer Johann;**;27;34.5;5;8.5;0;0.0;10.0
o;6;18.5;Kindlimann Fabian;***;12;55.0;9;17.5;3;-1.0;8.5
o;11;27.0;Poltera Andrin;*;13;54.75;11;27.0;0;0.0;8.75
+;15;35.75;Nägeli Marco;**;19;53.0;14;36.0;-1;0.25;9.75
+;13;45.5;Hugelshofer Lars;*;17;53.75;14;45.25;1;-0.25;9.75

11e;Hügli Kaj;**;;;;;;;;;55.25
+;;;Schuler Alex;***;;;;;;;10.0
+;1;10.0;Poltera Andrin;*;13;54.75;1;10.0;0;0.0;10.0
o;1;20.0;Orlik Armon;***;2;57.5;5;18.75;4;-1.25;8.5
+;5;28.5;Huber Alex;*;22;45.25;6;28.25;1;-0.25;9.75
o;5;38.25;Nötzli Reto;***;6;56.5;5;38.25;0;0.0;8.5
o;8;46.75;Schnurrenberger Roman;**;5;56.75;8;46.75;0;0.0;8.5

11f;Kenel Franz-Toni;*;;;;;;;;;55.25
o;;;Kuster Thomas;*;;;;;;;8.5
+;5;8.5;Grieder Nonda;;14;54.5;4;8.75;-1;0.25;10.0
+;6;18.5;Bruder Adrian;*;27;34.5;10;17.25;4;-1.25;9.75
+;6;28.25;Rotach Lars;*;14;54.5;9;27.5;3;-0.75;9.75
o;6;38.0;Schneider Domenic;***;5;56.75;10;37.0;4;-1.0;8.5
-;9;46.5;Kindlimann Fabian;***;12;55.0;10;46.25;1;-0.25;8.75

11g;Bollhalder Manuel;*;;;;;;;;;55.25
+;;;Ris Jörn;*;;;;;;;9.75
o;2;9.75;Suppiger Werner;**;6;56.5;4;8.75;2;-1.0;8.5
o;7;18.25;Bieri Marcel;***;12;55.0;9;17.5;2;-0.75;8.5
+;12;26.75;Nussbaumer Gabriel;;21;52.5;12;26.75;0;0.0;9.75
-;12;36.5;Fellmann Roman;**;18;53.25;14;36.0;2;-0.5;8.75
+;14;45.25;Bader Fabian;*;15;54.25;13;45.5;-1;0.25;10.0

11h;Schmid Samuel;**;;;;;;;;;55.25
+;;;Gartmann Mauro;**;;;;;;;9.75
o;2;9.75;Fankhauser Erich;***;9;55.75;5;8.5;3;-1.25;8.5
+;7;18.25;Ulrich Marco;**;11;55.25;6;18.5;-1;0.25;10.0
o;6;28.25;Müllestein Mike;***;11;55.25;9;27.5;3;-0.75;8.5
+;11;36.75;Hugelshofer Lars;*;17;53.75;11;36.75;0;0.0;10.0
o;8;46.75;von Ah Benji;***;7;56.25;10;46.25;2;-0.5;8.5

11i;Müllestein Mike;***;;;;;;;;;55.25
-;;;Schneider Domenic;***;;;;;;;8.75
-;4;8.75;Ott Damian;**;1;58.25;1;10.0;-3;1.25;8.75
+;9;17.5;Gartmann Mauro;**;24;44.0;6;18.5;-3;1.0;10.0
+;9;27.5;Schmid Samuel;**;11;55.25;6;28.25;-3;0.75;9.75
-;9;37.25;Poltera Andrin;*;13;54.75;10;37.0;1;-0.25;9.0
-;10;46.25;Leuppi Samir;***;9;55.75;8;46.75;-2;0.5;9.0

11j;Oettli Marco;**;;;;;;;;;55.25
+;;;Egli Damian;**;;;;;;;10.0
o;1;10.0;Ambühl Joel;**;8;56.0;2;9.75;1;-0.25;8.5
+;6;18.5;Waser Dominik;**;25;35.75;6;18.5;0;0.0;10.0
o;5;28.5;Fankhauser Erich;***;9;55.75;6;28.25;1;-0.25;8.5
o;10;37.0;Räbmatter Patrick;***;6;56.5;10;37.0;0;0.0;8.5
+;13;45.5;Steinauer Adrian;**;15;54.25;12;45.75;-1;0.25;9.75

12a;Kuster Thomas;*;;;;;;;;;55.0
+;;;Kenel Franz-Toni;*;;;;;;;9.75
o;2;9.75;Schurtenberger Sven;***;4;57.0;4;8.75;2;-1.0;8.5
o;7;18.25;Suppiger Werner;**;6;56.5;6;18.5;-1;0.25;8.75
+;11;27.0;Lemmenmeier Lukas;*;10;55.5;10;27.25;-1;0.25;9.75
o;11;36.75;Strebel Joel;***;5;56.75;11;36.75;0;0.0;8.5
+;14;45.25;Fellmann Roman;**;18;53.25;15;44.75;1;-0.5;9.75

12b;Odermatt Christian;**;;;;;;;;;55.0
-;;;Henzer Andreas;**;;;;;;;8.75
+;4;8.75;Mangold Martin;*;29;34.0;5;8.5;1;-0.25;9.75
o;6;18.5;Schnurrenberger Roman;**;5;56.75;6;18.5;0;0.0;8.5
o;11;27.0;Dumelin David;**;5;56.75;11;27.0;0;0.0;8.5
+;16;35.5;Ris Jörn;*;21;52.5;16;35.5;0;0.0;9.75
+;14;45.25;Hermann Oliver;**;17;53.75;14;45.25;0;0.0;9.75

12c;Bieri Marcel;***;;;;;;;;;55.0
-;;;Orlik Armon;***;;;;;;;8.75
-;4;8.75;Rotach Lars;*;14;54.5;1;10.0;-3;1.25;8.75
+;9;17.5;Bollhalder Manuel;*;11;55.25;7;18.25;-2;0.75;10.0
+;9;27.5;Giger Urs;*;14;54.5;8;27.75;-1;0.25;10.0
-;8;37.5;Vollenweider Jeremy;**;14;54.5;10;37.0;2;-0.5;8.75
o;10;46.25;Dumelin David;**;5;56.75;7;47.0;-3;0.75;8.75

12d;Bucher Christian;**;;;;;;;;;55.0
-;;;Stüdeli Thomas;**;;;;;;;8.75
+;4;8.75;Ris Jörn;*;21;52.5;5;8.5;1;-0.25;9.75
o;6;18.5;Schlegel Werner;**;3;57.25;9;17.5;3;-1.0;8.5
o;11;27.0;Erb Roger;**;5;56.75;11;27.0;0;0.0;8.5
+;16;35.5;Stoll Simon;**;16;54.0;16;35.5;0;0.0;9.75
+;14;45.25;Büttler Gian;;20;52.75;17;44.25;3;-1.0;9.75

12e;Kindlimann Fabian;***;;;;;;;;;55.0
-;;;Imhof Andi;***;;;;;;;8.75
-;4;8.75;Lussi Marco;**;14;54.5;1;10.0;-3;1.25;8.75
+;9;17.5;Scherer Niklaus;**;11;55.25;6;18.5;-3;1.0;10.0
-;9;27.5;Suppiger Werner;**;6;56.5;6;28.25;-3;0.75;8.75
+;13;36.25;Brand Christian;**;19;53.0;15;35.75;2;-0.5;10.0
-;10;46.25;Kenel Franz-Toni;*;11;55.25;9;46.5;-1;0.25;8.75

13a;Poltera Andrin;*;;;;;;;;;54.75
+;;;Gerber Andrj;*;;;;;;;10.0
o;1;10.0;Hügli Kaj;**;11;55.25;1;10.0;0;0.0;8.5
o;6;18.5;Fankhauser Erich;***;9;55.75;7;18.25;1;-0.25;8.5
+;11;27.0;Scherer Niklaus;**;11;55.25;11;27.0;0;0.0;10.0
-;10;37.0;Müllestein Mike;***;11;55.25;9;37.25;-1;0.25;9.0
-;11;46.0;Leuthard Reto;**;15;54.25;13;45.5;2;-0.5;8.75

13b;Burkhalter Stefan;***;;;;;;;;;54.75
o;;;Erb Roger;**;;;;;;;8.5
-;5;8.5;Leuthard Reto;**;15;54.25;2;9.75;-3;1.25;8.75
-;10;17.25;Brand Christian;**;19;53.0;6;18.5;-4;1.25;8.75
+;14;26.0;Stüdeli Thomas;**;19;53.0;11;27.0;-3;1.0;10.0
+;14;36.0;Steinauer Adrian;**;15;54.25;9;37.25;-5;1.25;10.0
-;11;46.0;Hurschler Thomas;**;11;55.25;9;46.5;-2;0.5;8.75

14a;Lussi Marco;**;;;;;;;;;54.5
+;;;Dörig Erich;*;;;;;;;10.0
-;1;10.0;Kindlimann Fabian;***;12;55.0;4;8.75;3;-1.25;8.75
-;5;18.75;Leuthard Reto;**;15;54.25;6;18.5;1;-0.25;8.75
-;9;27.5;Kolb Pirmin;*;19;53.0;10;27.25;1;-0.25;8.75
+;13;36.25;Reinhard Pirmin;;14;54.5;14;36.0;1;-0.25;9.75
o;11;46.0;Räbsamen Marcel;*;8;56.0;11;46.0;0;0.0;8.5

14b;Reinhard Pirmin;;;;;;;;;;54.5
-;;;Kolb Pirmin;*;;;;;;;8.75
-;4;8.75;Schmid Patrick;*;26;34.75;5;8.5;1;-0.25;8.75
-;9;17.5;Bürgler Patrick;*;17;53.75;7;18.25;-2;0.75;8.75
+;13;26.25;Büttler Gian;;20;52.75;15;25.75;2;-0.5;9.75
o;14;36.0;Lussi Marco;**;14;54.5;13;36.25;-1;0.25;8.5
+;16;44.5;Arztmann Beda;**;19;53.0;16;44.5;0;0.0;10.0

14c;Vollenweider Jeremy;**;;;;;;;;;54.5
o;;;Fankhauser Marco;**;;;;;;;8.5
+;5;8.5;Stadler Kevin;*;27;34.5;5;8.5;0;0.0;10.0
-;6;18.5;Schuler Alex;***;23;44.75;6;18.5;0;0.0;8.75
+;10;27.25;Arnold Fabian;*;19;53.0;10;27.25;0;0.0;9.75
-;10;37.0;Bieri Marcel;***;12;55.0;8;37.5;-2;0.5;8.75
-;12;45.75;Betschart Patrick;*;14;54.5;12;45.75;0;0.0;8.75

14d;Betschart Patrick;*;;;;;;;;;54.5
+;;;Bader Fabian;*;;;;;;;9.75
+;2;9.75;Erb Roger;**;5;56.75;2;9.75;0;0.0;10.0
o;2;19.75;Döbeli Andreas;***;3;57.25;2;19.75;0;0.0;8.75
-;5;28.5;Kropf Marcel;**;15;54.25;5;28.5;0;0.0;8.75
o;9;37.25;Schmutz Simon;*;11;55.25;11;36.75;2;-0.5;8.5
-;12;45.75;Vollenweider Jeremy;**;14;54.5;12;45.75;0;0.0;8.75

14e;Giger Urs;*;;;;;;;;;54.5
-;;;Steinauer Adrian;**;;;;;;;9.0
-;3;9.0;Henzer Andreas;**;18;53.25;4;8.75;1;-0.25;8.75
+;8;17.75;Probst Gabriel;**;28;34.25;11;17.0;3;-0.75;10.0
o;8;27.75;Bieri Marcel;***;12;55.0;9;27.5;1;-0.25;8.5
+;13;36.25;Arnold Fabian;*;19;53.0;15;35.75;2;-0.5;9.75
o;11;46.0;Burch Jonas;**;9;55.75;11;46.0;0;0.0;8.5

14f;Rotach Lars;*;;;;;;;;;54.5
+;;;Schmutz Simon;*;;;;;;;10.0
-;1;10.0;Bieri Marcel;***;12;55.0;4;8.75;3;-1.25;8.75
-;5;18.75;Egli Damian;**;17;53.75;6;18.5;1;-0.25;8.75
o;9;27.5;Kenel Franz-Toni;*;11;55.25;6;28.25;-3;0.75;8.75
o;13;36.25;Suppiger Werner;**;6;56.5;10;37.0;-3;0.75;8.5
+;15;44.75;Grieder Nonda;;14;54.5;11;46.0;-4;1.25;9.75

14g;Grieder Nonda;;;;;;;;;;54.5
-;;;Schwegler Dominik;;;;;;;;8.75
o;4;8.75;Kenel Franz-Toni;*;11;55.25;5;8.5;1;-0.25;8.5
+;10;17.25;Stadler Kevin;*;27;34.5;11;17.0;1;-0.25;10.0
o;10;27.25;Hugelshofer Lars;*;17;53.75;12;26.75;2;-0.5;8.75
+;14;36.0;Blaser Christian;**;17;53.75;16;35.5;2;-0.5;10.0
o;11;46.0;Rotach Lars;*;14;54.5;15;44.75;4;-1.25;8.5

15a;Steinauer Adrian;**;;;;;;;;;54.25
-;;;Giger Urs;*;;;;;;;9.0
o;3;9.0;Brand Christian;**;19;53.0;4;8.75;1;-0.25;8.5
+;9;17.5;Bader Fabian;*;15;54.25;10;17.25;1;-0.25;9.75
+;10;27.25;Schlegel Sandro;**;10;55.5;10;27.25;0;0.0;10.0
o;9;37.25;Burkhalter Stefan;***;13;54.75;14;36.0;5;-1.25;8.5
o;12;45.75;Oettli Marco;**;11;55.25;13;45.5;1;-0.25;8.5

15b;Bader Fabian;*;;;;;;;;;54.25
o;;;Betschart Patrick;*;;;;;;;8.5
-;5;8.5;Fellmann Roman;**;18;53.25;4;8.75;-1;0.25;8.75
o;10;17.25;Steinauer Adrian;**;15;54.25;9;17.5;-1;0.25;8.5
+;15;25.75;Dörig Erich;*;26;34.75;13;26.25;-2;0.5;9.75
+;16;35.5;Gartmann Mauro;**;24;44.0;16;35.5;0;0.0;10.0
o;13;45.5;Bollhalder Manuel;*;11;55.25;14;45.25;1;-0.25;8.75

15c;Gmür Pirmin;**;;;;;;;;;54.25
-;;;Reichmuth Marco;**;;;;;;;9.0
+;3;9.0;Moser Matthias;*;27;34.5;4;8.75;1;-0.25;10.0
o;4;19.0;Räbmatter Patrick;***;6;56.5;6;18.5;2;-0.5;8.5
+;9;27.5;Hurschler Thomas;**;11;55.25;6;28.25;-3;0.75;9.75
o;9;37.25;Imhof Andi;***;9;55.75;8;37.5;-1;0.25;8.5
o;12;45.75;Rohrer Ueli;**;9;55.75;11;46.0;-1;0.25;8.5

15d;Leuthard Reto;**;;;;;;;;;54.25
+;;;Blaser Christian;**;;;;;;;9.75
-;2;9.75;Burkhalter Stefan;***;13;54.75;5;8.5;3;-1.25;8.75
-;6;18.5;Lussi Marco;**;14;54.5;5;18.75;-1;0.25;8.75
+;10;27.25;Waser Dominik;**;25;35.75;10;27.25;0;0.0;9.75
o;10;37.0;Fankhauser Marco;**;7;56.25;8;37.5;-2;0.5;8.5
-;13;45.5;Poltera Andrin;*;13;54.75;11;46.0;-2;0.5;8.75

