3705-2022-07-17_Bernisch-Kantonales_Schwingfest_Stockhorn-Arena-ST

1a;Walther Adrian;**;;;;;;;;;58.75
+;3;19.5;Schlüchter Colin;*;5;57.0;1;20.0;-2;0.5;10.0
-;3;29.5;von Weissenfluh Kilian;***;4;57.25;4;28.75;1;-0.75;8.75
+;4;38.25;Kropf Thomas;**;10;55.5;3;38.5;-1;0.25;10.0
-;2;48.25;Orlik Curdin;***;5;57.0;2;48.25;0;0.0;8.75

5b;Wenger Kilian;***;;;;;;;;;57.0
+;;;Räbmatter Patrick;***;;;;;;;10.0
+;1;10.0;Gasser Dominik;**;29;27.0;1;10.0;0;0.0;9.75
+;2;19.75;Burger Matthieu;**;5;57.0;2;19.75;0;0.0;10.0
-;2;29.75;Leuppi Samir;***;5;57.0;5;28.5;3;-1.25;8.75
o;3;38.5;Walther Adrian;**;1;58.75;1;40.0;-2;1.5;8.5
+;6;47.0;Zaugg Lars;**;10;55.5;6;47.0;0;0.0;10.0

5c;Sempach Thomas;***;;;;;;;;;57.0
-;;;von Weissenfluh Kilian;***;;;;;;;8.75
+;4;8.75;Zürcher Remo;*;16;54.0;2;9.75;-2;1.0;10.0
+;5;18.75;Scheuner David (2005);*;16;54.0;6;18.5;1;-0.25;10.0
o;4;28.75;Walther Adrian;**;1;58.75;1;30.0;-3;1.25;8.5
+;8;37.25;Beer Peter;*;10;55.5;9;37.0;1;-0.25;10.0
+;5;47.25;Kämpf Alexander;**;13;54.75;9;46.25;4;-1.0;9.75

5d;Anderegg Simon;***;;;;;;;;;57.0
-;;;Schwander Severin;**;;;;;;;8.75
+;4;8.75;Zangger Dominik;*;20;53.0;2;9.75;-2;1.0;10.0
+;5;18.75;Moser Michael (2005);*;6;56.75;2;19.75;-3;1.0;10.0
o;4;28.75;Staudenmann Fabian;***;2;57.75;4;28.75;0;0.0;8.5
+;8;37.25;Aebersold Adrian;*;10;55.5;9;37.0;1;-0.25;9.75
+;6;47.0;von Büren Stephan;**;12;55.0;8;46.5;2;-0.5;10.0

5e;Steffen Gustav;**;;;;;;;;;57.0
+;;;Aellen Florian;*;;;;;;;10.0
o;1;10.0;Walther Adrian;**;1;58.75;1;10.0;0;0.0;8.5
+;6;18.5;Huber Melchior;*;16;54.0;6;18.5;0;0.0;10.0
+;5;28.5;Schafroth Dario (2004);*;17;53.75;8;27.5;3;-1.0;9.75
-;4;38.25;Roth Philipp;***;9;55.75;8;37.25;4;-1.0;8.75
