3705-2022-07-17_Bernisch-Kantonales_Schwingfest_Stockhorn-Arena-ST

1a;Walther Adrian;**;;;;;;;;;58.75
o;8;46.5;Steffen Gustav;**;5;57.0;6;47.0;-2;0.5;8.5

12f;von Büren Stephan;**;;;;;;;;;55.0
o;;;Gäggeler Adrian;*;;;;;;;8.5
+;5;8.5;Beer Peter;*;10;55.5;4;8.75;-1;0.25;10.0
+;6;18.5;Rychen Roger;***;10;55.5;7;18.25;1;-0.25;9.75
o;6;28.25;Iseli Marco;**;6;56.75;6;28.25;0;0.0;8.5
+;10;36.75;Wyss Kaspar;*;16;54.0;14;35.75;4;-1.0;9.75
o;8;46.5;Anderegg Simon;***;5;57.0;6;47.0;-2;0.5;8.5

12g;Gehrig Philipp;**;;;;;;;;;55.0
+;;;Klossner Sven;*;;;;;;;10.0
o;1;10.0;Rychen Roger;***;10;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Kappeler Niklaus;*;17;53.75;6;18.5;0;0.0;8.5
+;10;27.0;Waber Lorenz;*;24;35.25;11;26.75;1;-0.25;9.75
+;10;36.75;Ruch Dominik;;11;55.25;9;37.0;-1;0.25;9.75
o;8;46.5;Fankhauser Erich;***;7;56.5;8;46.5;0;0.0;8.5

13a;Kämpf Alexander;**;;;;;;;;;54.75
+;;;Staub Severin;*;;;;;;;10.0
-;1;10.0;Räbmatter Patrick;***;10;55.5;5;8.5;4;-1.5;8.75
+;5;18.75;Danz Benoit;;22;52.5;6;18.5;1;-0.25;10.0
-;4;28.75;Schenk Thomas;*;11;55.25;7;28.0;3;-0.75;8.75
-;7;37.5;Lüthi David;*;14;54.5;8;37.25;1;-0.25;8.75
o;9;46.25;Sempach Thomas;***;5;57.0;5;47.25;-4;1.0;8.5

13b;Nägeli Daniel;*;;;;;;;;;54.75
-;;;Rüegsegger Ueli;*;;;;;;;8.75
-;4;8.75;Tschumi Lukas;*;17;53.75;4;8.75;0;0.0;8.75
-;9;17.5;Burger Etienne (2004);*;14;54.5;9;17.5;0;0.0;8.75
+;13;26.25;Mettler Fabio;;26;34.75;13;26.25;0;0.0;10.0
-;12;36.25;Zangger Dominik;*;20;53.0;15;35.5;3;-0.75;8.75
+;14;45.0;Zingg Marc;;17;53.75;13;45.25;-1;0.25;9.75

13c;Galli Sandro;*;;;;;;;;;54.75
-;;;Fankhauser Thomas;*;;;;;;;8.75
+;4;8.75;Salzmann Simon;*;27;34.5;5;8.5;1;-0.25;9.75
-;6;18.5;Luginbühl Hanspeter;**;26;34.75;10;17.25;4;-1.25;8.75
-;9;27.25;Berger Jan (2004);;21;52.75;10;27.0;1;-0.25;9.0
o;12;36.25;Rychen Roger;***;10;55.5;15;35.5;3;-0.75;8.5
+;15;44.75;Meier Urs;;20;53.0;16;44.5;1;-0.25;10.0

13d;Trittibach Silvan (2004);;;;;;;;;;54.75
-;;;Kestenholz Christian;;;;;;;;8.75
-;4;8.75;Nager Yannick;;27;34.5;5;8.5;1;-0.25;8.75
-;9;17.5;Aebersold Fabian;*;18;53.5;9;17.5;0;0.0;8.75
+;13;26.25;Zangger Dominik;*;20;53.0;10;27.0;-3;0.75;10.0
o;12;36.25;Matthey Mickaël;**;14;54.5;14;35.75;2;-0.5;8.5
+;15;44.75;Schüpbach Janick;*;21;52.75;17;44.25;2;-0.5;10.0

14a;Lüthi David;*;;;;;;;;;54.5
-;;;Leuenberger Michael;*;;;;;;;8.75
+;4;8.75;Waber Lorenz;*;24;35.25;5;8.5;1;-0.25;9.75
-;6;18.5;Inniger Thomas;***;15;54.25;10;17.25;4;-1.25;8.75
+;9;27.25;Hadorn Christian;*;11;55.25;9;27.25;0;0.0;10.0
-;8;37.25;Kämpf Alexander;**;13;54.75;7;37.5;-1;0.25;8.75
o;10;46.0;Schlüchter Colin;*;5;57.0;6;47.0;-4;1.0;8.5

14b;Mosimann Fabian;;;;;;;;;;54.5
-;;;Mettler Fabio;;;;;;;;8.75
-;4;8.75;Wenger Marcel;*;26;34.75;4;8.75;0;0.0;8.75
+;9;17.5;Nyffeler Michael;;24;35.25;7;18.25;-2;0.75;10.0
o;8;27.5;Berger Lorenz;**;10;55.5;9;27.25;1;-0.25;8.5
-;13;36.0;Schafroth Dario (2004);*;17;53.75;13;36.0;0;0.0;8.75
+;15;44.75;Boss Andreas;*;22;52.5;18;44.0;3;-0.75;9.75

14c;Wüthrich Jonas (2005);;;;;;;;;;54.5
+;;;Walther Nicolas;;;;;;;;9.75
-;2;9.75;Aellen Florian;*;15;54.25;5;8.5;3;-1.25;8.75
-;6;18.5;Klossner Adrian;**;14;54.5;10;17.25;4;-1.25;8.75
o;9;27.25;Leuenberger Michael;*;15;54.25;9;27.25;0;0.0;8.75
+;13;36.0;Röthlisberger Florian;;16;54.0;15;35.5;2;-0.5;10.0
o;10;46.0;Rychen Roger;***;10;55.5;12;45.5;2;-0.5;8.5

14d;Klossner Adrian;**;;;;;;;;;54.5
-;;;Joss David;*;;;;;;;8.75
o;4;8.75;Rüegsegger Christian;*;9;55.75;5;8.5;1;-0.25;8.5
-;10;17.25;Wüthrich Jonas (2005);;14;54.5;6;18.5;-4;1.25;8.75
+;14;26.0;Berger Christian;;27;34.5;14;26.0;0;0.0;10.0
+;13;36.0;Hadorn Marco;*;16;54.0;15;35.5;2;-0.5;10.0
o;10;46.0;Leuppi Samir;***;5;57.0;6;47.0;-4;1.0;8.5

14e;Wittwer Josias;**;;;;;;;;;54.5
o;;;Käser Remo;***;;;;;;;8.5
+;5;8.5;Weyermann Michael;**;24;35.25;2;9.75;-3;1.25;10.0
-;6;18.5;Matthey Mickaël;**;14;54.5;7;18.25;1;-0.25;8.75
+;9;27.25;Blaser Roman;*;12;55.0;10;27.0;1;-0.25;10.0
-;8;37.25;Stucki Fabian (2005);;12;55.0;7;37.5;-1;0.25;8.75
o;10;46.0;Moser Michael (2005);*;6;56.75;7;46.75;-3;0.75;8.5

14f;Burger Etienne (2004);*;;;;;;;;;54.5
-;;;Gasser Fabian;;;;;;;;8.75
-;4;8.75;Camenzind Ivan;*;15;54.25;4;8.75;0;0.0;8.75
-;9;17.5;Nägeli Daniel;*;13;54.75;9;17.5;0;0.0;9.0
+;12;26.5;Zingrich Jan;*;24;35.25;11;26.75;-1;0.25;9.75
+;12;36.25;Scheuner David (2005);*;16;54.0;14;35.75;2;-0.5;9.75
o;10;46.0;Kämpf Bernhard;***;7;56.5;7;46.75;-3;0.75;8.5

14g;Matthey Mickaël;**;;;;;;;;;54.5
o;;;Kämpf Bernhard;***;;;;;;;8.5
+;5;8.5;Schenk Thomas;*;11;55.25;2;9.75;-3;1.25;9.75
-;7;18.25;Wittwer Josias;**;14;54.5;6;18.5;-1;0.25;8.75
-;10;27.0;Tschan Matthias;*;19;53.25;10;27.0;0;0.0;8.75
+;14;35.75;Trittibach Silvan (2004);;13;54.75;12;36.25;-2;0.5;10.0
-;11;45.75;Stucki Fabian (2005);;12;55.0;9;46.25;-2;0.5;8.75

15a;Rutsch Remo (2004);*;;;;;;;;;54.25
-;;;Steffen Valentin;*;;;;;;;8.75
+;4;8.75;Gerber Sämi;;17;53.75;2;9.75;-2;1.0;9.75
o;6;18.5;Schenk Thomas;*;11;55.25;7;18.25;1;-0.25;8.5
o;10;27.0;Wittwer Jan;**;11;55.25;10;27.0;0;0.0;8.5
+;15;35.5;Schüpbach Janick;*;21;52.75;14;35.75;-1;0.25;9.75
-;13;45.25;Berger René;**;19;53.25;16;44.5;3;-0.75;9.0

15b;Camenzind Ivan;*;;;;;;;;;54.25
-;;;Blaser Jan;*;;;;;;;8.75
-;4;8.75;Burger Etienne (2004);*;14;54.5;4;8.75;0;0.0;8.75
+;9;17.5;Rüegsegger Ueli;*;27;34.5;10;17.25;1;-0.25;10.0
o;8;27.5;Moser Michael (2005);*;6;56.75;6;28.25;-2;0.75;8.5
+;13;36.0;Matter Florian (2005);;22;52.5;15;35.5;2;-0.5;9.75
o;11;45.75;Gäumann Stefan;**;11;55.25;12;45.5;1;-0.25;8.5

15c;Dummermuth Ueli;;;;;;;;;;54.25
o;;;Scheidegger Marc;;;;;;;;8.5
+;5;8.5;Neukomm Thierry;;30;25.75;4;8.75;-1;0.25;10.0
o;6;18.5;Scheuner David (2005);*;16;54.0;6;18.5;0;0.0;8.5
+;10;27.0;Kehrli Bruno;;27;34.5;15;25.75;5;-1.25;9.75
-;10;36.75;Nägeli Leandro;*;16;54.0;12;36.25;2;-0.5;8.75
-;12;45.5;Tschumi Lukas;*;17;53.75;14;45.0;2;-0.5;8.75

15d;Aellen Florian;*;;;;;;;;;54.25
o;;;Steffen Gustav;**;;;;;;;8.5
-;5;8.5;Wüthrich Jonas (2005);;14;54.5;2;9.75;-3;1.25;8.75
+;10;17.25;Keusen Reto;;16;54.0;6;18.5;-4;1.25;9.75
-;10;27.0;Thomet Adrian;**;16;54.0;10;27.0;0;0.0;8.75
+;14;35.75;Walther Nicolas;;20;53.0;13;36.0;-1;0.25;10.0
o;11;45.75;Weyermann Florian;**;10;55.5;11;45.75;0;0.0;8.5

15e;Inniger Thomas;***;;;;;;;;;54.25
o;;;Burger Matthieu;**;;;;;;;8.5
-;5;8.5;Hadorn Christian;*;11;55.25;2;9.75;-3;1.25;8.75
-;10;17.25;Lüthi David;*;14;54.5;6;18.5;-4;1.25;8.75
+;14;26.0;Hadorn Marco;*;16;54.0;10;27.0;-4;1.0;9.75
-;14;35.75;Rüegsegger Christian;*;9;55.75;9;37.0;-5;1.25;8.75
+;16;44.5;Gnägi Damian;*;15;54.25;11;45.75;-5;1.25;9.75

15f;Leuenberger Michael;*;;;;;;;;;54.25
-;;;Lüthi David;*;;;;;;;8.75
+;4;8.75;Berger René;**;19;53.25;4;8.75;0;0.0;10.0
o;5;18.75;Walther Adrian;**;1;58.75;1;20.0;-4;1.25;8.5
+;9;27.25;Wüthrich Jonas (2005);;14;54.5;9;27.25;0;0.0;9.75
o;9;37.0;Steffen Valentin;*;11;55.25;9;37.0;0;0.0;8.5
-;12;45.5;Wüthrich Philip;*;17;53.75;14;45.0;2;-0.5;8.75

15g;Gnägi Damian;*;;;;;;;;;54.25
-;;;Schüpbach Janick;*;;;;;;;9.0
+;3;9.0;Graf Simon;;10;55.5;5;8.5;2;-0.5;9.75
o;5;18.75;Leuppi Samir;***;5;57.0;6;18.5;1;-0.25;8.5
o;9;27.25;Steffen Valentin;*;11;55.25;9;27.25;0;0.0;8.5
+;14;35.75;Klopfenstein Jan;;12;55.0;10;36.75;-4;1.0;10.0
o;11;45.75;Inniger Thomas;***;15;54.25;16;44.5;5;-1.25;8.5

16a;Nägeli Leandro;*;;;;;;;;;54.0
-;;;Berger Lorenz;**;;;;;;;8.75
+;4;8.75;Scheidegger Marc;;12;55.0;2;9.75;-2;1.0;10.0
o;5;18.75;Räbmatter Patrick;***;10;55.5;10;17.25;5;-1.5;8.5
-;9;27.25;Staub Severin;*;11;55.25;8;27.5;-1;0.25;9.0
-;12;36.25;Dummermuth Ueli;;15;54.25;10;36.75;-2;0.5;9.0
-;13;45.25;Zangger Dominik;*;20;53.0;17;44.25;4;-1.0;8.75

16b;Röthlisberger Simon;*;;;;;;;;;54.0
+;;;Boss Andreas;*;;;;;;;9.75
o;2;9.75;Gobeli Patrick;**;3;57.5;4;8.75;2;-1.0;8.5
-;7;18.25;Roth Philipp;***;9;55.75;6;18.5;-1;0.25;8.75
+;10;27.0;Matter Florian (2005);;22;52.5;10;27.0;0;0.0;9.75
o;10;36.75;Berger Lorenz;**;10;55.5;9;37.0;-1;0.25;8.5
-;13;45.25;Zürcher Remo;*;16;54.0;13;45.25;0;0.0;8.75

16c;Hehlen Nico;*;;;;;;;;;54.0
o;;;Aebersold Adrian;*;;;;;;;8.75
+;4;8.75;Hadorn Marco;*;16;54.0;5;8.5;1;-0.25;9.75
+;6;18.5;Schenkel Remo;*;23;35.5;10;17.25;4;-1.25;9.75
-;6;28.25;Studer Stefan;**;9;55.75;5;28.5;-1;0.25;8.75
o;9;37.0;Aeschbacher Matthias;***;6;56.75;8;37.25;-1;0.25;8.5
o;12;45.5;Scheidegger Marc;;12;55.0;13;45.25;1;-0.25;8.5

16d;Huber Melchior;*;;;;;;;;;54.0
+;;;Jäggi Lukas;*;;;;;;;9.75
o;2;9.75;Schwander Severin;**;9;55.75;4;8.75;2;-1.0;8.75
o;6;18.5;Steffen Gustav;**;5;57.0;6;18.5;0;0.0;8.5
+;10;27.0;Danz Benoit;;22;52.5;10;27.0;0;0.0;9.75
-;10;36.75;Berger René;**;19;53.25;14;35.75;4;-1.0;8.75
o;12;45.5;Rüegsegger Christian;*;9;55.75;11;45.75;-1;0.25;8.5

16e;Keusen Reto;;;;;;;;;;54.0
+;;;Matter Max (2005);;;;;;;;9.75
-;2;9.75;Tschanz Richard;*;25;35.0;4;8.75;2;-1.0;8.75
o;6;18.5;Aellen Florian;*;15;54.25;10;17.25;4;-1.25;8.5
o;10;27.0;Aebersold Adrian;*;10;55.5;9;27.25;-1;0.25;8.5
+;15;35.5;Berger Jan (2004);;21;52.75;14;35.75;-1;0.25;10.0
o;12;45.5;Ruch Dominik;;11;55.25;12;45.5;0;0.0;8.5

16f;Oberli Pascal;;;;;;;;;;54.0
-;;;Meier Urs;;;;;;;;8.75
+;4;8.75;Wüthrich Tim;;26;34.75;4;8.75;0;0.0;10.0
+;5;18.75;Weyermann Florian;**;10;55.5;6;18.5;1;-0.25;9.75
o;5;28.5;Kropf Thomas;**;10;55.5;5;28.5;0;0.0;8.5
o;9;37.0;Wittwer Jan;**;11;55.25;10;36.75;1;-0.25;8.5
o;12;45.5;Graf Simon;;10;55.5;12;45.5;0;0.0;8.5

16g;Wyss Kaspar;*;;;;;;;;;54.0
o;;;Ramseier Thomas;*;;;;;;;8.5
+;5;8.5;Joss David;*;16;54.0;4;8.75;-1;0.25;9.75
-;7;18.25;Blaser Roman;*;12;55.0;7;18.25;0;0.0;8.75
-;10;27.0;Weyermann Florian;**;10;55.5;10;27.0;0;0.0;8.75
o;14;35.75;von Büren Stephan;**;12;55.0;10;36.75;-4;1.0;8.5
+;17;44.25;Zbinden Adrian;*;22;52.5;18;44.0;1;-0.25;9.75

16h;Scheuner David (2005);*;;;;;;;;;54.0
o;;;Gasser Dominik;**;;;;;;;8.5
+;5;8.5;Dummermuth Ueli;;15;54.25;5;8.5;0;0.0;10.0
o;6;18.5;Sempach Thomas;***;5;57.0;5;18.75;-1;0.25;8.5
-;10;27.0;Jäggi Lukas;*;19;53.25;10;27.0;0;0.0;8.75
o;14;35.75;Burger Etienne (2004);*;14;54.5;12;36.25;-2;0.5;8.5
+;17;44.25;Matter Florian (2005);;22;52.5;18;44.0;1;-0.25;9.75

16i;Zürcher Remo;*;;;;;;;;;54.0
+;;;Kämpf Lorenz;*;;;;;;;9.75
o;2;9.75;Sempach Thomas;***;5;57.0;4;8.75;2;-1.0;8.5
-;7;18.25;Hadorn Christian;*;11;55.25;6;18.5;-1;0.25;8.75
+;10;27.0;Klossner Sven;*;27;34.5;14;26.0;4;-1.0;9.75
o;10;36.75;Zaugg Lars;**;10;55.5;8;37.25;-2;0.5;8.5
-;13;45.25;Röthlisberger Simon;*;16;54.0;13;45.25;0;0.0;8.75

16j;Hadorn Marco;*;;;;;;;;;54.0
o;;;Weyermann Michael;**;;;;;;;8.5
o;5;8.5;Hehlen Nico;*;16;54.0;4;8.75;-1;0.25;8.5
+;11;17.0;Ledermann Patrik;;27;34.5;9;17.5;-2;0.5;10.0
o;10;27.0;Inniger Thomas;***;15;54.25;14;26.0;4;-1.0;8.5
o;15;35.5;Klossner Adrian;**;14;54.5;13;36.0;-2;0.5;8.5
+;18;44.0;Berger Jan (2004);;21;52.75;17;44.25;-1;0.25;10.0

16k;Röthlisberger Florian;;;;;;;;;;54.0
o;;;Kämpf Nicolas;;;;;;;;8.5
+;5;8.5;Wüthrich Bruno;;24;35.25;5;8.5;0;0.0;10.0
o;6;18.5;Wittwer Jan;**;11;55.25;11;17.0;5;-1.5;8.5
o;10;27.0;Zaugg Lars;**;10;55.5;9;27.25;-1;0.25;8.5
o;15;35.5;Wüthrich Jonas (2005);;14;54.5;13;36.0;-2;0.5;8.5
+;18;44.0;Danz Benoit;;22;52.5;18;44.0;0;0.0;10.0

16l;Tschumi Daniel (2005);;;;;;;;;;54.0
+;;;Graf Simon;;;;;;;;10.0
o;1;10.0;Burger Matthieu;**;5;57.0;2;9.75;1;-0.25;8.5
o;6;18.5;Iseli Marco;**;6;56.75;6;18.5;0;0.0;8.5
+;10;27.0;Tschanz Richard;*;25;35.0;12;26.5;2;-0.5;9.75
-;10;36.75;Ramseier Thomas;*;16;54.0;15;35.5;5;-1.25;8.75
o;12;45.5;Hadorn Christian;*;11;55.25;12;45.5;0;0.0;8.5

16m;Thomet Adrian;**;;;;;;;;;54.0
o;;;Thöni Reto;*;;;;;;;8.5
o;5;8.5;Iseli Marco;**;6;56.75;4;8.75;-1;0.25;8.5
+;11;17.0;Scheidegger Marc;;12;55.0;7;18.25;-4;1.25;10.0
-;10;27.0;Aellen Florian;*;15;54.25;10;27.0;0;0.0;8.75
+;14;35.75;Schenk Thomas;*;11;55.25;10;36.75;-4;1.0;9.75
o;12;45.5;Räbmatter Patrick;***;10;55.5;12;45.5;0;0.0;8.5

16n;Ramseier Thomas;*;;;;;;;;;54.0
+;;;Wyss Kaspar;*;;;;;;;9.75
o;2;9.75;Rohrer Ueli;**;5;57.0;5;8.5;3;-1.25;8.5
o;7;18.25;Thöni Reto;*;7;56.5;7;18.25;0;0.0;8.5
-;11;26.75;Stucki Jürg;;20;53.0;10;27.0;-1;0.25;8.75
-;15;35.5;Tschumi Daniel (2005);;16;54.0;10;36.75;-5;1.25;8.75
+;17;44.25;Nufer Sämi;*;19;53.25;15;44.75;-2;0.5;9.75

16o;Joss David;*;;;;;;;;;54.0
-;;;Klossner Adrian;**;;;;;;;8.75
o;4;8.75;Wyss Kaspar;*;16;54.0;5;8.5;1;-0.25;8.5
+;10;17.25;Matter Max (2005);;27;34.5;10;17.25;0;0.0;10.0
o;9;27.25;Roth Philipp;***;9;55.75;9;27.25;0;0.0;8.5
+;14;35.75;Kämpf Nicolas;;19;53.25;13;36.0;-1;0.25;9.75
o;12;45.5;Beer Peter;*;10;55.5;12;45.5;0;0.0;8.5

17a;Gerber Sämi;;;;;;;;;;53.75
+;;;Matter Florian (2005);;;;;;;;9.75
o;2;9.75;Rutsch Remo (2004);*;15;54.25;4;8.75;2;-1.0;8.5
o;7;18.25;Berger René;**;19;53.25;10;17.25;3;-1.0;8.5
+;11;26.75;Blaser Jan;*;26;34.75;13;26.25;2;-0.5;10.0
o;10;36.75;Weyermann Florian;**;10;55.5;14;35.75;4;-1.0;8.5
o;13;45.25;Staub Severin;*;11;55.25;13;45.25;0;0.0;8.5

17b;Tschumi Lukas;*;;;;;;;;;53.75
-;;;Gobeli Patrick;**;;;;;;;8.75
-;4;8.75;Nägeli Daniel;*;13;54.75;4;8.75;0;0.0;8.75
+;9;17.5;Berger Jan (2004);;21;52.75;6;18.5;-3;1.0;10.0
o;8;27.5;Roschi Ruedi;**;8;56.25;7;28.0;-1;0.5;8.5
-;13;36.0;Wüthrich Philip;*;17;53.75;12;36.25;-1;0.25;9.0
-;14;45.0;Dummermuth Ueli;;15;54.25;12;45.5;-2;0.5;8.75

17c;Schafroth Dario (2004);*;;;;;;;;;53.75
-;;;Iseli Marco;**;;;;;;;8.75
-;4;8.75;Kämpf Marcel;*;26;34.75;5;8.5;1;-0.25;8.75
+;9;17.5;Nager Yannick;;27;34.5;10;17.25;1;-0.25;10.0
o;8;27.5;Steffen Gustav;**;5;57.0;5;28.5;-3;1.0;8.5
-;13;36.0;Mosimann Fabian;;14;54.5;13;36.0;0;0.0;8.75
-;15;44.75;Sommer Martin;*;20;53.0;18;44.0;3;-0.75;9.0

17d;Wüthrich Philip;*;;;;;;;;;53.75
-;;;Wiedmer Marco;;;;;;;;8.75
-;4;8.75;Kämpf Lorenz;*;26;34.75;5;8.5;1;-0.25;8.75
-;9;17.5;Blaser Jan;*;26;34.75;9;17.5;0;0.0;8.75
+;13;26.25;Grossen John;*;17;53.75;10;27.0;-3;0.75;10.0
-;12;36.25;Tschumi Lukas;*;17;53.75;13;36.0;1;-0.25;8.75
-;14;45.0;Leuenberger Michael;*;15;54.25;12;45.5;-2;0.5;8.75

17e;Zingg Marc;;;;;;;;;;53.75
+;;;Wüthrich Bruno;;;;;;;;9.75
o;2;9.75;Kappeler Niklaus;*;17;53.75;4;8.75;2;-1.0;8.5
-;7;18.25;Kämpf Marcel;*;26;34.75;10;17.25;3;-1.0;8.75
o;10;27.0;Rüegsegger Christian;*;9;55.75;10;27.0;0;0.0;8.5
+;15;35.5;Danz Benoit;;22;52.5;15;35.5;0;0.0;9.75
o;13;45.25;Nägeli Daniel;*;13;54.75;14;45.0;1;-0.25;8.5

17f;Grossen John;*;;;;;;;;;53.75
o;;;Kropf Thomas;**;;;;;;;8.5
o;5;8.5;Studer Stefan;**;9;55.75;4;8.75;-1;0.25;8.5
+;11;17.0;Wicki Cédric;;21;52.75;10;17.25;-1;0.25;10.0
o;10;27.0;Wüthrich Philip;*;17;53.75;13;26.25;3;-0.75;8.5
o;15;35.5;Hadorn Christian;*;11;55.25;14;35.75;-1;0.25;8.5
+;18;44.0;De Fusco Dario;*;19;53.25;15;44.75;-3;0.75;9.75

17g;Kappeler Niklaus;*;;;;;;;;;53.75
-;;;Aebersold Fabian;*;;;;;;;8.75
+;4;8.75;Zingg Marc;;17;53.75;2;9.75;-2;1.0;9.75
+;6;18.5;Gehrig Philipp;**;12;55.0;6;18.5;0;0.0;9.75
o;6;28.25;Schlüchter Colin;*;5;57.0;5;28.5;-1;0.25;8.5
o;10;36.75;Odermatt Adrian;**;10;55.5;9;37.0;-1;0.25;8.5
o;13;45.25;Aebersold Adrian;*;10;55.5;12;45.5;-1;0.25;8.5

18a;Aebersold Fabian;*;;;;;;;;;53.5
-;;;Kappeler Niklaus;*;;;;;;;8.75
-;4;8.75;Stucki Jürg;;20;53.0;2;9.75;-2;1.0;8.75
-;9;17.5;Trittibach Silvan (2004);;13;54.75;9;17.5;0;0.0;8.75
+;13;26.25;Zosso Remo;**;27;34.5;14;26.0;1;-0.25;9.75
-;13;36.0;Tschan Matthias;*;19;53.25;14;35.75;1;-0.25;8.75
-;15;44.75;Steudler Kevin;*;20;53.0;17;44.25;2;-0.5;8.75

19a;Nufer Sämi;*;;;;;;;;;53.25
-;;;De Fusco Dario;*;;;;;;;8.75
+;4;8.75;Gasser Fabian;;26;34.75;4;8.75;0;0.0;9.75
o;6;18.5;Käser Remo;***;4;57.25;6;18.5;0;0.0;8.75
-;9;27.25;Walther Nicolas;;20;53.0;9;27.25;0;0.0;8.75
-;13;36.0;Staub Severin;*;11;55.25;11;36.5;-2;0.5;8.75
o;15;44.75;Ramseier Thomas;*;16;54.0;17;44.25;2;-0.5;8.5

19b;De Fusco Dario;*;;;;;;;;;53.25
-;;;Nufer Sämi;*;;;;;;;8.75
-;4;8.75;Kehrli Bruno;;27;34.5;5;8.5;1;-0.25;9.0
+;8;17.75;Gasser Fabian;;26;34.75;10;17.25;2;-0.5;9.75
o;8;27.5;Räbmatter Patrick;***;10;55.5;10;27.0;2;-0.5;8.5
-;13;36.0;Steudler Kevin;*;20;53.0;15;35.5;2;-0.5;8.75
o;15;44.75;Grossen John;*;17;53.75;18;44.0;3;-0.75;8.5

19c;Tschan Matthias;*;;;;;;;;;53.25
o;;;Steffen Konrad;*;;;;;;;8.5
+;5;8.5;Wicki Cédric;;21;52.75;4;8.75;-1;0.25;9.75
-;7;18.25;Niederhäuser Martin;;27;34.5;10;17.25;3;-1.0;8.75
-;10;27.0;Matthey Mickaël;**;14;54.5;10;27.0;0;0.0;8.75
-;14;35.75;Aebersold Fabian;*;18;53.5;13;36.0;-1;0.25;8.75
-;16;44.5;Jäggi Lukas;*;19;53.25;16;44.5;0;0.0;8.75

19d;Kämpf Nicolas;;;;;;;;;;53.25
+;;;Röthlisberger Florian;;;;;;;;9.75
o;2;9.75;Berger Lorenz;**;10;55.5;4;8.75;2;-1.0;8.5
o;7;18.25;Gäggeler Adrian;*;9;55.75;6;18.5;-1;0.25;8.75
-;10;27.0;Wiedmer Marco;;12;55.0;8;27.5;-2;0.5;9.0
o;13;36.0;Joss David;*;16;54.0;14;35.75;1;-0.25;8.5
-;16;44.5;Wicki Cédric;;21;52.75;18;44.0;2;-0.5;8.75

19e;Jäggi Lukas;*;;;;;;;;;53.25
o;;;Huber Melchior;*;;;;;;;8.5
+;5;8.5;Kestenholz Christian;;27;34.5;4;8.75;-1;0.25;10.0
o;6;18.5;von Weissenfluh Kilian;***;4;57.25;5;18.75;-1;0.25;8.5
-;10;27.0;Scheuner David (2005);*;16;54.0;10;27.0;0;0.0;8.75
-;14;35.75;Meier Urs;;20;53.0;14;35.75;0;0.0;8.75
-;16;44.5;Tschan Matthias;*;19;53.25;16;44.5;0;0.0;8.75

19f;Berger René;**;;;;;;;;;53.25
-;;;Wenger Marcel;*;;;;;;;8.75
o;4;8.75;Leuenberger Michael;*;15;54.25;4;8.75;0;0.0;8.5
+;10;17.25;Gerber Sämi;;17;53.75;7;18.25;-3;1.0;10.0
o;9;27.25;Odermatt Adrian;**;10;55.5;10;27.0;1;-0.25;8.5
-;14;35.75;Huber Melchior;*;16;54.0;10;36.75;-4;1.0;8.75
-;16;44.5;Rutsch Remo (2004);*;15;54.25;13;45.25;-3;0.75;8.75

20a;Zangger Dominik;*;;;;;;;;;53.0
+;;;Rüegsegger Christian;*;;;;;;;9.75
o;2;9.75;Anderegg Simon;***;5;57.0;4;8.75;2;-1.0;8.5
-;7;18.25;Zosso Remo;**;27;34.5;10;17.25;3;-1.0;8.75
o;10;27.0;Trittibach Silvan (2004);;13;54.75;13;26.25;3;-0.75;8.5
-;15;35.5;Nägeli Daniel;*;13;54.75;12;36.25;-3;0.75;8.75
-;17;44.25;Nägeli Leandro;*;16;54.0;13;45.25;-4;1.0;8.75

20b;Stucki Jürg;;;;;;;;;;53.0
+;;;Nager Yannick;;;;;;;;9.75
-;2;9.75;Aebersold Fabian;*;18;53.5;4;8.75;2;-1.0;8.75
o;6;18.5;Gäumann Stefan;**;11;55.25;11;17.0;5;-1.5;8.5
-;10;27.0;Ramseier Thomas;*;16;54.0;11;26.75;1;-0.25;8.75
o;14;35.75;Klopfenstein Jan;;12;55.0;10;36.75;-4;1.0;8.75
o;16;44.5;Blaser Roman;*;12;55.0;13;45.25;-3;0.75;8.5

20c;Walther Nicolas;;;;;;;;;;53.0
o;;;Wüthrich Jonas (2005);;;;;;;;8.5
-;5;8.5;Wittwer Mathias;;25;35.0;4;8.75;-1;0.25;8.75
+;10;17.25;Boss Andreas;*;22;52.5;11;17.0;1;-0.25;10.0
-;9;27.25;Nufer Sämi;*;19;53.25;9;27.25;0;0.0;8.75
o;13;36.0;Aellen Florian;*;15;54.25;14;35.75;1;-0.25;8.5
o;16;44.5;Schenk Thomas;*;11;55.25;13;45.25;-3;0.75;8.5

20d;Steudler Kevin;*;;;;;;;;;53.0
o;;;Weyermann Florian;**;;;;;;;8.5
+;5;8.5;Rüegsegger Ueli;*;27;34.5;4;8.75;-1;0.25;9.75
o;7;18.25;Staudenmann Fabian;***;2;57.75;5;18.75;-2;0.5;8.75
o;10;27.0;Stucki Fabian (2005);;12;55.0;8;27.5;-2;0.5;8.5
-;15;35.5;De Fusco Dario;*;19;53.25;13;36.0;-2;0.5;8.75
-;17;44.25;Aebersold Fabian;*;18;53.5;15;44.75;-2;0.5;8.75

