5509-2022-05-01_Zuger_Kantonal_Schwingfest-ST

1a;Wicki Joel;***;;;;;;;;;58.5
+;;;Schuler Christian;***;;;;;;;10.0
+;1;10.0;Nietlispach Pascal;**;7;56.5;1;10.0;0;0.0;10.0
+;1;20.0;Bissig Lukas;*;7;56.5;2;19.75;1;-0.25;10.0
+;1;30.0;Lang Sven;**;3;57.75;2;29.5;1;-0.5;10.0
o;1;40.0;Ulrich Marco;**;4;57.25;2;38.75;1;-1.25;8.5
+;1;48.5;Ulrich Marco;**;4;57.25;1;48.5;0;0.0;10.0

1b;Herger Matthias;**;;;;;;;;;58.5
o;;;Suppiger Werner;**;;;;;;;8.5
+;5;8.5;Kessler Joel;*;10;55.75;4;8.75;-1;0.25;10.0
+;6;18.5;Gut Koni;;11;55.5;5;18.75;-1;0.25;10.0
+;5;28.5;Zumbach Michael;;16;54.25;6;28.25;1;-0.25;10.0
+;3;38.5;Schuler Christian;***;6;56.75;4;38.25;1;-0.25;10.0
+;1;48.5;Bürgi Reto;*;5;57.0;2;48.25;1;-0.25;10.0

2a;Reichmuth Roland;*;;;;;;;;;58.0
+;;;Hegner Ueli;*;;;;;;;10.0
o;1;10.0;Imhof Andi;***;6;56.75;4;8.75;3;-1.25;8.5
+;6;18.5;Von Euw Adi;;16;54.25;5;18.75;-1;0.25;9.75
+;6;28.25;Heinzer Lukas (2004);;15;54.5;3;29.0;-3;0.75;9.75
+;5;38.0;Arnold Stefan;**;7;56.5;5;38.0;0;0.0;10.0
+;3;48.0;Schuler Alex;;8;56.25;4;47.75;1;-0.25;10.0

3a;Lang Sven;**;;;;;;;;;57.75
+;;;Arnold Stefan;**;;;;;;;9.75
+;2;9.75;Langensand Stefan;*;13;55.0;2;9.75;0;0.0;10.0
+;2;19.75;Durrer Jonas;*;11;55.5;5;18.75;3;-1.0;9.75
o;2;29.5;Wicki Joel;***;1;58.5;1;30.0;-1;0.5;8.5
+;5;38.0;Wiget Ueli;;12;55.25;5;38.0;0;0.0;9.75
+;4;47.75;Gander Martin;;9;56.0;5;47.5;1;-0.25;10.0

4a;Ulrich Marco;**;;;;;;;;;57.25
-;;;Riget Florian;**;;;;;;;8.75
+;4;8.75;Odermatt Andreas;**;12;55.25;4;8.75;0;0.0;10.0
+;5;18.75;Riebli Urs;*;4;57.25;1;20.0;-4;1.25;10.0
+;4;28.75;Scherrer Patrick;;11;55.5;4;28.75;0;0.0;10.0
+;2;38.75;Wicki Joel;***;1;58.5;1;40.0;-1;1.25;9.75
