3489-2017-06-18_102_Basellandschaftliches_Kantonalschwingfest-ST

1a;Wicki Joel;**;;;;;;;;;58.75
+;;;Voggensperger Janic;**;;;;;;;10.0
+;1;10.0;Alpiger Nick;***;3;58.0;1;10.0;0;0.0;9.75
+;2;19.75;Gisler Bruno;***;7;56.75;1;20.0;-1;0.25;10.0
-;2;29.75;Schmid David;***;4;57.5;3;28.75;1;-1.0;9.0
+;1;38.75;Kropf Marcel;**;7;56.75;3;38.25;2;-0.5;10.0
+;1;48.75;Thürig Mario;***;4;57.5;1;48.75;0;0.0;10.0

2a;Bieri Christoph;***;;;;;;;;;58.5
o;;;Kropf Marcel;**;;;;;;;8.5
+;5;8.5;Lisser Daniel;*;14;55.0;1;10.0;-4;1.5;10.0
+;6;18.5;Brand Christian;**;10;56.0;5;18.75;-1;0.25;10.0
+;4;28.5;Anderegg David;*;12;55.5;5;28.25;1;-0.25;10.0
+;2;38.5;Gisler Bruno;***;7;56.75;3;38.25;1;-0.25;10.0
+;2;48.5;Fankhauser Erich;***;8;56.5;4;48.0;2;-0.5;10.0

3a;Alpiger Nick;***;;;;;;;;;58.0
+;;;Hauri Urs;**;;;;;;;10.0
o;1;10.0;Wicki Joel;**;1;58.75;1;10.0;0;0.0;8.5
+;6;18.5;Schillig Willi;**;14;55.0;3;19.5;-3;1.0;9.75
+;5;28.25;Hermann Oliver;*;13;55.25;5;28.25;0;0.0;10.0
+;3;38.25;Lisser Daniel;*;14;55.0;4;38.0;1;-0.25;9.75
+;4;48.0;Fankhauser Marco;**;9;56.25;5;47.75;1;-0.25;10.0

4a;Thürig Mario;***;;;;;;;;;57.5
+;;;Schmid Samuel;**;;;;;;;10.0
+;1;10.0;Leuthard Reto;*;6;57.0;1;10.0;0;0.0;10.0
+;1;20.0;Fankhauser Erich;***;8;56.5;2;19.75;1;-0.25;10.0
-;1;30.0;Fankhauser Reto;**;9;56.25;3;28.75;2;-1.25;8.75
+;1;38.75;Brun Samuel (1999);**;8;56.5;3;38.25;2;-0.5;10.0
o;1;48.75;Wicki Joel;**;1;58.75;1;48.75;0;0.0;8.75

4b;Schmid David;***;;;;;;;;;57.5
+;;;Bader Andreas;**;;;;;;;10.0
+;1;10.0;Brun Samuel (1999);**;8;56.5;2;9.75;1;-0.25;10.0
-;1;20.0;Fankhauser Marco;**;9;56.25;4;19.0;3;-1.0;8.75
-;3;28.75;Wicki Joel;**;1;58.75;2;29.75;-1;1.0;9.0
+;5;37.75;Schillig Willi;**;14;55.0;4;38.0;-1;0.25;10.0
+;5;47.75;Hauri Urs;**;12;55.5;7;47.0;2;-0.75;9.75

5a;Erb Roger;**;;;;;;;;;57.25
o;;;Fankhauser Erich;***;;;;;;;8.5
+;5;8.5;Gerber Valentin (1999);;28;44.0;1;10.0;-4;1.5;10.0
+;6;18.5;Schaffner Samuel;**;11;55.75;5;18.75;-1;0.25;10.0
-;4;28.5;Döbeli Andreas;*;6;57.0;5;28.25;1;-0.25;9.0
+;6;37.5;Jusufi Azret;;16;54.5;7;37.25;1;-0.25;9.75
+;6;47.25;Hermann Oliver;*;13;55.25;8;46.75;2;-0.5;10.0

5b;Döbeli Lukas (2000);*;;;;;;;;;57.25
+;;;Widmer Tobias;**;;;;;;;9.75
+;2;9.75;Kropf Marcel;**;7;56.75;2;9.75;0;0.0;9.75
-;3;19.5;Stoll Simon;*;10;56.0;5;18.75;2;-0.75;8.75
+;5;28.25;Grossmann Andreas;;13;55.25;5;28.25;0;0.0;10.0
-;3;38.25;Stalder Remo;***;11;55.75;3;38.25;0;0.0;9.0
+;6;47.25;Widmer Cyrill;;7;56.75;3;48.25;-3;1.0;10.0

6a;Döbeli Andreas;*;;;;;;;;;57.0
o;;;Gisler Bruno;***;;;;;;;8.5
+;5;8.5;Krebs Clemens;;15;54.75;1;10.0;-4;1.5;9.75
+;7;18.25;Büttler Gian (2000);;16;54.5;5;18.75;-2;0.5;10.0
-;5;28.25;Erb Roger;**;5;57.25;4;28.5;-1;0.25;8.75
+;8;37.0;Bieli Andreas;;16;54.5;8;37.0;0;0.0;10.0
+;7;47.0;Bader Andreas;**;26;45.25;14;45.25;7;-1.75;10.0

6b;Leuthard Reto;*;;;;;;;;;57.0
+;;;Probst Gabriel;**;;;;;;;10.0
o;1;10.0;Thürig Mario;***;4;57.5;1;10.0;0;0.0;8.5
+;6;18.5;Schopferer Cyril (2000);;13;55.25;6;18.5;0;0.0;10.0
+;4;28.5;Fritz Christian;;13;55.25;5;28.25;1;-0.25;10.0
o;2;38.5;Fankhauser Erich;***;8;56.5;3;38.25;1;-0.25;8.5
+;7;47.0;Grossmann Andreas;;13;55.25;8;46.75;1;-0.25;10.0

7a;Arnold Kornel;*;;;;;;;;;56.75
-;;;Winiger Fabian;**;;;;;;;8.75
+;4;8.75;Burtschi Michael;;17;54.25;1;10.0;-3;1.25;10.0
+;5;18.75;Küng Marco;*;25;45.5;5;18.75;0;0.0;9.75
o;4;28.5;Fankhauser Erich;***;8;56.5;5;28.25;1;-0.25;8.5
+;8;37.0;Bader Fabian (2000);;16;54.5;7;37.25;-1;0.25;10.0
+;7;47.0;Nussbaumer Gabriel;;14;55.0;9;46.5;2;-0.5;9.75

7b;Siegrist Christian;;;;;;;;;;56.75
+;;;Dettwiler Patrick;;;;;;;;10.0
-;1;10.0;Nyffeler Christoph;*;20;53.5;4;8.75;3;-1.25;8.75
+;5;18.75;Burtschi Michael;;17;54.25;5;18.75;0;0.0;9.75
+;4;28.5;Odermatt Adrian (2001);*;20;53.5;8;27.5;4;-1.0;9.75
o;3;38.25;Fankhauser Reto;**;9;56.25;6;37.5;3;-0.75;8.5
+;8;46.75;Voggensperger Lars (2001);;11;55.75;7;47.0;-1;0.25;10.0

7c;Hügli Kaj;*;;;;;;;;;56.75
-;;;Scherrer Johann;**;;;;;;;8.75
+;4;8.75;Bieli Andreas;;16;54.5;1;10.0;-3;1.25;10.0
o;5;18.75;Voggensperger Janic;**;7;56.75;6;18.5;1;-0.25;8.5
+;9;27.25;Schmid Simon (2000);;13;55.25;4;28.5;-5;1.25;9.75
+;8;37.0;Bruder Adrian;;13;55.25;8;37.0;0;0.0;9.75
+;8;46.75;Stalder Remo;***;11;55.75;6;47.25;-2;0.5;10.0

7d;Gisler Bruno;***;;;;;;;;;56.75
+;;;Döbeli Andreas;*;;;;;;;10.0
+;1;10.0;Fankhauser Reto;**;9;56.25;1;10.0;0;0.0;10.0
o;1;20.0;Wicki Joel;**;1;58.75;2;19.75;1;-0.25;8.5
+;4;28.5;Widmer Tobias;**;7;56.75;4;28.5;0;0.0;9.75
o;3;38.25;Bieri Christoph;***;2;58.5;2;38.5;-1;0.25;8.5
+;8;46.75;Winiger Fabian;**;11;55.75;6;47.25;-2;0.5;10.0

7e;Widmer Tobias;**;;;;;;;;;56.75
o;;;Döbeli Lukas (2000);*;;;;;;;8.5
+;5;8.5;Scherer Niklaus;;13;55.25;2;9.75;-3;1.25;10.0
+;6;18.5;Schaub Adrian (1999);;23;52.75;6;18.5;0;0.0;10.0
o;4;28.5;Gisler Bruno;***;7;56.75;4;28.5;0;0.0;8.5
