2964-2015-05-10_111_Ob-_und_Nidwaldener_Kantonalschwingfest-ST

1a;Bernhard Lukas;*;;;;;;;;;57.5
+;9;36.75;Kaufmann Jens;;17;53.5;10;36.5;1;-0.25;10.0
-;9;46.75;Bürgi Reto;;11;55.0;11;46.25;2;-0.5;8.75

9j;Portmann Josef;*;;;;;;;;;55.5
+;;;Gassmann Michael;*;;;;;;;9.75
o;2;9.75;Britschgi Melk;**;1;57.5;1;10.0;-1;0.25;8.5
-;7;18.25;Bürgi Reto;;11;55.0;5;18.75;-2;0.5;8.75
+;9;27.0;Herger Simon;;23;35.5;9;27.0;0;0.0;10.0
o;8;37.0;Odermatt Christian;**;5;56.5;9;36.75;1;-0.25;8.5
+;14;45.5;Bacher Andreas;;15;54.0;14;45.5;0;0.0;10.0

9k;Albert Thomas;;;;;;;;;;55.5
+;;;Langenegger Simon;;;;;;;;10.0
o;1;10.0;Müller Mathias;;10;55.25;1;10.0;0;0.0;8.75
+;5;18.75;Planzer Urs;;17;53.5;5;18.75;0;0.0;9.75
o;3;28.5;Wyrsch Marco;*;4;56.75;4;28.25;1;-0.25;8.5
+;8;37.0;Wyrsch Hansi (1999);;17;53.5;10;36.5;2;-0.5;10.0
o;8;47.0;Zurfluh Markus;**;3;57.0;8;47.0;0;0.0;8.5

10a;Müller Mathias;;;;;;;;;;55.25
+;;;Hess Tobias (1998);;;;;;;;10.0
+;1;10.0;Albert Thomas;;9;55.5;1;10.0;0;0.0;10.0
o;1;20.0;Gasser Stefan;**;1;57.5;5;18.75;4;-1.25;8.5
o;3;28.5;Rohrer Beat;*;8;55.75;4;28.25;1;-0.25;8.5
+;8;37.0;von Deschwanden Patrick;;14;54.25;8;37.0;0;0.0;9.75
o;9;46.75;Töngi Thomas;*;3;57.0;7;47.25;-2;0.5;8.5

10b;Imfeld Christian;*;;;;;;;;;55.25
+;;;Amstutz Niklaus;*;;;;;;;9.75
o;2;9.75;Murer Andy;*;3;57.0;4;8.75;2;-1.0;8.5
-;7;18.25;Käslin Ruedi;;12;54.75;5;18.75;-2;0.5;8.75
+;9;27.0;Arnold Lukas (1998);;17;53.5;8;27.25;-1;0.25;9.75
+;9;36.75;Kempf Tobias (1999);;13;54.5;12;36.0;3;-0.75;10.0
o;9;46.75;Niederberger Markus;;5;56.5;9;46.75;0;0.0;8.5

10c;Durrer Hans;;;;;;;;;;55.25
+;;;Käslin Ueli (1999);;;;;;;;9.75
o;2;9.75;Suter Beat;;11;55.0;4;8.75;2;-1.0;8.5
+;7;18.25;Durrer Roman (1998);;23;35.5;10;17.25;3;-1.0;10.0
o;4;28.25;Baumann Roger;*;11;55.0;7;27.5;3;-0.75;8.5
o;9;36.75;Imfeld Beat;;9;55.5;8;37.0;-1;0.25;8.5
+;15;45.25;Kaufmann Jens;;17;53.5;16;45.0;1;-0.25;10.0

10d;Zurfluh Michael (1999);;;;;;;;;;55.25
+;;;Spichtig Clemens;;;;;;;;9.75
+;2;9.75;Rohrer Henry;;24;35.25;2;9.75;0;0.0;10.0
o;2;19.75;Gassmann Fabian;**;3;57.0;6;18.5;4;-1.25;8.5
o;4;28.25;Rohrer Ivan;*;4;56.75;4;28.25;0;0.0;8.5
+;9;36.75;Gassmann Severin;;21;45.0;10;36.5;1;-0.25;10.0
o;9;46.75;Odermatt Sepp;**;4;56.75;8;47.0;-1;0.25;8.5

10e;Scherer Adrian;*;;;;;;;;;55.25
o;;;Rohrer Beat;*;;;;;;;8.5
o;5;8.5;Odermatt Andreas;*;5;56.5;2;9.75;-3;1.25;8.5
+;11;17.0;Waser Michael (1997);;24;35.25;7;18.25;-4;1.25;10.0
+;9;27.0;Fleischmann Fabian;;9;55.5;8;27.25;-1;0.25;9.75
+;9;36.75;Planzer Urs;;17;53.5;11;36.25;2;-0.5;10.0
o;9;46.75;Wyrsch Marco;*;4;56.75;8;47.0;-1;0.25;8.5

10f;Della Torre Simon (1997);;;;;;;;;;55.25
+;;;Walker Marcel (1997);;;;;;;;10.0
-;1;10.0;Andermatt Adrian;;15;54.0;2;9.75;1;-0.25;8.75
+;5;18.75;Mettler Simon (1998);;24;35.25;7;18.25;2;-0.5;9.75
o;3;28.5;Hurschler Thomas;**;7;56.0;7;27.5;4;-1.0;8.5
+;8;37.0;von Flüe Michael (1997);;15;54.0;8;37.0;0;0.0;9.75
o;9;46.75;Niederberger Jakob;**;5;56.5;10;46.5;1;-0.25;8.5

10g;Schuler Thomas;;;;;;;;;;55.25
-;;;Ettlin Stefan (1997);;;;;;;;8.75
+;4;8.75;Rohrer André;;13;54.5;1;10.0;-3;1.25;9.75
o;6;18.5;von Ah Benji;***;2;57.25;10;17.25;4;-1.25;8.5
-;9;27.0;Michel Silvan;;14;54.25;9;27.0;0;0.0;8.75
+;13;35.75;Baumann Reto;;14;54.25;13;35.75;0;0.0;9.75
+;14;45.5;Amgarten Roman;*;15;54.0;14;45.5;0;0.0;9.75

10h;Würsch Lars;;;;;;;;;;55.25
-;;;Scheidegger Adrian;;;;;;;;8.75
+;4;8.75;Mignola Lorenzo (1997);;26;34.25;4;8.75;0;0.0;10.0
+;5;18.75;Aeschlimann Martin;;9;55.5;6;18.5;1;-0.25;9.75
o;3;28.5;Amgarten Roman;*;15;54.0;8;27.25;5;-1.25;8.5
o;8;37.0;Niederberger Markus;;5;56.5;8;37.0;0;0.0;8.5
+;14;45.5;Graber Sandro;;15;54.0;14;45.5;0;0.0;9.75

10i;Herger Fabian;;;;;;;;;;55.25
-;;;Gut Koni;;;;;;;;8.75
+;4;8.75;Hurschler Mauri (1999);;24;35.25;2;9.75;-2;1.0;10.0
o;5;18.75;Barmettler Peter;*;8;55.75;5;18.75;0;0.0;8.5
+;8;27.25;von Moos Adrian;;14;54.25;8;27.25;0;0.0;9.75
+;8;37.0;Büchi Christian;;11;55.0;9;36.75;1;-0.25;9.75
o;9;46.75;Gassmann Michael;*;4;56.75;8;47.0;-1;0.25;8.5

10j;Spichtig Markus;*;;;;;;;;;55.25
+;;;Niederberger Martin;*;;;;;;;10.0
+;1;10.0;Schärli Pius;*;12;54.75;4;8.75;3;-1.25;9.75
o;2;19.75;Imhof Andi;***;1;57.5;5;18.75;3;-1.0;8.5
o;4;28.25;Hess Dominik;;3;57.0;2;28.75;-2;0.5;8.5
+;9;36.75;Lemmenmeier Lukas (1997);;8;55.75;7;37.25;-2;0.5;10.0
o;9;46.75;Murer Andy;*;3;57.0;8;47.0;-1;0.25;8.5

11a;Stöckli Stefan;*;;;;;;;;;55.0
-;;;Vonlaufen Lukas;*;;;;;;;8.75
-;4;8.75;Mathis Marcel;***;5;56.5;4;8.75;0;0.0;8.75
+;9;17.5;von Ah Markus;;9;55.5;5;18.75;-4;1.25;10.0
+;7;27.5;Gasser René;;17;53.5;5;28.0;-2;0.5;10.0
-;6;37.5;Niederberger Jakob;**;5;56.5;5;37.75;-1;0.25;8.75
-;11;46.25;Omlin Toni;*;7;56.0;8;47.0;-3;0.75;8.75

11b;Vonlaufen Lukas;*;;;;;;;;;55.0
-;;;Stöckli Stefan;*;;;;;;;8.75
-;4;8.75;Portmann Daniel;;12;54.75;2;9.75;-2;1.0;8.75
-;9;17.5;Martin Robin;;12;54.75;6;18.5;-3;1.0;8.75
+;12;26.25;Mettler Simon (1998);;24;35.25;10;26.75;-2;0.5;10.0
-;11;36.25;von Flüe Marco;;13;54.5;8;37.0;-3;0.75;8.75
+;16;45.0;Pedrazzini Diego (1998);;16;53.75;15;45.25;-1;0.25;10.0

11c;Arnold Andreas;*;;;;;;;;;55.0
-;;;Odermatt Remo;*;;;;;;;9.0
o;3;9.0;Gasser Stefan;**;1;57.5;4;8.75;1;-0.25;8.75
+;8;17.75;Enz Simon;;23;35.5;6;18.5;-2;0.75;10.0
+;6;27.75;Durrer Nando (1999);;15;54.0;4;28.25;-2;0.5;10.0
-;5;37.75;Töngi Thomas;*;3;57.0;2;38.5;-3;0.75;8.75
o;10;46.5;Gassmann Fabian;**;3;57.0;8;47.0;-2;0.5;8.5

11d;Bürgi Reto;;;;;;;;;;55.0
-;;;Scheuber Stefan;;;;;;;;8.75
+;4;8.75;Kaufmann Jens;;17;53.5;2;9.75;-2;1.0;10.0
-;5;18.75;Portmann Josef;*;9;55.5;7;18.25;2;-0.5;8.75
+;7;27.5;Stadler Johannes;;13;54.5;7;27.5;0;0.0;10.0
-;6;37.5;Indergand Armin;*;12;54.75;7;37.25;1;-0.25;8.75
-;11;46.25;Fankhauser Hans-Jakob;*;9;55.5;9;46.75;-2;0.5;8.75

11e;Suter Beat;;;;;;;;;;55.0
-;;;Imfeld Beat;;;;;;;;8.75
+;4;8.75;Durrer Hans;;10;55.25;2;9.75;-2;1.0;9.75
o;6;18.5;Mathis Marcel;***;5;56.5;9;17.5;3;-1.0;8.75
-;8;27.25;Zberg Leo (1997);;13;54.5;8;27.25;0;0.0;8.75
+;12;36.0;Stadler Johannes;;13;54.5;12;36.0;0;0.0;10.0
-;12;46.0;Gut Koni;;12;54.75;12;46.0;0;0.0;9.0

11f;Habegger Jürg;*;;;;;;;;;55.0
o;;;Bernhard Lukas;*;;;;;;;8.5
o;5;8.5;Lussi Marco;*;4;56.75;4;8.75;-1;0.25;8.5
+;11;17.0;Berchtold Lukas;;24;35.25;7;18.25;-4;1.25;10.0
+;9;27.0;Ettlin Michael (1998);;23;35.5;9;27.0;0;0.0;9.75
o;9;36.75;von Ah Benji;***;2;57.25;7;37.25;-2;0.5;8.5
+;15;45.25;Bacher Peter;;17;53.5;16;45.0;1;-0.25;9.75

11g;Baumann Roger;*;;;;;;;;;55.0
-;;;Lussi Marco;*;;;;;;;8.75
-;4;8.75;Hurschler Thomas;**;7;56.0;4;8.75;0;0.0;8.75
+;9;17.5;Vogler Jonas (1999);;14;54.25;6;18.5;-3;1.0;10.0
+;7;27.5;Durrer Hans;;10;55.25;4;28.25;-3;0.75;9.75
-;7;37.25;Langenstein Philip;;6;56.25;7;37.25;0;0.0;9.0
o;11;46.25;Mathis Marcel;***;5;56.5;9;46.75;-2;0.5;8.75

11h;Büchi Christian;;;;;;;;;;55.0
o;;;von Ah Markus;;;;;;;;8.5
+;5;8.5;Kaiser Sandro (1998);;26;34.25;4;8.75;-1;0.25;10.0
o;6;18.5;Gander Adrian;*;12;54.75;10;17.25;4;-1.25;8.5
+;9;27.0;Baumann Reto;;14;54.25;8;27.25;-1;0.25;9.75
o;9;36.75;Herger Fabian;;10;55.25;8;37.0;-1;0.25;8.5
+;15;45.25;Rohrer Ueli (1999);;16;53.75;15;45.25;0;0.0;9.75

11i;Zimmermann Simon;*;;;;;;;;;55.0
+;;;Indergand Armin;*;;;;;;;9.75
o;2;9.75;Nötzli Bruno;***;4;56.75;2;9.75;0;0.0;8.5
+;7;18.25;Arnold Lukas (1998);;17;53.5;5;18.75;-2;0.5;9.75
-;5;28.0;Schuler Daniel;;8;55.75;4;28.25;-1;0.25;8.75
+;9;36.75;Andermatt Adrian;;15;54.0;9;36.75;0;0.0;9.75
o;10;46.5;Bieri Christoph;***;5;56.5;10;46.5;0;0.0;8.5

11j;Waser Raphael (1998);;;;;;;;;;55.0
o;;;Rohrer Henry;;;;;;;;8.5
+;5;8.5;Della Torre Reto;;23;35.5;4;8.75;-1;0.25;9.75
o;7;18.25;Graber Michael;*;14;54.25;11;17.0;4;-1.25;8.5
+;10;26.75;Tresch Jan (1999);;24;35.25;10;26.75;0;0.0;10.0
+;9;36.75;Pedrazzini Diego (1998);;16;53.75;9;36.75;0;0.0;9.75
o;10;46.5;Rohrer Marco;**;3;57.0;7;47.25;-3;0.75;8.5

11k;Wallimann Remo (1997);;;;;;;;;;55.0
+;;;Kempf David (1998);;;;;;;;9.75
+;2;9.75;Rohrer Bärti;;14;54.25;1;10.0;-1;0.25;9.75
o;3;19.5;Bernhard Lukas;*;1;57.5;5;18.75;2;-0.75;8.75
o;4;28.25;Herger Matthias;*;2;57.25;2;28.75;-2;0.5;8.5
+;9;36.75;Odermatt Beat;;15;54.0;9;36.75;0;0.0;9.75
o;10;46.5;Odermatt Christian;**;5;56.5;10;46.5;0;0.0;8.5

11l;Odermatt Remo;*;;;;;;;;;55.0
-;;;Arnold Andreas;*;;;;;;;9.0
-;3;9.0;Odermatt Silvan;*;12;54.75;5;8.5;2;-0.5;8.75
+;8;17.75;Herger Andreas (1997);;15;54.0;6;18.5;-2;0.75;10.0
+;6;27.75;Zumstein Marcel;;13;54.5;3;28.5;-3;0.75;10.0
o;5;37.75;Müller Bruno;***;3;57.0;8;37.0;3;-0.75;8.5
-;11;46.25;Rohrer Beat;*;8;55.75;8;47.0;-3;0.75;8.75

12a;Schärli Pius;*;;;;;;;;;54.75
-;;;Zurfluh Markus;**;;;;;;;8.75
o;4;8.75;Spichtig Markus;*;10;55.25;1;10.0;-3;1.25;8.5
-;10;17.25;Langenstein Philip;;6;56.25;6;18.5;-4;1.25;8.75
+;13;26.0;Baumgartner Silvan (1999);;24;35.25;10;26.75;-3;0.75;10.0
+;12;36.0;Rohrer Marco (1999);;19;53.0;12;36.0;0;0.0;10.0
-;12;46.0;Odermatt Silvan;*;12;54.75;12;46.0;0;0.0;8.75

12b;Gander Adrian;*;;;;;;;;;54.75
-;;;Arnold Severin;*;;;;;;;8.75
o;4;8.75;Fink Bruno;;16;53.75;2;9.75;-2;1.0;8.5
+;10;17.25;Büchi Christian;;11;55.0;6;18.5;-4;1.25;10.0
-;8;27.25;Martin Robin;;12;54.75;8;27.25;0;0.0;9.0
o;11;36.25;Schärli Peter;*;8;55.75;8;37.0;-3;0.75;8.5
+;17;44.75;Herger André (1997);;19;53.0;18;44.5;1;-0.25;10.0

12c;Schärli Lukas;**;;;;;;;;;54.75
-;;;Hurschler Thomas;**;;;;;;;8.75
-;4;8.75;Omlin Toni;*;7;56.0;2;9.75;-2;1.0;8.75
+;9;17.5;Durrer Ueli (1997);;20;52.75;5;18.75;-4;1.25;9.75
-;8;27.25;Gut Koni;;12;54.75;8;27.25;0;0.0;8.75
+;12;36.0;Gander Martin (1997);;9;55.5;8;37.0;-4;1.0;10.0
-;12;46.0;Indergand Armin;*;12;54.75;12;46.0;0;0.0;8.75

12d;Odermatt Silvan;*;;;;;;;;;54.75
o;;;Wyrsch Marco;*;;;;;;;8.5
-;5;8.5;Odermatt Remo;*;11;55.0;3;9.0;-2;0.5;8.75
+;10;17.25;Arnold Nick (1999);;23;35.5;6;18.5;-4;1.25;10.0
+;8;27.25;Wagner Severin (1998);;12;54.75;5;28.0;-3;0.75;10.0
-;7;37.25;Portmann Daniel;;12;54.75;7;37.25;0;0.0;8.75
-;12;46.0;Schärli Pius;*;12;54.75;12;46.0;0;0.0;8.75

12e;Indergand Armin;*;;;;;;;;;54.75
o;;;Zimmermann Simon;*;;;;;;;8.5
+;5;8.5;Odermatt Beat;;15;54.0;2;9.75;-3;1.25;10.0
-;6;18.5;Müller Alain;***;8;55.75;10;17.25;4;-1.25;8.75
+;8;27.25;Pedrazzini Diego (1998);;16;53.75;4;28.25;-4;1.0;10.0
-;7;37.25;Bürgi Reto;;11;55.0;6;37.5;-1;0.25;8.75
-;12;46.0;Schärli Lukas;**;12;54.75;12;46.0;0;0.0;8.75

12f;Gut Koni;;;;;;;;;;54.75
-;;;Herger Fabian;;;;;;;;8.75
+;4;8.75;Durrer Noldi;;23;35.5;4;8.75;0;0.0;9.75
-;6;18.5;Graber Sandro;;15;54.0;7;18.25;1;-0.25;8.75
-;8;27.25;Schärli Lukas;**;12;54.75;8;27.25;0;0.0;8.75
+;12;36.0;Britschgi Nils (1998);;17;53.5;10;36.5;-2;0.5;10.0
-;12;46.0;Suter Beat;;11;55.0;12;46.0;0;0.0;8.75

12g;Scheidegger Adrian;;;;;;;;;;54.75
-;;;Würsch Lars;;;;;;;;8.75
+;4;8.75;Graber Sandro;;15;54.0;2;9.75;-2;1.0;10.0
-;5;18.75;Niederberger Martin;*;13;54.5;6;18.5;1;-0.25;9.0
o;6;27.75;Omlin Toni;*;7;56.0;3;28.5;-3;0.75;8.5
+;11;36.25;Bacher Peter;;17;53.5;10;36.5;-1;0.25;10.0
o;11;46.25;Langenstein Philip;;6;56.25;11;46.25;0;0.0;8.5

12h;Bättig Martin;*;;;;;;;;;54.75
-;;;Halter Markus;*;;;;;;;8.75
o;4;8.75;Töngi Thomas;*;3;57.0;1;10.0;-3;1.25;8.5
o;10;17.25;Ettlin Stefan (1997);;8;55.75;6;18.5;-4;1.25;8.5
+;14;25.75;Hurschler Mauri (1999);;24;35.25;10;26.75;-4;1.0;10.0
-;13;35.75;Amstutz Niklaus;*;13;54.5;13;35.75;0;0.0;9.0
+;17;44.75;Durrer Ueli (1997);;20;52.75;19;44.25;2;-0.5;10.0

12i;Portmann Daniel;;;;;;;;;;54.75
+;;;von Moos Adrian;;;;;;;;9.75
-;2;9.75;Vonlaufen Lukas;*;11;55.0;4;8.75;2;-1.0;8.75
-;6;18.5;Fleischmann Fabian;;9;55.5;6;18.5;0;0.0;8.75
+;8;27.25;Hess Christian;;14;54.25;8;27.25;0;0.0;10.0
-;7;37.25;Odermatt Silvan;*;12;54.75;7;37.25;0;0.0;8.75
-;12;46.0;von Flüe Marco;;13;54.5;13;45.75;1;-0.25;8.75

12j;Käslin Ruedi;;;;;;;;;;54.75
-;;;Herger Lukas;;;;;;;;8.75
+;4;8.75;Pedrazzini Diego (1998);;16;53.75;2;9.75;-2;1.0;10.0
-;5;18.75;Imfeld Christian;*;10;55.25;7;18.25;2;-0.5;8.75
+;7;27.5;Planzer Urs;;17;53.5;7;27.5;0;0.0;10.0
o;6;37.5;Murer Andy;*;3;57.0;7;37.25;1;-0.25;8.5
-;12;46.0;Martin Robin;;12;54.75;12;46.0;0;0.0;8.75

12k;Martin Robin;;;;;;;;;;54.75
-;;;Hess Dominik;;;;;;;;8.75
+;4;8.75;Rohrer Ueli (1999);;16;53.75;2;9.75;-2;1.0;9.75
-;6;18.5;Vonlaufen Lukas;*;11;55.0;9;17.5;3;-1.0;8.75
-;8;27.25;Gander Adrian;*;12;54.75;8;27.25;0;0.0;9.0
+;11;36.25;Spichtig Clemens;;19;53.0;12;36.0;1;-0.25;9.75
-;12;46.0;Käslin Ruedi;;12;54.75;12;46.0;0;0.0;8.75

12l;Wagner Severin (1998);;;;;;;;;;54.75
+;;;Ziegler Moritz (1998);;;;;;;;9.75
o;2;9.75;Lemmenmeier Lukas (1997);;8;55.75;4;8.75;2;-1.0;8.5
+;7;18.25;Kaiser Sandro (1998);;26;34.25;10;17.25;3;-1.0;9.75
o;5;28.0;Odermatt Silvan;*;12;54.75;8;27.25;3;-0.75;8.5
+;10;36.5;Gisler Tim (1999);;19;53.0;12;36.0;2;-0.5;9.75
o;11;46.25;Rohrer Ivan;*;4;56.75;9;46.75;-2;0.5;8.5

13a;Halter Markus;*;;;;;;;;;54.5
-;;;Bättig Martin;*;;;;;;;8.75
o;4;8.75;Briker Michael;*;3;57.0;4;8.75;0;0.0;8.5
-;10;17.25;Stadler Johannes;;13;54.5;6;18.5;-4;1.25;9.0
+;12;26.25;Langenegger Simon;;24;35.25;10;26.75;-2;0.5;9.75
+;12;36.0;Herger Andreas (1997);;15;54.0;8;37.0;-4;1.0;9.75
-;13;45.75;Murer Remo;;13;54.5;13;45.75;0;0.0;8.75

13b;Zumstein Marcel;;;;;;;;;;54.5
o;;;Planzer Urs;;;;;;;;8.5
+;5;8.5;Hess Tobias (1998);;20;52.75;5;8.5;0;0.0;10.0
+;6;18.5;Hurschler Mauri (1999);;24;35.25;7;18.25;1;-0.25;10.0
o;3;28.5;Odermatt Remo;*;11;55.0;6;27.75;3;-0.75;8.5
-;8;37.0;Widmer David;;9;55.5;9;36.75;1;-0.25;8.75
-;13;45.75;Andermatt Adrian;;15;54.0;15;45.25;2;-0.5;8.75

13c;Kempf Tobias (1999);;;;;;;;;;54.5
-;;;Küchler Severin;;;;;;;;8.75
o;4;8.75;Ettlin Martin (1998);;18;53.25;3;9.0;-1;0.25;8.5
-;10;17.25;Waser Andrin (1999);;25;34.5;10;17.25;0;0.0;9.0
+;12;26.25;Enz Simon;;23;35.5;9;27.0;-3;0.75;9.75
o;12;36.0;Imfeld Christian;*;10;55.25;9;36.75;-3;0.75;8.5
+;18;44.5;Britschgi Nils (1998);;17;53.5;16;45.0;-2;0.5;10.0

13d;Zumstein Patrick;;;;;;;;;;54.5
+;;;Herger Andreas (1997);;;;;;;;10.0
-;1;10.0;Arnold Severin;*;13;54.5;4;8.75;3;-1.25;8.75
o;5;18.75;Briker Michael;*;3;57.0;5;18.75;0;0.0;8.5
o;8;27.25;Gander Martin (1997);;9;55.5;8;27.25;0;0.0;8.75
+;12;36.0;von Wyl Simon (1999);;14;54.25;12;36.0;0;0.0;10.0
o;12;46.0;Schuler Daniel;;8;55.75;12;46.0;0;0.0;8.5

13e;Amstutz Niklaus;*;;;;;;;;;54.5
o;;;Imfeld Christian;*;;;;;;;8.5
-;5;8.5;Murer Remo;;13;54.5;2;9.75;-3;1.25;8.75
o;10;17.25;Niederberger Markus;;5;56.5;6;18.5;-4;1.25;8.5
+;14;25.75;Walker Marcel (1997);;24;35.25;10;26.75;-4;1.0;10.0
-;13;35.75;Bättig Martin;*;12;54.75;13;35.75;0;0.0;9.0
+;17;44.75;Walker Sebastian;;20;52.75;19;44.25;2;-0.5;9.75

13f;von Flüe Marco;;;;;;;;;;54.5
-;;;Arnold Fabian;;;;;;;;8.75
+;4;8.75;Wyrsch Hansi (1999);;17;53.5;2;9.75;-2;1.0;10.0
+;5;18.75;Arnold Pius (1997);;23;35.5;6;18.5;1;-0.25;9.75
o;3;28.5;Höfliger Andreas;*;8;55.75;3;28.5;0;0.0;8.5
-;8;37.0;Vonlaufen Lukas;*;11;55.0;11;36.25;3;-0.75;8.75
-;13;45.75;Portmann Daniel;;12;54.75;12;46.0;-1;0.25;8.75

13g;Arnold Severin;*;;;;;;;;;54.5
-;;;Gander Adrian;*;;;;;;;8.75
-;4;8.75;Zumstein Patrick;;13;54.5;1;10.0;-3;1.25;8.75
-;9;17.5;Amgarten Martin;;13;54.5;5;18.75;-4;1.25;8.75
+;12;26.25;Durrer Markus (1999);;24;35.25;10;26.75;-2;0.5;10.0
+;11;36.25;von Ah Markus;;9;55.5;8;37.0;-3;0.75;9.75
o;12;46.0;Müller Alain;***;8;55.75;12;46.0;0;0.0;8.5

13h;Arnold Fabian;;;;;;;;;;54.5
-;;;von Flüe Marco;;;;;;;;8.75
+;4;8.75;Burch Jonas (1999);;23;35.5;4;8.75;0;0.0;9.75
-;6;18.5;Bacher Andreas;;15;54.0;6;18.5;0;0.0;8.75
-;8;27.25;Durrer Robin;;8;55.75;8;27.25;0;0.0;8.75
+;12;36.0;Fink Bruno;;16;53.75;9;36.75;-3;0.75;9.75
-;13;45.75;Vogler Daniel;*;14;54.25;14;45.5;1;-0.25;8.75

13i;Murer Remo;;;;;;;;;;54.5
+;;;Gasser René;;;;;;;;9.75
-;2;9.75;Amstutz Niklaus;*;13;54.5;5;8.5;3;-1.25;8.75
-;6;18.5;Rohrer André;;13;54.5;5;18.75;-1;0.25;8.75
+;8;27.25;Durrer Ueli (1997);;20;52.75;8;27.25;0;0.0;9.75
-;8;37.0;Schuler Daniel;;8;55.75;8;37.0;0;0.0;8.75
-;13;45.75;Halter Markus;*;13;54.5;13;45.75;0;0.0;8.75

13j;Stadler Johannes;;;;;;;;;;54.5
o;;;Gassmann Severin;;;;;;;;8.5
+;5;8.5;Bacher Peter;;17;53.5;5;8.5;0;0.0;10.0
-;6;18.5;Halter Markus;*;13;54.5;10;17.25;4;-1.25;9.0
o;7;27.5;Bürgi Reto;;11;55.0;7;27.5;0;0.0;8.5
o;12;36.0;Suter Beat;;11;55.0;12;36.0;0;0.0;8.5
+;18;44.5;Ettlin Martin (1998);;18;53.25;17;44.75;-1;0.25;10.0

13k;Niederberger Martin;*;;;;;;;;;54.5
o;;;Spichtig Markus;*;;;;;;;8.5
+;5;8.5;Planzer Urs;;17;53.5;1;10.0;-4;1.5;10.0
-;6;18.5;Scheidegger Adrian;;12;54.75;5;18.75;-1;0.25;9.0
+;7;27.5;Gisler Tim (1999);;19;53.0;7;27.5;0;0.0;10.0
o;6;37.5;Schuler Philipp;**;8;55.75;7;37.25;1;-0.25;8.5
o;12;46.0;Brun Jonas;**;7;56.0;12;46.0;0;0.0;8.5

13l;Rohrer André;;;;;;;;;;54.5
+;;;Durrer Roman (1998);;;;;;;;10.0
o;1;10.0;Schuler Thomas;;10;55.25;4;8.75;3;-1.25;8.75
-;5;18.75;Murer Remo;;13;54.5;6;18.5;1;-0.25;8.75
o;7;27.5;von Ah Benji;***;2;57.25;8;27.25;1;-0.25;8.5
-;12;36.0;Styger Mike (1999);;9;55.5;12;36.0;0;0.0;8.75
+;17;44.75;Durrer Nando (1999);;15;54.0;15;45.25;-2;0.5;9.75

13m;Zberg Leo (1997);;;;;;;;;;54.5
-;;;Della Torre Reto;;;;;;;;8.75
o;4;8.75;Fessler Linus;;28;27.25;4;8.75;0;0.0;8.5
+;10;17.25;Rohrer Michael (1997);;26;34.25;10;17.25;0;0.0;10.0
-;8;27.25;Suter Beat;;11;55.0;8;27.25;0;0.0;8.75
-;12;36.0;Gasser Dominik 1;;16;53.75;12;36.0;0;0.0;8.75
+;17;44.75;Hess Tobias (1998);;20;52.75;19;44.25;2;-0.5;9.75

13n;Amgarten Martin;;;;;;;;;;54.5
-;;;Widmer David;;;;;;;;8.75
+;4;8.75;Gisler Tim (1999);;19;53.0;3;9.0;-1;0.25;10.0
-;5;18.75;Arnold Severin;*;13;54.5;9;17.5;4;-1.25;8.75
o;7;27.5;Niederberger Jakob;**;5;56.5;6;27.75;-1;0.25;8.5
+;12;36.0;Herger André (1997);;19;53.0;12;36.0;0;0.0;9.75
o;13;45.75;Schaffner Samuel;**;9;55.5;14;45.5;1;-0.25;8.75

13o;Scheuber Stefan;;;;;;;;;;54.5
-;;;Bürgi Reto;;;;;;;;8.75
-;4;8.75;Durrer Ueli (1997);;20;52.75;1;10.0;-3;1.25;8.75
-;9;17.5;Spichtig Clemens;;19;53.0;6;18.5;-3;1.0;9.0
+;11;26.5;Bissig Thomas;;24;35.25;10;26.75;-1;0.25;9.75
+;11;36.25;Rohrer Ueli (1999);;16;53.75;9;36.75;-2;0.5;9.75
o;12;46.0;Hurschler Thomas;**;7;56.0;12;46.0;0;0.0;8.5

14a;Hess Christian;;;;;;;;;;54.25
o;;;Styger Mike (1999);;;;;;;;8.5
-;5;8.5;Kempf Damian;;14;54.25;5;8.5;0;0.0;8.75
+;10;17.25;Durrer Markus (1999);;24;35.25;7;18.25;-3;1.0;10.0
o;8;27.25;Portmann Daniel;;12;54.75;8;27.25;0;0.0;8.5
o;13;35.75;Vogler Daniel;*;14;54.25;13;35.75;0;0.0;8.5
+;19;44.25;Gasser René;;17;53.5;16;45.0;-3;0.75;10.0

14b;Gander Michael (1998);;;;;;;;;;54.25
+;;;Tresch Jan (1999);;;;;;;;10.0
+;1;10.0;Vogler Jonas (1999);;14;54.25;1;10.0;0;0.0;10.0
o;1;20.0;Zurfluh Markus;**;3;57.0;5;18.75;4;-1.25;8.5
o;3;28.5;Britschgi Melk;**;1;57.5;2;28.75;-1;0.25;8.5
-;8;37.0;Graber Sandro;;15;54.0;9;36.75;1;-0.25;8.75
o;13;45.75;Durrer Robin;;8;55.75;13;45.75;0;0.0;8.5

14c;von Moos Adrian;;;;;;;;;;54.25
o;;;Portmann Daniel;;;;;;;;8.75
-;4;8.75;Durrer Roman (1998);;23;35.5;5;8.5;1;-0.25;8.75
