4345-2019-05-26_115_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Rohrer Marco;**;;;;;;;;;111.25
o;6;8.5;Gwerder Dario;**;3;57.5;5;8.75;-1;0.25;8.75
+;12;17.25;Rohrer Timo (2001);;19;53.5;7;18.5;-5;1.25;9.75
+;13;27.0;Müller Mathias;;18;53.75;9;28.0;-4;1.0;10.0
+;9;37.0;Arnold Marcel;*;19;53.5;11;36.5;2;-0.5;10.0
+;8;47.0;Lustenberger Marc (2003);;12;55.25;9;46.75;1;-0.25;10.0

5f;Schuler Philipp;**;;;;;;;;;57.0
o;;;Bürli Roger;**;;;;;;;8.5
+;6;8.5;Briker Michael;*;27;34.75;6;8.5;0;0.0;10.0
-;7;18.5;von Ah Benji;***;32;26.0;12;17.25;5;-1.25;8.75
+;12;27.25;Murpf Dario;;17;54.0;8;28.25;-4;1.0;10.0
+;8;37.25;Vogler Jakob;;18;53.75;10;36.75;2;-0.5;9.75
+;8;47.0;Hurschler Tobias (2003);;13;55.0;10;46.5;2;-0.5;10.0

6a;Ettlin Martin;;;;;;;;;;56.75
-;;;Spichtig Aldo;;;;;;;;8.75
-;5;8.75;Hürlimann Ueli (2001);;18;53.75;4;9.0;-1;0.25;9.0
+;10;17.75;Suter Raphael;;14;54.75;8;18.25;-2;0.5;10.0
+;10;27.75;Gosswiler Livio;*;13;55.0;14;26.75;4;-1.0;10.0
+;6;37.75;Grab Daniel;**;14;54.75;8;37.25;2;-0.5;10.0
-;5;47.75;Heiniger Marco;*;8;56.25;7;47.25;2;-0.5;9.0

6b;Fellmann Roman;**;;;;;;;;;56.75
o;;;Kempf Elias;**;;;;;;;8.5
+;6;8.5;Gwerder Carlo;**;12;55.25;5;8.75;-1;0.25;9.75
+;8;18.25;Kälin Markus (2001);;18;53.75;3;19.75;-5;1.5;10.0
o;8;28.25;Scheuber Lutz;**;10;55.75;8;28.25;0;0.0;8.5
+;10;36.75;Blumenthal Lino (2002);;19;53.5;11;36.5;1;-0.25;10.0
+;9;46.75;Kälin Roland;**;12;55.25;9;46.75;0;0.0;10.0

6c;Rohrer Ueli;*;;;;;;;;;56.75
o;;;Van Messel Noe (2002);*;;;;;;;8.5
+;6;8.5;Gosswiler Livio;*;13;55.0;6;8.5;0;0.0;10.0
+;7;18.5;Hürlimann Mathias;*;11;55.5;7;18.5;0;0.0;10.0
+;7;28.5;Baumann Lukas;;12;55.25;7;28.5;0;0.0;9.75
-;4;38.25;Arnold Stefan;**;7;56.5;5;38.0;1;-0.25;8.75
+;8;47.0;Lustenberger Florian (2002);;11;55.5;8;47.0;0;0.0;9.75

7a;Zimmermann Martin;**;;;;;;;;;56.5
o;;;Arnold Stefan;**;;;;;;;8.5
+;6;8.5;Arnold Andreas;*;34;17.0;6;8.5;0;0.0;10.0
+;7;18.5;Scherrer Fabian (2002);;9;56.0;7;18.5;0;0.0;9.75
+;8;28.25;Reichmuth Roland;*;11;55.5;8;28.25;0;0.0;10.0
o;4;38.25;Herger Matthias;**;4;57.25;3;38.5;-1;0.25;8.5
+;9;46.75;Schürpf Guido;;14;54.75;11;46.25;2;-0.5;9.75

7b;Imfeld Beat;;;;;;;;;;56.5
-;;;Müller Mathias;;;;;;;;9.0
+;4;9.0;Christen Thomas;;25;35.25;6;8.5;2;-0.5;10.0
+;5;19.0;Felder Martin;*;24;35.5;7;18.5;2;-0.5;10.0
o;5;29.0;Arnold Stefan;**;7;56.5;8;28.25;3;-0.75;8.5
+;7;37.5;Bürgi Michael (2002);;13;55.0;10;36.75;3;-0.75;10.0
-;6;47.5;Schuler Alex;;10;55.75;9;46.75;3;-0.75;9.0

7c;Schürpf Bruno;*;;;;;;;;;56.5
-;;;Hess Dominik;*;;;;;;;9.0
o;4;9.0;Hurschler Thomas;**;4;57.25;5;8.75;1;-0.25;8.5
+;11;17.5;Gasser Dominik 2;;16;54.25;6;18.75;-5;1.25;10.0
-;11;27.5;Waser Raphael;;14;54.75;7;28.5;-4;1.0;9.0
+;11;36.5;Ming Hannes;;15;54.5;12;36.25;1;-0.25;10.0
+;10;46.5;Barmettler Peter;*;13;55.0;10;46.5;0;0.0;10.0

7d;Bürli Roger;**;;;;;;;;;56.5
+;;;Schuler Philipp;**;;;;;;;9.75
+;3;9.75;Kälin Remo;*;10;55.75;5;8.75;2;-1.0;9.75
+;4;19.5;Waser Raphael;;14;54.75;2;20.0;-2;0.5;9.75
o;4;29.25;Imhof Andi;***;8;56.25;7;28.5;3;-0.75;8.5
+;6;37.75;Vogler Jonas;;15;54.5;7;37.5;1;-0.25;10.0
-;5;47.75;Bernhard Lukas;*;5;57.0;3;48.25;-2;0.5;8.75

7e;Arnold Stefan;**;;;;;;;;;56.5
+;;;Zimmermann Martin;**;;;;;;;9.75
+;3;9.75;Hess Dominik;*;10;55.75;4;9.0;1;-0.75;10.0
o;3;19.75;Orlik Armon;***;2;58.5;4;19.5;1;-0.25;8.5
+;8;28.25;Imfeld Beat;;7;56.5;5;29.0;-3;0.75;9.75
-;5;38.0;Rohrer Ueli;*;6;56.75;4;38.25;-1;0.25;8.75
+;9;46.75;Durrer Ueli;;11;55.5;8;47.0;-1;0.25;9.75

7f;Ambühl Joel;**;;;;;;;;;56.5
-;;;Hurschler Thomas;**;;;;;;;8.75
+;5;8.75;Amgarten Martin;*;13;55.0;6;8.5;1;-0.25;10.0
+;6;18.75;Michel Peter (2003);;24;35.5;7;18.5;1;-0.25;10.0
-;6;28.75;Burch Jonas;*;8;56.25;8;28.25;2;-0.5;9.0
-;6;37.75;Scheuber Lutz;**;10;55.75;5;38.0;-1;0.25;8.75
+;10;46.5;Waser Raphael;;14;54.75;11;46.25;1;-0.25;10.0

7g;Odermatt Christian;**;;;;;;;;;56.5
+;;;Reichmuth Marco;**;;;;;;;9.75
+;3;9.75;Stöckli Damian;*;10;55.75;3;9.75;0;0.0;9.75
o;4;19.5;Gloggner Philipp;***;5;57.0;3;19.75;-1;0.25;8.5
+;9;28.0;Fellmann Simon;;14;54.75;7;28.5;-2;0.5;10.0
+;5;38.0;Zurﬂuh Roman;**;8;56.25;3;38.5;-2;0.5;9.75
o;5;47.75;Gwerder Dario;**;3;57.5;6;47.5;1;-0.25;8.75

8a;Burch Jonas;*;;;;;;;;;56.25
o;;;Fässler Dominic;**;;;;;;;8.5
+;6;8.5;Reichmuth Lukas;*;14;54.75;6;8.5;0;0.0;10.0
+;7;18.5;Troxler Jonas;;13;55.0;3;19.75;-4;1.25;9.75
-;8;28.25;Ambühl Joel;**;7;56.5;6;28.75;-2;0.5;9.0
-;8;37.25;Schürpf Guido;;14;54.75;8;37.25;0;0.0;9.0
+;11;46.25;Elmiger Andreas;;13;55.0;10;46.5;-1;0.25;10.0

8b;Waser Adrian;;;;;;;;;;56.25
+;;;Baumann Marco;;;;;;;;10.0
-;2;10.0;Arnold Marcel;*;19;53.5;5;8.75;3;-1.25;9.0
o;5;19.0;Kempf Elias;**;9;56.0;7;18.5;2;-0.5;8.5
+;11;27.5;Muff Reto;;16;54.25;12;27.25;1;-0.25;9.75
+;8;37.25;Arnold Kilian (2002);;17;54.0;9;37.0;1;-0.25;10.0
-;7;47.25;Schöpfer Ronny;*;9;56.0;8;47.0;1;-0.25;9.0

8c;Nötzli Reto;***;;;;;;;;;56.25
-;;;Imhof Andi;***;;;;;;;8.75
+;5;8.75;Gisler Jonas (2001);*;10;55.75;2;10.0;-3;1.25;10.0
-;6;18.75;Gasser Stefan;**;10;55.75;6;18.75;0;0.0;8.75
-;11;27.5;Rohrer Ivan;**;9;56.0;7;28.5;-4;1.0;9.0
+;11;36.5;Niederberger Markus;*;10;55.75;8;37.25;-3;0.75;10.0
+;10;46.5;Reichmuth Armin;*;12;55.25;9;46.75;-1;0.25;9.75

8d;Durrer Jonas (2003);;;;;;;;;;56.25
o;;;Scherrer Fabian (2002);;;;;;;;8.5
+;6;8.5;Kathriner Severin;;22;52.75;5;8.75;-1;0.25;9.75
+;8;18.25;Klauser Nico;;24;35.5;7;18.5;-1;0.25;9.75
+;9;28.0;Felder Martin;*;24;35.5;13;27.0;4;-1.0;10.0
o;5;38.0;Gwerder Dario;**;3;57.5;6;37.75;1;-0.25;8.5
+;10;46.5;Suter Beat;;12;55.25;9;46.75;-1;0.25;9.75

8e;Villiger Cyrill;*;;;;;;;;;56.25
-;;;Gander Adrian;*;;;;;;;8.75
o;5;8.75;Rohrer Marco;**;1;111.25;1;18.75;-4;10.0;8.5
-;12;17.25;Zimmermann Raffael;;15;54.5;6;18.75;-6;1.5;9.0
+;16;26.25;Lussi Roland (2003);;21;53.0;12;27.25;-4;1.0;10.0
+;12;36.25;Durrer Robin;*;16;54.25;9;37.0;-3;0.75;10.0
+;11;46.25;Gander Michael;;13;55.0;11;46.25;0;0.0;10.0

8f;Odermatt Andreas;*;;;;;;;;;56.25
+;;;Kälin Roland;**;;;;;;;10.0
o;2;10.0;Gloggner Philipp;***;5;57.0;2;10.0;0;0.0;8.5
+;7;18.5;Gisler Silvan (2002);;15;54.5;6;18.75;-1;0.25;10.0
-;7;28.5;Fässler Dominic;**;9;56.0;7;28.5;0;0.0;8.75
+;8;37.25;Baumann Lukas;;12;55.25;9;37.0;1;-0.25;10.0
-;7;47.25;Bättig Martin;*;9;56.0;8;47.0;1;-0.25;9.0

8g;Wallimann Remo;;;;;;;;;;56.25
+;;;Doppmann Ueli;;;;;;;;9.75
+;3;9.75;Widmer Simon;;12;55.25;3;9.75;0;0.0;9.75
-;4;19.5;Gisler Jonas (2001);*;10;55.75;7;18.5;3;-1.0;8.75
-;8;28.25;Arnold Marcel;*;19;53.5;11;27.5;3;-0.75;9.0
+;8;37.25;Baumann Marco;;11;55.5;9;37.0;1;-0.25;10.0
-;7;47.25;Stöckli Damian;*;10;55.75;9;46.75;2;-0.5;9.0

8h;Imhof Andi;***;;;;;;;;;56.25
-;;;Nötzli Reto;***;;;;;;;8.75
+;5;8.75;Reichmuth Roland;*;11;55.5;3;9.75;-2;1.0;9.75
+;7;18.5;Gasser Peter;*;11;55.5;7;18.5;0;0.0;10.0
+;7;28.5;Bürli Roger;**;7;56.5;4;29.25;-3;0.75;10.0
-;3;38.5;Orlik Armon;***;2;58.5;2;39.5;-1;1.0;8.75
