4345-2019-05-26_115_Ob-_und_Nidw_Kant_Schwingfest-ST

1a;Rohrer Marco;**;;;;;;;;;111.25
-;9;28.0;Graber Sandro;;13;55.0;8;28.25;-1;0.25;8.75
+;10;36.75;Amgarten Martin;*;13;55.0;10;36.75;0;0.0;10.0
-;9;46.75;Wallimann Remo;;8;56.25;7;47.25;-2;0.5;9.0

10j;Käslin Ruedi;*;;;;;;;;;55.75
o;;;Reichmuth Roland;*;;;;;;;8.5
-;6;8.5;Kessler Joel;*;25;35.25;6;8.5;0;0.0;8.75
+;12;17.25;Waser David (2002);;17;54.0;6;18.75;-6;1.5;10.0
+;12;27.25;Bürgi Michael (2002);;13;55.0;8;28.25;-4;1.0;10.0
+;8;37.25;Murpf Dario;;17;54.0;10;36.75;2;-0.5;9.75
-;8;47.0;Elsener Adrian;**;11;55.5;9;46.75;1;-0.25;8.75

10k;Kälin Remo;*;;;;;;;;;55.75
-;;;Durrer Robin;*;;;;;;;8.75
o;5;8.75;Bürli Roger;**;7;56.5;3;9.75;-2;1.0;8.5
+;12;17.25;Ming Hannes;;15;54.5;6;18.75;-6;1.5;10.0
+;12;27.25;Roner Remo (2002);;19;53.5;9;28.0;-3;0.75;10.0
-;8;37.25;Ming Christian;*;15;54.5;8;37.25;0;0.0;8.75
+;12;46.0;Vogler Jonas;;15;54.5;12;46.0;0;0.0;9.75

11a;Langensand Stefan;*;;;;;;;;;55.5
+;;;Gosswiler Livio;*;;;;;;;9.75
-;3;9.75;Kempf Elias;**;9;56.0;3;9.75;0;0.0;8.75
-;7;18.5;Müller Mathias;;18;53.75;5;19.0;-2;0.5;9.0
+;11;27.5;Troxler Jonas;;13;55.0;8;28.25;-3;0.75;10.0
-;7;37.5;Blaser Theo;*;9;56.0;9;37.0;2;-0.5;9.0
-;10;46.5;Hürlimann Mathias;*;11;55.5;10;46.5;0;0.0;9.0

11b;Gasser Dominik 1;;;;;;;;;;55.5
o;;;Lustenberger Florian (2002);;;;;;;;8.5
+;6;8.5;Schmid Joel;;20;53.25;6;8.5;0;0.0;9.75
+;8;18.25;Käslin Ueli;;23;44.25;8;18.25;0;0.0;10.0
-;8;28.25;Schmid Simon;*;16;54.25;13;27.0;5;-1.25;8.75
o;9;37.0;Van Messel Noe (2002);*;5;57.0;8;37.25;-1;0.25;8.5
+;14;45.5;Blumenthal Lino (2002);;19;53.5;16;45.0;2;-0.5;10.0

11c;Zumstein Patrick;;;;;;;;;;55.5
+;;;Schmid Joel;;;;;;;;10.0
o;2;10.0;Fässler Dominic;**;9;56.0;2;10.0;0;0.0;8.5
+;7;18.5;Pedrazzini Diego;;25;35.25;8;18.25;1;-0.25;10.0
o;7;28.5;Heiniger Marco;*;8;56.25;11;27.5;4;-1.0;8.5
o;9;37.0;Bättig Martin;*;9;56.0;8;37.25;-1;0.25;8.5
+;14;45.5;Wiget Ueli;;17;54.0;14;45.5;0;0.0;10.0

11d;Bürgi Reto;*;;;;;;;;;55.5
o;;;Felder Martin;*;;;;;;;8.5
o;6;8.5;Heiniger Marco;*;8;56.25;5;8.75;-1;0.25;8.5
+;13;17.0;Wiget Ueli;;17;54.0;7;18.5;-6;1.5;10.0
+;13;27.0;Bieri Elias;;9;56.0;11;27.5;-2;0.5;9.75
-;10;36.75;Ulrich Michael (2003);;16;54.25;10;36.75;0;0.0;9.0
+;13;45.75;Arnold Kilian (2002);;17;54.0;14;45.5;1;-0.25;9.75

11e;Schuler Thomas;;;;;;;;;;55.5
o;;;Röthlin Pascal;;;;;;;;8.5
-;6;8.5;Durrer Ueli;;11;55.5;5;8.75;-1;0.25;8.75
+;12;17.25;Pedrazzini Lorenzo (2002);;30;34.0;13;17.0;1;-0.25;10.0
-;12;27.25;Vonlaufen Lukas;*;26;35.0;16;26.25;4;-1.0;8.75
+;13;36.0;Ettlin Thomas;;20;53.25;12;36.25;-1;0.25;9.75
+;13;45.75;Amrein Joel (2003);;17;54.0;14;45.5;1;-0.25;9.75

11f;Elsener Adrian;**;;;;;;;;;55.5
+;;;Zimmermann Simon;**;;;;;;;9.75
-;3;9.75;Durrer Nando;*;13;55.0;3;9.75;0;0.0;8.75
+;7;18.5;Hurschler Tobias (2003);;13;55.0;4;19.5;-3;1.0;10.0
o;7;28.5;Herger Matthias;**;4;57.25;7;28.5;0;0.0;8.5
+;9;37.0;Durrer Lukas;;18;53.75;10;36.75;1;-0.25;9.75
-;9;46.75;Käslin Ruedi;*;10;55.75;8;47.0;-1;0.25;8.75

11g;Hürlimann Mathias;*;;;;;;;;;55.5
+;;;Barmettler Peter;*;;;;;;;10.0
o;2;10.0;Ettlin Stefan;**;5;57.0;3;9.75;1;-0.25;8.5
o;7;18.5;Rohrer Ueli;*;6;56.75;7;18.5;0;0.0;8.5
+;13;27.0;Küchler Severin;;24;35.5;13;27.0;0;0.0;9.75
+;10;36.75;Waser Christoph (2002);;11;55.5;9;37.0;-1;0.25;9.75
-;10;46.5;Langensand Stefan;*;11;55.5;10;46.5;0;0.0;9.0

11h;Baumann Marco;;;;;;;;;;55.5
o;;;Waser Adrian;;;;;;;;8.5
+;6;8.5;Britschgi Marcel (2003);;24;35.5;6;8.5;0;0.0;9.75
+;8;18.25;Garovi Matteo (2003);;24;35.5;13;17.0;5;-1.25;10.0
o;8;28.25;Durrer Robin;*;16;54.25;12;27.25;4;-1.0;8.75
o;9;37.0;Wallimann Remo;;8;56.25;8;37.25;-1;0.25;8.5
+;14;45.5;Albert Stefan (2002);;14;54.75;16;45.0;2;-0.5;9.75
+;12;55.25;von Ah Markus;;16;54.25;16;54.25;4;-1.0;0.25

11i;Zimmermann Simon;**;;;;;;;;;55.5
o;;;Elsener Adrian;**;;;;;;;8.5
-;6;8.5;Kälin Roland;**;12;55.25;6;8.5;0;0.0;8.75
+;12;17.25;Brunner Timon;;14;54.75;6;18.75;-6;1.5;9.75
+;13;27.0;Waser David (2002);;17;54.0;12;27.25;-1;0.25;10.0
+;9;37.0;Widmer Simon;;12;55.25;10;36.75;1;-0.25;10.0
o;8;47.0;Reichmuth Marco;**;4;57.25;7;47.25;-1;0.25;8.5

11j;Reichmuth Roland;*;;;;;;;;;55.5
+;;;Käslin Ruedi;*;;;;;;;9.75
o;3;9.75;Imhof Andi;***;8;56.25;5;8.75;2;-1.0;8.5
+;8;18.25;Durrer Markus;;10;55.75;6;18.75;-2;0.5;10.0
o;8;28.25;Zimmermann Martin;**;7;56.5;8;28.25;0;0.0;8.75
+;9;37.0;Gasser Dominik 2;;16;54.25;9;37.0;0;0.0;10.0
o;8;47.0;Hurschler Thomas;**;4;57.25;7;47.25;-1;0.25;8.5

11k;Gasser Peter;*;;;;;;;;;55.5
+;;;Arnold Andreas;*;;;;;;;9.75
-;3;9.75;Zurﬂuh Roman;**;8;56.25;3;9.75;0;0.0;8.75
+;7;18.5;Suter Samuel;;12;55.25;4;19.5;-3;1.0;9.75
o;8;28.25;Imhof Andi;***;8;56.25;7;28.5;-1;0.25;8.5
+;10;36.75;Suter Lukas (2002);;18;53.75;10;36.75;0;0.0;10.0
-;9;46.75;Fässler Dominic;**;9;56.0;7;47.25;-2;0.5;8.75

11l;Durrer Ueli;;;;;;;;;;55.5
-;;;Baumann Lukas;;;;;;;;8.75
-;5;8.75;Schuler Thomas;;11;55.5;6;8.5;1;-0.25;8.75
+;11;17.5;von Büren Thomas (2002);;29;34.25;12;17.25;1;-0.25;9.75
+;12;27.25;Briker Michael;*;27;34.75;16;26.25;4;-1.0;10.0
+;8;37.25;Doppmann Ueli;;15;54.5;9;37.0;1;-0.25;9.75
o;8;47.0;Arnold Stefan;**;7;56.5;9;46.75;1;-0.25;8.5

11m;Waser Christoph (2002);;;;;;;;;;55.5
o;;;Aebli Nino;;;;;;;;8.5
+;6;8.5;Briker Hannes;;27;34.75;6;8.5;0;0.0;10.0
o;7;18.5;Baumann Lukas;;12;55.25;7;18.5;0;0.0;8.5
+;13;27.0;Wagner Andreas (2002);;24;35.5;13;27.0;0;0.0;10.0
o;9;37.0;Hürlimann Mathias;*;11;55.5;10;36.75;1;-0.25;8.5
+;14;45.5;Arnold Marcel;*;19;53.5;16;45.0;2;-0.5;10.0

11n;Lüthy Ralph;;;;;;;;;;55.5
-;;;Graber Sandro;;;;;;;;8.75
+;5;8.75;Durrer Ive;;24;35.5;5;8.75;0;0.0;10.0
o;6;18.75;Scheuber Lutz;**;10;55.75;8;18.25;2;-0.5;8.5
+;12;27.25;von Ah Markus;;16;54.25;12;27.25;0;0.0;10.0
o;8;37.25;Kempf Elias;**;9;56.0;8;37.25;0;0.0;8.5
+;13;45.75;von Flüe Michael;;18;53.75;15;45.25;2;-0.5;9.75

11o;Lustenberger Florian (2002);;;;;;;;;;55.5
+;;;Gasser Dominik 1;;;;;;;;10.0
+;2;10.0;Ming Christian 2;;15;54.5;2;10.0;0;0.0;9.75
o;3;19.75;Zurﬂuh Roman;**;8;56.25;6;18.75;3;-1.0;8.75
o;7;28.5;Gasser Stefan;**;10;55.75;11;27.5;4;-1.0;8.5
+;9;37.0;Röthlin Pascal;;14;54.75;8;37.25;-1;0.25;10.0
o;8;47.0;Rohrer Ueli;*;6;56.75;8;47.0;0;0.0;8.5

12a;Gwerder Carlo;**;;;;;;;;;55.25
-;;;Bättig Martin;*;;;;;;;8.75
o;5;8.75;Fellmann Roman;**;6;56.75;6;8.5;1;-0.25;8.5
+;12;17.25;Gander Benjamin;;20;53.25;6;18.75;-6;1.5;10.0
+;12;27.25;Bucher André (2001);;18;53.75;9;28.0;-3;0.75;9.75
+;9;37.0;Ming Christian 2;;15;54.5;9;37.0;0;0.0;9.75
o;9;46.75;Mathis Marcel;***;4;57.25;7;47.25;-2;0.5;8.5

12b;Hürlimann Marco (2002);;;;;;;;;;55.25
o;;;Berchtold Kilian (2001);;;;;;;;8.5
+;6;8.5;Küchler Severin;;24;35.5;6;8.5;0;0.0;10.0
o;7;18.5;Würsch Lars;*;25;35.25;13;17.0;6;-1.5;8.5
+;13;27.0;Bacher Andreas;;24;35.5;13;27.0;0;0.0;9.75
o;10;36.75;Barmettler Renato (2003);;15;54.5;9;37.0;-1;0.25;8.5
+;15;45.25;Burch Thomas;;16;54.25;13;45.75;-2;0.5;10.0

12c;Lustenberger Marc (2003);;;;;;;;;;55.25
+;;;Bacher Andreas;;;;;;;;9.75
o;3;9.75;Röthlin Pascal;;14;54.75;2;10.0;-1;0.25;8.5
+;8;18.25;Odermatt Lars (2002);;18;53.75;7;18.5;-1;0.25;9.75
+;9;28.0;Würsch Lars;*;25;35.25;14;26.75;5;-1.25;9.75
-;6;37.75;Durrer Nando;*;13;55.0;8;37.25;2;-0.5;9.0
o;9;46.75;Käslin Benno;*;5;57.0;8;47.0;-1;0.25;8.5

12d;Suter Beat;;;;;;;;;;55.25
+;;;Kaiser Sandro;;;;;;;;10.0
+;2;10.0;Niederberger Markus;*;10;55.75;5;8.75;3;-1.25;10.0
o;2;20.0;Ettlin Stefan;**;5;57.0;3;19.75;1;-0.25;8.5
+;7;28.5;Durrer Lukas;;18;53.75;8;28.25;1;-0.25;9.75
o;4;38.25;Gasser Stefan;**;10;55.75;8;37.25;4;-1.0;8.5
o;9;46.75;Durrer Jonas (2003);;8;56.25;10;46.5;1;-0.25;8.5

12e;Berchtold Kilian (2001);;;;;;;;;;55.25
+;;;Hürlimann Marco (2002);;;;;;;;9.75
+;3;9.75;Suter Raphael;;14;54.75;3;9.75;0;0.0;9.75
o;4;19.5;Grab Daniel;**;14;54.75;7;18.5;3;-1.0;8.75
o;8;28.25;Bättig Martin;*;9;56.0;11;27.5;3;-0.75;8.5
o;10;36.75;Eﬃnger Peter;;13;55.0;10;36.75;0;0.0;8.5
+;15;45.25;Suter Lukas (2002);;18;53.75;15;45.25;0;0.0;10.0

12f;Suter Samuel;;;;;;;;;;55.25
+;;;Britschgi Markus;;;;;;;;9.75
+;3;9.75;Tschümperlin Justin (2003);;24;35.5;3;9.75;0;0.0;9.75
o;4;19.5;Gasser Peter;*;11;55.5;7;18.5;3;-1.0;8.5
o;9;28.0;Niederberger Markus;*;10;55.75;12;27.25;3;-0.75;8.5
+;11;36.5;Müller Mathias;;18;53.75;11;36.5;0;0.0;10.0
-;10;46.5;Durrer Nando;*;13;55.0;11;46.25;1;-0.25;8.75

12g;Widmer Simon;;;;;;;;;;55.25
+;;;Kathriner Andreas (2003);;;;;;;;9.75
o;3;9.75;Wallimann Remo;;8;56.25;3;9.75;0;0.0;8.5
+;8;18.25;Hurschler Mauri;;24;35.5;12;17.25;4;-1.0;10.0
o;8;28.25;Gisler Jonas (2001);*;10;55.75;12;27.25;4;-1.0;8.5
o;10;36.75;Zimmermann Simon;**;11;55.5;9;37.0;-1;0.25;8.5
+;15;45.25;Vogler Jakob;;18;53.75;15;45.25;0;0.0;10.0

12h;Elsener Marcel;*;;;;;;;;;55.25
+;;;Schmid Simon;*;;;;;;;9.75
+;3;9.75;Bättig Martin;*;9;56.0;4;9.0;1;-0.75;9.75
+;4;19.5;Bürgi Michael (2002);;13;55.0;3;19.75;-1;0.25;9.75
o;4;29.25;Orlik Armon;***;2;58.5;3;29.5;-1;0.25;8.5
o;6;37.75;Rohrer Marco;**;1;111.25;1;74.25;-5;36.5;8.5
-;11;46.25;Mehr Lars (2002);;12;55.25;11;46.25;0;0.0;9.0

12i;Baumann Lukas;;;;;;;;;;55.25
-;;;Durrer Ueli;;;;;;;;8.75
+;5;8.75;Lussi Roland (2003);;21;53.0;5;8.75;0;0.0;9.75
+;7;18.5;Waser Christoph (2002);;11;55.5;7;18.5;0;0.0;10.0
o;7;28.5;Rohrer Ueli;*;6;56.75;7;28.5;0;0.0;8.5
o;9;37.0;Odermatt Andreas;*;8;56.25;8;37.25;-1;0.25;8.5
+;14;45.5;Müller Mathias;;18;53.75;15;45.25;1;-0.25;9.75

12j;Reichmuth Armin;*;;;;;;;;;55.25
+;;;Muff André;*;;;;;;;9.75
o;3;9.75;Mathis Marcel;***;4;57.25;6;8.5;3;-1.25;8.5
+;8;18.25;Ettlin Michael;;14;54.75;5;19.0;-3;0.75;9.75
o;9;28.0;Rohrer Marco;**;1;111.25;1;55.75;-8;27.75;8.75
+;10;36.75;Suter Raphael;;14;54.75;11;36.5;1;-0.25;10.0
o;9;46.75;Nötzli Reto;***;8;56.25;10;46.5;1;-0.25;8.5

12k;Kälin Roland;**;;;;;;;;;55.25
o;;;Odermatt Andreas;*;;;;;;;8.5
-;6;8.5;Zimmermann Simon;**;11;55.5;6;8.5;0;0.0;8.75
+;12;17.25;Burch Thomas;;16;54.25;6;18.75;-6;1.5;9.75
+;13;27.0;Gander Michael;;13;55.0;10;27.75;-3;0.75;10.0
+;9;37.0;Troxler Jonas;;13;55.0;10;36.75;1;-0.25;9.75
o;9;46.75;Fellmann Roman;**;6;56.75;9;46.75;0;0.0;8.5

12l;Mehr Lars (2002);;;;;;;;;;55.25
-;;;Bieri Elias;;;;;;;;8.75
+;5;8.75;Stalder Tim;;29;34.25;5;8.75;0;0.0;10.0
o;6;18.75;Bättig Martin;*;9;56.0;11;17.5;5;-1.25;8.75
-;11;27.5;Elmiger Andreas;;13;55.0;10;27.75;-1;0.25;8.75
+;12;36.25;Bucher André (2001);;18;53.75;11;36.5;-1;0.25;10.0
-;11;46.25;Elsener Marcel;*;12;55.25;11;46.25;0;0.0;9.0

13a;Eﬃnger Peter;;;;;;;;;;55.0
+;;;Albert Thomas;;;;;;;;9.75
o;3;9.75;Fellmann Simon;;14;54.75;2;10.0;-1;0.25;8.5
+;8;18.25;Bucher Sandro;;25;35.25;8;18.25;0;0.0;9.75
-;9;28.0;Gander Adrian;*;14;54.75;13;27.0;4;-1.0;8.75
+;10;36.75;Berchtold Kilian (2001);;12;55.25;10;36.75;0;0.0;9.75
o;10;46.5;Rohrer Ivan;**;9;56.0;11;46.25;1;-0.25;8.5

13b;Barmettler Peter;*;;;;;;;;;55.0
o;;;Hürlimann Mathias;*;;;;;;;8.5
o;6;8.5;Reichmuth Marco;**;4;57.25;6;8.5;0;0.0;8.5
+;13;17.0;Arnold Kilian (2002);;17;54.0;7;18.5;-6;1.5;10.0
+;13;27.0;Klauser Nico;;24;35.5;13;27.0;0;0.0;9.75
+;10;36.75;Egli Adrian (2002);;17;54.0;10;36.75;0;0.0;9.75
o;10;46.5;Schürpf Bruno;*;7;56.5;10;46.5;0;0.0;8.5

13c;Elmiger Andreas;;;;;;;;;;55.0
+;;;Christen Silvan (2002);;;;;;;;10.0
-;2;10.0;Ming Christian;*;15;54.5;5;8.75;3;-1.25;9.0
o;5;19.0;Van Messel Noe (2002);*;5;57.0;6;18.75;1;-0.25;8.75
-;10;27.75;Mehr Lars (2002);;12;55.25;11;27.5;1;-0.25;8.75
+;11;36.5;Roner Remo (2002);;19;53.5;11;36.5;0;0.0;10.0
o;10;46.5;Burch Jonas;*;8;56.25;11;46.25;1;-0.25;8.5

13d;Troxler Jonas;;;;;;;;;;55.0
+;;;Gasser Dominik 2;;;;;;;;10.0
+;2;10.0;Pedrazzini Diego;;25;35.25;3;9.75;1;-0.25;9.75
o;3;19.75;Burch Jonas;*;8;56.25;7;18.5;4;-1.25;8.5
o;8;28.25;Langensand Stefan;*;11;55.5;11;27.5;3;-0.75;8.5
o;10;36.75;Kälin Roland;**;12;55.25;9;37.0;-1;0.25;8.5
+;15;45.25;Durrer Lukas;;18;53.75;15;45.25;0;0.0;9.75

13e;Gander Michael;;;;;;;;;;55.0
o;;;Bucher André (2001);;;;;;;;8.75
+;5;8.75;Zgraggen Remo (2003);;30;34.0;6;8.5;1;-0.25;10.0
-;6;18.75;Briker Michael;*;27;34.75;12;17.25;6;-1.5;9.0
o;10;27.75;Kälin Roland;**;12;55.25;13;27.0;3;-0.75;8.5
+;12;36.25;Rohrer Timo (2001);;19;53.5;13;36.0;1;-0.25;10.0
o;11;46.25;Villiger Cyrill;*;8;56.25;11;46.25;0;0.0;8.75

13f;Graber Sandro;;;;;;;;;;55.0
-;;;Lüthy Ralph;;;;;;;;8.75
+;5;8.75;Betschart Roger (2003);;15;54.5;5;8.75;0;0.0;9.75
+;7;18.5;Keller Janik;*;27;34.75;11;17.5;4;-1.0;9.75
-;8;28.25;Stöckli Damian;*;10;55.75;9;28.0;1;-0.25;9.0
-;8;37.25;Aebli Nino;;15;54.5;9;37.0;1;-0.25;8.75
-;12;46.0;Fellmann Simon;;14;54.75;13;45.75;1;-0.25;9.0

13g;Gosswiler Livio;*;;;;;;;;;55.0
o;;;Langensand Stefan;*;;;;;;;8.5
o;6;8.5;Rohrer Ueli;*;6;56.75;6;8.5;0;0.0;8.5
+;13;17.0;von Flüe Michael;;18;53.75;7;18.5;-6;1.5;9.75
+;14;26.75;Reichlin Reto (2002);;22;52.75;12;27.25;-2;0.5;10.0
o;10;36.75;Ettlin Martin;;6;56.75;6;37.75;-4;1.0;8.5
+;15;45.25;Albert Thomas;;16;54.25;13;45.75;-2;0.5;9.75

13h;Hurschler Tobias (2003);;;;;;;;;;55.0
+;;;Rohrer Timo (2001);;;;;;;;9.75
+;3;9.75;Arnold Samuel (2001);;24;35.5;2;10.0;-1;0.25;9.75
o;4;19.5;Elsener Adrian;**;11;55.5;7;18.5;3;-1.0;8.5
o;9;28.0;Bieri Christian;**;9;56.0;11;27.5;2;-0.5;8.5
+;11;36.5;Kälin Markus (2001);;18;53.75;10;36.75;-1;0.25;10.0
o;10;46.5;Schuler Philipp;**;5;57.0;8;47.0;-2;0.5;8.5

13i;Bürgi Michael (2002);;;;;;;;;;55.0
+;;;Ettlin Thomas;;;;;;;;10.0
+;2;10.0;Rohrer Marco;;1;111.25;1;18.75;-1;8.75;9.75
o;3;19.75;Elsener Marcel;*;12;55.25;4;19.5;1;-0.25;8.5
o;8;28.25;Käslin Ruedi;*;10;55.75;12;27.25;4;-1.0;8.5
o;10;36.75;Imfeld Beat;;7;56.5;7;37.5;-3;0.75;8.5
+;15;45.25;Aebli Nino;;15;54.5;13;45.75;-2;0.5;9.75

13j;Durrer Nando;*;;;;;;;;;55.0
+;;;Reichmuth Lukas;*;;;;;;;9.75
-;3;9.75;Elsener Adrian;**;11;55.5;3;9.75;0;0.0;8.75
+;7;18.5;Egli Adrian (2002);;17;54.0;4;19.5;-3;1.0;10.0
-;7;28.5;Grab Daniel;**;14;54.75;7;28.5;0;0.0;8.75
-;8;37.25;Lustenberger Marc (2003);;12;55.25;6;37.75;-2;0.5;9.0
-;11;46.25;Suter Samuel;;12;55.25;10;46.5;-1;0.25;8.75

13k;Amgarten Martin;*;;;;;;;;;55.0
o;;;Gisler Jonas (2001);*;;;;;;;8.5
o;6;8.5;Ambühl Joel;**;7;56.5;5;8.75;-1;0.25;8.5
+;13;17.0;Facchini Oscar;;24;35.5;7;18.5;-6;1.5;9.75
+;14;26.75;Ulrich Damian;;16;54.25;12;27.25;-2;0.5;10.0
o;10;36.75;Stöckli Damian;*;10;55.75;10;36.75;0;0.0;8.5
+;15;45.25;Ulrich Michael (2003);;16;54.25;13;45.75;-2;0.5;9.75

14a;Ettlin Michael;;;;;;;;;;54.75
+;;;Briker Hannes;;;;;;;;10.0
-;2;10.0;Gisler Silvan (2002);;15;54.5;3;9.75;1;-0.25;9.0
o;5;19.0;Reichmuth Armin;*;12;55.25;8;18.25;3;-0.75;8.5
-;11;27.5;Schürpf Guido;;14;54.75;8;28.25;-3;0.75;8.75
+;12;36.25;Hürlimann Ueli (2001);;18;53.75;11;36.5;-1;0.25;9.75
-;12;46.0;Grab Daniel;**;14;54.75;12;46.0;0;0.0;8.75

14b;Reichmuth Lukas;*;;;;;;;;;54.75
o;;;Durrer Nando;*;;;;;;;8.5
o;6;8.5;Burch Jonas;*;8;56.25;6;8.5;0;0.0;8.75
+;12;17.25;Barmettler Renato (2003);;15;54.5;7;18.5;-5;1.25;10.0
+;12;27.25;Egli Adrian (2002);;17;54.0;8;28.25;-4;1.0;10.0
-;8;37.25;Gisler Jonas (2001);*;10;55.75;8;37.25;0;0.0;8.75
-;12;46.0;Della Torre Simon;;14;54.75;12;46.0;0;0.0;8.75

14c;Della Torre Simon;;;;;;;;;;54.75
+;;;Achermann Ueli (2001);;;;;;;;10.0
-;2;10.0;Keller Janik;*;27;34.75;5;8.75;3;-1.25;8.75
+;6;18.75;Aebli Nino;;15;54.5;7;18.5;1;-0.25;10.0
o;6;28.75;Reichmuth Marco;**;4;57.25;12;27.25;6;-1.5;8.5
-;8;37.25;Fellmann Simon;;14;54.75;9;37.0;1;-0.25;8.75
-;12;46.0;Reichmuth Lukas;*;14;54.75;12;46.0;0;0.0;8.75

14d;Gander Adrian;*;;;;;;;;;54.75
-;;;Villiger Cyrill;*;;;;;;;8.75
o;5;8.75;Schuler Alex;;10;55.75;3;9.75;-2;1.0;8.5
+;12;17.25;Doppmann Ueli;;15;54.5;7;18.5;-5;1.25;9.75
-;13;27.0;Eﬃnger Peter;;13;55.0;9;28.0;-4;1.0;8.75
+;14;35.75;Schmid Simon;*;16;54.25;14;35.75;0;0.0;10.0
-;13;45.75;Rohrer Timo (2001);;19;53.5;18;44.5;5;-1.25;9.0

14e;Brunner Timon;;;;;;;;;;54.75
+;;;Würsch Kevin (2003);;;;;;;;10.0
-;2;10.0;Burch Thomas;;16;54.25;2;10.0;0;0.0;8.75
o;6;18.75;Zimmermann Simon;**;11;55.5;12;17.25;6;-1.5;8.5
-;12;27.25;Rohrer Marco;;1;111.25;1;55.75;-11;28.5;8.75
-;13;36.0;Gisler Silvan (2002);;15;54.5;14;35.75;1;-0.25;8.75
+;17;44.75;Kathriner Severin;;22;52.75;19;44.25;2;-0.5;10.0

14f;Albert Stefan (2002);;;;;;;;;;54.75
o;;;Suter Lukas (2002);;;;;;;;8.5
+;6;8.5;Baumgartner Matthias (2003);;30;34.0;6;8.5;0;0.0;9.75
+;8;18.25;Durrer Jan (2003);;24;35.5;8;18.25;0;0.0;9.75
o;9;28.0;Blaser Theo;*;9;56.0;13;27.0;4;-1.0;8.5
o;11;36.5;Baumann Marco;;11;55.5;9;37.0;-2;0.5;8.5
+;16;45.0;Kälin Markus (2001);;18;53.75;15;45.25;-1;0.25;9.75

14g;Waser Raphael;;;;;;;;;;54.75
+;;;Ulrich Damian;;;;;;;;10.0
+;2;10.0;Arnold Kilian (2002);;17;54.0;2;10.0;0;0.0;10.0
o;2;20.0;Bürli Roger;**;7;56.5;4;19.5;2;-0.5;8.5
-;7;28.5;Schürpf Bruno;*;7;56.5;11;27.5;4;-1.0;9.0
-;7;37.5;Scherrer Fabian (2002);;9;56.0;9;37.0;2;-0.5;8.75
o;11;46.25;Ambühl Joel;**;7;56.5;10;46.5;-1;0.25;8.5

14h;Grab Daniel;**;;;;;;;;;54.75
o;;;Rohrer Ivan;**;;;;;;;8.5
+;6;8.5;Schmid Simon;*;16;54.25;6;8.5;0;0.0;10.0
+;7;18.5;Berchtold Kilian (2001);;12;55.25;4;19.5;-3;1.0;10.0
-;7;28.5;Durrer Nando;*;13;55.0;7;28.5;0;0.0;8.75
o;8;37.25;Ettlin Martin;;6;56.75;6;37.75;-2;0.5;8.75
-;12;46.0;Ettlin Michael;;14;54.75;12;46.0;0;0.0;8.75

14i;Suter Raphael;;;;;;;;;;54.75
+;;;Küchler Severin;;;;;;;;9.75
o;3;9.75;Berchtold Kilian (2001);;12;55.25;3;9.75;0;0.0;8.5
o;8;18.25;Ettlin Martin;;6;56.75;10;17.75;2;-0.5;8.5
+;14;26.75;Gander Sebastian (2003);;28;34.5;17;26.0;3;-0.75;9.75
o;11;36.5;Reichmuth Armin;*;12;55.25;10;36.75;-1;0.25;8.5
+;16;45.0;Durrer Robin;*;16;54.25;13;45.75;-3;0.75;9.75

14j;Röthlin Pascal;;;;;;;;;;54.75
+;;;Schuler Thomas;;;;;;;;10.0
+;2;10.0;Lustenberger Marc (2003);;12;55.25;3;9.75;1;-0.25;10.0
o;2;20.0;Schöpfer Ronny;*;9;56.0;3;19.75;1;-0.25;8.75
o;6;28.75;Muff Armin;**;9;56.0;11;27.5;5;-1.25;8.5
o;8;37.25;Lustenberger Florian (2002);;11;55.5;9;37.0;1;-0.25;8.75
o;12;46.0;Blaser Theo;*;9;56.0;12;46.0;0;0.0;8.75

14k;Fellmann Simon;;;;;;;;;;54.75
+;;;Odermatt Lars (2002);;;;;;;;10.0
+;2;10.0;Eﬃnger Peter;;13;55.0;3;9.75;1;-0.25;10.0
o;2;20.0;Bernhard Lukas;*;5;57.0;3;19.75;1;-0.25;8.5
o;7;28.5;Odermatt Christian;**;7;56.5;9;28.0;2;-0.5;8.5
-;9;37.0;Della Torre Simon;;14;54.75;8;37.25;-1;0.25;8.75
-;13;45.75;Graber Sandro;;13;55.0;12;46.0;-1;0.25;9.0

14l;Schürpf Guido;;;;;;;;;;54.75
+;;;Kaufmann Jens;;;;;;;;9.75
+;3;9.75;Murpf Dario;;17;54.0;3;9.75;0;0.0;10.0
o;3;19.75;Herger Matthias;**;4;57.25;7;18.5;4;-1.25;8.5
-;8;28.25;Ettlin Michael;;14;54.75;11;27.5;3;-0.75;9.0
-;8;37.25;Burch Jonas;*;8;56.25;8;37.25;0;0.0;9.0
o;11;46.25;Zimmermann Martin;**;7;56.5;9;46.75;-2;0.5;8.5

15a;Ming Hannes;;;;;;;;;;54.5
+;;;Rogenmoser Luca (2003);;;;;;;;10.0
-;2;10.0;Wiget Ueli;;17;54.0;3;9.75;1;-0.25;8.75
o;6;18.75;Kälin Remo;*;10;55.75;12;17.25;6;-1.5;8.5
-;12;27.25;Rohrer Timo (2001);;19;53.5;13;27.0;1;-0.25;9.0
o;12;36.25;Schürpf Bruno;*;7;56.5;11;36.5;-1;0.25;8.5
