2965-2017-07-09_Bernisch-Kantonales_Schwingfest-ST

1a;Wenger Kilian;***;;;;;;;;;58.25
+;;;Gerber Christian;**;;;;;;;9.75
+;2;9.75;Reusser Philipp;***;11;55.25;1;10.0;-1;0.25;9.75
+;3;19.5;Röthlisberger Simon;**;10;55.5;1;20.0;-2;0.5;10.0
-;2;29.5;Aeschbacher Matthias;**;5;56.75;2;29.5;0;0.0;8.75
+;3;38.25;Gerber Thomas;*;11;55.25;3;38.25;0;0.0;10.0
+;2;48.25;Stucki Christian;***;1;58.25;1;49.5;-1;1.25;10.0

1b;Stucki Christian;***;;;;;;;;;58.25
+;;;Schneider Domenic;***;;;;;;;9.75
+;2;9.75;Wüthrich Niklaus;**;11;55.25;2;9.75;0;0.0;10.0
+;2;19.75;von Weissenfluh Kilian;**;4;57.0;1;20.0;-1;0.25;10.0
+;1;29.75;Graber Willy;***;4;57.0;3;28.75;2;-1.0;9.75
+;1;39.5;Roschi Ruedi;**;6;56.5;3;38.25;2;-1.25;10.0
o;1;49.5;Wenger Kilian;***;1;58.25;2;48.25;1;-1.25;8.75

2a;Anderegg Simon;***;;;;;;;;;57.5
-;;;Schenk Patrick;***;;;;;;;8.75
+;4;8.75;Steffen Valentin;*;11;55.25;2;9.75;-2;1.0;10.0
+;5;18.75;Gäggeler Adrian;*;8;56.0;5;18.75;0;0.0;10.0
-;3;28.75;Moser Steven;**;7;56.25;3;28.75;0;0.0;8.75
+;6;37.5;Jäggi Lukas;*;14;54.5;7;37.25;1;-0.25;10.0
+;4;47.5;Aeschbacher Matthias;**;5;56.75;2;48.25;-2;0.75;10.0

2b;Ramseier Fritz;*;;;;;;;;;57.5
-;;;Wittwer Jan;*;;;;;;;8.75
+;4;8.75;Schletti Andreas;*;14;54.5;4;8.75;0;0.0;10.0
-;5;18.75;Giger Samuel;***;5;56.75;6;18.5;1;-0.25;8.75
+;8;27.5;Grossen John;;12;55.0;5;28.25;-3;0.75;10.0
+;6;37.5;Weyermann Florian;*;9;55.75;7;37.25;1;-0.25;10.0
+;4;47.5;Fankhauser Erich;***;9;55.75;5;47.25;1;-0.25;10.0

3a;Käser Remo;***;;;;;;;;;57.25
-;;;Roschi Ruedi;**;;;;;;;8.75
+;4;8.75;Zaugg Christian;*;12;55.0;2;9.75;-2;1.0;9.75
+;6;18.5;Wittwer Jan;*;10;55.5;5;18.75;-1;0.25;9.75
-;5;28.25;Kämpf Bernhard;***;6;56.5;3;28.75;-2;0.5;9.0
+;7;37.25;Fankhauser Reto;*;13;54.75;6;37.5;-1;0.25;10.0
+;5;47.25;Wyss Kilian;**;10;55.5;6;47.0;1;-0.25;10.0

4a;Erb Roger;**;;;;;;;;;57.0
-;;;Sempach Thomas;***;;;;;;;8.75
+;4;8.75;Blaser Roman;*;14;54.5;1;10.0;-3;1.25;9.75
+;6;18.5;Wyss Kilian;**;10;55.5;6;18.5;0;0.0;9.75
-;5;28.25;Fankhauser Reto;*;13;54.75;4;28.5;-1;0.25;9.0
+;7;37.25;Urfer Simon;*;14;54.5;7;37.25;0;0.0;9.75
+;6;47.0;Habegger Heinz;**;13;54.75;10;46.0;4;-1.0;10.0

4b;Graber Willy;***;;;;;;;;;57.0
-;;;Voggensperger Janic;**;;;;;;;9.0
+;3;9.0;Locher Alfred;*;15;54.25;1;10.0;-2;1.0;9.75
+;5;18.75;Jäggi Lukas;*;14;54.5;5;18.75;0;0.0;10.0
o;3;28.75;Stucki Christian;***;1;58.25;1;29.75;-2;1.0;8.5
+;7;37.25;Leuenberger Michael;*;10;55.5;3;38.25;-4;1.0;9.75
+;6;47.0;Wenger Marcel (1999);*;12;55.0;8;46.5;2;-0.5;10.0

4c;Zenger Niklaus;***;;;;;;;;;57.0
o;;;Aeschbacher Matthias;**;;;;;;;8.5
+;5;8.5;Zehnder Jürg;*;16;54.0;2;9.75;-3;1.25;9.75
-;7;18.25;Weyermann Florian;*;9;55.75;6;18.5;-1;0.25;9.0
+;9;27.25;Steffen Valentin;*;11;55.25;5;28.25;-4;1.0;10.0
+;7;37.25;Gehrig Damian;***;13;54.75;7;37.25;0;0.0;9.75
+;6;47.0;Fankhauser Kurt;**;14;54.5;10;46.0;4;-1.0;10.0

4d;Schneider Domenic;***;;;;;;;;;57.0
o;;;Stucki Christian;***;;;;;;;8.5
+;5;8.5;Waber Lorenz;*;11;55.25;2;9.75;-3;1.25;9.75
-;7;18.25;Gobeli Patrick;*;8;56.0;6;18.5;-1;0.25;9.0
+;9;27.25;Sommer Martin;;15;54.25;9;27.25;0;0.0;10.0
+;7;37.25;Wenger Marcel (1999);*;12;55.0;4;38.0;-3;0.75;9.75
+;6;47.0;Luginbühl Hanspeter;**;11;55.25;7;46.75;1;-0.25;10.0

4e;Gerber Christian;**;;;;;;;;;57.0
+;;;Wittwer Josias;*;;;;;;;10.0
o;1;10.0;Wenger Kilian;***;1;58.25;2;9.75;1;-0.25;8.5
+;6;18.5;Lehmann Ueli;;16;54.0;6;18.5;0;0.0;10.0
+;4;28.5;Iseli Marco;*;5;56.75;4;28.5;0;0.0;9.75
-;3;38.25;Kämpf Bernhard;***;6;56.5;5;37.75;2;-0.5;8.75
+;6;47.0;Zaugg Christian;*;12;55.0;8;46.5;2;-0.5;10.0

4f;von Weissenfluh Kilian;**;;;;;;;;;57.0
+;;;Habegger Heinz;**;;;;;;;10.0
+;1;10.0;Walther Marcel;*;16;54.0;1;10.0;0;0.0;10.0
o;1;20.0;Stucki Christian;***;1;58.25;2;19.75;1;-0.25;8.5
+;4;28.5;Zaugg Christian;*;12;55.0;5;28.25;1;-0.25;10.0
o;2;38.5;Aeschbacher Matthias;**;5;56.75;3;38.25;1;-0.25;8.5
+;6;47.0;Gerber Thomas;*;11;55.25;7;46.75;1;-0.25;10.0

5a;Giger Samuel;***;;;;;;;;;56.75
o;;;Sempach Matthias;***;;;;;;;8.5
+;5;8.5;Gehrig Philipp;**;5;56.75;2;9.75;-3;1.25;10.0
-;6;18.5;Ramseier Fritz;*;2;57.5;5;18.75;-1;0.25;8.75
+;9;27.25;Zürcher Kurt;*;15;54.25;4;28.5;-5;1.25;9.75
+;8;37.0;Graber Bruno;**;14;54.5;7;37.25;-1;0.25;9.75
+;7;46.75;Waber Lorenz;*;11;55.25;7;46.75;0;0.0;10.0

5b;Iseli Marco;*;;;;;;;;;56.75
+;;;Sommer Roman;*;;;;;;;9.75
-;2;9.75;Voggensperger Janic;**;8;56.0;3;9.0;1;-0.75;8.75
+;6;18.5;Walther Marcel;*;16;54.0;6;18.5;0;0.0;10.0
o;4;28.5;Gerber Christian;**;4;57.0;4;28.5;0;0.0;8.5
+;8;37.0;Wüthrich Niklaus;**;11;55.25;8;37.0;0;0.0;9.75
+;7;46.75;Gehrig Damian;***;13;54.75;10;46.0;3;-0.75;10.0

5c;Aeschbacher Matthias;**;;;;;;;;;56.75
+;;;Zenger Niklaus;***;;;;;;;9.75
+;2;9.75;Thomet Adrian;**;12;55.0;2;9.75;0;0.0;10.0
+;2;19.75;Orlik Curdin;**;6;56.5;1;20.0;-1;0.25;9.75
-;2;29.5;Wenger Kilian;***;1;58.25;2;29.5;0;0.0;8.75
+;3;38.25;von Weissenfluh Kilian;**;4;57.0;2;38.5;-1;0.25;10.0
o;2;48.25;Anderegg Simon;***;2;57.5;4;47.5;2;-0.75;8.5

5d;Gehrig Philipp;**;;;;;;;;;56.75
+;;;Bremgartner Marcel;*;;;;;;;9.75
o;2;9.75;Giger Samuel;***;5;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Santschi Hans;;16;54.0;6;18.5;-1;0.25;10.0
-;5;28.25;Renfer Lukas;*;14;54.5;8;27.5;3;-0.75;8.75
+;8;37.0;Walther Marcel;*;16;54.0;8;37.0;0;0.0;9.75
+;7;46.75;Aellen Florian;*;12;55.0;8;46.5;1;-0.25;10.0

6a;Roschi Ruedi;**;;;;;;;;;56.5
-;;;Käser Remo;***;;;;;;;8.75
+;4;8.75;Schlüchter Colin;*;11;55.25;2;9.75;-2;1.0;9.75
+;6;18.5;Schenk Thomas;*;19;53.25;6;18.5;0;0.0;10.0
+;4;28.5;Berger René;**;12;55.0;5;28.25;1;-0.25;9.75
o;3;38.25;Stucki Christian;***;1;58.25;1;39.5;-2;1.25;8.5
+;7;46.75;Steffen Valentin;*;11;55.25;7;46.75;0;0.0;9.75

6b;Orlik Curdin;**;;;;;;;;;56.5
+;;;Staub Maël;*;;;;;;;10.0
+;1;10.0;Schenkel Remo;*;11;55.25;5;8.5;4;-1.5;10.0
o;1;20.0;Aeschbacher Matthias;**;5;56.75;2;19.75;1;-0.25;8.75
-;3;28.75;Reusser Philipp;***;11;55.25;4;28.5;1;-0.25;9.0
