3080-2015-04-26_92_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Müllestein Mike;**;;;;;;;;;58.75
o;;;Nötzli Reto;***;;;;;;;8.5
+;5;8.5;Kennel Stefan;*;6;56.75;1;10.0;-4;1.5;10.0
+;6;18.5;Suter Paul;;9;56.0;4;19.0;-2;0.5;10.0
o;4;28.5;Müllestein Mike;**;1;58.75;2;29.0;-2;0.5;8.75
+;7;37.25;Weber Ivo;;12;55.25;3;38.25;-4;1.0;9.75
+;8;47.0;Waser Dominik;*;10;55.75;7;47.25;-1;0.25;10.0

5e;Forster Adrian;**;;;;;;;;;57.0
-;;;Hösli Fritz;*;;;;;;;8.75
+;4;8.75;Gwerder Beni;;10;55.75;2;9.75;-2;1.0;9.75
+;6;18.5;Hurschler Adrian;;15;54.5;5;18.75;-1;0.25;10.0
o;4;28.5;Laimbacher Philipp;***;3;57.5;3;28.75;-1;0.25;8.5
+;8;37.0;Widmer Thomas;;17;54.0;8;37.0;0;0.0;10.0
+;8;47.0;Reichmuth Marco (1997);;11;55.5;9;46.75;1;-0.25;10.0

6a;Bernhard Lukas;*;;;;;;;;;56.75
+;;;Zimmermann Daniel;*;;;;;;;9.75
o;2;9.75;Schuler Alex;**;5;57.0;3;9.0;1;-0.75;8.5
+;7;18.25;Neyer Sven;;15;54.5;6;18.5;-1;0.25;9.75
+;6;28.0;Corvi Dominik;;9;56.0;3;28.75;-3;0.75;9.75
-;5;37.75;Elsener Peter;**;10;55.75;5;37.75;0;0.0;9.0
+;9;46.75;Inderbitzin Daniel;*;9;56.0;7;47.25;-2;0.5;10.0

6b;Müller Bruno;***;;;;;;;;;56.75
o;;;Schuler Christian;***;;;;;;;8.5
+;5;8.5;Kennel Beat;*;8;56.25;2;9.75;-3;1.25;10.0
+;6;18.5;Gyr Roland;;12;55.25;2;19.75;-4;1.25;10.0
+;4;28.5;Lüönd Andreas;**;10;55.75;3;28.75;-1;0.25;9.75
o;3;38.25;Ulrich Andreas;***;2;58.25;3;38.25;0;0.0;8.5
+;9;46.75;Föhn Pirmin;*;14;54.75;11;46.25;2;-0.5;10.0

6c;Betschart Rainer;**;;;;;;;;;56.75
o;;;Grab Martin;***;;;;;;;8.5
+;5;8.5;Heinzer Florian;;24;35.5;2;9.75;-3;1.25;9.75
+;7;18.25;Schindler Thomas;;15;54.5;6;18.5;-1;0.25;10.0
-;5;28.25;Linggi Bruno;**;7;56.5;6;28.0;1;-0.25;8.75
+;8;37.0;Arnold Marcel;;15;54.5;6;37.5;-2;0.5;10.0
+;8;47.0;Effinger Markus;*;13;55.0;10;46.5;2;-0.5;9.75

6d;Suter David;**;;;;;;;;;56.75
-;;;Bieri Christian;*;;;;;;;8.75
+;4;8.75;Inderbitzin Patrick;;24;35.5;1;10.0;-3;1.25;9.75
+;6;18.5;Baumann Lukas;;17;54.0;6;18.5;0;0.0;10.0
-;4;28.5;Kempf Elias;**;8;56.25;7;27.75;3;-0.75;8.75
+;7;37.25;Elsener Marcel;;14;54.75;7;37.25;0;0.0;9.75
+;8;47.0;Kälin Remo;*;14;54.75;11;46.25;3;-0.75;9.75

6e;Kennel Stefan;*;;;;;;;;;56.75
+;;;Effinger Markus;*;;;;;;;10.0
o;1;10.0;Wicki Joel (1997);**;5;57.0;5;8.5;4;-1.5;8.5
+;6;18.5;Klauser Nico;;16;54.25;5;18.75;-1;0.25;10.0
+;4;28.5;Gwerder Dario (1997);;10;55.75;3;28.75;-1;0.25;9.75
-;3;38.25;Gloggner Philipp;***;13;55.0;6;37.5;3;-0.75;8.75
+;8;47.0;Ulrich Martin;;13;55.0;10;46.5;2;-0.5;9.75

6f;Elsener Adrian;*;;;;;;;;;56.75
-;;;Lüönd Andreas;**;;;;;;;8.75
+;4;8.75;Betschart Michael;;17;54.0;2;9.75;-2;1.0;9.75
+;6;18.5;Flück Bruno;;24;35.5;6;18.5;0;0.0;9.75
+;5;28.25;Schmid Köbi;;11;55.5;4;28.5;-1;0.25;9.75
+;4;38.0;Nötzli Reto;***;7;56.5;5;37.75;1;-0.25;10.0
-;4;48.0;Laimbacher Adrian;***;3;57.5;2;48.5;-2;0.5;8.75

6g;Bieri Marcel;**;;;;;;;;;56.75
+;;;Höfliger Andreas;*;;;;;;;10.0
o;1;10.0;Laimbacher Philipp;***;3;57.5;1;10.0;0;0.0;8.5
o;6;18.5;Weber Ivo;;12;55.25;5;18.75;-1;0.25;8.5
+;10;27.0;Flühler Markus;;24;35.5;10;27.0;0;0.0;10.0
+;8;37.0;Bürli Roger (1997);;11;55.5;8;37.0;0;0.0;10.0
+;8;47.0;Schuler Christian;***;9;56.0;7;47.25;-1;0.25;9.75

6h;Scheuber Lutz;**;;;;;;;;;56.75
-;;;Ulrich Andreas;***;;;;;;;8.75
+;4;8.75;Schmid Köbi;;11;55.5;1;10.0;-3;1.25;9.75
-;6;18.5;Gwerder Christian;**;14;54.75;5;18.75;-1;0.25;8.75
+;9;27.25;Betschart Daniel;;11;55.5;4;28.5;-5;1.25;10.0
+;7;37.25;Schelbert Michael;;23;46.5;4;38.0;-3;0.75;9.75
+;8;47.0;Kälin Roland;**;12;55.25;9;46.75;1;-0.25;9.75

6i;Grab Daniel;;;;;;;;;;56.75
+;;;Meier Andreas;;;;;;;;10.0
+;1;10.0;Schmid David;**;11;55.5;4;8.75;3;-1.25;10.0
o;1;20.0;Ulrich Florian;*;4;57.25;5;18.75;4;-1.25;8.5
+;4;28.5;Gwerder Marco;;18;53.75;5;28.25;1;-0.25;9.75
o;3;38.25;Nötzli Bruno;***;4;57.25;6;37.5;3;-0.75;8.5
+;9;46.75;Laimbacher Alex;;12;55.25;9;46.75;0;0.0;10.0

6j;Steinauer Adrian;**;;;;;;;;;56.75
+;;;Schmid David;**;;;;;;;10.0
-;1;10.0;Nötzli Bruno;***;4;57.25;1;10.0;0;0.0;8.75
