3080-2015-04-26_92_Schwyzer_Kantonales_Schwing-_und_Aelplerfest-ST

1a;Müllestein Mike;**;;;;;;;;;58.75
o;7;37.25;Inderbitzin Daniel;*;9;56.0;7;37.25;0;0.0;8.5
+;13;45.75;Kessler Joel (1997);;15;54.5;12;46.0;-1;0.25;9.75

11b;Gwerder Guido;**;;;;;;;;;55.5
-;;;Kempf Elias;**;;;;;;;9.0
+;3;9.0;Hess Dominik;;9;56.0;1;10.0;-2;1.0;9.75
-;5;18.75;Moos Christoph;;15;54.5;2;19.75;-3;1.0;8.75
+;8;27.5;Bucher Roland;;13;55.0;5;28.25;-3;0.75;10.0
-;6;37.5;Hess Michael;*;13;55.0;6;37.5;0;0.0;9.0
-;10;46.5;Elsener Peter;**;10;55.75;9;46.75;-1;0.25;9.0

11c;Schmid Köbi;;;;;;;;;;55.5
+;;;Blaser Urs (1997);;;;;;;;10.0
o;1;10.0;Scheuber Lutz;**;6;56.75;4;8.75;3;-1.25;8.5
+;6;18.5;Staub Devin (1998);;25;35.25;7;18.25;1;-0.25;10.0
o;4;28.5;Elsener Adrian;*;6;56.75;5;28.25;1;-0.25;8.5
o;8;37.0;Ulrich Martin;;13;55.0;9;36.75;1;-0.25;8.5
+;14;45.5;Baumann Lukas;;17;54.0;14;45.5;0;0.0;10.0

11d;Betschart Daniel;;;;;;;;;;55.5
+;;;Dober Adrian (1998);;;;;;;;10.0
-;1;10.0;Wyrsch Marco;*;9;56.0;4;8.75;3;-1.25;8.75
+;5;18.75;Betschart Marcel;;12;55.25;7;18.25;2;-0.5;9.75
o;4;28.5;Scheuber Lutz;**;6;56.75;9;27.25;5;-1.25;8.5
+;8;37.0;Meier Andreas;;18;53.75;9;36.75;1;-0.25;10.0
o;8;47.0;Schuler Philipp;**;7;56.5;9;46.75;1;-0.25;8.5

11e;Hösli Fritz;*;;;;;;;;;55.5
-;;;Forster Adrian;**;;;;;;;8.75
+;4;8.75;Marty Lukas (1998);;25;35.25;2;9.75;-2;1.0;10.0
+;5;18.75;Ulrich Roman;;24;35.5;6;18.5;1;-0.25;9.75
-;4;28.5;Gwerder Carlo;**;7;56.5;6;28.0;2;-0.5;8.75
+;7;37.25;Diener Pirmin;;7;56.5;4;38.0;-3;0.75;9.75
o;8;47.0;Nötzli Bruno;***;4;57.25;6;47.5;-2;0.5;8.5

11f;Waser Reto;*;;;;;;;;;55.5
o;;;Arnold Raphael;*;;;;;;;8.5
-;5;8.5;Weber Ivo;;12;55.25;1;10.0;-4;1.5;8.75
+;11;17.25;Reimann Marco (1998);;25;35.25;7;18.25;-4;1.0;10.0
o;9;27.25;Kälin Benedikt;;12;55.25;9;27.25;0;0.0;8.5
+;13;35.75;Durrer Fabian (1999);;21;53.0;13;35.75;0;0.0;10.0
+;13;45.75;Zemp Thomas;*;15;54.5;12;46.0;-1;0.25;9.75

11g;Märchy Sepp;;;;;;;;;;55.5
+;;;Ulrich Marcel;;;;;;;;10.0
o;1;10.0;Zemp Thomas;*;15;54.5;4;8.75;3;-1.25;8.5
+;6;18.5;Heinzer Florian;;24;35.5;7;18.25;1;-0.25;10.0
o;4;28.5;Kennel Beat;*;8;56.25;6;28.0;2;-0.5;8.5
+;8;37.0;Betschart Marcel;;12;55.25;9;36.75;1;-0.25;10.0
o;8;47.0;Steinauer Adrian;**;6;56.75;8;47.0;0;0.0;8.5

11h;Bürli Roger (1997);;;;;;;;;;55.5
-;;;Neyer Sven;;;;;;;;8.75
+;4;8.75;Bruhin Fredi (1997);;14;54.75;2;9.75;-2;1.0;9.75
-;6;18.5;Effinger Markus;*;13;55.0;7;18.25;1;-0.25;8.75
+;9;27.25;Flück Bruno;;24;35.5;10;27.0;1;-0.25;9.75
o;8;37.0;Bieri Marcel;**;6;56.75;8;37.0;0;0.0;8.5
+;14;45.5;Stettler Philipp;*;17;54.0;14;45.5;0;0.0;10.0

11i;Reichmuth Marco (1997);;;;;;;;;;55.5
+;;;Kessler Joel (1997);;;;;;;;9.75
-;2;9.75;Inderbitzin Daniel;*;9;56.0;4;8.75;2;-1.0;8.75
+;6;18.5;Grab Martin (1999);;17;54.0;6;18.5;0;0.0;10.0
o;4;28.5;Hess Michael;*;13;55.0;8;27.5;4;-1.0;8.5
+;8;37.0;Schürpf Bruno;;13;55.0;9;36.75;1;-0.25;9.75
o;9;46.75;Forster Adrian;**;5;57.0;8;47.0;-1;0.25;8.75

12a;Odermatt Sepp;**;;;;;;;;;55.25
o;;;Müllestein Mike;**;;;;;;;8.5
+;5;8.5;Schelbert Michael;;23;46.5;2;9.75;-3;1.25;9.75
+;7;18.25;Schelbert Eugen;;24;35.5;7;18.25;0;0.0;10.0
o;5;28.25;Kenel Franz-Toni;*;10;55.75;4;28.5;-1;0.25;8.5
o;9;36.75;Laimbacher Alex;;12;55.25;9;36.75;0;0.0;8.75
+;14;45.5;Lagler Christian;;15;54.5;12;46.0;-2;0.5;9.75

12b;Gyr Roland;;;;;;;;;;55.25
+;;;Herger Fabian;;;;;;;;9.75
+;2;9.75;Rolli Ueli;;18;53.75;4;8.75;2;-1.0;10.0
o;2;19.75;Müller Bruno;***;6;56.75;6;18.5;4;-1.25;8.5
o;5;28.25;Elsener Peter;**;10;55.75;6;28.0;1;-0.25;8.5
+;9;36.75;Bienz Romeo (1997);;13;55.0;9;36.75;0;0.0;10.0
o;9;46.75;Nötzli Reto;***;7;56.5;10;46.5;1;-0.25;8.5

12c;Laimbacher Alex;;;;;;;;;;55.25
+;;;Rogenmoser Ryan (1999);;;;;;;;10.0
o;1;10.0;Elsener Peter;**;10;55.75;3;9.0;2;-1.0;8.75
-;5;18.75;Effinger Peter;;15;54.5;6;18.5;1;-0.25;9.0
-;7;27.75;Blaser Theo;;4;57.25;5;28.25;-2;0.5;9.0
+;9;36.75;Odermatt Sepp;**;12;55.25;9;36.75;0;0.0;10.0
o;9;46.75;Grab Daniel;;6;56.75;9;46.75;0;0.0;8.5

12d;Suter Beat;;;;;;;;;;55.25
o;;;Heinzer Josef;;;;;;;;8.5
+;5;8.5;Schilter Daniel;;24;35.5;5;8.5;0;0.0;10.0
o;6;18.5;Linggi Bruno;**;7;56.5;7;18.25;1;-0.25;8.5
+;10;27.0;Ulrich Roman;;24;35.5;10;27.0;0;0.0;10.0
+;8;37.0;Stettler Philipp;*;17;54.0;8;37.0;0;0.0;9.75
o;9;46.75;Heinzer Stefan;*;6;56.75;8;47.0;-1;0.25;8.5

12e;Ulrich Marco (1997);;;;;;;;;;55.25
-;;;Klauser Nico;;;;;;;;8.75
+;4;8.75;Zimmermann Fabian;;24;35.5;5;8.5;1;-0.25;9.75
o;6;18.5;Reichmuth Armin;*;15;54.5;7;18.25;1;-0.25;8.5
+;10;27.0;Reichmuth Roland (1997);;24;35.5;10;27.0;0;0.0;9.75
o;9;36.75;Kessler Joel (1997);;15;54.5;11;36.25;2;-0.5;8.5
+;15;45.25;Rolli Ueli;;18;53.75;15;45.25;0;0.0;10.0

12f;Betschart Marcel;;;;;;;;;;55.25
+;;;Knobel Guido;;;;;;;;9.75
o;2;9.75;Höfliger Andreas;*;5;57.0;5;8.5;3;-1.25;8.5
o;7;18.25;Betschart Daniel;;11;55.5;5;18.75;-2;0.5;8.75
+;10;27.0;Ulrich Pascal (1999);;24;35.5;10;27.0;0;0.0;9.75
o;9;36.75;Märchy Sepp;;11;55.5;8;37.0;-1;0.25;8.75
+;14;45.5;Betschart Michael;;17;54.0;15;45.25;1;-0.25;9.75

12g;Weber Ivo;;;;;;;;;;55.25
+;;;Meier Marcel;;;;;;;;10.0
-;1;10.0;Waser Reto;*;11;55.5;5;8.5;4;-1.5;8.75
+;5;18.75;Bieri Marcel;**;6;56.75;6;18.5;1;-0.25;9.75
+;4;28.5;Elsener Kilian (1997);;16;54.25;5;28.25;1;-0.25;9.75
o;3;38.25;Wicki Joel (1997);**;5;57.0;7;37.25;4;-1.0;8.5
o;9;46.75;Betschart Silvan;;7;56.5;10;46.5;1;-0.25;8.5

12h;Keller Janik;;;;;;;;;;55.25
-;;;Kempf Damian;;;;;;;;8.75
+;4;8.75;Supper Frederik;;26;35.0;4;8.75;0;0.0;9.75
-;6;18.5;Kempf Elias;**;8;56.25;5;18.75;-1;0.25;8.75
o;9;27.25;Bucher Thomas;;10;55.75;8;27.5;-1;0.25;8.5
+;13;35.75;Andermatt Adrian;;17;54.0;13;35.75;0;0.0;9.75
+;14;45.5;Widmer Thomas;;17;54.0;14;45.5;0;0.0;9.75

12i;Zimmermann Armin;;;;;;;;;;55.25
+;;;Hegglin Marc;;;;;;;;9.75
o;2;9.75;Bürgler Lukas;;13;55.0;1;10.0;-1;0.25;8.5
o;7;18.25;Bircher Vital;*;14;54.75;10;17.5;3;-0.75;8.5
+;11;26.75;Staub Devin (1998);;25;35.25;11;26.75;0;0.0;10.0
o;9;36.75;Gwerder Carlo;**;7;56.5;9;36.75;0;0.0;8.75
+;14;45.5;Hurschler Michael;;14;54.75;12;46.0;-2;0.5;9.75

12j;Schelbert Roman;;;;;;;;;;55.25
+;;;Reimann Marco (1998);;;;;;;;10.0
+;1;10.0;Suter Pirmin (1997);;16;54.25;1;10.0;0;0.0;9.75
o;2;19.75;Betschart Remo;**;8;56.25;4;19.0;2;-0.75;8.5
-;5;28.25;Bircher Vital;*;14;54.75;8;27.5;3;-0.75;8.75
+;8;37.0;Dettling Thomas (1998);;18;53.75;9;36.75;1;-0.25;9.75
o;9;46.75;Blaser Theo;;4;57.25;7;47.25;-2;0.5;8.5

12k;Kälin Roland;**;;;;;;;;;55.25
o;;;Reichmuth Armin;*;;;;;;;8.5
o;5;8.5;Bienz Romeo (1997);;13;55.0;2;9.75;-3;1.25;8.75
+;11;17.25;Moos Thomas;;25;35.25;7;18.25;-4;1.0;10.0
+;9;27.25;Schindler Roland;;16;54.25;9;27.25;0;0.0;9.75
+;8;37.0;Bieri Christian;*;16;54.25;8;37.0;0;0.0;9.75
o;9;46.75;Scheuber Lutz;**;6;56.75;8;47.0;-1;0.25;8.5

12l;Betschart Ernst;;;;;;;;;;55.25
o;;;Bucher Thomas;;;;;;;;8.5
+;5;8.5;Hegglin Marc;;24;35.5;5;8.5;0;0.0;9.75
-;7;18.25;Kempf Damian;;19;53.5;10;17.5;3;-0.75;8.75
+;10;27.0;Stocker Thomas;**;24;35.5;16;25.5;6;-1.5;9.75
o;9;36.75;Bucher Roland;;13;55.0;9;36.75;0;0.0;8.75
+;14;45.5;Elsener Kilian (1997);;16;54.25;13;45.75;-1;0.25;9.75

12m;Kälin Benedikt;;;;;;;;;;55.25
o;;;Arnold Marcel;;;;;;;;8.5
-;5;8.5;Beffa Mario (1997);;22;52.75;5;8.5;0;0.0;8.75
+;11;17.25;Hegglin Marc;;24;35.5;12;17.0;1;-0.25;10.0
+;9;27.25;Waser Reto;*;11;55.5;9;27.25;0;0.0;9.75
o;8;37.0;Corvi Dominik;;9;56.0;7;37.25;-1;0.25;8.5
+;14;45.5;Elsener Manuel;;17;54.0;14;45.5;0;0.0;9.75

12n;Bürgi Tobias;;;;;;;;;;55.25
+;;;Widmer Thomas;;;;;;;;10.0
o;1;10.0;Theiler Beat;*;10;55.75;4;8.75;3;-1.25;8.5
o;6;18.5;Gloggner Philipp;***;13;55.0;10;17.5;4;-1.0;8.5
+;10;27.0;Schelbert Eugen;;24;35.5;11;26.75;1;-0.25;10.0
+;8;37.0;Grab Martin (1999);;17;54.0;8;37.0;0;0.0;9.75
o;9;46.75;Schelbert Ralf;;5;57.0;7;47.25;-2;0.5;8.5

13a;Schürpf Bruno;;;;;;;;;;55.0
+;;;Horat Ramon;;;;;;;;10.0
o;1;10.0;Gwerder Carlo;**;7;56.5;5;8.5;4;-1.5;8.5
+;6;18.5;Marty Lukas (1998);;25;35.25;7;18.25;1;-0.25;9.75
o;5;28.25;Zemp Thomas;*;15;54.5;9;27.25;4;-1.0;8.5
o;9;36.75;Reichmuth Marco (1997);;11;55.5;8;37.0;-1;0.25;8.5
+;15;45.25;Gwerder Marco;;18;53.75;15;45.25;0;0.0;9.75

13b;Heinzer Josef;;;;;;;;;;55.0
+;;;Suter Beat;;;;;;;;9.75
o;2;9.75;Mahrer Jürg;**;7;56.5;5;8.5;3;-1.25;8.5
o;7;18.25;Schelbert Michael;;23;46.5;7;18.25;0;0.0;8.5
+;11;26.75;Moos Thomas;;25;35.25;11;26.75;0;0.0;9.75
o;10;36.5;Kempf Elias;**;8;56.25;10;36.5;0;0.0;8.5
+;16;45.0;Meier Andreas;;18;53.75;15;45.25;-1;0.25;10.0

13c;Effinger Markus;*;;;;;;;;;55.0
o;;;Kennel Stefan;*;;;;;;;8.5
+;5;8.5;Ulrich Pascal (1999);;24;35.5;1;10.0;-4;1.5;9.75
-;7;18.25;Bürli Roger (1997);;11;55.5;6;18.5;-1;0.25;8.75
+;10;27.0;Keiser Martin;;24;35.5;10;27.0;0;0.0;9.75
+;9;36.75;Diethelm Albert;*;17;54.0;9;36.75;0;0.0;9.75
o;10;46.5;Betschart Rainer;**;6;56.75;8;47.0;-2;0.5;8.5

13d;Bürgler Lukas;;;;;;;;;;55.0
+;;;Zimmermann Reto (1998);;;;;;;;10.0
+;1;10.0;Zimmermann Armin;;12;55.25;2;9.75;1;-0.25;10.0
o;1;20.0;Nötzli Reto;***;7;56.5;5;18.75;4;-1.25;8.5
-;4;28.5;Schlachter Lukas;*;17;54.0;6;28.0;2;-0.5;9.0
o;6;37.5;Gwerder Dario (1997);;10;55.75;7;37.25;1;-0.25;8.75
o;11;46.25;Kennel Beat;*;8;56.25;11;46.25;0;0.0;8.75

13e;Bienz Romeo (1997);;;;;;;;;;55.0
+;;;Würsch Lars;;;;;;;;9.75
+;2;9.75;Kälin Roland;**;12;55.25;5;8.5;3;-1.25;10.0
o;2;19.75;Schuler Alex;**;5;57.0;5;18.75;3;-1.0;8.5
o;5;28.25;Betschart Silvan;;7;56.5;6;28.0;1;-0.25;8.5
o;9;36.75;Gyr Roland;;12;55.25;9;36.75;0;0.0;8.5
+;15;45.25;Walker Roger;;17;54.0;14;45.5;-1;0.25;9.75

13f;Hess Michael;*;;;;;;;;;55.0
o;;;Diethelm Albert;*;;;;;;;8.5
-;5;8.5;Streiff Dominik;;14;54.75;2;9.75;-3;1.25;9.0
+;10;17.5;Meier Andreas;;18;53.75;7;18.25;-3;0.75;10.0
+;8;27.5;Reichmuth Marco (1997);;11;55.5;4;28.5;-4;1.0;10.0
-;6;37.5;Gwerder Guido;**;11;55.5;6;37.5;0;0.0;9.0
o;10;46.5;Gwerder Andreas;;4;57.25;7;47.25;-3;0.75;8.5

13g;Bucher Roland;;;;;;;;;;55.0
+;;;Schilter Daniel;;;;;;;;9.75
-;2;9.75;Keller Markus;*;14;54.75;5;8.5;3;-1.25;8.75
+;6;18.5;Stutzer Michael (1999);;24;35.5;6;18.5;0;0.0;9.75
o;5;28.25;Gwerder Guido;**;11;55.5;8;27.5;3;-0.75;8.5
+;9;36.75;Betschart Ernst;;12;55.25;9;36.75;0;0.0;9.75
o;10;46.5;Höfliger Andreas;*;5;57.0;8;47.0;-2;0.5;8.5

13h;Ulrich Martin;;;;;;;;;;55.0
o;;;Schelbert Ralf;;;;;;;;8.5
+;5;8.5;Wattenhofer Charly (1998);;21;53.0;3;9.0;-2;0.5;10.0
o;6;18.5;Gwerder Carlo;**;7;56.5;7;18.25;1;-0.25;8.5
+;10;27.0;Gwerder Beni;;10;55.75;10;27.0;0;0.0;9.75
+;9;36.75;Schmid Köbi;;11;55.5;8;37.0;-1;0.25;9.75
o;10;46.5;Kennel Stefan;*;6;56.75;8;47.0;-2;0.5;8.5

13i;Gloggner Philipp;***;;;;;;;;;55.0
o;;;Laimbacher Philipp;***;;;;;;;8.5
-;5;8.5;Müllestein Mike;**;1;58.75;1;10.0;-4;1.5;9.0
+;10;17.5;Bürgi Tobias;;12;55.25;6;18.5;-4;1.0;10.0
+;8;27.5;Fassbind René;;10;55.75;4;28.5;-4;1.0;10.0
-;6;37.5;Kennel Stefan;*;6;56.75;3;38.25;-3;0.75;9.0
o;10;46.5;Gwerder Carlo;**;7;56.5;9;46.75;-1;0.25;8.5

14a;Zimmermann Martin;*;;;;;;;;;54.75
-;;;Stettler Philipp;*;;;;;;;8.75
-;4;8.75;Corvi Dominik;;9;56.0;1;10.0;-3;1.25;8.75
-;10;17.5;Schuler Thomas;;24;35.5;7;18.25;-3;0.75;8.75
+;13;26.25;Inderbitzin Karl;;25;35.25;11;26.75;-2;0.5;10.0
+;11;36.25;Kempf Damian;;19;53.5;11;36.25;0;0.0;9.75
-;12;46.0;Gwerder Christian;**;14;54.75;12;46.0;0;0.0;8.75

14b;Schuler Daniel;;;;;;;;;;54.75
+;;;Walker Roger;;;;;;;;9.75
o;2;9.75;Suppiger René;**;7;56.5;5;8.5;3;-1.25;8.5
-;7;18.25;Heinzer Ronny;;15;54.5;6;18.5;-1;0.25;9.0
+;9;27.25;Hurschler Michael;;14;54.75;9;27.25;0;0.0;10.0
-;7;37.25;Reichmuth Armin;*;15;54.5;9;36.75;2;-0.5;9.0
o;11;46.25;Linggi Bruno;**;7;56.5;9;46.75;-2;0.5;8.5

14c;Keller Markus;*;;;;;;;;;54.75
o;;;Ulrich Florian;*;;;;;;;8.5
-;5;8.5;Bucher Roland;;13;55.0;2;9.75;-3;1.25;8.75
+;11;17.25;Rogenmoser Ryan (1999);;25;35.25;7;18.25;-4;1.0;10.0
+;9;27.25;Müller Dominik;;16;54.25;9;27.25;0;0.0;10.0
-;7;37.25;Zemp Thomas;*;15;54.5;7;37.25;0;0.0;8.75
-;12;46.0;Herger Fabian;;16;54.25;14;45.5;2;-0.5;8.75

14d;Bruhin Fredi (1997);;;;;;;;;;54.75
+;;;Schmid Pius (1999);;;;;;;;9.75
o;2;9.75;Bürli Roger (1997);;11;55.5;4;8.75;2;-1.0;8.5
o;7;18.25;Schmid David;**;11;55.5;11;17.25;4;-1.0;8.5
+;11;26.75;Stutzer Michael (1999);;24;35.5;10;27.0;-1;0.25;9.75
o;10;36.5;Zurfluh Roman;;10;55.75;12;36.0;2;-0.5;8.5
+;16;45.0;Betschart Patrick (1999);;20;53.25;17;44.75;1;-0.25;9.75

14e;Streiff Dominik;;;;;;;;;;54.75
+;;;Bellmont Ruedi;;;;;;;;9.75
-;2;9.75;Hess Michael;*;13;55.0;5;8.5;3;-1.25;9.0
-;5;18.75;Zemp Thomas;*;15;54.5;6;18.5;1;-0.25;8.75
o;8;27.5;Küttel Samuel (1997);;15;54.5;9;27.25;1;-0.25;8.75
+;11;36.25;Suter Pirmin (1997);;16;54.25;12;36.0;1;-0.25;9.75
-;12;46.0;Elsener Marcel;;14;54.75;12;46.0;0;0.0;8.75

14f;Hurschler Michael;;;;;;;;;;54.75
-;;;Lagler Christian;;;;;;;;8.75
+;4;8.75;Brunner Timon (1998);;30;34.0;5;8.5;1;-0.25;10.0
o;5;18.75;Kenel Franz-Toni;*;10;55.75;6;18.5;1;-0.25;8.5
o;9;27.25;Schuler Daniel;;14;54.75;9;27.25;0;0.0;8.75
+;12;36.0;Wattenhofer Charly (1998);;21;53.0;12;36.0;0;0.0;10.0
o;12;46.0;Zimmermann Armin;;12;55.25;14;45.5;2;-0.5;8.75

14g;Bircher Vital;*;;;;;;;;;54.75
-;;;Kälin Remo;*;;;;;;;8.75
-;4;8.75;Fassbind René;;10;55.75;1;10.0;-3;1.25;8.75
+;10;17.5;Zimmermann Armin;;12;55.25;7;18.25;-3;0.75;10.0
-;8;27.5;Schelbert Roman;;12;55.25;5;28.25;-3;0.75;8.75
o;11;36.25;Zimmermann Daniel;*;14;54.75;12;36.0;1;-0.25;8.5
+;17;44.75;Suter Kari;;21;53.0;18;44.5;1;-0.25;10.0

14h;Elsener Marcel;;;;;;;;;;54.75
+;;;Weber Manuel (1999);;;;;;;;10.0
-;1;10.0;Arnold Marcel;;15;54.5;1;10.0;0;0.0;8.75
o;5;18.75;Heinzer Stefan;*;6;56.75;5;18.75;0;0.0;8.5
+;9;27.25;Knobel Guido;;24;35.5;10;27.0;1;-0.25;10.0
o;7;37.25;Suter David;**;6;56.75;7;37.25;0;0.0;8.75
-;12;46.0;Streiff Dominik;;14;54.75;12;46.0;0;0.0;8.75

14i;Gwerder Christian;**;;;;;;;;;54.75
-;;;Wyrsch Marco;*;;;;;;;8.75
+;4;8.75;Bucher Thomas;;10;55.75;1;10.0;-3;1.25;10.0
-;5;18.75;Scheuber Lutz;**;6;56.75;6;18.5;1;-0.25;8.75
-;8;27.5;Wetzstein Adrian;;18;53.75;8;27.5;0;0.0;8.75
+;11;36.25;Rolli Ueli;;18;53.75;9;36.75;-2;0.5;9.75
-;12;46.0;Zimmermann Martin;*;14;54.75;12;46.0;0;0.0;8.75

14j;Zimmermann Daniel;*;;;;;;;;;54.75
o;;;Bernhard Lukas;*;;;;;;;8.5
o;5;8.5;Blaser Theo;;4;57.25;2;9.75;-3;1.25;8.5
+;12;17.0;Wiget Ueli (1999);;25;35.25;7;18.25;-5;1.25;10.0
-;10;27.0;Beffa Mario (1997);;22;52.75;10;27.0;0;0.0;9.0
+;12;36.0;Bircher Vital;*;14;54.75;11;36.25;-1;0.25;10.0
o;12;46.0;Hess Dominik;;9;56.0;12;46.0;0;0.0;8.75

14k;Föhn Pirmin;*;;;;;;;;;54.75
-;;;Heinzer Stefan;*;;;;;;;8.75
-;4;8.75;Suter Paul;;9;56.0;1;10.0;-3;1.25;9.0
+;9;17.75;Betschart Fabian (1999);;22;52.75;6;18.5;-3;0.75;9.75
o;8;27.5;Schelbert Michael;;23;46.5;6;28.0;-2;0.5;8.75
+;11;36.25;Würsch Lars;;17;54.0;13;35.75;2;-0.5;10.0
o;11;46.25;Müller Bruno;***;6;56.75;9;46.75;-2;0.5;8.5

14l;Kälin Remo;*;;;;;;;;;54.75
-;;;Bircher Vital;*;;;;;;;8.75
-;4;8.75;Gwerder Andreas;;4;57.25;1;10.0;-3;1.25;9.0
+;9;17.75;Dettling Thomas (1998);;18;53.75;7;18.25;-2;0.5;9.75
-;8;27.5;Moos Christoph;;15;54.5;4;28.5;-4;1.0;8.75
+;11;36.25;Walker Roger;;17;54.0;9;36.75;-2;0.5;10.0
o;11;46.25;Suter David;**;6;56.75;8;47.0;-3;0.75;8.5

15a;Moos Christoph;;;;;;;;;;54.5
+;;;Beffa Mario (1997);;;;;;;;10.0
+;1;10.0;Betschart Fabian (1999);;22;52.75;1;10.0;0;0.0;9.75
-;2;19.75;Gwerder Guido;**;11;55.5;5;18.75;3;-1.0;8.75
-;4;28.5;Kälin Remo;*;14;54.75;8;27.5;4;-1.0;8.75
-;7;37.25;Lüönd Andreas;**;10;55.75;7;37.25;0;0.0;8.75
o;12;46.0;Suter Paul;;9;56.0;12;46.0;0;0.0;8.5

15b;Neyer Sven;;;;;;;;;;54.5
-;;;Bürli Roger (1997);;;;;;;;8.75
+;4;8.75;Ulrich Marcel;;25;35.25;5;8.5;1;-0.25;9.75
o;6;18.5;Bernhard Lukas;*;6;56.75;7;18.25;1;-0.25;8.5
-;10;27.0;Bär Leo;;24;35.5;11;26.75;1;-0.25;8.75
-;13;35.75;Wetzstein Adrian;;18;53.75;11;36.25;-2;0.5;8.75
+;18;44.5;Langenegger Simon;;21;53.0;18;44.5;0;0.0;10.0

15c;Zemp Thomas;*;;;;;;;;;54.5
-;;;Villiger Cyrill;*;;;;;;;8.75
+;4;8.75;Märchy Sepp;;11;55.5;1;10.0;-3;1.25;9.75
-;6;18.5;Streiff Dominik;;14;54.75;5;18.75;-1;0.25;8.75
+;9;27.25;Schürpf Bruno;;13;55.0;5;28.25;-4;1.0;10.0
-;7;37.25;Keller Markus;*;14;54.75;7;37.25;0;0.0;8.75
o;12;46.0;Waser Reto;*;11;55.5;13;45.75;1;-0.25;8.5

15d;Lagler Christian;;;;;;;;;;54.5
-;;;Hurschler Michael;;;;;;;;8.75
-;4;8.75;Würsch Lars;;17;54.0;5;8.5;1;-0.25;8.75
-;10;17.5;Forster Christian (1997);;27;34.75;10;17.5;0;0.0;8.75
+;13;26.25;Zweifel Frowin;;29;34.25;15;25.75;2;-0.5;10.0
+;11;36.25;Beffa Mario (1997);;22;52.75;13;35.75;2;-0.5;9.75
o;12;46.0;Odermatt Sepp;**;12;55.25;14;45.5;2;-0.5;8.5

15e;Heinzer Ronny;;;;;;;;;;54.5
+;;;Andermatt Adrian;;;;;;;;10.0
o;1;10.0;Villiger Cyrill;*;15;54.5;4;8.75;3;-1.25;8.5
-;6;18.5;Schuler Daniel;;14;54.75;7;18.25;1;-0.25;9.0
o;8;27.5;Baumann Lukas;;17;54.0;10;27.0;2;-0.5;8.75
o;11;36.25;Waser Dominik;*;10;55.75;7;37.25;-4;1.0;8.5
+;17;44.75;Dettling Thomas (1998);;18;53.75;15;45.25;-2;0.5;9.75

15f;Hurschler Adrian;;;;;;;;;;54.5
-;;;Flück Bruno;;;;;;;;8.75
+;4;8.75;Forster Christian (1997);;27;34.75;3;9.0;-1;0.25;10.0
o;5;18.75;Forster Adrian;**;5;57.0;6;18.5;1;-0.25;8.5
o;9;27.25;Arnold Marcel;;15;54.5;8;27.5;-1;0.25;8.5
-;13;35.75;Effinger Peter;;15;54.5;12;36.0;-1;0.25;8.75
+;18;44.5;Wattenhofer Charly (1998);;21;53.0;18;44.5;0;0.0;10.0

15g;Kessler Joel (1997);;;;;;;;;;54.5
o;;;Reichmuth Marco (1997);;;;;;;;8.5
-;5;8.5;Andermatt Adrian;;17;54.0;5;8.5;0;0.0;8.75
-;11;17.25;Betschart Patrick (1999);;20;53.25;10;17.5;-1;0.25;9.0
+;13;26.25;Schmid Pius (1999);;29;34.25;15;25.75;2;-0.5;10.0
+;11;36.25;Ulrich Marco (1997);;12;55.25;9;36.75;-2;0.5;9.75
o;12;46.0;Schmid David;**;11;55.5;13;45.75;1;-0.25;8.5

15h;Schindler Thomas;;;;;;;;;;54.5
+;;;Föhn Michael (1999);;;;;;;;9.75
-;2;9.75;Kempf Damian;;19;53.5;4;8.75;2;-1.0;8.75
o;6;18.5;Betschart Rainer;**;6;56.75;7;18.25;1;-0.25;8.5
-;10;27.0;Hess Dominik;;9;56.0;9;27.25;-1;0.25;9.0
+;12;36.0;Betschart Fabian (1999);;22;52.75;13;35.75;1;-0.25;10.0
o;12;46.0;Wyrsch Marco;*;9;56.0;12;46.0;0;0.0;8.5

15i;Villiger Cyrill;*;;;;;;;;;54.5
-;;;Zemp Thomas;*;;;;;;;8.75
+;4;8.75;Heinzer Ronny;;15;54.5;1;10.0;-3;1.25;9.75
o;6;18.5;Widmer Thomas;;17;54.0;6;18.5;0;0.0;8.5
+;10;27.0;Zurfluh Roman;;10;55.75;8;27.5;-2;0.5;10.0
-;8;37.0;Wyrsch Marco;*;9;56.0;7;37.25;-1;0.25;8.75
-;13;45.75;Bieri Christian;*;16;54.25;14;45.5;1;-0.25;8.75

15j;Küttel Samuel (1997);;;;;;;;;;54.5
+;;;Ulrich Damian (1999);;;;;;;;10.0
o;1;10.0;Waser Dominik;*;10;55.75;4;8.75;3;-1.25;8.5
-;6;18.5;Hess Dominik;;9;56.0;6;18.5;0;0.0;8.75
+;9;27.25;Streiff Dominik;;14;54.75;8;27.5;-1;0.25;10.0
o;7;37.25;Gwerder Andreas;;4;57.25;6;37.5;-1;0.25;8.5
-;13;45.75;Reichmuth Armin;*;15;54.5;13;45.75;0;0.0;8.75

15k;Reichmuth Armin;*;;;;;;;;;54.5
+;;;Kälin Roland;**;;;;;;;9.75
o;2;9.75;Schuler Christian;***;9;56.0;1;10.0;-1;0.25;8.5
