3727-2017-06-04_Fete_Cantonale_Fribourgeoise-ST

1a;Aeschbacher Matthias;**;;;;;;;;;59.25
o;7;46.5;Schenk Patrick;***;4;56.75;6;46.75;-1;0.25;8.5

11b;Maridor Loïc;;;;;;;;;;55.0
o;;;Crausaz Simon;;;;;;;;8.5
o;5;8.5;Kyburz Silas;;9;55.5;5;8.5;0;0.0;8.5
+;9;17.0;Roth Simon (2000);;20;52.5;9;17.0;0;0.0;9.75
+;10;26.75;Pittet Guillaume;;16;53.75;9;27.0;-1;0.25;10.0
o;9;36.75;Emonet Fabien;**;13;54.5;12;36.0;3;-0.75;8.5
+;12;45.25;Gauch Thierry;;16;53.75;12;45.25;0;0.0;9.75

11c;Golliard Steve;;;;;;;;;;55.0
o;;;Colò Kilian (1999);;;;;;;;8.5
+;5;8.5;Pürro David (2001);;17;53.5;5;8.5;0;0.0;9.75
+;7;18.25;Charrière Simon (2000);;20;52.5;6;18.5;-1;0.25;9.75
o;6;28.0;Ducry Antoine;*;10;55.25;5;28.25;-1;0.25;8.5
o;10;36.5;Ledermann Michael (2000);;11;55.0;10;36.5;0;0.0;8.5
+;13;45.0;Zarai Mouadh;;16;53.75;12;45.25;-1;0.25;10.0

11d;Portmann Fabio;;;;;;;;;;55.0
+;;;Grossenbacher Marc (2000);;;;;;;;9.75
+;2;9.75;Berset Cyril;*;18;53.0;5;8.5;3;-1.25;9.75
o;3;19.5;Cardinaux Victor;**;9;55.5;5;18.75;2;-0.75;8.5
o;6;28.0;Steiner Pirmin;;7;56.0;6;28.0;0;0.0;8.75
+;9;36.75;Vaucher Rémy (1999);;16;53.75;9;36.75;0;0.0;9.75
o;7;46.5;Mosimann Vincent;*;9;55.5;10;45.75;3;-0.75;8.5

11e;Kramer Dorian (1999);;;;;;;;;;55.0
+;;;Loup Grégoire (2000);;;;;;;;9.75
o;2;9.75;Brodard Simon;**;7;56.0;4;8.75;2;-1.0;8.5
+;7;18.25;Pellet Adrian;;16;53.75;6;18.5;-1;0.25;9.75
+;6;28.0;Von Niederhäusern Martin;;14;54.25;5;28.25;-1;0.25;10.0
o;4;38.0;Haenni Stéphane;**;7;56.0;6;37.5;2;-0.5;8.5
o;7;46.5;Barras André;*;9;55.5;10;45.75;3;-0.75;8.5

11f;Ledermann Michael (2000);;;;;;;;;;55.0
+;;;Cotting Alexandre;;;;;;;;9.75
o;2;9.75;Glauser Thomas;**;3;57.0;5;8.5;3;-1.25;8.5
+;7;18.25;Vonlanthen Alexandre;;10;55.25;6;18.5;-1;0.25;9.75
o;6;28.0;Crausaz Simon;;10;55.25;5;28.25;-1;0.25;8.5
+;10;36.5;Golliard Steve;;11;55.0;10;36.5;0;0.0;10.0
o;7;46.5;Matthey Mickaël;**;3;57.0;5;47.0;-2;0.5;8.5

12a;Dubey Gaël;;;;;;;;;;54.75
o;;;Gottofrey Luc;;;;;;;;8.5
+;5;8.5;Baume Oscar;;25;27.0;5;8.5;0;0.0;10.0
-;6;18.5;Roth Robin (2000);*;12;54.75;8;17.25;2;-1.25;9.0
-;7;27.5;Gross Florian;*;9;55.5;9;27.0;2;-0.5;8.75
-;11;36.25;Chofflon Anthony;;14;54.25;9;36.75;-2;0.5;8.75
+;13;45.0;Vaucher Rémy (1999);;16;53.75;12;45.25;-1;0.25;9.75

12b;Dind Clément;;;;;;;;;;54.75
+;;;Chofflon Anthony;;;;;;;;9.75
o;2;9.75;Borcard Johann;**;8;55.75;3;9.0;1;-0.75;8.5
+;7;18.25;Cottier Marco (2000);;10;55.25;6;18.5;-1;0.25;9.75
o;6;28.0;Barras André;*;9;55.5;7;27.5;1;-0.5;8.5
o;10;36.5;Riedo Fredy;;2;57.25;7;37.25;-3;0.75;8.5
+;13;45.0;Pürro Tobias;;16;53.75;13;45.0;0;0.0;9.75

12c;Roth Robin (2000);*;;;;;;;;;54.75
o;;;Kramer Lario;**;;;;;;;8.5
-;5;8.5;Gassmann Simon;*;8;55.75;2;9.75;-3;1.25;8.75
-;8;17.25;Dubey Gaël;;12;54.75;6;18.5;-2;1.25;9.0
o;11;26.25;Derron Julien;;7;56.0;8;27.25;-3;1.0;8.5
+;16;34.75;Roth Simon (2000);;20;52.5;14;35.5;-2;0.75;10.0
+;14;44.75;Monney Branighan;;16;53.75;12;45.25;-2;0.5;10.0

13a;Colò Kilian (1999);;;;;;;;;;54.5
+;;;Golliard Steve;;;;;;;;10.0
o;1;10.0;Brasey Cédric;**;24;28.0;5;8.5;4;-1.5;8.75
+;5;18.75;Giroud Jonathan;**;4;56.75;6;18.5;1;-0.25;10.0
o;3;28.75;Roch Vincent;**;9;55.5;7;27.5;4;-1.25;8.5
o;7;37.25;Hofer Sven;;4;56.75;8;37.0;1;-0.25;8.5
-;10;45.75;Wieland Micha;;13;54.5;10;45.75;0;0.0;8.75

13b;Emonet Fabien;**;;;;;;;;;54.5
o;;;Giroud Jonathan;**;;;;;;;8.5
o;5;8.5;Gottofrey Luc;;4;56.75;1;10.0;-4;1.5;8.5
+;9;17.0;Torche Bastian;;10;55.25;6;18.5;-3;1.5;10.0
-;9;27.0;Schöpfer Dio;**;14;54.25;9;27.0;0;0.0;9.0
+;12;36.0;Maridor Loïc;;11;55.0;9;36.75;-3;0.75;10.0
o;9;46.0;Bersier Jean-Jacques;*;6;56.25;8;46.25;-1;0.25;8.5

13c;Wieland Micha;;;;;;;;;;54.5
+;;;Pittet Guillaume;;;;;;;;9.75
o;2;9.75;Schafer Damien;*;15;54.0;5;8.5;3;-1.25;8.5
o;7;18.25;Von Niederhäusern Martin;;14;54.25;6;18.5;-1;0.25;8.75
-;9;27.0;Taillard Virgile;;14;54.25;9;27.0;0;0.0;8.75
+;13;35.75;Quiot Didier;;15;54.0;14;35.5;1;-0.25;10.0
-;10;45.75;Colò Kilian (1999);;13;54.5;10;45.75;0;0.0;8.75

14a;Liardon Kevin;;;;;;;;;;54.25
+;;;Quiot Didier;;;;;;;;10.0
o;1;10.0;Rapin Florent;;14;54.25;4;8.75;3;-1.25;8.5
o;6;18.5;Ducrest Etienne;*;16;53.75;7;18.25;1;-0.25;8.5
+;9;27.0;Pellet Adrian;;16;53.75;9;27.0;0;0.0;10.0
-;8;37.0;Loup Alexandre;*;14;54.25;13;35.75;5;-1.25;8.75
o;10;45.75;Kyburz Silas;;9;55.5;11;45.5;1;-0.25;8.5

14b;Loup Alexandre;*;;;;;;;;;54.25
-;;;Gross Florian;*;;;;;;;8.75
+;4;8.75;Vonlanthen Alexandre;;10;55.25;1;10.0;-3;1.25;10.0
o;5;18.75;Piemontesi Pascal;**;3;57.0;6;18.5;1;-0.25;8.5
o;8;27.25;Berset Julien;*;7;56.0;7;27.5;-1;0.25;8.5
-;13;35.75;Liardon Kevin;;14;54.25;8;37.0;-5;1.25;8.75
+;15;44.5;Cotting Florian;;15;54.0;11;45.5;-4;1.0;9.75

14c;Loup Grégoire (2000);;;;;;;;;;54.25
o;;;Kramer Dorian (1999);;;;;;;;8.5
+;5;8.5;Turrian Mathias;;15;54.0;1;10.0;-4;1.5;10.0
+;6;18.5;Gauch Thierry;;16;53.75;6;18.5;0;0.0;10.0
o;4;28.5;Glauser Thomas;**;3;57.0;8;27.25;4;-1.25;8.5
o;8;37.0;Emonet Frédéric;*;5;56.5;9;36.75;1;-0.25;8.5
-;11;45.5;Buchs Julien (1999);;14;54.25;11;45.5;0;0.0;8.75

14d;Rapin Florent;;;;;;;;;;54.25
-;;;Schwab Marc;;;;;;;;8.75
+;4;8.75;Liardon Kevin;;14;54.25;1;10.0;-3;1.25;10.0
+;5;18.75;Lerch Jimmy;*;6;56.25;7;18.25;2;-0.5;10.0
o;3;28.75;Matthey Mickaël;**;3;57.0;4;28.5;1;-0.25;8.5
o;7;37.25;Buchs Carlo;;10;55.25;9;36.75;2;-0.5;8.5
o;10;45.75;Derron Julien;;7;56.0;9;46.0;-1;0.25;8.5

14e;Chofflon Anthony;;;;;;;;;;54.25
o;;;Dind Clément;;;;;;;;8.5
+;5;8.5;Heiniger Mickaël;;17;53.5;5;8.5;0;0.0;9.75
o;7;18.25;Hayoz Quentin;;6;56.25;7;18.25;0;0.0;8.5
+;10;26.75;Hochuli Samuel;;15;54.0;10;26.75;0;0.0;10.0
-;9;36.75;Dubey Gaël;;12;54.75;11;36.25;2;-0.5;8.75
o;11;45.5;Schöpfer Dio;**;14;54.25;15;44.5;4;-1.0;8.75

14f;Taillard Virgile;;;;;;;;;;54.25
+;;;Burri Gottfried (2001);;;;;;;;10.0
o;1;10.0;Brodard Augustin;**;8;55.75;5;8.5;4;-1.5;8.5
o;6;18.5;Wieland Janis;;10;55.25;6;18.5;0;0.0;8.5
-;9;27.0;Wieland Micha;;13;54.5;9;27.0;0;0.0;8.75
+;13;35.75;Fuchs Yannick;;14;54.25;13;35.75;0;0.0;10.0
o;10;45.75;Minder Florian;;7;56.0;9;46.0;-1;0.25;8.5

14g;Schöpfer Dio;**;;;;;;;;;54.25
o;;;Bersier Jean-Jacques;*;;;;;;;8.5
o;5;8.5;Buchs Carlo;;10;55.25;2;9.75;-3;1.25;8.5
+;9;17.0;Bel Yannick (2001);;21;52.25;7;18.25;-2;1.25;10.0
-;9;27.0;Emonet Fabien;**;13;54.5;9;27.0;0;0.0;9.0
o;12;36.0;Gross Florian;*;9;55.5;13;35.75;1;-0.25;8.5
+;15;44.5;Chofflon Anthony;;14;54.25;11;45.5;-4;1.0;9.75

14h;Von Niederhäusern Martin;;;;;;;;;;54.25
+;;;Cottier Marco (2000);;;;;;;;10.0
o;1;10.0;Barras François;*;11;55.0;4;8.75;3;-1.25;8.5
+;6;18.5;Wieland Micha;;13;54.5;7;18.25;1;-0.25;9.75
o;5;28.25;Kramer Dorian (1999);;11;55.0;6;28.0;1;-0.25;8.5
o;9;36.75;Berset Julien;*;7;56.0;6;37.5;-3;0.75;8.5
-;12;45.25;Curty Alexandre;;16;53.75;13;45.0;1;-0.25;9.0

14i;Fuchs Yannick;;;;;;;;;;54.25
-;;;Beliakov Alexandre;;;;;;;;8.75
o;4;8.75;Pittet Guillaume;;16;53.75;5;8.5;1;-0.25;8.5
+;8;17.25;Buchs Remo (1999);;20;52.5;9;17.0;1;-0.25;10.0
o;8;27.25;Schafer Damien;*;15;54.0;9;27.0;1;-0.25;8.5
o;13;35.75;Taillard Virgile;;14;54.25;13;35.75;0;0.0;8.5
+;16;44.25;Charrière Simon (2000);;20;52.5;17;44.0;1;-0.25;10.0

14j;Buchs Julien (1999);;;;;;;;;;54.25
-;;;Cotting Florian;;;;;;;;8.75
o;4;8.75;Beliakov Alexandre;;9;55.5;4;8.75;0;0.0;8.5
+;8;17.25;Blanchette Nicolas;;22;51.25;9;17.0;1;-0.25;9.75
+;9;27.0;Quiot Didier;;15;54.0;9;27.0;0;0.0;10.0
o;8;37.0;Bersier Jean-Jacques;*;6;56.25;10;36.5;2;-0.5;8.5
-;11;45.5;Loup Grégoire (2000);;14;54.25;11;45.5;0;0.0;8.75

15a;Hochuli Samuel;;;;;;;;;;54.0
o;;;Gauch Thierry;;;;;;;;8.5
o;5;8.5;Grossenbacher Marc (2000);;10;55.25;5;8.5;0;0.0;8.5
+;9;17.0;Monney Branighan;;16;53.75;9;17.0;0;0.0;9.75
o;10;26.75;Chofflon Anthony;;14;54.25;10;26.75;0;0.0;8.5
o;15;35.25;Pürro David (2001);;17;53.5;15;35.25;0;0.0;8.75
+;17;44.0;Bel Yannick (2001);;21;52.25;18;43.75;1;-0.25;10.0

15b;Turrian Mathias;;;;;;;;;;54.0
+;;;Baume Oscar;;;;;;;;10.0
o;1;10.0;Loup Grégoire (2000);;14;54.25;5;8.5;4;-1.5;8.5
o;6;18.5;Aladenise Jonathan;;10;55.25;7;18.25;1;-0.25;8.5
o;9;27.0;Gauch Thierry;;16;53.75;9;27.0;0;0.0;8.5
+;14;35.5;Kern Kilian (2001);;21;52.25;15;35.25;1;-0.25;10.0
o;11;45.5;Cottier Marco (2000);;10;55.25;11;45.5;0;0.0;8.5

15c;Cotting Florian;;;;;;;;;;54.0
-;;;Buchs Julien (1999);;;;;;;;8.75
+;4;8.75;Tchedre Abdourahaman;;16;53.75;5;8.5;1;-0.25;9.75
o;6;18.5;Gross Florian;*;9;55.5;8;17.25;2;-1.25;8.5
+;9;27.0;Torche Bastian;;10;55.25;9;27.0;0;0.0;10.0
o;8;37.0;Lerch Jimmy;*;6;56.25;10;36.5;2;-0.5;8.5
o;11;45.5;Loup Alexandre;*;14;54.25;15;44.5;4;-1.0;8.5

15d;Schafer Damien;*;;;;;;;;;54.0
o;;;Dousse Michel;**;;;;;;;8.5
+;5;8.5;Wieland Micha;;13;54.5;2;9.75;-3;1.25;10.0
o;6;18.5;Haenni Stéphane;**;7;56.0;5;18.75;-1;0.25;8.5
+;9;27.0;Fuchs Yannick;;14;54.25;8;27.25;-1;0.25;10.0
o;8;37.0;Glauser Thomas;**;3;57.0;7;37.25;-1;0.25;8.5
o;11;45.5;Hayoz Quentin;;6;56.25;8;46.25;-3;0.75;8.5

15e;Quiot Didier;;;;;;;;;;54.0
o;;;Liardon Kevin;;;;;;;;8.5
+;5;8.5;Goy Sébastien;;17;53.5;5;8.5;0;0.0;10.0
o;6;18.5;Mosimann Vincent;*;9;55.5;7;18.25;1;-0.25;8.5
o;9;27.0;Buchs Julien (1999);;14;54.25;9;27.0;0;0.0;8.5
o;14;35.5;Wieland Micha;;13;54.5;13;35.75;-1;0.25;8.5
+;17;44.0;Roth Simon (2000);;20;52.5;17;44.0;0;0.0;10.0

16a;Monney Branighan;;;;;;;;;;53.75
o;;;Wieland Janis;;;;;;;;8.5
o;5;8.5;Hayoz Quentin;;6;56.25;5;8.5;0;0.0;8.5
o;9;17.0;Hochuli Samuel;;15;54.0;9;17.0;0;0.0;8.5
+;13;25.5;Blanchette Nicolas;;22;51.25;13;25.5;0;0.0;9.75
+;15;35.25;Gétaz Antoine (1999);;23;51.0;18;34.0;3;-1.25;10.0
o;12;45.25;Roth Robin (2000);*;12;54.75;14;44.75;2;-0.5;8.5

16b;Defferrard Baptiste (2000);;;;;;;;;;53.75
o;;;Pellet Adrian;;;;;;;;8.5
o;5;8.5;Schwab Marc;;16;53.75;4;8.75;-1;0.25;8.5
+;9;17.0;Gétaz Antoine (1999);;23;51.0;9;17.0;0;0.0;10.0
o;9;27.0;Pürro Tobias;;16;53.75;10;26.75;1;-0.25;8.5
o;14;35.5;Schwab Marc;;16;53.75;14;35.5;0;0.0;8.5
+;17;44.0;Ganière William;;19;52.75;17;44.0;0;0.0;9.75

16c;Vaucher Rémy (1999);;;;;;;;;;53.75
+;;;Buchs Remo (1999);;;;;;;;9.75
o;2;9.75;Ducrest Etienne;*;16;53.75;5;8.5;3;-1.25;8.5
+;7;18.25;Pürro Tobias;;16;53.75;7;18.25;0;0.0;10.0
o;5;28.25;Giroud Jonathan;**;4;56.75;9;27.0;4;-1.25;8.5
o;9;36.75;Portmann Fabio;;11;55.0;9;36.75;0;0.0;8.5
o;12;45.25;Dubey Gaël;;12;54.75;13;45.0;1;-0.25;8.5

16d;Schwab Marc;;;;;;;;;;53.75
-;;;Rapin Florent;;;;;;;;8.75
+;4;8.75;Defferrard Baptiste (2000);;16;53.75;5;8.5;1;-0.25;9.75
o;6;18.5;Derron Cédric;*;7;56.0;5;18.75;-1;0.25;8.5
o;9;27.0;Barras François;*;11;55.0;9;27.0;0;0.0;8.5
+;14;35.5;Defferrard Baptiste (2000);;16;53.75;14;35.5;0;0.0;9.75
o;12;45.25;Beliakov Alexandre;;9;55.5;11;45.5;-1;0.25;8.5

16e;Gauch Thierry;;;;;;;;;;53.75
+;;;Hochuli Samuel;;;;;;;;10.0
o;1;10.0;Barras André;*;9;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Loup Grégoire (2000);;14;54.25;6;18.5;0;0.0;8.5
+;9;27.0;Turrian Mathias;;15;54.0;9;27.0;0;0.0;9.75
o;9;36.75;Crettaz Olivier;;10;55.25;9;36.75;0;0.0;8.5
o;12;45.25;Maridor Loïc;;11;55.0;12;45.25;0;0.0;8.5

16f;Pürro Tobias;;;;;;;;;;53.75
+;;;Zarai Mouadh;;;;;;;;9.75
o;2;9.75;Zimmermann Mario;*;5;56.5;4;8.75;2;-1.0;8.5
o;7;18.25;Vaucher Rémy (1999);;16;53.75;7;18.25;0;0.0;8.5
+;10;26.75;Defferrard Baptiste (2000);;16;53.75;9;27.0;-1;0.25;9.75
o;10;36.5;Brodard Simon;**;7;56.0;12;36.0;2;-0.5;8.5
o;13;45.0;Dind Clément;;12;54.75;13;45.0;0;0.0;8.75

16g;Curty Alexandre;;;;;;;;;;53.75
+;;;Roth Simon (2000);;;;;;;;9.75
+;2;9.75;Ganière William;;19;52.75;2;9.75;0;0.0;9.75
o;3;19.5;Gottofrey Marc;**;6;56.25;6;18.5;3;-1.0;8.5
o;6;28.0;Zimmermann Mario;*;5;56.5;8;27.25;2;-0.75;8.5
o;10;36.5;Grossenbacher Marc (2000);;10;55.25;9;36.75;-1;0.25;8.5
-;13;45.0;Von Niederhäusern Martin;;14;54.25;12;45.25;-1;0.25;8.75

16h;Zarai Mouadh;;;;;;;;;;53.75
o;;;Pürro Tobias;;;;;;;;8.5
+;5;8.5;Buchs Remo (1999);;20;52.5;5;8.5;0;0.0;9.75
-;7;18.25;Pittet Guillaume;;16;53.75;7;18.25;0;0.0;8.75
+;9;27.0;Kern Kilian (2001);;21;52.25;10;26.75;1;-0.25;9.75
o;9;36.75;Lützelschwab Luc (1999);;10;55.25;9;36.75;0;0.0;8.5
o;12;45.25;Golliard Steve;;11;55.0;13;45.0;1;-0.25;8.5

16i;Tchedre Abdourahaman;;;;;;;;;;53.75
o;;;Cottier Marco (2000);;;;;;;;8.5
o;5;8.5;Cotting Florian;;15;54.0;4;8.75;-1;0.25;8.5
+;9;17.0;Gétaz Antoine (1999);;23;51.0;9;17.0;0;0.0;10.0
+;9;27.0;Charrière Simon (2000);;20;52.5;9;27.0;0;0.0;9.75
o;9;36.75;Gross Florian;*;9;55.5;13;35.75;4;-1.0;8.5
o;12;45.25;Vonlanthen Alexandre;;10;55.25;12;45.25;0;0.0;8.5

16j;Pellet Adrian;;;;;;;;;;53.75
+;;;Defferrard Baptiste (2000);;;;;;;;10.0
o;1;10.0;Lerch Jimmy;*;6;56.25;5;8.5;4;-1.5;8.5
o;6;18.5;Kramer Dorian (1999);;11;55.0;7;18.25;1;-0.25;8.5
o;9;27.0;Liardon Kevin;;14;54.25;9;27.0;0;0.0;8.5
+;14;35.5;Ganière William;;19;52.75;14;35.5;0;0.0;9.75
o;12;45.25;Zingrich Jan (1999);;10;55.25;12;45.25;0;0.0;8.5

16k;Pittet Guillaume;;;;;;;;;;53.75
o;;;Wieland Micha;;;;;;;;8.5
+;5;8.5;Fuchs Yannick;;14;54.25;4;8.75;-1;0.25;9.75
-;7;18.25;Zarai Mouadh;;16;53.75;7;18.25;0;0.0;8.75
o;9;27.0;Maridor Loïc;;11;55.0;10;26.75;1;-0.25;8.5
o;14;35.5;Zingrich Jan (1999);;10;55.25;14;35.5;0;0.0;8.5
+;17;44.0;Buchs Remo (1999);;20;52.5;17;44.0;0;0.0;9.75

16l;Ducrest Etienne;*;;;;;;;;;53.75
o;;;Ducry Antoine;*;;;;;;;8.5
+;5;8.5;Vaucher Rémy (1999);;16;53.75;2;9.75;-3;1.25;9.75
+;7;18.25;Liardon Kevin;;14;54.25;6;18.5;-1;0.25;10.0
o;5;28.25;Dousse Michel;**;3;57.0;4;28.5;-1;0.25;8.5
o;9;36.75;Brodard Augustin;**;8;55.75;8;37.0;-1;0.25;8.5
o;12;45.25;Steiner Pirmin;;7;56.0;8;46.25;-4;1.0;8.5

17a;Goy Sébastien;;;;;;;;;;53.5
o;;;Riedo Fredy;;;;;;;;8.5
o;5;8.5;Quiot Didier;;15;54.0;5;8.5;0;0.0;8.5
o;9;17.0;Baume Oscar;;25;27.0;9;17.0;0;0.0;8.5
o;13;25.5;Roth Simon (2000);;20;52.5;13;25.5;0;0.0;8.5
+;18;34.0;Bel Yannick (2001);;21;52.25;15;35.25;-3;1.25;9.75
+;18;43.75;Kern Kilian (2001);;21;52.25;18;43.75;0;0.0;9.75

17b;Heiniger Mickaël;;;;;;;;;;53.5
o;;;Hofer Sven;;;;;;;;8.5
o;5;8.5;Chofflon Anthony;;14;54.25;5;8.5;0;0.0;8.5
+;9;17.0;Vaucher Rémy (2000);;20;52.5;9;17.0;0;0.0;9.75
o;10;26.75;Kyburz Silas;;9;55.5;10;26.75;0;0.0;8.5
+;15;35.25;Blanchette Nicolas;;22;51.25;18;34.0;3;-1.25;9.75
o;13;45.0;Berset Cyril;*;18;53.0;19;43.0;6;-2.0;8.5

17c;Pürro David (2001);;;;;;;;;;53.5
o;;;Zingrich Jan (1999);;;;;;;;8.5
o;5;8.5;Golliard Steve;;11;55.0;5;8.5;0;0.0;8.5
o;9;17.0;Derron Julien;;7;56.0;8;17.25;-1;0.25;8.5
+;13;25.5;Bel Yannick (2001);;21;52.25;10;26.75;-3;1.25;9.75
+;15;35.25;Hochuli Samuel;;15;54.0;15;35.25;0;0.0;9.75
o;13;45.0;Torche Bastian;;10;55.25;11;45.5;-2;0.5;8.5

18a;Berset Cyril;*;;;;;;;;;53.0
o;;;Berset Julien;*;;;;;;;8.5
o;5;8.5;Portmann Fabio;;11;55.0;2;9.75;-3;1.25;8.75
-;8;17.25;Minder Florian;;7;56.0;5;18.75;-3;1.5;8.75
o;12;26.0;Lerch Jimmy;*;6;56.25;10;26.75;-2;0.75;8.5
o;17;34.5;Aladenise Jonathan;;10;55.25;9;36.75;-8;2.25;8.5
+;19;43.0;Heiniger Mickaël;;17;53.5;13;45.0;-6;2.0;10.0

19a;Ganière William;;;;;;;;;;52.75
+;;;Kern Kilian (2001);;;;;;;;9.75
o;2;9.75;Curty Alexandre;;16;53.75;2;9.75;0;0.0;8.75
o;6;18.5;Crausaz Simon;;10;55.25;6;18.5;0;0.0;8.5
o;9;27.0;Lützelschwab Luc (1999);;10;55.25;9;27.0;0;0.0;8.5
o;14;35.5;Pellet Adrian;;16;53.75;14;35.5;0;0.0;8.5
o;17;44.0;Defferrard Baptiste (2000);;16;53.75;17;44.0;0;0.0;8.75

20a;Charrière Simon (2000);;;;;;;;;;52.5
o;;;Lützelschwab Luc (1999);;;;;;;;8.5
+;5;8.5;Vaucher Rémy (2000);;20;52.5;5;8.5;0;0.0;10.0
o;6;18.5;Golliard Steve;;11;55.0;7;18.25;1;-0.25;8.5
o;9;27.0;Tchedre Abdourahaman;;16;53.75;9;27.0;0;0.0;8.5
o;14;35.5;Vonlanthen Alexandre;;10;55.25;14;35.5;0;0.0;8.5
o;17;44.0;Fuchs Yannick;;14;54.25;16;44.25;-1;0.25;8.5

20b;Roth Simon (2000);;;;;;;;;;52.5
o;;;Curty Alexandre;;;;;;;;8.5
o;5;8.5;Torche Bastian;;10;55.25;5;8.5;0;0.0;8.5
o;9;17.0;Maridor Loïc;;11;55.0;9;17.0;0;0.0;8.5
+;13;25.5;Goy Sébastien;;17;53.5;13;25.5;0;0.0;10.0
o;14;35.5;Roth Robin (2000);*;12;54.75;16;34.75;2;-0.75;8.5
o;17;44.0;Quiot Didier;;15;54.0;17;44.0;0;0.0;8.5

20c;Buchs Remo (1999);;;;;;;;;;52.5
o;;;Vaucher Rémy (1999);;;;;;;;8.5
o;5;8.5;Zarai Mouadh;;16;53.75;5;8.5;0;0.0;8.5
o;9;17.0;Fuchs Yannick;;14;54.25;8;17.25;-1;0.25;8.5
+;13;25.5;Vaucher Rémy (2000);;20;52.5;13;25.5;0;0.0;10.0
o;14;35.5;Torche Bastian;;10;55.25;14;35.5;0;0.0;8.5
o;17;44.0;Pittet Guillaume;;16;53.75;17;44.0;0;0.0;8.5

20d;Vaucher Rémy (2000);;;;;;;;;;52.5
o;;;Steiner Pirmin;;;;;;;;8.5
o;5;8.5;Charrière Simon (2000);;20;52.5;5;8.5;0;0.0;8.5
o;9;17.0;Heiniger Mickaël;;17;53.5;9;17.0;0;0.0;8.5
o;13;25.5;Buchs Remo (1999);;20;52.5;13;25.5;0;0.0;8.5
o;18;34.0;Cottier Marco (2000);;10;55.25;14;35.5;-4;1.5;8.5
-;20;42.5;Blanchette Nicolas;;22;51.25;20;42.5;0;0.0;0.0
+;24;42.5;Gétaz Antoine (1999);;23;51.0;23;51.0;-1;8.5;10.0

21a;Bel Yannick (2001);;;;;;;;;;52.25
+;;;Gétaz Antoine (1999);;;;;;;;9.75
o;2;9.75;Grossenbacher Marc (2000);;10;55.25;5;8.5;3;-1.25;8.5
o;7;18.25;Schöpfer Dio;**;14;54.25;9;17.0;2;-1.25;8.5
o;10;26.75;Pürro David (2001);;17;53.5;13;25.5;3;-1.25;8.5
o;15;35.25;Goy Sébastien;;17;53.5;18;34.0;3;-1.25;8.5
o;18;43.75;Hochuli Samuel;;15;54.0;17;44.0;-1;0.25;8.5

21b;Kern Kilian (2001);;;;;;;;;;52.25
o;;;Ganière William;;;;;;;;8.5
+;5;8.5;Gétaz Antoine (1999);;23;51.0;5;8.5;0;0.0;9.75
o;7;18.25;Beliakov Alexandre;;9;55.5;6;18.5;-1;0.25;8.5
o;10;26.75;Zarai Mouadh;;16;53.75;9;27.0;-1;0.25;8.5
o;15;35.25;Turrian Mathias;;15;54.0;14;35.5;-1;0.25;8.5
o;18;43.75;Goy Sébastien;;17;53.5;18;43.75;0;0.0;8.5

22a;Blanchette Nicolas;;;;;;;;;;51.25
o;;;Aladenise Jonathan;;;;;;;;8.5
o;5;8.5;Cotting Alexandre;;9;55.5;4;8.75;-1;0.25;8.5
o;9;17.0;Buchs Julien (1999);;14;54.25;8;17.25;-1;0.25;8.5
o;13;25.5;Monney Branighan;;16;53.75;13;25.5;0;0.0;8.5
o;18;34.0;Heiniger Mickaël;;17;53.5;15;35.25;-3;1.25;8.5
-;20;42.5;Vaucher Rémy (2000);;20;52.5;20;42.5;0;0.0;8.75

23a;Gétaz Antoine (1999);;;;;;;;;;51.0
o;;;Bel Yannick (2001);;;;;;;;8.5
o;5;8.5;Kern Kilian (2001);;21;52.25;5;8.5;0;0.0;8.5
o;9;17.0;Defferrard Baptiste (2000);;16;53.75;9;17.0;0;0.0;8.5
o;13;25.5;Tchedre Abdourahaman;;16;53.75;9;27.0;-4;1.5;8.5
o;18;34.0;Monney Branighan;;16;53.75;15;35.25;-3;1.25;8.5
o;20;42.5;Vaucher Rémy (2000);;20;52.5;20;42.5;0;0.0;8.5

24a;Brasey Cédric;**;;;;;;;;;28.0
o;;;Matthey Mickaël;**;;;;;;;8.5
+;5;8.5;Colò Kilian (1999);;13;54.5;1;10.0;-4;1.5;9.75
+;7;18.25;Kyburz Silas;;9;55.5;7;18.25;0;0.0;9.75

25a;Baume Oscar;;;;;;;;;;27.0
o;;;Turrian Mathias;;;;;;;;8.5
o;5;8.5;Dubey Gaël;;12;54.75;5;8.5;0;0.0;8.5
+;9;17.0;Goy Sébastien;;17;53.5;9;17.0;0;0.0;10.0

26a;Burri Gottfried (2001);;;;;;;;;;8.5
o;;;Taillard Virgile;;;;;;;;8.5

