3727-2017-06-04_Fete_Cantonale_Fribourgeoise-ST

1a;Aeschbacher Matthias;**;;;;;;;;;59.25
+;;;Emonet Fabien;**;;;;;;;10.0
o;1;10.0;Guisolan Marc;**;4;56.75;1;10.0;0;0.0;8.5
o;6;18.5;Colò Kilian (1999);;13;54.5;5;18.75;-1;0.25;8.5
+;9;27.0;Vaucher Rémy (1999);;16;53.75;5;28.25;-4;1.25;9.75
+;9;36.75;Borcard Johann;**;8;55.75;7;37.25;-2;0.5;10.0
+;6;46.75;Lützelschwab Luc (1999);;10;55.25;6;46.75;0;0.0;10.0

4e;Schenk Patrick;***;;;;;;;;;56.75
o;;;Guisolan Marc;**;;;;;;;8.5
+;5;8.5;Dousse Michel;**;3;57.0;1;10.0;-4;1.5;10.0
+;6;18.5;Roch Vincent;**;9;55.5;5;18.75;-1;0.25;9.75
+;5;28.25;Dind Samuel;**;8;55.75;4;28.5;-1;0.25;9.75
-;4;38.0;Piemontesi Pascal;**;3;57.0;3;38.25;-1;0.25;8.75
+;6;46.75;Barras François;*;11;55.0;7;46.5;1;-0.25;10.0

5a;Zimmermann Mario;*;;;;;;;;;56.5
-;;;Barras François;*;;;;;;;8.75
+;4;8.75;Pürro Tobias;;16;53.75;2;9.75;-2;1.0;10.0
o;5;18.75;Emonet Frédéric;*;5;56.5;7;18.25;2;-0.5;8.5
+;8;27.25;Curty Alexandre;;16;53.75;6;28.0;-2;0.75;9.75
+;8;37.0;Beliakov Alexandre;;9;55.5;8;37.0;0;0.0;9.75
+;6;46.75;Brodard Augustin;**;8;55.75;5;47.0;-1;0.25;9.75

5b;Emonet Frédéric;*;;;;;;;;;56.5
o;;;Derron Cédric;*;;;;;;;8.5
+;5;8.5;Hofer Sven;;4;56.75;1;10.0;-4;1.5;9.75
+;7;18.25;Zimmermann Mario;*;5;56.5;5;18.75;-2;0.5;10.0
o;5;28.25;Piemontesi Pascal;**;3;57.0;5;28.25;0;0.0;8.5
+;9;36.75;Loup Grégoire (2000);;14;54.25;8;37.0;-1;0.25;9.75
+;7;46.5;Grossenbacher Marc (2000);;10;55.25;6;46.75;-1;0.25;10.0

6a;Sommer Roman;*;;;;;;;;;56.25
-;;;Moser Steven;**;;;;;;;8.75
+;4;8.75;Mosimann Vincent;*;9;55.5;2;9.75;-2;1.0;9.75
+;6;18.5;Brodard Augustin;**;8;55.75;6;18.5;0;0.0;10.0
-;4;28.5;Borcard Johann;**;8;55.75;4;28.5;0;0.0;9.0
-;6;37.5;Gottofrey Marc;**;6;56.25;3;38.25;-3;0.75;8.75
+;8;46.25;Crausaz Simon;;10;55.25;6;46.75;-2;0.5;10.0

6b;Bersier Jean-Jacques;*;;;;;;;;;56.25
+;;;Schöpfer Dio;**;;;;;;;9.75
+;2;9.75;Riedo Fredy;;2;57.25;1;10.0;-1;0.25;9.75
o;3;19.5;Matthey Mickaël;**;3;57.0;5;18.75;2;-0.75;8.5
o;6;28.0;Hayoz Quentin;;6;56.25;6;28.0;0;0.0;8.5
+;10;36.5;Buchs Julien (1999);;14;54.25;8;37.0;-2;0.5;9.75
+;8;46.25;Emonet Fabien;**;13;54.5;9;46.0;1;-0.25;10.0

6c;Lerch Jimmy;*;;;;;;;;;56.25
o;;;Mosimann Vincent;*;;;;;;;8.5
+;5;8.5;Pellet Adrian;;16;53.75;1;10.0;-4;1.5;9.75
o;7;18.25;Rapin Florent;;14;54.25;5;18.75;-2;0.5;8.5
+;10;26.75;Berset Cyril;*;18;53.0;12;26.0;2;-0.75;9.75
+;10;36.5;Cotting Florian;;15;54.0;8;37.0;-2;0.5;10.0
+;7;46.5;Gassmann Simon;*;8;55.75;5;47.0;-2;0.5;9.75

6d;Gottofrey Marc;**;;;;;;;;;56.25
+;;;Roch Vincent;**;;;;;;;10.0
o;1;10.0;Aeschbacher Matthias;**;1;59.25;1;10.0;0;0.0;8.5
+;6;18.5;Curty Alexandre;;16;53.75;3;19.5;-3;1.0;10.0
+;4;28.5;Mosimann Vincent;*;9;55.5;5;28.25;1;-0.25;9.75
-;3;38.25;Sommer Roman;*;6;56.25;6;37.5;3;-0.75;9.0
-;4;47.25;Derron Cédric;*;7;56.0;5;47.0;1;-0.25;9.0

6e;Hayoz Quentin;;;;;;;;;;56.25
o;;;Buchs Carlo;;;;;;;;8.5
+;5;8.5;Monney Branighan;;16;53.75;5;8.5;0;0.0;9.75
+;7;18.25;Chofflon Anthony;;14;54.25;7;18.25;0;0.0;9.75
+;6;28.0;Bersier Jean-Jacques;*;6;56.25;6;28.0;0;0.0;9.75
o;5;37.75;Guisolan Marc;**;4;56.75;8;37.0;3;-0.75;8.5
+;8;46.25;Schafer Damien;*;15;54.0;11;45.5;3;-0.75;10.0

7a;Brodard Simon;**;;;;;;;;;56.0
-;;;Haenni Stéphane;**;;;;;;;8.75
+;4;8.75;Kramer Dorian (1999);;11;55.0;2;9.75;-2;1.0;10.0
o;5;18.75;Roth Dominik;**;3;57.0;5;18.75;0;0.0;8.5
-;8;27.25;Riedo Fredy;;2;57.25;4;28.5;-4;1.25;8.75
+;12;36.0;Pürro Tobias;;16;53.75;10;36.5;-2;0.5;10.0
+;9;46.0;Aladenise Jonathan;;10;55.25;6;46.75;-3;0.75;10.0

7b;Derron Julien;;;;;;;;;;56.0
-;;;Minder Florian;;;;;;;;8.75
o;4;8.75;Steiner Pirmin;;7;56.0;2;9.75;-2;1.0;8.5
+;8;17.25;Pürro David (2001);;17;53.5;9;17.0;1;-0.25;10.0
+;8;27.25;Roth Robin (2000);*;12;54.75;11;26.25;3;-1.0;10.0
-;7;37.25;Mosimann Vincent;*;9;55.5;9;36.75;2;-0.5;8.75
+;9;46.0;Rapin Florent;;14;54.25;10;45.75;1;-0.25;10.0

7c;Steiner Pirmin;;;;;;;;;;56.0
+;;;Vaucher Rémy (2000);;;;;;;;9.75
+;2;9.75;Derron Julien;;7;56.0;4;8.75;2;-1.0;9.75
o;3;19.5;Dousse Michel;**;3;57.0;6;18.5;3;-1.0;8.5
+;6;28.0;Portmann Fabio;;11;55.0;6;28.0;0;0.0;9.75
o;5;37.75;Gassmann Simon;*;8;55.75;7;37.25;2;-0.5;8.5
+;8;46.25;Ducrest Etienne;*;16;53.75;12;45.25;4;-1.0;9.75

7d;Haenni Stéphane;**;;;;;;;;;56.0
-;;;Brodard Simon;**;;;;;;;8.75
+;4;8.75;Lützelschwab Luc (1999);;10;55.25;1;10.0;-3;1.25;10.0
+;5;18.75;Schafer Damien;*;15;54.0;6;18.5;1;-0.25;10.0
-;3;28.75;Roth Dominik;**;3;57.0;3;28.75;0;0.0;8.75
+;6;37.5;Kramer Dorian (1999);;11;55.0;4;38.0;-2;0.5;9.75
-;4;47.25;Dousse Michel;**;3;57.0;2;48.25;-2;1.0;8.75

7e;Berset Julien;*;;;;;;;;;56.0
+;;;Berset Cyril;*;;;;;;;10.0
-;1;10.0;Dind Samuel;**;8;55.75;2;9.75;1;-0.25;8.75
-;5;18.75;Gottofrey Luc;;4;56.75;2;19.75;-3;1.0;8.75
+;7;27.5;Loup Alexandre;*;14;54.25;8;27.25;1;-0.25;10.0
+;6;37.5;Von Niederhäusern Martin;;14;54.25;9;36.75;3;-0.75;10.0
o;3;47.5;Roth Dominik;**;3;57.0;4;47.25;1;-0.25;8.5

7f;Minder Florian;;;;;;;;;;56.0
-;;;Derron Julien;;;;;;;;8.75
