5266-2022-06-12_Buendner-Glarner_Kantonalschwingfest-ST

1a;Schmid Dominik;**;;;;;;;;;109.5
-;7;28.25;Hochholdinger Roman;**;7;56.5;7;28.25;0;0.0;8.75
+;9;37.0;Tschudi Mario;;15;54.5;9;37.0;0;0.0;9.75
o;8;46.75;Bless Michael;***;7;56.5;9;46.5;1;-0.25;8.5

12h;Niederberger Marc Ursin;;;;;;;;;;55.25
o;;;Brülisauer Dominik;;;;;;;;8.5
o;6;8.5;Rhyner Beni;;14;54.75;6;8.5;0;0.0;8.5
o;12;17.0;Kühne Cyrill (2004);;12;55.25;12;17.0;0;0.0;8.5
+;16;25.5;Nef Tobias (2005);;27;34.25;15;25.75;-1;0.25;10.0
+;15;35.5;Mösli Timo (2006);;23;52.5;15;35.5;0;0.0;10.0
+;13;45.5;Keller Cedric;;18;53.75;14;45.25;1;-0.25;9.75

12i;Rychen Roger;***;;;;;;;;;55.25
+;;;Zwyssig Raphael;***;;;;;;;10.0
o;2;10.0;Dumelin David;**;3;57.5;3;9.75;1;-0.25;8.5
+;7;18.5;Oettli Silvio;**;10;55.75;5;19.0;-2;0.5;9.75
+;7;28.25;Nietlispach Pascal;**;11;55.5;6;28.5;-1;0.25;9.75
o;5;38.0;Good Marco;**;4;57.25;3;38.5;-2;0.5;8.5
o;9;46.5;Funk Nicola;*;6;56.75;8;46.75;-1;0.25;8.75

12j;Fässler Tobias;;;;;;;;;;55.25
+;;;Inauen Maurus;;;;;;;;9.75
o;3;9.75;Schmidlin Tobias;*;9;56.0;6;8.5;3;-1.25;8.5
-;8;18.25;Bachmann Oliver (2004);;23;52.5;8;18.25;0;0.0;8.75
+;12;27.0;Bossert Luc (2006);;25;35.25;13;26.75;1;-0.25;9.75
o;10;36.75;Ackermann Remo;*;12;55.25;10;36.75;0;0.0;8.5
+;14;45.25;Schiess Daniel;;18;53.75;14;45.25;0;0.0;10.0

12k;Inauen Aurel;;;;;;;;;;55.25
+;;;Trümpy Thomas (2006);;;;;;;;10.0
-;2;10.0;Odermatt Gian Maria (2004);*;19;53.5;5;8.75;3;-1.25;8.75
o;6;18.75;Lehmann Philipp;*;5;57.0;7;18.5;1;-0.25;8.5
+;11;27.25;Korrodi Janik (2004);;16;54.25;10;27.5;-1;0.25;9.75
o;9;37.0;Hochholdinger Roman;**;7;56.5;9;37.0;0;0.0;8.5
+;13;45.5;Wehrli Jan;;17;54.0;13;45.5;0;0.0;9.75

12l;Bucher Roman;;;;;;;;;;55.25
+;;;Aebli Andrin;;;;;;;;9.75
+;3;9.75;Hengartner Ivo;*;27;34.25;6;8.5;3;-1.25;9.75
-;4;19.5;Brügger Stefan;*;10;55.75;7;18.5;3;-1.0;8.75
o;7;28.25;Rotach Lars;*;10;55.75;10;27.5;3;-0.75;8.5
+;10;36.75;Lötscher Niklas (2006);;16;54.25;9;37.0;-1;0.25;9.75
o;9;46.5;Hochholdinger Roman;**;7;56.5;8;46.75;-1;0.25;8.75

13a;Flütsch Marco;;;;;;;;;;55.0
+;;;Studerus Jan;;;;;;;;9.75
o;3;9.75;Tschudi Mario;;15;54.5;3;9.75;0;0.0;8.5
o;8;18.25;Heierli Pascal;**;18;53.75;12;17.0;4;-1.25;8.5
o;13;26.75;Signer Tobias (2004);;11;55.5;12;27.0;-1;0.25;8.75
+;15;35.5;Schläpfer Andrin;;23;52.5;15;35.5;0;0.0;9.75
+;14;45.25;Rüger Damian;;18;53.75;14;45.25;0;0.0;9.75

13b;Jörger Corsin;*;;;;;;;;;55.0
+;;;Leuppi Karim;*;;;;;;;9.75
+;3;9.75;Baumgartner Ramon;**;12;55.25;6;8.5;3;-1.25;9.75
o;4;19.5;Good Marco;**;4;57.25;2;20.0;-2;0.5;8.5
+;8;28.0;Tschudi Mario;;15;54.5;7;28.25;-1;0.25;9.75
o;6;37.75;Lanter Christian;*;9;56.0;7;37.5;1;-0.25;8.5
o;10;46.25;Buchmann Michael;;6;56.75;8;46.75;-2;0.5;8.75

13c;Kolb Pirmin;*;;;;;;;;;55.0
+;;;Baumann Rico;*;;;;;;;9.75
o;3;9.75;Roth Martin;***;9;56.0;5;8.75;2;-1.0;8.5
+;8;18.25;Inauen Maurus;;14;54.75;7;18.5;-1;0.25;10.0
-;7;28.25;Lüthi Manuel;*;9;56.0;6;28.5;-1;0.25;8.75
-;9;37.0;Widmer Thomas;;15;54.5;9;37.0;0;0.0;9.0
-;11;46.0;Brülisauer Dominik;;14;54.75;12;45.75;1;-0.25;9.0

13d;Lacher Tobias (2005);;;;;;;;;;55.0
+;;;Brand Andreas;;;;;;;;10.0
o;2;10.0;Hochholdinger Roman;**;7;56.5;3;9.75;1;-0.25;8.5
+;7;18.5;Müller Josias (2006);;19;53.5;5;19.0;-2;0.5;9.75
o;7;28.25;Oettli Silvio;**;10;55.75;10;27.5;3;-0.75;8.5
+;10;36.75;Schiess Daniel;;18;53.75;10;36.75;0;0.0;9.75
o;9;46.5;Schläpfer Markus;**;7;56.5;9;46.5;0;0.0;8.5

13e;Studerus Jan;;;;;;;;;;55.0
o;;;Flütsch Marco;;;;;;;;8.5
+;6;8.5;Egli Benno (2004);;28;34.0;6;8.5;0;0.0;9.75
+;8;18.25;Ackermann Rico;*;26;34.5;11;17.25;3;-1.0;10.0
o;7;28.25;Rüegg Fabian;*;8;56.25;10;27.5;3;-0.75;8.5
+;10;36.75;Schlegel Jamie (2004);;16;54.25;10;36.75;0;0.0;9.75
o;9;46.5;Jörger Marc;*;6;56.75;8;46.75;-1;0.25;8.5

13f;Stadelmann Patrick;;;;;;;;;;55.0
+;;;Signer Walter;;;;;;;;10.0
o;2;10.0;Oettli Silvio;**;10;55.75;4;9.0;2;-1.0;8.5
+;7;18.5;Hurschler Adrian;;16;54.25;7;18.5;0;0.0;9.75
+;7;28.25;Schläpfer Matthias;*;21;53.0;11;27.25;4;-1.0;9.75
o;5;38.0;Lehmann Philipp;*;5;57.0;8;37.25;3;-0.75;8.5
o;9;46.5;Durrer Jonas;*;7;56.5;8;46.75;-1;0.25;8.5

14a;Hari Michi;;;;;;;;;;54.75
+;;;Brasser Gian-Claudio;;;;;;;;9.75
o;3;9.75;Gmür Pirmin;**;9;56.0;5;8.75;2;-1.0;8.5
+;8;18.25;Vetterli Sven;;25;35.25;8;18.25;0;0.0;9.75
o;8;28.0;Hobi Ignaz;*;10;55.75;11;27.25;3;-0.75;8.5
+;11;36.5;Horner Sämi;;17;54.0;10;36.75;-1;0.25;9.75
o;10;46.25;Fausch Kjetil;*;6;56.75;8;46.75;-2;0.5;8.5

14b;Brülisauer Dominik;;;;;;;;;;54.75
+;;;Niederberger Marc Ursin;;;;;;;;9.75
o;3;9.75;Ackermann Remo;*;12;55.25;6;8.5;3;-1.25;8.5
+;8;18.25;Rüger Damian;;18;53.75;7;18.5;-1;0.25;9.75
o;8;28.0;Funk Nicola;*;6;56.75;12;27.0;4;-1.0;8.75
-;10;36.75;Habegger Andrin (2005);;16;54.25;12;36.25;2;-0.5;9.0
-;12;45.75;Kolb Pirmin;*;13;55.0;11;46.0;-1;0.25;9.0

14c;Baumann Rico;*;;;;;;;;;54.75
o;;;Kolb Pirmin;*;;;;;;;8.5
+;6;8.5;Inauen Andreas;*;16;54.25;6;8.5;0;0.0;9.75
+;8;18.25;Büchler Livio;;15;54.5;6;18.75;-2;0.5;9.75
o;8;28.0;Kindlimann Fabian;***;6;56.75;12;27.0;4;-1.0;8.5
+;11;36.5;Kühne Cyrill (2004);;12;55.25;10;36.75;-1;0.25;9.75
o;10;46.25;Odermatt Christian;**;11;55.5;12;45.75;2;-0.5;8.5

14d;Egli Martin;*;;;;;;;;;54.75
o;;;Joos Enrico;*;;;;;;;8.75
-;5;8.75;Ammann Rico;*;16;54.25;5;8.75;0;0.0;8.75
+;10;17.5;Joos Roman (2005);;17;54.0;8;18.25;-2;0.75;10.0
o;10;27.5;Poltera Andrin;**;9;56.0;10;27.5;0;0.0;8.5
-;13;36.0;Odermatt Gian Maria (2004);*;19;53.5;13;36.0;0;0.0;8.75
+;16;44.75;Bleiker Daniel;;22;52.75;18;44.25;2;-0.5;10.0

14e;Kurmann Patrick;*;;;;;;;;;54.75
-;;;Nock Benjamin;*;;;;;;;8.75
-;5;8.75;Büchler Livio;;15;54.5;2;10.0;-3;1.25;8.75
+;10;17.5;Trümpy Thomas (2006);;17;54.0;7;18.5;-3;1.0;10.0
o;10;27.5;Zwyssig Raphael;***;11;55.5;12;27.0;2;-0.5;8.5
+;13;36.0;Ammann Rico;*;16;54.25;14;35.75;1;-0.25;10.0
-;11;46.0;Inauen Maurus;;14;54.75;11;46.0;0;0.0;8.75

14f;Mathys Stefan (2005);;;;;;;;;;54.75
o;;;Schlegel Jamie (2004);;;;;;;;8.5
o;6;8.5;Lötscher Niklas (2006);;16;54.25;6;8.5;0;0.0;8.5
+;12;17.0;Brand Andreas;;18;53.75;12;17.0;0;0.0;9.75
+;13;26.75;Aebli Andrin;;27;34.25;15;25.75;2;-1.0;9.75
o;11;36.5;Brügger Stefan;*;10;55.75;14;35.75;3;-0.75;8.5
+;15;45.0;Gantenbein Linard (2004);;22;52.75;18;44.25;3;-0.75;9.75

14g;Inauen Maurus;;;;;;;;;;54.75
o;;;Fässler Tobias;;;;;;;;8.5
+;6;8.5;Allemann Thomas;;27;34.25;6;8.5;0;0.0;10.0
o;7;18.5;Kolb Pirmin;*;13;55.0;8;18.25;1;-0.25;8.75
-;11;27.25;Feldmann Patrik (2005);;10;55.75;11;27.25;0;0.0;8.75
+;13;36.0;Lazzarotto Salomon (2005);;15;54.5;13;36.0;0;0.0;10.0
-;11;46.0;Kurmann Patrick;*;14;54.75;11;46.0;0;0.0;8.75

14h;Rhyner Beni;;;;;;;;;;54.75
o;;;Rüger Damian;;;;;;;;8.5
+;6;8.5;Niederberger Marc Ursin;;12;55.25;6;8.5;0;0.0;9.75
+;8;18.25;Bossert Luc (2006);;25;35.25;8;18.25;0;0.0;9.75
o;8;28.0;Baumgartner Ramon;**;12;55.25;12;27.0;4;-1.0;8.5
o;11;36.5;Inauen Andreas;*;16;54.25;14;35.75;3;-0.75;8.5
+;15;45.0;Joos Roman (2005);;17;54.0;14;45.25;-1;0.25;9.75

15a;Widmer Thomas;;;;;;;;;;54.5
+;;;Sprecher Martin;;;;;;;;10.0
o;2;10.0;Joos Enrico;*;10;55.75;3;9.75;1;-0.25;8.5
+;7;18.5;Buchmann Michael;;6;56.75;7;18.5;0;0.0;9.75
-;7;28.25;Riget Tobias;**;15;54.5;11;27.25;4;-1.0;8.75
-;9;37.0;Kolb Pirmin;*;13;55.0;9;37.0;0;0.0;9.0
o;11;46.0;Rotach Lars;*;10;55.75;11;46.0;0;0.0;8.5

15b;Landolt Reto;*;;;;;;;;;54.5
+;;;Bernold Edi;**;;;;;;;10.0
o;2;10.0;Giger Samuel;***;2;58.5;5;8.75;3;-1.25;8.5
-;7;18.5;Lötscher Niklas (2006);;16;54.25;7;18.5;0;0.0;8.75
-;11;27.25;Hänni Marc;;11;55.5;11;27.25;0;0.0;8.75
+;13;36.0;Bischof Martin;;17;54.0;10;36.75;-3;0.75;9.75
-;12;45.75;Nock Benjamin;*;18;53.75;15;45.0;3;-0.75;8.75

15c;Lazzarotto Salomon (2005);;;;;;;;;;54.5
-;;;Plüer Fabian;;;;;;;;9.0
-;4;9.0;Bleiker Daniel;;22;52.75;6;8.5;2;-0.5;8.75
+;9;17.75;Nef Tobias (2005);;27;34.25;11;17.25;2;-0.5;9.75
o;10;27.5;Schiesser Patrik;*;16;54.25;11;27.25;1;-0.25;8.5
o;13;36.0;Inauen Maurus;;14;54.75;13;36.0;0;0.0;8.5
+;17;44.5;Bachmann Oliver (2004);;23;52.5;19;44.0;2;-0.5;10.0

15d;Pianta Christian;*;;;;;;;;;54.5
-;;;Rotach Lars;*;;;;;;;8.75
-;5;8.75;Odermatt Michi;;16;54.25;5;8.75;0;0.0;8.75
+;10;17.5;Spörndli Cyril;;18;53.75;7;18.5;-3;1.0;9.75
o;11;27.25;Heierli Pascal;**;18;53.75;13;26.75;2;-0.5;8.5
+;14;35.75;Keller Cedric;;18;53.75;10;36.75;-4;1.0;10.0
-;12;45.75;Odermatt Gian Maria (2004);*;19;53.5;16;44.75;4;-1.0;8.75

15e;Rogenmoser Linus;;;;;;;;;;54.5
+;;;Wehrli Jan;;;;;;;;10.0
o;2;10.0;Schläpfer Matthias;*;21;53.0;4;9.0;2;-1.0;8.5
+;7;18.5;Bernold Edi;**;25;35.25;8;18.25;1;-0.25;10.0
o;6;28.5;Dändliker Shane;**;6;56.75;7;28.25;1;-0.25;8.5
-;9;37.0;Wagner Andreas;;16;54.25;9;37.0;0;0.0;8.75
o;12;45.75;Hänni Marc;;11;55.5;12;45.75;0;0.0;8.75

15f;Büchler Livio;;;;;;;;;;54.5
+;;;Bernhard Thomas;;;;;;;;10.0
-;2;10.0;Kurmann Patrick;*;14;54.75;5;8.75;3;-1.25;8.75
o;6;18.75;Baumann Rico;*;14;54.75;8;18.25;2;-0.5;8.5
o;11;27.25;Odermatt Michi;;16;54.25;11;27.25;0;0.0;8.5
+;14;35.75;Schmid Dominik;;1;109.5;1;72.75;-13;37.0;9.75
-;13;45.5;Engi Niculin (2006);;16;54.25;14;45.25;1;-0.25;9.0

15g;Riget Tobias;**;;;;;;;;;54.5
-;;;Odermatt Andreas;**;;;;;;;8.75
+;5;8.75;Dörig Maurus (2004);;25;35.25;3;9.75;-2;1.0;10.0
o;6;18.75;Bless Michael;***;7;56.5;7;18.5;1;-0.25;8.5
-;11;27.25;Widmer Thomas;;15;54.5;7;28.25;-4;1.0;8.75
o;13;36.0;Fejzaj Naim;**;12;55.25;10;36.75;-3;0.75;8.5
+;17;44.5;Schläpfer Matthias;*;21;53.0;17;44.5;0;0.0;10.0

15h;Tschudi Mario;;;;;;;;;;54.5
+;;;Kühne Cyrill (2004);;;;;;;;9.75
+;3;9.75;Flütsch Marco;;13;55.0;3;9.75;0;0.0;10.0
o;3;19.75;Nietlispach Pascal;**;11;55.5;7;18.5;4;-1.25;8.5
o;7;28.25;Jörger Corsin;*;13;55.0;8;28.0;1;-0.25;8.75
o;9;37.0;Mettler Valentin;*;12;55.25;9;37.0;0;0.0;8.75
o;12;45.75;Manser Adrian;;12;55.25;14;45.25;2;-0.5;8.75

16a;Thiemann Fabrice;;;;;;;;;;54.25
-;;;Korrodi Janik (2004);;;;;;;;8.75
o;5;8.75;Rüegg Fabian;*;8;56.25;5;8.75;0;0.0;8.5
+;11;17.25;Dörig Maurus (2004);;25;35.25;8;18.25;-3;1.0;9.75
+;12;27.0;Gantenbein Linard (2004);;22;52.75;12;27.0;0;0.0;9.75
-;10;36.75;Dobler Martin;;17;54.0;10;36.75;0;0.0;8.75
o;13;45.5;Baumgartner Ramon;**;12;55.25;14;45.25;1;-0.25;8.75

16b;Odermatt Michi;;;;;;;;;;54.25
-;;;Feldmann Patrik (2005);;;;;;;;8.75
-;5;8.75;Pianta Christian;*;15;54.5;5;8.75;0;0.0;8.75
+;10;17.5;Signer Walter;;28;34.0;12;17.0;2;-0.5;9.75
+;11;27.25;Büchler Livio;;15;54.5;11;27.25;0;0.0;10.0
o;8;37.25;Schmid Dominik;**;1;109.5;1;72.75;-7;35.5;8.5
o;12;45.75;Hobi Ignaz;*;10;55.75;12;45.75;0;0.0;8.5

16c;Wagner Andreas;;;;;;;;;;54.25
o;;;Hurschler Adrian;;;;;;;;8.5
+;6;8.5;Kühne Cyrill (2004);;12;55.25;6;8.5;0;0.0;10.0
o;7;18.5;Odermatt Andreas;**;7;56.5;10;17.5;3;-1.0;8.5
+;12;27.0;Schoch René;;17;54.0;12;27.0;0;0.0;10.0
-;9;37.0;Rogenmoser Linus;;15;54.5;9;37.0;0;0.0;8.75
o;12;45.75;Signer Tobias (2004);;11;55.5;13;45.5;1;-0.25;8.5

16d;Schiesser Patrik;*;;;;;;;;;54.25
-;;;Schläpfer Matthias;*;;;;;;;9.0
+;4;9.0;Habegger Andrin (2005);;16;54.25;5;8.75;1;-0.25;9.75
o;6;18.75;Kindlimann Fabian;***;6;56.75;11;17.25;5;-1.5;8.5
+;11;27.25;Lazzarotto Salomon (2005);;15;54.5;10;27.5;-1;0.25;9.75
o;9;37.0;Leuppi Karim;*;11;55.5;9;37.0;0;0.0;8.75
o;12;45.75;Joos Enrico;*;10;55.75;11;46.0;-1;0.25;8.5

16e;Korrodi Janik (2004);;;;;;;;;;54.25
-;;;Thiemann Fabrice;;;;;;;;8.75
+;5;8.75;Signer Tobias (2004);;11;55.5;2;10.0;-3;1.25;10.0
o;6;18.75;Durrer Jonas;*;7;56.5;7;18.5;1;-0.25;8.75
o;10;27.5;Inauen Aurel;;12;55.25;11;27.25;1;-0.25;8.5
+;13;36.0;Plüer Fabian;;20;53.25;13;36.0;0;0.0;9.75
o;12;45.75;Barmettler Renato;*;9;56.0;11;46.0;-1;0.25;8.5

16f;Hurschler Adrian;;;;;;;;;;54.25
+;;;Wagner Andreas;;;;;;;;10.0
o;2;10.0;Fausch Kjetil;*;6;56.75;5;8.75;3;-1.25;8.5
o;7;18.5;Stadelmann Patrick;;13;55.0;7;18.5;0;0.0;8.5
-;12;27.0;Ackermann Rico;*;26;34.5;15;25.75;3;-1.25;9.0
+;13;36.0;Müller Josias (2006);;19;53.5;12;36.25;-1;0.25;9.75
o;12;45.75;Oettli Silvio;**;10;55.75;11;46.0;-1;0.25;8.5

16g;Inauen Andreas;*;;;;;;;;;54.25
o;;;Mettler Valentin;*;;;;;;;8.5
o;6;8.5;Baumann Rico;*;14;54.75;6;8.5;0;0.0;8.5
-;12;17.0;Sprecher Martin;;11;55.5;8;18.25;-4;1.25;8.75
+;15;25.75;Vetterli Sven;;25;35.25;13;26.75;-2;1.0;10.0
+;14;35.75;Rhyner Beni;;14;54.75;11;36.5;-3;0.75;10.0
o;12;45.75;Gmür Pirmin;**;9;56.0;11;46.0;-1;0.25;8.5

16h;Habegger Andrin (2005);;;;;;;;;;54.25
-;;;Hänni Marc;;;;;;;;8.75
o;5;8.75;Schiesser Patrik;*;16;54.25;4;9.0;-1;0.25;8.5
+;11;17.25;Brasser Gian-Claudio;;25;35.25;12;17.0;1;-0.25;10.0
-;11;27.25;Schmidlin Tobias;*;9;56.0;11;27.25;0;0.0;9.0
-;12;36.25;Brülisauer Dominik;;14;54.75;10;36.75;-2;0.5;9.0
-;14;45.25;Schlegel Jamie (2004);;16;54.25;14;45.25;0;0.0;9.0

16i;Engi Niculin (2006);;;;;;;;;;54.25
o;;;Manser Adrian;;;;;;;;8.5
o;6;8.5;Hänni Marc;;11;55.5;5;8.75;-1;0.25;8.5
+;12;17.0;Rust Emanuel;;25;35.25;12;17.0;0;0.0;10.0
o;12;27.0;Schiess Daniel;;18;53.75;12;27.0;0;0.0;8.5
+;15;35.5;Bachmann Oliver (2004);;23;52.5;15;35.5;0;0.0;9.75
-;14;45.25;Büchler Livio;;15;54.5;13;45.5;-1;0.25;9.0

16j;Lötscher Niklas (2006);;;;;;;;;;54.25
o;;;Signer Tobias (2004);;;;;;;;8.5
+;6;8.5;Mathys Stefan (2005);;14;54.75;6;8.5;0;0.0;10.0
-;7;18.5;Landolt Reto;*;15;54.5;7;18.5;0;0.0;8.75
+;11;27.25;Plüer Fabian;;20;53.25;11;27.25;0;0.0;9.75
o;9;37.0;Bucher Roman;;12;55.25;10;36.75;1;-0.25;8.5
-;13;45.5;Bischof Martin;;17;54.0;14;45.25;1;-0.25;8.75

16k;Ammann Rico;*;;;;;;;;;54.25
-;;;Odermatt Gian Maria (2004);*;;;;;;;8.75
-;5;8.75;Egli Martin;*;14;54.75;5;8.75;0;0.0;8.75
+;10;17.5;Hänni Marc;;11;55.5;6;18.75;-4;1.25;9.75
o;11;27.25;Lanter Christian;*;9;56.0;10;27.5;-1;0.25;8.5
o;14;35.75;Kurmann Patrick;*;14;54.75;13;36.0;-1;0.25;8.5
+;18;44.25;Schläpfer Andrin;;23;52.5;19;44.0;1;-0.25;10.0

16l;Schlegel Jamie (2004);;;;;;;;;;54.25
+;;;Mathys Stefan (2005);;;;;;;;9.75
o;3;9.75;Funk Nicola;*;6;56.75;5;8.75;2;-1.0;8.5
+;8;18.25;Mösli Timo (2006);;23;52.5;7;18.5;-1;0.25;10.0
o;7;28.25;Fausch Kjetil;*;6;56.75;11;27.25;4;-1.0;8.5
o;10;36.75;Studerus Jan;;13;55.0;10;36.75;0;0.0;8.5
-;14;45.25;Habegger Andrin (2005);;16;54.25;14;45.25;0;0.0;9.0

17a;Schoch René;;;;;;;;;;54.0
o;;;Tsirkin Stepan;;;;;;;;8.5
o;6;8.5;Bernhard Thomas;;18;53.75;6;8.5;0;0.0;8.5
+;12;17.0;Egli Benno (2004);;28;34.0;12;17.0;0;0.0;10.0
o;12;27.0;Wagner Andreas;;16;54.25;12;27.0;0;0.0;8.5
+;15;35.5;Walser Aaron (2006);;23;52.5;15;35.5;0;0.0;10.0
o;13;45.5;Brügger Stefan;*;10;55.75;12;45.75;-1;0.25;8.5

17b;Wehrli Jan;;;;;;;;;;54.0
o;;;Rogenmoser Linus;;;;;;;;8.5
+;6;8.5;Keller Cedric;;18;53.75;6;8.5;0;0.0;10.0
o;7;18.5;Riget Florian;**;11;55.5;7;18.5;0;0.0;8.5
+;12;27.0;Spörndli Cyril;;18;53.75;12;27.0;0;0.0;10.0
o;9;37.0;Kiser Aron;;11;55.5;8;37.25;-1;0.25;8.5
o;13;45.5;Inauen Aurel;;12;55.25;13;45.5;0;0.0;8.5

17c;Horner Sämi;;;;;;;;;;54.0
+;;;Rust Emanuel;;;;;;;;10.0
o;2;10.0;Leuppi Karim;*;11;55.5;6;8.5;4;-1.5;8.5
o;7;18.5;Mettler Valentin;*;12;55.25;8;18.25;1;-0.25;8.5
+;12;27.0;Bachmann Oliver (2004);;23;52.5;12;27.0;0;0.0;9.75
o;10;36.75;Hari Michi;;14;54.75;11;36.5;1;-0.25;8.5
o;14;45.25;Buchmann Michael;;6;56.75;8;46.75;-6;1.5;8.75

17d;Dobler Martin;;;;;;;;;;54.0
+;;;Allemann Thomas;;;;;;;;10.0
o;2;10.0;Koch Reto;*;4;57.25;3;9.75;1;-0.25;8.5
+;7;18.5;Schmid Dominik;;1;109.5;1;37.25;-6;18.75;9.75
o;7;28.25;Odermatt Andreas;**;7;56.5;11;27.25;4;-1.0;8.5
-;10;36.75;Thiemann Fabrice;;16;54.25;10;36.75;0;0.0;8.75
o;13;45.5;Nietlispach Pascal;**;11;55.5;13;45.5;0;0.0;8.5

17e;Joos Roman (2005);;;;;;;;;;54.0
+;;;Schläpfer Andrin;;;;;;;;9.75
o;3;9.75;Keller Dominic;;29;18.25;3;9.75;0;0.0;8.5
o;8;18.25;Egli Martin;*;14;54.75;10;17.5;2;-0.75;8.5
+;13;26.75;Rüger Damian;;18;53.75;12;27.0;-1;0.25;9.75
o;11;36.5;Schmidlin Tobias;*;9;56.0;12;36.25;1;-0.25;8.75
o;14;45.25;Rhyner Beni;;14;54.75;15;45.0;1;-0.25;8.75

17f;Trümpy Thomas (2006);;;;;;;;;;54.0
o;;;Inauen Aurel;;;;;;;;8.5
+;6;8.5;Brand Andreas;;18;53.75;6;8.5;0;0.0;10.0
o;7;18.5;Kurmann Patrick;*;14;54.75;10;17.5;3;-1.0;8.5
+;12;27.0;Mösli Timo (2006);;23;52.5;12;27.0;0;0.0;10.0
o;9;37.0;Lüthi Manuel;*;9;56.0;8;37.25;-1;0.25;8.5
o;13;45.5;Sprecher Martin;;11;55.5;13;45.5;0;0.0;8.5

17g;Bischof Martin;;;;;;;;;;54.0
o;;;Gantenbein Linard (2004);;;;;;;;8.5
+;6;8.5;Brasser Gian-Claudio;;25;35.25;6;8.5;0;0.0;9.75
o;8;18.25;Nock Benjamin;*;18;53.75;9;17.75;1;-0.5;8.5
+;13;26.75;Allemann Thomas;;27;34.25;15;25.75;2;-1.0;10.0
o;10;36.75;Landolt Reto;*;15;54.5;13;36.0;3;-0.75;8.5
-;14;45.25;Lötscher Niklas (2006);;16;54.25;13;45.5;-1;0.25;8.75

18a;Schiess Daniel;;;;;;;;;;53.75
o;;;Kiser Aron;;;;;;;;8.5
+;6;8.5;Mayer Sebastian (2005);;28;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Castelli Fabio;*;24;37.0;7;18.5;0;0.0;8.5
+;12;27.0;Engi Niculin (2006);;16;54.25;12;27.0;0;0.0;9.75
o;10;36.75;Lacher Tobias (2005);;13;55.0;10;36.75;0;0.0;8.5
o;14;45.25;Fässler Tobias;;12;55.25;14;45.25;0;0.0;8.5

18b;Spörndli Cyril;;;;;;;;;;53.75
o;;;Müller Josias (2006);;;;;;;;8.5
+;6;8.5;Nay Kyron (2006);;28;34.0;6;8.5;0;0.0;10.0
o;7;18.5;Pianta Christian;*;15;54.5;10;17.5;3;-1.0;8.5
o;12;27.0;Wehrli Jan;;17;54.0;12;27.0;0;0.0;8.5
+;15;35.5;Brand Andreas;;18;53.75;15;35.5;0;0.0;9.75
o;14;45.25;Feldmann Patrik (2005);;10;55.75;12;45.75;-2;0.5;8.5

18c;Bernhard Thomas;;;;;;;;;;53.75
o;;;Büchler Livio;;;;;;;;8.5
+;6;8.5;Schoch René;;17;54.0;6;8.5;0;0.0;9.75
-;8;18.25;Hengartner Ivo;*;27;34.25;12;17.0;4;-1.25;8.75
o;12;27.0;Buchmann Michael;;6;56.75;12;27.0;0;0.0;8.5
o;15;35.5;Rüger Damian;;18;53.75;15;35.5;0;0.0;8.5
+;19;44.0;Plüer Fabian;;20;53.25;16;44.75;-3;0.75;9.75

18d;Keller Cedric;;;;;;;;;;53.75
o;;;Schmid Dominik;;;;;;;;8.5
o;6;8.5;Wehrli Jan;;17;54.0;6;8.5;0;0.0;8.5
+;12;17.0;Mayer Sebastian (2005);;28;34.0;12;17.0;0;0.0;9.75
+;13;26.75;Walser Aaron (2006);;23;52.5;12;27.0;-1;0.25;10.0
o;10;36.75;Pianta Christian;*;15;54.5;14;35.75;4;-1.0;8.5
o;14;45.25;Niederberger Marc Ursin;;12;55.25;13;45.5;-1;0.25;8.5

18e;Nock Benjamin;*;;;;;;;;;53.75
-;;;Kurmann Patrick;*;;;;;;;8.75
-;5;8.75;Müller Josias (2006);;19;53.5;2;10.0;-3;1.25;9.0
+;9;17.75;Bischof Martin;;17;54.0;8;18.25;-1;0.5;10.0
o;9;27.75;Schmid Dominik;**;1;109.5;1;54.25;-8;26.5;8.5
-;12;36.25;Schläpfer Matthias;*;21;53.0;14;35.75;2;-0.5;8.75
-;15;45.0;Landolt Reto;*;15;54.5;12;45.75;-3;0.75;8.75

18f;Heierli Pascal;**;;;;;;;;;53.75
o;;;Dändliker Shane;**;;;;;;;8.5
o;6;8.5;Kiser Aron;;11;55.5;3;9.75;-3;1.25;8.5
+;12;17.0;Flütsch Marco;;13;55.0;8;18.25;-4;1.25;9.75
+;13;26.75;Pianta Christian;*;15;54.5;11;27.25;-2;0.5;10.0
o;10;36.75;Odermatt Andreas;**;7;56.5;9;37.0;-1;0.25;8.5
o;14;45.25;Zwyssig Raphael;***;11;55.5;12;45.75;-2;0.5;8.5

18g;Rüger Damian;;;;;;;;;;53.75
+;;;Rhyner Beni;;;;;;;;10.0
o;2;10.0;Schmid Dominik;**;1;109.5;1;18.75;-1;8.75;8.5
o;7;18.5;Brülisauer Dominik;;14;54.75;8;18.25;1;-0.25;8.5
o;12;27.0;Joos Roman (2005);;17;54.0;13;26.75;1;-0.25;8.5
+;15;35.5;Bernhard Thomas;;18;53.75;15;35.5;0;0.0;9.75
