5628-2022-07-24_Fete_Cantonale_Fribourgeoise-ST

1a;Kramer Lario;***;;;;;;;;;59.5
o;4;28.25;Mollet Ivan;**;8;55.75;6;27.5;2;-0.75;8.5
+;9;36.75;Chofflon Anthony;;11;55.0;9;36.75;0;0.0;9.75
o;9;46.5;Gottofrey Luc;*;4;56.75;8;46.75;-1;0.25;8.5

11g;Martin Gaël (2004);*;;;;;;;;;55.0
o;;;Balimann Sandro;*;;;;;;;8.5
+;5;8.5;Cottier Marco;;15;54.0;1;10.0;-4;1.5;10.0
-;5;18.5;Hayoz Paul;*;10;55.25;5;18.5;0;0.0;8.75
-;7;27.25;Fuchs Yannick;;8;55.75;4;28.25;-3;1.0;9.0
+;11;36.25;Fankhauser Tom (2006);;14;54.25;8;37.0;-3;0.75;10.0
o;10;46.25;Barras André;*;5;56.5;9;46.5;-1;0.25;8.75

12a;Hayoz Quentin;*;;;;;;;;;54.75
-;;;Loup Alexandre;*;;;;;;;8.75
-;4;8.75;Monney Branighan;;9;55.5;1;10.0;-3;1.25;8.75
+;7;17.5;Germanier Joel;;15;54.0;5;18.5;-2;1.0;10.0
+;6;27.5;Crettaz Olivier;*;9;55.5;7;27.25;1;-0.25;10.0
o;6;37.5;Derron Cédric;*;9;55.5;8;37.0;2;-0.5;8.5
o;11;46.0;Grossenbacher Simon;*;5;56.5;9;46.5;-2;0.5;8.75

13a;Pürro David;*;;;;;;;;;54.5
o;;;Barras André;*;;;;;;;8.5
-;5;8.5;Loup Grégoire;;13;54.5;1;10.0;-4;1.5;8.75
+;8;17.25;Isoz Bertrand;;21;52.5;6;18.25;-2;1.0;10.0
o;7;27.25;Dorsaz Théo;*;8;55.75;7;27.25;0;0.0;8.5
+;13;35.75;Tissot Joffrey (2006);;19;53.0;13;35.75;0;0.0;10.0
-;12;45.75;Loup Alexandre;*;13;54.5;12;45.75;0;0.0;8.75

13b;Loup Alexandre;*;;;;;;;;;54.5
-;;;Hayoz Quentin;*;;;;;;;8.75
+;4;8.75;Buchs Noah (2004);;10;55.25;1;10.0;-3;1.25;9.75
o;5;18.5;Siegenthaler Leo (2005);**;5;56.5;5;18.5;0;0.0;8.5
-;8;27.0;Bucher Roman;;13;54.5;7;27.25;-1;0.25;8.75
+;13;35.75;Elmiger Silvan (2004);;14;54.25;13;35.75;0;0.0;10.0
-;12;45.75;Pürro David;*;13;54.5;12;45.75;0;0.0;8.75

13c;Stoll Thomas;*;;;;;;;;;54.5
+;;;Bucher Roman;;;;;;;;9.75
-;2;9.75;Gnägi Damian;*;13;54.5;5;8.5;3;-1.25;8.75
o;5;18.5;Dousse Michel;**;7;56.0;4;18.75;-1;0.25;8.5
+;8;27.0;Buchs Noah (2004);;10;55.25;4;28.25;-4;1.25;10.0
o;8;37.0;Tornare Paul;*;9;55.5;7;37.25;-1;0.25;8.75
-;12;45.75;Loup Grégoire;;13;54.5;12;45.75;0;0.0;8.75

13d;Vonlanthen Alexandre;;;;;;;;;;54.5
+;;;Cochrane Benjamin;;;;;;;;10.0
-;1;10.0;Dorsaz Théo;*;8;55.75;5;8.5;4;-1.5;8.75
o;4;18.75;Matthey Mickaël;**;2;57.25;5;18.5;1;-0.25;8.5
o;7;27.25;Wieland Micha;;14;54.25;7;27.25;0;0.0;8.5
-;13;35.75;Erb Vincent;;18;53.25;13;35.75;0;0.0;8.75
+;17;44.5;Imstepf Sandro;;21;52.5;19;44.0;2;-0.5;10.0

13e;Loup Grégoire;;;;;;;;;;54.5
+;;;Fèvre Antoine;;;;;;;;10.0
-;1;10.0;Pürro David;*;13;54.5;5;8.5;4;-1.5;8.75
-;4;18.75;Varone Luc;*;14;54.25;5;18.5;1;-0.25;8.75
+;6;27.5;Berger Sascha;;14;54.25;6;27.5;0;0.0;9.75
o;7;37.25;Zbinden Lukas;;4;56.75;8;37.0;1;-0.25;8.5
-;12;45.75;Stoll Thomas;*;13;54.5;12;45.75;0;0.0;8.75

13f;Gnägi Damian;*;;;;;;;;;54.5
o;;;Duplan Steve;***;;;;;;;8.5
-;5;8.5;Stoll Thomas;*;13;54.5;2;9.75;-3;1.25;8.75
+;8;17.25;Jeannin Jess;;16;53.75;6;18.25;-2;1.0;9.75
+;8;27.0;Schwab Livio (2005);;15;54.0;8;27.0;0;0.0;10.0
o;8;37.0;Dorsaz Théo;*;8;55.75;7;37.25;-1;0.25;8.75
-;12;45.75;Dubey Gaël;*;14;54.25;13;45.5;1;-0.25;8.75

13g;Bucher Roman;;;;;;;;;;54.5
o;;;Stoll Thomas;*;;;;;;;8.5
-;5;8.5;Aeschbacher Ivo;;14;54.25;1;10.0;-4;1.5;8.75
+;8;17.25;Jost Colin (2004);;23;51.0;9;17.0;1;-0.25;10.0
-;7;27.25;Loup Alexandre;*;13;54.5;8;27.0;1;-0.25;8.75
+;12;36.0;Wenger Marco;;11;55.0;10;36.5;-2;0.5;10.0
o;11;46.0;Haenni Stéphane;**;6;56.25;10;46.25;-1;0.25;8.5

14a;Aeschbacher Ivo;;;;;;;;;;54.25
+;;;Elmiger Silvan (2004);;;;;;;;10.0
-;1;10.0;Bucher Roman;;13;54.5;5;8.5;4;-1.5;8.75
o;4;18.75;Riedo Fredy;*;5;56.5;6;18.25;2;-0.5;8.5
-;7;27.25;Erb Vincent;;18;53.25;8;27.0;1;-0.25;8.75
+;12;36.0;Cressier Gaetan;;17;53.5;10;36.5;-2;0.5;9.75
o;12;45.75;Pasquier Loïc;*;9;55.5;13;45.5;1;-0.25;8.5

14b;Elmiger Silvan (2004);;;;;;;;;;54.25
o;;;Aeschbacher Ivo;;;;;;;;8.5
o;5;8.5;Wieland Micha;;14;54.25;4;8.75;-1;0.25;8.5
-;9;17.0;Pürro Tobias;;22;51.25;9;17.0;0;0.0;8.75
+;13;25.75;Verdon Simon (2005);;26;34.0;14;25.5;1;-0.25;10.0
o;13;35.75;Loup Alexandre;*;13;54.5;13;35.75;0;0.0;8.5
+;18;44.25;Vaucher Rémy;;19;53.0;17;44.5;-1;0.25;10.0

14c;Varone Luc;*;;;;;;;;;54.25
+;;;Guisolan Marc;**;;;;;;;10.0
o;1;10.0;Moser Steven;**;4;56.75;4;8.75;3;-1.25;8.5
-;5;18.5;Loup Grégoire;;13;54.5;4;18.75;-1;0.25;8.75
+;7;27.25;Balimann Fabian;;5;56.5;4;28.25;-3;1.0;10.0
o;7;37.25;Borcard Johann;**;5;56.5;9;36.75;2;-0.5;8.5
o;12;45.75;Hayoz Paul;*;10;55.25;13;45.5;1;-0.25;8.5

14d;Dubey Gaël;*;;;;;;;;;54.25
o;;;Wieland Janis;*;;;;;;;8.5
+;5;8.5;Röthlisberger Sven;;15;54.0;2;9.75;-3;1.25;10.0
o;5;18.5;Hofer Sven;**;3;57.0;5;18.5;0;0.0;8.5
+;8;27.0;Steiner Pirmin;;20;52.75;7;27.25;-1;0.25;10.0
o;8;37.0;Moser Steven;**;4;56.75;8;37.0;0;0.0;8.5
-;13;45.5;Gnägi Damian;*;13;54.5;12;45.75;-1;0.25;8.75

14e;Fankhauser Tom (2006);;;;;;;;;;54.25
o;;;Wenger Marco;;;;;;;;8.5
+;5;8.5;Reichenbach Ryan;;21;52.5;5;8.5;0;0.0;10.0
o;5;18.5;Rogivue Théo;*;10;55.25;6;18.25;1;-0.25;8.75
+;7;27.25;Lengen Michael (2005);;15;54.0;8;27.0;1;-0.25;9.75
o;8;37.0;Martin Gaël (2004);*;11;55.0;11;36.25;3;-0.75;8.5
o;13;45.5;Fuchs Sylvain (2005);;11;55.0;14;45.25;1;-0.25;8.75

14f;Wieland Micha;;;;;;;;;;54.25
-;;;Mermillod Jérôme (2004);;;;;;;;8.75
+;4;8.75;Elmiger Silvan (2004);;14;54.25;5;8.5;1;-0.25;10.0
o;4;18.75;Tornare Paul;*;9;55.5;6;18.25;2;-0.5;8.5
+;7;27.25;Vonlanthen Alexandre;;13;54.5;7;27.25;0;0.0;10.0
o;7;37.25;Grossenbacher Simon;*;5;56.5;9;36.75;2;-0.5;8.5
o;12;45.75;Fuchs Yannick;;8;55.75;12;45.75;0;0.0;8.5

14g;Tornare Philippe (2004);;;;;;;;;;54.25
+;;;Moos Loïc;;;;;;;;9.75
o;2;9.75;Rogivue Théo;*;10;55.25;5;8.5;3;-1.25;8.5
-;6;18.25;Röthlisberger Sven;;15;54.0;6;18.25;0;0.0;9.0
-;7;27.25;Germanier Joel;;15;54.0;8;27.0;1;-0.25;8.75
o;12;36.0;Berger Sascha;;14;54.25;12;36.0;0;0.0;8.5
+;17;44.5;Isoz Bertrand;;21;52.5;19;44.0;2;-0.5;9.75

14h;Berger Sascha;;;;;;;;;;54.25
-;;;Von Niederhäusern Marcel;;;;;;;;8.75
+;4;8.75;Girard Simon (2004);;17;53.5;2;9.75;-2;1.0;10.0
o;4;18.75;Balimann Sandro;*;7;56.0;6;18.25;2;-0.5;8.75
o;6;27.5;Loup Grégoire;;13;54.5;6;27.5;0;0.0;8.5
+;12;36.0;Tornare Philippe (2004);;14;54.25;12;36.0;0;0.0;9.75
o;12;45.75;Dufey Gil;*;8;55.75;12;45.75;0;0.0;8.5

14i;Sonnay Thomas;**;;;;;;;;;54.25
-;;;Kramer Dorian;**;;;;;;;8.75
-;4;8.75;Chofflon Anthony;;11;55.0;2;9.75;-2;1.0;8.75
o;7;17.5;Balimann Fabian;;5;56.5;5;18.5;-2;1.0;8.5
+;12;26.0;Rey Arnaud;;16;53.75;8;27.0;-4;1.0;9.75
o;13;35.75;Bucher Adrian (2004);;10;55.25;9;36.75;-4;1.0;8.5
+;18;44.25;Girard Simon (2004);;17;53.5;15;45.0;-3;0.75;10.0

15a;Lengen Michael (2005);;;;;;;;;;54.0
+;;;Burri Flemming;;;;;;;;10.0
o;1;10.0;Kramer Dorian;**;8;55.75;4;8.75;3;-1.25;8.5
o;5;18.5;Pasquier Loïc;*;9;55.5;5;18.5;0;0.0;8.5
o;8;27.0;Fankhauser Tom (2006);;14;54.25;7;27.25;-1;0.25;8.5
o;14;35.5;Rey Arnaud;;16;53.75;14;35.5;0;0.0;8.5
+;19;44.0;Glauser Matis (2005);;21;52.5;19;44.0;0;0.0;10.0

15b;Schwab Livio (2005);;;;;;;;;;54.0
o;;;Fuchs Yannick;;;;;;;;8.5
-;5;8.5;Von Niederhäusern Marcel;;18;53.25;4;8.75;-1;0.25;8.75
+;8;17.25;Reichenbach Ryan;;21;52.5;9;17.0;1;-0.25;9.75
o;8;27.0;Gnägi Damian;*;13;54.5;8;27.0;0;0.0;8.5
+;14;35.5;Isoz Bertrand;;21;52.5;14;35.5;0;0.0;10.0
o;13;45.5;Emonet Frédéric;**;10;55.25;14;45.25;1;-0.25;8.5

15c;Röthlisberger Sven;;;;;;;;;;54.0
+;;;Isoz Bertrand;;;;;;;;9.75
o;2;9.75;Dubey Gaël;*;14;54.25;5;8.5;3;-1.25;8.5
-;6;18.25;Tornare Philippe (2004);;14;54.25;6;18.25;0;0.0;8.75
o;8;27.0;Perret Loïc;;15;54.0;9;26.75;1;-0.25;8.75
+;13;35.75;Imstepf Sandro;;21;52.5;14;35.5;1;-0.25;9.75
o;13;45.5;Portmann Fabio;*;11;55.0;14;45.25;1;-0.25;8.5

15d;Cottier Marco;;;;;;;;;;54.0
+;;;Bucher Adrian (2004);;;;;;;;10.0
o;1;10.0;Martin Gaël (2004);*;11;55.0;5;8.5;4;-1.5;8.5
o;5;18.5;Bapst Ludovic;;11;55.0;5;18.5;0;0.0;8.5
o;8;27.0;Fankhauser Hans;*;10;55.25;7;27.25;-1;0.25;8.5
o;14;35.5;Jeannin Jess;;16;53.75;14;35.5;0;0.0;8.5
+;19;44.0;Reichenbach Ryan;;21;52.5;19;44.0;0;0.0;10.0

15e;Perret Loïc;;;;;;;;;;54.0
+;;;Pürro Tobias;;;;;;;;9.75
o;2;9.75;Dousse Michel;**;7;56.0;4;8.75;2;-1.0;8.5
o;6;18.25;Wieland Timon;;10;55.25;5;18.5;-1;0.25;8.5
+;9;26.75;Röthlisberger Sven;;15;54.0;8;27.0;-1;0.25;9.75
o;10;36.5;Guisolan Marc;**;8;55.75;12;36.0;2;-0.5;8.5
-;15;45.0;Nicolet Bastien (2004);;15;54.0;15;45.0;0;0.0;9.0

15f;Mermillod Jérôme (2004);;;;;;;;;;54.0
-;;;Wieland Micha;;;;;;;;8.75
+;4;8.75;Verdon Simon (2005);;26;34.0;5;8.5;1;-0.25;9.75
o;5;18.5;Ducrest Etienne;*;2;57.25;6;18.25;1;-0.25;8.5
+;8;27.0;Fuchs Sylvain (2005);;11;55.0;8;27.0;0;0.0;10.0
o;8;37.0;Wiget Adrian (2004);;10;55.25;9;36.75;1;-0.25;8.5
o;13;45.5;Wieland Janis;*;9;55.5;13;45.5;0;0.0;8.5

15g;Theiler Nils (2004);;;;;;;;;;54.0
+;;;Reichenbach Ryan;;;;;;;;10.0
o;1;10.0;Gottofrey Marc;**;5;56.5;4;8.75;3;-1.25;8.5
o;5;18.5;Wieland Janis;*;9;55.5;5;18.5;0;0.0;8.5
+;8;27.0;Girard Simon (2004);;17;53.5;9;26.75;1;-0.25;10.0
o;8;37.0;Balimann Fabian;;5;56.5;9;36.75;1;-0.25;8.5
o;13;45.5;Monney Branighan;;9;55.5;13;45.5;0;0.0;8.5
o;15;54.0;Fankhauser Hans;*;10;55.25;10;55.25;-5;1.25;0.0

15h;Nicolet Bastien (2004);;;;;;;;;;54.0
-;;;Berger Dilan;;;;;;;;9.0
o;3;9.0;Bärtschi Yves;;25;35.75;5;8.5;2;-0.5;8.5
-;7;17.5;Steiner Pirmin;;20;52.75;6;18.25;-1;0.75;9.0
-;10;26.5;Jeannin Jess;;16;53.75;9;26.75;-1;0.25;8.75
+;15;35.25;Fèvre Antoine;;17;53.5;15;35.25;0;0.0;9.75
-;15;45.0;Perret Loïc;;15;54.0;15;45.0;0;0.0;9.0

15i;Germanier Joel;;;;;;;;;;54.0
o;;;Bapst Ludovic;;;;;;;;8.75
+;4;8.75;Glauser Matis (2005);;21;52.5;5;8.5;1;-0.25;9.75
o;5;18.5;Hayoz Quentin;*;12;54.75;7;17.5;2;-1.0;8.5
-;8;27.0;Tornare Philippe (2004);;14;54.25;7;27.25;-1;0.25;8.75
+;13;35.75;Palley Louis;;18;53.25;12;36.0;-1;0.25;9.75
o;13;45.5;Guisolan Marc;**;8;55.75;12;45.75;-1;0.25;8.5

16a;Rey Arnaud;;;;;;;;;;53.75
o;;;Erb Vincent;;;;;;;;8.5
o;5;8.5;Berger Alan;;16;53.75;5;8.5;0;0.0;8.5
+;9;17.0;Glauser Matis (2005);;21;52.5;9;17.0;0;0.0;10.0
o;8;27.0;Sonnay Thomas;**;14;54.25;12;26.0;4;-1.0;8.5
+;14;35.5;Lengen Michael (2005);;15;54.0;14;35.5;0;0.0;9.75
o;14;45.25;Wieland Timon;;10;55.25;14;45.25;0;0.0;8.5

16b;Jeannin Jess;;;;;;;;;;53.75
o;;;Monney Branighan;;;;;;;;8.5
+;5;8.5;Deschenaux Martin (2004);;17;53.5;4;8.75;-1;0.25;9.75
o;6;18.25;Gnägi Damian;*;13;54.5;8;17.25;2;-1.0;8.5
-;9;26.75;Nicolet Bastien (2004);;15;54.0;10;26.5;1;-0.25;8.75
+;14;35.5;Cottier Marco;;15;54.0;14;35.5;0;0.0;9.75
o;14;45.25;Chofflon Anthony;;11;55.0;14;45.25;0;0.0;8.5

16c;Berger Alan;;;;;;;;;;53.75
o;;;Zbinden Samuel;;;;;;;;8.5
+;5;8.5;Rey Arnaud;;16;53.75;5;8.5;0;0.0;9.75
o;6;18.25;Wiget Adrian (2004);;10;55.25;6;18.25;0;0.0;8.5
-;9;26.75;Jacquaz Fabien (2006);;11;55.0;9;26.75;0;0.0;8.75
o;14;35.5;Burri Flemming;;16;53.75;14;35.5;0;0.0;8.5
+;19;44.0;Messerli Niklaus;;21;52.5;19;44.0;0;0.0;9.75

16d;Burri Flemming;;;;;;;;;;53.75
o;;;Lengen Michael (2005);;;;;;;;8.5
o;5;8.5;Palley Louis;;18;53.25;4;8.75;-1;0.25;8.5
+;9;17.0;Imstepf Sandro;;21;52.5;9;17.0;0;0.0;10.0
o;8;27.0;Portmann Fabio;*;11;55.0;9;26.75;1;-0.25;8.5
+;14;35.5;Berger Alan;;16;53.75;14;35.5;0;0.0;9.75
o;14;45.25;Collaud Bastien (2005);;10;55.25;14;45.25;0;0.0;8.5

16e;Zbinden Samuel;;;;;;;;;;53.75
+;;;Berger Alan;;;;;;;;10.0
o;1;10.0;Dufey Gil;*;8;55.75;5;8.5;4;-1.5;8.5
o;5;18.5;Clément Aurélien;;10;55.25;6;18.25;1;-0.25;8.5
+;8;27.0;Von Niederhäusern Marcel;;18;53.25;12;26.0;4;-1.0;9.75
o;9;36.75;Crettaz Olivier;*;9;55.5;13;35.75;4;-1.0;8.5
o;14;45.25;Jacquaz Fabien (2006);;11;55.0;14;45.25;0;0.0;8.5

17a;Berger Dilan;;;;;;;;;;53.5
-;;;Nicolet Bastien (2004);;;;;;;;9.0
o;3;9.0;Balimann Fabian;;5;56.5;5;8.5;2;-0.5;8.5
-;7;17.5;Vaucher Rémy;;19;53.0;8;17.25;1;-0.25;8.75
-;11;26.25;Deschenaux Martin (2004);;17;53.5;12;26.0;1;-0.25;8.75
-;16;35.0;Von Niederhäusern Marcel;;18;53.25;18;34.5;2;-0.5;8.75
+;20;43.75;Steiner Pirmin;;20;52.75;18;44.25;-2;0.5;9.75

17b;Fèvre Antoine;;;;;;;;;;53.5
o;;;Loup Grégoire;;;;;;;;8.5
+;5;8.5;Losey Nolan (2006);;29;17.0;5;8.5;0;0.0;9.75
o;6;18.25;Cressier Gaetan;;17;53.5;6;18.25;0;0.0;8.5
o;9;26.75;Bucher Adrian (2004);;10;55.25;9;26.75;0;0.0;8.5
o;15;35.25;Nicolet Bastien (2004);;15;54.0;15;35.25;0;0.0;8.5
+;20;43.75;Pürro Tobias;;22;51.25;22;42.75;2;-1.0;9.75
o;17;53.5;Von Niederhäusern Marcel;;18;53.25;18;53.25;1;-0.25;0.0

17c;Deschenaux Martin (2004);;;;;;;;;;53.5
-;;;Palley Louis;;;;;;;;8.75
o;4;8.75;Jeannin Jess;;16;53.75;5;8.5;1;-0.25;8.5
-;8;17.25;Tissot Joffrey (2006);;19;53.0;8;17.25;0;0.0;8.75
-;12;26.0;Berger Dilan;;17;53.5;11;26.25;-1;0.25;8.75
+;17;34.75;Pürro Tobias;;22;51.25;19;34.25;2;-0.5;10.0
-;16;44.75;Erb Vincent;;18;53.25;17;44.5;1;-0.25;8.75

17d;Moos Loïc;;;;;;;;;;53.5
o;;;Tornare Philippe (2004);;;;;;;;8.5
+;5;8.5;Pürro Tobias;;22;51.25;5;8.5;0;0.0;9.75
o;6;18.25;Portmann Fabio;*;11;55.0;9;17.0;3;-1.25;8.5
o;9;26.75;Chofflon Anthony;;11;55.0;8;27.0;-1;0.25;8.5
o;15;35.25;Girard Simon (2004);;17;53.5;15;35.25;0;0.0;8.5
+;20;43.75;Jost Colin (2004);;23;51.0;23;42.5;3;-1.25;9.75

17e;Girard Simon (2004);;;;;;;;;;53.5
+;;;Jost Colin (2004);;;;;;;;9.75
o;2;9.75;Berger Sascha;;14;54.25;4;8.75;2;-1.0;8.5
o;6;18.25;Fuchs Yannick;;8;55.75;6;18.25;0;0.0;8.5
o;9;26.75;Theiler Nils (2004);;15;54.0;8;27.0;-1;0.25;8.5
+;15;35.25;Moos Loïc;;17;53.5;15;35.25;0;0.0;9.75
o;15;45.0;Sonnay Thomas;**;14;54.25;18;44.25;3;-0.75;8.5

17f;Cressier Gaetan;;;;;;;;;;53.5
+;;;Messerli Niklaus;;;;;;;;9.75
o;2;9.75;Hayoz Paul;*;10;55.25;5;8.5;3;-1.25;8.5
+;6;18.25;Fèvre Antoine;;17;53.5;6;18.25;0;0.0;9.75
o;5;28.0;Dufey Gil;*;8;55.75;7;27.25;2;-0.75;8.5
o;10;36.5;Aeschbacher Ivo;;14;54.25;12;36.0;2;-0.5;8.5
o;15;45.0;Wenger Marco;;11;55.0;15;45.0;0;0.0;8.5

18a;Von Niederhäusern Marcel;;;;;;;;;;53.25
-;;;Berger Sascha;;;;;;;;8.75
-;4;8.75;Schwab Livio (2005);;15;54.0;5;8.5;1;-0.25;8.75
o;7;17.5;Wenger Marco;;11;55.0;6;18.25;-1;0.75;8.5
o;12;26.0;Zbinden Samuel;;16;53.75;8;27.0;-4;1.0;8.5
-;18;34.5;Berger Dilan;;17;53.5;16;35.0;-2;0.5;8.75
+;21;43.25;Fèvre Antoine;;17;53.5;20;43.75;-1;0.5;10.0

18b;Erb Vincent;;;;;;;;;;53.25
+;;;Rey Arnaud;;;;;;;;10.0
o;1;10.0;Hofer Sven;**;3;57.0;4;8.75;3;-1.25;8.5
o;5;18.5;Buchs Noah (2004);;10;55.25;5;18.5;0;0.0;8.5
-;8;27.0;Aeschbacher Ivo;;14;54.25;7;27.25;-1;0.25;8.75
-;13;35.75;Vonlanthen Alexandre;;13;54.5;13;35.75;0;0.0;8.75
-;17;44.5;Deschenaux Martin (2004);;17;53.5;16;44.75;-1;0.25;8.75

18c;Palley Louis;;;;;;;;;;53.25
-;;;Deschenaux Martin (2004);;;;;;;;8.75
+;4;8.75;Burri Flemming;;16;53.75;5;8.5;1;-0.25;10.0
o;4;18.75;Barras André;*;5;56.5;6;18.25;2;-0.5;8.5
-;7;27.25;Bärtschi Yves;;25;35.75;8;27.0;1;-0.25;8.75
o;12;36.0;Germanier Joel;;15;54.0;13;35.75;1;-0.25;8.5
-;17;44.5;Tissot Joffrey (2006);;19;53.0;18;44.25;1;-0.25;8.75

19a;Tissot Joffrey (2006);;;;;;;;;;53.0
o;;;Clément Aurélien;;;;;;;;8.5
-;5;8.5;Vaucher Rémy;;19;53.0;5;8.5;0;0.0;8.75
-;8;17.25;Deschenaux Martin (2004);;17;53.5;8;17.25;0;0.0;8.75
+;12;26.0;Pürro Tobias;;22;51.25;13;25.75;1;-0.25;9.75
o;13;35.75;Pürro David;*;13;54.5;13;35.75;0;0.0;8.5
-;18;44.25;Palley Louis;;18;53.25;17;44.5;-1;0.25;8.75

19b;Vaucher Rémy;;;;;;;;;;53.0
o;;;Fuchs Sylvain (2005);;;;;;;;8.5
-;5;8.5;Tissot Joffrey (2006);;19;53.0;5;8.5;0;0.0;8.75
-;8;17.25;Berger Dilan;;17;53.5;7;17.5;-1;0.25;8.75
-;12;26.0;Isoz Bertrand;;21;52.5;9;26.75;-3;0.75;8.75
+;17;34.75;Steiner Pirmin;;20;52.75;13;35.75;-4;1.0;9.75
o;17;44.5;Elmiger Silvan (2004);;14;54.25;18;44.25;1;-0.25;8.5

20a;Steiner Pirmin;;;;;;;;;;52.75
o;;;Collaud Bastien (2005);;;;;;;;8.5
+;5;8.5;Losey Nolan (2006);;29;17.0;5;8.5;0;0.0;9.75
-;6;18.25;Nicolet Bastien (2004);;15;54.0;7;17.5;1;-0.75;9.0
o;7;27.25;Dubey Gaël;*;14;54.25;8;27.0;1;-0.25;8.5
o;13;35.75;Vaucher Rémy;;19;53.0;17;34.75;4;-1.0;8.5
o;18;44.25;Berger Dilan;;17;53.5;20;43.75;2;-0.5;8.5

21a;Reichenbach Ryan;;;;;;;;;;52.5
o;;;Theiler Nils (2004);;;;;;;;8.5
o;5;8.5;Fankhauser Tom (2006);;14;54.25;5;8.5;0;0.0;8.5
o;9;17.0;Schwab Livio (2005);;15;54.0;8;17.25;-1;0.25;8.5
+;14;25.5;Jost Colin (2004);;23;51.0;14;25.5;0;0.0;10.0
o;14;35.5;Jacquaz Fabien (2006);;11;55.0;14;35.5;0;0.0;8.5
o;19;44.0;Cottier Marco;;15;54.0;19;44.0;0;0.0;8.5

21b;Isoz Bertrand;;;;;;;;;;52.5
o;;;Röthlisberger Sven;;;;;;;;8.5
+;5;8.5;Jost Colin (2004);;23;51.0;5;8.5;0;0.0;9.75
o;6;18.25;Pürro David;*;13;54.5;8;17.25;2;-1.0;8.5
-;9;26.75;Vaucher Rémy;;19;53.0;12;26.0;3;-0.75;8.75
o;14;35.5;Schwab Livio (2005);;15;54.0;14;35.5;0;0.0;8.5
o;19;44.0;Tornare Philippe (2004);;14;54.25;17;44.5;-2;0.5;8.5

21c;Glauser Matis (2005);;;;;;;;;;52.5
o;;;Chofflon Anthony;;;;;;;;8.5
o;5;8.5;Germanier Joel;;15;54.0;4;8.75;-1;0.25;8.5
o;9;17.0;Rey Arnaud;;16;53.75;9;17.0;0;0.0;8.5
o;14;25.5;Imstepf Sandro;;21;52.5;14;25.5;0;0.0;8.5
+;20;34.0;Jost Colin (2004);;23;51.0;20;34.0;0;0.0;10.0
o;19;44.0;Lengen Michael (2005);;15;54.0;19;44.0;0;0.0;8.5

21d;Messerli Niklaus;;;;;;;;;;52.5
o;;;Cressier Gaetan;;;;;;;;8.5
o;5;8.5;Bucher Adrian (2004);;10;55.25;5;8.5;0;0.0;8.5
+;9;17.0;Verdon Simon (2005);;26;34.0;9;17.0;0;0.0;10.0
o;8;27.0;Emonet Frédéric;**;10;55.25;9;26.75;1;-0.25;8.5
o;14;35.5;Fuchs Sylvain (2005);;11;55.0;14;35.5;0;0.0;8.5
o;19;44.0;Berger Alan;;16;53.75;19;44.0;0;0.0;8.5

21e;Imstepf Sandro;;;;;;;;;;52.5
o;;;Etter Hans-Eduard;;;;;;;;8.5
o;5;8.5;Jacquaz Fabien (2006);;11;55.0;5;8.5;0;0.0;8.5
o;9;17.0;Burri Flemming;;16;53.75;9;17.0;0;0.0;8.5
+;14;25.5;Glauser Matis (2005);;21;52.5;14;25.5;0;0.0;10.0
o;14;35.5;Röthlisberger Sven;;15;54.0;13;35.75;-1;0.25;8.5
o;19;44.0;Vonlanthen Alexandre;;13;54.5;17;44.5;-2;0.5;8.5

22a;Pürro Tobias;;;;;;;;;;51.25
o;;;Perret Loïc;;;;;;;;8.5
o;5;8.5;Moos Loïc;;17;53.5;5;8.5;0;0.0;8.5
-;9;17.0;Elmiger Silvan (2004);;14;54.25;9;17.0;0;0.0;8.75
o;13;25.75;Tissot Joffrey (2006);;19;53.0;12;26.0;-1;0.25;8.5
o;19;34.25;Deschenaux Martin (2004);;17;53.5;17;34.75;-2;0.5;8.5
o;22;42.75;Fèvre Antoine;;17;53.5;20;43.75;-2;1.0;8.5

23a;Jost Colin (2004);;;;;;;;;;51.0
o;;;Girard Simon (2004);;;;;;;;8.5
o;5;8.5;Isoz Bertrand;;21;52.5;5;8.5;0;0.0;8.5
o;9;17.0;Bucher Roman;;13;54.5;8;17.25;-1;0.25;8.5
o;14;25.5;Reichenbach Ryan;;21;52.5;14;25.5;0;0.0;8.5
o;20;34.0;Glauser Matis (2005);;21;52.5;20;34.0;0;0.0;8.5
o;23;42.5;Moos Loïc;;17;53.5;20;43.75;-3;1.25;8.5

24a;Gnägi Florian;***;;;;;;;;;48.5
-;;;Gapany Benjamin;***;;;;;;;8.75
+;4;8.75;Ducrest Etienne;*;2;57.25;2;9.75;-2;1.0;10.0
+;4;18.75;Collaud Romain;**;3;57.0;1;20.0;-3;1.25;9.75
+;3;28.5;Moser Steven;**;4;56.75;3;28.5;0;0.0;10.0
+;2;38.5;Hofer Sven;**;3;57.0;2;38.5;0;0.0;10.0

25a;Bärtschi Yves;;;;;;;;;;35.75
o;;;Wieland Timon;;;;;;;;8.5
+;5;8.5;Nicolet Bastien (2004);;15;54.0;3;9.0;-2;0.5;10.0
o;5;18.5;Grossenbacher Simon;*;5;56.5;6;18.25;1;-0.25;8.5
-;8;27.0;Palley Louis;;18;53.25;7;27.25;-1;0.25;8.75

