5628-2022-07-24_Fete_Cantonale_Fribourgeoise-ST

1a;Kramer Lario;***;;;;;;;;;59.5
o;3;28.5;Gnägi Florian;***;24;48.5;3;28.5;0;0.0;8.5
+;8;37.0;Dubey Gaël;*;14;54.25;8;37.0;0;0.0;10.0
+;7;47.0;Ducry Antoine;**;10;55.25;8;46.75;1;-0.25;9.75

5a;Siegenthaler Leo (2005);**;;;;;;;;;56.5
o;;;Collaud Romain;**;;;;;;;8.5
+;5;8.5;Fuchs Yannick;;8;55.75;2;9.75;-3;1.25;10.0
+;5;18.5;Loup Alexandre;*;13;54.5;5;18.5;0;0.0;9.75
o;4;28.25;Ducrest Etienne;*;2;57.25;4;28.25;0;0.0;8.5
+;9;36.75;Dufey Gil;*;8;55.75;7;37.25;-2;0.5;10.0
+;8;46.75;Clément Aurélien;;10;55.25;8;46.75;0;0.0;9.75

5b;Balimann Fabian;;;;;;;;;;56.5
o;;;Wiget Adrian (2004);;;;;;;;8.5
+;5;8.5;Berger Dilan;;17;53.5;3;9.0;-2;0.5;10.0
+;5;18.5;Sonnay Thomas;**;14;54.25;7;17.5;2;-1.0;9.75
o;4;28.25;Varone Luc;*;14;54.25;7;27.25;3;-1.0;8.5
+;9;36.75;Theiler Nils (2004);;15;54.0;8;37.0;-1;0.25;10.0
+;8;46.75;Sturny Nicolas;**;10;55.25;8;46.75;0;0.0;9.75

5c;Gottofrey Marc;**;;;;;;;;;56.5
-;;;Moser Steven;**;;;;;;;8.75
+;4;8.75;Theiler Nils (2004);;15;54.0;1;10.0;-3;1.25;9.75
+;5;18.5;Fankhauser Hans;*;10;55.25;4;18.75;-1;0.25;9.75
-;4;28.25;Barras André;*;5;56.5;5;28.0;1;-0.25;8.75
+;8;37.0;Pasquier Loïc;*;9;55.5;8;37.0;0;0.0;9.75
+;8;46.75;Buchs Noah (2004);;10;55.25;8;46.75;0;0.0;9.75

5d;Borcard Johann;**;;;;;;;;;56.5
-;;;Droxler Jonathan;**;;;;;;;8.75
+;4;8.75;Wieland Janis;*;9;55.5;1;10.0;-3;1.25;9.75
+;5;18.5;Wiget Adrian (2004);;10;55.25;6;18.25;1;-0.25;9.75
o;4;28.25;Hofer Sven;**;3;57.0;3;28.5;-1;0.25;8.5
+;9;36.75;Varone Luc;*;14;54.25;7;37.25;-2;0.5;10.0
+;8;46.75;Mollet Ivan;**;8;55.75;6;47.25;-2;0.5;9.75

5e;Grossenbacher Simon;*;;;;;;;;;56.5
+;;;Rogivue Théo;*;;;;;;;9.75
o;2;9.75;Burger Matthieu;**;4;56.75;5;8.5;3;-1.25;8.5
+;6;18.25;Bärtschi Yves;;25;35.75;5;18.5;-1;0.25;10.0
o;4;28.25;Sturny Nicolas;**;10;55.25;3;28.5;-1;0.25;8.5
+;9;36.75;Wieland Micha;;14;54.25;7;37.25;-2;0.5;9.75
+;9;46.5;Hayoz Quentin;*;12;54.75;11;46.0;2;-0.5;10.0

5f;Riedo Fredy;*;;;;;;;;;56.5
+;;;Dufey Gil;*;;;;;;;9.75
o;2;9.75;Gapany Benjamin;***;3;57.0;4;8.75;2;-1.0;8.5
+;6;18.25;Aeschbacher Ivo;;14;54.25;4;18.75;-2;0.5;10.0
+;4;28.25;Collaud Bastien (2005);;10;55.25;4;28.25;0;0.0;9.75
-;4;38.0;Haenni Stéphane;**;6;56.25;7;37.25;3;-0.75;8.75
+;8;46.75;Rogivue Théo;*;10;55.25;8;46.75;0;0.0;9.75

5g;Barras André;*;;;;;;;;;56.5
+;;;Pürro David;*;;;;;;;9.75
o;2;9.75;Matthey Mickaël;**;2;57.25;5;8.5;3;-1.25;8.5
+;6;18.25;Palley Louis;;18;53.25;4;18.75;-2;0.5;9.75
-;5;28.0;Gottofrey Marc;**;5;56.5;4;28.25;-1;0.25;8.75
+;9;36.75;Fuchs Yannick;;8;55.75;7;37.25;-2;0.5;9.75
+;9;46.5;Martin Gaël (2004);*;11;55.0;10;46.25;1;-0.25;10.0

