3386-2016-05-16_Glarner-Buendner_Kantonalschwingfest-ST

1a;Orlik Armon;**;;;;;;;;;58.75
+;;;Nötzli Reto;***;;;;;;;10.0
+;1;10.0;Glaus Martin;***;5;57.0;1;10.0;0;0.0;10.0
+;1;20.0;Fässler Andreas;**;7;56.5;2;19.75;1;-0.25;10.0
-;1;30.0;Forrer Arnold;***;4;57.25;2;29.75;1;-0.25;8.75
+;1;38.75;Giger Urs;*;7;56.5;3;38.25;2;-0.5;10.0
+;1;48.75;Forrer Arnold;***;4;57.25;2;48.5;1;-0.25;10.0

2a;Rychen Roger;**;;;;;;;;;58.0
-;;;Nötzli Bruno;***;;;;;;;9.0
+;3;9.0;Kunz Daniel;;26;44.0;1;10.0;-2;1.0;10.0
+;4;19.0;Reber Marcel;*;6;56.75;5;18.75;1;-0.25;10.0
-;3;29.0;Clopath Beat;***;8;56.25;5;28.5;2;-0.5;9.0
+;4;38.0;Brügger Stefan;*;10;55.75;3;38.25;-1;0.25;10.0
+;4;48.0;Nötzli Reto;***;10;55.75;6;47.25;2;-0.75;10.0

3a;Hersche Martin;**;;;;;;;;;57.5
-;;;Eugster Ruedi;**;;;;;;;9.0
+;3;9.0;Bäbler Dominik;*;11;55.5;4;8.75;1;-0.25;9.75
-;5;18.75;Nägeli Marco;*;4;57.25;5;18.75;0;0.0;9.0
+;8;27.75;Elmer Daniel;*;19;53.5;8;27.75;0;0.0;9.75
+;6;37.5;Landolt Reto;*;7;56.5;3;38.25;-3;0.75;10.0
+;5;47.5;Hasler Florian;**;11;55.5;7;47.0;2;-0.5;10.0

3b;Nötzli Bruno;***;;;;;;;;;57.5
-;;;Rychen Roger;**;;;;;;;9.0
+;3;9.0;Landolt Reto;*;7;56.5;1;10.0;-2;1.0;10.0
o;4;19.0;Forrer Arnold;***;4;57.25;1;20.0;-3;1.0;8.5
+;9;27.5;Kammermann Thomas;*;16;54.25;5;28.5;-4;1.0;10.0
+;6;37.5;Fuster Sepp;;16;54.25;7;37.25;1;-0.25;10.0
+;5;47.5;Schläpfer Markus;**;9;56.0;5;47.5;0;0.0;10.0

4a;Forrer Arnold;***;;;;;;;;;57.25
+;;;Imhof Andi;***;;;;;;;10.0
+;1;10.0;Nötzli Bruno;***;3;57.5;3;9.0;2;-1.0;10.0
+;1;20.0;Hochholdinger Roman;**;10;55.75;1;20.0;0;0.0;9.75
-;2;29.75;Orlik Armon;**;1;58.75;1;30.0;-1;0.25;8.75
+;2;38.5;Fässler Andreas;**;7;56.5;3;38.25;1;-0.25;10.0
o;2;48.5;Orlik Armon;**;1;58.75;1;48.75;-1;0.25;8.75

4b;Nägeli Marco;*;;;;;;;;;57.25
o;;;Giger Urs;*;;;;;;;8.75
+;4;8.75;Vollmeier Sandro;;18;53.75;2;9.75;-2;1.0;10.0
-;5;18.75;Hersche Martin;**;3;57.5;5;18.75;0;0.0;9.0
+;8;27.75;Hersche Daniel;;13;55.0;6;28.25;-2;0.5;9.75
+;6;37.5;Schmid Patrick;*;11;55.5;8;37.0;2;-0.5;10.0
+;5;47.5;Bernold Christian;*;8;56.25;5;47.5;0;0.0;9.75

