5221-2022-07-10_Appenzeller_Kantonalschwingfest-ST

1a;Zwyssig Raphael;***;;;;;;;;;58.75
-;;;Notz Beni;***;;;;;;;8.75
+;4;8.75;Schönenberger Tobias (2004);*;29;18.5;1;10.0;-3;1.25;10.0
+;5;18.75;Schlegel Reto;*;12;55.5;6;18.5;1;-0.25;10.0
+;4;28.75;Dumelin David;**;5;57.25;4;28.75;0;0.0;10.0
+;2;38.75;Elmer Daniel;*;7;56.75;3;38.5;1;-0.25;10.0
+;1;48.75;Ulmann Fabian;*;7;56.75;3;48.25;2;-0.5;10.0

2a;Koch Thomas;**;;;;;;;;;58.0
+;;;Steiner Michael;**;;;;;;;10.0
+;1;10.0;Hobi Ignaz;*;18;54.0;2;9.75;1;-0.25;10.0
o;1;20.0;Schneider Domenic;***;3;57.75;4;19.0;3;-1.0;8.5
+;5;28.5;Flück Bruno;;12;55.5;5;28.5;0;0.0;10.0
+;3;38.5;Pianta Christian;*;14;55.0;5;38.0;2;-0.5;9.75
+;3;48.25;Schläpfer Markus;**;6;57.0;2;48.5;-1;0.25;9.75

3a;Bless Michael;***;;;;;;;;;57.75
-;;;Schneider Domenic;***;;;;;;;9.0
+;3;9.0;Kolb Pirmin;*;7;56.75;2;9.75;-1;0.75;10.0
+;4;19.0;Leuppi Karim;*;6;57.0;5;18.75;1;-0.25;10.0
+;3;29.0;Signer Andy;**;13;55.25;4;28.75;1;-0.25;10.0
+;1;39.0;Kobler Janosch;*;9;56.25;3;38.5;2;-0.5;9.75
-;1;48.75;Schneider Domenic;***;3;57.75;1;48.75;0;0.0;9.0

3b;Schneider Domenic;***;;;;;;;;;57.75
-;;;Bless Michael;***;;;;;;;9.0
+;3;9.0;Fejzaj Naim;**;6;57.0;1;10.0;-2;1.0;10.0
+;4;19.0;Koch Thomas;**;2;58.0;1;20.0;-3;1.0;10.0
+;3;29.0;Wittenwiler Roman;**;4;57.5;1;30.0;-2;1.0;10.0
+;1;39.0;Koch Reto;**;5;57.25;2;38.75;1;-0.25;9.75
-;1;48.75;Bless Michael;***;3;57.75;1;48.75;0;0.0;9.0

4a;Hersche Martin;***;;;;;;;;;57.5
-;;;Forrer Arnold;***;;;;;;;9.0
+;3;9.0;Ulmann Fabian;*;7;56.75;1;10.0;-2;1.0;10.0
-;4;19.0;Joos Enrico;*;10;56.0;5;18.75;1;-0.25;8.75
+;8;27.75;Mettler Valentin;*;12;55.5;5;28.5;-3;0.75;10.0
+;6;37.75;Hugelshofer Lars;*;11;55.75;3;38.5;-3;0.75;10.0
+;5;47.75;Lanter Christian;*;10;56.0;6;47.5;1;-0.25;9.75

4b;Schmid Dominik;**;;;;;;;;;57.5
+;;;Bickel Roman;*;;;;;;;10.0
+;1;10.0;Bollhalder Manuel;*;12;55.5;2;9.75;1;-0.25;10.0
o;1;20.0;Forrer Arnold;***;5;57.25;4;19.0;3;-1.0;8.5
+;5;28.5;Kurmann Patrick;*;6;57.0;5;28.5;0;0.0;10.0
-;3;38.5;Bernold Christian;**;6;57.0;4;38.25;1;-0.25;9.0
+;6;47.5;Kiener Raphael;;11;55.75;7;47.25;1;-0.25;10.0

4c;Wittenwiler Roman;**;;;;;;;;;57.5
+;;;Bernold Christian;**;;;;;;;10.0
+;1;10.0;Biäsch Christian;*;6;57.0;1;10.0;0;0.0;10.0
+;1;20.0;Fuster Sepp;*;7;56.75;1;20.0;0;0.0;10.0
o;1;30.0;Schneider Domenic;***;3;57.75;3;29.0;2;-1.0;8.5
+;3;38.5;Hug Jan;;9;56.25;6;37.75;3;-0.75;10.0
-;2;48.5;Bühler Hannes;*;7;56.75;4;48.0;2;-0.5;9.0

4d;Dörig Erich;*;;;;;;;;;57.5
-;;;Keller Manuel;*;;;;;;;8.75
-;4;8.75;Kundert Elias (2005);*;16;54.5;4;8.75;0;0.0;9.0
+;8;17.75;Müller Jano (2005);;12;55.5;6;18.5;-2;0.75;10.0
