3685-2019-08-04_112_Nordwestschweizerisches_Schwingfest-ST

1a;Schmid David;***;;;;;;;;;58.5
-;5;18.75;Gerber Andrj;*;12;55.0;6;18.5;1;-0.25;9.0
o;6;27.75;Brand Christian;**;9;55.75;13;26.0;7;-1.75;8.5
+;11;36.25;Lazic Marco;;25;44.25;13;35.75;2;-0.5;10.0
o;9;46.25;Brun Samuel;**;11;55.25;12;45.5;3;-0.75;8.5

13d;Schwenkfelder Lukas;*;;;;;;;;;54.75
-;;;Scherrer Johann;**;;;;;;;8.75
-;3;8.75;Stark Urban;;13;54.75;2;9.75;-1;1.0;8.75
+;9;17.5;Späti Jan (2002);;26;36.25;5;18.75;-4;1.25;10.0
-;7;27.5;Brun Samuel;**;11;55.25;4;28.25;-3;0.75;8.75
+;11;36.25;Schwob Marco;;20;52.75;13;35.75;2;-0.5;10.0
o;9;46.25;Stalder Remo;***;5;56.75;7;46.75;-2;0.5;8.5

13e;Stegmüller Klemens;*;;;;;;;;;54.75
-;;;Jusufi Azret;;;;;;;;8.75
o;3;8.75;Klausner Yanick;**;12;55.0;2;9.75;-1;1.0;8.5
+;10;17.25;Meier Lian (2002);;28;35.5;6;18.5;-4;1.25;10.0
+;8;27.25;Bieri Florian (2001);;28;35.5;9;27.0;1;-0.25;10.0
o;7;37.25;Räbmatter Patrick;***;3;57.25;7;37.25;0;0.0;8.5
-;11;45.75;Steinmann Yves;*;14;54.5;12;45.5;1;-0.25;9.0

13f;Stark Urban;;;;;;;;;;54.75
+;;;Reimann Marco;;;;;;;;9.75
-;2;9.75;Schwenkfelder Lukas;*;13;54.75;3;8.75;1;-1.0;9.0
o;5;18.75;Arnold Kornel;*;17;53.75;10;17.25;5;-1.5;8.5
o;8;27.25;Vogel Remo (2001);*;15;54.25;9;27.0;1;-0.25;8.75
+;12;36.0;Jehle Lorenz (2003);;20;52.75;13;35.75;1;-0.25;10.0
o;10;46.0;Haenni Stéphane;**;9;55.75;11;45.75;1;-0.25;8.75

14a;Scherrer Johann;**;;;;;;;;;54.5
-;;;Schwenkfelder Lukas;*;;;;;;;8.75
-;3;8.75;Döbeli Lukas;**;5;56.75;2;9.75;-1;1.0;8.75
+;9;17.5;Abt Robin;;27;35.75;5;18.75;-4;1.25;9.75
+;8;27.25;Müller Jan;;28;35.5;9;27.0;1;-0.25;10.0
-;7;37.25;Leuthard Reto;**;8;56.0;7;37.25;0;0.0;8.75
o;10;46.0;Schmid Samuel;**;9;55.75;10;46.0;0;0.0;8.5

14b;Wüthrich Jonas (2003);;;;;;;;;;54.5
+;;;Senn Marco;;;;;;;;10.0
o;1;10.0;Bader Andreas;**;10;55.5;3;8.75;2;-1.25;8.5
o;6;18.5;Studer Remo;*;10;55.5;6;18.5;0;0.0;8.5
+;9;27.0;Rickenbacher Cedric (2002);;28;35.5;9;27.0;0;0.0;10.0
o;8;37.0;Haenni Stéphane;**;9;55.75;13;35.75;5;-1.25;8.5
-;12;45.5;Meyer Markus;;13;54.75;11;45.75;-1;0.25;9.0

14c;Graber Colin;;;;;;;;;;54.5
+;;;Bieli Andreas;;;;;;;;9.75
-;2;9.75;von Arx Christian;*;40;17.5;4;8.5;2;-1.25;8.75
o;6;18.5;Schmutz Simon;*;15;54.25;7;18.25;1;-0.25;8.5
-;9;27.0;Späti Jan (2002);;26;36.25;8;27.25;-1;0.25;9.0
+;12;36.0;Stoll Thomas;;15;54.25;12;36.0;0;0.0;10.0
o;10;46.0;Brand Christian;**;9;55.75;11;45.75;1;-0.25;8.5

14d;Steinmann Yves;*;;;;;;;;;54.5
+;;;Lisser Beat;*;;;;;;;10.0
o;1;10.0;Stalder Remo;***;5;56.75;3;8.75;2;-1.25;8.5
o;6;18.5;Nussbaumer Gabriel;;11;55.25;6;18.5;0;0.0;8.5
+;9;27.0;Nussbaumer Dominik;;15;54.25;8;27.25;-1;0.25;10.0
o;8;37.0;Hauri Urs;**;4;57.0;7;37.25;-1;0.25;8.5
-;12;45.5;Stegmüller Klemens;*;13;54.75;11;45.75;-1;0.25;9.0

14e;Bearda Samuel;**;;;;;;;;;54.5
-;;;Henzer Andreas;**;;;;;;;8.75
o;3;8.75;Kropf Marcel;**;10;55.5;4;8.5;1;-0.25;8.5
-;10;17.25;Gisin Yanic;;19;53.0;6;18.5;-4;1.25;8.75
+;13;26.0;Vogt Marco (2003);;20;52.75;8;27.25;-5;1.25;10.0
o;12;36.0;Brügger Joël;;10;55.5;8;37.0;-4;1.0;8.5
+;16;44.5;Schick Janis (2003);;20;52.75;17;44.25;1;-0.25;10.0

14f;Gottofrey Marc;**;;;;;;;;;54.5
-;;;Stalder Remo;***;;;;;;;8.75
-;3;8.75;Odermatt Adrian (2001);*;11;55.25;2;9.75;-1;1.0;9.0
-;8;17.75;Schwegler Dominik;;24;44.75;5;18.75;-3;1.0;9.0
+;10;26.75;Kehr Damian (2001);;12;55.0;4;28.25;-6;1.5;10.0
-;9;36.75;Voggensperger Lars (2001);*;10;55.5;8;37.0;-1;0.25;8.75
-;12;45.5;Reinhard Pirmin (2001);;21;46.25;9;46.25;-3;0.75;9.0

14g;Bader Thomas (2002);;;;;;;;;;54.5
+;;;Schuler Jan (2001);;;;;;;;10.0
+;1;10.0;Arnold Kornel;*;17;53.75;3;8.75;2;-1.25;10.0
o;1;20.0;Schmid Samuel;**;9;55.75;6;18.5;5;-1.5;8.5
o;3;28.5;Studinger Stephan;**;4;57.0;4;28.25;1;-0.25;8.5
o;8;37.0;Nussbaumer Gabriel;;11;55.25;8;37.0;0;0.0;8.5
-;12;45.5;Graf Gian (2003);;15;54.25;13;45.25;1;-0.25;9.0

14h;Fricker Ivo;;;;;;;;;;54.5
+;;;Schick Janis (2003);;;;;;;;9.75
-;2;9.75;Gisin Yanic;;19;53.0;2;9.75;0;0.0;8.75
-;6;18.5;Brand Christian;**;9;55.75;10;17.25;4;-1.25;8.75
-;8;27.25;Stoll Thomas;;15;54.25;8;27.25;0;0.0;8.75
+;12;36.0;Steger Robert;;15;54.25;12;36.0;0;0.0;9.75
-;11;45.75;Krebs Clemens;*;18;53.5;15;44.75;4;-1.0;8.75

14i;Streich Sascha (2001);;;;;;;;;;54.5
+;;;Müller Simon;;;;;;;;10.0
-;1;10.0;Widmer David;**;12;55.0;4;8.5;3;-1.5;8.75
+;5;18.75;Mangold Martin;*;11;55.25;6;18.5;1;-0.25;10.0
o;2;28.75;Klausner Yanick;**;12;55.0;5;28.0;3;-0.75;8.5
-;7;37.25;Järmann Florian (2002);;18;53.5;11;36.25;4;-1.0;8.75
o;10;46.0;Leuthard Reto;**;8;56.0;10;46.0;0;0.0;8.5

15a;Burren Patrick;*;;;;;;;;;54.25
-;;;Gerber Andrj;*;;;;;;;8.75
+;3;8.75;Brügger Joël;;10;55.5;1;10.0;-2;1.25;9.75
o;6;18.5;Stüdeli Thomas;**;11;55.25;7;18.25;1;-0.25;8.5
+;9;27.0;Abt Robin;;27;35.75;8;27.25;-1;0.25;10.0
o;8;37.0;Voggensperger Janic;**;10;55.5;7;37.25;-1;0.25;8.5
-;12;45.5;Schmutz Simon;*;15;54.25;12;45.5;0;0.0;8.75

15b;Büttler Gian;;;;;;;;;;54.25
+;;;Graf Gian (2003);;;;;;;;10.0
+;1;10.0;Mangold Michael;**;38;18.75;1;10.0;0;0.0;10.0
o;1;20.0;Brun Samuel;**;11;55.25;6;18.5;5;-1.5;8.75
o;2;28.75;Voggensperger Lars (2001);*;10;55.5;8;27.25;6;-1.5;8.5
o;7;37.25;Waldner Patrick;**;10;55.5;13;35.75;6;-1.5;8.5
o;11;45.75;Kehr Damian (2001);;12;55.0;13;45.25;2;-0.5;8.5

15c;Loosli Adrian;;;;;;;;;;54.25
-;;;Vogt Fredy (2001);;;;;;;;8.75
+;3;8.75;Huber Fabian;;41;17.0;4;8.5;1;-0.25;10.0
o;5;18.75;Krebs Clemens;*;18;53.5;10;17.25;5;-1.5;8.5
o;8;27.25;Bruder Adrian;*;9;55.75;8;27.25;0;0.0;8.5
+;13;35.75;Sempach Beat;;20;52.75;13;35.75;0;0.0;10.0
o;11;45.75;Probst Gabriel;**;23;45.75;11;45.75;0;0.0;8.5

15d;Leuthard Mario;;;;;;;;;;54.25
o;;;Schmutz Simon;*;;;;;;;8.5
o;4;8.5;Rohrbach Jérôme;;15;54.25;1;10.0;-3;1.5;8.5
+;11;17.0;Kramer Lukas (2001);;32;34.5;11;17.0;0;0.0;10.0
-;9;27.0;Meyer Lukas (2001);;16;54.0;9;27.0;0;0.0;8.75
-;13;35.75;Nussbaumer Dominik;;15;54.25;13;35.75;0;0.0;8.75
+;16;44.5;Schwob Marco;;20;52.75;17;44.25;1;-0.25;9.75

15e;Rohrbach Jérôme;;;;;;;;;;54.25
+;;;Suter Jonas (2003);;;;;;;;10.0
+;1;10.0;Leuthard Mario;;15;54.25;4;8.5;3;-1.5;10.0
o;1;20.0;Döbeli Lukas;**;5;56.75;6;18.5;5;-1.5;8.5
o;3;28.5;Vieira Tiago;**;3;57.25;3;28.5;0;0.0;8.5
o;8;37.0;Gobeli Patrick;**;5;56.75;9;36.75;1;-0.25;8.5
o;12;45.5;Hitz Florian;;12;55.0;13;45.25;1;-0.25;8.75

15f;Ris Jörn;*;;;;;;;;;54.25
-;;;Schär Jonas;;;;;;;;8.75
o;3;8.75;Hügli Kaj;**;5;56.75;3;8.75;0;0.0;8.5
+;10;17.25;Hermann Lukas (2002);;28;35.5;7;18.25;-3;1.0;10.0
o;8;27.25;Henzer Andreas;**;11;55.25;9;27.0;1;-0.25;8.5
+;13;35.75;Brugger Jonas;;17;53.75;9;36.75;-4;1.0;9.75
-;12;45.5;Vogel Remo (2001);*;15;54.25;12;45.5;0;0.0;8.75

15g;Stoll Thomas;;;;;;;;;;54.25
+;;;Märki Fabian (2001);;;;;;;;10.0
o;1;10.0;Schmid Samuel;**;9;55.75;3;8.75;2;-1.25;8.5
-;6;18.5;Reinhard Pirmin (2001);;21;46.25;6;18.5;0;0.0;8.75
-;8;27.25;Fricker Ivo;;14;54.5;8;27.25;0;0.0;8.75
o;12;36.0;Graber Colin;;14;54.5;12;36.0;0;0.0;8.5
+;16;44.5;Sempach Beat;;20;52.75;17;44.25;1;-0.25;9.75

15h;Schmutz Simon;*;;;;;;;;;54.25
+;;;Leuthard Mario;;;;;;;;9.75
o;2;9.75;Strebel Joel;**;5;56.75;4;8.5;2;-1.25;8.5
+;7;18.25;Graber Colin;;14;54.5;6;18.5;-1;0.25;9.75
o;5;28.0;Bieri Christoph;***;11;55.25;6;27.75;1;-0.25;8.5
-;10;36.5;Vogel Remo (2001);*;15;54.25;9;36.75;-1;0.25;9.0
-;12;45.5;Burren Patrick;*;15;54.25;12;45.5;0;0.0;8.75

15i;Dobler Florian;;;;;;;;;;54.25
+;;;Bieri Florian (2001);;;;;;;;9.75
-;2;9.75;Jusufi Azret;;36;26.25;3;8.75;1;-1.0;8.75
-;6;18.5;Kohler Adrian;*;10;55.5;7;18.25;1;-0.25;8.75
o;8;27.25;Brugger Jonas;;17;53.75;9;27.0;1;-0.25;8.5
+;13;35.75;Vogt Marco (2003);;20;52.75;13;35.75;0;0.0;9.75
-;12;45.5;Stadler Kevin (2002);*;18;53.5;15;44.75;3;-0.75;8.75

15j;Vogel Remo (2001);*;;;;;;;;;54.25
o;;;Kohler Adrian;*;;;;;;;8.5
-;4;8.5;Späti Jan (2002);;26;36.25;1;10.0;-3;1.5;8.75
+;10;17.25;Schick Janis (2003);;20;52.75;6;18.5;-4;1.25;9.75
+;9;27.0;Stark Urban;;13;54.75;8;27.25;-1;0.25;9.75
-;9;36.75;Schmutz Simon;*;15;54.25;10;36.5;1;-0.25;8.75
-;12;45.5;Ris Jörn;*;15;54.25;12;45.5;0;0.0;8.75

15k;Burren Dominik (2003);;;;;;;;;;54.25
o;;;Nussbaumer Gabriel;;;;;;;;8.5
-;4;8.5;Reimann Marco;;30;35.0;3;8.75;-1;0.25;9.0
+;9;17.5;Nyffenegger Florian (2001);;12;55.0;7;18.25;-2;0.75;9.75
o;8;27.25;Brand Christian;**;9;55.75;13;26.0;5;-1.25;8.5
o;13;35.75;Burkhardt Roy;;11;55.25;9;36.75;-4;1.0;8.5
+;17;44.25;Vogt Marco (2003);;20;52.75;17;44.25;0;0.0;10.0

15l;Nussbaumer Dominik;;;;;;;;;;54.25
-;;;Peterhans Alex;;;;;;;;8.75
o;3;8.75;Reinhard Pirmin (2001);;21;46.25;1;10.0;-2;1.25;8.5
+;10;17.25;Schwander Rafael (2001);;34;34.0;11;17.0;1;-0.25;10.0
o;8;27.25;Steinmann Yves;*;14;54.5;9;27.0;1;-0.25;8.5
-;13;35.75;Leuthard Mario;;15;54.25;13;35.75;0;0.0;8.75
+;16;44.5;Jehle Lorenz (2003);;20;52.75;17;44.25;1;-0.25;9.75

15m;Steger Robert;;;;;;;;;;54.25
o;;;Studer Remo;*;;;;;;;8.5
-;4;8.5;Abt Robin;;27;35.75;1;10.0;-3;1.5;8.75
-;10;17.25;Müller Simon;;28;35.5;7;18.25;-3;1.0;8.75
+;13;26.0;Lazic Serge;;34;34.0;15;25.5;2;-0.5;10.0
o;12;36.0;Fricker Ivo;;14;54.5;12;36.0;0;0.0;8.5
+;16;44.5;Gisin Yanic;;19;53.0;16;44.5;0;0.0;9.75

15n;Graf Gian (2003);;;;;;;;;;54.25
o;;;Büttler Gian;;;;;;;;8.5
+;4;8.5;Märki Fabian (2001);;28;35.5;4;8.5;0;0.0;10.0
o;6;18.5;Stadler Kevin (2002);*;18;53.5;10;17.25;4;-1.25;8.5
+;9;27.0;Hermann Lukas 1;;28;35.5;9;27.0;0;0.0;9.75
o;9;36.75;Kropf Marcel;**;10;55.5;8;37.0;-1;0.25;8.5
-;13;45.25;Bader Thomas (2002);;14;54.5;12;45.5;-1;0.25;9.0

16a;Furrer Mathias;;;;;;;;;;54.0
+;;;Huber Pascal;;;;;;;;9.75
o;2;9.75;Waldner Patrick;**;10;55.5;4;8.5;2;-1.25;8.5
o;7;18.25;Brügger Joël;;10;55.5;6;18.5;-1;0.25;8.5
+;10;26.75;Peterhans Alex;;32;34.5;13;26.0;3;-0.75;10.0
o;9;36.75;Schillig Willi;**;8;56.0;12;36.0;3;-0.75;8.5
o;13;45.25;Gerber Andrj;*;12;55.0;13;45.25;0;0.0;8.75

16b;Bachmann Sämi (2001);;;;;;;;;;54.0
+;;;Herrmann Daniel (2003);;;;;;;;10.0
+;1;10.0;Kramer Lukas (2001);;32;34.5;4;8.5;3;-1.5;9.75
o;2;19.75;Strebel Joel;**;5;56.75;6;18.5;4;-1.25;8.75
o;3;28.5;Odermatt Adrian (2001);*;11;55.25;8;27.25;5;-1.25;8.5
o;8;37.0;Mangold Martin;*;11;55.25;13;35.75;5;-1.25;8.5
o;12;45.5;Rüegger Aaron;*;22;46.0;10;46.0;-2;0.5;8.5

16c;Meyer Lukas (2001);;;;;;;;;;54.0
+;;;Müller Jan;;;;;;;;10.0
o;1;10.0;Kocher Remo;**;7;56.25;3;8.75;2;-1.25;8.5
o;6;18.5;Schmutz Adrian;*;10;55.5;6;18.5;0;0.0;8.5
-;9;27.0;Leuthard Mario;;15;54.25;9;27.0;0;0.0;8.75
+;13;35.75;Schick Janis (2003);;20;52.75;13;35.75;0;0.0;9.75
o;12;45.5;Waldner Patrick;**;10;55.5;12;45.5;0;0.0;8.5

17a;Arnold Kornel;*;;;;;;;;;53.75
-;;;Bader Andreas;**;;;;;;;8.75
o;3;8.75;Bader Thomas (2002);;14;54.5;1;10.0;-2;1.25;8.5
+;10;17.25;Stark Urban;;13;54.75;5;18.75;-5;1.5;9.75
+;9;27.0;Sempach Beat;;20;52.75;8;27.25;-1;0.25;9.75
o;9;36.75;Bruder Adrian;*;9;55.75;7;37.25;-2;0.5;8.5
o;13;45.25;Mangold Martin;*;11;55.25;12;45.5;-1;0.25;8.5

17b;Brugger Jonas;;;;;;;;;;53.75
+;;;Herrmann Adrian;;;;;;;;10.0
o;1;10.0;Stüdeli Thomas;**;11;55.25;4;8.5;3;-1.5;8.5
o;6;18.5;Hasler Luis (2002);;13;54.75;6;18.5;0;0.0;8.5
+;9;27.0;Dobler Florian;;15;54.25;8;27.25;-1;0.25;9.75
o;9;36.75;Ris Jörn;*;15;54.25;13;35.75;4;-1.0;8.5
o;13;45.25;Schmutz Adrian;*;10;55.5;12;45.5;-1;0.25;8.5

18a;Müller Christian;;;;;;;;;;53.5
+;;;Sempach Beat;;;;;;;;9.75
o;2;9.75;Burkhardt Roy;;11;55.25;2;9.75;0;0.0;8.5
o;7;18.25;Lisser Beat;*;35;26.75;11;17.0;4;-1.25;8.5
+;10;26.75;Suter Jonas (2003);;33;34.25;14;25.75;4;-1.0;9.75
o;10;36.5;Studer Remo;*;10;55.5;9;36.75;-1;0.25;8.5
o;14;45.0;Nyffenegger Florian (2001);;12;55.0;13;45.25;-1;0.25;8.5

18b;Stadler Kevin (2002);*;;;;;;;;;53.5
o;;;Odermatt Adrian (2001);*;;;;;;;8.5
-;4;8.5;Brand Christian;**;9;55.75;4;8.5;0;0.0;8.75
+;10;17.25;Graf Gian (2003);;15;54.25;6;18.5;-4;1.25;10.0
-;8;27.25;Gisin Yanic;;19;53.0;8;27.25;0;0.0;8.75
-;12;36.0;Gerber Andrj;*;12;55.0;10;36.5;-2;0.5;8.75
-;15;44.75;Dobler Florian;;15;54.25;12;45.5;-3;0.75;8.75

18c;Järmann Florian (2002);;;;;;;;;;53.5
-;;;Schwegler Dominik;;;;;;;;8.75
+;3;8.75;Lazic Marco;;25;44.25;3;8.75;0;0.0;10.0
o;5;18.75;Gerber Manuel;*;10;55.5;9;17.5;4;-1.25;8.5
-;8;27.25;Krebs Clemens;*;18;53.5;9;27.0;1;-0.25;9.0
-;11;36.25;Streich Sascha (2001);;14;54.5;7;37.25;-4;1.0;8.75
o;14;45.0;Bader Andreas;**;10;55.5;11;45.75;-3;0.75;8.5

18d;Krebs Clemens;*;;;;;;;;;53.5
-;;;Rüegger Aaron;*;;;;;;;8.75
o;3;8.75;Hermann Oliver;*;5;56.75;2;9.75;-1;1.0;8.5
+;10;17.25;Loosli Adrian;;15;54.25;5;18.75;-5;1.5;9.75
-;9;27.0;Järmann Florian (2002);;18;53.5;8;27.25;-1;0.25;9.0
-;12;36.0;Meyer Markus;;13;54.75;8;37.0;-4;1.0;8.75
-;15;44.75;Fricker Ivo;;14;54.5;11;45.75;-4;1.0;8.75

19a;Gisin Yanic;;;;;;;;;;53.0
+;;;Meier Lian (2002);;;;;;;;9.75
-;2;9.75;Fricker Ivo;;14;54.5;2;9.75;0;0.0;8.75
-;6;18.5;Bearda Samuel;**;14;54.5;10;17.25;4;-1.25;8.75
-;8;27.25;Stadler Kevin (2002);*;18;53.5;8;27.25;0;0.0;8.75
o;12;36.0;Widmer David;**;12;55.0;11;36.25;-1;0.25;8.5
o;16;44.5;Steger Robert;;15;54.25;16;44.5;0;0.0;8.5

20a;Jehle Lorenz (2003);;;;;;;;;;52.75
o;;;Hermann Lukas 1;;;;;;;;8.5
o;4;8.5;Schwegler Dominik;;24;44.75;3;8.75;-1;0.25;8.5
-;11;17.0;Büchi Christian;;32;34.5;10;17.25;-1;0.25;8.75
+;14;25.75;Schuler Jan (2001);;37;25.5;15;25.5;1;-0.25;10.0
o;13;35.75;Stark Urban;;13;54.75;12;36.0;-1;0.25;8.5
o;17;44.25;Nussbaumer Dominik;;15;54.25;16;44.5;-1;0.25;8.5

20b;Schick Janis (2003);;;;;;;;;;52.75
o;;;Fricker Ivo;;;;;;;;8.5
+;4;8.5;Senn Marco;;28;35.5;4;8.5;0;0.0;10.0
o;6;18.5;Vogel Remo (2001);*;15;54.25;10;17.25;4;-1.25;8.5
-;9;27.0;Hermann Lukas (2002);;28;35.5;10;26.75;1;-0.25;8.75
o;13;35.75;Meyer Lukas (2001);;16;54.0;13;35.75;0;0.0;8.5
o;17;44.25;Bearda Samuel;**;14;54.5;16;44.5;-1;0.25;8.5

20c;Vogt Marco (2003);;;;;;;;;;52.75
o;;;Kehr Damian (2001);;;;;;;;8.5
o;4;8.5;Meier Lian (2002);;28;35.5;4;8.5;0;0.0;8.75
+;10;17.25;Lazic Serge;;34;34.0;11;17.0;1;-0.25;10.0
o;8;27.25;Bearda Samuel;**;14;54.5;13;26.0;5;-1.25;8.5
o;13;35.75;Dobler Florian;;15;54.25;13;35.75;0;0.0;8.5
o;17;44.25;Burren Dominik (2003);;15;54.25;17;44.25;0;0.0;8.5

20d;Schwob Marco;;;;;;;;;;52.75
o;;;Hasler Luis (2002);;;;;;;;8.5
+;4;8.5;Schwander Rafael (2001);;34;34.0;4;8.5;0;0.0;10.0
-;6;18.5;Jusufi Azret;;36;26.25;9;17.5;3;-1.0;8.75
o;8;27.25;Kohler Adrian;*;10;55.5;9;27.0;1;-0.25;8.5
o;13;35.75;Schwenkfelder Lukas;*;13;54.75;11;36.25;-2;0.5;8.5
o;17;44.25;Leuthard Mario;;15;54.25;16;44.5;-1;0.25;8.5

20e;Sempach Beat;;;;;;;;;;52.75
o;;;Müller Christian;;;;;;;;8.5
-;4;8.5;Suter Jonas (2003);;33;34.25;4;8.5;0;0.0;8.75
+;10;17.25;Huber Pascal;;29;35.25;11;17.0;1;-0.25;10.0
o;8;27.25;Arnold Kornel;*;17;53.75;9;27.0;1;-0.25;8.5
o;13;35.75;Loosli Adrian;;15;54.25;13;35.75;0;0.0;8.5
o;17;44.25;Stoll Thomas;;15;54.25;16;44.5;-1;0.25;8.5

21a;Reinhard Pirmin (2001);;;;;;;;;;46.25
+;;;Nussbaumer Dominik;;;;;;;;10.0
o;1;10.0;Henzer Andreas;**;11;55.25;3;8.75;2;-1.25;8.5
-;6;18.5;Stoll Thomas;;15;54.25;6;18.5;0;0.0;8.75
+;8;27.25;Büchi Christian;;32;34.5;13;26.0;5;-1.25;10.0
-;7;37.25;Gottofrey Marc;**;14;54.5;9;36.75;2;-0.5;9.0

22a;Rüegger Aaron;*;;;;;;;;;46.0
-;;;Krebs Clemens;*;;;;;;;8.75
o;3;8.75;Schillig Willi;**;8;56.0;4;8.5;1;-0.25;8.5
+;10;17.25;Lazic Marco;;25;44.25;10;17.25;0;0.0;10.0
o;8;27.25;Odermatt Adrian (2001);*;11;55.25;8;27.25;0;0.0;8.75
+;12;36.0;Bachmann Sämi (2001);;16;54.0;8;37.0;-4;1.0;10.0

23a;Probst Gabriel;**;;;;;;;;;45.75
o;;;Studinger Stephan;**;;;;;;;8.5
+;4;8.5;Meyer Markus;;13;54.75;1;10.0;-3;1.5;10.0
o;6;18.5;Gobeli Patrick;**;5;56.75;8;17.75;2;-0.75;8.5
-;9;27.0;Hasler Luis (2002);;13;54.75;3;28.5;-6;1.5;9.0
+;12;36.0;Loosli Adrian;;15;54.25;13;35.75;1;-0.25;9.75

24a;Schwegler Dominik;;;;;;;;;;44.75
-;;;Järmann Florian (2002);;;;;;;;8.75
+;3;8.75;Jehle Lorenz (2003);;20;52.75;4;8.5;1;-0.25;10.0
-;5;18.75;Gottofrey Marc;**;14;54.5;8;17.75;3;-1.0;8.75
-;7;27.5;Waldner Patrick;**;10;55.5;10;26.75;3;-0.75;8.75
o;11;36.25;Schillig Willi;**;8;56.0;12;36.0;1;-0.25;8.5

25a;Lazic Marco;;;;;;;;;;44.25
o;;;Abt Robin;;;;;;;;8.75
o;3;8.75;Järmann Florian (2002);;18;53.5;3;8.75;0;0.0;8.5
+;10;17.25;Herrmann Daniel (2003);;34;34.0;11;17.0;1;-0.25;10.0
o;8;27.25;Rüegger Aaron;*;22;46.0;8;27.25;0;0.0;8.5
o;13;35.75;Schär Jonas;;13;54.75;11;36.25;-2;0.5;8.5

26a;Späti Jan (2002);;;;;;;;;;36.25
+;;;Schwander Rafael (2001);;;;;;;;10.0
-;1;10.0;Vogel Remo (2001);*;15;54.25;4;8.5;3;-1.5;8.75
o;5;18.75;Schwenkfelder Lukas;*;13;54.75;9;17.5;4;-1.25;8.5
-;8;27.25;Graber Colin;;14;54.5;9;27.0;1;-0.25;9.0

27a;Abt Robin;;;;;;;;;;35.75
+;;;Lazic Marco;;;;;;;;10.0
-;1;10.0;Steger Robert;;15;54.25;4;8.5;3;-1.5;8.75
o;5;18.75;Scherrer Johann;**;14;54.5;9;17.5;4;-1.25;8.5
o;8;27.25;Burren Patrick;*;15;54.25;9;27.0;1;-0.25;8.5

28a;Hermann Lukas 1;;;;;;;;;;35.5
+;;;Jehle Lorenz (2003);;;;;;;;10.0
o;1;10.0;Schär Jonas;;13;54.75;3;8.75;2;-1.25;8.5
o;6;18.5;Meyer Markus;;13;54.75;6;18.5;0;0.0;8.5
o;9;27.0;Graf Gian (2003);;15;54.25;9;27.0;0;0.0;8.5

28b;Hermann Lukas (2002);;;;;;;;;;35.5
o;;;Rickenbacher Cedric (2002);;;;;;;;8.5
+;4;8.5;Herrmann Daniel (2003);;34;34.0;4;8.5;0;0.0;9.75
o;7;18.25;Ris Jörn;*;15;54.25;10;17.25;3;-1.0;8.5
-;10;26.75;Schick Janis (2003);;20;52.75;9;27.0;-1;0.25;8.75

28c;Rickenbacher Cedric (2002);;;;;;;;;;35.5
+;;;Hermann Lukas (2002);;;;;;;;9.75
-;2;9.75;Müller Jan;;28;35.5;4;8.5;2;-1.25;8.75
o;6;18.5;Widmer David;**;12;55.0;9;17.5;3;-1.0;8.5
o;9;27.0;Wüthrich Jonas (2003);;14;54.5;9;27.0;0;0.0;8.5

28d;Müller Jan;;;;;;;;;;35.5
o;;;Meyer Lukas (2001);;;;;;;;8.5
-;4;8.5;Rickenbacher Cedric (2002);;28;35.5;2;9.75;-2;1.25;8.75
+;10;17.25;Suter Jonas (2003);;33;34.25;10;17.25;0;0.0;9.75
o;9;27.0;Scherrer Johann;**;14;54.5;8;27.25;-1;0.25;8.5

28e;Müller Simon;;;;;;;;;;35.5
o;;;Streich Sascha (2001);;;;;;;;8.5
+;4;8.5;Lazic Serge;;34;34.0;4;8.5;0;0.0;9.75
-;7;18.25;Steger Robert;;15;54.25;10;17.25;3;-1.0;8.75
o;9;27.0;Kocher Remo;**;7;56.25;7;27.5;-2;0.5;8.5

28f;Bieri Florian (2001);;;;;;;;;;35.5
o;;;Dobler Florian;;;;;;;;8.5
o;4;8.5;Grieder Nonda;;28;35.5;4;8.5;0;0.0;8.5
+;11;17.0;Peterhans Alex;;32;34.5;9;17.5;-2;0.5;10.0
o;9;27.0;Stegmüller Klemens;*;13;54.75;8;27.25;-1;0.25;8.5

28g;Senn Marco;;;;;;;;;;35.5
o;;;Wüthrich Jonas (2003);;;;;;;;8.5
o;4;8.5;Schick Janis (2003);;20;52.75;4;8.5;0;0.0;8.5
+;11;17.0;Schuler Jan (2001);;37;25.5;11;17.0;0;0.0;10.0
o;9;27.0;Bader Andreas;**;10;55.5;8;27.25;-1;0.25;8.5

28h;Märki Fabian (2001);;;;;;;;;;35.5
o;;;Stoll Thomas;;;;;;;;8.5
o;4;8.5;Graf Gian (2003);;15;54.25;4;8.5;0;0.0;8.5
-;11;17.0;Herrmann Adrian;;31;34.75;11;17.0;0;0.0;8.75
+;14;25.75;Herrmann Daniel (2003);;34;34.0;15;25.5;1;-0.25;9.75

28i;Meier Lian (2002);;;;;;;;;;35.5
o;;;Gisin Yanic;;;;;;;;8.5
+;4;8.5;Vogt Marco (2003);;20;52.75;4;8.5;0;0.0;10.0
o;6;18.5;Stegmüller Klemens;*;13;54.75;10;17.25;4;-1.25;8.5
o;9;27.0;Hitz Florian;;12;55.0;9;27.0;0;0.0;8.5

28j;Grieder Nonda;;;;;;;;;;35.5
