3685-2019-08-04_112_Nordwestschweizerisches_Schwingfest-ST

1a;Schmid David;***;;;;;;;;;58.5
o;1;20.0;Bieri Marcel;**;2;58.25;4;19.0;3;-1.0;8.5
+;3;28.5;Rohrbach Jérôme;;15;54.25;3;28.5;0;0.0;10.0
-;2;38.5;Notz Beni;***;4;57.0;3;38.25;1;-0.25;8.75
+;5;47.25;Stüdeli Thomas;**;11;55.25;7;46.75;2;-0.5;10.0

4a;Thürig Mario;***;;;;;;;;;57.0
-;;;Nötzli Reto;***;;;;;;;8.75
+;3;8.75;Bruder Adrian;*;9;55.75;1;10.0;-2;1.25;9.75
-;6;18.5;Voggensperger Lars (2001);*;10;55.5;6;18.5;0;0.0;8.75
+;8;27.25;Studer Remo;*;10;55.5;4;28.25;-4;1.0;9.75
+;8;37.0;Stoll Simon;**;6;56.5;3;38.25;-5;1.25;10.0
+;6;47.0;Odermatt Adrian (2001);*;11;55.25;7;46.75;1;-0.25;10.0

4b;Hauri Urs;**;;;;;;;;;57.0
o;;;Voggensperger Janic;**;;;;;;;8.75
+;3;8.75;Nussbaumer Gabriel;;11;55.25;1;10.0;-2;1.25;10.0
o;5;18.75;Räbmatter Patrick;***;3;57.25;5;18.75;0;0.0;8.5
+;8;27.25;Grieder Nonda;;28;35.5;9;27.0;1;-0.25;10.0
+;7;37.25;Steinmann Yves;*;14;54.5;8;37.0;1;-0.25;9.75
+;6;47.0;Burkhardt Roy;;11;55.25;7;46.75;1;-0.25;10.0

4c;Notz Beni;***;;;;;;;;;57.0
+;;;Kropf Marcel;**;;;;;;;10.0
o;1;10.0;Döbeli Andreas;**;1;58.5;1;10.0;0;0.0;8.5
+;6;18.5;Klausner Yanick;**;12;55.0;3;19.5;-3;1.0;9.75
+;4;28.25;Hügli Kaj;**;5;56.75;3;28.5;-1;0.25;10.0
-;3;38.25;Vieira Tiago;**;3;57.25;2;38.5;-1;0.25;8.75
+;6;47.0;Voggensperger Janic;**;10;55.5;6;47.0;0;0.0;10.0

4d;Studinger Stephan;**;;;;;;;;;57.0
+;;;Probst Gabriel;**;;;;;;;9.75
+;2;9.75;Kohler Adrian;*;10;55.5;2;9.75;0;0.0;10.0
o;2;19.75;Nötzli Reto;***;4;57.0;5;18.75;3;-1.0;8.5
+;4;28.25;Bader Thomas (2002);;14;54.5;3;28.5;-1;0.25;10.0
o;3;38.25;Schmid David;***;1;58.5;2;38.5;-1;0.25;8.75
+;6;47.0;Kocher Remo;**;7;56.25;4;47.5;-2;0.5;10.0

4e;Nötzli Reto;***;;;;;;;;;57.0
-;;;Thürig Mario;***;;;;;;;8.75
+;3;8.75;Brun Samuel;**;11;55.25;1;10.0;-2;1.25;10.0
+;5;18.75;Studinger Stephan;**;4;57.0;2;19.75;-3;1.0;10.0
o;2;28.75;Schmid David;***;1;58.5;2;28.75;0;0.0;8.5
+;7;37.25;Strebel Joel;**;5;56.75;3;38.25;-4;1.0;10.0
+;5;47.25;Henzer Andreas;**;11;55.25;7;46.75;2;-0.5;9.75

5a;Hermann Oliver;*;;;;;;;;;56.75
+;;;Stüdeli Thomas;**;;;;;;;9.75
+;2;9.75;Krebs Clemens;*;18;53.5;3;8.75;1;-1.0;10.0
o;2;19.75;Stalder Remo;***;5;56.75;6;18.5;4;-1.25;8.5
+;4;28.25;Brügger Joël;;10;55.5;3;28.5;-1;0.25;10.0
o;3;38.25;Döbeli Andreas;**;1;58.5;1;39.75;-2;1.5;8.5
+;7;46.75;Nussbaumer Gabriel;;11;55.25;7;46.75;0;0.0;10.0

5b;Gobeli Patrick;**;;;;;;;;;56.75
-;;;Bieri Christoph;***;;;;;;;8.75
-;3;8.75;Voggensperger Janic;**;10;55.5;2;9.75;-1;1.0;9.0
+;8;17.75;Probst Gabriel;**;23;45.75;6;18.5;-2;0.75;10.0
-;6;27.75;Schmid Samuel;**;9;55.75;3;28.5;-3;0.75;9.0
+;9;36.75;Rohrbach Jérôme;;15;54.25;8;37.0;-1;0.25;10.0
+;7;46.75;Klausner Yanick;**;12;55.0;8;46.5;1;-0.25;10.0

5c;Hügli Kaj;**;;;;;;;;;56.75
-;;;Kocher Remo;**;;;;;;;8.75
+;3;8.75;Ris Jörn;*;15;54.25;3;8.75;0;0.0;9.75
+;6;18.5;Burkhardt Roy;;11;55.25;2;19.75;-4;1.25;10.0
