5168-2022-06-26_126_Nordostschweizer_Schwingfest-ST

1a;Giger Samuel;***;;;;;;;;;58.75
+;;;Walther Adrian;**;;;;;;;9.75
+;2;9.75;Schnurrenberger Roman;**;12;55.0;2;9.75;0;0.0;9.75
+;3;19.5;Kindlimann Fabian;***;3;57.25;1;20.0;-2;0.5;9.75
+;3;29.25;Bernold Christian;**;9;55.75;4;28.75;1;-0.5;9.75
+;1;39.0;Rychen Roger;***;3;57.25;2;38.5;1;-0.5;9.75
+;1;48.75;Schlegel Werner;**;2;57.5;1;48.75;0;0.0;10.0

2a;Orlik Armon;***;;;;;;;;;57.5
+;;;Alpiger Nick;***;;;;;;;9.75
+;2;9.75;Riget Florian;**;4;57.0;1;10.0;-1;0.25;9.75
+;3;19.5;Voggensperger Janic;**;7;56.25;2;19.75;-1;0.25;10.0
-;2;29.5;Schlegel Werner;**;2;57.5;1;30.0;-1;0.5;9.0
-;2;38.5;Schneider Mario;**;4;57.0;2;38.5;0;0.0;9.0
+;5;47.5;Wittenwiler Roman;*;7;56.25;4;47.75;-1;0.25;10.0

2b;Schlegel Werner;**;;;;;;;;;57.5
+;;;Ambühl Joel;**;;;;;;;10.0
+;1;10.0;Ackermann Rico;*;14;54.5;1;10.0;0;0.0;10.0
+;1;20.0;Rychen Roger;***;3;57.25;1;20.0;0;0.0;10.0
-;1;30.0;Orlik Armon;***;2;57.5;2;29.5;1;-0.5;9.0
+;1;39.0;Dumelin David;**;4;57.0;2;38.5;1;-0.5;9.75
o;1;48.75;Giger Samuel;***;1;58.75;1;48.75;0;0.0;8.75

3a;Lehmann Philipp;*;;;;;;;;;57.25
o;;;Rotach Lars;*;;;;;;;8.5
+;5;8.5;Schiesser Patrik;*;12;55.0;5;8.5;0;0.0;10.0
+;6;18.5;Burch Dean;*;13;54.75;8;18.0;2;-0.5;10.0
o;5;28.5;Walther Adrian;**;5;56.75;10;27.25;5;-1.25;8.75
+;7;37.25;Korrodi Janik (2004);;16;54.0;8;37.0;1;-0.25;10.0
+;6;47.25;Voggensperger Janic;**;7;56.25;4;47.75;-2;0.5;10.0

3b;Geisser Lars;**;;;;;;;;;57.25
-;;;Schmid Dominik;**;;;;;;;9.0
+;3;9.0;Inauen Andreas;*;16;54.0;1;10.0;-2;1.0;10.0
o;4;19.0;Ambühl Joel;**;6;56.5;7;18.25;3;-0.75;8.5
+;9;27.5;Landolt Reto;*;11;55.25;6;28.25;-3;0.75;10.0
+;6;37.5;Pianta Christian;*;14;54.5;6;37.5;0;0.0;9.75
+;6;47.25;Biäsch Christian;*;8;56.0;5;47.5;-1;0.25;10.0

3c;Kindlimann Fabian;***;;;;;;;;;57.25
+;;;Erb Roger;**;;;;;;;10.0
+;1;10.0;Baeriswyl Christoph;**;9;55.75;1;10.0;0;0.0;10.0
o;1;20.0;Giger Samuel;***;1;58.75;3;19.5;2;-0.5;8.5
+;5;28.5;Jörger Marc;*;14;54.5;4;28.75;-1;0.25;10.0
-;2;38.5;Alpiger Nick;***;4;57.0;2;38.5;0;0.0;8.75
+;6;47.25;Fuster Sepp;*;12;55.0;9;46.5;3;-0.75;10.0

3d;Schneider Domenic;***;;;;;;;;;57.25
-;;;Roth Martin;***;;;;;;;8.75
-;4;8.75;Rotach Lars;*;8;56.0;2;9.75;-2;1.0;8.75
+;10;17.5;Ackermann Remo;*;10;55.5;6;18.5;-4;1.0;9.75
+;10;27.25;Fuster Sepp;*;12;55.0;6;28.25;-4;1.0;10.0
+;7;37.25;Räbsamen Marcel;**;5;56.75;3;38.25;-4;1.0;10.0
+;6;47.25;Riget Florian;**;4;57.0;2;48.5;-4;1.25;10.0

3e;Rychen Roger;***;;;;;;;;;57.25
+;;;Bieri Marcel;***;;;;;;;10.0
+;1;10.0;Burkhalter Thomas;*;13;54.75;1;10.0;0;0.0;10.0
o;1;20.0;Schlegel Werner;**;2;57.5;1;20.0;0;0.0;8.5
+;5;28.5;Jörger Corsin;*;10;55.5;5;28.5;0;0.0;10.0
o;2;38.5;Giger Samuel;***;1;58.75;1;39.0;-1;0.5;8.75
+;6;47.25;Balimann Sandro;*;11;55.25;8;46.75;2;-0.5;10.0

4a;Forrer Arnold;***;;;;;;;;;57.0
-;;;Burkhalter Stefan;***;;;;;;;8.75
-;4;8.75;Kolb This;**;9;55.75;1;10.0;-3;1.25;8.75
+;10;17.5;Oertle Daniel;*;21;52.75;6;18.5;-4;1.0;9.75
+;10;27.25;Balimann Sandro;*;11;55.25;5;28.5;-5;1.25;9.75
+;8;37.0;Giger Urs;*;10;55.5;4;38.0;-4;1.0;10.0
+;7;47.0;Fejzaj Naim;**;12;55.0;9;46.5;2;-0.5;10.0

4b;Dumelin David;**;;;;;;;;;57.0
o;;;Baeriswyl Christoph;**;;;;;;;8.5
+;5;8.5;Keller Werner;*;13;54.75;2;9.75;-3;1.25;10.0
+;6;18.5;Zwyssig Raphael;***;8;56.0;6;18.5;0;0.0;10.0
+;5;28.5;Joos Enrico;*;13;54.75;5;28.5;0;0.0;10.0
o;2;38.5;Schlegel Werner;**;2;57.5;1;39.0;-1;0.5;8.5
+;7;47.0;Schiesser Patrik;*;12;55.0;9;46.5;2;-0.5;10.0

4c;Bless Michael;***;;;;;;;;;57.0
-;;;Leuppi Samir;***;;;;;;;8.75
+;4;8.75;Fausch Kjetil;*;10;55.5;2;9.75;-2;1.0;10.0
+;5;18.75;Odermatt Gian Maria (2004);*;6;56.5;2;19.75;-3;1.0;10.0
o;4;28.75;Ambühl Joel;**;6;56.5;6;28.25;2;-0.5;8.75
+;6;37.5;Bernold Michael;*;7;56.25;4;38.0;-2;0.5;9.75
+;6;47.25;Kolb This;**;9;55.75;7;47.0;1;-0.25;9.75

4d;Schneider Mario;**;;;;;;;;;57.0
-;;;Zwyssig Raphael;***;;;;;;;8.75
+;4;8.75;Anliker Andri;;19;53.25;1;10.0;-3;1.25;10.0
+;5;18.75;Jörger Corsin;*;10;55.5;6;18.5;1;-0.25;10.0
+;4;28.75;Leuppi Samir;***;5;56.75;5;28.5;1;-0.25;9.75
-;2;38.5;Orlik Armon;***;2;57.5;2;38.5;0;0.0;8.75
+;6;47.25;Elmer Adrian;*;12;55.0;9;46.5;3;-0.75;9.75

4e;Riget Florian;**;;;;;;;;;57.0
+;;;Oettli Marco;**;;;;;;;10.0
o;1;10.0;Orlik Armon;***;2;57.5;2;9.75;1;-0.25;8.5
+;6;18.5;Bachmann Janos (2004);;16;54.0;1;20.0;-5;1.5;10.0
+;5;28.5;Hersche Martin;***;10;55.5;5;28.5;0;0.0;10.0
+;2;38.5;Schwander Severin;**;8;56.0;6;37.5;4;-1.0;10.0
o;2;48.5;Schneider Domenic;***;3;57.25;6;47.25;4;-1.25;8.5

4f;Schmid Dominik;**;;;;;;;;;57.0
-;;;Geisser Lars;**;;;;;;;9.0
+;3;9.0;Leuppi Karim;*;11;55.25;1;10.0;-2;1.0;9.75
o;5;18.75;Alpiger Nick;***;4;57.0;5;18.75;0;0.0;8.5
+;10;27.25;Bucher Roman;;10;55.5;9;27.5;-1;0.25;10.0
+;7;37.25;Niederer Andreas;*;15;54.25;7;37.25;0;0.0;9.75
+;7;47.0;Bernold Christian;**;9;55.75;6;47.25;-1;0.25;10.0

4g;Alpiger Nick;***;;;;;;;;;57.0
o;;;Orlik Armon;***;;;;;;;8.75
+;4;8.75;Bernold Michael;*;7;56.25;1;10.0;-3;1.25;10.0
+;5;18.75;Schmid Dominik;**;4;57.0;5;18.75;0;0.0;10.0
+;4;28.75;Ott Damian;**;7;56.25;4;28.75;0;0.0;9.75
-;2;38.5;Kindlimann Fabian;***;3;57.25;2;38.5;0;0.0;8.75
+;6;47.25;Odermatt Gian Maria (2004);*;6;56.5;3;48.0;-3;0.75;9.75

5a;Räbsamen Marcel;**;;;;;;;;;56.75
o;;;Voggensperger Janic;**;;;;;;;8.5
+;5;8.5;Fuster Sepp;*;12;55.0;2;9.75;-3;1.25;10.0
+;6;18.5;Bickel Roman;*;17;53.75;6;18.5;0;0.0;10.0
+;5;28.5;Erb Roger;**;13;54.75;7;28.0;2;-0.5;9.75
o;3;38.25;Schneider Domenic;***;3;57.25;7;37.25;4;-1.0;8.5
+;8;46.75;Schudel Simon;*;11;55.25;8;46.75;0;0.0;10.0

5b;Walther Adrian;**;;;;;;;;;56.75
o;;;Giger Samuel;***;;;;;;;8.5
+;5;8.5;Elmer Adrian;*;12;55.0;1;10.0;-4;1.5;10.0
-;6;18.5;Wittenwiler Roman;*;7;56.25;4;19.0;-2;0.5;8.75
+;10;27.25;Lehmann Philipp;*;3;57.25;5;28.5;-5;1.25;9.75
+;8;37.0;Signer Andy;*;6;56.5;4;38.0;-4;1.0;9.75
+;8;46.75;Kurmann Patrick;*;13;54.75;10;46.25;2;-0.5;10.0

5c;Koch Thomas;*;;;;;;;;;56.75
+;;;Biäsch Christian;*;;;;;;;9.75
+;2;9.75;Bieri Marcel;***;10;55.5;5;8.5;3;-1.25;9.75
o;3;19.5;Ott Damian;**;7;56.25;5;18.75;2;-0.75;8.5
+;7;28.0;Korrodi Janik (2004);;16;54.0;5;28.5;-2;0.5;10.0
