3896-2022-06-26_Fete_Romande-ST

1a;Schurtenberger Sven;***;;;;;;;;;58.5
-;1;10.0;Dousse Michel;**;5;57.25;1;10.0;0;0.0;9.0
+;4;19.0;Gapany Benjamin;***;5;57.25;6;18.5;2;-0.5;10.0
-;2;29.0;Collaud Romain;**;4;57.5;1;29.75;-1;0.75;9.0
o;4;38.0;Kramer Lario;***;2;58.0;3;38.25;-1;0.25;8.5
o;9;46.5;Siegenthaler Leo (2005);*;6;57.0;7;47.0;-2;0.5;8.5

14f;Dufey Gil;*;;;;;;;;;55.0
o;;;Sturny Nicolas;**;;;;;;;8.5
+;5;8.5;Cottier Marco;;17;54.25;1;10.0;-4;1.5;9.75
+;7;18.25;Schweizer Jason;;17;54.25;6;18.5;-1;0.25;9.75
o;6;28.0;Droxler Jonathan;**;9;56.25;5;28.25;-1;0.25;8.5
+;9;36.5;Cochrane Benjamin;;13;55.25;7;37.0;-2;0.5;10.0
o;9;46.5;Hofer Sven;**;7;56.75;8;46.75;-1;0.25;8.5

15a;Rey Arnaud;;;;;;;;;;54.75
+;;;Jost Colin (2004);;;;;;;;9.75
o;2;9.75;Gottofrey Luc;*;8;56.5;2;9.75;0;0.0;8.5
+;7;18.25;Jeannin Jess;;23;52.75;10;17.25;3;-1.0;9.75
o;6;28.0;Wieland Janis;*;12;55.5;10;27.0;4;-1.0;8.5
+;9;36.5;Fuchs Sylvain (2005);;17;54.25;12;35.75;3;-0.75;9.75
o;10;46.25;Sonnay Thomas;**;10;56.0;11;46.0;1;-0.25;8.5

15b;Jacquaz Fabien (2006);;;;;;;;;;54.75
o;;;Lauber Grégoire;;;;;;;;8.5
+;5;8.5;Roux Blaise;;24;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Matthey Mickaël;**;6;57.0;6;18.5;-1;0.25;8.5
o;11;26.75;Mermillod Jérôme (2004);;12;55.5;10;27.0;-1;0.25;8.5
+;14;35.25;Cardinaux Nicolas;;25;51.0;17;34.0;3;-1.25;9.75
+;15;45.0;Imhasly Jorin;;19;53.75;15;45.0;0;0.0;9.75

15c;Elmiger Elias;;;;;;;;;;54.75
+;;;Zbinden Samuel;;;;;;;;9.75
o;2;9.75;Schläfli Hugo;*;17;54.25;5;8.5;3;-1.25;8.5
+;7;18.25;Cottier Marco;;17;54.25;6;18.5;-1;0.25;9.75
o;6;28.0;Dubey Gaël;*;14;55.0;11;26.75;5;-1.25;8.5
+;9;36.5;Fankhauser Tom (2006);;16;54.5;11;36.0;2;-0.5;9.75
o;10;46.25;Borcard Clovis;*;11;55.75;11;46.0;1;-0.25;8.5

15d;Kramer Dorian;**;;;;;;;;;54.75
-;;;Tornare Paul;*;;;;;;;9.0
-;3;9.0;Tornare Philippe (2004);;19;53.75;2;9.75;-1;0.75;8.75
+;8;17.75;Suchet Jonathan (2005);;18;54.0;5;18.75;-3;1.0;10.0
o;7;27.75;Pasquier Loïc;*;12;55.5;9;27.25;2;-0.5;8.5
+;10;36.25;Imhasly Jorin;;19;53.75;9;36.5;-1;0.25;10.0
o;10;46.25;Schläpfer Markus;**;10;56.0;11;46.0;1;-0.25;8.5

16a;Berger Dilan;;;;;;;;;;54.5
-;;;Sudan Jonathan;;;;;;;;8.75
o;4;8.75;Fuchs Sylvain (2005);;17;54.25;4;8.75;0;0.0;8.5
+;10;17.25;Roux Blaise;;24;52.5;11;17.0;1;-0.25;10.0
o;9;27.25;Emonet Frédéric;**;13;55.25;10;27.0;1;-0.25;8.5
-;12;35.75;Elmiger Silvan (2004);;22;53.0;12;35.75;0;0.0;9.0
+;16;44.75;Vaucher Rémy;;20;53.5;15;45.0;-1;0.25;9.75

16b;Fankhauser Tom (2006);;;;;;;;;;54.5
+;;;Vindefeldt Michael;;;;;;;;10.0
o;1;10.0;Emonet Frédéric;**;13;55.25;5;8.5;4;-1.5;8.5
o;6;18.5;Loup Alexandre;*;18;54.0;7;18.25;1;-0.25;8.5
-;10;27.0;Nicolet Bastien (2004);;16;54.5;10;27.0;0;0.0;9.0
o;11;36.0;Elmiger Elias;;15;54.75;9;36.5;-2;0.5;8.5
+;17;44.5;Roux Blaise;;24;52.5;19;44.0;2;-0.5;10.0

16c;Portmann Fabio;*;;;;;;;;;54.5
o;;;Perret Loïc;;;;;;;;8.75
+;4;8.75;Merz Sascha;;23;52.75;1;10.0;-3;1.25;10.0
o;5;18.75;Schläpfer Markus;**;10;56.0;9;17.5;4;-1.25;8.5
+;9;27.25;Berger Alan;;18;54.0;9;27.25;0;0.0;10.0
o;6;37.25;Moser Steven;**;6;57.0;7;37.0;1;-0.25;8.5
o;12;45.75;Loup Grégoire;;13;55.25;13;45.5;1;-0.25;8.75

16d;Nicolet Bastien (2004);;;;;;;;;;54.5
+;;;Flury Maxime;;;;;;;;10.0
o;1;10.0;Siegenthaler Leo (2005);*;6;57.0;5;8.5;4;-1.5;8.5
o;6;18.5;Fontaine Anthony (2006);;26;36.75;7;18.25;1;-0.25;8.5
-;10;27.0;Fankhauser Tom (2006);;16;54.5;10;27.0;0;0.0;9.0
o;11;36.0;Loup Grégoire;;13;55.25;12;35.75;1;-0.25;8.5
+;17;44.5;Vindefeldt Michael;;24;52.5;19;44.0;2;-0.5;10.0

17a;Aeschbacher Ivo;;;;;;;;;;54.25
o;;;Neyroud Geoffrey;;;;;;;;8.5
+;5;8.5;Cardinaux Nicolas;;25;51.0;5;8.5;0;0.0;9.75
o;7;18.25;Varone Luc;*;13;55.25;7;18.25;0;0.0;8.5
-;11;26.75;Loup Grégoire;;13;55.25;10;27.0;-1;0.25;8.75
o;13;35.5;Dugué Maël;;18;54.0;13;35.5;0;0.0;8.75
+;18;44.25;Flury Maxime;;24;52.5;19;44.0;1;-0.25;10.0

17b;Fuchs Sylvain (2005);;;;;;;;;;54.25
-;;;Jeannin Jess;;;;;;;;8.75
+;4;8.75;Berger Dilan;;16;54.5;4;8.75;0;0.0;10.0
o;5;18.75;Droxler Jonathan;**;9;56.25;6;18.5;1;-0.25;8.5
o;9;27.25;Sturny Nicolas;**;9;56.25;5;28.25;-4;1.0;8.5
o;12;35.75;Rey Arnaud;;15;54.75;9;36.5;-3;0.75;8.5
+;18;44.25;Elmiger Silvan (2004);;22;53.0;17;44.5;-1;0.25;10.0

17c;Hayoz Paul;*;;;;;;;;;54.25
-;;;Pürro David;*;;;;;;;8.75
o;4;8.75;Bucher Roman;;13;55.25;1;10.0;-3;1.25;8.5
-;10;17.25;Mermillod Jérôme (2004);;12;55.5;7;18.25;-3;1.0;8.75
o;12;26.0;Monney Branighan;;11;55.75;10;27.0;-2;1.0;8.5
+;15;34.5;Lengen Michael (2005);;24;52.5;13;35.5;-2;1.0;10.0
+;17;44.5;Perroud Florian;;19;53.75;14;45.25;-3;0.75;9.75

17d;Fankhauser Hans;*;;;;;;;;;54.25
o;;;Martin Gaël (2004);*;;;;;;;8.5
-;5;8.5;Sonnay Thomas;**;10;56.0;4;8.75;-1;0.25;8.75
-;10;17.25;Bapst Ludovic;;11;55.75;7;18.25;-3;1.0;8.75
+;12;26.0;Elmiger Silvan (2004);;22;53.0;9;27.25;-3;1.25;10.0
o;11;36.0;Borcard Clovis;*;11;55.75;11;36.0;0;0.0;8.5
+;17;44.5;Jeannin Jess;;23;52.75;18;44.25;1;-0.25;9.75

17e;Balimann Fabian;;;;;;;;;;54.25
+;;;Mermillod Jérôme (2004);;;;;;;;10.0
-;1;10.0;Pasquier Loïc;*;12;55.5;5;8.5;4;-1.5;8.75
o;5;18.75;Dousse Michel;**;5;57.25;5;18.75;0;0.0;8.5
+;9;27.25;Dugué Maël;;18;54.0;10;27.0;1;-0.25;9.75
o;7;37.0;Grossenbacher Simon;*;12;55.5;7;37.0;0;0.0;8.75
o;12;45.75;Bapst Ludovic;;11;55.75;12;45.75;0;0.0;8.5

17f;Cottier Marco;;;;;;;;;;54.25
+;;;Cardinaux Nicolas;;;;;;;;10.0
o;1;10.0;Dufey Gil;*;14;55.0;5;8.5;4;-1.5;8.5
o;6;18.5;Elmiger Elias;;15;54.75;7;18.25;1;-0.25;8.5
o;10;27.0;Berger Sascha;;13;55.25;10;27.0;0;0.0;8.5
-;13;35.5;Jeannin Jess;;23;52.75;13;35.5;0;0.0;8.75
+;18;44.25;Röthlisberger Sven;;23;52.75;18;44.25;0;0.0;10.0

17g;Schläfli Hugo;*;;;;;;;;;54.25
o;;;Droxler Jonathan;**;;;;;;;8.5
+;5;8.5;Elmiger Elias;;15;54.75;2;9.75;-3;1.25;10.0
o;6;18.5;Collaud Bastien (2005);;12;55.5;5;18.75;-1;0.25;8.5
o;10;27.0;Hofer Sven;**;7;56.75;5;28.25;-5;1.25;8.5
-;13;35.5;Berger Sascha;;13;55.25;8;36.75;-5;1.25;8.75
+;18;44.25;Dorsaz Théo;*;21;53.25;16;44.75;-2;0.5;10.0

17h;Schweizer Jason;;;;;;;;;;54.25
o;;;Chofflon Anthony;;;;;;;;8.5
+;5;8.5;Jost Colin (2004);;28;34.0;5;8.5;0;0.0;10.0
o;6;18.5;Dufey Gil;*;14;55.0;7;18.25;1;-0.25;8.5
-;10;27.0;Merz Sascha;;23;52.75;10;27.0;0;0.0;8.75
+;12;35.75;Röthlisberger Sven;;23;52.75;12;35.75;0;0.0;10.0
o;12;45.75;Pasquier Loïc;*;12;55.5;13;45.5;1;-0.25;8.5

18a;Wenger Marco;;;;;;;;;;54.0
o;;;Leuenberger Gian (2005);;;;;;;;8.5
+;5;8.5;Perroud Florian;;19;53.75;5;8.5;0;0.0;10.0
o;6;18.5;Sturny Nicolas;**;9;56.25;6;18.5;0;0.0;8.5
o;10;27.0;Wieland Timon;;14;55.0;10;27.0;0;0.0;8.75
o;12;35.75;Berger Alan;;18;54.0;12;35.75;0;0.0;8.5
+;18;44.25;Merz Sascha;;23;52.75;18;44.25;0;0.0;9.75

18b;Berger Alan;;;;;;;;;;54.0
o;;;Loup Grégoire;;;;;;;;8.5
-;5;8.5;Elmiger Silvan (2004);;22;53.0;4;8.75;-1;0.25;8.75
+;10;17.25;Perroud Florian;;19;53.75;11;17.0;1;-0.25;10.0
o;9;27.25;Portmann Fabio;*;16;54.5;9;27.25;0;0.0;8.5
+;12;35.75;Wenger Marco;;18;54.0;12;35.75;0;0.0;9.75
o;13;45.5;Tornare Paul;*;12;55.5;13;45.5;0;0.0;8.5

18c;Loup Alexandre;*;;;;;;;;;54.0
o;;;Matthey Mickaël;**;;;;;;;8.5
+;5;8.5;Lauber Grégoire;;14;55.0;1;10.0;-4;1.5;9.75
+;7;18.25;Fankhauser Tom (2006);;16;54.5;6;18.5;-1;0.25;10.0
o;5;28.25;Kramer Lario;***;2;58.0;5;28.25;0;0.0;8.5
-;8;36.75;Bapst Ludovic;;11;55.75;7;37.0;-1;0.25;8.75
o;13;45.5;Emonet Frédéric;**;13;55.25;14;45.25;1;-0.25;8.5

18d;Pürro Tobias;;;;;;;;;;54.0
o;;;Dugué Maël;;;;;;;;8.5
+;5;8.5;Juon Martin;;30;17.0;5;8.5;0;0.0;10.0
o;6;18.5;Crettaz Olivier;*;13;55.25;7;18.25;1;-0.25;8.5
o;10;27.0;Neyroud Geoffrey;;18;54.0;10;27.0;0;0.0;8.5
o;13;35.5;Fallegger Riccardo;;18;54.0;13;35.5;0;0.0;8.5
+;19;44.0;Lengen Michael (2005);;24;52.5;19;44.0;0;0.0;10.0

18e;Suchet Jonathan (2005);;;;;;;;;;54.0
-;;;Germanier Joel;;;;;;;;8.75
+;4;8.75;Jeannin Jess;;23;52.75;4;8.75;0;0.0;10.0
o;5;18.75;Kramer Dorian;**;15;54.75;8;17.75;3;-1.0;8.5
+;9;27.25;Imhasly Jorin;;19;53.75;6;28.0;-3;0.75;9.75
o;7;37.0;Sonnay Thomas;**;10;56.0;11;36.0;4;-1.0;8.5
o;13;45.5;Barras André;*;13;55.25;13;45.5;0;0.0;8.5

18f;Neyroud Geoffrey;;;;;;;;;;54.0
+;;;Aeschbacher Ivo;;;;;;;;9.75
o;2;9.75;Barras André;*;13;55.25;5;8.5;3;-1.25;8.5
-;7;18.25;Chofflon Anthony;;18;54.0;6;18.5;-1;0.25;8.75
+;10;27.0;Pürro Tobias;;18;54.0;10;27.0;0;0.0;10.0
o;7;37.0;Riedo Fredy;*;10;56.0;7;37.0;0;0.0;8.5
o;13;45.5;Erb Vincent;;13;55.25;13;45.5;0;0.0;8.5

18g;Chofflon Anthony;;;;;;;;;;54.0
+;;;Schweizer Jason;;;;;;;;10.0
o;1;10.0;Colò Kilian;**;7;56.75;5;8.5;4;-1.5;8.5
-;6;18.5;Neyroud Geoffrey;;18;54.0;7;18.25;1;-0.25;8.75
+;9;27.25;Fallegger Riccardo;;18;54.0;10;27.0;1;-0.25;9.75
o;7;37.0;Rogivue Théo;*;13;55.25;7;37.0;0;0.0;8.5
o;13;45.5;Mermillod Jérôme (2004);;12;55.5;13;45.5;0;0.0;8.5

18h;Dugué Maël;;;;;;;;;;54.0
+;;;Pürro Tobias;;;;;;;;10.0
o;1;10.0;Bapst Ludovic;;11;55.75;5;8.5;4;-1.5;8.5
o;6;18.5;Hayoz Quentin;*;11;55.75;6;18.5;0;0.0;8.5
o;10;27.0;Balimann Fabian;;17;54.25;9;27.25;-1;0.25;8.5
+;13;35.5;Aeschbacher Ivo;;17;54.25;13;35.5;0;0.0;10.0
o;13;45.5;Pürro David;*;13;55.25;13;45.5;0;0.0;8.5

18i;Fallegger Riccardo;;;;;;;;;;54.0
o;;;Merz Sascha;;;;;;;;8.5
o;5;8.5;Erb Vincent;;13;55.25;5;8.5;0;0.0;8.5
+;11;17.0;Jost Colin (2004);;28;34.0;11;17.0;0;0.0;10.0
o;10;27.0;Chofflon Anthony;;18;54.0;9;27.25;-1;0.25;8.5
+;13;35.5;Pürro Tobias;;18;54.0;13;35.5;0;0.0;10.0
o;13;45.5;Wieland Janis;*;12;55.5;13;45.5;0;0.0;8.5

18j;Germanier Joel;;;;;;;;;;54.0
-;;;Suchet Jonathan (2005);;;;;;;;8.75
+;4;8.75;Zbinden Samuel;;19;53.75;5;8.5;1;-0.25;10.0
o;5;18.75;Pasquier Loïc;*;12;55.5;10;17.25;5;-1.5;8.5
o;9;27.25;Siegenthaler Leo (2005);*;6;57.0;10;27.0;1;-0.25;8.5
+;12;35.75;Merz Sascha;;23;52.75;12;35.75;0;0.0;9.75
o;13;45.5;Zbinden Silvan (2004);;13;55.25;14;45.25;1;-0.25;8.5

19a;Imhasly Jorin;;;;;;;;;;53.75
+;;;Vaucher Rémy;;;;;;;;9.75
o;2;9.75;Wieland Janis;*;12;55.5;5;8.5;3;-1.25;8.5
+;7;18.25;Merz Sascha;;23;52.75;6;18.5;-1;0.25;9.75
o;6;28.0;Suchet Jonathan (2005);;18;54.0;9;27.25;3;-0.75;8.5
o;9;36.5;Kramer Dorian;**;15;54.75;10;36.25;1;-0.25;8.5
o;15;45.0;Jacquaz Fabien (2006);;15;54.75;15;45.0;0;0.0;8.75

19b;Burri Flemming;;;;;;;;;;53.75
+;;;Juon Martin;;;;;;;;10.0
o;1;10.0;Rogivue Théo;*;13;55.25;5;8.5;4;-1.5;8.5
o;6;18.5;Lauber Grégoire;;14;55.0;6;18.5;0;0.0;8.5
o;10;27.0;Bapst Ludovic;;11;55.75;10;27.0;0;0.0;8.5
+;13;35.5;Vindefeldt Michael;;24;52.5;13;35.5;0;0.0;9.75
o;14;45.25;Cochrane Benjamin;;13;55.25;13;45.5;-1;0.25;8.5

19c;Fankhauser Yanik;;;;;;;;;;53.75
+;;;Roux Blaise;;;;;;;;10.0
o;1;10.0;Pürro David;*;13;55.25;4;8.75;3;-1.25;8.5
+;6;18.5;Tornare Philippe (2004);;19;53.75;6;18.5;0;0.0;9.75
o;5;28.25;Gottofrey Luc;*;8;56.5;6;28.0;1;-0.25;8.5
o;8;36.75;Perret Loïc;;13;55.25;8;36.75;0;0.0;8.5
o;14;45.25;Berger Sascha;;13;55.25;13;45.5;-1;0.25;8.5

19d;Tornare Philippe (2004);;;;;;;;;;53.75
+;;;Lengen Michael (2005);;;;;;;;9.75
-;2;9.75;Kramer Dorian;**;15;54.75;3;9.0;1;-0.75;8.75
o;6;18.5;Fankhauser Yanik;;19;53.75;6;18.5;0;0.0;8.5
+;10;27.0;Röthlisberger Sven;;23;52.75;9;27.25;-1;0.25;9.75
o;8;36.75;Crettaz Olivier;*;13;55.25;8;36.75;0;0.0;8.5
o;14;45.25;Monney Branighan;;11;55.75;12;45.75;-2;0.5;8.5

19e;Blanchard Benjamin;;;;;;;;;;53.75
+;;;Carron Léandre (2006);;;;;;;;10.0
o;1;10.0;Mermillod Jérôme (2004);;12;55.5;5;8.5;4;-1.5;8.5
o;6;18.5;Martin Gaël (2004);*;12;55.5;7;18.25;1;-0.25;8.5
o;10;27.0;Cochrane Benjamin;;13;55.25;10;27.0;0;0.0;8.5
+;13;35.5;Roux Blaise;;24;52.5;13;35.5;0;0.0;9.75
o;14;45.25;Schwab Livio (2005);;14;55.0;14;45.25;0;0.0;8.5

19f;Perroud Florian;;;;;;;;;;53.75
o;;;Zbinden Silvan (2004);;;;;;;;8.5
o;5;8.5;Wenger Marco;;18;54.0;5;8.5;0;0.0;8.5
o;11;17.0;Berger Alan;;18;54.0;10;17.25;-1;0.25;8.5
+;14;25.5;Cardinaux Nicolas;;25;51.0;14;25.5;0;0.0;9.75
+;14;35.25;Carron Léandre (2006);;24;52.5;17;34.0;3;-1.25;10.0
o;14;45.25;Hayoz Paul;*;17;54.25;17;44.5;3;-0.75;8.5

19g;Zbinden Samuel;;;;;;;;;;53.75
o;;;Elmiger Elias;;;;;;;;8.5
o;5;8.5;Germanier Joel;;18;54.0;4;8.75;-1;0.25;8.5
+;11;17.0;Carron Léandre (2006);;24;52.5;11;17.0;0;0.0;10.0
+;10;27.0;Lengen Michael (2005);;24;52.5;10;27.0;0;0.0;9.75
o;8;36.75;Varone Luc;*;13;55.25;8;36.75;0;0.0;8.5
o;14;45.25;Lauber Grégoire;;14;55.0;14;45.25;0;0.0;8.5

20a;Vaucher Rémy;;;;;;;;;;53.5
o;;;Imhasly Jorin;;;;;;;;8.5
+;5;8.5;Vindefeldt Michael;;24;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Dorsaz Théo;*;21;53.25;9;17.5;2;-0.75;8.5
+;11;26.75;Flury Maxime;;24;52.5;11;26.75;0;0.0;9.75
o;9;36.5;Dubey Gaël;*;14;55.0;9;36.5;0;0.0;8.5
o;15;45.0;Berger Dilan;;16;54.5;16;44.75;1;-0.25;8.5

21a;Dorsaz Théo;*;;;;;;;;;53.25
-;;;Zbinden Dario (2004);*;;;;;;;8.75
-;4;8.75;Collaud Bastien (2005);;12;55.5;1;10.0;-3;1.25;8.75
+;9;17.5;Vaucher Rémy;;20;53.5;7;18.25;-2;0.75;10.0
o;8;27.5;Gapany Benjamin;***;5;57.25;9;27.25;1;-0.25;8.5
-;11;36.0;Erb Vincent;;13;55.25;8;36.75;-3;0.75;8.75
o;16;44.75;Schläfli Hugo;*;17;54.25;18;44.25;2;-0.5;8.5

22a;Elmiger Silvan (2004);;;;;;;;;;53.0
-;;;Schwab Livio (2005);;;;;;;;8.75
-;4;8.75;Berger Alan;;18;54.0;5;8.5;1;-0.25;8.75
+;9;17.5;Cardinaux Nicolas;;25;51.0;11;17.0;2;-0.5;9.75
o;9;27.25;Fankhauser Hans;*;17;54.25;12;26.0;3;-1.25;8.5
-;12;35.75;Berger Dilan;;16;54.5;12;35.75;0;0.0;8.75
o;17;44.5;Fuchs Sylvain (2005);;17;54.25;18;44.25;1;-0.25;8.5

23a;Jeannin Jess;;;;;;;;;;52.75
-;;;Fuchs Sylvain (2005);;;;;;;;8.75
o;4;8.75;Suchet Jonathan (2005);;18;54.0;4;8.75;0;0.0;8.5
o;10;17.25;Rey Arnaud;;15;54.75;7;18.25;-3;1.0;8.5
+;13;25.75;Sudan Jonathan;;27;34.25;13;25.75;0;0.0;9.75
-;13;35.5;Cottier Marco;;17;54.25;13;35.5;0;0.0;8.75
o;18;44.25;Fankhauser Hans;*;17;54.25;17;44.5;-1;0.25;8.5

23b;Merz Sascha;;;;;;;;;;52.75
+;;;Fallegger Riccardo;;;;;;;;10.0
o;1;10.0;Portmann Fabio;*;16;54.5;4;8.75;3;-1.25;8.5
o;6;18.5;Imhasly Jorin;;19;53.75;7;18.25;1;-0.25;8.5
-;10;27.0;Schweizer Jason;;17;54.25;10;27.0;0;0.0;8.75
o;12;35.75;Germanier Joel;;18;54.0;12;35.75;0;0.0;8.5
o;18;44.25;Wenger Marco;;18;54.0;18;44.25;0;0.0;8.5

23c;Röthlisberger Sven;;;;;;;;;;52.75
+;;;Cochrane Benjamin;;;;;;;;10.0
o;1;10.0;Borcard Johann;**;3;57.75;2;9.75;1;-0.25;8.5
-;6;18.5;Loup Grégoire;;13;55.25;7;18.25;1;-0.25;8.75
o;9;27.25;Tornare Philippe (2004);;19;53.75;10;27.0;1;-0.25;8.5
o;12;35.75;Schweizer Jason;;17;54.25;12;35.75;0;0.0;8.5
o;18;44.25;Cottier Marco;;17;54.25;18;44.25;0;0.0;8.5

24a;Roux Blaise;;;;;;;;;;52.5
o;;;Fankhauser Yanik;;;;;;;;8.5
o;5;8.5;Jacquaz Fabien (2006);;15;54.75;5;8.5;0;0.0;8.5
o;11;17.0;Berger Dilan;;16;54.5;10;17.25;-1;0.25;8.5
+;14;25.5;Jost Colin (2004);;28;34.0;14;25.5;0;0.0;10.0
o;13;35.5;Blanchard Benjamin;;19;53.75;13;35.5;0;0.0;8.5
o;19;44.0;Fankhauser Tom (2006);;16;54.5;17;44.5;-2;0.5;8.5

24b;Carron Léandre (2006);;;;;;;;;;52.5
o;;;Blanchard Benjamin;;;;;;;;8.5
o;5;8.5;Flury Maxime;;24;52.5;5;8.5;0;0.0;8.5
o;11;17.0;Zbinden Samuel;;19;53.75;11;17.0;0;0.0;8.5
o;14;25.5;Vindefeldt Michael;;24;52.5;14;25.5;0;0.0;8.5
o;17;34.0;Perroud Florian;;19;53.75;14;35.25;-3;1.25;8.5
+;20;42.5;Cardinaux Nicolas;;25;51.0;20;42.5;0;0.0;10.0

24c;Lengen Michael (2005);;;;;;;;;;52.5
o;;;Tornare Philippe (2004);;;;;;;;8.5
o;5;8.5;Schwab Livio (2005);;14;55.0;4;8.75;-1;0.25;8.5
+;11;17.0;Vindefeldt Michael;;24;52.5;11;17.0;0;0.0;10.0
o;10;27.0;Zbinden Samuel;;19;53.75;10;27.0;0;0.0;8.5
o;13;35.5;Hayoz Paul;*;17;54.25;15;34.5;2;-1.0;8.5
o;19;44.0;Pürro Tobias;;18;54.0;19;44.0;0;0.0;8.5

24d;Flury Maxime;;;;;;;;;;52.5
o;;;Nicolet Bastien (2004);;;;;;;;8.5
+;5;8.5;Carron Léandre (2006);;24;52.5;5;8.5;0;0.0;9.75
o;7;18.25;Monney Branighan;;11;55.75;11;17.0;4;-1.25;8.5
o;11;26.75;Vaucher Rémy;;20;53.5;11;26.75;0;0.0;8.5
o;14;35.25;Schwab Livio (2005);;14;55.0;13;35.5;-1;0.25;8.75
o;19;44.0;Aeschbacher Ivo;;17;54.25;18;44.25;-1;0.25;8.5

24e;Vindefeldt Michael;;;;;;;;;;52.5
o;;;Fankhauser Tom (2006);;;;;;;;8.5
o;5;8.5;Vaucher Rémy;;20;53.5;5;8.5;0;0.0;8.5
o;11;17.0;Lengen Michael (2005);;24;52.5;11;17.0;0;0.0;8.5
+;14;25.5;Carron Léandre (2006);;24;52.5;14;25.5;0;0.0;10.0
o;13;35.5;Burri Flemming;;19;53.75;13;35.5;0;0.0;8.5
o;19;44.0;Nicolet Bastien (2004);;16;54.5;17;44.5;-2;0.5;8.5

25a;Cardinaux Nicolas;;;;;;;;;;51.0
o;;;Cottier Marco;;;;;;;;8.5
o;5;8.5;Aeschbacher Ivo;;17;54.25;5;8.5;0;0.0;8.5
o;11;17.0;Elmiger Silvan (2004);;22;53.0;9;17.5;-2;0.5;8.5
o;14;25.5;Perroud Florian;;19;53.75;14;25.5;0;0.0;8.5
o;17;34.0;Jacquaz Fabien (2006);;15;54.75;14;35.25;-3;1.25;8.5
o;20;42.5;Carron Léandre (2006);;24;52.5;20;42.5;0;0.0;8.5

26a;Fontaine Anthony (2006);;;;;;;;;;36.75
+;;;Monney Branighan;;;;;;;;9.75
o;2;9.75;Moser Steven;**;6;57.0;4;8.75;2;-1.0;8.5
+;7;18.25;Nicolet Bastien (2004);;16;54.5;6;18.5;-1;0.25;10.0
o;5;28.25;Barras André;*;13;55.25;10;27.0;5;-1.25;8.5

27a;Sudan Jonathan;;;;;;;;;;34.25
-;;;Berger Dilan;;;;;;;;8.75
o;4;8.75;Cochrane Benjamin;;13;55.25;4;8.75;0;0.0;8.5
o;10;17.25;Berger Sascha;;13;55.25;11;17.0;1;-0.25;8.5
o;13;25.75;Jeannin Jess;;23;52.75;13;25.75;0;0.0;8.5

28a;Jost Colin (2004);;;;;;;;;;34.0
o;;;Rey Arnaud;;;;;;;;8.5
o;5;8.5;Schweizer Jason;;17;54.25;5;8.5;0;0.0;8.5
o;11;17.0;Fallegger Riccardo;;18;54.0;11;17.0;0;0.0;8.5
o;14;25.5;Roux Blaise;;24;52.5;14;25.5;0;0.0;8.5

29a;Leuenberger Gian (2005);;;;;;;;;;26.75
+;;;Wenger Marco;;;;;;;;9.75
o;2;9.75;Dubey Gaël;*;14;55.0;5;8.5;3;-1.25;8.5
o;7;18.25;Pürro David;*;13;55.25;6;18.5;-1;0.25;8.5

30a;Juon Martin;;;;;;;;;;17.0
o;;;Burri Flemming;;;;;;;;8.5
o;5;8.5;Pürro Tobias;;18;54.0;5;8.5;0;0.0;8.5

31a;Zbinden Dario (2004);*;;;;;;;;;8.75
-;;;Dorsaz Théo;*;;;;;;;8.75

