3896-2022-06-26_Fete_Romande-ST

1a;Schurtenberger Sven;***;;;;;;;;;58.5

7b;Colò Kilian;**;;;;;;;;;56.75
o;;;Dändliker Shane;**;;;;;;;8.5
+;5;8.5;Chofflon Anthony;;18;54.0;1;10.0;-4;1.5;10.0
+;6;18.5;Dubey Gaël;*;14;55.0;7;18.25;1;-0.25;10.0
+;4;28.5;Sonnay Thomas;**;10;56.0;8;27.5;4;-1.0;10.0
o;2;38.5;Roschi Ruedi;**;8;56.5;4;38.0;2;-0.5;8.5
+;7;47.0;Collaud Bastien (2005);;12;55.5;7;47.0;0;0.0;9.75

7c;Hofer Sven;**;;;;;;;;;56.75
o;;;Roschi Ruedi;**;;;;;;;8.5
+;5;8.5;Zbinden Silvan (2004);;13;55.25;2;9.75;-3;1.25;10.0
+;6;18.5;Tornare Paul;*;12;55.5;6;18.5;0;0.0;9.75
+;5;28.25;Schläfli Hugo;*;17;54.25;10;27.0;5;-1.25;10.0
o;3;38.25;von Weissenfluh Kilian;***;2;58.0;2;38.5;-1;0.25;8.5
+;8;46.75;Dufey Gil;*;14;55.0;9;46.5;1;-0.25;10.0

7d;Gottofrey Marc;**;;;;;;;;;56.75
+;;;Barras André;*;;;;;;;10.0
o;1;10.0;Roschi Ruedi;**;8;56.5;2;9.75;1;-0.25;8.5
+;6;18.5;Bucher Roman;;13;55.25;2;19.75;-4;1.25;10.0
o;4;28.5;Voggensperger Lars;**;7;56.75;4;28.5;0;0.0;8.75
+;6;37.25;Pürro David;*;13;55.25;7;37.0;1;-0.25;9.75
+;7;47.0;Wieland Timon;;14;55.0;9;46.5;2;-0.5;9.75

7e;Arnold Stefan;**;;;;;;;;;56.75
o;;;Borcard Johann;**;;;;;;;8.5
+;5;8.5;Gottofrey Luc;*;8;56.5;2;9.75;-3;1.25;10.0
+;6;18.5;Emonet Frédéric;**;13;55.25;6;18.5;0;0.0;10.0
+;4;28.5;Dousse Michel;**;5;57.25;3;28.75;-1;0.25;9.75
-;3;38.25;Voggensperger Lars;**;7;56.75;3;38.25;0;0.0;8.75
+;7;47.0;Grossenbacher Simon;*;12;55.5;7;47.0;0;0.0;9.75

8a;Roschi Ruedi;**;;;;;;;;;56.5
+;;;Hofer Sven;**;;;;;;;9.75
+;2;9.75;Gottofrey Marc;**;7;56.75;1;10.0;-1;0.25;9.75
o;3;19.5;Collaud Romain;**;4;57.5;1;20.0;-2;0.5;8.5
+;6;28.0;Rogivue Théo;*;13;55.25;4;28.5;-2;0.5;10.0
+;4;38.0;Colò Kilian;**;7;56.75;2;38.5;-2;0.5;10.0
o;4;48.0;Kramer Lario;***;2;58.0;3;48.25;-1;0.25;8.5

8b;Gottofrey Luc;*;;;;;;;;;56.5
+;;;Siegenthaler Leo (2005);*;;;;;;;9.75
o;2;9.75;Arnold Stefan;**;7;56.75;5;8.5;3;-1.25;8.5
+;7;18.25;Rey Arnaud;;15;54.75;7;18.25;0;0.0;9.75
+;6;28.0;Fankhauser Yanik;;19;53.75;5;28.25;-1;0.25;10.0
o;4;38.0;Collaud Romain;**;4;57.5;1;38.75;-3;0.75;8.5
+;9;46.5;Varone Luc;*;13;55.25;9;46.5;0;0.0;10.0

9a;Droxler Jonathan;**;;;;;;;;;56.25
+;;;Schläfli Hugo;*;;;;;;;9.75
-;2;9.75;Schläpfer Markus;**;10;56.0;4;8.75;2;-1.0;8.75
+;6;18.5;Fuchs Sylvain (2005);;17;54.25;5;18.75;-1;0.25;9.75
+;5;28.25;Dufey Gil;*;14;55.0;6;28.0;1;-0.25;9.75
+;4;38.0;Bucher Roman;;13;55.25;4;38.0;0;0.0;9.75
o;5;47.75;Borcard Johann;**;3;57.75;4;48.0;-1;0.25;8.5

9b;Sturny Nicolas;**;;;;;;;;;56.25
+;;;Dufey Gil;*;;;;;;;10.0
o;1;10.0;Schurtenberger Sven;***;1;58.5;1;10.0;0;0.0;8.5
+;6;18.5;Wenger Marco;;18;54.0;6;18.5;0;0.0;9.75
+;5;28.25;Fuchs Sylvain (2005);;17;54.25;9;27.25;4;-1.0;9.75
+;4;38.0;Tornare Paul;*;12;55.5;7;37.0;3;-1.0;9.75
o;5;47.75;von Weissenfluh Kilian;***;2;58.0;3;48.25;-2;0.5;8.5

10a;Riedo Fredy;*;;;;;;;;;56.0
+;;;Wieland Janis;*;;;;;;;10.0
o;1;10.0;Gapany Benjamin;***;5;57.25;4;8.75;3;-1.25;8.5
+;6;18.5;Erb Vincent;;13;55.25;6;18.5;0;0.0;10.0
o;4;28.5;Haenni Stéphane;**;5;57.25;3;28.75;-1;0.25;8.5
+;7;37.0;Neyroud Geoffrey;;18;54.0;7;37.0;0;0.0;10.0
-;7;47.0;Martin Gaël (2004);*;12;55.5;9;46.5;2;-0.5;9.0

10b;Sonnay Thomas;**;;;;;;;;;56.0
-;;;Borcard Clovis;*;;;;;;;8.75
-;4;8.75;Fankhauser Hans;*;17;54.25;5;8.5;1;-0.25;8.75
+;9;17.5;Cochrane Benjamin;;13;55.25;6;18.5;-3;1.0;10.0
o;8;27.5;Colò Kilian;**;7;56.75;4;28.5;-4;1.0;8.5
+;11;36.0;Suchet Jonathan (2005);;18;54.0;7;37.0;-4;1.0;10.0
+;11;46.0;Rey Arnaud;;15;54.75;10;46.25;-1;0.25;10.0

10c;Schläpfer Markus;**;;;;;;;;;56.0
-;;;Moser Steven;**;;;;;;;8.75
-;4;8.75;Droxler Jonathan;**;9;56.25;2;9.75;-2;1.0;8.75
+;9;17.5;Portmann Fabio;*;16;54.5;5;18.75;-4;1.25;10.0
+;8;27.5;Crettaz Olivier;*;13;55.25;5;28.25;-3;0.75;10.0
o;5;37.5;Borcard Johann;**;3;57.75;4;38.0;-1;0.5;8.5
+;11;46.0;Kramer Dorian;**;15;54.75;10;46.25;-1;0.25;10.0

11a;Monney Branighan;;;;;;;;;;55.75
o;;;Fontaine Anthony (2006);;;;;;;;8.5
o;5;8.5;Perret Loïc;;13;55.25;2;9.75;-3;1.25;8.5
+;11;17.0;Flury Maxime;;24;52.5;7;18.25;-4;1.25;10.0
+;10;27.0;Hayoz Paul;*;17;54.25;12;26.0;2;-1.0;10.0
-;7;37.0;Barras André;*;13;55.25;8;36.75;1;-0.25;8.75
+;12;45.75;Tornare Philippe (2004);;19;53.75;14;45.25;2;-0.5;10.0

11b;Bapst Ludovic;;;;;;;;;;55.75
o;;;Bucher Roman;;;;;;;;8.5
