3218-2015-07-04_Appenzeller_Kantonalschwingfest-ST

1a;Zwyssig Raphael;***;;;;;;;;;58.75
6c;Oertle Daniel;;;;;;;;;;56.5
+;;;Näf Willi;*;;;;;;;9.75
+;2;9.75;Wolfer Lukas;;12;55.0;2;9.75;0;0.0;9.75
o;3;19.5;Knechtle Martin;**;12;55.0;6;18.5;3;-1.0;8.5
+;5;28.0;Pfiffner Ivo;;14;54.5;8;27.25;3;-0.75;10.0
+;4;38.0;Schlumpf Dominik;*;16;54.0;8;37.0;4;-1.0;9.75
o;5;47.75;Schmid Patrick (1997);;3;57.25;6;47.5;1;-0.25;8.75

6d;Bäbler Sandro;**;;;;;;;;;56.5
+;;;Schmid Dominik;**;;;;;;;9.75
o;2;9.75;Hersche Martin;**;4;57.0;2;9.75;0;0.0;8.5
+;7;18.25;Fuster Sepp (1997);;23;35.5;6;18.5;-1;0.25;10.0
o;4;28.25;Zwyssig Raphael;***;1;58.75;2;28.75;-2;0.5;8.5
+;9;36.75;Bucher Roland;;10;55.5;8;37.0;-1;0.25;10.0
+;9;46.75;Battaglia Ursin;**;12;55.0;10;46.5;1;-0.25;9.75

6e;Rhyner Michael;**;;;;;;;;;56.5
+;;;Giger Samuel (1998);**;;;;;;;9.75
-;2;9.75;Schläpfer Markus;**;4;57.0;2;9.75;0;0.0;8.75
+;6;18.5;Hofstetter Manuel;*;6;56.5;1;20.0;-5;1.5;9.75
+;4;28.25;Schläpfer Matthias;*;9;55.75;2;28.75;-2;0.5;10.0
o;3;38.25;Fässler Andreas;**;4;57.0;2;38.5;-1;0.25;8.5
+;9;46.75;Schneider Mario;**;8;56.0;6;47.5;-3;0.75;9.75

6f;Hofstetter Manuel;*;;;;;;;;;56.5
+;;;Stahel Felix;*;;;;;;;10.0
+;1;10.0;Vogel Beat;*;5;56.75;5;8.5;4;-1.5;10.0
o;1;20.0;Rhyner Michael;**;6;56.5;6;18.5;5;-1.5;8.5
+;3;28.5;Candrian Gian-Luca (1998);;10;55.5;3;28.5;0;0.0;9.75
o;3;38.25;Bösch Daniel;***;3;57.25;7;37.25;4;-1.0;8.5
+;9;46.75;Biäsch Christian;;12;55.0;10;46.5;1;-0.25;9.75

6g;Brühlmann Martin;*;;;;;;;;;56.5
o;;;Reber Marcel;*;;;;;;;8.75
+;4;8.75;Baldinger Michael (1997);;16;54.0;1;10.0;-3;1.25;10.0
+;5;18.75;Hersche Daniel;;22;45.5;6;18.5;1;-0.25;9.75
-;3;28.5;Battaglia Ursin;**;12;55.0;7;27.5;4;-1.0;9.0
+;6;37.5;Tanner Adrian;;12;55.0;9;36.75;3;-0.75;10.0
-;6;47.5;Kid Simon;**;5;56.75;4;48.0;-2;0.5;9.0

6h;Burkhalter Stefan;***;;;;;;;;;56.5
-;;;Forrer Arnold;***;;;;;;;8.75
+;4;8.75;Kid Simon;**;5;56.75;2;9.75;-2;1.0;10.0
+;5;18.75;Reber Marcel;*;13;54.75;3;19.5;-2;0.75;10.0
-;2;28.75;Signer Emil;**;3;57.25;2;28.75;0;0.0;9.0
+;5;37.75;Vollmeier Sandro;;14;54.5;6;37.5;1;-0.25;10.0
-;5;47.75;Hersche Martin;**;4;57.0;3;48.25;-2;0.5;8.75

6i;Oettli Marco (1997);;;;;;;;;;56.5
+;;;Oppliger Matthias (1999);;;;;;;;10.0
o;1;10.0;Bernold Christian;*;9;55.75;3;9.0;2;-1.0;8.75
-;5;18.75;Wey Nicola;*;10;55.5;6;18.5;1;-0.25;9.0
+;6;27.75;Odermatt Martin;*;14;54.5;4;28.25;-2;0.5;10.0
-;5;37.75;Eugster Ruedi;**;13;54.75;7;37.25;2;-0.5;9.0
+;9;46.75;Koch Reto;;10;55.5;8;47.0;-1;0.25;9.75

6j;Vollenweider Jeremy (1998);*;;;;;;;;;56.5
-;;;Vestner Bruno;*;;;;;;;8.75
+;4;8.75;Raschle Simon (1999);;23;35.5;1;10.0;-3;1.25;9.75
+;6;18.5;Inauen Roman;;18;53.5;3;19.5;-3;1.0;9.75
+;4;28.25;Bernold Michael (1999);;14;54.5;4;28.25;0;0.0;9.75
o;4;38.0;Hersche Martin;**;4;57.0;2;38.5;-2;0.5;8.5
+;10;46.5;Kammermann Dominik;;13;54.75;11;46.25;1;-0.25;10.0

6k;Krähenbühl Tobias;**;;;;;;;;;56.5
o;;;Kohler Fredi;**;;;;;;;8.5
-;5;8.5;Schläpfer Matthias;*;9;55.75;1;10.0;-4;1.5;9.0
+;9;17.5;Raschle Adrian;;16;54.0;6;18.5;-3;1.0;10.0
-;7;27.5;Elmer Daniel;*;12;55.0;3;28.5;-4;1.0;9.0
+;10;36.5;Baumann Rico;*;11;55.25;9;36.75;-1;0.25;10.0
+;10;46.5;Rütsche Stefan;*;10;55.5;8;47.0;-2;0.5;10.0

7a;Koller Fabian;;;;;;;;;;56.25
+;;;Flütsch Marco (1999);;;;;;;;9.75
+;2;9.75;Preisig Manuel (1998);;17;53.75;2;9.75;0;0.0;10.0
o;2;19.75;Signer Emil;**;3;57.25;4;19.0;2;-0.75;8.5
+;4;28.25;Inauen Andreas;*;11;55.25;3;28.5;-1;0.25;9.75
o;4;38.0;Roth Martin;*;5;56.75;4;38.0;0;0.0;8.5
+;10;46.5;Reber Marcel;*;13;54.75;11;46.25;1;-0.25;9.75

7b;Schmid Dominik;**;;;;;;;;;56.25
o;;;Bäbler Sandro;**;;;;;;;8.75
+;4;8.75;Oetiker Ronny;;12;55.0;1;10.0;-3;1.25;10.0
+;5;18.75;Hengartner Ivo;;16;54.0;6;18.5;1;-0.25;9.75
-;3;28.5;Knechtle Martin;**;12;55.0;4;28.25;1;-0.25;9.0
+;6;37.5;Oertig Simon;;14;54.5;8;37.0;2;-0.5;10.0
o;6;47.5;Vogel Beat;*;5;56.75;9;46.75;3;-0.75;8.75

7c;Keller Dominic;;;;;;;;;;56.25
+;;;Streule Marco;;;;;;;;9.75
+;2;9.75;Städler Dario;;19;53.25;2;9.75;0;0.0;9.75
o;3;19.5;Schläpfer Markus;**;4;57.0;6;18.5;3;-1.0;8.5
o;5;28.0;Roth Martin;*;5;56.75;5;28.0;0;0.0;8.5
+;10;36.5;Rütsche Werner;;16;54.0;8;37.0;-2;0.5;10.0
+;10;46.5;Eugster Ruedi;**;13;54.75;11;46.25;1;-0.25;9.75

8a;Koller Martin;*;;;;;;;;;56.0
+;;;Dörig Erich;;;;;;;;9.75
o;2;9.75;Zwyssig Raphael;***;1;58.75;4;8.75;2;-1.0;8.5
+;7;18.25;Schönenberger Björn;;23;35.5;6;18.5;-1;0.25;10.0
-;4;28.25;Baumann Rico;*;11;55.25;6;27.75;2;-0.5;9.0
o;7;37.25;Bernold Christian;*;9;55.75;6;37.5;-1;0.25;8.75
+;12;46.0;Bänziger Peter;;14;54.5;12;46.0;0;0.0;10.0

8b;Schneider Mario;**;;;;;;;;;56.0
-;;;Eugster Ruedi;**;;;;;;;8.75
o;4;8.75;Oertig Dominik;*;8;56.0;1;10.0;-3;1.25;8.75
+;9;17.5;Fässler Patrick;;11;55.25;6;18.5;-3;1.0;10.0
+;7;27.5;Rütsche Werner;;16;54.0;3;28.5;-4;1.0;10.0
+;6;37.5;Hersche Daniel;;22;45.5;9;36.75;3;-0.75;10.0
o;6;47.5;Rhyner Michael;**;6;56.5;9;46.75;3;-0.75;8.5

8c;Jud Pirmin;*;;;;;;;;;56.0
-;;;Kammermann Dominik;;;;;;;;8.75
+;4;8.75;Enz Dominik (1997);;23;35.5;2;9.75;-2;1.0;10.0
o;5;18.75;Zwyssig Raphael;***;1;58.75;5;18.75;0;0.0;8.5
+;8;27.25;Fässler Michael (1999);;23;35.5;9;27.0;1;-0.25;10.0
+;7;37.25;Inauen Andreas;*;11;55.25;8;37.0;1;-0.25;10.0
-;7;47.25;Roth Martin;*;5;56.75;4;48.0;-3;0.75;8.75

8d;Oertig Dominik;*;;;;;;;;;56.0
+;;;Kammermann Thomas;*;;;;;;;10.0
+;1;10.0;Schneider Mario;**;8;56.0;4;8.75;3;-1.25;9.75
o;2;19.75;Giger Samuel (1998);**;2;57.75;6;18.5;4;-1.25;8.5
-;4;28.25;Fontana Michael;;13;54.75;3;28.5;-1;0.25;8.75
+;8;37.0;Schäppi Urs;;12;55.0;9;36.75;1;-0.25;10.0
-;8;47.0;Giger Urs;*;4;57.0;4;48.0;-4;1.0;9.0

8e;Riget Ivan;*;;;;;;;;;56.0
+;;;Coray Beda;*;;;;;;;10.0
-;1;10.0;Eugster Ruedi;**;13;54.75;4;8.75;3;-1.25;8.75
-;5;18.75;Bernold Christian;*;9;55.75;4;19.0;-1;0.25;8.75
+;7;27.5;Dobler Mathias (1997);;17;53.75;5;28.0;-2;0.5;10.0
+;6;37.5;Koch Reto;;10;55.5;3;38.25;-3;0.75;10.0
o;6;47.5;Bösch Daniel;***;3;57.25;7;47.25;1;-0.25;8.5

9a;Hari Michi;;;;;;;;;;55.75
+;;;Giger Markus;;;;;;;;10.0
o;1;10.0;Vestner Bruno;*;10;55.5;4;8.75;3;-1.25;8.5
+;6;18.5;Kammermann Dominik;;13;54.75;6;18.5;0;0.0;10.0
-;3;28.5;Scherer Christian;*;10;55.5;4;28.25;1;-0.25;8.75
+;7;37.25;Baldinger Michael (1997);;16;54.0;8;37.0;1;-0.25;10.0
o;7;47.25;Signer Emil;**;3;57.25;7;47.25;0;0.0;8.5

9b;Koch Thomas (1997);;;;;;;;;;55.75
+;;;Koller Andreas (1998);;;;;;;;10.0
-;1;10.0;Näf Bruno;*;11;55.25;5;8.5;4;-1.5;9.0
+;4;19.0;Schäppi Urs;;12;55.0;6;18.5;2;-0.5;9.75
o;2;28.75;Bernold Christian;*;9;55.75;6;27.75;4;-1.0;8.75
o;6;37.5;Frauchiger Remo;;11;55.25;8;37.0;2;-0.5;8.5
+;12;46.0;Vollmeier Sandro;;14;54.5;12;46.0;0;0.0;9.75

9c;Bernold Christian;*;;;;;;;;;55.75
-;;;Signer Emil;**;;;;;;;9.0
+;3;9.0;Oettli Marco (1997);;6;56.5;1;10.0;-2;1.0;10.0
-;4;19.0;Riget Ivan;*;8;56.0;5;18.75;1;-0.25;8.75
+;6;27.75;Koch Thomas (1997);;9;55.75;2;28.75;-4;1.0;9.75
+;6;37.5;Koller Martin;*;8;56.0;7;37.25;1;-0.25;9.75
o;7;47.25;Schneider Domenic;**;4;57.0;7;47.25;0;0.0;8.5

9d;Schwyn Adrian;;;;;;;;;;55.75
-;;;Inauen Aurel;;;;;;;;8.75
+;4;8.75;Willi Renato;;11;55.25;4;8.75;0;0.0;9.75
o;6;18.5;Vestner Bruno;*;10;55.5;5;18.75;-1;0.25;8.5
-;9;27.0;Thoma Christoph (1997);;19;53.25;9;27.0;0;0.0;9.0
+;12;36.0;Inauen Roman;;18;53.5;10;36.5;-2;0.5;9.75
+;13;45.75;Näf Willi;*;16;54.0;14;45.5;1;-0.25;10.0

9e;Schläpfer Matthias;*;;;;;;;;;55.75
+;;;Breitenmoser Simon;;;;;;;;10.0
-;1;10.0;Krähenbühl Tobias;**;6;56.5;5;8.5;4;-1.5;8.75
+;5;18.75;Gartmann Mauro;;12;55.0;6;18.5;1;-0.25;10.0
o;2;28.75;Rhyner Michael;**;6;56.5;4;28.25;2;-0.5;8.5
+;7;37.25;Koller Andreas (1998);;18;53.5;10;36.5;3;-0.75;10.0
o;7;47.25;Kohler Fredi;**;4;57.0;7;47.25;0;0.0;8.5

10a;Vestner Bruno;*;;;;;;;;;55.5
-;;;Vollenweider Jeremy (1998);*;;;;;;;8.75
+;4;8.75;Hari Michi;;9;55.75;1;10.0;-3;1.25;10.0
+;5;18.75;Schwyn Adrian;;9;55.75;6;18.5;1;-0.25;10.0
o;2;28.75;Kid Simon;**;5;56.75;4;28.25;2;-0.5;8.5
+;7;37.25;Candrian Gian-Luca (1998);;10;55.5;8;37.0;1;-0.25;9.75
o;8;47.0;Coray Beda;*;6;56.5;9;46.75;1;-0.25;8.5

10b;Bucher Roland;;;;;;;;;;55.5
o;;;Koch Reto;;;;;;;;8.5
+;5;8.5;Gundolf Samuel;;16;54.0;5;8.5;0;0.0;10.0
o;6;18.5;Bösch Daniel;***;3;57.25;9;17.5;3;-1.0;8.5
+;9;27.0;Salnajs Leo (1998);;23;35.5;9;27.0;0;0.0;10.0
o;8;37.0;Bäbler Sandro;**;6;56.5;9;36.75;1;-0.25;8.5
+;14;45.5;Baldinger Michael (1997);;16;54.0;14;45.5;0;0.0;10.0

10c;Schweizer Christof;*;;;;;;;;;55.5
o;;;Kid Simon;**;;;;;;;8.5
+;5;8.5;Bernold Michael (1999);;14;54.5;2;9.75;-3;1.25;9.75
+;7;18.25;Harder Benj;;16;54.0;6;18.5;-1;0.25;10.0
o;4;28.25;Eugster Ruedi;**;13;54.75;7;27.5;3;-0.75;8.5
+;9;36.75;Raschle Adrian;;16;54.0;9;36.75;0;0.0;9.75
-;10;46.5;Knechtle Martin;**;12;55.0;12;46.0;2;-0.5;9.0

10d;Candrian Gian-Luca (1998);;;;;;;;;;55.5
+;;;Raschle Adrian;;;;;;;;10.0
o;1;10.0;Giger Samuel (1998);**;2;57.75;5;8.5;4;-1.5;8.5
+;6;18.5;Inauen Marco (1999);;13;54.75;9;17.5;3;-1.0;10.0
o;3;28.5;Hofstetter Manuel;*;6;56.5;3;28.5;0;0.0;8.5
o;8;37.0;Vestner Bruno;*;10;55.5;7;37.25;-1;0.25;8.5
+;14;45.5;Rütsche Werner;;16;54.0;14;45.5;0;0.0;10.0

10e;Wey Nicola;*;;;;;;;;;55.5
-;;;Elmer Daniel;*;;;;;;;8.75
+;4;8.75;Schäppi Urs;;12;55.0;1;10.0;-3;1.25;9.75
-;6;18.5;Oettli Marco (1997);;6;56.5;5;18.75;-1;0.25;8.75
o;8;27.25;Fässler Patrick;;11;55.25;9;27.0;1;-0.25;8.5
+;13;35.75;Gundolf Samuel;;16;54.0;8;37.0;-5;1.25;9.75
+;14;45.5;Elmer Adrian;;15;54.25;13;45.75;-1;0.25;10.0

10f;Koch Reto;;;;;;;;;;55.5
+;;;Bucher Roland;;;;;;;;9.75
+;2;9.75;Stahel Felix;*;15;54.25;5;8.5;3;-1.25;10.0
o;2;19.75;Schneider Domenic;**;4;57.0;5;18.75;3;-1.0;8.5
+;4;28.25;Läderach Pascal (1999);;11;55.25;8;27.25;4;-1.0;10.0
o;3;38.25;Riget Ivan;*;8;56.0;6;37.5;3;-0.75;8.75
o;8;47.0;Oettli Marco (1997);;6;56.5;9;46.75;1;-0.25;8.5

10g;Manser Bruno;*;;;;;;;;;55.5
-;;;Baumann Rico;*;;;;;;;8.75
+;4;8.75;Fontana Michael;;13;54.75;1;10.0;-3;1.25;9.75
+;6;18.5;Wolfer Lukas;;12;55.0;7;18.25;1;-0.25;10.0
o;3;28.5;Schneider Domenic;**;4;57.0;3;28.5;0;0.0;8.5
+;8;37.0;Flütsch Marco (1999);;17;53.75;9;36.75;1;-0.25;10.0
o;8;47.0;Giger Samuel (1998);**;2;57.75;4;48.0;-4;1.0;8.5

10h;Scherer Christian;*;;;;;;;;;55.5
o;;;Fejzaj Naim;*;;;;;;;8.5
+;5;8.5;Speck Christof (1999);;16;54.0;2;9.75;-3;1.25;10.0
+;6;18.5;Baldinger Michael (1997);;16;54.0;6;18.5;0;0.0;9.75
-;4;28.25;Hari Michi;;9;55.75;3;28.5;-1;0.25;9.0
+;7;37.25;Dörig Erich;;21;46.75;9;36.75;2;-0.5;9.75
o;8;47.0;Kuster Marcel;**;4;57.0;8;47.0;0;0.0;8.5

10i;Rütsche Stefan;*;;;;;;;;;55.5
-;;;Inauen Andreas;*;;;;;;;8.75
+;4;8.75;Moseler Manuel (1999);;24;35.25;2;9.75;-2;1.0;10.0
+;5;18.75;Thoma Christoph (1997);;19;53.25;6;18.5;1;-0.25;9.75
o;3;28.5;Schläpfer Markus;**;4;57.0;3;28.5;0;0.0;8.5
+;8;37.0;Oetiker Ronny;;12;55.0;9;36.75;1;-0.25;10.0
o;8;47.0;Krähenbühl Tobias;**;6;56.5;10;46.5;2;-0.5;8.5

11a;Willi Renato;;;;;;;;;;55.25
-;;;Vollmeier Sandro;;;;;;;;8.75
o;4;8.75;Schwyn Adrian;;9;55.75;4;8.75;0;0.0;8.5
o;10;17.25;Breitenmoser Simon;;14;54.5;10;17.25;0;0.0;8.5
+;13;25.75;Baumgartner Joël;;25;34.5;12;26.0;-1;0.25;10.0
+;13;35.75;Keller Stefan (1998);;18;53.5;10;36.5;-3;0.75;9.75
+;14;45.5;Koller Andreas (1998);;18;53.5;16;45.0;2;-0.5;9.75

11b;Baumann Rico;*;;;;;;;;;55.25
-;;;Manser Bruno;*;;;;;;;8.75
-;4;8.75;Fäh Tobias;;14;54.5;2;9.75;-2;1.0;9.0
+;8;17.75;Ott Dominik;;15;54.25;6;18.5;-2;0.75;10.0
-;6;27.75;Koller Martin;*;8;56.0;4;28.25;-2;0.5;9.0
o;9;36.75;Krähenbühl Tobias;**;6;56.5;10;36.5;1;-0.25;8.5
+;15;45.25;Ackermann Roman;;16;54.0;14;45.5;-1;0.25;10.0

11c;Läderach Pascal (1999);;;;;;;;;;55.25
-;;;Schmid Michael (1998);;;;;;;;8.75
