3128-2015-05-14_Baselstaedtisches_Kantonalschwingfest-ST

1a;Ulrich Andreas;***;;;;;;;;;58.75
6c;Mahrer Jürg;**;;;;;;;;;56.75
+;;;Waldner Patrick;**;;;;;;;10.0
o;1;10.0;Wicki Joel (1997);**;2;57.75;1;10.0;0;0.0;8.5
+;6;18.5;Stoll Simon;;12;55.25;1;20.0;-5;1.5;10.0
o;5;28.5;Kohler Fredi;**;10;55.75;6;28.25;1;-0.25;8.5
+;8;37.0;Probst Gabriel;**;13;55.0;5;37.75;-3;0.75;9.75
+;7;46.75;Kocher Remo;**;13;55.0;8;46.5;1;-0.25;10.0

6d;Stüdeli Thomas;**;;;;;;;;;56.75
+;;;Haenni Stéphane;**;;;;;;;10.0
o;1;10.0;Krähenbühl Tobias;**;6;56.75;4;8.75;3;-1.25;8.5
+;6;18.5;Küng Marco;;16;54.25;2;19.75;-4;1.25;10.0
+;5;28.5;Studinger Mathias;**;11;55.5;10;27.25;5;-1.25;10.0
o;2;38.5;Nötzli Bruno;***;4;57.25;5;37.75;3;-0.75;8.5
+;6;47.0;Widmer Tobias;*;13;55.0;8;46.5;2;-0.5;9.75

6e;Krähenbühl Tobias;**;;;;;;;;;56.75
-;;;Räbmatter Patrick;**;;;;;;;8.75
+;4;8.75;Stüdeli Thomas;**;6;56.75;1;10.0;-3;1.25;9.75
+;6;18.5;Gschwind Michael;**;12;55.25;6;18.5;0;0.0;9.75
+;6;28.25;Thoenen Henryc;**;6;56.75;6;28.25;0;0.0;10.0
+;3;38.25;Gisler Bruno;***;4;57.25;1;38.75;-2;0.5;9.75
o;2;48.0;Ulrich Andreas;***;1;58.75;1;48.75;-1;0.75;8.75

7a;Waldner Patrick;**;;;;;;;;;56.5
o;;;Mahrer Jürg;**;;;;;;;8.5
+;5;8.5;Villiger Damian;*;17;54.0;5;8.5;0;0.0;9.75
+;7;18.25;Haenni Stéphane;**;12;55.25;11;17.0;4;-1.25;10.0
o;6;28.25;Alpiger Nick;**;7;56.5;8;27.75;2;-0.5;8.5
+;9;36.75;Rüegger Aaron (1999);;18;53.75;9;36.75;0;0.0;9.75
+;8;46.5;Moser Matthias;;13;55.0;8;46.5;0;0.0;10.0

7b;Odermatt Christian;**;;;;;;;;;56.5
+;;;Villiger Damian;*;;;;;;;9.75
+;2;9.75;Haenni Stéphane;**;12;55.25;5;8.5;3;-1.25;9.75
o;3;19.5;Nötzli Bruno;***;4;57.25;4;19.0;1;-0.5;8.5
-;7;28.0;Widmer Tobias;*;13;55.0;8;27.75;1;-0.25;9.0
+;8;37.0;Burtschi Michael;;13;55.0;10;36.5;2;-0.5;9.75
+;7;46.75;Hauri Urs;**;12;55.25;8;46.5;1;-0.25;9.75

7c;Brand Christian;**;;;;;;;;;56.5
+;;;Lehmann Nicola;*;;;;;;;9.75
+;2;9.75;Remy Guillaume;**;12;55.25;5;8.5;3;-1.25;9.75
o;3;19.5;Gisler Bruno;***;4;57.25;5;18.75;2;-0.75;8.5
+;7;28.0;Reimann Marco (1998);;16;54.25;10;27.25;3;-0.75;10.0
o;4;38.0;Räbmatter Patrick;**;10;55.75;6;37.5;2;-0.5;8.5
+;8;46.5;Büttler Adrian (1999);;13;55.0;8;46.5;0;0.0;10.0

7d;Alpiger Nick;**;;;;;;;;;56.5
-;;;Stoffel Marc;**;;;;;;;8.75
-;4;8.75;Gottofrey Marc;*;10;55.75;2;9.75;-2;1.0;9.0
+;8;17.75;Mangold Martin;;14;54.75;5;18.75;-3;1.0;10.0
+;8;27.75;Waldner Patrick;**;7;56.5;6;28.25;-2;0.5;10.0
+;5;37.75;Stegmüller Klemens;*;15;54.5;6;37.5;1;-0.25;10.0
o;3;47.75;Nötzli Bruno;***;4;57.25;4;47.5;1;-0.25;8.75

8a;Steinmann Yves;*;;;;;;;;;56.25
o;;;Winiger Fabian;**;;;;;;;8.5
+;5;8.5;Schneider Markus;*;12;55.25;5;8.5;0;0.0;10.0
+;6;18.5;Probst Stefan;;12;55.25;3;19.5;-3;1.0;9.75
o;6;28.25;Stalder Remo;***;5;57.0;9;27.5;3;-0.75;8.5
+;9;36.75;Stoll Simon;;12;55.25;8;37.0;-1;0.25;9.75
+;8;46.5;Brügger Cyrill (1998);;12;55.25;7;46.75;-1;0.25;9.75

9a;Erb Roger;**;;;;;;;;;56.0
+;;;Remy Guillaume;**;;;;;;;10.0
o;1;10.0;Forrer Arnold;***;5;57.0;4;8.75;3;-1.25;8.75
o;5;18.75;Huber Jan (1997);;6;56.75;2;19.75;-3;1.0;8.5
+;10;27.25;Leuthard Mario;;11;55.5;6;28.25;-4;1.0;10.0
+;7;37.25;Wilhelm Hannes;*;17;54.0;8;37.0;1;-0.25;9.75
-;6;47.0;Gottofrey Marc;*;10;55.75;6;47.0;0;0.0;9.0

9b;Scherrer Johann;**;;;;;;;;;56.0
+;;;Schlachter Lukas;*;;;;;;;10.0
-;1;10.0;Räbmatter Patrick;**;10;55.75;4;8.75;3;-1.25;8.75
o;5;18.75;Forrer Arnold;***;5;57.0;5;18.75;0;0.0;8.5
+;10;27.25;Müller Christian (1998);;18;53.75;6;28.25;-4;1.0;10.0
o;7;37.25;Voggensperger Janic (1998);*;10;55.75;6;37.5;-1;0.25;8.75
+;10;46.0;Küng Marco;;16;54.25;11;45.75;1;-0.25;10.0

9c;Strebel Joel (1997);*;;;;;;;;;56.0
-;;;Voggensperger Janic (1998);*;;;;;;;9.0
+;3;9.0;Schläpfer Matthias;*;16;54.25;4;8.75;1;-0.25;10.0
o;4;19.0;Blatter Lorenz;*;5;57.0;6;18.5;2;-0.5;8.5
+;9;27.5;Probst Stefan;;12;55.25;6;28.25;-3;0.75;10.0
o;6;37.5;Schmid David;**;9;56.0;6;37.5;0;0.0;8.75
+;9;46.25;Hermann Oliver;;16;54.25;11;45.75;2;-0.5;9.75

9d;Schmid David;**;;;;;;;;;56.0
+;;;Kohler Fredi;**;;;;;;;9.75
-;2;9.75;Nötzli Bruno;***;4;57.25;1;10.0;-1;0.25;9.0
+;5;18.75;Widmer David;;16;54.25;1;20.0;-4;1.25;9.75
-;5;28.5;Kocher Remo;**;13;55.0;8;27.75;3;-0.75;9.0
+;6;37.5;Strebel Joel (1997);*;9;56.0;6;37.5;0;0.0;10.0
o;4;47.5;Wicki Joel (1997);**;2;57.75;2;48.0;-2;0.5;8.5

9e;Klausner Yanick;**;;;;;;;;;56.0
-;;;Schläpfer Matthias;*;;;;;;;8.75
-;4;8.75;Schär Simon;*;13;55.0;5;8.5;1;-0.25;9.0
+;8;17.75;Krebs Clemens;;19;53.5;4;19.0;-4;1.25;9.75
-;9;27.5;von Arx Christian;*;16;54.25;6;28.25;-3;0.75;9.0
+;10;36.5;Hasler Manuel;;10;55.75;7;37.25;-3;0.75;9.75
+;9;46.25;Probst Gabriel;**;13;55.0;9;46.25;0;0.0;9.75

10a;Voggensperger Janic (1998);*;;;;;;;;;55.75
-;;;Strebel Joel (1997);*;;;;;;;9.0
-;3;9.0;Vieira Tiago;**;11;55.5;4;8.75;1;-0.25;8.75
+;8;17.75;Lang Martin;**;10;55.75;10;17.25;2;-0.5;9.75
+;9;27.5;Rüegger Aaron (1999);;18;53.75;6;28.25;-3;0.75;10.0
+;6;37.5;Scherrer Johann;**;9;56.0;7;37.25;1;-0.25;9.75
o;5;47.25;Forrer Arnold;***;5;57.0;5;47.25;0;0.0;8.5

10b;Kohler Fredi;**;;;;;;;;;55.75
o;;;Schmid David;**;;;;;;;8.5
+;5;8.5;Hauri Urs;**;12;55.25;2;9.75;-3;1.25;9.75
+;7;18.25;Furter Reto;**;11;55.5;6;18.5;-1;0.25;10.0
+;6;28.25;Mahrer Jürg;**;6;56.75;5;28.5;-1;0.25;9.75
-;4;38.0;Bieri Christoph;***;3;57.5;2;38.5;-2;0.5;9.0
o;6;47.0;Thoenen Henryc;**;6;56.75;6;47.0;0;0.0;8.75

10c;Gottofrey Marc;*;;;;;;;;;55.75
+;;;Blatter Lorenz;*;;;;;;;9.75
-;2;9.75;Alpiger Nick;**;7;56.5;4;8.75;2;-1.0;9.0
o;5;18.75;Bieri Christoph;***;3;57.5;4;19.0;-1;0.25;8.75
+;9;27.5;Küng Marco;;16;54.25;5;28.5;-4;1.0;9.75
+;7;37.25;Döbeli Andreas (1998);;11;55.5;3;38.25;-4;1.0;9.75
-;6;47.0;Erb Roger;**;9;56.0;6;47.0;0;0.0;8.75

10d;Räbmatter Patrick;**;;;;;;;;;55.75
-;;;Krähenbühl Tobias;**;;;;;;;8.75
-;4;8.75;Scherrer Johann;**;9;56.0;1;10.0;-3;1.25;8.75
+;9;17.5;Dobler Florian;;15;54.5;5;18.75;-4;1.25;10.0
+;9;27.5;Bader Andreas;*;11;55.5;6;28.25;-3;0.75;10.0
+;6;37.5;Brand Christian;**;7;56.5;4;38.0;-2;0.5;9.75
o;5;47.25;Henzer Andreas;**;5;57.0;5;47.25;0;0.0;8.5

10e;Hasler Manuel;;;;;;;;;;55.75
+;;;Leutwyler Pascal;;;;;;;;9.75
+;2;9.75;Büchi Christian;;17;54.0;1;10.0;-1;0.25;9.75
-;3;19.5;Winiger Fabian;**;11;55.5;6;18.5;3;-1.0;8.75
-;6;28.25;Hügli Kaj (1997);*;14;54.75;10;27.25;4;-1.0;9.0
o;7;37.25;Klausner Yanick;**;9;56.0;10;36.5;3;-0.75;8.5
+;11;45.75;Schlachter Lukas;*;16;54.25;11;45.75;0;0.0;10.0

10f;Lang Martin;**;;;;;;;;;55.75
o;;;Hauri Urs;**;;;;;;;8.5
o;5;8.5;Gschwind Michael;**;12;55.25;4;8.75;-1;0.25;8.75
o;10;17.25;Voggensperger Janic (1998);*;10;55.75;8;17.75;-2;0.5;8.5
+;15;25.75;Hiltbrand Ron;;13;55.0;11;27.0;-4;1.25;10.0
+;13;35.75;Widmer Sandro;;18;53.75;9;36.75;-4;1.0;10.0
+;11;45.75;Stegmüller Klemens;*;15;54.5;10;46.0;-1;0.25;10.0

10g;Stoffel Marc;**;;;;;;;;;55.75
-;;;Alpiger Nick;**;;;;;;;8.75
+;4;8.75;Lehmann Nicola;*;13;55.0;5;8.5;1;-0.25;9.75
o;6;18.5;Ulrich Andreas;***;1;58.75;4;19.0;-2;0.5;8.5
+;11;27.0;Kohler Adrian;;11;55.5;6;28.25;-5;1.25;10.0
+;8;37.0;Widmer David;;16;54.25;8;37.0;0;0.0;10.0
o;6;47.0;Bieri Christoph;***;3;57.5;4;47.5;-2;0.5;8.75

11a;Nussbaumer Gabriel;;;;;;;;;;55.5
+;;;Reimann Marco (1998);;;;;;;;9.75
o;2;9.75;Räber Lukas;;17;54.0;1;10.0;-1;0.25;8.5
+;7;18.25;Remy Guillaume;**;12;55.25;11;17.0;4;-1.25;10.0
o;6;28.25;Studinger Mathias;**;11;55.5;10;27.25;4;-1.0;8.5
-;9;36.75;Villiger Damian;*;17;54.0;14;35.5;5;-1.25;8.75
+;12;45.5;Rüegger Aaron (1999);;18;53.75;13;45.25;1;-0.25;10.0

11b;Leuthard Mario;;;;;;;;;;55.5
-;;;Kohler Adrian;;;;;;;;8.75
+;4;8.75;Studer Remo;;18;53.75;5;8.5;1;-0.25;9.75
+;6;18.5;Bieli Andreas;;17;54.0;6;18.5;0;0.0;9.75
o;6;28.25;Erb Roger;**;9;56.0;10;27.25;4;-1.0;8.5
-;9;36.75;Dobler Florian;;15;54.5;12;36.0;3;-0.75;8.75
+;12;45.5;Räber Lukas;;17;54.0;12;45.5;0;0.0;10.0

11c;Studinger Mathias;**;;;;;;;;;55.5
-;;;Bader Andreas;*;;;;;;;8.75
o;4;8.75;Blatter Lorenz;*;5;57.0;4;8.75;0;0.0;8.5
+;10;17.25;Schaub Florent;;17;54.0;7;18.25;-3;1.0;10.0
+;10;27.25;Nussbaumer Gabriel;;11;55.5;6;28.25;-4;1.0;10.0
o;7;37.25;Stüdeli Thomas;**;6;56.75;2;38.5;-5;1.25;8.5
+;11;45.75;Wilhelm Hannes;*;17;54.0;12;45.5;1;-0.25;9.75

11d;Kohler Adrian;;;;;;;;;;55.5
-;;;Leuthard Mario;;;;;;;;8.75
+;4;8.75;Abt Robin (1997);;23;52.25;5;8.5;1;-0.25;9.75
+;6;18.5;Treier Tobias (1998);;23;52.25;7;18.25;1;-0.25;9.75
o;6;28.25;Stoffel Marc;**;10;55.75;11;27.0;5;-1.25;8.5
o;9;36.75;Lehmann Nicola;*;13;55.0;14;35.5;5;-1.25;8.75
+;12;45.5;Büchi Christian;;17;54.0;12;45.5;0;0.0;10.0

11e;Winiger Fabian;**;;;;;;;;;55.5
+;;;Steinmann Yves;*;;;;;;;10.0
o;1;10.0;Stalder Remo;***;5;57.0;4;8.75;3;-1.25;8.5
-;6;18.5;Hasler Manuel;;10;55.75;3;19.5;-3;1.0;8.75
+;10;27.25;Brügger Cyrill (1998);;12;55.25;5;28.5;-5;1.25;9.75
+;8;37.0;Kropf Marcel;**;17;54.0;8;37.0;0;0.0;10.0
o;6;47.0;Gisler Bruno;***;4;57.25;4;47.5;-2;0.5;8.5

11f;Döbeli Andreas (1998);;;;;;;;;;55.5
+;;;Brun Samuel (1999);;;;;;;;9.75
+;2;9.75;Moser Matthias;;13;55.0;1;10.0;-1;0.25;10.0
o;2;19.75;Thoenen Henryc;**;6;56.75;6;18.5;4;-1.25;8.5
+;6;28.25;Lehmann Nicola;*;13;55.0;11;27.0;5;-1.25;10.0
o;3;38.25;Gottofrey Marc;*;10;55.75;7;37.25;4;-1.0;8.75
o;6;47.0;Kramer Franz;;5;57.0;5;47.25;-1;0.25;8.5

11g;Vieira Tiago;**;;;;;;;;;55.5
-;;;Kropf Marcel;**;;;;;;;8.75
-;4;8.75;Voggensperger Janic (1998);*;10;55.75;3;9.0;-1;0.25;8.75
+;9;17.5;Hauri Urs;**;12;55.25;7;18.25;-2;0.75;10.0
+;9;27.5;Hasler Simon;;14;54.75;7;28.0;-2;0.5;9.75
o;7;37.25;Forrer Arnold;***;5;57.0;6;37.5;-1;0.25;8.5
+;11;45.75;von Arx Christian;*;16;54.25;11;45.75;0;0.0;9.75

11h;Bader Andreas;*;;;;;;;;;55.5
-;;;Studinger Mathias;**;;;;;;;8.75
+;4;8.75;Hermann Oliver;;16;54.25;1;10.0;-3;1.25;9.75
+;6;18.5;Räber Lukas;;17;54.0;2;19.75;-4;1.25;9.75
o;6;28.25;Räbmatter Patrick;**;10;55.75;9;27.5;3;-0.75;8.5
+;9;36.75;Küng Marco;;16;54.25;8;37.0;-1;0.25;10.0
-;7;46.75;Furter Reto;**;11;55.5;7;46.75;0;0.0;8.75

11i;Furter Reto;**;;;;;;;;;55.5
-;;;Stegmüller Klemens;*;;;;;;;8.75
+;4;8.75;Wilhelm Hannes;*;17;54.0;4;8.75;0;0.0;9.75
o;6;18.5;Kohler Fredi;**;10;55.75;7;18.25;1;-0.25;8.5
+;11;27.0;Büttler Adrian (1999);;13;55.0;6;28.25;-5;1.25;10.0
+;8;37.0;Probst Stefan;;12;55.25;8;37.0;0;0.0;9.75
-;7;46.75;Bader Andreas;*;11;55.5;7;46.75;0;0.0;8.75

12a;Nyffeler Christoph;;;;;;;;;;55.25
o;;;Leuthard Reto;;;;;;;;8.5
+;5;8.5;Schöni Marc (1999);;23;52.25;5;8.5;0;0.0;10.0
o;6;18.5;Hermann Oliver;;16;54.25;6;18.5;0;0.0;8.5
+;11;27.0;Peronino Mario;;22;52.5;12;26.75;1;-0.25;10.0
+;8;37.0;Schumacher Michael;*;15;54.5;12;36.0;4;-1.0;9.75
o;7;46.75;Huber Jan (1997);;6;56.75;7;46.75;0;0.0;8.5

12b;Gschwind Michael;**;;;;;;;;;55.25
-;;;Wilhelm Hannes;*;;;;;;;8.75
+;4;8.75;Lang Martin;**;10;55.75;5;8.5;1;-0.25;9.75
o;6;18.5;Krähenbühl Tobias;**;6;56.75;6;18.5;0;0.0;8.5
+;11;27.0;Wilhelm Manuel;;14;54.75;7;28.0;-4;1.0;10.0
+;8;37.0;Huber Jan (1997);;6;56.75;4;38.0;-4;1.0;9.75
